Word,Frequency
suckaass,{'i': 1.0}
i,"{'aint': 0.058653846153846154, 'fucked': 0.0028846153846153848, 'rip': 0.0019230769230769232, 'hit': 0.009615384615384616, 'dont': 0.02403846153846154, 'gank': 0.0009615384615384616, 'push': 0.0009615384615384616, 'used': 0.0028846153846153848, 'took': 0.0009615384615384616, 'take': 0.004807692307692308, 'got': 0.04519230769230769, 'see': 0.026923076923076925, 'came': 0.0125, 'told': 0.013461538461538462, 'ask': 0.0019230769230769232, 'blast': 0.0009615384615384616, 'wonder': 0.010576923076923078, 'made': 0.0009615384615384616, 'gotta': 0.013461538461538462, 'bust': 0.0038461538461538464, 'stay': 0.0019230769230769232, 'never': 0.016346153846153847, 'always': 0.0009615384615384616, 'roughed': 0.0009615384615384616, 'say': 0.0038461538461538464, 'give': 0.0019230769230769232, 'know': 0.04230769230769231, 'just': 0.006730769230769231, 'think': 0.008653846153846154, 'remember': 0.0057692307692307696, 'huffed': 0.0009615384615384616, 'realize': 0.0019230769230769232, 'had': 0.011538461538461539, 'try': 0.0028846153846153848, 'blame': 0.0009615384615384616, 'was': 0.03653846153846154, 'didnt': 0.0038461538461538464, 'go': 0.015384615384615385, 'live': 0.011538461538461539, 'hear': 0.004807692307692308, 'get': 0.021153846153846155, 'reach': 0.0009615384615384616, 'do': 0.010576923076923078, 'multiply': 0.0009615384615384616, 'die': 0.03365384615384615, 'gave': 0.0009615384615384616, 'shed': 0.0028846153846153848, 'reminisce': 0.0038461538461538464, 'caused': 0.0009615384615384616, 'finally': 0.0019230769230769232, 'can': 0.03653846153846154, 'understand': 0.0028846153846153848, 'hung': 0.0009615384615384616, 'moved': 0.0028846153846153848, 'needed': 0.0009615384615384616, 'started': 0.0019230769230769232, 'sell': 0.0009615384615384616, 'love': 0.01730769230769231, 'hope': 0.007692307692307693, 'sent': 0.0009615384615384616, 'could': 0.0125, 'act': 0.0009615384615384616, 'feel': 0.010576923076923078, 'appreciate': 0.0009615384615384616, 'wish': 0.0038461538461538464, 'been': 0.0057692307692307696, 'robbed': 0.0009615384615384616, 'step': 0.0009615384615384616, 'cant': 0.020192307692307693, 'wont': 0.007692307692307693, 'spit': 0.0009615384615384616, 'said': 0.0028846153846153848, 'catch': 0.0019230769230769232, 'despise': 0.0019230769230769232, 'contemplate': 0.0019230769230769232, 'put': 0.0019230769230769232, 'bet': 0.0028846153846153848, 'want': 0.007692307692307693, 'need': 0.016346153846153847, 'dip': 0.0019230769230769232, 'survive': 0.0028846153846153848, 'blaze': 0.0009615384615384616, 'fuck': 0.0019230769230769232, 'bail': 0.0009615384615384616, 'passed': 0.0009615384615384616, 'drank': 0.0009615384615384616, 'mean': 0.009615384615384616, 'grew': 0.0038461538461538464, 'paint': 0.0019230769230769232, 'keep': 0.0038461538461538464, 'guess': 0.004807692307692308, 'lost': 0.0057692307692307696, 'talk': 0.0009615384615384616, 'tell': 0.0057692307692307696, 'caught': 0.0009615384615384616, 'kiss': 0.0019230769230769232, 'blew': 0.0009615384615384616, 'touch': 0.0009615384615384616, 'refused': 0.0009615384615384616, 'couldnt': 0.004807692307692308, 'succeed': 0.0009615384615384616, 'should': 0.0019230769230769232, 'died': 0.0019230769230769232, 'breathe': 0.0019230769230769232, 'wake': 0.0019230769230769232, 'call': 0.0038461538461538464, 'am': 0.0009615384615384616, 'fighting': 0.0028846153846153848, 'trying': 0.0057692307692307696, 'dying': 0.0028846153846153848, 'laugh': 0.0009615384615384616, 'wasnt': 0.0019230769230769232, 'would': 0.0028846153846153848, 'gets': 0.0019230769230769232, 'stress': 0.0009615384615384616, 'only': 0.004807692307692308, 'pause': 0.0009615384615384616, 'make': 0.0019230769230769232, 'leave': 0.0057692307692307696, 'slide': 0.0009615384615384616, 'bend': 0.0009615384615384616, 'flip': 0.0009615384615384616, 'look': 0.0009615384615384616, 'shall': 0.0009615384615384616, 'walk': 0.0019230769230769232, 'thrived': 0.0009615384615384616, 'suffered': 0.0038461538461538464, 'spend': 0.0009615384615384616, 'fail': 0.0009615384615384616, 'come': 0.0038461538461538464, 'tried': 0.0028846153846153848, 'glance': 0.0009615384615384616, 'wanna': 0.014423076923076924, 'shouldve': 0.0038461538461538464, 'open': 0.0009615384615384616, 'be': 0.006730769230769231, 'thought': 0.0028846153846153848, 'broke': 0.0009615384615384616, 'treated': 0.0009615384615384616, 'knew': 0.0038461538461538464, 'welcome': 0.0028846153846153848, 'sit': 0.0019230769230769232, 'stop': 0.0009615384615384616, 'still': 0.0009615384615384616, 'refuse': 0.0019230769230769232, 'set': 0.0009615384615384616, 'upset': 0.0009615384615384616, 'write': 0.0009615384615384616, 'less': 0.0009615384615384616, 'chose': 0.0009615384615384616, 'trust': 0.0019230769230769232, 'shoot': 0.0009615384615384616, 'clock': 0.0009615384615384616, 'wait': 0.0019230769230769232, 'adore': 0.0009615384615384616, 'holla': 0.0009615384615384616, 'dedicate': 0.0009615384615384616, 'a': 0.0009615384615384616, 'fight': 0.0009615384615384616, 'observe': 0.0009615384615384616, 'swear': 0.0019230769230769232, 'promise': 0.0009615384615384616, 'stroll': 0.0009615384615384616, 'inflict': 0.0009615384615384616, 'dig': 0.0009615384615384616, 'stretch': 0.0009615384615384616, 'cry': 0.0019230769230769232, 'once': 0.0009615384615384616, 'held': 0.0009615384615384616, 'survived': 0.0009615384615384616, 'did': 0.0019230769230769232, 'sleep': 0.0009615384615384616, 'ever': 0.011538461538461539, 'reject': 0.0009615384615384616, 'wouldnt': 0.0009615384615384616, 'heard': 0.0028846153846153848, 'mention': 0.0009615384615384616, 'bring': 0.0009615384615384616, 'salute': 0.0009615384615384616, 'ride': 0.0009615384615384616, 'rhyme': 0.0009615384615384616, 'roll': 0.0019230769230769232, 'forgot': 0.0019230769230769232, 'change': 0.0009615384615384616, 'sexed': 0.0009615384615384616, 'flow': 0.0009615384615384616, 'conceive': 0.0009615384615384616, 'feed': 0.0009615384615384616, 'gots': 0.0019230769230769232, 'needs': 0.0009615384615384616, 'dump': 0.0009615384615384616, 'clear': 0.0009615384615384616, 'will': 0.0009615384615384616, 'check': 0.0009615384615384616, 'fall': 0.0009615384615384616, 'learned': 0.0009615384615384616, 'find': 0.0009615384615384616, 'decided': 0.0009615384615384616, 'betcha': 0.008653846153846154, 'pass': 0.0019230769230769232, 'loved': 0.0009615384615384616, 'figured': 0.0009615384615384616, 'dropped': 0.0009615384615384616, 'have': 0.0028846153846153848, 'believe': 0.0019230769230769232, 'raise': 0.0009615384615384616, 'kiddin': 0.0009615384615384616, 'might': 0.0009615384615384616, 'wanted': 0.0009615384615384616, 'proceed': 0.0019230769230769232, 'played': 0.0009615384615384616, 'position': 0.0009615384615384616, 'run': 0.0009615384615384616, 'blasted': 0.0009615384615384616, 'lay': 0.0009615384615384616, 'fear': 0.0019230769230769232, 'first': 0.0009615384615384616, 'worry': 0.0009615384615384616, 'kick': 0.0009615384615384616, 'load': 0.0009615384615384616, 'i': 0.0009615384615384616, 'send': 0.0019230769230769232, 'settled': 0.0009615384615384616, 'miss': 0.0009615384615384616, 'met': 0.0019230769230769232, 'smiled': 0.0009615384615384616, 'split': 0.0009615384615384616, 'wrong': 0.0009615384615384616, 'command': 0.0009615384615384616, 'gain': 0.0009615384615384616, 'penetrate': 0.0009615384615384616, 'created': 0.0009615384615384616, 'attack': 0.0009615384615384616, 'crush': 0.0009615384615384616, 'left': 0.0009615384615384616, 'wrote': 0.0009615384615384616, 'comes': 0.0009615384615384616, 'use': 0.0009615384615384616, 'defeat': 0.0009615384615384616, 'rock': 0.0019230769230769232, 'makes': 0.0009615384615384616, 'erase': 0.0009615384615384616, 'planned': 0.0009615384615384616, 'show': 0.0009615384615384616, 'bomb': 0.0009615384615384616, 'dumped': 0.0009615384615384616, 'speak': 0.0009615384615384616, 'scream': 0.0009615384615384616, 'plan': 0.0009615384615384616, 'hate': 0.0009615384615384616, 'cheat': 0.0009615384615384616, 'stroke': 0.0009615384615384616, 'like': 0.0009615384615384616, 'let': 0.0019230769230769232, 'watch': 0.0009615384615384616, 'smoke': 0.0009615384615384616, 'end': 0.0009615384615384616, 'found': 0.0009615384615384616, 'sacrifice': 0.0009615384615384616, 'deliver': 0.0009615384615384616, 'start': 0.0019230769230769232, 'hustle': 0.0009615384615384616, 'reachin': 0.0009615384615384616, 'explain': 0.0009615384615384616, 'dare': 0.0009615384615384616, 'stumble': 0.0009615384615384616, 'care': 0.0009615384615384616, 'neeeeed': 0.0009615384615384616, 'seen': 0.0009615384615384616, 'locked': 0.0009615384615384616, 'pray': 0.0009615384615384616}"
aint,"{'got': 0.01762114537444934, 'even': 0.022026431718061675, 'never': 0.07048458149779736, 'no': 0.11894273127753303, 'shit': 0.004405286343612335, 'fair': 0.004405286343612335, 'singin': 0.004405286343612335, 'nothin': 0.14537444933920704, 'ready': 0.00881057268722467, 'a': 0.01762114537444934, 'have': 0.00881057268722467, 'cool': 0.004405286343612335, 'tryin': 0.013215859030837005, 'meant': 0.004405286343612335, 'scared': 0.00881057268722467, 'there': 0.004405286343612335, 'the': 0.022026431718061675, 'easy': 0.00881057268722467, 'nobody': 0.00881057268722467, 'guilty': 0.004405286343612335, 'right': 0.004405286343612335, 'funny': 0.004405286343612335, 'worried': 0.00881057268722467, 'mad': 0.10572687224669604, 'talk': 0.004405286343612335, 'happy': 0.013215859030837005, 'real': 0.004405286343612335, 'nothing': 0.01762114537444934, 'workin': 0.004405286343612335, 'rich': 0.004405286343612335, 'call': 0.004405286343612335, 'impressed': 0.004405286343612335, 'about': 0.00881057268722467, 'livin': 0.004405286343612335, 'it': 0.004405286343612335, 'know': 0.004405286343612335, 'stoppin': 0.004405286343612335, 'had': 0.00881057268722467, 'kill': 0.004405286343612335, 'quittin': 0.004405286343612335, 'heard': 0.00881057268722467, 'an': 0.004405286343612335, 'going': 0.00881057268722467, 'begging': 0.004405286343612335, 'loving': 0.030837004405286344, 'gotta': 0.004405286343612335, 'forgot': 0.004405286343612335, 'flashed': 0.004405286343612335, 'trippin': 0.004405286343612335, 'sweatin': 0.004405286343612335, 'knowin': 0.00881057268722467, 'in': 0.004405286343612335, 'thorough': 0.004405286343612335, 'personal': 0.004405286343612335, 'promised': 0.004405286343612335, 'what': 0.004405286343612335, 'goin': 0.01762114537444934, 'lookin': 0.00881057268722467, 'around': 0.004405286343612335, 'gods': 0.004405286343612335, 'gonna': 0.004405286343612335, 'blastin': 0.004405286343612335, 'changed': 0.00881057268722467, 'decline': 0.004405286343612335, 'beggin': 0.004405286343612335, 'fuckin': 0.004405286343612335, 'lovin': 0.004405286343612335, 'ever': 0.06607929515418502, 'one': 0.004405286343612335, 'down': 0.004405286343612335, 'gon': 0.00881057268722467, 'bout': 0.004405286343612335, 'checkin': 0.004405286343612335}"
got,"{'no': 0.019230769230769232, 'dropped': 0.004807692307692308, 'em': 0.004807692307692308, 'sicklecell': 0.004807692307692308, 'guns': 0.004807692307692308, 'love': 0.009615384615384616, 'a': 0.17307692307692307, 'to': 0.0625, 'our': 0.009615384615384616, 'money': 0.004807692307692308, 'nothin': 0.04326923076923077, 'be': 0.009615384615384616, 'the': 0.07692307692307693, 'rough': 0.004807692307692308, 'me': 0.16346153846153846, 'with': 0.004807692307692308, 'problems': 0.004807692307692308, 'spittin': 0.004807692307692308, 'it': 0.019230769230769232, 'four': 0.004807692307692308, 'some': 0.028846153846153848, 'bustas': 0.004807692307692308, 'left': 0.004807692307692308, 'your': 0.014423076923076924, 'police': 0.004807692307692308, 'all': 0.004807692307692308, 'us': 0.004807692307692308, 'stretched': 0.004807692307692308, 'bail': 0.004807692307692308, 'so': 0.004807692307692308, 'him': 0.004807692307692308, 'introduced': 0.004807692307692308, 'stepped': 0.004807692307692308, 'arrested': 0.004807692307692308, 'tired': 0.004807692307692308, 'shot': 0.009615384615384616, 'fatter': 0.004807692307692308, 'one': 0.014423076923076924, 'my': 0.052884615384615384, 'that': 0.004807692307692308, 'her': 0.004807692307692308, 'you': 0.028846153846153848, 'they': 0.004807692307692308, 'smoked': 0.009615384615384616, 'them': 0.009615384615384616, 'knocked': 0.004807692307692308, 'is': 0.004807692307692308, 'hoods': 0.004807692307692308, 'herself': 0.004807692307692308, 'first': 0.004807692307692308, 'two': 0.004807692307692308, 'keys': 0.004807692307692308, 'nuttin': 0.004807692307692308, 'another': 0.004807692307692308, 'this': 0.004807692307692308, 'hit': 0.009615384615384616, 'advice': 0.004807692307692308, 'words': 0.004807692307692308, 'evicted': 0.004807692307692308, 'these': 0.004807692307692308, 'ten': 0.004807692307692308, 'connects': 0.004807692307692308, 'shit': 0.004807692307692308, 'life': 0.004807692307692308, 'downs': 0.004807692307692308, 'on': 0.004807692307692308, 'jealous': 0.004807692307692308, 'worse': 0.004807692307692308}"
no,"{'motherfuckin': 0.01694915254237288, 'freestyle': 0.005649717514124294, 'points': 0.005649717514124294, 'need': 0.03389830508474576, 'changes': 0.01694915254237288, 'fool': 0.005649717514124294, 'right': 0.005649717514124294, 'no': 0.011299435028248588, 'it': 0.005649717514124294, 'hope': 0.011299435028248588, 'mo': 0.005649717514124294, 'screws': 0.005649717514124294, 'way': 0.022598870056497175, 'one': 0.10734463276836158, 'love': 0.022598870056497175, 'limit': 0.005649717514124294, 'words': 0.005649717514124294, 'man': 0.01694915254237288, 'good': 0.005649717514124294, 'time': 0.022598870056497175, 'guts': 0.005649717514124294, 'glory': 0.005649717514124294, 'plan': 0.005649717514124294, 'emotion': 0.005649717514124294, 'truer': 0.005649717514124294, 'more': 0.1751412429378531, 'mercy': 0.022598870056497175, 'answers': 0.005649717514124294, 'sinnin': 0.005649717514124294, 'bullshittin': 0.005649717514124294, 'coochie': 0.005649717514124294, 'such': 0.005649717514124294, 'hesitation': 0.005649717514124294, 'coming': 0.005649717514124294, 'stoppin': 0.005649717514124294, 'bucks': 0.005649717514124294, 'matter': 0.07344632768361582, 'addicted': 0.005649717514124294, 'longer': 0.022598870056497175, 'memories': 0.005649717514124294, 'future': 0.005649717514124294, 'control': 0.005649717514124294, 'evil': 0.01694915254237288, 'doubt': 0.01694915254237288, 'stranger': 0.005649717514124294, 'interruptions': 0.005649717514124294, 'intentions': 0.005649717514124294, 'heaven': 0.005649717514124294, 'place': 0.04519774011299435, 'money': 0.011299435028248588, 'babysitter': 0.005649717514124294, 'remorse': 0.011299435028248588, 'trick': 0.005649717514124294, 'warning': 0.005649717514124294, 'shit': 0.005649717514124294, 'friends': 0.005649717514124294, 'welfare': 0.005649717514124294, 'wonder': 0.005649717514124294, 'pleasure': 0.005649717514124294, 'fear': 0.005649717514124294, 'thing': 0.005649717514124294, 'verbal': 0.005649717514124294, 'escape': 0.005649717514124294, 'clause': 0.005649717514124294, 'replacement': 0.005649717514124294, 'witnesses': 0.005649717514124294, 'survivors': 0.005649717514124294, 'drama': 0.005649717514124294, 'pain': 0.011299435028248588, 'father': 0.005649717514124294, 'chance': 0.005649717514124294, 'guide': 0.005649717514124294, 'suckin': 0.005649717514124294, 'pity': 0.005649717514124294, 'justice': 0.005649717514124294}"
motherfuckin,"{'friends': 0.06060606060606061, 'joke': 0.030303030303030304, 'mama': 0.030303030303030304, 'opinion': 0.030303030303030304, 'crew': 0.030303030303030304, 'thug': 0.030303030303030304, 'mob': 0.030303030303030304, 'menace': 0.030303030303030304, 'og': 0.030303030303030304, 'razor': 0.030303030303030304, 'place': 0.030303030303030304, 'time': 0.030303030303030304, 'condoms': 0.030303030303030304, 'gs': 0.06060606060606061, 'gangsta': 0.18181818181818182, 'cash': 0.030303030303030304, 'purpose': 0.030303030303030304, 'one': 0.030303030303030304, 'mind': 0.030303030303030304, 'gloves': 0.030303030303030304, 'poisonous': 0.030303030303030304, 'mouth': 0.030303030303030304, 'room': 0.030303030303030304, 'game': 0.030303030303030304, 'niggas': 0.030303030303030304, 'raw': 0.030303030303030304}"
friends,"{'thats': 0.07692307692307693, 'but': 0.15384615384615385, 'oh': 0.07692307692307693, 'video': 0.07692307692307693, 'so': 0.07692307692307693, 'wanted': 0.07692307692307693, 'they': 0.07692307692307693, 'in': 0.07692307692307693, 'come': 0.07692307692307693, 'hopin': 0.07692307692307693, 'and': 0.07692307692307693, 'nigga': 0.07692307692307693}"
thats,"{'why': 0.09090909090909091, 'aight': 0.010101010101010102, 'what': 0.0707070707070707, 'how': 0.010101010101010102, 'the': 0.09090909090909091, 'just': 0.16161616161616163, 'when': 0.030303030303030304, 'right': 0.13131313131313133, 'untouchable': 0.010101010101010102, 'all': 0.020202020202020204, 'legendary': 0.010101010101010102, 'gettin': 0.010101010101010102, 'on': 0.04040404040404041, 'no': 0.010101010101010102, 'for': 0.020202020202020204, 'real': 0.020202020202020204, 'my': 0.030303030303030304, 'askin': 0.010101010101010102, 'cool': 0.010101010101010102, 'cursed': 0.010101010101010102, 'keepin': 0.010101010101010102, 'quick': 0.010101010101010102, 'insecure': 0.010101010101010102, 'a': 0.050505050505050504, 'full': 0.010101010101010102, 'not': 0.010101010101010102, 'up': 0.010101010101010102, 'ride': 0.010101010101010102, 'until': 0.010101010101010102, 'okay': 0.010101010101010102, 'money': 0.010101010101010102, 'eternal': 0.010101010101010102, 'that': 0.010101010101010102, 'after': 0.010101010101010102, 'regardless': 0.010101010101010102, 'devante': 0.010101010101010102}"
why,"{'i': 0.0970873786407767, 'im': 0.019417475728155338, 'we': 0.18446601941747573, 'why': 0.05825242718446602, 'his': 0.009708737864077669, 'they': 0.2621359223300971, 'the': 0.038834951456310676, 'thank': 0.009708737864077669, 'you': 0.05825242718446602, 'everybody': 0.009708737864077669, 'am': 0.11650485436893204, 'your': 0.019417475728155338, 'dont': 0.009708737864077669, 'as': 0.009708737864077669, 'a': 0.009708737864077669, 'niggas': 0.009708737864077669, 'these': 0.019417475728155338, 'when': 0.009708737864077669, 'do': 0.009708737864077669, 'cause': 0.019417475728155338, 'is': 0.009708737864077669, 'and': 0.009708737864077669}"
fucked,"{'yo': 0.1, 'your': 0.1, 'for': 0.1, 'in': 0.1, 'up': 0.2, 'down': 0.1, 'a': 0.1, 'with': 0.1, 'us': 0.1}"
