Word,Frequency
im,"{'drownin': 0.03734439834024896, 'surrounded': 0.012448132780082987, 'holdin': 0.006224066390041493, 'with': 0.01867219917012448, 'gon': 0.024896265560165973, 'polod': 0.002074688796680498, 'the': 0.03112033195020747, 'fartin': 0.002074688796680498, 'in': 0.026970954356846474, 'goin': 0.02074688796680498, 'haitian': 0.002074688796680498, 'ridin': 0.002074688796680498, 'a': 0.06224066390041494, 'saying': 0.008298755186721992, 'stuck': 0.014522821576763486, 'done': 0.02074688796680498, 'gettin': 0.002074688796680498, 'doing': 0.002074688796680498, 'going': 0.014522821576763486, 'from': 0.022821576763485476, 'an': 0.01037344398340249, 'just': 0.07053941908713693, 'all': 0.01037344398340249, 'really': 0.058091286307053944, 'on': 0.01037344398340249, 'billy': 0.002074688796680498, 'faded': 0.002074688796680498, 'still': 0.016597510373443983, 'sittin': 0.002074688796680498, 'posed': 0.006224066390041493, 'hoping': 0.004149377593360996, 'like': 0.01867219917012448, 'feeling': 0.012448132780082987, 'ahh': 0.002074688796680498, 'thinkin': 0.002074688796680498, 'losin': 0.002074688796680498, 'so': 0.012448132780082987, 'bleedin': 0.002074688796680498, 'coming': 0.002074688796680498, 'shameless': 0.002074688796680498, 'wrong': 0.004149377593360996, 'right': 0.004149377593360996, 'not': 0.024896265560165973, 'allergic': 0.002074688796680498, 'making': 0.006224066390041493, 'good': 0.016597510373443983, 'speeding': 0.002074688796680498, 'living': 0.002074688796680498, 'killing': 0.002074688796680498, 'cheating': 0.004149377593360996, 'up': 0.004149377593360996, 'playing': 0.002074688796680498, 'confident': 0.002074688796680498, 'copping': 0.002074688796680498, 'bout': 0.004149377593360996, 'that': 0.004149377593360996, 'buggin': 0.002074688796680498, 'losing': 0.002074688796680498, 'ballin': 0.004149377593360996, 'hoopin': 0.002074688796680498, 'true': 0.002074688796680498, 'rollin': 0.002074688796680498, 'puttin': 0.002074688796680498, 'havin': 0.002074688796680498, 'sorry': 0.012448132780082987, 'too': 0.008298755186721992, 'looking': 0.002074688796680498, 'talking': 0.002074688796680498, 'whippinthe': 0.002074688796680498, 'addicted': 0.008298755186721992, 'whippin': 0.004149377593360996, 'lurkin': 0.002074688796680498, 'no': 0.004149377593360996, 'supposed': 0.014522821576763486, 'rich': 0.008298755186721992, 'twostepping': 0.002074688796680498, 'late': 0.002074688796680498, 'having': 0.002074688796680498, 'bringing': 0.002074688796680498, 'happy': 0.002074688796680498, 'walking': 0.002074688796680498, 'scoring': 0.002074688796680498, 'probably': 0.006224066390041493, 'creepin': 0.002074688796680498, 'rbin': 0.002074688796680498, 'playin': 0.004149377593360996, 'dangerous': 0.012448132780082987, 'by': 0.004149377593360996, 'stalking': 0.006224066390041493, 'countin': 0.002074688796680498, 'watching': 0.004149377593360996, 'should': 0.002074688796680498, 'woah': 0.002074688796680498, 'far': 0.002074688796680498, 'gone': 0.004149377593360996, 'crazy': 0.002074688796680498, 'through': 0.002074688796680498, 'cool': 0.002074688796680498, 'rocking': 0.004149377593360996, 'fucking': 0.002074688796680498, 'holding': 0.002074688796680498, 'flexing': 0.004149377593360996, 'leaning': 0.002074688796680498, 'turnt': 0.002074688796680498, 'out': 0.002074688796680498, 'feelin': 0.02074688796680498, 'biggaveli': 0.014522821576763486, 'number': 0.002074688796680498, 'nelly': 0.002074688796680498, 'fucked': 0.002074688796680498, 'moving': 0.006224066390041493, 'never': 0.002074688796680498, 'hard': 0.002074688796680498, 'jigga': 0.002074688796680498, 'used': 0.002074688796680498, 'taking': 0.002074688796680498, 'next': 0.002074688796680498, 'different': 0.002074688796680498, 'somethin': 0.002074688796680498, 'sinnin': 0.002074688796680498, 'trippin': 0.002074688796680498, 'wide': 0.006224066390041493, 'mad': 0.002074688796680498, 'glued': 0.002074688796680498, 'handsome': 0.008298755186721992, 'strokin': 0.002074688796680498, 'adolescent': 0.004149377593360996, 'stayin': 0.004149377593360996, 'one': 0.002074688796680498, 'fallin': 0.002074688796680498, 'callin': 0.002074688796680498, 'stupid': 0.004149377593360996, 'dtb': 0.01037344398340249, 'smacked': 0.002074688796680498, 'smokin': 0.002074688796680498, 'singing': 0.002074688796680498, 'bluffin': 0.002074688796680498, 'stuntin': 0.002074688796680498, 'agod': 0.002074688796680498, 'bad': 0.002074688796680498, 'scared': 0.002074688796680498, 'flexin': 0.002074688796680498, 'immaculate': 0.002074688796680498, 'paranoid': 0.006224066390041493, 'tittyboi': 0.002074688796680498, 'busy': 0.002074688796680498}"
drownin,"{'im': 0.3157894736842105, 'wrist': 0.05263157894736842, 'in': 0.15789473684210525, 'i': 0.15789473684210525, 'just': 0.05263157894736842, 'bitch': 0.10526315789473684, 'drownin': 0.05263157894736842, 'now': 0.05263157894736842, 'and': 0.05263157894736842}"
wrist,"{'so': 0.14285714285714285, 'and': 0.23809523809523808, 'flick': 0.19047619047619047, 'they': 0.047619047619047616, 'plugstudios': 0.047619047619047616, 'but': 0.047619047619047616, 'i': 0.09523809523809523, 'this': 0.047619047619047616, 'gone': 0.047619047619047616, 'bleed': 0.09523809523809523}"
so,"{'icy': 0.018518518518518517, 'heavy': 0.018518518518518517, 'deep': 0.006172839506172839, 'its': 0.006172839506172839, 'i': 0.13580246913580246, 'real': 0.006172839506172839, 'fucking': 0.006172839506172839, 'why': 0.012345679012345678, 'perfect': 0.018518518518518517, 'worth': 0.006172839506172839, 'much': 0.043209876543209874, 'comfortable': 0.006172839506172839, 'skeptical': 0.006172839506172839, 'me': 0.006172839506172839, 'treat': 0.006172839506172839, 'good': 0.024691358024691357, 'sad': 0.012345679012345678, 'whats': 0.018518518518518517, 'you': 0.030864197530864196, 'they': 0.012345679012345678, 'wassup': 0.018518518518518517, 'damn': 0.018518518518518517, 'tell': 0.006172839506172839, 'over': 0.006172839506172839, 'get': 0.006172839506172839, 'we': 0.006172839506172839, 'many': 0.012345679012345678, 'if': 0.006172839506172839, 'temporary': 0.06790123456790123, 'now': 0.012345679012345678, 'when': 0.006172839506172839, 'embarrassing': 0.012345679012345678, 'embarrassin': 0.006172839506172839, 'hard': 0.06790123456790123, 'faded': 0.006172839506172839, 'hurt': 0.006172839506172839, 'biggie': 0.006172839506172839, 'special': 0.012345679012345678, 'wrong': 0.006172839506172839, 'bad': 0.006172839506172839, 'mad': 0.018518518518518517, 'so': 0.04938271604938271, 'far': 0.006172839506172839, 'expensive': 0.006172839506172839, 'used': 0.006172839506172839, 'fly': 0.018518518518518517, 'high': 0.018518518518518517, 'thurl': 0.018518518518518517, 'wet': 0.006172839506172839, 'beautiful': 0.006172839506172839, 'weak': 0.006172839506172839, 'nasty': 0.012345679012345678, 'sexy': 0.012345679012345678, 'fat': 0.012345679012345678, 'caught': 0.006172839506172839, 'cold': 0.006172839506172839, 'keep': 0.012345679012345678, 'focused': 0.018518518518518517, 'dont': 0.006172839506172839, 'scared': 0.006172839506172839, 'the': 0.006172839506172839, 'petty': 0.018518518518518517, 'scary': 0.018518518518518517, 'jealous': 0.006172839506172839}"
icy,"{'wonder': 0.2727272727272727, 'yeah': 0.2727272727272727, 'uh': 0.2727272727272727, 'shes': 0.09090909090909091, 'oh': 0.09090909090909091}"
wonder,{'why': 1.0}
why,"{'she': 0.10294117647058823, 'would': 0.04411764705882353, 'you': 0.45588235294117646, 'the': 0.04411764705882353, 'i': 0.19117647058823528, 'my': 0.014705882352941176, 'im': 0.029411764705882353, 'they': 0.04411764705882353, 'them': 0.04411764705882353, 'ine': 0.014705882352941176, 'are': 0.014705882352941176}"
she,"{'like': 0.04777070063694268, 'see': 0.0031847133757961785, 'looked': 0.006369426751592357, 'call': 0.0031847133757961785, 'told': 0.012738853503184714, 'could': 0.0031847133757961785, 'a': 0.03821656050955414, 'think': 0.0031847133757961785, 'all': 0.01592356687898089, 'never': 0.01910828025477707, 'say': 0.006369426751592357, 'know': 0.06369426751592357, 'stuck': 0.0031847133757961785, 'did': 0.006369426751592357, 'curved': 0.0031847133757961785, 'tried': 0.022292993630573247, 'cant': 0.006369426751592357, 'not': 0.0031847133757961785, 'aint': 0.025477707006369428, 'good': 0.01910828025477707, 'make': 0.006369426751592357, 'wanted': 0.009554140127388535, 'the': 0.0031847133757961785, 'give': 0.006369426751592357, 'dont': 0.01592356687898089, 'put': 0.0031847133757961785, 'really': 0.006369426751592357, 'got': 0.0031847133757961785, 'said': 0.041401273885350316, 'only': 0.006369426751592357, 'goin': 0.0031847133757961785, 'promised': 0.0031847133757961785, 'popped': 0.0031847133757961785, 'moanin': 0.0031847133757961785, 'hold': 0.01592356687898089, 'on': 0.0031847133757961785, 'ya': 0.0031847133757961785, 'gone': 0.006369426751592357, 'already': 0.0031847133757961785, 'fuck': 0.0031847133757961785, 'squirtin': 0.0031847133757961785, 'ever': 0.0031847133757961785, 'basic': 0.0031847133757961785, 'came': 0.01592356687898089, 'deserve': 0.0031847133757961785, 'left': 0.006369426751592357, 'let': 0.041401273885350316, 'keep': 0.022292993630573247, 'knew': 0.0031847133757961785, 'at': 0.0031847133757961785, 'ask': 0.0031847133757961785, 'tryna': 0.0031847133757961785, 'numb': 0.0031847133757961785, 'moan': 0.0031847133757961785, 'be': 0.012738853503184714, 'switched': 0.0031847133757961785, 'held': 0.009554140127388535, 'missin': 0.0031847133757961785, 'just': 0.041401273885350316, 'gotta': 0.0031847133757961785, 'mix': 0.012738853503184714, 'getting': 0.006369426751592357, 'was': 0.01910828025477707, 'gon': 0.01592356687898089, 'fell': 0.009554140127388535, 'take': 0.009554140127388535, 'will': 0.0031847133757961785, 'listen': 0.0031847133757961785, 'wanna': 0.01910828025477707, 'pulled': 0.006369426751592357, 'had': 0.0031847133757961785, 'suck': 0.0031847133757961785, 'always': 0.03184713375796178, 'my': 0.012738853503184714, 'hate': 0.012738853503184714, 'mine': 0.012738853503184714, 'feel': 0.012738853503184714, 'realized': 0.0031847133757961785, 'couldnt': 0.0031847133757961785, 'damn': 0.012738853503184714, 'upset': 0.012738853503184714, 'throwing': 0.012738853503184714, 'used': 0.022292993630573247, 'walk': 0.009554140127388535, 'wont': 0.009554140127388535, 'hit': 0.0031847133757961785, 'look': 0.0031847133757961785, 'what': 0.0031847133757961785, 'done': 0.0031847133757961785, 'wasnt': 0.009554140127388535, 'ride': 0.0031847133757961785, 'bike': 0.0031847133757961785, 'so': 0.009554140127388535, 'fucking': 0.0031847133757961785, 'went': 0.0031847133757961785, 'still': 0.0031847133757961785, 'nia': 0.0031847133757961785, 'might': 0.0031847133757961785, 'gripping': 0.0031847133757961785, 'broke': 0.0031847133757961785, 'talk': 0.0031847133757961785, 'suckin': 0.0031847133757961785}"
like,"{'me': 0.07092198581560284, 'im': 0.11347517730496454, 'carlton': 0.0035460992907801418, 'gotti': 0.0035460992907801418, 'you': 0.05319148936170213, 'he': 0.0070921985815602835, 'a': 0.14893617021276595, 'what': 0.010638297872340425, 'jaegen': 0.010638297872340425, 'my': 0.0425531914893617, 'i': 0.04609929078014184, 'they': 0.03900709219858156, 'the': 0.03900709219858156, 'where': 0.0035460992907801418, 'this': 0.010638297872340425, 'how': 0.024822695035460994, 'money': 0.0035460992907801418, 'its': 0.01773049645390071, 'jackson': 0.0035460992907801418, 'we': 0.0035460992907801418, 'abusbut': 0.0035460992907801418, 'look': 0.0035460992907801418, 'mma': 0.0035460992907801418, 'ill': 0.0035460992907801418, 'an': 0.0035460992907801418, 'with': 0.0035460992907801418, 'wet': 0.02127659574468085, 'stalking': 0.0035460992907801418, 'nothing': 0.0035460992907801418, 'chicago': 0.0035460992907801418, 'on': 0.0035460992907801418, 'ninetynine': 0.0070921985815602835, 'damn': 0.03900709219858156, 'growin': 0.0035460992907801418, 'nyquil': 0.0035460992907801418, 'no': 0.0035460992907801418, 'to': 0.0070921985815602835, 'uh': 0.0035460992907801418, 'she': 0.010638297872340425, 'skrrt': 0.0035460992907801418, 'belly': 0.0035460992907801418, 'remy': 0.0035460992907801418, 'macaroni': 0.010638297872340425, 'loubs': 0.0035460992907801418, '50': 0.0035460992907801418, 'seven': 0.0035460992907801418, 'three': 0.0035460992907801418, 'it': 0.0070921985815602835, 'why': 0.0425531914893617, 'like': 0.0070921985815602835, 'sex': 0.0070921985815602835, 'lamelo': 0.0035460992907801418, 'saint': 0.0035460992907801418, 'throwing': 0.0035460992907801418, 'christina': 0.0035460992907801418, 'dogs': 0.0035460992907801418, 'stackin': 0.0035460992907801418, 'cause': 0.0035460992907801418, 'boy': 0.0035460992907801418, 'cinderella': 0.0070921985815602835, 'whats': 0.010638297872340425, 'okay': 0.0035460992907801418, 'cigarettes': 0.0035460992907801418, 'mine': 0.0035460992907801418, 'batman': 0.0070921985815602835, 'lesbians': 0.0070921985815602835, 'wesley': 0.0070921985815602835, 'reeses': 0.0035460992907801418, 'jamaicans': 0.0035460992907801418, 'can': 0.02127659574468085, 'bitches': 0.0035460992907801418}"
me,"{'bitch': 0.006299212598425197, 'daddy': 0.0015748031496062992, 'this': 0.006299212598425197, 'saying': 0.0031496062992125984, 'now': 0.01889763779527559, 'cant': 0.006299212598425197, 'you': 0.03622047244094488, 'i': 0.06771653543307087, 'my': 0.007874015748031496, 'feeling': 0.0015748031496062992, 'singing': 0.0015748031496062992, 'forever': 0.0015748031496062992, 'in': 0.026771653543307086, 'wanna': 0.004724409448818898, 'rondo': 0.0015748031496062992, 'nigga': 0.009448818897637795, 'love': 0.0031496062992125984, 'into': 0.0031496062992125984, 'go': 0.009448818897637795, 'to': 0.02047244094488189, 'beat': 0.006299212598425197, 'up': 0.014173228346456693, 'when': 0.011023622047244094, 'it': 0.012598425196850394, 'if': 0.006299212598425197, 'feel': 0.0015748031496062992, 'looking': 0.0015748031496062992, 'and': 0.04094488188976378, 'not': 0.0031496062992125984, 'dirty': 0.0031496062992125984, 'fall': 0.0015748031496062992, 'on': 0.004724409448818898, 'alone': 0.01889763779527559, 'perform': 0.0015748031496062992, 'the': 0.006299212598425197, 'damn': 0.0015748031496062992, 'only': 0.0015748031496062992, 'fun': 0.0015748031496062992, 'these': 0.004724409448818898, 'yeah': 0.028346456692913385, 'tell': 0.02047244094488189, 'girl': 0.02047244094488189, 'cause': 0.023622047244094488, 'got': 0.0015748031496062992, 'think': 0.0015748031496062992, 'that': 0.007874015748031496, 'hurting': 0.0015748031496062992, 'everybody': 0.0015748031496062992, 'a': 0.025196850393700787, 'so': 0.006299212598425197, 'reasons': 0.0031496062992125984, 'good': 0.0015748031496062992, 'back': 0.006299212598425197, 'hit': 0.0015748031496062992, 'keep': 0.0015748031496062992, 'ayo': 0.0015748031496062992, 'his': 0.0015748031496062992, 'he': 0.0015748031496062992, 'chopper': 0.0015748031496062992, 'waves': 0.0015748031496062992, 'what': 0.009448818897637795, 'why': 0.004724409448818898, 'like': 0.03622047244094488, 'youre': 0.012598425196850394, 'appreciate': 0.0031496062992125984, 'congratulate': 0.0031496062992125984, 'look': 0.0015748031496062992, 'would': 0.007874015748031496, 'dont': 0.012598425196850394, 'until': 0.0015748031496062992, 'feelin': 0.004724409448818898, 'away': 0.006299212598425197, 'sloppy': 0.0015748031496062992, 'im': 0.02047244094488189, 'with': 0.007874015748031496, 'turn': 0.012598425196850394, 'over': 0.007874015748031496, 'ill': 0.0015748031496062992, 'give': 0.0015748031496062992, 'head': 0.004724409448818898, 'then': 0.0015748031496062992, 'they': 0.014173228346456693, 'itll': 0.0015748031496062992, 'fuck': 0.0015748031496062992, 'here': 0.0031496062992125984, 'sex': 0.004724409448818898, 'uh': 0.004724409448818898, 'no': 0.007874015748031496, 'ooh': 0.0015748031496062992, 'tourin': 0.0015748031496062992, 'well': 0.0015748031496062992, 'doin': 0.0015748031496062992, 'from': 0.0015748031496062992, 'let': 0.011023622047244094, 'walaikum': 0.0031496062992125984, 'paparazzi': 0.0015748031496062992, 'hate': 0.0015748031496062992, 'buying': 0.0015748031496062992, 'ballin': 0.0015748031496062992, 'mmh': 0.0015748031496062992, 'thats': 0.0015748031496062992, 'see': 0.0015748031496062992, 'for': 0.007874015748031496, 'ayy': 0.0015748031496062992, 'young': 0.0015748031496062992, 'bet': 0.0015748031496062992, 'questions': 0.0015748031496062992, 'causemy': 0.0015748031496062992, 'down': 0.0031496062992125984, 'run': 0.0015748031496062992, 'ima': 0.0031496062992125984, 'through': 0.0015748031496062992, 'rock': 0.0015748031496062992, 'get': 0.0015748031496062992, 'most': 0.0015748031496062992, 'ice': 0.0015748031496062992, 'aint': 0.0015748031496062992, 'stretch': 0.0015748031496062992, 'slippin': 0.0015748031496062992, 'rollin': 0.0015748031496062992, 'touch': 0.011023622047244094, 'huh': 0.0015748031496062992, 'mad': 0.0031496062992125984, 'nothing': 0.0015748031496062992, 'done': 0.0015748031496062992, 'hold': 0.0015748031496062992, 'every': 0.0015748031496062992, 'dumb': 0.0015748031496062992, 'oh': 0.0015748031496062992, 'louis': 0.0015748031496062992, 'but': 0.007874015748031496, 'off': 0.0015748031496062992, 'slipping': 0.0015748031496062992, 'right': 0.0015748031496062992, 'how': 0.011023622047244094, 'blisters': 0.0015748031496062992, 'whats': 0.0015748031496062992, 'cum': 0.0015748031496062992, 'fed': 0.004724409448818898, 'clapped': 0.0015748031496062992, 'dap': 0.0015748031496062992, 'by': 0.0031496062992125984, 'can': 0.0015748031496062992, 'matter': 0.0015748031496062992, 'too': 0.0031496062992125984, 'baby': 0.0015748031496062992, 'where': 0.0031496062992125984, 'told': 0.0015748031496062992, 'presidential': 0.0015748031496062992, 'she': 0.014173228346456693, 'her': 0.004724409448818898, 'unhappy': 0.009448818897637795, 'papi': 0.0015748031496062992, 'around': 0.0015748031496062992, 'neither': 0.0015748031496062992, 'about': 0.0031496062992125984, 'brain': 0.0031496062992125984, 'iggin': 0.0031496062992125984, 'send': 0.0031496062992125984, 'need': 0.0031496062992125984, 'care': 0.006299212598425197, 'make': 0.0031496062992125984, 'sin': 0.0031496062992125984, 'snipe': 0.0031496062992125984, 'write': 0.0015748031496062992, 'want': 0.0015748031496062992, 'know': 0.0015748031496062992, 'lose': 0.0015748031496062992, 'shining': 0.0015748031496062992, 'still': 0.0015748031496062992, 'nobodys': 0.009448818897637795, 'evil': 0.0015748031496062992, 'riding': 0.0015748031496062992, 'bro': 0.0015748031496062992, 'tissue': 0.0015748031496062992, 'couple': 0.0015748031496062992, 'diamonds': 0.0015748031496062992, 'two': 0.0015748031496062992, 'lookin': 0.0015748031496062992, '38': 0.0015748031496062992, 'pull': 0.0031496062992125984, 'lackin': 0.0015748031496062992, 'never': 0.0015748031496062992, 'set': 0.0015748031496062992}"
