Word,Frequency
heartbreak,{'drowned': 1.0}
drowned,{'sorrows': 1.0}
sorrows,{'in': 1.0}
in,"{'a': 0.1187214611872146, 'it': 0.0091324200913242, 'and': 0.00228310502283105, 'the': 0.4155251141552511, 'bed': 0.0045662100456621, 'your': 0.0228310502283105, 'opportunity': 0.00228310502283105, 'i': 0.0091324200913242, 'an': 0.00684931506849315, 'three': 0.00228310502283105, 'front': 0.00228310502283105, 'my': 0.06164383561643835, 'their': 0.00228310502283105, 'transco': 0.00228310502283105, 'valet': 0.00228310502283105, 'sunny': 0.00684931506849315, 'life': 0.0228310502283105, 'june': 0.00228310502283105, 'everything': 0.00228310502283105, 'there': 0.0045662100456621, 'queens': 0.00684931506849315, 'from': 0.0045662100456621, 'nagano': 0.0045662100456621, 'that': 0.01141552511415525, 'sicily': 0.00228310502283105, 'bring': 0.00228310502283105, 'pursuit': 0.00228310502283105, 'corona': 0.00228310502283105, 'niagara': 0.00228310502283105, 'hand': 0.00228310502283105, 'cancun': 0.00228310502283105, 'london': 0.0045662100456621, 'july': 0.00228310502283105, 'ac': 0.00228310502283105, 'venice': 0.00228310502283105, 'dublin': 0.00228310502283105, 'im': 0.00228310502283105, 'flushing': 0.00228310502283105, 'wet': 0.00228310502283105, 'mexico': 0.00228310502283105, 'heaven': 0.00228310502283105, 'on': 0.00228310502283105, 'spanish': 0.00228310502283105, 'all': 0.0045662100456621, 'this': 0.00684931506849315, 'synchronistic': 0.00228310502283105, 'our': 0.00228310502283105, 'first': 0.00228310502283105, 'flocks': 0.00228310502283105, 'his': 0.00228310502283105, 'her': 0.0136986301369863, 'crystal': 0.00228310502283105, 'vinegar': 0.0045662100456621, 'bumblefuck': 0.00228310502283105, 'phoenix': 0.00228310502283105, 'imma': 0.00228310502283105, 'hard': 0.00228310502283105, 'like': 0.0045662100456621, 'shape': 0.00228310502283105, 'case': 0.00228310502283105, 'aluminium': 0.00228310502283105, 'only': 0.00228310502283105, 'some': 0.00228310502283105, 'vegas': 0.00228310502283105, 'genovese': 0.00228310502283105, 'orchard': 0.00228310502283105, 'passing': 0.00228310502283105, 'asics': 0.00228310502283105, 'of': 0.00228310502283105, 'was': 0.0136986301369863, 'new': 0.00228310502283105, 'to': 0.00228310502283105, 'amazement': 0.00228310502283105, 'town': 0.00228310502283105, 'goal': 0.00228310502283105, 'rome': 0.00228310502283105, 'milan': 0.00228310502283105, '3d': 0.00228310502283105, 'fiji': 0.00228310502283105, 'thailand': 0.00228310502283105, 'thighs': 0.00228310502283105, 'place': 0.00228310502283105, 'space': 0.00228310502283105, 'each': 0.00228310502283105, 'bronson': 0.00228310502283105, 'ya': 0.00228310502283105, 'motion': 0.00228310502283105, 'here': 0.00228310502283105, 'dental': 0.00228310502283105, 'ceelo': 0.00228310502283105, 'boat': 0.00228310502283105, 'little': 0.00228310502283105, 'season': 0.00228310502283105, '83': 0.00228310502283105, 'its': 0.00228310502283105, 'waynes': 0.00228310502283105, 'bermuda': 0.00228310502283105, 'america': 0.0228310502283105, 'roanoke': 0.00228310502283105, 'paris': 0.00228310502283105, 'greece': 0.00228310502283105, 'patakis': 0.00228310502283105, 'russia': 0.00228310502283105, 'arms': 0.00228310502283105, 'lido': 0.00228310502283105, 'england': 0.00228310502283105, 'these': 0.00228310502283105, 'ice': 0.00228310502283105, 'pittsburgh': 0.00228310502283105, 'rockaway': 0.00228310502283105, 'deer': 0.00228310502283105, 'grey': 0.00228310502283105, 'back': 0.00228310502283105, 'rockin': 0.00228310502283105, 'foot': 0.00228310502283105, 'you': 0.00228310502283105, 'kholes': 0.00228310502283105}"
a,"{'large': 0.003110419906687403, 'bitch': 0.013996889580093312, 'young': 0.007776049766718507, 'date': 0.0015552099533437014, 'horse': 0.004665629860031105, 'lot': 0.017107309486780714, 'paper': 0.003110419906687403, 'razor': 0.003110419906687403, 'fridays': 0.0015552099533437014, 'fade': 0.0015552099533437014, 'reason': 0.0015552099533437014, 'motherfucker': 0.012441679626749611, 'thing': 0.004665629860031105, 'fuckup': 0.0015552099533437014, 'different': 0.0015552099533437014, 'robe': 0.0015552099533437014, 'sail': 0.0015552099533437014, 'wolf': 0.0015552099533437014, 'reverends': 0.0015552099533437014, 'humvee': 0.0015552099533437014, 'bad': 0.003110419906687403, 'mans': 0.0015552099533437014, 'transam': 0.0015552099533437014, 'midget': 0.0015552099533437014, 'million': 0.003110419906687403, 'hot': 0.004665629860031105, 'hockey': 0.003110419906687403, 'chest': 0.003110419906687403, 'dresser': 0.0015552099533437014, 'little': 0.017107309486780714, 'fuck': 0.007776049766718507, 'sinner': 0.0015552099533437014, 'baby': 0.006220839813374806, 'pen': 0.0015552099533437014, 'jacuzzi': 0.0015552099533437014, 'kiss': 0.003110419906687403, 'leather': 0.007776049766718507, 'bunch': 0.00933125972006221, 'hook': 0.0015552099533437014, 'shooter': 0.0015552099533437014, 'retard': 0.0015552099533437014, 'quarter': 0.003110419906687403, 'bush': 0.0015552099533437014, 'private': 0.0015552099533437014, 'shit': 0.006220839813374806, 'fiend': 0.00933125972006221, 'wedding': 0.003110419906687403, 'special': 0.003110419906687403, 'man': 0.004665629860031105, 'walking': 0.0015552099533437014, 'tune': 0.0015552099533437014, 'shrink': 0.0015552099533437014, 'thought': 0.0015552099533437014, 'poet': 0.0015552099533437014, 'falcon': 0.0015552099533437014, 'westward': 0.0015552099533437014, 'mexican': 0.0015552099533437014, 'hero': 0.007776049766718507, 'care': 0.0015552099533437014, 'cold': 0.003110419906687403, 'gold': 0.0015552099533437014, 'rhino': 0.0015552099533437014, 'doomsday': 0.0015552099533437014, 'cool': 0.0015552099533437014, 'lost': 0.0015552099533437014, 'porsche': 0.0015552099533437014, 'cheetah': 0.0015552099533437014, 'nice': 0.006220839813374806, 'good': 0.004665629860031105, 'tambourine': 0.0015552099533437014, 'camera': 0.0015552099533437014, 'hug': 0.0015552099533437014, 'rum': 0.0015552099533437014, 'half': 0.004665629860031105, 'plane': 0.0015552099533437014, 'plate': 0.004665629860031105, 'keyboard': 0.0015552099533437014, 'penthouse': 0.0015552099533437014, 'skybox': 0.0015552099533437014, 'pussy': 0.003110419906687403, 'hurry': 0.0015552099533437014, 'hung': 0.0015552099533437014, 'ho': 0.0015552099533437014, 'fighter': 0.0015552099533437014, 'demo': 0.006220839813374806, 'bigger': 0.0015552099533437014, 'desert': 0.0015552099533437014, 'colonoscopy': 0.0015552099533437014, 'cat': 0.004665629860031105, 'linen': 0.0015552099533437014, 'minute': 0.0015552099533437014, 'hooker': 0.006220839813374806, 'huge': 0.0015552099533437014, 'figurine': 0.0015552099533437014, 'trooper': 0.0015552099533437014, 'pipe': 0.0015552099533437014, 'trusty': 0.0015552099533437014, 'row': 0.0015552099533437014, 'crib': 0.0015552099533437014, 'six': 0.0015552099533437014, 'aqua': 0.0015552099533437014, 'lion': 0.0015552099533437014, 'stack': 0.0015552099533437014, 'train': 0.0015552099533437014, 'motherfucking': 0.004665629860031105, 'brown': 0.0015552099533437014, 'piss': 0.003110419906687403, 'piggie': 0.0015552099533437014, 'opera': 0.0015552099533437014, '49er': 0.0015552099533437014, 'case': 0.004665629860031105, 'fat': 0.0015552099533437014, 'redskin': 0.0015552099533437014, 'blacktop': 0.0015552099533437014, 'sasquatch': 0.0015552099533437014, 'snapper': 0.0015552099533437014, 'dreidel': 0.0015552099533437014, 'condom': 0.003110419906687403, 'bag': 0.003110419906687403, 'magic': 0.0015552099533437014, 'camel': 0.003110419906687403, 'word': 0.007776049766718507, 'schizo': 0.0015552099533437014, 'fuckin': 0.0015552099533437014, 'contaminated': 0.0015552099533437014, 'white': 0.003110419906687403, 'black': 0.007776049766718507, 'goner': 0.0015552099533437014, 'wild': 0.007776049766718507, 'popular': 0.0015552099533437014, 'feast': 0.0015552099533437014, 'plastic': 0.0015552099533437014, 'knicks': 0.0015552099533437014, 'dick': 0.004665629860031105, 'hundred': 0.003110419906687403, 'koi': 0.0015552099533437014, 'herby': 0.0015552099533437014, 'shower': 0.0015552099533437014, 'wood': 0.003110419906687403, 'cocha': 0.0015552099533437014, 'fortress': 0.0015552099533437014, 'rabbi': 0.0015552099533437014, 'bump': 0.003110419906687403, 'dolphin': 0.0015552099533437014, 'fucking': 0.01088646967340591, 'present': 0.0015552099533437014, 'sidney': 0.0015552099533437014, 'brazilian': 0.0015552099533437014, 'hostage': 0.0015552099533437014, 'locket': 0.0015552099533437014, 'profit': 0.0015552099533437014, 'range': 0.0015552099533437014, 'lobster': 0.0015552099533437014, 'polish': 0.0015552099533437014, 'soldiers': 0.003110419906687403, 'red': 0.003110419906687403, 'tight': 0.0015552099533437014, 'weapon': 0.0015552099533437014, 'daughter': 0.0015552099533437014, 'reverend': 0.0015552099533437014, 'horses': 0.0015552099533437014, 'doctor': 0.0015552099533437014, 'sudden': 0.0015552099533437014, 'fiends': 0.0015552099533437014, 'steam': 0.0015552099533437014, 'colonel': 0.0015552099533437014, 'haters': 0.0015552099533437014, 'urinal': 0.0015552099533437014, 'bit': 0.0015552099533437014, 'journal': 0.0015552099533437014, 'hit': 0.0015552099533437014, 'g': 0.007776049766718507, 'husband': 0.0015552099533437014, 'muppet': 0.0015552099533437014, 'buckeighty': 0.0015552099533437014, 'mustard': 0.0015552099533437014, 'lady': 0.0015552099533437014, 'strange': 0.003110419906687403, 'ginger': 0.0015552099533437014, '2on2': 0.0015552099533437014, 'unicorn': 0.0015552099533437014, 'veteran': 0.0015552099533437014, 'f': 0.0015552099533437014, 'jury': 0.0015552099533437014, 'valley': 0.0015552099533437014, 'crisp': 0.0015552099533437014, 'certified': 0.0015552099533437014, 'unit': 0.0015552099533437014, 'taste': 0.003110419906687403, 'september': 0.0015552099533437014, 'sip': 0.0015552099533437014, 'hunk': 0.0015552099533437014, 'deal': 0.003110419906687403, 'tissue': 0.0015552099533437014, 'pink': 0.0015552099533437014, 'legend': 0.003110419906687403, 'roy': 0.0015552099533437014, 'hard': 0.0015552099533437014, 'life': 0.0015552099533437014, 'dope': 0.0015552099533437014, 'visor': 0.0015552099533437014, 'jewish': 0.006220839813374806, 'whip': 0.0015552099533437014, 'rugby': 0.003110419906687403, 'nigga': 0.0015552099533437014, 'idol': 0.0015552099533437014, 'rival': 0.0015552099533437014, 'bike': 0.0015552099533437014, 'light': 0.003110419906687403, 'drug': 0.003110419906687403, 'latin': 0.0015552099533437014, 'felony': 0.0015552099533437014, 'woman': 0.003110419906687403, 'jamaican': 0.0015552099533437014, 'crooked': 0.0015552099533437014, 'constant': 0.0015552099533437014, 'towel': 0.0015552099533437014, 'song': 0.0015552099533437014, 'bottle': 0.004665629860031105, 'situation': 0.0015552099533437014, 'sweet': 0.0015552099533437014, 'vacuum': 0.0015552099533437014, 'smack': 0.0015552099533437014, 'ski': 0.0015552099533437014, 'prefix': 0.0015552099533437014, 'pâte': 0.0015552099533437014, 'single': 0.006220839813374806, 'damn': 0.0015552099533437014, 'hint': 0.0015552099533437014, 'kimono': 0.0015552099533437014, 'fossil': 0.0015552099533437014, 'dutch': 0.0015552099533437014, 'third': 0.0015552099533437014, 'chill': 0.0015552099533437014, 'cleaver': 0.0015552099533437014, 'grammy': 0.0015552099533437014, 'room': 0.0015552099533437014, 'den': 0.0015552099533437014, 'phlegm': 0.0015552099533437014, 'payment': 0.0015552099533437014, 'flipjack': 0.0015552099533437014, 'rat': 0.0015552099533437014, 'crackhead': 0.0015552099533437014, 'elephant': 0.0015552099533437014, 'amadu': 0.0015552099533437014, 'earring': 0.0015552099533437014, 'gun': 0.0015552099533437014, 'one': 0.003110419906687403, 'nun': 0.003110419906687403, 'setup': 0.0015552099533437014, 'thousand': 0.003110419906687403, 'reefer': 0.0015552099533437014, 'new': 0.004665629860031105, 'seance': 0.0015552099533437014, 'steamer': 0.0015552099533437014, 'tina': 0.0015552099533437014, 'squat': 0.0015552099533437014, 'horsey': 0.0015552099533437014, 'dime': 0.003110419906687403, 'blessed': 0.0015552099533437014, 'toast': 0.0015552099533437014, 'freak': 0.0015552099533437014, 'contortionist': 0.0015552099533437014, 'fresh': 0.003110419906687403, 'meeting': 0.003110419906687403, 'cripple': 0.0015552099533437014, 'tan': 0.0015552099533437014, 'chick': 0.006220839813374806, 'stunt': 0.0015552099533437014, 'deranged': 0.0015552099533437014, 'cannon': 0.0015552099533437014, 'world': 0.0015552099533437014, 'polka': 0.0015552099533437014, 'passage': 0.0015552099533437014, 'bath': 0.0015552099533437014, 'union': 0.0015552099533437014, 'grown': 0.004665629860031105, 'car': 0.0015552099533437014, 'bodyguard': 0.0015552099533437014, 'smirk': 0.0015552099533437014, 'lust': 0.0015552099533437014, 'place': 0.003110419906687403, 'while': 0.0015552099533437014, 'truck': 0.003110419906687403, 'lyrical': 0.0015552099533437014, 'professional': 0.0015552099533437014, 'dirty': 0.0015552099533437014, 'big': 0.004665629860031105, 'day': 0.0015552099533437014, 'tourist': 0.0015552099533437014, 'skylark': 0.0015552099533437014, 'scion': 0.0015552099533437014, 'kaleidoscope': 0.0015552099533437014, 'three': 0.0015552099533437014, 'villain': 0.0015552099533437014, 'village': 0.0015552099533437014, 'grip': 0.0015552099533437014, 'fetus': 0.0015552099533437014, 'spoon': 0.0015552099533437014, 'brand': 0.003110419906687403, 'jazz': 0.003110419906687403, 'snapple': 0.0015552099533437014, 'bridge': 0.0015552099533437014, 'youth': 0.0015552099533437014, 'box': 0.003110419906687403, 'sandwich': 0.0015552099533437014, 'prostitute': 0.0015552099533437014, 'cookie': 0.0015552099533437014, 'smorgasbord': 0.0015552099533437014, 'facial': 0.0015552099533437014, 'diet': 0.0015552099533437014, 'buddhist': 0.0015552099533437014, 'yacht': 0.0015552099533437014, 'cd': 0.0015552099533437014, 'cigarette': 0.0015552099533437014, 'free': 0.0015552099533437014, 'career': 0.0015552099533437014, 'lightning': 0.0015552099533437014, 'bandit': 0.0015552099533437014, 'bandage': 0.0015552099533437014, 'pimp': 0.0015552099533437014, 'frightening': 0.0015552099533437014, 'biscuit': 0.0015552099533437014, 'hole': 0.003110419906687403, 'tuna': 0.0015552099533437014, 'plot': 0.0015552099533437014, 'pharaoh': 0.0015552099533437014, 'ballerina': 0.0015552099533437014, 'regular': 0.0015552099533437014, 'whore': 0.0015552099533437014, 'mother': 0.0015552099533437014, 'favor': 0.003110419906687403, 'lay': 0.0015552099533437014, 'bj': 0.0015552099533437014, 'soul': 0.0015552099533437014, 'prospect': 0.0015552099533437014, 'mission': 0.0015552099533437014, 'hitter': 0.0015552099533437014, 'game': 0.004665629860031105, 'rental': 0.003110419906687403, 'statement': 0.0015552099533437014, 'nintendo': 0.0015552099533437014, 'degree': 0.0015552099533437014, 'hippopotamus': 0.0015552099533437014, 'canary': 0.0015552099533437014, 'party': 0.0015552099533437014, 'teenage': 0.0015552099533437014, 'sharp': 0.0015552099533437014, 'shark': 0.003110419906687403, 'sicko': 0.0015552099533437014, 'bubble': 0.003110419906687403, 'bastards': 0.0015552099533437014, 'triple': 0.0015552099533437014, 'chicken': 0.0015552099533437014, 'human': 0.0015552099533437014, 'wire': 0.0015552099533437014, 'jeep': 0.0015552099533437014, 'club': 0.0015552099533437014, 'bmw': 0.006220839813374806, 'nympho': 0.0015552099533437014, 'stroller': 0.0015552099533437014, 'ricola': 0.0015552099533437014, 'stoner': 0.0015552099533437014, 'psychedelic': 0.0015552099533437014, 'past': 0.0015552099533437014, 'headstone': 0.0015552099533437014, 'bun': 0.0015552099533437014, 'knot': 0.0015552099533437014, 'demon': 0.0015552099533437014, 'degenerate': 0.0015552099533437014, 'earner': 0.0015552099533437014, 'hold': 0.0015552099533437014, 'season': 0.0015552099533437014, 'pigeon': 0.0015552099533437014, 'octopus': 0.0015552099533437014, 'winner': 0.0015552099533437014, 'proven': 0.003110419906687403, 'couple': 0.003110419906687403, 'bimmer': 0.003110419906687403, 'civic': 0.003110419906687403, 'groupie': 0.0015552099533437014, 'california': 0.0015552099533437014, 'sketch': 0.0015552099533437014, 'wifey': 0.0015552099533437014, 'split': 0.0015552099533437014, 'truant': 0.0015552099533437014, 'dooby': 0.0015552099533437014, 'croissant': 0.0015552099533437014, 'cock': 0.0015552099533437014, 'shaq': 0.0015552099533437014, 'bear': 0.0015552099533437014, 'swans': 0.0015552099533437014, 'tux': 0.0015552099533437014, 'disco': 0.0015552099533437014, 'suplex': 0.0015552099533437014, 'chinese': 0.0015552099533437014, 'school': 0.0015552099533437014, 'birds': 0.0015552099533437014, 'monday': 0.0015552099533437014, 'javelin': 0.0015552099533437014, 'few': 0.0015552099533437014, 'jack': 0.0015552099533437014, 'midgets': 0.0015552099533437014, 'shrimp': 0.0015552099533437014, 'foreign': 0.0015552099533437014, 'fag': 0.0015552099533437014, 'rabbit': 0.0015552099533437014, 'routine': 0.0015552099533437014, 'sofa': 0.0015552099533437014, 'barracuda': 0.0015552099533437014, 'parachuter': 0.0015552099533437014, 'mango': 0.0015552099533437014, 'kid': 0.0015552099533437014, 'hookers': 0.0015552099533437014, 'maniac': 0.0015552099533437014, 'brainiac': 0.0015552099533437014, 'loaded': 0.0015552099533437014, 'closer': 0.0015552099533437014, 'death': 0.0015552099533437014, 'necklace': 0.0015552099533437014, 'mick': 0.0015552099533437014, 'nevada': 0.0015552099533437014, 'playmate': 0.0015552099533437014, 'bib': 0.0015552099533437014, 'salsa': 0.0015552099533437014, 'lama': 0.0015552099533437014, 'blanka': 0.0015552099533437014, 'lethal': 0.0015552099533437014, 'harvard': 0.0015552099533437014, 'nasty': 0.0015552099533437014, 'solo': 0.0015552099533437014, 'facelift': 0.0015552099533437014, 'spaceship': 0.0015552099533437014, 'cartoon': 0.0015552099533437014, 'part': 0.0015552099533437014, 'dude': 0.0015552099533437014, 'jag': 0.0015552099533437014, 'glass': 0.0015552099533437014, 'bastard': 0.0015552099533437014, 'spell': 0.0015552099533437014, 'spelling': 0.0015552099533437014, 'boat': 0.0015552099533437014, 'model': 0.0015552099533437014, 'romantic': 0.0015552099533437014, 'janitor': 0.0015552099533437014, 'piece': 0.0015552099533437014, 'cocksucker': 0.0015552099533437014, 'dog': 0.0015552099533437014, 'small': 0.0015552099533437014, 'hitler': 0.0015552099533437014}"
large,"{'steak': 0.6666666666666666, 'liver': 0.3333333333333333}"
steak,"{'why': 0.08333333333333333, 'and': 0.3333333333333333, 'bronsolino': 0.08333333333333333, 'dinner': 0.08333333333333333, 'shaved': 0.08333333333333333, 'wine': 0.08333333333333333, 'thats': 0.08333333333333333, 'to': 0.08333333333333333, 'like': 0.08333333333333333}"
why,"{'you': 0.75, 'the': 0.10714285714285714, 'these': 0.03571428571428571, 'my': 0.03571428571428571, 'i': 0.03571428571428571, 'they': 0.03571428571428571}"
you,"{'always': 0.011049723756906077, 'gotta': 0.049723756906077346, 'baby': 0.013812154696132596, 'treat': 0.0027624309392265192, 'have': 0.0055248618784530384, 'right': 0.0027624309392265192, 'wonder': 0.0027624309392265192, 'lately': 0.0027624309392265192, 'could': 0.011049723756906077, 'get': 0.013812154696132596, 'drink': 0.0027624309392265192, 'never': 0.013812154696132596, 'work': 0.0027624309392265192, 'win': 0.0027624309392265192, 'spill': 0.0027624309392265192, 'happy': 0.008287292817679558, 'ruined': 0.0027624309392265192, 'aint': 0.03038674033149171, 'think': 0.03591160220994475, 'know': 0.08287292817679558, 'would': 0.0027624309392265192, 'barely': 0.0055248618784530384, 'need': 0.022099447513812154, 'hatin': 0.0027624309392265192, 'mad': 0.0027624309392265192, 'already': 0.019337016574585635, 'want': 0.019337016574585635, 'wasnt': 0.0027624309392265192, 'tryna': 0.0027624309392265192, 'sniffin': 0.0027624309392265192, 'got': 0.016574585635359115, 'singing': 0.0027624309392265192, 'better': 0.03591160220994475, 'leave': 0.0055248618784530384, 'payin': 0.0027624309392265192, 'with': 0.04696132596685083, 'sleeping': 0.0027624309392265192, 'lincoln': 0.0027624309392265192, 'waiting': 0.0027624309392265192, 'full': 0.0027624309392265192, 'bluffing': 0.0027624309392265192, 'lifted': 0.0027624309392265192, 'stepping': 0.0027624309392265192, 'getting': 0.0027624309392265192, 'pottyd': 0.0027624309392265192, 'only': 0.0027624309392265192, 'thought': 0.0027624309392265192, 'you': 0.0055248618784530384, 'gonna': 0.0055248618784530384, 'back': 0.0027624309392265192, 'sniff': 0.0027624309392265192, 'in': 0.019337016574585635, 'on': 0.008287292817679558, 'out': 0.0027624309392265192, 'hold': 0.0027624309392265192, 'talking': 0.0027624309392265192, 'bye': 0.0027624309392265192, 'sittin': 0.0027624309392265192, 'a': 0.0055248618784530384, 'see': 0.019337016574585635, 'spitting': 0.0027624309392265192, 'hovered': 0.0027624309392265192, 'poopoo': 0.0055248618784530384, 'kissed': 0.0027624309392265192, 'can': 0.013812154696132596, 'wanna': 0.011049723756906077, 'been': 0.008287292817679558, 'under': 0.0027624309392265192, 'and': 0.008287292817679558, 'do': 0.0055248618784530384, 'i': 0.0055248618784530384, 'broke': 0.008287292817679558, 'said': 0.008287292817679558, 'say': 0.008287292817679558, 'six': 0.0055248618784530384, 'she': 0.0027624309392265192, 'catch': 0.0055248618784530384, 'will': 0.0027624309392265192, 'clear': 0.0027624309392265192, 'shoulder': 0.0027624309392265192, 'that': 0.0027624309392265192, 'heard': 0.0027624309392265192, 'dont': 0.03867403314917127, 'cop': 0.0027624309392265192, 'the': 0.0027624309392265192, 'oughta': 0.0027624309392265192, 'sick': 0.0027624309392265192, 'stunted': 0.0027624309392265192, 'disappear': 0.0027624309392265192, 'please': 0.0027624309392265192, 'ah': 0.0027624309392265192, 'cant': 0.0055248618784530384, 'what': 0.0027624309392265192, 'end': 0.0027624309392265192, 'lucky': 0.0027624309392265192, 'lyin': 0.0027624309392265192, 'drive': 0.0027624309392265192, 'should': 0.0027624309392265192, 'might': 0.0027624309392265192, 'there': 0.0027624309392265192, 'seen': 0.0027624309392265192, 'were': 0.0027624309392265192, 'bout': 0.0027624309392265192, 'call': 0.0027624309392265192, 'then': 0.0027624309392265192, 'salute': 0.0027624309392265192, 'stupid': 0.0055248618784530384, 'me': 0.0027624309392265192, 'kidding': 0.0027624309392265192, 'hookers': 0.0027624309392265192, 'aaaah': 0.0027624309392265192, 'fat': 0.0027624309392265192, 'motherfucker': 0.0027624309392265192, 'fuck': 0.0027624309392265192, 'from': 0.0027624309392265192, 'ready': 0.0027624309392265192, 'to': 0.0055248618784530384, 'fucking': 0.0027624309392265192, 'like': 0.0055248618784530384, 'chose': 0.0027624309392265192, 'done': 0.0027624309392265192, 'batty': 0.0027624309392265192, 'act': 0.0027624309392265192, 'old': 0.0027624309392265192, 'pussies': 0.0027624309392265192, 'spread': 0.011049723756906077, 'lack': 0.0027624309392265192, 'off': 0.016574585635359115, 'piss': 0.0027624309392265192, 'tie': 0.0027624309392265192, 'how': 0.0027624309392265192, 'boo': 0.0027624309392265192, 'motherfuckers': 0.0055248618784530384, 'had': 0.0027624309392265192, 'werent': 0.0055248618784530384, 'hot': 0.0027624309392265192, 'not': 0.0027624309392265192, 'eat': 0.0027624309392265192, 'tell': 0.0027624309392265192, 'kiss': 0.0027624309392265192, 'open': 0.0027624309392265192, 'find': 0.0027624309392265192, 'slumped': 0.0027624309392265192, 'head': 0.0027624309392265192, 'knocked': 0.0027624309392265192, 'roody': 0.0027624309392265192, 'mightve': 0.0027624309392265192, 'didnt': 0.0027624309392265192, 'bit': 0.0027624309392265192, 'chest': 0.0027624309392265192, 'ay': 0.0027624309392265192, 'swear': 0.0027624309392265192, 'feel': 0.0027624309392265192}"
always,"{'all': 0.17391304347826086, 'snow': 0.043478260869565216, 'busy': 0.043478260869565216, 'poppin': 0.043478260869565216, 'swole': 0.043478260869565216, 'blazing': 0.043478260869565216, 'hold': 0.043478260869565216, 'forever': 0.043478260869565216, 'end': 0.043478260869565216, 'diving': 0.08695652173913043, 'a': 0.043478260869565216, 'been': 0.043478260869565216, 'drama': 0.043478260869565216, 'on': 0.08695652173913043, 'me': 0.043478260869565216, 'seasoned': 0.043478260869565216, 'likes': 0.043478260869565216, 'tryna': 0.043478260869565216}"
