Word,Frequency
intergalactic,"{'planetary': 0.5172413793103449, 'intergalactic': 0.3448275862068966, 'another': 0.06896551724137931, 'jazz': 0.034482758620689655, 'were': 0.034482758620689655}"
planetary,"{'planetary': 0.4827586206896552, 'intergalactic': 0.5172413793103449}"
another,"{'dimension': 0.5952380952380952, 'plane': 0.023809523809523808, 'train': 0.023809523809523808, 'bottle': 0.023809523809523808, 'girl': 0.023809523809523808, 'fight': 0.023809523809523808, 'drive': 0.023809523809523808, 'record': 0.023809523809523808, 'sip': 0.023809523809523808, 'word': 0.023809523809523808, 'you': 0.023809523809523808, 'your': 0.023809523809523808, 'night': 0.023809523809523808, 'hash': 0.023809523809523808, 'drink': 0.023809523809523808, 'rhyme': 0.023809523809523808, 'mans': 0.023809523809523808, 'special': 0.023809523809523808}"
dimension,"{'another': 0.88, 'well': 0.04, 'new': 0.04, 'do': 0.04}"
well,"{'now': 0.010526315789473684, 'if': 0.021052631578947368, 'im': 0.2631578947368421, 'i': 0.14736842105263157, 'on': 0.021052631578947368, 'it': 0.010526315789473684, 'rehearsed': 0.010526315789473684, 'just': 0.010526315789473684, 'they': 0.021052631578947368, 'ill': 0.010526315789473684, 'its': 0.031578947368421054, 'you': 0.06315789473684211, 'ive': 0.010526315789473684, 'the': 0.021052631578947368, 'to': 0.010526315789473684, 'with': 0.010526315789473684, 'cheech': 0.010526315789473684, 'let': 0.010526315789473684, 'and': 0.010526315789473684, 'mike': 0.042105263157894736, 'excuse': 0.010526315789473684, 'shes': 0.010526315789473684, 'me': 0.010526315789473684, 'take': 0.010526315789473684, 'who': 0.010526315789473684, 'a': 0.010526315789473684, 'shadrach': 0.010526315789473684, 'my': 0.031578947368421054, 'vicious': 0.010526315789473684, 'thats': 0.021052631578947368, 'adrock': 0.010526315789473684, 'throw': 0.010526315789473684, 'everybody': 0.010526315789473684, 'ever': 0.010526315789473684, 'all': 0.010526315789473684, 'get': 0.010526315789473684, 'johnny': 0.010526315789473684, 'be': 0.010526315789473684, 'bring': 0.010526315789473684, 'then': 0.010526315789473684, 'suckers': 0.010526315789473684}"
now,"{'dont': 0.03260869565217391, 'when': 0.021739130434782608, 'i': 0.13043478260869565, 'its': 0.06521739130434782, 'against': 0.010869565217391304, 'heres': 0.03260869565217391, 'my': 0.010869565217391304, 'what': 0.010869565217391304, 'your': 0.010869565217391304, 'remain': 0.010869565217391304, 'hey': 0.021739130434782608, 'whats': 0.03260869565217391, 'checkchcheckcheckcheckchcheck': 0.010869565217391304, 'im': 0.043478260869565216, 'laters': 0.010869565217391304, 'shes': 0.010869565217391304, 'here': 0.010869565217391304, 'rock': 0.010869565217391304, 'the': 0.010869565217391304, 'they': 0.010869565217391304, 'wipe': 0.010869565217391304, 'hit': 0.06521739130434782, 'now': 0.010869565217391304, 'you': 0.03260869565217391, 'al': 0.010869565217391304, 'were': 0.021739130434782608, 'because': 0.010869565217391304, 'in': 0.010869565217391304, 'thats': 0.010869565217391304, 'id': 0.05434782608695652, 'ive': 0.021739130434782608, 'adrock': 0.021739130434782608, 'watch': 0.010869565217391304, 'let': 0.010869565217391304, 'all': 0.010869565217391304, 'we': 0.021739130434782608, 'never': 0.010869565217391304, 'right': 0.021739130434782608, 'who': 0.010869565217391304, 'ima': 0.010869565217391304, 'but': 0.010869565217391304, 'youre': 0.010869565217391304, 'fuck': 0.05434782608695652, 'me': 0.010869565217391304, 'talk': 0.010869565217391304}"
dont,"{'you': 0.043478260869565216, 'wanna': 0.017391304347826087, 'step': 0.017391304347826087, 'cut': 0.008695652173913044, 'stop': 0.1391304347826087, 'mean': 0.043478260869565216, 'wear': 0.017391304347826087, 'chump': 0.008695652173913044, 'test': 0.008695652173913044, 'remember': 0.008695652173913044, 'need': 0.02608695652173913, 'think': 0.017391304347826087, 'know': 0.05217391304347826, 'listen': 0.008695652173913044, 'mind': 0.008695652173913044, 'buy': 0.017391304347826087, 'give': 0.02608695652173913, 'believe': 0.008695652173913044, 'care': 0.02608695652173913, 'go': 0.008695652173913044, 'kinda': 0.008695652173913044, 'get': 0.043478260869565216, 'pay': 0.008695652173913044, 'love': 0.008695652173913044, 'ride': 0.008695652173913044, 'hang': 0.008695652173913044, 'have': 0.008695652173913044, 'touch': 0.02608695652173913, 'bug': 0.008695652173913044, 'rat': 0.008695652173913044, 'ask': 0.02608695652173913, 'follow': 0.008695652173913044, 'play': 0.008695652173913044, 'like': 0.17391304347826086, 'slip': 0.017391304347826087, 'come': 0.008695652173913044, 'drink': 0.008695652173913044, 'worry': 0.008695652173913044, 'forget': 0.008695652173913044, 'see': 0.008695652173913044, 'stroll': 0.008695652173913044, 'got': 0.008695652173913044, 'check': 0.008695652173913044, 'smoke': 0.008695652173913044, 'shoot': 0.02608695652173913, 'bite': 0.008695652173913044}"
you,"{'tell': 0.002145922746781116, 'stick': 0.002145922746781116, 'can': 0.034334763948497854, 'battle': 0.002145922746781116, 'wanna': 0.017167381974248927, 'off': 0.008583690987124463, 'try': 0.004291845493562232, 'in': 0.004291845493562232, 'planned': 0.004291845493562232, 'sit': 0.002145922746781116, 'cant': 0.05150214592274678, 'now': 0.004291845493562232, 'see': 0.01072961373390558, 'might': 0.006437768240343348, 'get': 0.019313304721030045, 'know': 0.11158798283261803, 'understand': 0.002145922746781116, 'think': 0.023605150214592276, 'got': 0.04935622317596566, 'away': 0.002145922746781116, 'if': 0.002145922746781116, 'would': 0.004291845493562232, 'all': 0.008583690987124463, 'dissing': 0.002145922746781116, 'flaunt': 0.002145922746781116, 'scream': 0.004291845493562232, 'holler': 0.002145922746781116, 'crews': 0.002145922746781116, 'rock': 0.004291845493562232, 'aint': 0.015021459227467811, 'better': 0.006437768240343348, 'wake': 0.002145922746781116, 'dont': 0.06223175965665236, 'ask': 0.006437768240343348, 'missed': 0.006437768240343348, 'gotta': 0.017167381974248927, 'smoking': 0.002145922746781116, 'out': 0.004291845493562232, 'wont': 0.027896995708154508, 'want': 0.008583690987124463, 'pull': 0.008583690987124463, 'listen': 0.002145922746781116, 'say': 0.004291845493562232, 'could': 0.01072961373390558, 'sayin': 0.004291845493562232, 'trekkies': 0.002145922746781116, 'klingons': 0.002145922746781116, 'with': 0.002145922746781116, 'up': 0.004291845493562232, 'except': 0.002145922746781116, 'just': 0.004291845493562232, 'go': 0.01072961373390558, 'look': 0.004291845493562232, 'never': 0.008583690987124463, 'may': 0.004291845493562232, 'should': 0.008583690987124463, 'on': 0.002145922746781116, 'nigga': 0.002145922746781116, 'under': 0.002145922746781116, 'feel': 0.004291845493562232, 'put': 0.004291845493562232, 'pour': 0.002145922746781116, 'take': 0.002145922746781116, 'thinking': 0.002145922746781116, 'heard': 0.002145922746781116, 'waxin': 0.002145922746781116, 'lie': 0.002145922746781116, 'study': 0.002145922746781116, 'boy': 0.002145922746781116, 'made': 0.002145922746781116, 'bboys': 0.002145922746781116, 'throw': 0.004291845493562232, 'hook': 0.002145922746781116, 'drippy': 0.002145922746781116, 'like': 0.006437768240343348, 'back': 0.002145922746781116, 'be': 0.006437768240343348, 'a': 0.004291845493562232, 'the': 0.006437768240343348, 'and': 0.006437768240343348, 'went': 0.002145922746781116, 'blew': 0.002145922746781116, 'handle': 0.002145922746781116, 'play': 0.004291845493562232, 'win': 0.002145922746781116, 'because': 0.002145922746781116, 'are': 0.008583690987124463, 'well': 0.002145922746781116, 'love': 0.002145922746781116, 'were': 0.008583690987124463, 'touch': 0.002145922746781116, 'couldnt': 0.002145922746781116, 'more': 0.002145922746781116, 'must': 0.006437768240343348, 'fess': 0.002145922746781116, 'gonna': 0.006437768240343348, 'slipin': 0.002145922746781116, 'slackin': 0.002145922746781116, 'slip': 0.002145922746781116, 'slack': 0.002145922746781116, 'clock': 0.002145922746781116, 'lack': 0.002145922746781116, 'experienced': 0.002145922746781116, 'let': 0.002145922746781116, 'down': 0.002145922746781116, 'to': 0.002145922746781116, 'saythats': 0.002145922746781116, 'bob': 0.002145922746781116, 'here': 0.002145922746781116, 'behave': 0.002145922746781116, 'will': 0.008583690987124463, 'come': 0.002145922746781116, 'pay': 0.002145922746781116, 'how': 0.002145922746781116, 'tried': 0.004291845493562232, 'poppin': 0.002145922746781116, 'insane': 0.002145922746781116, 'maam': 0.004291845493562232, 'been': 0.004291845493562232, 'drinkin': 0.002145922746781116, 'bought': 0.002145922746781116, 'its': 0.004291845493562232, 'girl': 0.002145922746781116, 'looking': 0.002145922746781116, 'new': 0.002145922746781116, 'make': 0.008583690987124463, 'didnt': 0.002145922746781116, 'brought': 0.002145922746781116, 'do': 0.002145922746781116, 'always': 0.002145922746781116, 'sir': 0.002145922746781116, 'working': 0.002145922746781116, 'maybe': 0.002145922746781116, 'came': 0.002145922746781116, 'was': 0.002145922746781116, 'im': 0.002145922746781116, 'work': 0.002145922746781116, 'snitch': 0.002145922746781116, 'rat': 0.004291845493562232, 'wear': 0.002145922746781116, 'bullshit': 0.002145922746781116, 'crab': 0.002145922746781116, 'live': 0.002145922746781116, 'ought': 0.002145922746781116, 'bust': 0.002145922746781116, 'open': 0.002145922746781116, 'shall': 0.002145922746781116, 'paid': 0.002145922746781116, 'spazz': 0.002145922746781116, 'learn': 0.008583690987124463, 'people': 0.004291845493562232, 'broke': 0.002145922746781116, 'locked': 0.002145922746781116, 'bring': 0.002145922746781116, 'recited': 0.002145922746781116, 'fucked': 0.002145922746781116, 'whore': 0.002145922746781116, 'have': 0.002145922746781116, 'reap': 0.002145922746781116, 'sow': 0.002145922746781116, 'plant': 0.002145922746781116, 'miss': 0.002145922746781116, 'feed': 0.002145922746781116, 'need': 0.002145922746781116, 'what': 0.002145922746781116, 'whats': 0.002145922746781116, 'free': 0.002145922746781116, 'wouldnt': 0.002145922746781116, 'light': 0.002145922746781116, 'read': 0.002145922746781116, 'pig': 0.002145922746781116, 'everyday': 0.002145922746781116, 'ladies': 0.002145922746781116, 'schnooks': 0.002145922746781116, 'at': 0.002145922746781116, 'sold': 0.002145922746781116, 'used': 0.002145922746781116, 'break': 0.002145922746781116, 'i': 0.002145922746781116, 'wet': 0.002145922746781116, 'so': 0.002145922746781116, 'played': 0.008583690987124463, 'sucker': 0.002145922746781116, 'whow': 0.002145922746781116}"
tell,"{'me': 0.4, 'you': 0.26666666666666666, 'about': 0.06666666666666667, 'dispel': 0.06666666666666667, 'more': 0.06666666666666667, 'us': 0.06666666666666667, 'the': 0.06666666666666667}"
me,"{'to': 0.047619047619047616, 'back': 0.006802721088435374, 'i': 0.047619047619047616, 'im': 0.013605442176870748, 'youll': 0.013605442176870748, 'down': 0.013605442176870748, 'mike': 0.034013605442176874, 'and': 0.08843537414965986, 'for': 0.02040816326530612, 'in': 0.047619047619047616, 'who': 0.006802721088435374, 'what': 0.006802721088435374, 'checks': 0.006802721088435374, 'adam': 0.013605442176870748, 'because': 0.006802721088435374, 'clear': 0.006802721088435374, 'my': 0.02040816326530612, 'ive': 0.013605442176870748, 'they': 0.006802721088435374, 'ill': 0.013605442176870748, 'you': 0.04081632653061224, 'spawn': 0.006802721088435374, 'the': 0.027210884353741496, 'get': 0.027210884353741496, 'right': 0.006802721088435374, 'embark': 0.006802721088435374, 'kick': 0.006802721088435374, 'now': 0.02040816326530612, 'later': 0.006802721088435374, 'liplip': 0.006802721088435374, 'rock': 0.006802721088435374, 'whats': 0.006802721088435374, 'introduce': 0.006802721088435374, 'motherfuckers': 0.006802721088435374, 'on': 0.006802721088435374, 'an': 0.006802721088435374, 'off': 0.034013605442176874, 'high': 0.006802721088435374, 'cause': 0.04081632653061224, 'than': 0.006802721088435374, 'that': 0.006802721088435374, 'this': 0.006802721088435374, 'homes': 0.006802721088435374, 'has': 0.006802721088435374, 'is': 0.013605442176870748, 'crazy': 0.013605442176870748, 'nothing': 0.006802721088435374, 'nada': 0.006802721088435374, 'mr': 0.006802721088435374, 'young': 0.006802721088435374, 'over': 0.013605442176870748, 'with': 0.006802721088435374, 'so': 0.013605442176870748, 'youre': 0.006802721088435374, 'into': 0.006802721088435374, 'theyre': 0.02040816326530612, 'where': 0.006802721088435374, 'yall': 0.006802721088435374, 'but': 0.006802721088435374, 'cmon': 0.006802721088435374, 'she': 0.013605442176870748, 'nauseous': 0.006802721088435374, 'party': 0.006802721088435374, 'turn': 0.006802721088435374, 'out': 0.006802721088435374, 'see': 0.006802721088435374, 'yo': 0.006802721088435374, 'a': 0.006802721088435374, 'grandpa': 0.006802721088435374, 'bless': 0.006802721088435374, 'suckas': 0.006802721088435374, 'he': 0.006802721088435374, 'everyday': 0.006802721088435374, 'show': 0.006802721088435374}"
