Word,Frequency
mmm,"{'mmm': 0.36363636363636365, 'aw': 0.09090909090909091, 'smooth': 0.09090909090909091, 'ohh': 0.18181818181818182, 'you': 0.09090909090909091, 'and': 0.09090909090909091, 'they': 0.09090909090909091}"
aw,"{'yeah': 0.5, 'fuck': 0.3333333333333333, 'i': 0.16666666666666666}"
yeah,"{'im': 0.06382978723404255, 'so': 0.02127659574468085, 'thats': 0.0425531914893617, 'baby': 0.0851063829787234, 'mmm': 0.02127659574468085, 'allow': 0.02127659574468085, 'well': 0.0425531914893617, 'kane': 0.02127659574468085, 'that': 0.02127659574468085, 'its': 0.0425531914893617, 'ayo': 0.02127659574468085, 'i': 0.0425531914893617, 'we': 0.0425531914893617, 'warm': 0.02127659574468085, 'yeah': 0.14893617021276595, 'huh': 0.02127659574468085, 'aight': 0.02127659574468085, 'they': 0.02127659574468085, 'it': 0.02127659574468085, 'chanted': 0.02127659574468085, 'and': 0.02127659574468085, 'meth': 0.02127659574468085, 'looka': 0.02127659574468085, 'this': 0.02127659574468085, 'you': 0.02127659574468085, 'right': 0.02127659574468085, 'to': 0.0425531914893617, 'sorta': 0.02127659574468085, 'mr': 0.02127659574468085, 'like': 0.02127659574468085}"
im,"{'with': 0.009836065573770493, 'just': 0.02622950819672131, 'sayin': 0.02622950819672131, 'ready': 0.009836065573770493, 'the': 0.14098360655737704, 'different': 0.003278688524590164, 'a': 0.06885245901639345, 'much': 0.006557377049180328, 'losin': 0.003278688524590164, 'finished': 0.003278688524590164, 'sure': 0.013114754098360656, 'homicidal': 0.003278688524590164, 'out': 0.01639344262295082, 'not': 0.07213114754098361, 'for': 0.006557377049180328, 'so': 0.022950819672131147, 'good': 0.009836065573770493, 'straight': 0.003278688524590164, 'lovin': 0.003278688524590164, 'makin': 0.009836065573770493, 'true': 0.006557377049180328, 'coming': 0.019672131147540985, 'at': 0.01639344262295082, 'genuine': 0.006557377049180328, 'committed': 0.006557377049180328, 'dueling': 0.003278688524590164, 'from': 0.01639344262295082, 'hitting': 0.003278688524590164, 'gon': 0.003278688524590164, 'rocking': 0.003278688524590164, 'booking': 0.003278688524590164, 'steady': 0.003278688524590164, 'ducking': 0.003278688524590164, 'psycho': 0.003278688524590164, 'thrusted': 0.003278688524590164, 'fucking': 0.003278688524590164, 'breaking': 0.003278688524590164, 'buckwild': 0.003278688524590164, 'well': 0.003278688524590164, 'like': 0.006557377049180328, 'dope': 0.003278688524590164, 'drippin': 0.003278688524590164, 'tall': 0.003278688524590164, 'flowin': 0.003278688524590164, 'coolin': 0.003278688524590164, 'bonin': 0.003278688524590164, 'sweating': 0.003278688524590164, 'sendin': 0.003278688524590164, 'on': 0.006557377049180328, 'still': 0.009836065573770493, 'partyin': 0.003278688524590164, 'competitin': 0.003278688524590164, 'fresh': 0.003278688524590164, 'rather': 0.003278688524590164, 'able': 0.003278688524590164, 'crossexaminin': 0.003278688524590164, 'keepin': 0.006557377049180328, 'showin': 0.003278688524590164, 'used': 0.003278688524590164, 'glad': 0.003278688524590164, 'lickin': 0.003278688524590164, 'givin': 0.003278688524590164, 'gone': 0.003278688524590164, 'waiting': 0.003278688524590164, 'thinking': 0.009836065573770493, 'about': 0.006557377049180328, 'choking': 0.003278688524590164, 'diss': 0.003278688524590164, 'talking': 0.009836065573770493, 'young': 0.003278688524590164, 'browner': 0.003278688524590164, 'one': 0.003278688524590164, 'stakin': 0.003278688524590164, 'also': 0.003278688524590164, 'gonna': 0.022950819672131147, 'in': 0.013114754098360656, 'knockin': 0.003278688524590164, 'playing': 0.003278688524590164, 'only': 0.009836065573770493, 'greeeat': 0.003278688524590164, 'doing': 0.003278688524590164, 'giving': 0.003278688524590164, 'through': 0.009836065573770493, 'using': 0.003278688524590164, 'rubbin': 0.003278688524590164, 'raw': 0.003278688524590164, 'asking': 0.003278688524590164, 'sharing': 0.003278688524590164, 'caring': 0.003278688524590164, 'trying': 0.003278688524590164, 'tryin': 0.006557377049180328, 'yokin': 0.003278688524590164, 'outta': 0.003278688524590164, 'spoiled': 0.003278688524590164, 'number': 0.003278688524590164, 'of': 0.003278688524590164, 'taking': 0.003278688524590164, 'bringing': 0.003278688524590164, 'comin': 0.006557377049180328, 'dead': 0.003278688524590164, 'saying': 0.003278688524590164, 'dropping': 0.003278688524590164, 'cruisin': 0.003278688524590164, 'some': 0.003278688524590164, 'baggin': 0.006557377049180328, 'now': 0.003278688524590164, 'duelin': 0.003278688524590164, 'around': 0.003278688524590164, 'destined': 0.003278688524590164, 'here': 0.013114754098360656, 'smooth': 0.003278688524590164, 'takin': 0.006557377049180328, 'goin': 0.003278688524590164, 'really': 0.003278688524590164, 'flippin': 0.003278688524590164, 'rollin': 0.003278688524590164, 'nice': 0.003278688524590164, 'guttin': 0.003278688524590164, 'up': 0.003278688524590164, 'what': 0.003278688524590164, 'keeping': 0.003278688524590164, 'sharp': 0.006557377049180328, 'bringin': 0.006557377049180328, 'dishin': 0.003278688524590164, 'righteous': 0.003278688524590164, 'breakin': 0.003278688524590164, 'all': 0.003278688524590164, 'livin': 0.006557377049180328, 'runnin': 0.003278688524590164, 'outintro': 0.003278688524590164, 'feelin': 0.003278688524590164, 'thinkin': 0.003278688524590164, 'advisin': 0.003278688524590164, 'doin': 0.003278688524590164, 'teachin': 0.003278688524590164, 'chillin': 0.003278688524590164}"
with,"{'this': 0.01293103448275862, 'me': 0.05603448275862069, 'the': 0.27586206896551724, 'best': 0.004310344827586207, 'mentality': 0.004310344827586207, 'it': 0.03017241379310345, 'kane': 0.017241379310344827, 'ease': 0.01293103448275862, 'authority': 0.008620689655172414, 'a': 0.06896551724137931, 'twentyfour': 0.004310344827586207, 'rhymes': 0.008620689655172414, 'more': 0.01293103448275862, 'scoob': 0.004310344827586207, 'bigger': 0.004310344827586207, 'my': 0.02586206896551724, 'shabba': 0.004310344827586207, 'every': 0.008620689655172414, 'that': 0.01293103448275862, 'styles': 0.004310344827586207, 'jigga': 0.004310344827586207, 'scott': 0.004310344827586207, 'oils': 0.004310344827586207, 'ice': 0.004310344827586207, 'soul': 0.01293103448275862, 'terror': 0.004310344827586207, 'force': 0.008620689655172414, 'voices': 0.004310344827586207, 'skills': 0.004310344827586207, 'arthritis': 0.004310344827586207, 'on': 0.004310344827586207, 'no': 0.01293103448275862, 'two': 0.004310344827586207, 'cause': 0.004310344827586207, 'math': 0.004310344827586207, 'biz': 0.004310344827586207, 'black': 0.004310344827586207, 'chapstick': 0.004310344827586207, 'god': 0.004310344827586207, 'too': 0.004310344827586207, 'these': 0.01293103448275862, 'mortal': 0.004310344827586207, 'exotic': 0.004310344827586207, 'you': 0.004310344827586207, 'infatuation': 0.004310344827586207, 'vibes': 0.004310344827586207, 'something': 0.004310344827586207, 'many': 0.004310344827586207, 'hershey': 0.004310344827586207, 'those': 0.008620689655172414, 'proper': 0.004310344827586207, 'tequila': 0.004310344827586207, 'love': 0.004310344827586207, 'legos': 0.004310344827586207, 'playdoh': 0.004310344827586207, 'your': 0.008620689655172414, 'jessica': 0.004310344827586207, 'ladies': 0.004310344827586207, 'them': 0.004310344827586207, 'wings': 0.004310344827586207, 'glare': 0.004310344827586207, 'joy': 0.004310344827586207, 'freedom': 0.004310344827586207, 'rappers': 0.004310344827586207, 'lyrics': 0.017241379310344827, 'all': 0.01293103448275862, 'acceleration': 0.008620689655172414, 'nothin': 0.004310344827586207, 'state': 0.004310344827586207, 'what': 0.004310344827586207, 'support': 0.004310344827586207, 'uncle': 0.004310344827586207, 'paramedics': 0.004310344827586207, 'some': 0.008620689655172414, 'us': 0.004310344827586207, 'bodies': 0.004310344827586207, 'gats': 0.004310344827586207, 'casualties': 0.004310344827586207, 'warm': 0.004310344827586207, 'respect': 0.004310344827586207, 'true': 0.004310344827586207, 'spence': 0.004310344827586207, 'em': 0.008620689655172414, 'be': 0.004310344827586207, 'new': 0.004310344827586207, 'red': 0.004310344827586207, 'one': 0.004310344827586207, 'cats': 0.004310344827586207, 'static': 0.004310344827586207, 'time': 0.004310344827586207, 'poetic': 0.004310344827586207, 'just': 0.004310344827586207, 'ammunition': 0.004310344827586207, 'girls': 0.004310344827586207, 'knowledge': 0.004310344827586207, 'about': 0.004310344827586207, 'low': 0.004310344827586207, 'clout': 0.004310344827586207, 'zest': 0.004310344827586207, 'xray': 0.004310344827586207}"
this,"{'im': 0.022727272727272728, 'nice': 0.005681818181818182, 'pedigree': 0.005681818181818182, 'one': 0.03977272727272727, 'theres': 0.005681818181818182, 'nothing': 0.011363636363636364, 'fuck': 0.011363636363636364, 'so': 0.022727272727272728, 'i': 0.03409090909090909, 'here': 0.022727272727272728, 'style': 0.017045454545454544, 'time': 0.011363636363636364, 'groove': 0.005681818181818182, 'supreme': 0.005681818181818182, 'era': 0.005681818181818182, 'is': 0.1590909090909091, 'business': 0.005681818181818182, 'before': 0.005681818181818182, 'beautiful': 0.005681818181818182, 'all': 0.005681818181818182, 'out': 0.045454545454545456, 'nymphomaniac': 0.005681818181818182, 'lyrical': 0.005681818181818182, 'but': 0.011363636363636364, 'voice': 0.005681818181818182, 'brother': 0.005681818181818182, 'bomb': 0.005681818181818182, 'girl': 0.011363636363636364, 'obsession': 0.005681818181818182, 'personal': 0.005681818181818182, 'love': 0.005681818181818182, 'chocolate': 0.005681818181818182, 'how': 0.005681818181818182, 'ghetto': 0.011363636363636364, 'for': 0.005681818181818182, 'shit': 0.005681818181818182, 'og': 0.005681818181818182, 'was': 0.005681818181818182, 'tabernacle': 0.005681818181818182, 'some': 0.005681818181818182, 'you': 0.017045454545454544, 'in': 0.005681818181818182, 'yall': 0.005681818181818182, 'aint': 0.011363636363636364, 'large': 0.005681818181818182, 'no': 0.005681818181818182, 'can': 0.011363636363636364, 'message': 0.005681818181818182, 'world': 0.011363636363636364, 'affair': 0.005681818181818182, 'may': 0.005681818181818182, 'subject': 0.005681818181818182, 'lifestyle': 0.005681818181818182, 'when': 0.005681818181818182, 'another': 0.011363636363636364, 'hospital': 0.005681818181818182, 'up': 0.005681818181818182, 'kick': 0.005681818181818182, 'its': 0.005681818181818182, 'be': 0.005681818181818182, 'special': 0.011363636363636364, 'like': 0.011363636363636364, 'whattaya': 0.005681818181818182, 'cut': 0.005681818181818182, 'get': 0.005681818181818182, 'mean': 0.011363636363636364, 'as': 0.005681818181818182, 'sport': 0.005681818181818182, 'structure': 0.005681818181818182, 'jam': 0.005681818181818182, 'chorus': 0.005681818181818182, 'brooklyn': 0.005681818181818182, 'patient': 0.005681818181818182, 'to': 0.011363636363636364, 'enrage': 0.005681818181818182, 'yes': 0.005681818181818182, 'starts': 0.005681818181818182, 'move': 0.005681818181818182, 'the': 0.005681818181818182, 'double': 0.005681818181818182, 'life': 0.011363636363636364, 'take': 0.005681818181818182, 'spot': 0.005681818181818182, 'domain': 0.005681818181818182, 'strange': 0.005681818181818182, 'flow': 0.017045454545454544, 'ones': 0.005681818181818182, 'even': 0.005681818181818182, 'goes': 0.005681818181818182, 'who': 0.005681818181818182, 'hey': 0.005681818181818182, 'guy': 0.005681818181818182, 'matter': 0.005681818181818182, 'somber': 0.005681818181818182, 'u47': 0.005681818181818182, 'microphone': 0.017045454545454544, 'meaning': 0.011363636363636364, 'today': 0.005681818181818182}"
just,"{'gonna': 0.005494505494505495, 'devour': 0.005494505494505495, 'a': 0.06043956043956044, 'because': 0.016483516483516484, 'address': 0.005494505494505495, 'give': 0.005494505494505495, 'break': 0.005494505494505495, 'swing': 0.005494505494505495, 'play': 0.016483516483516484, 'consider': 0.005494505494505495, 'like': 0.24175824175824176, 'conquer': 0.01098901098901099, 'tooken': 0.005494505494505495, 'might': 0.005494505494505495, 'shown': 0.005494505494505495, 'saying': 0.005494505494505495, 'make': 0.005494505494505495, 'in': 0.01098901098901099, 'goin': 0.005494505494505495, 'got': 0.005494505494505495, 'cant': 0.027472527472527472, 'stand': 0.005494505494505495, 'shut': 0.005494505494505495, 'for': 0.01098901098901099, 'about': 0.005494505494505495, 'crumble': 0.005494505494505495, 'them': 0.005494505494505495, 'to': 0.03296703296703297, 'by': 0.01098901098901099, 'so': 0.016483516483516484, 'kiddin': 0.01098901098901099, 'slapped': 0.005494505494505495, 'get': 0.01098901098901099, 'go': 0.005494505494505495, 'couldnt': 0.005494505494505495, 'look': 0.005494505494505495, 'telling': 0.005494505494505495, 'quit': 0.005494505494505495, 'admit': 0.005494505494505495, 'singlehanded': 0.005494505494505495, 'changing': 0.005494505494505495, 'swear': 0.005494505494505495, 'rhymes': 0.005494505494505495, 'be': 0.005494505494505495, 'slow': 0.005494505494505495, 'keep': 0.02197802197802198, 'me': 0.005494505494505495, 'havent': 0.005494505494505495, 'as': 0.005494505494505495, 'say': 0.01098901098901099, 'watch': 0.005494505494505495, 'work': 0.005494505494505495, 'catch': 0.01098901098901099, 'those': 0.005494505494505495, 'fucked': 0.005494505494505495, 'dont': 0.01098901098901099, 'only': 0.005494505494505495, 'want': 0.01098901098901099, 'scavengers': 0.01098901098901099, 'makes': 0.005494505494505495, 'cancel': 0.005494505494505495, 'the': 0.016483516483516484, 'that': 0.005494505494505495, 'aint': 0.01098901098901099, 'reign': 0.005494505494505495, 'tookin': 0.005494505494505495, 'lean': 0.03296703296703297, 'start': 0.005494505494505495, 'love': 0.005494505494505495, 'wanna': 0.016483516483516484, 'been': 0.005494505494505495, 'hopes': 0.005494505494505495, 'i': 0.005494505494505495, 'understand': 0.005494505494505495, 'point': 0.005494505494505495, 'bring': 0.016483516483516484, 'having': 0.005494505494505495, 'when': 0.005494505494505495, 'illiterate': 0.005494505494505495, 'brung': 0.005494505494505495, 'rip': 0.005494505494505495, 'have': 0.005494505494505495, 'chill': 0.005494505494505495, 'rocked': 0.005494505494505495, 'ends': 0.005494505494505495, 'take': 0.005494505494505495, 'brag': 0.005494505494505495, 'bless': 0.005494505494505495}"
gonna,"{'sit': 0.02857142857142857, 'take': 0.02857142857142857, 'be': 0.17142857142857143, 'hear': 0.02857142857142857, 'rock': 0.02857142857142857, 'do': 0.14285714285714285, 'give': 0.05714285714285714, 'wake': 0.02857142857142857, 'end': 0.02857142857142857, 'say': 0.02857142857142857, 'get': 0.05714285714285714, 'send': 0.05714285714285714, 'have': 0.08571428571428572, 'find': 0.02857142857142857, 'set': 0.02857142857142857, 'shoot': 0.02857142857142857, 'join': 0.02857142857142857, 'try': 0.02857142857142857, 'kill': 0.02857142857142857, 'check': 0.02857142857142857, 'see': 0.02857142857142857}"
sit,"{'here': 0.125, 'making': 0.125, 'back': 0.625, 'up': 0.125}"
here,"{'laid': 0.015384615384615385, 'and': 0.046153846153846156, 'it': 0.015384615384615385, 'i': 0.1076923076923077, 'to': 0.15384615384615385, 'track': 0.015384615384615385, 'is': 0.03076923076923077, 'clear': 0.015384615384615385, 'so': 0.015384615384615385, 'comes': 0.09230769230769231, 'were': 0.015384615384615385, 'now': 0.015384615384615385, 'brand': 0.015384615384615385, 'on': 0.015384615384615385, 'hottie': 0.015384615384615385, 'game': 0.015384615384615385, 'we': 0.1076923076923077, 'before': 0.015384615384615385, 'cometh': 0.015384615384615385, 'goes': 0.015384615384615385, 'when': 0.015384615384615385, 'that': 0.015384615384615385, 'nobody': 0.015384615384615385, 'my': 0.046153846153846156, 'for': 0.015384615384615385, 'yeah': 0.015384615384615385, 'right': 0.015384615384615385, 'chorus': 0.015384615384615385, 'also': 0.015384615384615385, 'a': 0.015384615384615385, 'give': 0.015384615384615385, 'cmon': 0.015384615384615385, 'well': 0.015384615384615385, 'today': 0.015384615384615385}"
