Word,Frequency
yeah,"{'come': 0.014492753623188406, 'lets': 0.014492753623188406, 'they': 0.10144927536231885, 'this': 0.014492753623188406, 'yeah': 0.3188405797101449, 'welcome': 0.014492753623188406, 'and': 0.028985507246376812, '220': 0.028985507246376812, 'i': 0.08695652173913043, 'dont': 0.057971014492753624, 'that': 0.014492753623188406, 'you': 0.043478260869565216, 'we': 0.057971014492753624, 'cam': 0.014492753623188406, 'check': 0.014492753623188406, 'what': 0.028985507246376812, 'like': 0.014492753623188406, 'baby': 0.014492753623188406, 'she': 0.028985507246376812, 'bring': 0.014492753623188406, 'im': 0.014492753623188406, 'waiting': 0.014492753623188406, 'fresh': 0.014492753623188406, 'dinner': 0.014492753623188406, 'its': 0.014492753623188406}"
come,"{'on': 0.2169811320754717, 'with': 0.018867924528301886, 'stay': 0.009433962264150943, 'over': 0.009433962264150943, 'by': 0.009433962264150943, 'get': 0.02830188679245283, 'squalie': 0.009433962264150943, 'you': 0.018867924528301886, 'killa': 0.009433962264150943, 'yall': 0.009433962264150943, 'the': 0.04716981132075472, 'dumb': 0.009433962264150943, 'into': 0.009433962264150943, 'im': 0.009433962264150943, 'up': 0.03773584905660377, 'home': 0.16037735849056603, 'once': 0.009433962264150943, 'from': 0.018867924528301886, 'i': 0.009433962264150943, 'lift': 0.009433962264150943, 'through': 0.02830188679245283, 'down': 0.009433962264150943, 'wit': 0.009433962264150943, 'for': 0.009433962264150943, 'to': 0.02830188679245283, 'deck': 0.009433962264150943, 'again': 0.10377358490566038, 'and': 0.018867924528301886, 'in': 0.018867924528301886, 'peep': 0.018867924528301886, 'here': 0.009433962264150943, 'back': 0.02830188679245283, 'now': 0.009433962264150943, 'dipset': 0.009433962264150943, 'fast': 0.009433962264150943, 'uh': 0.009433962264150943, 'blocking': 0.009433962264150943}"
on,"{'hey': 0.006578947368421052, 'tonight': 0.023026315789473683, 'that': 0.02631578947368421, 'second': 0.003289473684210526, 'third': 0.003289473684210526, 'board': 0.003289473684210526, 'nines': 0.003289473684210526, 'bama': 0.003289473684210526, 'scrappy': 0.003289473684210526, 'stoops': 0.003289473684210526, 'murders': 0.003289473684210526, 'a': 0.03618421052631579, 'my': 0.07236842105263158, 'mauri': 0.003289473684210526, 'up': 0.003289473684210526, 'the': 0.20723684210526316, 'turn': 0.003289473684210526, 'hows': 0.003289473684210526, 'some': 0.006578947368421052, 'extra': 0.003289473684210526, 'food': 0.003289473684210526, 'outside': 0.003289473684210526, 'day': 0.003289473684210526, '22nd': 0.003289473684210526, 'lenox': 0.003289473684210526, 'fuck': 0.006578947368421052, 'ya': 0.009868421052631578, 'hop': 0.006578947368421052, 'her': 0.009868421052631578, 'wrapped': 0.003289473684210526, 'various': 0.003289473684210526, 'point': 0.023026315789473683, 'satellite': 0.003289473684210526, 'another': 0.003289473684210526, 'audubon': 0.003289473684210526, 'these': 0.013157894736842105, 'your': 0.02631578947368421, 'them': 0.003289473684210526, 'me': 0.02631578947368421, 'this': 0.013157894736842105, 'yall': 0.006578947368421052, 'his': 0.013157894736842105, '40': 0.003289473684210526, 'and': 0.006578947368421052, 'hogan': 0.003289473684210526, 'to': 0.006578947368421052, 'thriller': 0.003289473684210526, 'expressway': 0.003289473684210526, 'home': 0.04276315789473684, 'our': 0.003289473684210526, 'zone': 0.003289473684210526, 'walk': 0.003289473684210526, 'it': 0.006578947368421052, 'em': 0.003289473684210526, 'what': 0.01644736842105263, 'ice': 0.003289473684210526, 'blast': 0.003289473684210526, 'bainbridge': 0.003289473684210526, 'respire': 0.003289473684210526, 'one': 0.003289473684210526, 'kawasakis': 0.003289473684210526, 'new': 0.003289473684210526, 'gods': 0.003289473684210526, 'purpose': 0.003289473684210526, 'they': 0.009868421052631578, 'you': 0.009868421052631578, 'let': 0.003289473684210526, 'popo': 0.003289473684210526, 'stuntin': 0.006578947368421052, 'any': 0.006578947368421052, 'for': 0.006578947368421052, 'lowlifes': 0.003289473684210526, 'i': 0.006578947368421052, 'man': 0.006578947368421052, 'sizzurp': 0.003289473684210526, 'record': 0.003289473684210526, 'birds': 0.003289473684210526, 'get': 0.003289473684210526, 'word': 0.003289473684210526, 'just': 0.003289473684210526, 'probation': 0.003289473684210526, 'house': 0.006578947368421052, 'lottis': 0.003289473684210526, 'keep': 0.003289473684210526, 'killa': 0.003289473684210526, 'overflow': 0.003289473684210526, 'twitter': 0.003289473684210526, 'judge': 0.003289473684210526, 'line': 0.003289473684210526, 'boston': 0.003289473684210526, 'rock': 0.003289473684210526, 'is': 0.003289473684210526, 'center': 0.003289473684210526, 'front': 0.003289473684210526, 'lock': 0.006578947368421052, 'top': 0.006578947368421052, 'school': 0.003289473684210526, 'i80': 0.003289473684210526, 'an': 0.006578947368421052, 'delivery': 0.003289473684210526, 'dough': 0.003289473684210526, 'durangos': 0.003289473684210526, 'play': 0.003289473684210526, 'tnt': 0.003289473684210526, 'greyhound': 0.003289473684210526, 'crash': 0.003289473684210526, 'dun': 0.003289473684210526, '07': 0.003289473684210526, 'or': 0.003289473684210526, 'stop': 0.003289473684210526, 'fresh': 0.006578947368421052, 'next': 0.003289473684210526, 'post': 0.003289473684210526, 'freeze': 0.003289473684210526, 'thats': 0.003289473684210526, 'dont': 0.003289473684210526, 'pause': 0.003289473684210526, 'yours': 0.006578947368421052, 'shores': 0.003289473684210526, 'butter': 0.003289473684210526, 'cellies': 0.003289473684210526, 'whats': 0.003289473684210526, 'camcorder': 0.003289473684210526, 'gp': 0.003289473684210526, 'primetime': 0.003289473684210526, 'with': 0.003289473684210526}"
hey,"{'ma': 0.10344827586206896, 'so': 0.034482758620689655, 'killa': 0.034482758620689655, 'jr': 0.034482758620689655, 'yo': 0.034482758620689655, 'hey': 0.034482758620689655, 'oh': 0.034482758620689655, 'this': 0.034482758620689655, 'you': 0.034482758620689655, 'lady': 0.4827586206896552, 'and': 0.10344827586206896, 'play': 0.034482758620689655}"
ma,"{'wassup': 0.15789473684210525, 'whats': 0.02631578947368421, 'what': 0.07894736842105263, 'its': 0.02631578947368421, 'lemme': 0.05263157894736842, 'i': 0.15789473684210525, 'you': 0.10526315789473684, 'if': 0.05263157894736842, 'hot': 0.02631578947368421, 'why': 0.02631578947368421, 'easy': 0.02631578947368421, 'unless': 0.02631578947368421, 'we': 0.02631578947368421, 'wanna': 0.02631578947368421, 'imma': 0.02631578947368421, 'please': 0.02631578947368421, 'hey': 0.02631578947368421, 'ga': 0.02631578947368421, 'cause': 0.02631578947368421, 'huh': 0.02631578947368421, 'get': 0.02631578947368421}"
wassup,{'lets': 1.0}
lets,"{'slide': 0.13636363636363635, 'discuss': 0.022727272727272728, 'get': 0.18181818181818182, 'swallow': 0.022727272727272728, 'speed': 0.022727272727272728, 'go': 0.3181818181818182, 'do': 0.13636363636363635, 'talk': 0.022727272727272728, 'be': 0.022727272727272728, 'start': 0.022727272727272728, 'deal': 0.022727272727272728, 'wrap': 0.022727272727272728, 'ride': 0.022727272727272728, 'keep': 0.022727272727272728}"
slide,"{'alright': 0.6, 'yall': 0.2, 'off': 0.1, 'right': 0.1}"
alright,"{'alright': 0.35294117647058826, 'and': 0.35294117647058826, 'cause': 0.17647058823529413, 'we': 0.058823529411764705, 'thats': 0.058823529411764705}"
and,"{'we': 0.02640845070422535, 'i': 0.04929577464788732, 'type': 0.0035211267605633804, 'said': 0.008802816901408451, 'live': 0.0017605633802816902, 'takes': 0.0017605633802816902, 'dont': 0.0017605633802816902, 'spit': 0.0017605633802816902, 'sip': 0.0017605633802816902, 'rich': 0.0017605633802816902, 'this': 0.008802816901408451, 'a': 0.02112676056338028, 'ima': 0.00528169014084507, 'you': 0.01936619718309859, 'shit': 0.01232394366197183, 'her': 0.0017605633802816902, 'pucci': 0.0017605633802816902, 'word': 0.0017605633802816902, 'spray': 0.007042253521126761, 'killa': 0.01232394366197183, 'red': 0.0017605633802816902, 'harlem': 0.0017605633802816902, 'robbers': 0.0017605633802816902, 'my': 0.02464788732394366, 'the': 0.04753521126760563, 'his': 0.0017605633802816902, 'bandanas': 0.0017605633802816902, 'im': 0.02992957746478873, 'bodies': 0.0017605633802816902, 'capo': 0.0017605633802816902, 'fill': 0.0017605633802816902, 'he': 0.014084507042253521, 'biggs': 0.0017605633802816902, 'jaz': 0.0017605633802816902, 'niggas': 0.008802816901408451, 'all': 0.01056338028169014, 'slam': 0.0017605633802816902, 'roll': 0.00528169014084507, 'pits': 0.0035211267605633804, 'bloomies': 0.0017605633802816902, 'honey': 0.0017605633802816902, '2': 0.0017605633802816902, 'toby': 0.0017605633802816902, 'down': 0.0017605633802816902, 'gentlemen': 0.0017605633802816902, 'center': 0.0017605633802816902, 'it': 0.0017605633802816902, 'harlems': 0.00528169014084507, 'straight': 0.0035211267605633804, 'gravano': 0.0017605633802816902, 'snort': 0.0035211267605633804, 'park': 0.0017605633802816902, 'after': 0.0035211267605633804, 'catch': 0.0035211267605633804, 'savor': 0.0035211267605633804, 'get': 0.02992957746478873, 'then': 0.00528169014084507, 'bottles': 0.0017605633802816902, 'go': 0.00528169014084507, 'its': 0.007042253521126761, 'who': 0.0017605633802816902, 'them': 0.00528169014084507, 'bush': 0.0017605633802816902, 'in': 0.0035211267605633804, 'hate': 0.0017605633802816902, 'youll': 0.0017605633802816902, 'coke': 0.0017605633802816902, '12': 0.0035211267605633804, 'realize': 0.0017605633802816902, 'rivers': 0.0017605633802816902, 'flood': 0.0017605633802816902, 'when': 0.014084507042253521, 'brocs': 0.0035211267605633804, 'gray': 0.0035211267605633804, '50': 0.0017605633802816902, 'yall': 0.0017605633802816902, 'pitching': 0.0017605633802816902, 'just': 0.0017605633802816902, 'bruises': 0.0017605633802816902, 'stretch': 0.0017605633802816902, 'glued': 0.0017605633802816902, 'one': 0.0017605633802816902, 'taurus': 0.0017605633802816902, 'pills': 0.0017605633802816902, 'vets': 0.0017605633802816902, 'tell': 0.0035211267605633804, 'line': 0.0017605633802816902, 'keep': 0.0017605633802816902, 'cakes': 0.0017605633802816902, 'peachy': 0.0017605633802816902, 'signs': 0.0017605633802816902, 'mike': 0.0017605633802816902, 'nails': 0.0017605633802816902, 'dog': 0.0017605633802816902, 'bound': 0.0017605633802816902, 'pressing': 0.0017605633802816902, 'pumping': 0.0017605633802816902, 'thats': 0.01056338028169014, 'broadway': 0.0035211267605633804, 'raping': 0.0017605633802816902, 'avias': 0.0017605633802816902, 'roxy': 0.0017605633802816902, 'rocks': 0.0017605633802816902, 'glocksll': 0.0017605633802816902, 'coroners': 0.0017605633802816902, 'lennox': 0.0035211267605633804, 'taft': 0.0017605633802816902, 'wagner': 0.0017605633802816902, 'q': 0.0017605633802816902, 'sally': 0.0017605633802816902, 'dope': 0.007042253521126761, 'kirk': 0.0017605633802816902, 'doo': 0.0017605633802816902, 'slangin': 0.0017605633802816902, 'rockafella': 0.0017605633802816902, 'shells': 0.0017605633802816902, 'if': 0.00528169014084507, 'jumping': 0.0035211267605633804, 'dumping': 0.0017605633802816902, 'flabby': 0.0017605633802816902, 'every': 0.0017605633802816902, 'how': 0.00528169014084507, 'ya': 0.0035211267605633804, 'chart': 0.0017605633802816902, 'shining': 0.0017605633802816902, 'toast': 0.0017605633802816902, 'pepper': 0.0017605633802816902, 'be': 0.0035211267605633804, 'bitches': 0.0017605633802816902, 'latifah': 0.0017605633802816902, 'what': 0.0035211267605633804, 'were': 0.0017605633802816902, 'troy': 0.0017605633802816902, 'your': 0.0035211267605633804, 'carriage': 0.014084507042253521, 'ju': 0.007042253521126761, 'uh': 0.00528169014084507, 'bloodshed': 0.0017605633802816902, 'dom': 0.0017605633802816902, 'don': 0.0017605633802816902, 'their': 0.0035211267605633804, 'she': 0.00528169014084507, 'girl': 0.01056338028169014, 'use': 0.0017605633802816902, 'anyway': 0.0017605633802816902, 'push': 0.0035211267605633804, 'other': 0.0017605633802816902, 'twirl': 0.0017605633802816902, 'steal': 0.0017605633802816902, 'shell': 0.0035211267605633804, 'plus': 0.0017605633802816902, 'give': 0.0017605633802816902, 'put': 0.00528169014084507, 'phoenix': 0.0017605633802816902, 'pimps': 0.0017605633802816902, 'choppers': 0.0017605633802816902, 'rastas': 0.0017605633802816902, 'chachi': 0.0017605633802816902, 'cocky': 0.0017605633802816902, 'rollin': 0.0017605633802816902, 'they': 0.008802816901408451, 'chiefchief': 0.0017605633802816902, 'ecstasy': 0.0017605633802816902, 'wet': 0.0017605633802816902, 'see': 0.0017605633802816902, 'cris': 0.0017605633802816902, 'cam': 0.007042253521126761, 'melon': 0.0017605633802816902, 'green': 0.0035211267605633804, 'shoot': 0.0017605633802816902, 'think': 0.00528169014084507, 'wink': 0.0035211267605633804, 'hot': 0.0017605633802816902, 'me': 0.008802816901408451, '3': 0.007042253521126761, 'preservatives': 0.0017605633802816902, 'birds': 0.0017605633802816902, 'dead': 0.0017605633802816902, 'pearls': 0.0017605633802816902, 'no': 0.0017605633802816902, 'chronic': 0.0017605633802816902, 'pledge': 0.0017605633802816902, 'flashy': 0.0017605633802816902, 'let': 0.0035211267605633804, 'used': 0.0017605633802816902, 'lazarus': 0.0017605633802816902, 'to': 0.0035211267605633804, 'that': 0.0035211267605633804, 'damage': 0.0017605633802816902, 'beat': 0.0017605633802816902, 'still': 0.0017605633802816902, 'rest': 0.0017605633802816902, 'say': 0.0035211267605633804, '141st': 0.0017605633802816902, '8th': 0.0017605633802816902, 'fuss': 0.0017605633802816902, 'porsche': 0.0017605633802816902, 'not': 0.0035211267605633804, 'some': 0.0017605633802816902, 'fans': 0.0017605633802816902, 'santana': 0.0035211267605633804, 'ebert': 0.0017605633802816902, 'white': 0.0017605633802816902, 'brickyes': 0.0017605633802816902, 'measure': 0.0017605633802816902, 'aim': 0.0017605633802816902, 'pool': 0.0017605633802816902, 'lenox': 0.0017605633802816902, 'tribulations': 0.0017605633802816902, 'nicka': 0.0017605633802816902, 'was': 0.0017605633802816902, 'hour': 0.0017605633802816902, 'chumped': 0.0017605633802816902, 'cunt': 0.0017605633802816902, 'barney': 0.0017605633802816902, 'press': 0.0017605633802816902, 'flowed': 0.0017605633802816902, 'maybe': 0.0017605633802816902, 'weavin': 0.0017605633802816902, 'yes': 0.0017605633802816902, 'leakin': 0.0017605633802816902, 'breathe': 0.0017605633802816902, 'leave': 0.0017605633802816902, 'bitch': 0.0017605633802816902, 'joy': 0.0017605633802816902, 'clout': 0.0017605633802816902, 'crafts': 0.0017605633802816902, 'half': 0.0017605633802816902, 'laugh': 0.0017605633802816902, 'gi': 0.0017605633802816902, 'jim': 0.0017605633802816902, 'prices': 0.0017605633802816902, 'clothes': 0.00528169014084507, 'hit': 0.00528169014084507, 'peaches': 0.0035211267605633804, 'dump': 0.0017605633802816902, 'cry': 0.0017605633802816902, 'hustle': 0.0017605633802816902, 'oops': 0.0017605633802816902, 'while': 0.00528169014084507, 'work': 0.0017605633802816902, 'matador': 0.0017605633802816902, 'weighed': 0.0017605633802816902, 'reup': 0.0017605633802816902, 'run': 0.0017605633802816902, 'hell': 0.0017605633802816902, 'cross': 0.0017605633802816902, 'move': 0.0017605633802816902, 'coming': 0.0035211267605633804, 'right': 0.0017605633802816902, 'flame': 0.0017605633802816902, 'out': 0.01232394366197183, 'ball': 0.0017605633802816902, 'yeah': 0.0017605633802816902, 'nah': 0.0017605633802816902, 'dirty': 0.0017605633802816902, 'try': 0.0017605633802816902, 'write': 0.0035211267605633804, 'potent': 0.0017605633802816902, 'maui': 0.0017605633802816902, 'cali': 0.0017605633802816902, 'hope': 0.0017605633802816902, 'yellow': 0.0017605633802816902, 'jelly': 0.0017605633802816902, 'tops': 0.0017605633802816902, 'choke': 0.00528169014084507, 'shoe': 0.0017605633802816902, 'heels': 0.0017605633802816902, 'ask': 0.0017605633802816902, 'son': 0.0017605633802816902, 'clapping': 0.0017605633802816902, 'cook': 0.0017605633802816902, 'cameras': 0.0017605633802816902, 'mallory': 0.0017605633802816902, 'play': 0.0017605633802816902, 'smoke': 0.0017605633802816902, 'money': 0.0017605633802816902, 'yo': 0.0017605633802816902}"
