Word,Frequency
yeah,"{'yeah': 0.24561403508771928, 'go': 0.023391812865497075, 'i': 0.05263157894736842, 'we': 0.05263157894736842, 'party': 0.011695906432748537, 'money': 0.005847953216374269, 'girl': 0.011695906432748537, 'dance': 0.005847953216374269, 'this': 0.03508771929824561, 'ima': 0.011695906432748537, 'or': 0.005847953216374269, 'im': 0.04678362573099415, 'woo': 0.011695906432748537, 'straight': 0.005847953216374269, 'dont': 0.005847953216374269, 'on': 0.005847953216374269, 'know': 0.005847953216374269, 'you': 0.023391812865497075, 'mi': 0.005847953216374269, 'halfthai': 0.005847953216374269, 'got': 0.005847953216374269, 'real': 0.005847953216374269, 'are': 0.005847953216374269, 'your': 0.005847953216374269, 'no': 0.011695906432748537, 'dude': 0.005847953216374269, 'they': 0.023391812865497075, 'gambino': 0.005847953216374269, 'these': 0.011695906432748537, 'my': 0.011695906432748537, 'rah': 0.005847953216374269, 'hit': 0.005847953216374269, 'what': 0.005847953216374269, 'mothafucka': 0.005847953216374269, 'man': 0.005847953216374269, 'the': 0.005847953216374269, 'now': 0.005847953216374269, 'its': 0.011695906432748537, 'marcus': 0.005847953216374269, 'fam': 0.011695906432748537, 'isnt': 0.005847953216374269, 'that': 0.017543859649122806, 'break': 0.005847953216374269, 'rainbows': 0.011695906432748537, 'act': 0.005847953216374269, 'let': 0.005847953216374269, 'gettin': 0.005847953216374269, 'showin': 0.005847953216374269, 'yeahyeah': 0.011695906432748537, 'hunnid': 0.005847953216374269, 'uh': 0.011695906432748537, 'kay': 0.005847953216374269, 'bitch': 0.005847953216374269, 'theyre': 0.005847953216374269, 'nigga': 0.005847953216374269, 'ooh': 0.005847953216374269, 'make': 0.005847953216374269, 'okay': 0.04678362573099415, 'so': 0.005847953216374269, 'whenever': 0.023391812865497075, 'why': 0.023391812865497075, 'but': 0.005847953216374269, 'all': 0.005847953216374269, 'give': 0.005847953216374269, 'oh': 0.005847953216374269, 'he': 0.005847953216374269}"
go,"{'go': 0.0392156862745098, 'away': 0.0392156862745098, 'into': 0.0196078431372549, 'get': 0.00980392156862745, 'tell': 0.0392156862745098, 'on': 0.0196078431372549, 'emily': 0.00980392156862745, 'ham': 0.0196078431372549, 'heartbeat': 0.058823529411764705, 'and': 0.029411764705882353, 'to': 0.058823529411764705, '100': 0.00980392156862745, 'before': 0.00980392156862745, 'but': 0.00980392156862745, 'again': 0.0196078431372549, 'home': 0.0392156862745098, 'niggas': 0.00980392156862745, 'though': 0.00980392156862745, 'down': 0.029411764705882353, 'crazy': 0.029411764705882353, 'where': 0.00980392156862745, 'hella': 0.00980392156862745, 'hard': 0.00980392156862745, 'back': 0.0196078431372549, 'nuts': 0.00980392156862745, 'because': 0.00980392156862745, 'everything': 0.00980392156862745, 'in': 0.029411764705882353, 'rainbows': 0.0196078431372549, 'what': 0.00980392156862745, 'inside': 0.00980392156862745, 'half': 0.00980392156862745, 'together': 0.029411764705882353, 'let': 0.00980392156862745, 'didnt': 0.00980392156862745, 'oh': 0.00980392156862745, 'ah': 0.00980392156862745, 'manicoh': 0.00980392156862745, 'lay': 0.00980392156862745, 'walkin': 0.0196078431372549, 'babe': 0.00980392156862745, 'baby': 0.00980392156862745, 'as': 0.00980392156862745, 'gotta': 0.058823529411764705, 'dont': 0.06862745098039216, 'ahead': 0.0196078431372549, 'be': 0.00980392156862745, 'somewhere': 0.00980392156862745, 'deep': 0.00980392156862745, 'watching': 0.00980392156862745, 'pimp': 0.00980392156862745}"
away,"{'yeah': 0.15, 'we': 0.05, 'my': 0.05, 'and': 0.05, 'far': 0.05, 'i': 0.05, 'it': 0.05, 'like': 0.05, 'im': 0.3, 'baby': 0.05, 'mama': 0.05, 'oh': 0.05, 'you': 0.05}"
we,"{'just': 0.03558718861209965, 'gon': 0.017793594306049824, 'can': 0.09608540925266904, 'party': 0.0035587188612099642, 'spit': 0.0035587188612099642, 'let': 0.0035587188612099642, 'spend': 0.0035587188612099642, 'blow': 0.0035587188612099642, 'in': 0.0071174377224199285, 'all': 0.021352313167259787, 'did': 0.0071174377224199285, 'have': 0.017793594306049824, 'fuck': 0.010676156583629894, 'come': 0.0035587188612099642, 'thought': 0.0035587188612099642, 'were': 0.12811387900355872, 'broke': 0.0035587188612099642, 'used': 0.010676156583629894, 'dated': 0.0035587188612099642, 'dating': 0.0035587188612099642, 'fucking': 0.0035587188612099642, 'best': 0.0035587188612099642, 'something': 0.0035587188612099642, 'never': 0.0071174377224199285, 'last': 0.0035587188612099642, 'tag': 0.0035587188612099642, 'get': 0.0035587188612099642, 'the': 0.042704626334519574, 'fuckin': 0.0035587188612099642, 'eatin': 0.0035587188612099642, 'go': 0.010676156583629894, 'pushin': 0.0035587188612099642, 'hear': 0.0071174377224199285, 'try': 0.017793594306049824, 'fucked': 0.0035587188612099642, 'are': 0.06761565836298933, 'dont': 0.03914590747330961, 'aint': 0.02491103202846975, 'acting': 0.0035587188612099642, 'depend': 0.0035587188612099642, 'change': 0.0071174377224199285, 'conversatin': 0.0035587188612099642, 'still': 0.0035587188612099642, 'wont': 0.0035587188612099642, 'saw': 0.0071174377224199285, 'know': 0.0035587188612099642, 'pass': 0.0035587188612099642, 'live': 0.0035587188612099642, 'both': 0.010676156583629894, 'see': 0.014234875444839857, 'barely': 0.0035587188612099642, 'had': 0.010676156583629894, 'became': 0.0071174377224199285, 'almost': 0.010676156583629894, 'sleep': 0.0035587188612099642, 'run': 0.0035587188612099642, 'popped': 0.0035587188612099642, 'feel': 0.0035587188612099642, 'suggest': 0.0035587188612099642, 'didnt': 0.0071174377224199285, 'supposed': 0.0035587188612099642, 'borrow': 0.0035587188612099642, 'need': 0.03202846975088968, 'going': 0.0035587188612099642, 'gotta': 0.0071174377224199285, 'wanted': 0.0035587188612099642, 'want': 0.0035587188612099642, 'here': 0.0035587188612099642, 'could': 0.014234875444839857, 'fear': 0.0035587188612099642, 'drink': 0.0035587188612099642, 'got': 0.02491103202846975, 'not': 0.010676156583629894, 'them': 0.0035587188612099642, 'fell': 0.0035587188612099642, 'royalty': 0.0035587188612099642, 'around': 0.0035587188612099642, 'bankin': 0.0035587188612099642, 'ateam': 0.0035587188612099642, 'leave': 0.0035587188612099642, 'hittin': 0.0035587188612099642, 'light': 0.0035587188612099642, 'cool': 0.0035587188612099642, 'walk': 0.0071174377224199285, 'felt': 0.0035587188612099642, 'meet': 0.0035587188612099642, 'love': 0.0035587188612099642, 'cant': 0.0035587188612099642, 'warriors': 0.0035587188612099642, 'lost': 0.014234875444839857, 'wasnt': 0.0035587188612099642, 'went': 0.0035587188612099642, 'speaking': 0.0035587188612099642, 'found': 0.0071174377224199285, 'slept': 0.0035587188612099642, 'left': 0.0035587188612099642, 'should': 0.0035587188612099642, 'homies': 0.0035587188612099642, 'say': 0.0035587188612099642, 'couldve': 0.0035587188612099642, 'spent': 0.0035587188612099642}"
just,"{'wanna': 0.08888888888888889, 'for': 0.06666666666666667, 'want': 0.014814814814814815, 'checked': 0.007407407407407408, 'a': 0.0962962962962963, 'scared': 0.007407407407407408, 'ticking': 0.007407407407407408, 'hold': 0.08888888888888889, 'so': 0.007407407407407408, 'quit': 0.007407407407407408, 'text': 0.007407407407407408, 'wasnt': 0.007407407407407408, 'trying': 0.014814814814814815, 'roll': 0.014814814814814815, 'hit': 0.007407407407407408, 'give': 0.022222222222222223, 'puppy': 0.014814814814814815, 'smoke': 0.007407407407407408, 'really': 0.007407407407407408, 'to': 0.02962962962962963, 'like': 0.007407407407407408, 'seems': 0.022222222222222223, 'sent': 0.007407407407407408, 'before': 0.007407407407407408, 'not': 0.007407407407407408, 'get': 0.007407407407407408, 'got': 0.007407407407407408, 'bunch': 0.007407407407407408, 'remember': 0.014814814814814815, 'one': 0.007407407407407408, 'after': 0.007407407407407408, 'talking': 0.007407407407407408, 'as': 0.007407407407407408, 'saying': 0.007407407407407408, 'true': 0.007407407407407408, 'you': 0.007407407407407408, 'kept': 0.007407407407407408, 'hope': 0.007407407407407408, 'trolls': 0.007407407407407408, 'retweet': 0.007407407407407408, 'twercules': 0.007407407407407408, 'keeps': 0.007407407407407408, 'sayin': 0.014814814814814815, 'jerking': 0.007407407407407408, 'enough': 0.014814814814814815, 'making': 0.007407407407407408, 'dropped': 0.007407407407407408, 'tryna': 0.014814814814814815, 'party': 0.007407407407407408, 'do': 0.007407407407407408, 'popped': 0.007407407407407408, 'being': 0.007407407407407408, 'phyllis': 0.007407407407407408, 'dont': 0.007407407407407408, 'myself': 0.007407407407407408, 'happy': 0.007407407407407408, 'wake': 0.007407407407407408, 'laughed': 0.014814814814814815, 'talkin': 0.007407407407407408, 'stroll': 0.007407407407407408, 'diggin': 0.007407407407407408, 'stay': 0.007407407407407408, 'thought': 0.007407407407407408, 'havin': 0.007407407407407408, 'workin': 0.007407407407407408, 'the': 0.014814814814814815, 'hide': 0.02962962962962963, 'me': 0.007407407407407408, 'keep': 0.007407407407407408, 'some': 0.007407407407407408, 'childish': 0.022222222222222223}"
wanna,"{'party': 0.03389830508474576, 'make': 0.01694915254237288, 'do': 0.1694915254237288, 'play': 0.025423728813559324, 'be': 0.2966101694915254, 'see': 0.09322033898305085, 'battle': 0.00847457627118644, 'come': 0.00847457627118644, 'get': 0.01694915254237288, 'have': 0.00847457627118644, 'take': 0.00847457627118644, 'knock': 0.00847457627118644, 'say': 0.01694915254237288, 'walk': 0.00847457627118644, 'feel': 0.01694915254237288, 'smoke': 0.00847457627118644, 'fight': 0.01694915254237288, 'solve': 0.00847457627118644, 'know': 0.00847457627118644, 'try': 0.00847457627118644, 'dance': 0.00847457627118644, 'hear': 0.00847457627118644, 'assassinate': 0.00847457627118644, 'paddle': 0.00847457627118644, 'live': 0.03389830508474576, 'show': 0.00847457627118644, 'go': 0.00847457627118644, 'cash': 0.00847457627118644, 'leave': 0.025423728813559324, 'drink': 0.00847457627118644, 'lose': 0.00847457627118644, 'run': 0.00847457627118644, 'bring': 0.00847457627118644, 'suck': 0.00847457627118644, 'watch': 0.00847457627118644, 'bite': 0.00847457627118644, 'give': 0.00847457627118644, 'holler': 0.00847457627118644, 'pick': 0.00847457627118644, 'deceive': 0.00847457627118644}"
party,"{'party': 0.125, 'just': 0.25, 'yeah': 0.125, 'every': 0.0625, 'tonight': 0.0625, 'itll': 0.0625, 'all': 0.0625, 'cause': 0.0625, 'then': 0.0625, 'yall': 0.0625, 'at': 0.0625}"
for,"{'you': 0.072992700729927, 'free': 0.021897810218978103, 'a': 0.17518248175182483, 'some': 0.014598540145985401, 'boy': 0.0072992700729927005, 'your': 0.014598540145985401, 'beginners': 0.0072992700729927005, 'my': 0.029197080291970802, 'earl': 0.0072992700729927005, 'these': 0.029197080291970802, 'who': 0.0072992700729927005, 'hes': 0.0072992700729927005, 'they': 0.0072992700729927005, 'two': 0.014598540145985401, 'all': 0.0072992700729927005, 'the': 0.12408759124087591, 'this': 0.014598540145985401, 'tonight': 0.0072992700729927005, 'that': 0.014598540145985401, 'singing': 0.0072992700729927005, 'too': 0.0072992700729927005, 'breakfast': 0.0072992700729927005, 'camp': 0.0072992700729927005, 'us': 0.029197080291970802, 'everybody': 0.0072992700729927005, 'chicks': 0.0072992700729927005, 'when': 0.021897810218978103, 'slamming': 0.0072992700729927005, 'fireman': 0.0072992700729927005, 'spiderman': 0.0072992700729927005, 'real': 0.014598540145985401, 'further': 0.0072992700729927005, 'what': 0.014598540145985401, 'years': 0.0072992700729927005, 'longer': 0.0072992700729927005, 'about': 0.0072992700729927005, 'something': 0.0072992700729927005, 'it': 0.0072992700729927005, 'an': 0.0072992700729927005, 'yo': 0.0072992700729927005, 'him': 0.0072992700729927005, 'ourselves': 0.014598540145985401, 'each': 0.0072992700729927005, 'help': 0.0072992700729927005, 'sure': 0.0072992700729927005, 'fucks': 0.0072992700729927005, 'sellin': 0.0072992700729927005, 'ever': 0.0072992700729927005, 'donation': 0.0072992700729927005, 'another': 0.0072992700729927005, 'sunday': 0.0072992700729927005, 'japanese': 0.0072992700729927005, 'bad': 0.0072992700729927005, 'me': 0.021897810218978103, 'quarters': 0.0072992700729927005, 'dinner': 0.0072992700729927005, 'one': 0.0072992700729927005, 'hanging': 0.0072992700729927005, 'yall': 0.0072992700729927005, 'just': 0.0072992700729927005, 'life': 0.0072992700729927005, 'money': 0.021897810218978103, 'air': 0.0072992700729927005, 'no': 0.0072992700729927005}"
you,"{'we': 0.00702576112412178, 'yeah': 0.00234192037470726, 'wanna': 0.01405152224824356, 'got': 0.02107728337236534, 'you': 0.00351288056206089, 'i': 0.01522248243559719, 'slippin': 0.0117096018735363, 'go': 0.01053864168618267, 'like': 0.00585480093676815, 'mothafuckas': 0.00351288056206089, 'just': 0.00702576112412178, 'wont': 0.00468384074941452, 'made': 0.00468384074941452, 'make': 0.00702576112412178, 'want': 0.01990632318501171, 'can': 0.0234192037470726, 'need': 0.00936768149882904, 'gon': 0.01288056206088993, 'sleepin': 0.00702576112412178, 'close': 0.00351288056206089, 'better': 0.00585480093676815, 'they': 0.00234192037470726, 'now': 0.01639344262295082, 'howd': 0.00117096018735363, 'say': 0.0234192037470726, 'do': 0.01288056206088993, 'fuck': 0.00819672131147541, 'lying': 0.00117096018735363, 'mufasa': 0.00117096018735363, 'pay': 0.00234192037470726, 'dont': 0.03629976580796253, 'and': 0.01288056206088993, 'so': 0.00468384074941452, 'faker': 0.00117096018735363, 'eating': 0.00351288056206089, 'aint': 0.01405152224824356, 'niggas': 0.00819672131147541, 'doing': 0.0117096018735363, 'know': 0.08196721311475409, 'shop': 0.00117096018735363, 'whippin': 0.00117096018735363, 'talk': 0.00234192037470726, 'havent': 0.00351288056206089, 'hate': 0.00468384074941452, 'will': 0.00351288056206089, 'see': 0.0117096018735363, 'all': 0.00234192037470726, 'to': 0.02107728337236534, 'are': 0.01756440281030445, 'walk': 0.00234192037470726, 'turn': 0.00117096018735363, 'least': 0.00117096018735363, 'thinking': 0.00234192037470726, 'left': 0.00234192037470726, 'start': 0.00351288056206089, 'the': 0.00819672131147541, 'heard': 0.00351288056206089, 'kiss': 0.00117096018735363, 'through': 0.00234192037470726, 'have': 0.00585480093676815, 'uh': 0.00234192037470726, 'were': 0.01053864168618267, 'in': 0.00585480093676815, 'couldnt': 0.00234192037470726, 'ate': 0.00117096018735363, 'had': 0.00585480093676815, 'money': 0.00117096018735363, 'burn': 0.00117096018735363, 'hiding': 0.00234192037470726, 'fuckin': 0.00351288056206089, 'couldve': 0.00117096018735363, 'dudes': 0.00117096018735363, 'tell': 0.00234192037470726, 'hungry': 0.00117096018735363, 'get': 0.00468384074941452, 'think': 0.01639344262295082, 'might': 0.00351288056206089, 'tonight': 0.00117096018735363, 'tweet': 0.00234192037470726, 'choose': 0.00117096018735363, 'still': 0.00468384074941452, 'miss': 0.00234192037470726, 'brought': 0.00117096018735363, 'standing': 0.00117096018735363, 'only': 0.00117096018735363, 'a': 0.00585480093676815, 'let': 0.00585480093676815, 'is': 0.00351288056206089, 'really': 0.00936768149882904, 'girl': 0.00351288056206089, 'sleep': 0.00234192037470726, 'with': 0.01522248243559719, 'saying': 0.00234192037470726, 'never': 0.00936768149882904, 'im': 0.00234192037470726, 'already': 0.00117096018735363, 'man': 0.00117096018735363, 'been': 0.00351288056206089, 'who': 0.00117096018735363, 'born': 0.00117096018735363, 'spitting': 0.00117096018735363, 'throw': 0.00234192037470726, 'showed': 0.00117096018735363, 'later': 0.00351288056206089, 'raised': 0.00117096018735363, 'didnt': 0.00585480093676815, 'step': 0.00117096018735363, 'before': 0.00117096018735363, 'but': 0.00468384074941452, 'something': 0.00351288056206089, 'smile': 0.00117096018735363, 'mean': 0.00234192037470726, 'told': 0.00117096018735363, 'or': 0.00117096018735363, 'when': 0.00351288056206089, 'home': 0.00234192037470726, 'ready': 0.00117096018735363, 'cause': 0.00351288056206089, 'laughed': 0.00117096018735363, 'cried': 0.00117096018735363, 'lie': 0.00117096018735363, 'that': 0.00234192037470726, 'she': 0.00234192037470726, 'understand': 0.01288056206088993, 'seem': 0.00117096018735363, 'mad': 0.00117096018735363, 'niggafuck': 0.00117096018735363, 'nigga': 0.00117096018735363, 'first': 0.00234192037470726, 'cant': 0.00702576112412178, 'should': 0.00585480093676815, 'wouldnt': 0.00117096018735363, 'even': 0.00234192037470726, 'guys': 0.00117096018735363, 'ask': 0.00234192037470726, 'ever': 0.00234192037470726, 'swank': 0.00117096018735363, 'doin': 0.00234192037470726, 'sing': 0.00117096018735363, 'goin': 0.00117096018735363, 'put': 0.00351288056206089, 'right': 0.00117096018735363, 'out': 0.00234192037470726, 'scared': 0.00234192037470726, 'almost': 0.00117096018735363, 'ah': 0.00117096018735363, 'ooh': 0.00234192037470726, 'what': 0.00234192037470726, 'bout': 0.00234192037470726, 'could': 0.00819672131147541, 'used': 0.00117096018735363, 'gotta': 0.01053864168618267, 'hearing': 0.00117096018735363, 'mtv': 0.00117096018735363, 'ill': 0.00117096018735363, 'people': 0.00234192037470726, 'fake': 0.00117096018735363, 'spin': 0.00117096018735363, 'fly': 0.00117096018735363, 'sweeter': 0.00117096018735363, 'bogus': 0.00117096018735363, 'noticed': 0.00117096018735363, 'how': 0.00468384074941452, 'nervous': 0.00117096018735363, 'shoulda': 0.00117096018735363, 'feel': 0.01053864168618267, 'read': 0.00234192037470726, 'talked': 0.00117096018735363, 'payin': 0.00117096018735363, 'alone': 0.00117096018735363, 'oh': 0.00351288056206089, 'hear': 0.00585480093676815, 'lookin': 0.00117096018735363, 'skatin': 0.00117096018735363, 'not': 0.00234192037470726, 'smell': 0.00234192037470726, 'telling': 0.00117096018735363, 'some': 0.00117096018735363, 'hated': 0.00117096018735363, 'cancerous': 0.00117096018735363, 'lyin': 0.00117096018735363, 'suffer': 0.00117096018735363, 'back': 0.00234192037470726, 'this': 0.00117096018735363, 'followin': 0.00117096018735363, 'act': 0.00117096018735363, 'everything': 0.00351288056206089, 'would': 0.00351288056206089, 'toys': 0.00351288056206089, 'being': 0.00117096018735363, 'bathin': 0.00117096018735363, 'last': 0.00117096018735363, 'alrightyeah': 0.00117096018735363, 'lonely': 0.00117096018735363, 'finally': 0.00117096018735363, 'feels': 0.00117096018735363, 'down': 0.00468384074941452, 'such': 0.00117096018735363, 'serious': 0.00117096018735363, 'smoke': 0.00117096018735363, 'til': 0.00117096018735363, 'kind': 0.00117096018735363, 'fucked': 0.00117096018735363, 'hanging': 0.00117096018735363, 'knew': 0.00117096018735363, 'met': 0.00117096018735363, 'probably': 0.00234192037470726, 'after': 0.00117096018735363, 'whos': 0.00351288056206089, 'nobody': 0.00351288056206089, 'wants': 0.00234192037470726, 'mm': 0.00117096018735363, 'be': 0.00117096018735363, 'anxious': 0.00117096018735363, 'into': 0.00117096018735363, 'wasnt': 0.00117096018735363, 'talking': 0.00117096018735363, 'underground': 0.00117096018735363, 'misbehave': 0.00117096018735363, 'alive': 0.00117096018735363, 'up': 0.00936768149882904, 'drive': 0.00117096018735363, 'care': 0.00117096018735363, 'tight': 0.00234192037470726, 'leave': 0.00117096018735363, 'no': 0.00351288056206089, 'around': 0.00117096018735363, 'these': 0.00117096018735363, 'theres': 0.00117096018735363, 'crystal': 0.00117096018735363, 'on': 0.00117096018735363, 'ran': 0.00117096018735363, 'said': 0.00117096018735363, 'spread': 0.00117096018735363, 'broke': 0.00351288056206089, 'every': 0.00117096018735363, 'did': 0.00117096018735363, 'listen': 0.00117096018735363, 'keep': 0.00117096018735363, 'rented': 0.00351288056206089, 'making': 0.00117096018735363, 'waited': 0.00117096018735363, 'ive': 0.00117096018735363}"
want,"{'the': 0.054945054945054944, 'it': 0.13186813186813187, 'something': 0.01098901098901099, 'when': 0.02197802197802198, 'to': 0.15384615384615385, 'im': 0.01098901098901099, 'what': 0.01098901098901099, 'inside': 0.01098901098901099, 'a': 0.06593406593406594, 'let': 0.10989010989010989, 'us': 0.02197802197802198, 'some': 0.01098901098901099, 'i': 0.01098901098901099, 'them': 0.01098901098901099, 'lets': 0.01098901098901099, 'they': 0.01098901098901099, 'me': 0.054945054945054944, 'their': 0.01098901098901099, 'this': 0.02197802197802198, 'no': 0.01098901098901099, 'yall': 0.02197802197802198, 'you': 0.06593406593406594, 'somethin': 0.01098901098901099, 'those': 0.03296703296703297, 'keep': 0.06593406593406594, 'look': 0.01098901098901099, 'money': 0.01098901098901099, 'that': 0.01098901098901099, 'now': 0.01098901098901099}"
