Word,Frequency
every,"{'day': 0.18181818181818182, 'step': 0.12121212121212122, 'move': 0.13636363636363635, 'single': 0.19696969696969696, 'time': 0.09090909090909091, 'night': 0.09090909090909091, 'channel': 0.015151515151515152, 'rapper': 0.015151515151515152, 'plaid': 0.015151515151515152, 'motherfuckin': 0.015151515151515152, 'few': 0.015151515151515152, 'bump': 0.015151515151515152, 'car': 0.015151515151515152, 'week': 0.015151515151515152, 'tens': 0.015151515151515152, 'radio': 0.015151515151515152, 'weekend': 0.015151515151515152, 'other': 0.015151515151515152}"
day,"{'i': 0.03389830508474576, 'when': 0.1016949152542373, 'every': 0.15254237288135594, 'we': 0.06779661016949153, 'that': 0.03389830508474576, 'to': 0.01694915254237288, 'thats': 0.05084745762711865, 'thinkin': 0.01694915254237288, 'in': 0.03389830508474576, 'now': 0.01694915254237288, 'another': 0.05084745762711865, 'they': 0.03389830508474576, 'my': 0.03389830508474576, 'dont': 0.01694915254237288, 'one': 0.01694915254237288, 'money': 0.01694915254237288, 'and': 0.01694915254237288, 'of': 0.01694915254237288, 'moneymaking': 0.01694915254237288, 'the': 0.06779661016949153, 'pray': 0.01694915254237288, 'it': 0.0847457627118644, 'aye': 0.01694915254237288, 'bad': 0.01694915254237288, 'theres': 0.05084745762711865}"
i,"{'wake': 0.003352891869237217, 'hope': 0.002514668901927913, 'cant': 0.016764459346186086, 'feel': 0.008382229673093043, 'would': 0.00586756077116513, 'saw': 0.0016764459346186086, 'miss': 0.005029337803855826, 'see': 0.020117351215423303, 'laced': 0.0008382229673093043, 'know': 0.03436714165968147, 'take': 0.008382229673093043, 'make': 0.010896898575020955, 'pray': 0.008382229673093043, 'need': 0.08549874266554904, 'just': 0.022632020117351215, 'could': 0.014249790444258172, 'get': 0.009220452640402346, 'kick': 0.002514668901927913, 'perform': 0.0016764459346186086, 'clutch': 0.0016764459346186086, 'never': 0.006705783738474434, 'tell': 0.009220452640402346, 'play': 0.0016764459346186086, 'position': 0.0016764459346186086, 'had': 0.006705783738474434, 'understand': 0.0016764459346186086, 'believe': 0.005029337803855826, 'say': 0.002514668901927913, 'wanna': 0.020117351215423303, 'read': 0.0008382229673093043, 'can': 0.028499580888516344, 'learn': 0.0008382229673093043, 'got': 0.037720033528918694, 'stop': 0.0008382229673093043, 'love': 0.01592623637887678, 'want': 0.05113160100586756, 'really': 0.00586756077116513, 'dont': 0.04694048616932104, 'done': 0.005029337803855826, 'find': 0.0008382229673093043, 'been': 0.030176026823134954, 'made': 0.002514668901927913, 'think': 0.00586756077116513, 'wish': 0.019279128248113998, 'reminisce': 0.002514668901927913, 'use': 0.0008382229673093043, 'will': 0.00586756077116513, 'seen': 0.003352891869237217, 'be': 0.022632020117351215, 'blow': 0.0075440067057837385, 'kill': 0.0008382229673093043, 'look': 0.002514668901927913, 'run': 0.003352891869237217, 'aint': 0.028499580888516344, 'checked': 0.0008382229673093043, 'was': 0.028499580888516344, 'switch': 0.0008382229673093043, 'missed': 0.0016764459346186086, 'press': 0.0008382229673093043, 'do': 0.012573344509639563, 'like': 0.01173512154233026, 'belong': 0.0016764459346186086, 'hear': 0.003352891869237217, 'hate': 0.004191114836546521, 'always': 0.0008382229673093043, 'posed': 0.0008382229673093043, 'respond': 0.0008382229673093043, 'carry': 0.0008382229673093043, 'thought': 0.0016764459346186086, 'told': 0.010058675607711651, 'stand': 0.0016764459346186086, 'touch': 0.0016764459346186086, 'bruise': 0.0008382229673093043, 'move': 0.0016764459346186086, 'did': 0.0075440067057837385, 'steps': 0.0008382229673093043, 'spit': 0.002514668901927913, 'earn': 0.0008382229673093043, 'turn': 0.0016764459346186086, 'let': 0.002514668901927913, 'charter': 0.0008382229673093043, 'try': 0.0016764459346186086, 'travel': 0.0008382229673093043, 'saved': 0.0008382229673093043, 'zone': 0.0008382229673093043, 'keep': 0.004191114836546521, 'talk': 0.0016764459346186086, 'doubled': 0.0008382229673093043, 'hated': 0.0008382229673093043, 'loved': 0.0016764459346186086, 'die': 0.002514668901927913, 'fuck': 0.0008382229673093043, 'wont': 0.003352891869237217, 'couldnt': 0.006705783738474434, 'tried': 0.005029337803855826, 'wasnt': 0.0008382229673093043, 'am': 0.003352891869237217, 'wanted': 0.0016764459346186086, 'pop': 0.0008382229673093043, 'back': 0.0008382229673093043, 'represent': 0.002514668901927913, 'lay': 0.002514668901927913, 'won': 0.0016764459346186086, 'i': 0.005029337803855826, 'and': 0.003352891869237217, 'remake': 0.0008382229673093043, 'drive': 0.0008382229673093043, 'fold': 0.0008382229673093043, 'show': 0.0016764459346186086, 'flip': 0.0008382229673093043, 'stayed': 0.0008382229673093043, 'paid': 0.002514668901927913, 'walked': 0.002514668901927913, 'sip': 0.0008382229673093043, 'stole': 0.0008382229673093043, 'hold': 0.0016764459346186086, 'call': 0.003352891869237217, 'hustle': 0.0016764459346186086, 'linked': 0.0016764459346186086, 'said': 0.0075440067057837385, 'turnt': 0.0008382229673093043, 'live': 0.002514668901927913, 'traveled': 0.0008382229673093043, 'come': 0.0008382229673093043, 'care': 0.0008382229673093043, 'hit': 0.002514668901927913, 'guess': 0.002514668901927913, 'catch': 0.0008382229673093043, 'walk': 0.003352891869237217, 'go': 0.0016764459346186086, 'still': 0.002514668901927913, 'ease': 0.0008382229673093043, 'persist': 0.0008382229673093043, 'chose': 0.0008382229673093043, 'knew': 0.002514668901927913, 'didnt': 0.003352891869237217, 'promise': 0.0016764459346186086, 'treat': 0.002514668901927913, 'simply': 0.0008382229673093043, 'wonder': 0.002514668901927913, 'dedicate': 0.0008382229673093043, 'surrender': 0.0016764459346186086, 'needed': 0.0008382229673093043, 'fall': 0.0016764459346186086, 'forgive': 0.0008382229673093043, 'gotta': 0.0016764459346186086, 'found': 0.0008382229673093043, 'turned': 0.0008382229673093043, 'gets': 0.0008382229673093043, 'should': 0.0008382229673093043, 'wear': 0.0016764459346186086, 'put': 0.0008382229673093043, 'went': 0.0016764459346186086, 'leave': 0.0016764459346186086, 'wants': 0.0008382229673093043, 'only': 0.0008382229673093043, 'write': 0.0016764459346186086, 'survived': 0.0008382229673093043, 'push': 0.0008382229673093043, 'mc': 0.0008382229673093043, 'give': 0.002514668901927913, 'bring': 0.0008382229673093043, 'moving': 0.0008382229673093043, 'have': 0.010058675607711651, 'used': 0.003352891869237217, 'rock': 0.0016764459346186086, 'stay': 0.004191114836546521, 'opened': 0.0016764459346186086, 'hopped': 0.0008382229673093043, 'took': 0.0016764459346186086, 'feed': 0.0008382229673093043, 'roll': 0.003352891869237217, 'appear': 0.0008382229673093043, 'dropped': 0.0008382229673093043, 'copped': 0.0008382229673093043, 'lived': 0.0008382229673093043, 'sniffed': 0.0008382229673093043, 'utter': 0.0008382229673093043, 'school': 0.0008382229673093043, 'bang': 0.0008382229673093043, 'figured': 0.0008382229673093043, 'might': 0.0008382229673093043, 'mean': 0.004191114836546521, 'sound': 0.0016764459346186086, 'slide': 0.0008382229673093043, 'approach': 0.0008382229673093043, 'expose': 0.0008382229673093043, 'met': 0.002514668901927913, 'doubt': 0.0008382229673093043, 'break': 0.0008382229673093043, 'strike': 0.0008382229673093043, 'usually': 0.0008382229673093043, 'stepped': 0.0008382229673093043, 'bust': 0.0008382229673093043, 'desire': 0.0008382229673093043, 'ask': 0.0008382229673093043, 'must': 0.0008382229673093043, 'weigh': 0.0016764459346186086, 'cosigned': 0.0008382229673093043, 'grinded': 0.0008382229673093043, 'close': 0.0008382229673093043, 'cry': 0.0008382229673093043, 'ignore': 0.0008382229673093043, 'bore': 0.0008382229673093043, 'neglect': 0.0008382229673093043, 'refuse': 0.0008382229673093043, 'placed': 0.0008382229673093043, 'bailed': 0.0008382229673093043, 'proceeded': 0.0008382229673093043, 'asked': 0.0016764459346186086, 'holler': 0.0008382229673093043, 'heard': 0.0016764459346186086, 'finally': 0.0008382229673093043, 'aimed': 0.0008382229673093043, 'smacked': 0.0008382229673093043, 'spoke': 0.0008382229673093043, 'owe': 0.0008382229673093043, 'bought': 0.0008382229673093043, 'fiendin': 0.0008382229673093043, 'fear': 0.0008382229673093043, 'buy': 0.0016764459346186086, 'compose': 0.0008382229673093043, 'bubble': 0.0008382229673093043, 'came': 0.0008382229673093043, 'double': 0.0008382229673093043, 'kicked': 0.0008382229673093043, 'created': 0.0008382229673093043, 'almost': 0.0008382229673093043, 'recapture': 0.0008382229673093043, 'shit': 0.0008382229673093043, 'wouldnt': 0.0008382229673093043, 'that': 0.0008382229673093043, 'stagger': 0.0008382229673093043, 'shoulder': 0.0008382229673093043, 'expand': 0.0008382229673093043, 'thats': 0.0008382229673093043, 'sleep': 0.0008382229673093043, 'dream': 0.0008382229673093043, 'soak': 0.0008382229673093043, 'kicks': 0.0008382229673093043, 'ride': 0.0008382229673093043, 'don': 0.0008382229673093043, 'looked': 0.0008382229673093043, 'send': 0.0008382229673093043, 'speak': 0.0008382229673093043, 'picked': 0.0008382229673093043, 'crush': 0.0008382229673093043, 'drop': 0.0008382229673093043, 'drew': 0.0008382229673093043}"
wake,{'up': 1.0}
up,"{'i': 0.029166666666666667, 'its': 0.004166666666666667, 'the': 0.0625, 'a': 0.0375, 'in': 0.10833333333333334, 'our': 0.004166666666666667, 'yeah': 0.008333333333333333, 'facts': 0.004166666666666667, 'plaques': 0.004166666666666667, 'get': 0.008333333333333333, 'til': 0.004166666666666667, 'we': 0.0625, 'nobody': 0.004166666666666667, 'now': 0.020833333333333332, 'maybe': 0.004166666666666667, 'and': 0.058333333333333334, 'to': 0.016666666666666666, 'for': 0.004166666666666667, 'on': 0.008333333333333333, 'like': 0.0375, 'my': 0.025, 'baby': 0.008333333333333333, 'you': 0.020833333333333332, 'though': 0.004166666666666667, 'tell': 0.004166666666666667, 'gentlemen': 0.004166666666666667, 'youknowhatimsayin': 0.004166666666666667, 'mountains': 0.004166666666666667, 'with': 0.03333333333333333, 'hold': 0.14166666666666666, 'ayo': 0.004166666666666667, 'wiz': 0.004166666666666667, 'wait': 0.008333333333333333, 'sexing': 0.004166666666666667, 'me': 0.004166666666666667, 'pop': 0.004166666666666667, 'what': 0.004166666666666667, 'raised': 0.004166666666666667, 'young': 0.008333333333333333, 'running': 0.004166666666666667, 'getting': 0.004166666666666667, 'imma': 0.004166666666666667, 'dream': 0.004166666666666667, 'need': 0.004166666666666667, 'nigga': 0.008333333333333333, 'that': 0.004166666666666667, 'lil': 0.004166666666666667, 'turn': 0.016666666666666666, 'hey': 0.008333333333333333, 'pick': 0.004166666666666667, 'around': 0.004166666666666667, 'trapping': 0.004166666666666667, 'first': 0.004166666666666667, 'all': 0.008333333333333333, 'clean': 0.004166666666666667, 'outta': 0.004166666666666667, 'your': 0.008333333333333333, 'one': 0.004166666666666667, 'sell': 0.004166666666666667, 'out': 0.004166666666666667, 'lookin': 0.004166666666666667, 'hed': 0.004166666666666667, 'off': 0.004166666666666667, 'at': 0.008333333333333333, 'dead': 0.008333333333333333, 'cause': 0.004166666666666667, 'from': 0.008333333333333333, 'id': 0.004166666666666667, 'already': 0.004166666666666667, 'let': 0.008333333333333333, 'made': 0.004166666666666667, 'two': 0.004166666666666667, 'cant': 0.004166666666666667, 'but': 0.004166666666666667, '24': 0.004166666666666667, 'god': 0.004166666666666667, 'shiverin': 0.004166666666666667, 'picture': 0.004166666666666667, 'stop': 0.004166666666666667}"
hope,"{'im': 0.16666666666666666, 'i': 0.5, 'you': 0.3333333333333333}"
im,"{'dreamin': 0.0049261083743842365, 'two': 0.0049261083743842365, 'too': 0.0049261083743842365, 'in': 0.03694581280788178, 'quick': 0.0049261083743842365, 'the': 0.06403940886699508, 'into': 0.0024630541871921183, 'smooth': 0.0024630541871921183, 'not': 0.014778325123152709, 'internationally': 0.0024630541871921183, 'gettin': 0.0049261083743842365, 'glad': 0.0024630541871921183, 'at': 0.0024630541871921183, 'blowing': 0.017241379310344827, 'coming': 0.059113300492610835, 'back': 0.012315270935960592, 'feelin': 0.0024630541871921183, 'gone': 0.009852216748768473, 'through': 0.0024630541871921183, 'that': 0.009852216748768473, 'a': 0.054187192118226604, 'never': 0.0049261083743842365, 'like': 0.017241379310344827, 'record': 0.0024630541871921183, 'brooklyns': 0.0024630541871921183, 'clapping': 0.0024630541871921183, 'squirtin': 0.0024630541871921183, 'sitting': 0.019704433497536946, 'all': 0.0024630541871921183, 'yearning': 0.007389162561576354, 'so': 0.027093596059113302, 'waiting': 0.0049261083743842365, 'ready': 0.0049261083743842365, 'saying': 0.007389162561576354, 'always': 0.0024630541871921183, 'swimming': 0.0024630541871921183, 'ticklish': 0.0049261083743842365, 'young': 0.0024630541871921183, 'about': 0.007389162561576354, 'trevor': 0.0024630541871921183, 'watchin': 0.0049261083743842365, 'im': 0.0049261083743842365, 'gonna': 0.009852216748768473, 'big': 0.024630541871921183, 'winnin': 0.0024630541871921183, 'richard': 0.0024630541871921183, 'money': 0.0049261083743842365, 'from': 0.0049261083743842365, 'on': 0.014778325123152709, 'hustlin': 0.0049261083743842365, 'workin': 0.07389162561576355, '9': 0.0024630541871921183, 'working': 0.0024630541871921183, 'talking': 0.03694581280788178, 'going': 0.0024630541871921183, 'still': 0.007389162561576354, 'here': 0.034482758620689655, 'bout': 0.0049261083743842365, 'dead': 0.0024630541871921183, 'gon': 0.0049261083743842365, 'fucking': 0.0049261083743842365, 'just': 0.012315270935960592, 'calling': 0.0049261083743842365, 'falling': 0.0024630541871921183, 'me': 0.0024630541871921183, 'best': 0.0024630541871921183, 'next': 0.0024630541871921183, 'remembering': 0.0024630541871921183, 'feeling': 0.0049261083743842365, 'high': 0.0049261083743842365, 'cocky': 0.0024630541871921183, 'eight': 0.0024630541871921183, 'happy': 0.0024630541871921183, 'slidin': 0.0024630541871921183, 'smokin': 0.0024630541871921183, 'playin': 0.0024630541871921183, 'nine': 0.0024630541871921183, 'with': 0.009852216748768473, 'cold': 0.0049261083743842365, 'paid': 0.0024630541871921183, 'al': 0.0024630541871921183, 'wit': 0.0024630541871921183, 'only': 0.0024630541871921183, 'strictly': 0.0024630541871921183, 'iced': 0.0024630541871921183, 'off': 0.0024630541871921183, 'nothing': 0.0024630541871921183, 'trapped': 0.0024630541871921183, 'more': 0.0024630541871921183, 'standin': 0.009852216748768473, 'yearnin': 0.009852216748768473, 'burnin': 0.009852216748768473, 'willin': 0.0024630541871921183, 'bangin': 0.0024630541871921183, 'gutter': 0.0024630541871921183, 'your': 0.0024630541871921183, 'talkin': 0.007389162561576354, 'overrated': 0.0024630541871921183, 'tryna': 0.007389162561576354, 'covered': 0.0024630541871921183, 'proud': 0.0024630541871921183, 'hard': 0.0024630541871921183, 'trying': 0.0024630541871921183, 'sippin': 0.0024630541871921183, 'hopin': 0.007389162561576354, 'tryin': 0.009852216748768473, 'heavy': 0.0024630541871921183, 'demanding': 0.0024630541871921183, 'alexander': 0.0024630541871921183, 'insane': 0.0024630541871921183, 'lacking': 0.0049261083743842365, 'disgusted': 0.0024630541871921183, 'bouncing': 0.0024630541871921183, 'up': 0.0024630541871921183, 'destructive': 0.0024630541871921183, 'blessed': 0.0024630541871921183, 'caught': 0.0024630541871921183, 'swimmin': 0.0024630541871921183, 'assumin': 0.0024630541871921183, 'supposed': 0.0024630541871921183, 'probably': 0.0024630541871921183, 'floating': 0.0024630541871921183, 'making': 0.0024630541871921183, 'goin': 0.007389162561576354, 'sposed': 0.0049261083743842365, 'tired': 0.0024630541871921183, 'diddy': 0.0024630541871921183, 'doin': 0.0024630541871921183, 'departing': 0.0024630541871921183, 'chosen': 0.0024630541871921183, 'shining': 0.0024630541871921183, 'flying': 0.0024630541871921183, 'really': 0.0024630541871921183, 'hangin': 0.0024630541871921183, 'soaked': 0.0024630541871921183, 'also': 0.0024630541871921183, 'old': 0.0024630541871921183, 'sinkin': 0.009852216748768473, 'even': 0.0024630541871921183, 'leavin': 0.0024630541871921183, 'tellin': 0.0024630541871921183, 'missin': 0.0024630541871921183, 'surrounded': 0.0024630541871921183, 'reigning': 0.0024630541871921183, 'pressin': 0.0024630541871921183}"
dreamin,"{'i': 0.5, 'damn': 0.25, 'of': 0.25}"
cant,"{'believe': 0.05454545454545454, 'wait': 0.03636363636363636, 'express': 0.00909090909090909, 'imagine': 0.00909090909090909, 'define': 0.01818181818181818, 'stop': 0.1, 'love': 0.00909090909090909, 'try': 0.00909090909090909, 'make': 0.01818181818181818, 'touch': 0.02727272727272727, 'nobody': 0.09090909090909091, 'relate': 0.01818181818181818, 'get': 0.00909090909090909, 'live': 0.00909090909090909, 'read': 0.00909090909090909, 'be': 0.02727272727272727, 'you': 0.1, 'feel': 0.00909090909090909, 'stand': 0.03636363636363636, 'stay': 0.03636363636363636, 'lie': 0.00909090909090909, 'hide': 0.02727272727272727, 'name': 0.00909090909090909, 'play': 0.00909090909090909, 'impress': 0.00909090909090909, 'see': 0.00909090909090909, 'breathe': 0.00909090909090909, 'leave': 0.00909090909090909, 'escape': 0.00909090909090909, 'tame': 0.00909090909090909, 'have': 0.00909090909090909, 'eat': 0.00909090909090909, 'fall': 0.00909090909090909, 'click': 0.00909090909090909, 'avoid': 0.00909090909090909, 'let': 0.02727272727272727, 'forget': 0.00909090909090909, 'run': 0.01818181818181818, 'do': 0.00909090909090909, 'ride': 0.00909090909090909, 'complete': 0.00909090909090909, 'find': 0.00909090909090909, 'visit': 0.00909090909090909, 'take': 0.02727272727272727, 'function': 0.00909090909090909, 'give': 0.00909090909090909, 'handle': 0.00909090909090909, 'quit': 0.00909090909090909, 'taunt': 0.00909090909090909, 'launch': 0.00909090909090909, 'go': 0.00909090909090909, 'ball': 0.00909090909090909, 'look': 0.00909090909090909}"
believe,"{'this': 0.043478260869565216, 'you': 0.08695652173913043, 'my': 0.043478260869565216, 'youre': 0.08695652173913043, 'again': 0.043478260869565216, 'dream': 0.043478260869565216, 'in': 0.13043478260869565, 'i': 0.08695652173913043, 'when': 0.08695652173913043, 'someone': 0.043478260869565216, 'some': 0.043478260869565216, 'that': 0.08695652173913043, 'we': 0.043478260869565216, 'me': 0.043478260869565216, 'your': 0.043478260869565216, 'it': 0.043478260869565216}"
