Word,Frequency
and,"{'they': 0.018145161290322582, 'wishin': 0.03024193548387097, 'still': 0.008064516129032258, 'my': 0.02217741935483871, 'you': 0.07258064516129033, 'i': 0.14717741935483872, 'im': 0.038306451612903226, 'kill': 0.0020161290322580645, 'when': 0.006048387096774193, 'we': 0.034274193548387094, 'the': 0.03024193548387097, 'chillwhats': 0.0020161290322580645, 'that': 0.012096774193548387, 'smoke': 0.0020161290322580645, 'rap': 0.0020161290322580645, 'goin': 0.0020161290322580645, 'me': 0.0020161290322580645, 'guidance': 0.0020161290322580645, 'thats': 0.020161290322580645, 'she': 0.012096774193548387, 'wine': 0.010080645161290322, 'cause': 0.004032258064516129, 'emotion': 0.008064516129032258, 'dont': 0.0020161290322580645, 'backpacks': 0.0020161290322580645, 'chubby': 0.0020161290322580645, 'tj': 0.0020161290322580645, 'winnie': 0.0020161290322580645, 'woah': 0.0020161290322580645, 'women': 0.0020161290322580645, 'if': 0.012096774193548387, 'very': 0.0020161290322580645, 'fuck': 0.016129032258064516, 'shoutout': 0.0020161290322580645, 'who': 0.004032258064516129, 'gwanin': 0.0020161290322580645, 'its': 0.02217741935483871, 'to': 0.0020161290322580645, 'shit': 0.004032258064516129, 'day': 0.0020161290322580645, 'more': 0.004032258064516129, 'influence': 0.0020161290322580645, 'time': 0.0020161290322580645, 'our': 0.0020161290322580645, 'her': 0.0020161290322580645, 'alone': 0.0020161290322580645, 'disappear': 0.0020161290322580645, 'now': 0.008064516129032258, 'do': 0.010080645161290322, 'theyre': 0.0020161290322580645, 'provin': 0.0020161290322580645, 'noel': 0.0020161290322580645, 'mally': 0.0020161290322580645, 'chubbs': 0.0020161290322580645, 'mr': 0.0020161290322580645, 'rock': 0.0020161290322580645, 'did': 0.004032258064516129, 'gone': 0.0020161290322580645, 'vino': 0.0020161290322580645, 'niggas': 0.0020161290322580645, 'learn': 0.0020161290322580645, 'not': 0.010080645161290322, 'pessimistic': 0.0020161290322580645, 'less': 0.0020161290322580645, 'understand': 0.0020161290322580645, 'got': 0.0020161290322580645, 'go': 0.010080645161290322, 'say': 0.010080645161290322, 'since': 0.004032258064516129, 'ill': 0.010080645161290322, 'sitting': 0.0020161290322580645, 'hotels': 0.0020161290322580645, 'told': 0.008064516129032258, 'enemies': 0.0020161290322580645, 'started': 0.0020161290322580645, 'ask': 0.0020161290322580645, 'so': 0.0020161290322580645, 'gunshot': 0.0020161290322580645, 'pray': 0.008064516129032258, 'show': 0.004032258064516129, 'get': 0.018145161290322582, 'tried': 0.0020161290322580645, 'put': 0.0020161290322580645, 'tired': 0.0020161290322580645, 'look': 0.006048387096774193, 'last': 0.004032258064516129, 'yuh': 0.004032258064516129, 'in': 0.006048387096774193, 'iconic': 0.0020161290322580645, 'commitment': 0.0020161290322580645, 'no': 0.0020161290322580645, 'makeup': 0.0020161290322580645, 'knife': 0.0020161290322580645, 'build': 0.0020161290322580645, 'record': 0.0020161290322580645, 'win': 0.0020161290322580645, 'then': 0.008064516129032258, 'hate': 0.0020161290322580645, 'this': 0.014112903225806451, 'everything': 0.004032258064516129, 'shout': 0.0020161290322580645, 'whoever': 0.0020161290322580645, 'ended': 0.0020161290322580645, 'be': 0.0020161290322580645, 'shoot': 0.0020161290322580645, 'forth': 0.0020161290322580645, 'yall': 0.0020161290322580645, 'give': 0.0020161290322580645, 'buy': 0.0020161290322580645, 'light': 0.0020161290322580645, 'eat': 0.0020161290322580645, 'dangerous': 0.0020161290322580645, 'shawty': 0.0020161290322580645, 'startin': 0.0020161290322580645, 'burn': 0.0020161290322580645, 'like': 0.0020161290322580645, 'theres': 0.004032258064516129, 'all': 0.008064516129032258, 'youre': 0.0020161290322580645, 'listen': 0.0020161290322580645, 'taint': 0.0020161290322580645, 'heaven': 0.0020161290322580645, 'ran': 0.0020161290322580645, 'went': 0.0020161290322580645, 'man': 0.0020161290322580645, 'a': 0.006048387096774193, 'just': 0.0020161290322580645, 'drake': 0.0020161290322580645, 'digest': 0.0020161290322580645, 'strength': 0.0020161290322580645, 'come': 0.0020161290322580645, 'were': 0.0020161290322580645, 'weed': 0.0020161290322580645, 'on': 0.0020161290322580645, 'forgot': 0.0020161290322580645, 'stopped': 0.0020161290322580645, 'out': 0.0020161290322580645, 'well': 0.004032258064516129, 'drizzy': 0.0020161290322580645, 'make': 0.006048387096774193, 'play': 0.0020161290322580645, 'struggle': 0.0020161290322580645, 'it': 0.004032258064516129, 'ties': 0.0020161290322580645, 'next': 0.0020161290322580645, 'own': 0.004032258064516129, 'gettin': 0.0020161290322580645, 'settle': 0.0020161290322580645, 'collect': 0.0020161290322580645, 'never': 0.0020161290322580645, 'shes': 0.0020161290322580645, 'really': 0.0020161290322580645, 'made': 0.0020161290322580645, 'even': 0.004032258064516129, 'youd': 0.004032258064516129, 'how': 0.004032258064516129, 'nowadays': 0.004032258064516129, 'fuckin': 0.0020161290322580645, 'your': 0.006048387096774193, 'try': 0.0020161290322580645, 'neeks': 0.0020161290322580645, 'almost': 0.0020161290322580645, 'child': 0.0020161290322580645, 'loan': 0.0020161290322580645, 'tho': 0.0020161290322580645, 'frame': 0.0020161290322580645, 'currency': 0.0020161290322580645, 'stuff': 0.0020161290322580645, 'ive': 0.006048387096774193, 'those': 0.0020161290322580645, 'youve': 0.0020161290322580645, 'nothing': 0.0020161290322580645, 'is': 0.0020161290322580645, 'gibbo': 0.0020161290322580645, 'outback': 0.0020161290322580645, 'chef': 0.0020161290322580645, 'seein': 0.0020161290322580645}"
they,"{'wishin': 0.04417670682730924, 'gon': 0.024096385542168676, 'try': 0.004016064257028112, 'gotta': 0.004016064257028112, 'runnin': 0.004016064257028112, 'dont': 0.08835341365461848, 'take': 0.004016064257028112, 'too': 0.004016064257028112, 'so': 0.004016064257028112, 'wanna': 0.040160642570281124, 'know': 0.17670682730923695, 'just': 0.020080321285140562, 'better': 0.004016064257028112, 'want': 0.024096385542168676, 'aint': 0.020080321285140562, 'chests': 0.004016064257028112, 'look': 0.028112449799196786, 'smile': 0.008032128514056224, 'be': 0.004016064257028112, 'turf': 0.004016064257028112, 'like': 0.008032128514056224, 'love': 0.008032128514056224, 'need': 0.012048192771084338, 'call': 0.004016064257028112, 'say': 0.024096385542168676, 'tell': 0.008032128514056224, 'knew': 0.004016064257028112, 'had': 0.004016064257028112, 'think': 0.004016064257028112, 'should': 0.008032128514056224, 'went': 0.004016064257028112, 'treated': 0.004016064257028112, 'clown': 0.004016064257028112, 'shoulda': 0.004016064257028112, 'still': 0.004016064257028112, 'were': 0.004016064257028112, 'all': 0.01606425702811245, 'did': 0.004016064257028112, 'go': 0.008032128514056224, 'mad': 0.004016064257028112, 'keep': 0.020080321285140562, 'tryna': 0.01606425702811245, 'can': 0.01606425702811245, 'timeline': 0.004016064257028112, 'friends': 0.004016064257028112, 'virgins': 0.004016064257028112, 'face': 0.004016064257028112, 'got': 0.024096385542168676, 'catch': 0.004016064257028112, 'talkin': 0.008032128514056224, 'cant': 0.012048192771084338, 'tax': 0.004016064257028112, 'was': 0.004016064257028112, 'chose': 0.004016064257028112, 'used': 0.012048192771084338, 'bulletproof': 0.004016064257028112, 'round': 0.004016064257028112, 'a': 0.004016064257028112, 'throw': 0.004016064257028112, 'been': 0.012048192771084338, 'get': 0.008032128514056224, 'end': 0.004016064257028112, 'didnt': 0.004016064257028112, 'appear': 0.004016064257028112, 'only': 0.004016064257028112, 'scared': 0.004016064257028112, 'shook': 0.004016064257028112, 'see': 0.004016064257028112, 'might': 0.004016064257028112, 'bit': 0.004016064257028112, 'pree': 0.008032128514056224, 'belong': 0.004016064257028112, 'throwin': 0.008032128514056224, 'sayin': 0.004016064257028112, 'miss': 0.004016064257028112, 'would': 0.004016064257028112, 'loving': 0.060240963855421686, 'faces': 0.004016064257028112, 'cut': 0.004016064257028112, 'said': 0.004016064257028112, 'check': 0.004016064257028112, 'heard': 0.004016064257028112, 'learn': 0.004016064257028112, 'told': 0.004016064257028112, 'wont': 0.004016064257028112, 'ask': 0.004016064257028112, 'sold': 0.004016064257028112}"
wishin,"{'and': 0.5769230769230769, 'they': 0.19230769230769232, 'on': 0.23076923076923078}"
on,"{'me': 0.08614232209737828, 'southside': 0.00749063670411985, 'my': 0.17228464419475656, 'your': 0.026217228464419477, 'the': 0.2546816479400749, 'you': 0.011235955056179775, 'were': 0.033707865168539325, 'oh': 0.003745318352059925, 'purpose': 0.003745318352059925, 'to': 0.00749063670411985, 'a': 0.06367041198501873, 'pinky': 0.003745318352059925, 'some': 0.0149812734082397, 'this': 0.018726591760299626, 'glee': 0.003745318352059925, 'that': 0.033707865168539325, 'then': 0.003745318352059925, 'peachtree': 0.003745318352059925, 'commitment': 0.003745318352059925, 'they': 0.003745318352059925, 'tv': 0.003745318352059925, 'peoples': 0.003745318352059925, 'these': 0.0149812734082397, '25': 0.003745318352059925, 'how': 0.003745318352059925, 'im': 0.003745318352059925, 'i': 0.018726591760299626, 'well': 0.00749063670411985, 'hold': 0.00749063670411985, 'havent': 0.003745318352059925, 'fuck': 0.003745318352059925, 'ill': 0.003745318352059925, 'mileage': 0.003745318352059925, 'flights': 0.003745318352059925, 'though': 0.003745318352059925, 'in': 0.003745318352059925, 'morningside': 0.003745318352059925, 'rocafella': 0.003745318352059925, 'tour': 0.0149812734082397, 'head': 0.003745318352059925, 'them': 0.00749063670411985, 'his': 0.011235955056179775, 'fire': 0.00749063670411985, 'what': 0.003745318352059925, 'anything': 0.003745318352059925, 'it': 0.00749063670411985, 'for': 0.003745318352059925, 'its': 0.003745318352059925, 'til': 0.0149812734082397, 'compliments': 0.003745318352059925, 'confidence': 0.003745318352059925, 'dying': 0.003745318352059925, 'shootin': 0.003745318352059925, 'em': 0.003745318352059925, 'all': 0.00749063670411985, 'ten': 0.00749063670411985, 'bullshit': 0.003745318352059925, 'hes': 0.003745318352059925, 'at': 0.003745318352059925, 'yeah': 0.003745318352059925, 'their': 0.003745318352059925, 'shots': 0.003745318352059925}"
me,"{'yeah': 0.014519056261343012, 'tryna': 0.0018148820326678765, 'dont': 0.003629764065335753, 'you': 0.038112522686025406, 'i': 0.08892921960072596, 'yes': 0.0018148820326678765, 'hope': 0.0018148820326678765, 'they': 0.018148820326678767, 'gods': 0.0018148820326678765, 'bad': 0.0018148820326678765, '81': 0.0018148820326678765, 'turn': 0.0018148820326678765, 'magine': 0.0018148820326678765, 'since': 0.003629764065335753, 'in': 0.010889292196007259, 'are': 0.010889292196007259, 'cause': 0.018148820326678767, 'is': 0.003629764065335753, 'before': 0.0018148820326678765, 'see': 0.0054446460980036296, 'on': 0.029038112522686024, 'down': 0.003629764065335753, 'stressed': 0.0018148820326678765, 'we': 0.003629764065335753, 'feel': 0.007259528130671506, 'baby': 0.010889292196007259, 'soon': 0.0018148820326678765, 'got': 0.0018148820326678765, 'long': 0.0018148820326678765, 'at': 0.0054446460980036296, 'thats': 0.007259528130671506, 'back': 0.0054446460980036296, 'step': 0.0018148820326678765, 'buy': 0.0018148820326678765, 'go': 0.0018148820326678765, 'going': 0.003629764065335753, 'every': 0.0018148820326678765, 'please': 0.0054446460980036296, 'im': 0.016333938294010888, 'for': 0.023593466424682397, 'stay': 0.010889292196007259, 'all': 0.012704174228675136, '2': 0.0018148820326678765, 'switch': 0.0018148820326678765, 'no': 0.007259528130671506, 'ho': 0.0018148820326678765, 'and': 0.039927404718693285, 'oh': 0.007259528130671506, 'like': 0.016333938294010888, 'straight': 0.010889292196007259, 'just': 0.003629764065335753, 'enough': 0.007259528130671506, 'these': 0.0018148820326678765, 'with': 0.009074410163339383, 'how': 0.0054446460980036296, 'to': 0.019963702359346643, 'now': 0.014519056261343012, 'richer': 0.0018148820326678765, 'kill': 0.0018148820326678765, 'what': 0.003629764065335753, 'he': 0.003629764065335753, 'that': 0.007259528130671506, 'unconditional': 0.0018148820326678765, 'there': 0.018148820326678767, 'droppin': 0.0018148820326678765, 'catch': 0.0054446460980036296, 'franny': 0.0018148820326678765, 'frikkifrikkifrik': 0.0054446460980036296, 'cream': 0.003629764065335753, 'my': 0.009074410163339383, 'dog': 0.003629764065335753, 'if': 0.007259528130671506, 'out': 0.0054446460980036296, 'always': 0.0018148820326678765, 'give': 0.025408348457350273, 'have': 0.0054446460980036296, 'uh': 0.0018148820326678765, 'too': 0.0018148820326678765, 'paid': 0.0018148820326678765, 'youre': 0.0018148820326678765, 'the': 0.010889292196007259, 'she': 0.0054446460980036296, 'asking': 0.0018148820326678765, 'care': 0.010889292196007259, 'said': 0.009074410163339383, 'lil': 0.0018148820326678765, 'cry': 0.016333938294010888, 'murda': 0.0018148820326678765, 'why': 0.010889292196007259, 'a': 0.007259528130671506, 'everybody': 0.0018148820326678765, 'gotta': 0.0054446460980036296, 'its': 0.003629764065335753, 'hold': 0.0018148820326678765, 'of': 0.007259528130671506, 'over': 0.0018148820326678765, 'about': 0.003629764065335753, 'pictures': 0.0018148820326678765, 'well': 0.0054446460980036296, 'then': 0.003629764065335753, 'say': 0.0018148820326678765, 'everywhere': 0.0018148820326678765, 'real': 0.009074410163339383, 'things': 0.003629764065335753, 'it': 0.0018148820326678765, 'differently': 0.0018148820326678765, 'work': 0.0018148820326678765, 'free': 0.0018148820326678765, 'more': 0.003629764065335753, 'stop': 0.0018148820326678765, 'this': 0.0054446460980036296, 'your': 0.003629764065335753, 'rappin': 0.0018148820326678765, 'slippin': 0.0018148820326678765, 'listen': 0.0018148820326678765, 'girl': 0.009074410163339383, 'nervous': 0.0018148820326678765, 'anxious': 0.0018148820326678765, 'only': 0.0054446460980036296, 'paint': 0.0018148820326678765, 'take': 0.003629764065335753, 'break': 0.0018148820326678765, 'bitch': 0.0018148820326678765, 'who': 0.003629764065335753, 'nigga': 0.003629764065335753, 'man': 0.0018148820326678765, 'run': 0.0018148820326678765, 'theyll': 0.0018148820326678765, 'come': 0.0018148820326678765, 'hate': 0.0018148820326678765, 'showtime': 0.0018148820326678765, 'but': 0.0054446460980036296, 'saying': 0.0018148820326678765, 'think': 0.0054446460980036296, 'get': 0.0018148820326678765, 'make': 0.0018148820326678765, 'away': 0.003629764065335753, 'way': 0.003629764065335753, 'feeling': 0.0018148820326678765, 'somethins': 0.0018148820326678765, 'when': 0.009074410163339383, 'cant': 0.0018148820326678765, 'ohohohoh': 0.007259528130671506, 'uhhuh': 0.007259528130671506, 'ok': 0.0018148820326678765, 'spanish': 0.0018148820326678765, 'one': 0.0018148820326678765, 'resents': 0.0018148820326678765, 'up': 0.003629764065335753, 'find': 0.0054446460980036296, 'smiling': 0.003629764065335753, 'talk': 0.0018148820326678765, 'apart': 0.0018148820326678765, 'gone': 0.0054446460980036296, 'right': 0.0018148820326678765, 'lolol': 0.0018148820326678765, 'fore': 0.0018148820326678765, 'or': 0.009074410163339383, 'pick': 0.0018148820326678765, 'myself': 0.0018148820326678765, 'wanna': 0.0018148820326678765, 'never': 0.0018148820326678765, 'should': 0.0018148820326678765, 'told': 0.0018148820326678765, 'start': 0.0018148820326678765, 'mentally': 0.0018148820326678765, 'j': 0.0018148820326678765, 'places': 0.0018148820326678765, 'hand': 0.0018148820326678765, 'smilin': 0.0018148820326678765, 'home': 0.0018148820326678765, 'whatever': 0.0018148820326678765, 'last': 0.0018148820326678765, 'theres': 0.0018148820326678765, 'ill': 0.0018148820326678765, 'heres': 0.0054446460980036296, 'where': 0.0018148820326678765, 'pay': 0.0018148820326678765}"
yeah,"{'i': 0.10569105691056911, 'wait': 0.012195121951219513, 'ayy': 0.0040650406504065045, 'and': 0.032520325203252036, 'yeah': 0.12195121951219512, 'bad': 0.0040650406504065045, 'trap': 0.0040650406504065045, 'kiki': 0.0040650406504065045, 'he': 0.0040650406504065045, 'guess': 0.0040650406504065045, 'you': 0.044715447154471545, 'very': 0.012195121951219513, 'this': 0.052845528455284556, 'runnin': 0.0040650406504065045, 'but': 0.008130081300813009, 'trigger': 0.0040650406504065045, 'going': 0.0040650406504065045, 'im': 0.04065040650406504, 'they': 0.02032520325203252, 'no': 0.008130081300813009, 'thats': 0.008130081300813009, 'straight': 0.0040650406504065045, 'the': 0.008130081300813009, 'really': 0.0040650406504065045, 'been': 0.0040650406504065045, 'uh': 0.012195121951219513, 'we': 0.02032520325203252, 'all': 0.008130081300813009, 'hell': 0.04878048780487805, 'fuckin': 0.024390243902439025, 'ohyeah': 0.0040650406504065045, 'cry': 0.008130081300813009, 'care': 0.0040650406504065045, 'these': 0.012195121951219513, 'tension': 0.0040650406504065045, 'way': 0.0040650406504065045, 'look': 0.008130081300813009, 'run': 0.0040650406504065045, 'bounce': 0.016260162601626018, 'rode': 0.0040650406504065045, 'oh': 0.008130081300813009, 'looki': 0.0040650406504065045, 'its': 0.04065040650406504, 'dont': 0.008130081300813009, 'back': 0.0040650406504065045, 'so': 0.0040650406504065045, 'stuck': 0.008130081300813009, 'girl': 0.008130081300813009, 'always': 0.0040650406504065045, 'made': 0.008130081300813009, 'man': 0.0040650406504065045, 'may': 0.0040650406504065045, 'when': 0.0040650406504065045, 'love': 0.0040650406504065045, 'she': 0.0040650406504065045, 'shit': 0.008130081300813009, 'my': 0.0040650406504065045, 'gettin': 0.0040650406504065045, 'off': 0.0040650406504065045, 'ocean': 0.0040650406504065045, 'in': 0.008130081300813009, 'out': 0.0040650406504065045, 'like': 0.016260162601626018, 'okay': 0.0040650406504065045, 'gyal': 0.0040650406504065045, 'october': 0.0040650406504065045, 'met': 0.0040650406504065045, 'hows': 0.0040650406504065045, 'what': 0.0040650406504065045, 'remember': 0.0040650406504065045, 'that': 0.008130081300813009, 'least': 0.0040650406504065045, 'want': 0.0040650406504065045, 'dedicate': 0.0040650406504065045, 'theres': 0.0040650406504065045, 'take': 0.0040650406504065045, 'smoking': 0.0040650406504065045, 'paranoid': 0.0040650406504065045, 'just': 0.0040650406504065045, 'stylin': 0.0040650406504065045, 'used': 0.0040650406504065045, 'ducked': 0.0040650406504065045, 'slightly': 0.0040650406504065045, 'fam': 0.0040650406504065045, 'then': 0.0040650406504065045, 'looking': 0.0040650406504065045, 'shell': 0.0040650406504065045, 'is': 0.0040650406504065045, 'ye': 0.0040650406504065045, 'house': 0.0040650406504065045, 'yall': 0.0040650406504065045, 'how': 0.0040650406504065045}"
i,"{'been': 0.004500450045004501, 'like': 0.013501350135013501, 'dont': 0.0576057605760576, 'see': 0.0072007200720072, 'got': 0.07290729072907291, 'hold': 0.0027002700270027003, 'wont': 0.008100810081008101, 'feel': 0.0072007200720072, 'finessed': 0.0009000900090009, 'go': 0.012601260126012601, 'make': 0.0027002700270027003, 'tell': 0.0018001800180018, 'only': 0.0036003600360036, 'even': 0.0036003600360036, 'never': 0.011701170117011701, 'cant': 0.027002700270027002, 'want': 0.020702070207020702, 'need': 0.032403240324032405, 'swear': 0.0063006300630063005, 'thought': 0.0036003600360036, 'buy': 0.0009000900090009, 'know': 0.063006300630063, 'show': 0.0018001800180018, 'skate': 0.0009000900090009, 'love': 0.0144014401440144, 'left': 0.004500450045004501, 'did': 0.0054005400540054005, 'do': 0.009000900090009001, 'taught': 0.0009000900090009, 'pray': 0.0027002700270027003, 'had': 0.012601260126012601, 'loved': 0.0018001800180018, 'think': 0.019801980198019802, 'swerve': 0.0009000900090009, 'aint': 0.012601260126012601, 'guess': 0.0279027902790279, 'was': 0.0297029702970297, 'might': 0.0063006300630063005, 'ride': 0.0009000900090009, 'stay': 0.0027002700270027003, 'learned': 0.0036003600360036, 'look': 0.0027002700270027003, 'gave': 0.008100810081008101, 'wanna': 0.013501350135013501, 'waited': 0.0009000900090009, 'drove': 0.0018001800180018, 'gotta': 0.009000900090009001, 'mean': 0.0054005400540054005, 'didnt': 0.0063006300630063005, 'can': 0.0153015301530153, 'took': 0.0036003600360036, 'cannot': 0.0054005400540054005, 'really': 0.0036003600360036, 'forgot': 0.0027002700270027003, 'came': 0.009000900090009001, 'hear': 0.004500450045004501, 'said': 0.008100810081008101, 'touched': 0.0009000900090009, 'heard': 0.004500450045004501, 'get': 0.0063006300630063005, 'listen': 0.0009000900090009, 'just': 0.0369036903690369, 'learn': 0.0009000900090009, 'still': 0.0144014401440144, 'paint': 0.0009000900090009, 'plead': 0.0009000900090009, 'am': 0.009000900090009001, 'done': 0.0036003600360036, 'let': 0.0027002700270027003, 'reach': 0.0009000900090009, 'caught': 0.0009000900090009, 'needed': 0.0036003600360036, 'hate': 0.004500450045004501, 'could': 0.0153015301530153, 'search': 0.0009000900090009, 'looking': 0.0018001800180018, 'played': 0.0009000900090009, 'discovered': 0.0009000900090009, 'felt': 0.0009000900090009, 'fucked': 0.0009000900090009, 'lay': 0.0009000900090009, 'should': 0.013501350135013501, 'be': 0.0054005400540054005, 'run': 0.0018001800180018, 'lost': 0.0027002700270027003, 'keep': 0.0054005400540054005, 'havent': 0.0009000900090009, 'swam': 0.0009000900090009, 'tongue': 0.0009000900090009, 'speak': 0.0009000900090009, 'told': 0.0036003600360036, 'would': 0.004500450045004501, 'text': 0.0027002700270027003, 'shouldnt': 0.0009000900090009, 'became': 0.0009000900090009, 'doubt': 0.0009000900090009, 'wear': 0.0009000900090009, 'went': 0.004500450045004501, 'say': 0.008100810081008101, 'sponsor': 0.0009000900090009, 'hope': 0.008100810081008101, 'blew': 0.0009000900090009, 'made': 0.008100810081008101, 'will': 0.004500450045004501, 'flew': 0.0009000900090009, 'wish': 0.0027002700270027003, 'explain': 0.0009000900090009, 'understand': 0.0018001800180018, 'give': 0.0054005400540054005, 'bought': 0.0054005400540054005, 'already': 0.0036003600360036, 'knew': 0.0018001800180018, 'found': 0.0018001800180018, 'mention': 0.0009000900090009, 'put': 0.0027002700270027003, 'im': 0.0009000900090009, 'always': 0.0018001800180018, 'break': 0.0009000900090009, 'believed': 0.0009000900090009, 'belong': 0.0009000900090009, 'seen': 0.0018001800180018, 'remember': 0.0027002700270027003, 'treat': 0.0009000900090009, 'take': 0.0018001800180018, 'used': 0.004500450045004501, 'call': 0.0018001800180018, 'supposed': 0.0009000900090009, 'ask': 0.0036003600360036, 'killed': 0.0009000900090009, 'met': 0.0018001800180018, 'finished': 0.0009000900090009, 'come': 0.004500450045004501, 'net': 0.0009000900090009, 'reside': 0.0009000900090009, 'imported': 0.0009000900090009, 'expect': 0.0009000900090009, 'coulda': 0.0009000900090009, 'blame': 0.0018001800180018, 'hit': 0.0036003600360036, 'about': 0.0009000900090009, 'keeping': 0.0009000900090009, 'turned': 0.0009000900090009, 'send': 0.0009000900090009, 'missed': 0.0009000900090009, 'leave': 0.0036003600360036, 'deleted': 0.0009000900090009, 'shouldve': 0.0009000900090009, 'stop': 0.0009000900090009, 'miss': 0.0018001800180018, 'deserve': 0.0009000900090009, 'pull': 0.0027002700270027003, 'die': 0.009000900090009001, 'i': 0.008100810081008101, 'move': 0.0009000900090009, 'prayed': 0.0009000900090009, 'hardly': 0.0018001800180018, 'started': 0.0009000900090009, 'invented': 0.0009000900090009, 'spent': 0.0009000900090009, 'mix': 0.0009000900090009, 'stress': 0.0009000900090009, 'thank': 0.0018001800180018, 'wait': 0.0009000900090009, 'switch': 0.0018001800180018, 'outgrew': 0.0009000900090009, 'group': 0.0009000900090009, 'gots': 0.0036003600360036, 'fell': 0.0009000900090009, 'exaggerated': 0.0009000900090009, 'apologize': 0.0018001800180018, 'live': 0.0009000900090009, 'adore': 0.0009000900090009, 'stand': 0.0009000900090009, 'spend': 0.0009000900090009, 'ever': 0.0018001800180018, 'dedicate': 0.024302430243024302, 'cut': 0.0009000900090009, 'figure': 0.0009000900090009, 'switched': 0.0018001800180018, 'find': 0.0009000900090009, 'wasnt': 0.0009000900090009, 'sit': 0.0009000900090009, 'lecture': 0.0009000900090009, 'wouldnt': 0.0009000900090009, 'finally': 0.0009000900090009, 'pinch': 0.0018001800180018, 'viewed': 0.0009000900090009, 'lose': 0.0009000900090009, 'end': 0.0009000900090009, 'open': 0.0009000900090009, 'close': 0.0009000900090009, 'have': 0.0009000900090009, 'touch': 0.0009000900090009, 'write': 0.0009000900090009, 'settle': 0.0009000900090009, 'couldnt': 0.0009000900090009, 'saw': 0.0009000900090009, 'post': 0.0018001800180018, 'start': 0.0009000900090009, 'wake': 0.0009000900090009, 'drunk': 0.0009000900090009, 'fall': 0.0009000900090009, 'brought': 0.0009000900090009}"
been,"{'movin': 0.010638297872340425, 'me': 0.02127659574468085, 'goin': 0.010638297872340425, 'learnin': 0.010638297872340425, 'where': 0.02127659574468085, 'puttin': 0.010638297872340425, 'through': 0.0851063829787234, 'taught': 0.010638297872340425, 'stressed': 0.02127659574468085, 'down': 0.07446808510638298, 'the': 0.010638297872340425, 'a': 0.02127659574468085, 'caught': 0.010638297872340425, 'dealing': 0.010638297872340425, 'talking': 0.010638297872340425, 'feeling': 0.010638297872340425, 'baka': 0.010638297872340425, 'have': 0.010638297872340425, 'louder': 0.010638297872340425, 'steph': 0.010638297872340425, 'cookin': 0.010638297872340425, 'ready': 0.05319148936170213, 'at': 0.02127659574468085, 'on': 0.010638297872340425, 'in': 0.02127659574468085, 'drinkin': 0.06382978723404255, 'here': 0.031914893617021274, 'given': 0.010638297872340425, 'talkin': 0.010638297872340425, 'inside': 0.010638297872340425, 'peepin': 0.010638297872340425, 'plottin': 0.0425531914893617, 'missin': 0.010638297872340425, 'that': 0.010638297872340425, 'playing': 0.010638297872340425, 'lyin': 0.010638297872340425, 'years': 0.010638297872340425, 'workin': 0.010638297872340425, 'avoiding': 0.010638297872340425, 'saying': 0.010638297872340425, 'bigger': 0.010638297872340425, 'daddys': 0.010638297872340425, 'yeah': 0.010638297872340425, 'stackin': 0.010638297872340425, 'round': 0.010638297872340425, 'crying': 0.010638297872340425, 'off': 0.010638297872340425, 'tryin': 0.010638297872340425, 'searchin': 0.02127659574468085, 'missing': 0.02127659574468085, 'one': 0.010638297872340425, 'silent': 0.010638297872340425, 'poppin': 0.010638297872340425, 'cause': 0.010638297872340425, 'all': 0.010638297872340425, 'awake': 0.010638297872340425, 'hurt': 0.02127659574468085, 'moving': 0.010638297872340425}"
movin,"{'calm': 0.25, 'forward': 0.25, 'at': 0.25, 'quiet': 0.25}"
calm,"{'dont': 0.3333333333333333, 'down': 0.3333333333333333, 'me': 0.3333333333333333}"
