Word,Frequency
call,"{'it': 0.22727272727272727, 'the': 0.045454545454545456, 'up': 0.09090909090909091, 'that': 0.09090909090909091, 'you': 0.045454545454545456, 'for': 0.045454545454545456, 'upon': 0.045454545454545456, 'her': 0.09090909090909091, 'em': 0.045454545454545456, 'somebody': 0.045454545454545456, 'hustle': 0.09090909090909091, 'me': 0.09090909090909091, 'michael': 0.045454545454545456}"
it,"{'how': 0.006535947712418301, 'is': 0.015250544662309368, 'yo': 0.004357298474945534, 'never': 0.006535947712418301, 'mask': 0.0392156862745098, 'ye': 0.008714596949891068, 'on': 0.02178649237472767, 'was': 0.04793028322440087, 'up': 0.11328976034858387, 'woo': 0.002178649237472767, 'we': 0.0196078431372549, 'then': 0.006535947712418301, 'and': 0.013071895424836602, 'real': 0.013071895424836602, 'swear': 0.008714596949891068, 'cool': 0.008714596949891068, 'shoot': 0.008714596949891068, 'pluto': 0.002178649237472767, 'so': 0.004357298474945534, 'post': 0.002178649237472767, 'future': 0.002178649237472767, 'fuck': 0.002178649237472767, 'in': 0.008714596949891068, 'theyll': 0.002178649237472767, 'aint': 0.034858387799564274, 'from': 0.006535947712418301, 'double': 0.002178649237472767, 'down': 0.002178649237472767, 'critic': 0.002178649237472767, 'hit': 0.002178649237472767, 'run': 0.002178649237472767, 'drill': 0.002178649237472767, 'wet': 0.002178649237472767, 'im': 0.02832244008714597, 'really': 0.002178649237472767, '5050': 0.002178649237472767, 'fall': 0.002178649237472767, 'yeah': 0.010893246187363835, 'i': 0.030501089324618737, 'back': 0.008714596949891068, 'all': 0.010893246187363835, 'or': 0.002178649237472767, 'got': 0.0196078431372549, 'out': 0.030501089324618737, 'told': 0.002178649237472767, 'she': 0.002178649237472767, 'lets': 0.004357298474945534, 'crack': 0.002178649237472767, 'dont': 0.008714596949891068, 'over': 0.023965141612200435, 'wont': 0.002178649237472767, 'when': 0.006535947712418301, 'right': 0.002178649237472767, 'thought': 0.002178649237472767, 'eyes': 0.002178649237472767, 'young': 0.002178649237472767, 'get': 0.004357298474945534, 'soft': 0.002178649237472767, 'whippin': 0.002178649237472767, 'nigga': 0.004357298474945534, 'had': 0.004357298474945534, 'through': 0.006535947712418301, 'give': 0.002178649237472767, 'come': 0.008714596949891068, 'under': 0.006535947712418301, 'they': 0.006535947712418301, 'little': 0.002178649237472767, 'baby': 0.017429193899782137, 'drink': 0.004357298474945534, 'okay': 0.004357298474945534, 'too': 0.004357298474945534, 'you': 0.02832244008714597, 'huh': 0.015250544662309368, 'burn': 0.002178649237472767, 'felt': 0.002178649237472767, 'dance': 0.002178649237472767, 'will': 0.002178649237472767, 'comes': 0.002178649237472767, 'cut': 0.002178649237472767, 'solid': 0.002178649237472767, 'presidential': 0.002178649237472767, 'copacetic': 0.002178649237472767, 'be': 0.002178649237472767, 'til': 0.006535947712418301, 'rot': 0.002178649237472767, 'name': 0.002178649237472767, 'turn': 0.004357298474945534, 'spend': 0.002178649237472767, 'well': 0.002178649237472767, 'nothing': 0.002178649237472767, 'ill': 0.002178649237472767, 'do': 0.013071895424836602, 'to': 0.010893246187363835, 'pimpin': 0.002178649237472767, 'lowkey': 0.004357298474945534, 'for': 0.006535947712418301, 'sell': 0.002178649237472767, 'goes': 0.004357298474945534, 'prepared': 0.002178649237472767, 'like': 0.008714596949891068, 'a': 0.004357298474945534, 'woah': 0.002178649237472767, 'good': 0.002178649237472767, 'fully': 0.002178649237472767, 'pinstripes': 0.002178649237472767, 'genuine': 0.002178649237472767, 'looked': 0.004357298474945534, 'vacuum': 0.002178649237472767, 'can': 0.002178649237472767, 'became': 0.002178649237472767, 'rated': 0.002178649237472767, 'made': 0.002178649237472767, 'long': 0.002178649237472767, 'servin': 0.002178649237472767, 'see': 0.002178649237472767, 'mayweather': 0.002178649237472767, 'guns': 0.002178649237472767, 'open': 0.004357298474945534, 'go': 0.002178649237472767, 'across': 0.002178649237472767, 'rains': 0.002178649237472767, 'trill': 0.002178649237472767, 'gives': 0.002178649237472767, 'time': 0.002178649237472767, 'if': 0.004357298474945534, 'shouldnt': 0.015250544662309368, 'white': 0.002178649237472767, 'just': 0.002178649237472767, 'mafiuh': 0.002178649237472767, 'cause': 0.002178649237472767, 'throw': 0.002178649237472767, 'flying': 0.002178649237472767, 'straight': 0.002178649237472767, 'acapella': 0.002178649237472767, 'crackin': 0.002178649237472767, 'take': 0.002178649237472767, 'takes': 0.004357298474945534, 'stacks': 0.002178649237472767, 'came': 0.002178649237472767, 'way': 0.002178649237472767, 'mhm': 0.002178649237472767, 'better': 0.002178649237472767, 'outta': 0.002178649237472767, 'one': 0.002178649237472767, 'tend': 0.002178649237472767, 'loose': 0.002178649237472767, 'bring': 0.002178649237472767, 'cursed': 0.002178649237472767, 'hard': 0.002178649237472767, 'vividly': 0.002178649237472767, 'skrrtskrrt': 0.002178649237472767, 'home': 0.002178649237472767, 'with': 0.002178649237472767, 'cant': 0.002178649237472767}"
how,"{'it': 0.06521739130434782, 'you': 0.17391304347826086, 'much': 0.021739130434782608, 'im': 0.08695652173913043, 'far': 0.021739130434782608, 'many': 0.08695652173913043, 'yall': 0.06521739130434782, 'to': 0.17391304347826086, 'he': 0.021739130434782608, 'the': 0.043478260869565216, 'they': 0.043478260869565216, 'can': 0.021739130434782608, 'could': 0.021739130434782608, 'we': 0.08695652173913043, 'i': 0.021739130434782608, 'my': 0.043478260869565216}"
is,"{'call': 0.018867924528301886, 'hendrix': 0.03773584905660377, 'fame': 0.03773584905660377, 'what': 0.03773584905660377, 'good': 0.03773584905660377, 'on': 0.03773584905660377, 'muddy': 0.03773584905660377, 'a': 0.07547169811320754, 'deeper': 0.018867924528301886, 'homicide': 0.018867924528301886, 'knocking': 0.018867924528301886, 'mine': 0.018867924528301886, 'right': 0.018867924528301886, 'understood': 0.03773584905660377, 'in': 0.018867924528301886, 'that': 0.018867924528301886, 'my': 0.07547169811320754, 'like': 0.018867924528301886, 'so': 0.03773584905660377, 'the': 0.018867924528301886, 'all': 0.03773584905660377, 'approved': 0.03773584905660377, 'way': 0.018867924528301886, 'therapy': 0.018867924528301886, 'sell': 0.018867924528301886, 'walkin': 0.018867924528301886, 'trapped': 0.018867924528301886, 'cheap': 0.018867924528301886, 'you': 0.05660377358490566, 'how': 0.018867924528301886, 'doing': 0.018867924528301886, 'hungry': 0.018867924528301886, 'not': 0.018867924528301886, 'just': 0.018867924528301886, 'fuckin': 0.018867924528301886}"
hendrix,"{'i': 0.36363636363636365, 'dirty': 0.18181818181818182, 'its': 0.18181818181818182, 'codeine': 0.09090909090909091, 'yeah': 0.09090909090909091, 'in': 0.09090909090909091}"
i,"{'promise': 0.0022488755622188904, 'swear': 0.013493253373313344, 'was': 0.04872563718140929, 'can': 0.03823088455772114, 'drive': 0.0029985007496251873, 'just': 0.08470764617691154, 'turn': 0.006746626686656672, 'feel': 0.008245877061469266, 'dont': 0.04122938530734633, 'go': 0.008245877061469266, 'been': 0.009745127436281859, 'will': 0.0022488755622188904, 'got': 0.08170914542728636, 'cant': 0.017241379310344827, 'think': 0.013493253373313344, 'like': 0.005247376311844078, 'keep': 0.008995502248875561, 'had': 0.020239880059970013, 'did': 0.009745127436281859, 'mean': 0.004497751124437781, 'done': 0.023238380809595203, 'aint': 0.03823088455772114, 'catch': 0.0014992503748125937, 'make': 0.004497751124437781, 'ride': 0.0029985007496251873, 'lie': 0.0007496251874062968, 'call': 0.0014992503748125937, 'murk': 0.0007496251874062968, 'didnt': 0.005997001499250375, 'get': 0.020989505247376312, 'take': 0.0029985007496251873, 'be': 0.010494752623688156, 'couldnt': 0.0014992503748125937, 'turned': 0.0014992503748125937, 'might': 0.005247376311844078, 'know': 0.034482758620689655, 'am': 0.009745127436281859, 'gave': 0.005997001499250375, 'wanna': 0.008995502248875561, 'showed': 0.0007496251874062968, 'opened': 0.0007496251874062968, 'invented': 0.0014992503748125937, 'pour': 0.01199400299850075, 'should': 0.008995502248875561, 'leave': 0.0014992503748125937, 'corrupted': 0.0007496251874062968, 'grew': 0.0022488755622188904, 'say': 0.004497751124437781, 'told': 0.012743628185907047, 'reply': 0.0007496251874062968, 'could': 0.0037481259370314842, 'hit': 0.011244377811094454, 'pull': 0.0037481259370314842, 'forgot': 0.0022488755622188904, 'seen': 0.006746626686656672, 'used': 0.0022488755622188904, 'try': 0.0022488755622188904, 'fuck': 0.017241379310344827, 'won': 0.01424287856071964, 'believe': 0.0014992503748125937, 'want': 0.006746626686656672, 'started': 0.0007496251874062968, 'put': 0.011244377811094454, 'made': 0.005997001499250375, 'score': 0.0007496251874062968, 'thought': 0.004497751124437781, 'called': 0.0007496251874062968, 'sold': 0.0014992503748125937, 'never': 0.008995502248875561, 'came': 0.005247376311844078, 'strapped': 0.0007496251874062968, 'need': 0.0074962518740629685, 'smoke': 0.0022488755622188904, 'float': 0.0007496251874062968, 'party': 0.0022488755622188904, 'give': 0.0014992503748125937, 'miss': 0.0007496251874062968, 'see': 0.0029985007496251873, 'pop': 0.0007496251874062968, 'whip': 0.0014992503748125937, 'knows': 0.0014992503748125937, 'nose': 0.0007496251874062968, 'fishtails': 0.0007496251874062968, 'misspell': 0.0007496251874062968, 'barely': 0.0014992503748125937, 'level': 0.0007496251874062968, 'snuck': 0.0007496251874062968, 'wont': 0.0022488755622188904, 'copped': 0.0007496251874062968, 'would': 0.0007496251874062968, 'left': 0.0014992503748125937, 'ended': 0.0007496251874062968, 'fell': 0.004497751124437781, 'do': 0.006746626686656672, 'spazz': 0.0014992503748125937, 'roll': 0.0014992503748125937, 'wasnt': 0.0029985007496251873, 'gotta': 0.005997001499250375, 'rep': 0.0007496251874062968, 'hope': 0.0029985007496251873, 'bought': 0.005247376311844078, 'heard': 0.009745127436281859, 'took': 0.005247376311844078, 'went': 0.0022488755622188904, 'fill': 0.0007496251874062968, 'drink': 0.0029985007496251873, 'purchase': 0.0007496251874062968, 'fucked': 0.006746626686656672, 'wish': 0.0007496251874062968, 'run': 0.0007496251874062968, 'elevated': 0.0007496251874062968, 'jump': 0.0029985007496251873, 'live': 0.0022488755622188904, 'bag': 0.0014992503748125937, 'smash': 0.0022488755622188904, 'sell': 0.0014992503748125937, 'lift': 0.0007496251874062968, 'stay': 0.0022488755622188904, 'already': 0.0014992503748125937, 'cancel': 0.0007496251874062968, 'retired': 0.0007496251874062968, 'push': 0.0014992503748125937, 'served': 0.0007496251874062968, 'waited': 0.0007496251874062968, 'have': 0.004497751124437781, 'looked': 0.0007496251874062968, 'woke': 0.0007496251874062968, 'blow': 0.0239880059970015, 'walk': 0.0022488755622188904, 'ran': 0.0022488755622188904, 'knew': 0.0022488755622188904, 'skipped': 0.0022488755622188904, 'spent': 0.0022488755622188904, 'ever': 0.0007496251874062968, 'recorded': 0.0007496251874062968, 'endured': 0.0007496251874062968, 'finally': 0.0007496251874062968, 'notice': 0.0007496251874062968, 'recruited': 0.0007496251874062968, 'screwed': 0.0007496251874062968, 'pulled': 0.0007496251874062968, 'stack': 0.0007496251874062968, 'talk': 0.0014992503748125937, 'passed': 0.0037481259370314842, 'tripled': 0.0037481259370314842, 'spend': 0.0007496251874062968, 'love': 0.004497751124437781, 'hang': 0.0007496251874062968, 'come': 0.0014992503748125937, 'pay': 0.0007496251874062968, 'ripped': 0.0007496251874062968, 'wake': 0.004497751124437781, 'leveled': 0.0007496251874062968, 'still': 0.0014992503748125937, 'mixed': 0.0007496251874062968, 'cooked': 0.0007496251874062968, 'tell': 0.0029985007496251873, 'shoulda': 0.0014992503748125937, 'breathe': 0.0007496251874062968, 'open': 0.0007496251874062968, 'greet': 0.0007496251874062968, 'skrrt': 0.0007496251874062968, 'tricked': 0.0007496251874062968, 'lean': 0.0007496251874062968, 'sip': 0.0014992503748125937, 'hop': 0.0014992503748125937, 'pass': 0.0022488755622188904, 'said': 0.0014992503748125937, 'scream': 0.0014992503748125937, 'nodded': 0.0014992503748125937, 'remember': 0.0007496251874062968, 'board': 0.0007496251874062968, 'buried': 0.0007496251874062968, 'batted': 0.0007496251874062968, 'watch': 0.0007496251874062968, 'hear': 0.0014992503748125937, 'brought': 0.0007496251874062968, 'changed': 0.0007496251874062968, 'rap': 0.0014992503748125937, 'cock': 0.0007496251874062968, 'prevail': 0.0007496251874062968, 'steer': 0.0007496251874062968, 'appear': 0.0007496251874062968, 'ask': 0.0007496251874062968, 'hate': 0.0007496251874062968, 'bet': 0.0022488755622188904, 'tried': 0.0007496251874062968, 'let': 0.0007496251874062968, 'damn': 0.0007496251874062968, 'built': 0.0007496251874062968, 'stand': 0.0007496251874062968, 'shouldve': 0.0007496251874062968, 'shipped': 0.0007496251874062968, 'double': 0.0007496251874062968, 'thank': 0.0007496251874062968, 'lost': 0.0014992503748125937}"
promise,"{'i': 0.4, 'to': 0.2, 'pluto': 0.2, 'take': 0.2}"
swear,"{'i': 0.2571428571428571, 'you': 0.02857142857142857, 'ima': 0.02857142857142857, 'theypassedus': 0.02857142857142857, 'they': 0.05714285714285714, 'switchin': 0.11428571428571428, 'take': 0.02857142857142857, 'this': 0.02857142857142857, 'if': 0.02857142857142857, 'to': 0.05714285714285714, 'fuck': 0.17142857142857143, 'sell': 0.02857142857142857, 'kill': 0.02857142857142857, 'slatt': 0.02857142857142857, 'im': 0.02857142857142857, 'she': 0.02857142857142857, 'smokin': 0.02857142857142857}"
you,"{'heard': 0.014238773274917854, 'go': 0.001095290251916758, 'killed': 0.001095290251916758, 'in': 0.0065717415115005475, 'ricky': 0.001095290251916758, 'if': 0.004381161007667032, 'see': 0.007667031763417305, 'my': 0.008762322015334063, 'know': 0.10076670317634173, 'pills': 0.001095290251916758, 'that': 0.002190580503833516, 'on': 0.002190580503833516, 'workin': 0.001095290251916758, 'a': 0.0208105147864184, 'splurgin': 0.001095290251916758, 'out': 0.00547645125958379, 'gon': 0.013143483023001095, 'need': 0.01095290251916758, 'made': 0.00547645125958379, 'went': 0.001095290251916758, 'came': 0.001095290251916758, 'popping': 0.001095290251916758, 'when': 0.0032858707557502738, 'was': 0.004381161007667032, 'tryna': 0.008762322015334063, 'ass': 0.001095290251916758, 'im': 0.0065717415115005475, 'lord': 0.004381161007667032, 'member': 0.001095290251916758, 'all': 0.002190580503833516, 'fall': 0.001095290251916758, 'the': 0.017524644030668127, 'cant': 0.012048192771084338, 'saw': 0.001095290251916758, 'keep': 0.0032858707557502738, 'they': 0.0065717415115005475, 'up': 0.002190580503833516, 'down': 0.001095290251916758, 'must': 0.0032858707557502738, 'wasnt': 0.001095290251916758, 'turned': 0.002190580503833516, 'chances': 0.002190580503833516, 'try': 0.001095290251916758, 'stranded': 0.001095290251916758, 'dont': 0.012048192771084338, 'off': 0.009857612267250822, 'hear': 0.004381161007667032, 'dawg': 0.002190580503833516, 'shawty': 0.002190580503833516, 'call': 0.001095290251916758, 'i': 0.03943044906900329, 'hahah': 0.001095290251916758, 'celibate': 0.001095290251916758, 'brainwashed': 0.001095290251916758, 'got': 0.017524644030668127, 'thought': 0.001095290251916758, 'panic': 0.001095290251916758, 'already': 0.00547645125958379, 'feel': 0.01095290251916758, 'rockin': 0.001095290251916758, 'only': 0.002190580503833516, 'we': 0.001095290251916758, 'and': 0.00547645125958379, 'you': 0.01642935377875137, 'say': 0.002190580503833516, 'grew': 0.001095290251916758, 'could': 0.0032858707557502738, 'come': 0.0032858707557502738, 'want': 0.02190580503833516, 'young': 0.001095290251916758, 'never': 0.0065717415115005475, 'lurking': 0.001095290251916758, 'make': 0.001095290251916758, 'wake': 0.0065717415115005475, 'brush': 0.0065717415115005475, 'grab': 0.0065717415115005475, 'get': 0.01095290251916758, 'blessed': 0.001095290251916758, 'move': 0.00547645125958379, 'loaded': 0.002190580503833516, 'gone': 0.002190580503833516, 'posted': 0.001095290251916758, 'pull': 0.001095290251916758, 'here': 0.001095290251916758, 'hit': 0.002190580503833516, 'put': 0.001095290251916758, 'niggas': 0.007667031763417305, 'think': 0.001095290251916758, 'can': 0.024096385542168676, 'like': 0.008762322015334063, 'anything': 0.001095290251916758, 'fucking': 0.0065717415115005475, 'finished': 0.002190580503833516, 'now': 0.002190580503833516, 'thinking': 0.00547645125958379, 'laying': 0.002190580503833516, 'to': 0.001095290251916758, 'it': 0.002190580503833516, 'goin': 0.001095290251916758, 'posting': 0.001095290251916758, 'moving': 0.002190580503833516, 'do': 0.01533406352683461, 'poppin': 0.0208105147864184, 'cop': 0.002190580503833516, 'lame': 0.001095290251916758, 'from': 0.001095290251916758, 'lets': 0.004381161007667032, 'ayy': 0.001095290251916758, 'credit': 0.001095290251916758, 'acting': 0.002190580503833516, 'gun': 0.001095290251916758, 'cause': 0.001095290251916758, 'mad': 0.002190580503833516, 'how': 0.002190580503833516, 'aint': 0.10076670317634173, 'done': 0.001095290251916758, 'shot': 0.001095290251916758, 'talk': 0.012048192771084338, 'not': 0.0032858707557502738, 'at': 0.0032858707557502738, 'shoot': 0.001095290251916758, 'prove': 0.001095290251916758, 'thats': 0.001095290251916758, 'fuck': 0.0032858707557502738, 'but': 0.0032858707557502738, 'wanna': 0.00547645125958379, 'just': 0.002190580503833516, 'gotta': 0.00547645125958379, 'treat': 0.002190580503833516, 'recognize': 0.001095290251916758, 'tell': 0.001095290251916758, 'getting': 0.0032858707557502738, 'pour': 0.0032858707557502738, 'better': 0.0032858707557502738, 'hundreds': 0.004381161007667032, 'did': 0.002190580503833516, 'whoa': 0.004381161007667032, 'freestylin': 0.001095290251916758, 'skydweller': 0.001095290251916758, 'rose': 0.001095290251916758, 'killin': 0.001095290251916758, 'chain': 0.001095290251916758, 'been': 0.001095290251916758, 'ill': 0.001095290251916758, 'savage': 0.001095290251916758, 'thinkin': 0.001095290251916758, 'picture': 0.001095290251916758, 'pussy': 0.002190580503833516, 'look': 0.008762322015334063, 'wind': 0.001095290251916758, 'hot': 0.001095290251916758, 'suckin': 0.001095290251916758, 'walk': 0.001095290251916758, 'baby': 0.002190580503833516, 'washed': 0.001095290251916758, 'dig': 0.001095290251916758, 'back': 0.013143483023001095, 'bang': 0.001095290251916758, 'rich': 0.001095290251916758, 'nothin': 0.002190580503833516, 'girl': 0.004381161007667032, 'once': 0.0065717415115005475, 'part': 0.0065717415115005475, 'would': 0.002190580503833516, 'everywhere': 0.001095290251916758, 'she': 0.004381161007667032, 'sorry': 0.014238773274917854, 'care': 0.001095290251916758, 'legendary': 0.001095290251916758, 'closer': 0.001095290251916758, 'commercial': 0.001095290251916758, 'diamonds': 0.001095290251916758, 'effortlessly': 0.001095290251916758, 'lotove': 0.001095290251916758, 'gave': 0.001095290251916758, 'blame': 0.001095290251916758, 'talkin': 0.001095290251916758, 'steppin': 0.001095290251916758, 'shine': 0.001095290251916758, 'touch': 0.0032858707557502738, 'take': 0.001095290251916758, 'no': 0.001095290251916758, 'broke': 0.001095290251916758, 'doin': 0.001095290251916758, 'screwin': 0.001095290251916758, 'are': 0.002190580503833516, 'supposed': 0.001095290251916758, 'lovin': 0.001095290251916758, 'live': 0.001095290251916758, 'give': 0.001095290251916758, 'more': 0.002190580503833516, 'for': 0.001095290251916758, 'coulda': 0.001095290251916758, 'should': 0.002190580503833516, 'let': 0.001095290251916758, 'threesixoh': 0.001095290251916758, 'stay': 0.001095290251916758, 'run': 0.001095290251916758, 'playing': 0.001095290251916758, 'standing': 0.001095290251916758, 'were': 0.001095290251916758, 'video': 0.001095290251916758, 'didnt': 0.002190580503833516, 'wouldnt': 0.002190580503833516, 'word': 0.001095290251916758, 'happy': 0.002190580503833516, 'cruise': 0.002190580503833516, 'told': 0.001095290251916758, 'rollin': 0.001095290251916758, 'respondin': 0.001095290251916758, 'stretch': 0.001095290251916758, 'mean': 0.001095290251916758, 'active': 0.001095290251916758, 'bout': 0.001095290251916758, 'dipped': 0.002190580503833516, 'an': 0.002190580503833516, 'fuckin': 0.002190580503833516, 'dancin': 0.001095290251916758, 'strippin': 0.001095290251916758, 'quiet': 0.001095290251916758, 'have': 0.002190580503833516, 'oh': 0.001095290251916758, 'way': 0.001095290251916758, 'feeling': 0.001095290251916758, 'really': 0.001095290251916758, 'john': 0.001095290251916758, 'this': 0.001095290251916758, 'red': 0.001095290251916758, 'yah': 0.001095290251916758, 'them': 0.001095290251916758, 'nigga': 0.001095290251916758, 'be': 0.001095290251916758, 'trippin': 0.002190580503833516, 'love': 0.001095290251916758, 'worried': 0.001095290251916758, 'shouldve': 0.001095290251916758}"
heard,"{'spit': 0.058823529411764705, 'you': 0.058823529411764705, 'that': 0.20588235294117646, 'ya': 0.029411764705882353, 'god': 0.17647058823529413, 'it': 0.029411764705882353, 'youre': 0.029411764705882353, 'she': 0.29411764705882354, 'got': 0.029411764705882353, 'bright': 0.029411764705882353, 'me': 0.029411764705882353, 'freeband': 0.029411764705882353}"
