Word,Frequency
run,"{'that': 0.6153846153846154, 'up': 0.038461538461538464, 'through': 0.07692307692307693, 'out': 0.07692307692307693, 'me': 0.038461538461538464, 'i': 0.07692307692307693, 'in': 0.038461538461538464, 'it': 0.038461538461538464}"
that,"{'back': 0.06072874493927125, 'my': 0.016194331983805668, 'shit': 0.10121457489878542, 'its': 0.012145748987854251, 'met': 0.020242914979757085, 'porsche': 0.012145748987854251, 'mean': 0.024291497975708502, 'pussy': 0.020242914979757085, 'bitch': 0.03643724696356275, 'im': 0.03643724696356275, 'he': 0.004048582995951417, 'money': 0.012145748987854251, 'ho': 0.032388663967611336, 'dont': 0.004048582995951417, 'still': 0.004048582995951417, 'nigga': 0.008097165991902834, 'plain': 0.004048582995951417, 'they': 0.016194331983805668, 'yeah': 0.004048582995951417, 'cash': 0.008097165991902834, 'body': 0.004048582995951417, 'dope': 0.004048582995951417, 'twelve': 0.004048582995951417, '12': 0.008097165991902834, 'she': 0.008097165991902834, 'side': 0.012145748987854251, 'we': 0.024291497975708502, 'miniar': 0.004048582995951417, 'want': 0.004048582995951417, 'vette': 0.012145748987854251, 'boy': 0.02834008097165992, 'i': 0.04048582995951417, 'phantom': 0.004048582995951417, 'thought': 0.004048582995951417, 'check': 0.004048582995951417, 'bentley': 0.004048582995951417, 'got': 0.004048582995951417, 'masi': 0.012145748987854251, 'lacoste': 0.004048582995951417, 'almighty': 0.004048582995951417, 'k': 0.004048582995951417, 'same': 0.024291497975708502, 'syrup': 0.004048582995951417, 'spend': 0.004048582995951417, 'bih': 0.004048582995951417, 'thang': 0.004048582995951417, 'demon': 0.004048582995951417, 'smell': 0.004048582995951417, 'you': 0.012145748987854251, 'has': 0.004048582995951417, 'dollar': 0.004048582995951417, 'rari': 0.008097165991902834, 'lean': 0.004048582995951417, 'drip': 0.016194331983805668, 'coupe': 0.004048582995951417, 'benz': 0.004048582995951417, 'ed': 0.004048582995951417, 'slime': 0.004048582995951417, 'chopper': 0.008097165991902834, 'handle': 0.004048582995951417, 'cat': 0.008097165991902834, 'dick': 0.004048582995951417, 'is': 0.020242914979757085, 'cartier': 0.004048582995951417, 'came': 0.004048582995951417, 'bit': 0.012145748987854251, 'know': 0.004048582995951417, 'mota': 0.004048582995951417, 'by': 0.004048582995951417, 'new': 0.004048582995951417, 'ysl': 0.004048582995951417, 'horse': 0.012145748987854251, 'raw': 0.004048582995951417, 'double': 0.004048582995951417, 'rollie': 0.004048582995951417, 'understood': 0.004048582995951417, 'white': 0.004048582995951417, 'flame': 0.004048582995951417, 'yo': 0.004048582995951417, 'saint': 0.004048582995951417, 'coke': 0.004048582995951417, 'ghost': 0.004048582995951417, 'wont': 0.004048582995951417, 'sawed': 0.004048582995951417, 'hard': 0.004048582995951417, 'icin': 0.004048582995951417, 'time': 0.004048582995951417, 'bed': 0.004048582995951417, 'these': 0.004048582995951417, 'coppin': 0.004048582995951417, 'hoe': 0.004048582995951417, 'goyard': 0.004048582995951417, 'thot': 0.004048582995951417, 'whippin': 0.004048582995951417, 'a': 0.008097165991902834, 'gon': 0.004048582995951417, 'sls': 0.004048582995951417, 'girl': 0.004048582995951417, 'extra': 0.004048582995951417, 'bullshit': 0.004048582995951417, 'porridge': 0.004048582995951417, 'made': 0.012145748987854251, 'deepthroat': 0.012145748987854251, 'uzi': 0.004048582995951417, 'envy': 0.004048582995951417}"
back,"{'turbo': 0.19718309859154928, 'on': 0.04225352112676056, 'at': 0.028169014084507043, 'feel': 0.028169014084507043, 'to': 0.22535211267605634, 'pardon': 0.014084507042253521, 'fendi': 0.014084507042253521, 'right': 0.014084507042253521, 'comin': 0.014084507042253521, 'i': 0.028169014084507043, 'then': 0.014084507042253521, 'of': 0.028169014084507043, 'like': 0.028169014084507043, 'up': 0.014084507042253521, 'you': 0.014084507042253521, 'til': 0.014084507042253521, 'rocking': 0.014084507042253521, 'end': 0.014084507042253521, 'home': 0.014084507042253521, 'off': 0.014084507042253521, 'yeah': 0.014084507042253521, 'so': 0.014084507042253521, 'all': 0.014084507042253521, 'maybachs': 0.04225352112676056, 'my': 0.04225352112676056, 'in': 0.014084507042253521, 'across': 0.04225352112676056, 'with': 0.014084507042253521, 'some': 0.028169014084507043}"
turbo,"{'playmakers': 0.05555555555555555, 'baby': 0.05555555555555555, 'wheezy': 0.16666666666666666, 'muddy': 0.05555555555555555, 'hey': 0.05555555555555555, 'whippin': 0.05555555555555555, 'yeah': 0.1111111111111111, 'my': 0.05555555555555555, 'east': 0.05555555555555555, 'with': 0.05555555555555555, 'did': 0.05555555555555555, 'speed': 0.05555555555555555, 'when': 0.05555555555555555, 'came': 0.05555555555555555, 'heres': 0.05555555555555555}"
playmakers,"{'okay': 0.25, 'yeah': 0.25, 'run': 0.25, 'i': 0.25}"
okay,"{'audemar': 0.04838709677419355, 'yeah': 0.20967741935483872, 'hey': 0.11290322580645161, 'you': 0.06451612903225806, 'nah': 0.04838709677419355, 'she': 0.016129032258064516, 'spaceship': 0.016129032258064516, 'another': 0.016129032258064516, 'got': 0.016129032258064516, 'twotone': 0.016129032258064516, 'simon': 0.016129032258064516, 'ysl': 0.016129032258064516, 'pateks': 0.016129032258064516, 'run': 0.016129032258064516, 'trap': 0.03225806451612903, 'rip': 0.016129032258064516, 'i': 0.08064516129032258, 'slime': 0.016129032258064516, 'im': 0.03225806451612903, 'ride': 0.03225806451612903, 'wash': 0.016129032258064516, 'put': 0.016129032258064516, 'dropped': 0.016129032258064516, 'cop': 0.016129032258064516, 'pour': 0.016129032258064516, 'my': 0.016129032258064516, 'a': 0.03225806451612903, 'turn': 0.016129032258064516, 'me': 0.016129032258064516}"
audemar,"{'wrist': 0.75, 'rollie': 0.25}"
wrist,"{'count': 0.15789473684210525, 'water': 0.15789473684210525, 'like': 0.05263157894736842, 'need': 0.05263157894736842, 'ice': 0.15789473684210525, 'them': 0.05263157894736842, 'when': 0.05263157894736842, 'pull': 0.15789473684210525, 'out': 0.05263157894736842, 'watch': 0.05263157894736842, 'on': 0.05263157894736842}"
count,"{'it': 0.4444444444444444, 'the': 0.1111111111111111, 'up': 0.2222222222222222, 'these': 0.1111111111111111, 'like': 0.1111111111111111}"
it,"{'then': 0.020134228187919462, 'oh': 0.013422818791946308, 'mmm': 0.006711409395973154, 'comes': 0.011185682326621925, 'to': 0.017897091722595078, 'spill': 0.0022371364653243847, 'dissolve': 0.0022371364653243847, 'confused': 0.0022371364653243847, 'again': 0.011185682326621925, 'on': 0.042505592841163314, 'home': 0.0022371364653243847, 'breaks': 0.0022371364653243847, 'feel': 0.006711409395973154, 'im': 0.029082774049217, 'get': 0.011185682326621925, 'was': 0.017897091722595078, 'yeah': 0.015659955257270694, 'in': 0.04697986577181208, 'out': 0.020134228187919462, 'came': 0.020134228187919462, 'up': 0.1342281879194631, 'fit': 0.0044742729306487695, 'takes': 0.0044742729306487695, 'when': 0.015659955257270694, 'if': 0.006711409395973154, 'tall': 0.008948545861297539, 'since': 0.006711409395973154, 'hit': 0.0022371364653243847, 'a': 0.008948545861297539, 'down': 0.0044742729306487695, 'come': 0.008948545861297539, 'almost': 0.006711409395973154, 'so': 0.017897091722595078, 'thought': 0.0022371364653243847, 'back': 0.008948545861297539, 'think': 0.0022371364653243847, 'she': 0.008948545861297539, 'we': 0.015659955257270694, 'real': 0.015659955257270694, 'this': 0.0022371364653243847, 'no': 0.0022371364653243847, 'rockstar': 0.0022371364653243847, 'salmon': 0.0022371364653243847, 'pussy': 0.0022371364653243847, 'like': 0.015659955257270694, 'quick': 0.008948545861297539, 'for': 0.011185682326621925, 'canwreckyour': 0.0022371364653243847, 'together': 0.0022371364653243847, 'look': 0.008948545861297539, 'i': 0.029082774049217, 'admire': 0.0022371364653243847, 'my': 0.011185682326621925, 'see': 0.006711409395973154, 'hot': 0.006711409395973154, 'hey': 0.0022371364653243847, 'close': 0.0022371364653243847, 'aint': 0.011185682326621925, 'mit': 0.0044742729306487695, 'paint': 0.0044742729306487695, 'vibes': 0.0044742729306487695, 'thats': 0.0022371364653243847, 'dont': 0.006711409395973154, 'made': 0.0044742729306487695, 'its': 0.0022371364653243847, 'hard': 0.0022371364653243847, 'played': 0.0022371364653243847, 'pop': 0.0022371364653243847, 'or': 0.0022371364653243847, 'drag': 0.006711409395973154, 'with': 0.0044742729306487695, 'take': 0.0022371364653243847, 'marc': 0.0022371364653243847, 'can': 0.006711409395973154, 'gon': 0.0044742729306487695, 'baby': 0.006711409395973154, 'make': 0.0022371364653243847, 'boy': 0.0022371364653243847, 'round': 0.0044742729306487695, 'through': 0.0022371364653243847, 'gave': 0.0044742729306487695, 'ring': 0.0022371364653243847, 'got': 0.013422818791946308, 'do': 0.0022371364653243847, 'named': 0.0022371364653243847, 'better': 0.0022371364653243847, 'melt': 0.0022371364653243847, 'nasty': 0.0022371364653243847, 'didnt': 0.0022371364653243847, 'yellow': 0.0022371364653243847, 'bang': 0.0022371364653243847, 'first': 0.0022371364653243847, 'lame': 0.0022371364653243847, 'at': 0.0022371364653243847, 'it': 0.0022371364653243847, 'fuck': 0.0022371364653243847, 'had': 0.0022371364653243847, 'skrrt': 0.0022371364653243847, 'cant': 0.0022371364653243847, 'raw': 0.0022371364653243847, 'let': 0.0022371364653243847, 'nah': 0.0044742729306487695, 'but': 0.011185682326621925, 'all': 0.013422818791946308, 'large': 0.0022371364653243847, 'til': 0.008948545861297539, 'remind': 0.0022371364653243847, 'are': 0.0022371364653243847, 'and': 0.0022371364653243847, 'rain': 0.0044742729306487695, 'mulsanne': 0.0022371364653243847, 'couple': 0.0022371364653243847, 'speed': 0.0022371364653243847, 'is': 0.006711409395973154, 'bankroll': 0.006711409395973154, 'raised': 0.0044742729306487695, 'creepin': 0.0022371364653243847, 'woah': 0.0022371364653243847, 'onmy': 0.0022371364653243847, 'poppin': 0.0022371364653243847, 'by': 0.0022371364653243847, 'solid': 0.008948545861297539, 'stormy': 0.0022371364653243847, 'said': 0.0044742729306487695, 'cost': 0.008948545861297539, 'glist': 0.0022371364653243847, 'hardcore': 0.006711409395973154, 'wont': 0.0022371364653243847, 'start': 0.0022371364653243847, 'clear': 0.0022371364653243847, 'go': 0.0022371364653243847, 'one': 0.0044742729306487695, 'off': 0.0022371364653243847, 'lil': 0.0022371364653243847}"
