Word,Frequency
damn,"{'forgot': 0.038461538461538464, 'it': 0.11538461538461539, 'i': 0.038461538461538464, 'who': 0.038461538461538464, 'they': 0.038461538461538464, 'oh': 0.038461538461538464, 'the': 0.07692307692307693, 'move': 0.038461538461538464, 'g': 0.038461538461538464, 'another': 0.038461538461538464, 'daughter': 0.038461538461538464, 'ice': 0.038461538461538464, 'its': 0.038461538461538464, 'can': 0.038461538461538464, 'doin': 0.038461538461538464, 'near': 0.038461538461538464, 'tune': 0.038461538461538464, 'his': 0.038461538461538464, 'im': 0.038461538461538464, 'a': 0.038461538461538464, 'are': 0.038461538461538464, 'only': 0.038461538461538464, 'why': 0.038461538461538464}"
forgot,"{'to': 0.125, 'van': 0.125, 'i': 0.125, 'where': 0.125, 'what': 0.25, 'huh': 0.125, 'this': 0.125}"
to,"{'do': 0.010769230769230769, 'wear': 0.003076923076923077, 'be': 0.038461538461538464, 'producing': 0.0015384615384615385, 'sound': 0.0015384615384615385, 'go': 0.03230769230769231, 'see': 0.012307692307692308, 'tell': 0.0015384615384615385, 'let': 0.006153846153846154, 'diss': 0.0015384615384615385, 'riverside': 0.0015384615384615385, 'back': 0.0015384615384615385, 'fuck': 0.038461538461538464, 'stop': 0.009230769230769232, 'the': 0.18615384615384614, 'blast': 0.004615384615384616, 'short': 0.0015384615384615385, 'sleep': 0.003076923076923077, 'call': 0.010769230769230769, 'use': 0.003076923076923077, 'gangsta': 0.0015384615384615385, 'show': 0.003076923076923077, 'pull': 0.007692307692307693, 'say': 0.004615384615384616, 'it': 0.02, 'feed': 0.0015384615384615385, 'defeat': 0.0015384615384615385, 'change': 0.02, 'get': 0.033846153846153845, 'hear': 0.003076923076923077, 'cube': 0.003076923076923077, 'me': 0.013846153846153847, 'charliebakerdenver': 0.003076923076923077, 'dub': 0.0015384615384615385, 'catch': 0.006153846153846154, 'keep': 0.007692307692307693, 'satan': 0.0015384615384615385, 'dialing': 0.0015384615384615385, 'hop': 0.0015384615384615385, 'buckle': 0.0015384615384615385, 'produce': 0.0015384615384615385, 'make': 0.012307692307692308, 'movin': 0.0015384615384615385, 'not': 0.0015384615384615385, 'stay': 0.0015384615384615385, 'check': 0.0015384615384615385, 'your': 0.009230769230769232, 'retaliate': 0.0015384615384615385, 'come': 0.003076923076923077, 'hate': 0.016923076923076923, 'piss': 0.0015384615384615385, 'rikers': 0.0015384615384615385, 'clown': 0.0015384615384615385, 'outdance': 0.0015384615384615385, 'pass': 0.004615384615384616, 'chastise': 0.0015384615384615385, 'deal': 0.003076923076923077, 'my': 0.012307692307692308, 'court': 0.0015384615384615385, 'travel': 0.0015384615384615385, 'figure': 0.0015384615384615385, 'toss': 0.0015384615384615385, 'erupt': 0.0015384615384615385, 'blow': 0.004615384615384616, 'lock': 0.0015384615384615385, 'distort': 0.0015384615384615385, 'lie': 0.0015384615384615385, 'waste': 0.0015384615384615385, 'replace': 0.0015384615384615385, 'take': 0.006153846153846154, 'reach': 0.0015384615384615385, 'think': 0.003076923076923077, 'win': 0.0015384615384615385, 'smoke': 0.0015384615384615385, 'this': 0.006153846153846154, 'fornication': 0.004615384615384616, 'heaven': 0.013846153846153847, 'die': 0.004615384615384616, 'playin': 0.0015384615384615385, 'hang': 0.004615384615384616, 'lose': 0.003076923076923077, 'move': 0.0015384615384615385, 'turn': 0.0015384615384615385, 'admit': 0.0015384615384615385, 'church': 0.024615384615384615, 'pretend': 0.0015384615384615385, 'duck': 0.004615384615384616, 'clickin': 0.0015384615384615385, 'hustle': 0.0015384615384615385, 'berkeley': 0.0015384615384615385, 'kiss': 0.0015384615384615385, 'have': 0.004615384615384616, 'educate': 0.0015384615384615385, 'teach': 0.007692307692307693, 'dumb': 0.0015384615384615385, 'jail': 0.004615384615384616, 'hell': 0.0015384615384615385, 'sell': 0.004615384615384616, 'yale': 0.0015384615384615385, 'throw': 0.003076923076923077, 'cheech': 0.0015384615384615385, 'talk': 0.0015384615384615385, 'strangers': 0.0015384615384615385, 'fuel': 0.0015384615384615385, 'africa': 0.006153846153846154, 'disagree': 0.0015384615384615385, 'know': 0.003076923076923077, 'spread': 0.0015384615384615385, 'now': 0.0015384615384615385, 'all': 0.003076923076923077, 'put': 0.004615384615384616, 'beg': 0.0015384615384615385, 'roll': 0.003076923076923077, 'maintain': 0.0015384615384615385, 'gain': 0.0015384615384615385, 'a': 0.012307692307692308, 'raise': 0.0015384615384615385, 'beat': 0.003076923076923077, 'bust': 0.003076923076923077, 'bed': 0.0015384615384615385, 'hit': 0.004615384615384616, 'spend': 0.0015384615384615385, 'ride': 0.0015384615384615385, 'break': 0.007692307692307693, 'sky': 0.0015384615384615385, 'cuss': 0.0015384615384615385, 'moms': 0.0015384615384615385, 'bones': 0.0015384615384615385, 'leave': 0.003076923076923077, 'speak': 0.0015384615384615385, 'cause': 0.0015384615384615385, 'rob': 0.0015384615384615385, 'steal': 0.0015384615384615385, 'school': 0.0015384615384615385, 'prostitution': 0.0015384615384615385, 'vent': 0.0015384615384615385, 'print': 0.0015384615384615385, 'punch': 0.0015384615384615385, 'mcdonalds': 0.0015384615384615385, 'walk': 0.0015384615384615385, 'no': 0.0015384615384615385, 'lick': 0.0015384615384615385, 'holla': 0.0015384615384615385, 'ditch': 0.0015384615384615385, 'gank': 0.0015384615384615385, 'release': 0.0015384615384615385, 'struggle': 0.0015384615384615385, 'scrap': 0.0015384615384615385, 'atlanta': 0.0015384615384615385, 'di': 0.003076923076923077, 'buck': 0.0015384615384615385, 'label': 0.0015384615384615385, 'new': 0.0015384615384615385, 'bring': 0.004615384615384616, 'uh': 0.003076923076923077, 'st': 0.003076923076923077, 'us': 0.004615384615384616, 'stand': 0.0015384615384615385, 'pack': 0.0015384615384615385, 'give': 0.0015384615384615385, 'mine': 0.0015384615384615385, 'shine': 0.0015384615384615385, 'drink': 0.0015384615384615385, 'play': 0.0015384615384615385, 'find': 0.0015384615384615385, 'war': 0.0015384615384615385, 'singin': 0.0015384615384615385, 'study': 0.0015384615384615385, 'coast': 0.0015384615384615385, 'grip': 0.0015384615384615385, 'bang': 0.0015384615384615385, 'please': 0.0015384615384615385, 'czechoslovakia': 0.0015384615384615385, 'you': 0.004615384615384616, 'ban': 0.0015384615384615385, 'ashes': 0.0015384615384615385, 'dirt': 0.0015384615384615385, 'peel': 0.0015384615384615385, 'kill': 0.004615384615384616, 'hurt': 0.0015384615384615385, 'fresno': 0.0015384615384615385, 'saritos': 0.0015384615384615385, 'soul': 0.0015384615384615385, 'add': 0.0015384615384615385, 'yeah': 0.0015384615384615385, 'switch': 0.0015384615384615385, 'point': 0.0015384615384615385, 'correct': 0.0015384615384615385, 'blame': 0.0015384615384615385, 'live': 0.0015384615384615385, 'bacon': 0.0015384615384615385, 'bits': 0.0015384615384615385, 'visit': 0.0015384615384615385, 'wreck': 0.0015384615384615385, 'pay': 0.0015384615384615385, 'ya': 0.003076923076923077, 'feel': 0.0015384615384615385, 'myself': 0.004615384615384616, 'pause': 0.0015384615384615385, 'slap': 0.0015384615384615385, 'mic': 0.0015384615384615385, 'dance': 0.006153846153846154, 'that': 0.0015384615384615385, 'adjust': 0.0015384615384615385, 'we': 0.0015384615384615385, 'disconnect': 0.0015384615384615385, 'calm': 0.0015384615384615385, 'step': 0.0015384615384615385, 'simi': 0.0015384615384615385, 'tear': 0.003076923076923077, 'kansas': 0.0015384615384615385, 'hort': 0.0015384615384615385, 'cover': 0.0015384615384615385, 'floss': 0.0015384615384615385, 'preserve': 0.0015384615384615385, 'serve': 0.0015384615384615385, 'lay': 0.0015384615384615385, 'help': 0.003076923076923077, 'hold': 0.0015384615384615385, 'sort': 0.0015384615384615385, 'calculate': 0.0015384615384615385, 'creep': 0.0015384615384615385, 'just': 0.0015384615384615385, 'albuquerque': 0.0015384615384615385, 'drop': 0.0015384615384615385, 'fake': 0.0015384615384615385, 'spark': 0.0015384615384615385, 'harass': 0.0015384615384615385, 'run': 0.0015384615384615385, 'slow': 0.0015384615384615385, 'hide': 0.0015384615384615385, 'jack': 0.0015384615384615385}"
do,"{'somethin': 0.0051813471502590676, 'pulling': 0.0051813471502590676, 'what': 0.02072538860103627, 'it': 0.39896373056994816, 'gangsta': 0.0051813471502590676, 'stay': 0.0051813471502590676, 'shit': 0.0051813471502590676, 'go': 0.0051813471502590676, 'ya': 0.15544041450777202, 'is': 0.03626943005181347, 'hard': 0.0051813471502590676, 'you': 0.10880829015544041, 'ish': 0.0051813471502590676, 'your': 0.06217616580310881, 'to': 0.015544041450777202, 'i': 0.031088082901554404, 'anybody': 0.0051813471502590676, 'work': 0.0051813471502590676, 'bring': 0.0051813471502590676, 'sic': 0.0051813471502590676, 'me': 0.010362694300518135, 'us': 0.0051813471502590676, 'my': 0.015544041450777202, 'them': 0.0051813471502590676, 'a': 0.010362694300518135, 'that': 0.010362694300518135, 'not': 0.0051813471502590676, 'when': 0.0051813471502590676, 'hate': 0.0051813471502590676, 'the': 0.015544041450777202, 'thinkin': 0.0051813471502590676, 'little': 0.0051813471502590676, 'since': 0.0051813471502590676, 'jack': 0.0051813471502590676}"
somethin,"{'let': 0.125, 'i': 0.125, 'she': 0.125, 'give': 0.125, 'out': 0.25, 'proper': 0.125, 'sweet': 0.125}"
let,"{'me': 0.1836734693877551, 'his': 0.04081632653061224, 'a': 0.04081632653061224, 'you': 0.08163265306122448, 'tricks': 0.04081632653061224, 'it': 0.04081632653061224, 'the': 0.08163265306122448, 'em': 0.02040816326530612, 'live': 0.04081632653061224, 'yall': 0.02040816326530612, 'that': 0.02040816326530612, 'her': 0.04081632653061224, 'them': 0.30612244897959184, 'up': 0.02040816326530612, 'your': 0.02040816326530612}"
me,"{'seeuh': 0.004048582995951417, 'arnold': 0.004048582995951417, 'trying': 0.004048582995951417, 'to': 0.04048582995951417, 'its': 0.012145748987854251, 'eazye': 0.004048582995951417, 'but': 0.032388663967611336, 'a': 0.0728744939271255, 'on': 0.032388663967611336, 'saw': 0.008097165991902834, 'no': 0.008097165991902834, 'break': 0.008097165991902834, 'you': 0.02834008097165992, 'do': 0.048582995951417005, 'dont': 0.020242914979757085, 'and': 0.020242914979757085, 'dough': 0.008097165991902834, 'now': 0.03643724696356275, 'in': 0.02834008097165992, 'the': 0.03643724696356275, 'hustle': 0.004048582995951417, 'as': 0.004048582995951417, 'wonder': 0.004048582995951417, 'from': 0.004048582995951417, 'up': 0.05668016194331984, 'did': 0.004048582995951417, 'that': 0.012145748987854251, 'an': 0.008097165991902834, 'loose': 0.004048582995951417, 'out': 0.008097165991902834, 'down': 0.012145748987854251, 'mad': 0.004048582995951417, 'something': 0.004048582995951417, 'banging': 0.004048582995951417, 'explain': 0.004048582995951417, 'she': 0.004048582995951417, 'im': 0.012145748987854251, 'all': 0.008097165991902834, 'cause': 0.024291497975708502, 'when': 0.012145748987854251, 'energy': 0.004048582995951417, 'sayin': 0.004048582995951417, 'yet': 0.004048582995951417, 'cops': 0.004048582995951417, 'i': 0.004048582995951417, 'sittin': 0.004048582995951417, 'x4': 0.004048582995951417, 'happy': 0.004048582995951417, 'alone': 0.004048582995951417, 'back': 0.008097165991902834, 'yall': 0.008097165991902834, 'try': 0.004048582995951417, 'hit': 0.004048582995951417, 'bank': 0.004048582995951417, 'done': 0.004048582995951417, 'run': 0.004048582995951417, 'young': 0.004048582995951417, 'wish': 0.004048582995951417, 'look': 0.004048582995951417, 'melle': 0.004048582995951417, 'ice': 0.004048582995951417, 'with': 0.008097165991902834, 'they': 0.020242914979757085, 'fiftyseven': 0.004048582995951417, 'thats': 0.004048582995951417, 'sasquatch': 0.008097165991902834, 'godzilla': 0.004048582995951417, 'thriller': 0.004048582995951417, 'put': 0.012145748987854251, 'my': 0.004048582995951417, 'schleprock': 0.004048582995951417, 'comin': 0.004048582995951417, 'bitch': 0.008097165991902834, 'better': 0.004048582995951417, 'like': 0.004048582995951417, 'nigga': 0.004048582995951417, 'fuck': 0.004048582995951417, 'punk': 0.004048582995951417, 'too': 0.004048582995951417, 'theyll': 0.004048582995951417, 'motherfuck': 0.004048582995951417, 'tell': 0.008097165991902834, 'go': 0.004048582995951417, 'catch': 0.004048582995951417, 'of': 0.008097165991902834, 'this': 0.004048582995951417, 'marathon': 0.004048582995951417, 'know': 0.008097165991902834, 'come': 0.004048582995951417, 'who': 0.008097165991902834, 'one': 0.004048582995951417, 'kinda': 0.004048582995951417, 'tearin': 0.004048582995951417, 'was': 0.004048582995951417, 'wanna': 0.016194331983805668, 'is': 0.004048582995951417, 'laugh': 0.004048582995951417, 'since': 0.004048582995951417, 'cuz': 0.004048582995951417, 'negro': 0.004048582995951417, 'at': 0.004048582995951417, 'forget': 0.004048582995951417, 'excuse': 0.004048582995951417, 'naw': 0.004048582995951417, 'livin': 0.004048582995951417, 'we': 0.004048582995951417, 'so': 0.004048582995951417}"
seeuh,{'oh': 1.0}
oh,"{'yeahit': 0.037037037037037035, 'yeah': 0.37037037037037035, 'boy': 0.07407407407407407, 'my': 0.07407407407407407, 'shit': 0.07407407407407407, 'why': 0.037037037037037035, 'lord': 0.07407407407407407, 'what': 0.07407407407407407, 'hear': 0.037037037037037035, 'man': 0.037037037037037035, 'jesus': 0.037037037037037035, 'how': 0.037037037037037035, 'by': 0.037037037037037035}"
yeahit,{'aint': 1.0}
