Word,Frequency
first,"{'things': 0.043478260869565216, 'rest': 0.043478260869565216, 'time': 0.391304347826087, 'class': 0.043478260869565216, 'sight': 0.043478260869565216, 'and': 0.043478260869565216, 'view': 0.043478260869565216, 'to': 0.043478260869565216, 'that': 0.043478260869565216, 'two': 0.043478260869565216, 'child': 0.043478260869565216, 'night': 0.043478260869565216, 'as': 0.043478260869565216, 'the': 0.043478260869565216, 'is': 0.043478260869565216}"
things,"{'first': 0.029411764705882353, 'he': 0.029411764705882353, 'guess': 0.058823529411764705, 'happen': 0.058823529411764705, 'you': 0.23529411764705882, 'i': 0.08823529411764706, 'change': 0.058823529411764705, 'that': 0.029411764705882353, 'for': 0.11764705882352941, 'or': 0.029411764705882353, 'to': 0.029411764705882353, 'go': 0.058823529411764705, 'aint': 0.029411764705882353, 'hoes': 0.029411764705882353, 'because': 0.029411764705882353, 'we': 0.08823529411764706}"
rest,"{'in': 0.5454545454545454, 'im': 0.09090909090909091, 'my': 0.36363636363636365}"
in,"{'peace': 0.0125, 'the': 0.345, 'white': 0.0025, 'hollywood': 0.0025, 'tennesseei': 0.0025, 'texas': 0.0025, 'tennesseethat': 0.0025, 'greystone': 0.0025, 'my': 0.115, 'mohammed': 0.005, 'this': 0.035, 'love': 0.0425, 'your': 0.0475, 'pussy': 0.0025, 'her': 0.005, 'she': 0.0025, 'heels': 0.0025, 'a': 0.0725, 'jail': 0.0025, 'hell': 0.0025, 'cycle': 0.0025, 'it': 0.005, 'their': 0.0025, 'debt': 0.0025, 'that': 0.0075, 'time': 0.02, 'make': 0.0025, 'aerial': 0.0025, 'la': 0.0025, 'new': 0.0025, 'me': 0.015, 'fact': 0.0025, 'his': 0.01, 'reality': 0.0025, 'tune': 0.005, 'back': 0.0025, 'black': 0.0025, 'god': 0.015, 'cycles': 0.0025, 'advance': 0.0025, 'projects': 0.0025, 'person': 0.0025, 'case': 0.0025, 'bitches': 0.0025, 'five': 0.0025, 'austin': 0.0025, 'with': 0.0025, 'chains': 0.01, 'check': 0.0025, 'class': 0.0025, 'virginia': 0.0025, 'them': 0.005, 'one': 0.005, 'spend': 0.0025, 'physical': 0.0025, 'intervals': 0.0025, 'silence': 0.0025, 'cemeteries': 0.005, 'awe': 0.005, 'i': 0.0125, 'terms': 0.0025, 'front': 0.0025, 'anger': 0.0025, 'sight': 0.005, 'barbados': 0.0025, 'parties': 0.0025, 'timbs': 0.0025, 'charge': 0.0025, 'you': 0.01, 'hit': 0.0025, 'him': 0.005, 'em': 0.0025, 'trouble': 0.005, 'heaven': 0.0025, 'circles': 0.0025, 'these': 0.005, 'conscious': 0.0025, 'turn': 0.0025, 'gods': 0.0025, 'things': 0.0025, 'order': 0.0025, 'rumors': 0.0025, 'like': 0.0025, 'image': 0.0025, 'fucked': 0.0025, 'our': 0.005, 'beverly': 0.0025, 'london': 0.0025, 'cali': 0.0025, 'neighborhoods': 0.0025, 'blame': 0.0025, 'county': 0.0025, 'on': 0.0025, 'temple': 0.0025}"
peace,"{'uncle': 0.1, 'sign': 0.2, 'any': 0.1, 'wont': 0.1, 'to': 0.3, 'no': 0.1, 'like': 0.1}"
uncle,"{'phil': 0.5, 'sam': 0.5}"
phil,{'for': 1.0}
for,"{'real': 0.006211180124223602, 'my': 0.07142857142857142, 'a': 0.07453416149068323, 'good': 0.015527950310559006, 'lisa': 0.003105590062111801, 'nia': 0.003105590062111801, 'sade': 0.003105590062111801, 'the': 0.15527950310559005, 'ya': 0.034161490683229816, 'petes': 0.003105590062111801, 'me': 0.10559006211180125, 'action': 0.003105590062111801, 'you': 0.037267080745341616, 'nothin': 0.003105590062111801, 'clout': 0.003105590062111801, 'fame': 0.006211180124223602, 'lunch': 0.003105590062111801, 'years': 0.003105590062111801, 'all': 0.012422360248447204, 'whats': 0.003105590062111801, 'strength': 0.003105590062111801, 'everybody': 0.003105590062111801, 'it': 0.012422360248447204, 'enemies': 0.003105590062111801, 'one': 0.015527950310559006, 'time': 0.009316770186335404, 'power': 0.003105590062111801, 'your': 0.15217391304347827, 'far': 0.003105590062111801, 'nothing': 0.003105590062111801, 'that': 0.009316770186335404, 'sure': 0.021739130434782608, 'integration': 0.006211180124223602, 'whatever': 0.006211180124223602, 'head': 0.003105590062111801, 'her': 0.009316770186335404, 'yours': 0.006211180124223602, 'what': 0.009316770186335404, 'granted': 0.003105590062111801, 'lesser': 0.003105590062111801, 'mo': 0.003105590062111801, 'another': 0.003105590062111801, 'forgiveness': 0.003105590062111801, 'more': 0.012422360248447204, '11': 0.003105590062111801, 'months': 0.003105590062111801, 'sacrificin': 0.003105590062111801, 'js': 0.003105590062111801, 'him': 0.006211180124223602, 'idolizin': 0.003105590062111801, 'lyin': 0.003105590062111801, 'help': 0.003105590062111801, 'some': 0.003105590062111801, 'free': 0.003105590062111801, 'reparations': 0.003105590062111801, 'bitches': 0.003105590062111801, 'women': 0.003105590062111801, 'days': 0.003105590062111801, 'liberation': 0.003105590062111801, 'our': 0.003105590062111801, 'work': 0.003105590062111801, 'discussion': 0.003105590062111801, 'collateral': 0.003105590062111801, 'myself': 0.009316770186335404, 'lip': 0.012422360248447204, 'this': 0.012422360248447204, 'hours': 0.003105590062111801, 'practice': 0.003105590062111801, 'therapy': 0.003105590062111801, 'securities': 0.003105590062111801, 'she': 0.006211180124223602, 'yall': 0.003105590062111801, 'uncle': 0.003105590062111801, 'mines': 0.006211180124223602, 'like': 0.003105590062111801, 'fuck': 0.003105590062111801, 'something': 0.003105590062111801, 'acceptance': 0.003105590062111801, 'us': 0.003105590062111801}"
real,"{'you': 0.013888888888888888, 'love': 0.013888888888888888, 'smooth': 0.013888888888888888, 'we': 0.013888888888888888, 'eyebrows': 0.013888888888888888, 'if': 0.013888888888888888, 'is': 0.027777777777777776, 'ones': 0.027777777777777776, 'foot': 0.027777777777777776, 'im': 0.013888888888888888, 'too': 0.013888888888888888, 'gon': 0.013888888888888888, 'money': 0.027777777777777776, 'pistol': 0.013888888888888888, 'huh': 0.013888888888888888, 'i': 0.013888888888888888, 'so': 0.013888888888888888, 'nigga': 0.06944444444444445, 'niggas': 0.2222222222222222, 'one': 0.013888888888888888, 'they': 0.013888888888888888, 'thing': 0.041666666666666664, 'cole': 0.013888888888888888, 'hed': 0.013888888888888888, 'change': 0.16666666666666666, 'pop': 0.013888888888888888, 'but': 0.027777777777777776, 'god': 0.013888888888888888, 'like': 0.013888888888888888, 'life': 0.013888888888888888, 'be': 0.013888888888888888, 'bad': 0.027777777777777776, 'shit': 0.013888888888888888, 'me': 0.013888888888888888}"
you,"{'the': 0.008712487899322363, 'prophecies': 0.000968054211035818, 'call': 0.018393030009680542, 'could': 0.008712487899322363, 'wadnt': 0.000968054211035818, 'aint': 0.02420135527589545, 'know': 0.060019361084220714, 'think': 0.007744433688286544, 'fool': 0.000968054211035818, 'ayy': 0.003872216844143272, 'bop': 0.001936108422071636, 'im': 0.00484027105517909, 'my': 0.005808325266214908, 'believe': 0.015488867376573089, 'to': 0.008712487899322363, 'feel': 0.006776379477250726, 'get': 0.007744433688286544, 'at': 0.000968054211035818, 'got': 0.028073572120038724, 'ever': 0.010648596321393998, 'a': 0.007744433688286544, 'done': 0.00484027105517909, 'layin': 0.000968054211035818, 'finna': 0.001936108422071636, 'were': 0.017424975798644726, 'deal': 0.000968054211035818, 'killin': 0.000968054211035818, 'you': 0.00484027105517909, 'wake': 0.000968054211035818, 'cant': 0.008712487899322363, 'gotta': 0.00968054211035818, 'wonder': 0.000968054211035818, 'keep': 0.000968054211035818, 'that': 0.00968054211035818, 'back': 0.001936108422071636, 'askin': 0.001936108422071636, 'see': 0.016456921587608905, 'lackin': 0.000968054211035818, 'packin': 0.000968054211035818, 'youre': 0.000968054211035818, 'dont': 0.016456921587608905, 'never': 0.003872216844143272, 'need': 0.005808325266214908, 'up': 0.000968054211035818, 'was': 0.010648596321393998, 'wouldnt': 0.001936108422071636, 'like': 0.00968054211035818, 'good': 0.001936108422071636, 'all': 0.005808325266214908, 'do': 0.008712487899322363, 'wish': 0.000968054211035818, 'lil': 0.000968054211035818, 'came': 0.003872216844143272, 'scrape': 0.000968054211035818, 'can': 0.013552758954501452, 'now': 0.002904162633107454, 'when': 0.005808325266214908, 'real': 0.006776379477250726, 'want': 0.026137463697967087, 'worry': 0.001936108422071636, 'around': 0.000968054211035818, 'been': 0.001936108422071636, 'in': 0.00484027105517909, 'but': 0.000968054211035818, 'as': 0.000968054211035818, 'before': 0.000968054211035818, 'sometimes': 0.000968054211035818, 'gonna': 0.002904162633107454, 'from': 0.00484027105517909, 'are': 0.003872216844143272, 'out': 0.002904162633107454, 'unattended': 0.000968054211035818, 'would': 0.003872216844143272, 'wait': 0.001936108422071636, 'be': 0.012584704743465635, 'still': 0.003872216844143272, 'went': 0.001936108422071636, 'love': 0.007744433688286544, 'lose': 0.001936108422071636, 'did': 0.000968054211035818, 'hear': 0.001936108422071636, 'dearly': 0.000968054211035818, 'rock': 0.000968054211035818, 'wanna': 0.003872216844143272, 'bout': 0.00968054211035818, 'wan': 0.001936108422071636, 'and': 0.022265246853823813, 'tell': 0.006776379477250726, 'together': 0.000968054211035818, 'really': 0.00484027105517909, 'start': 0.001936108422071636, 'better': 0.003872216844143272, 'will': 0.000968054211035818, 'walk': 0.001936108422071636, 'contest': 0.000968054211035818, 'put': 0.001936108422071636, 'cause': 0.001936108422071636, 'there': 0.000968054211035818, 'with': 0.001936108422071636, 'mama': 0.001936108422071636, 'for': 0.006776379477250726, 'nigga': 0.002904162633107454, 'down': 0.002904162633107454, 'slurp': 0.000968054211035818, 'even': 0.000968054211035818, 'so': 0.00484027105517909, 'wishing': 0.000968054211035818, 'slip': 0.001936108422071636, 'might': 0.005808325266214908, 'actin': 0.006776379477250726, 'scared': 0.002904162633107454, 'always': 0.003872216844143272, 'niggas': 0.010648596321393998, 'bagged': 0.000968054211035818, 'by': 0.000968054211035818, 'try': 0.000968054211035818, 'fried': 0.000968054211035818, 'gon': 0.007744433688286544, 'expected': 0.001936108422071636, 'climb': 0.000968054211035818, 'on': 0.000968054211035818, 'worth': 0.000968054211035818, 'wont': 0.000968054211035818, 'should': 0.003872216844143272, 'just': 0.00484027105517909, 'listen': 0.000968054211035818, 'heard': 0.001936108422071636, 'understand': 0.015488867376573089, 'probably': 0.00484027105517909, 'if': 0.001936108422071636, 'hearing': 0.000968054211035818, 'feels': 0.000968054211035818, 'hate': 0.001936108422071636, 'miss': 0.002904162633107454, 'spite': 0.000968054211035818, 'they': 0.000968054211035818, 'i': 0.011616650532429816, 'find': 0.001936108422071636, 'into': 0.000968054211035818, 'come': 0.001936108422071636, 'this': 0.003872216844143272, 'since': 0.000968054211035818, 'begging': 0.000968054211035818, 'tried': 0.000968054211035818, 'talking': 0.000968054211035818, 'getting': 0.000968054211035818, 'motherfucker': 0.000968054211035818, 'made': 0.003872216844143272, 'make': 0.002904162633107454, 'havin': 0.000968054211035818, 'dab': 0.000968054211035818, 'pop': 0.001936108422071636, 'tatted': 0.000968054211035818, 'turn': 0.000968054211035818, 'hit': 0.006776379477250726, 'gettin': 0.000968054211035818, 'true': 0.000968054211035818, 'coulda': 0.000968054211035818, 'blow': 0.000968054211035818, 'scramblin': 0.000968054211035818, 'forgot': 0.000968054211035818, 'only': 0.002904162633107454, 'old': 0.000968054211035818, 'goin': 0.000968054211035818, 'whats': 0.000968054211035818, 'rappin': 0.001936108422071636, 'look': 0.013552758954501452, 'fucked': 0.000968054211035818, 'blame': 0.000968054211035818, 'let': 0.000968054211035818, 'last': 0.000968054211035818, 'go': 0.02032913843175218, 'eat': 0.000968054211035818, 'fuck': 0.001936108422071636, 'sound': 0.000968054211035818, 'wasnt': 0.000968054211035818, 'everything': 0.000968054211035818, 'looking': 0.000968054211035818, 'things': 0.000968054211035818, 'cry': 0.000968054211035818, 'after': 0.000968054211035818, 'gone': 0.000968054211035818, 'work': 0.00484027105517909, 'again': 0.002904162633107454, 'drop': 0.003872216844143272, 'asked': 0.000968054211035818, 'no': 0.000968054211035818, 'had': 0.003872216844143272, 'selling': 0.003872216844143272, 'knew': 0.005808325266214908, 'felt': 0.001936108422071636, 'saw': 0.000968054211035818, 'die': 0.003872216844143272, 'chase': 0.000968054211035818, 'desperate': 0.001936108422071636, 'bro': 0.001936108422071636, 'aim': 0.003872216844143272, 'stay': 0.000968054211035818, 'owe': 0.000968054211035818, 'mean': 0.000968054211035818, 'fail': 0.000968054211035818, 'too': 0.002904162633107454, 'constantly': 0.000968054211035818, 'throw': 0.001936108422071636, 'not': 0.002904162633107454, 'coppin': 0.000968054211035818, 'say': 0.001936108422071636, 'actually': 0.000968054211035818, 'stupid': 0.000968054211035818, 'okay': 0.000968054211035818, 'catch': 0.008712487899322363, 'shine': 0.000968054211035818, 'read': 0.000968054211035818, 'exposing': 0.000968054211035818, 'kiss': 0.001936108422071636, 'she': 0.001936108422071636, 'chose': 0.000968054211035818, 'than': 0.000968054211035818, 'woke': 0.000968054211035818, 'attackin': 0.000968054211035818, 'sayin': 0.000968054211035818, 'holier': 0.000968054211035818, 'preaching': 0.000968054211035818, 'summertime': 0.000968054211035818, 'fine': 0.000968054211035818, 'wantin': 0.000968054211035818, 'drink': 0.000968054211035818, 'smoke': 0.000968054211035818, 'its': 0.000968054211035818, 'threw': 0.000968054211035818, 'home': 0.000968054211035818, 'moanin': 0.005808325266214908, 'wintertime': 0.000968054211035818, 'beat': 0.000968054211035818, 'left': 0.000968054211035818, 'kinda': 0.000968054211035818, 'provokin': 0.000968054211035818, 'shouldnt': 0.000968054211035818, 'through': 0.000968054211035818, 'pitchfork': 0.000968054211035818, 'pregnant': 0.000968054211035818, 'wonderin': 0.000968054211035818, 'have': 0.000968054211035818, 'we': 0.000968054211035818, 'act': 0.000968054211035818, 'flippin': 0.000968054211035818, 'god': 0.000968054211035818, 'forget': 0.000968054211035818, 'told': 0.000968054211035818, 'doubt': 0.001936108422071636, 'one': 0.002904162633107454, 'maneuver': 0.000968054211035818, 'mastered': 0.001936108422071636, 'wit': 0.000968054211035818, 'take': 0.000968054211035818, 'sure': 0.000968054211035818, 'complain': 0.000968054211035818, 'hold': 0.000968054211035818, 'runaway': 0.000968054211035818, 'refuse': 0.001936108422071636, 'thus': 0.000968054211035818, 'lame': 0.001936108422071636, 'already': 0.000968054211035818, 'off': 0.000968054211035818, 'seen': 0.000968054211035818, 'play': 0.000968054211035818, 'stop': 0.002904162633107454, 'give': 0.001936108422071636, 'listening': 0.001936108422071636, 'expect': 0.000968054211035818, 'desire': 0.000968054211035818, 'running': 0.000968054211035818, 'buying': 0.000968054211035818, 'stand': 0.000968054211035818, 'deserve': 0.000968054211035818, 'stuck': 0.000968054211035818, 'happiness': 0.000968054211035818, 'crying': 0.000968054211035818, 'lyin': 0.000968054211035818, 'fight': 0.000968054211035818, 'it': 0.000968054211035818, 'cleaned': 0.000968054211035818, 'talk': 0.000968054211035818, 'funny': 0.000968054211035818, 'bit': 0.000968054211035818, 'doin': 0.000968054211035818, 'cando': 0.000968054211035818, 'candoyoucan': 0.000968054211035818, 'smile': 0.002904162633107454, 'canceled': 0.000968054211035818, 'shinin': 0.000968054211035818, 'is': 0.000968054211035818, 'place': 0.000968054211035818, 'daily': 0.000968054211035818, 'thinking': 0.006776379477250726, 'damn': 0.003872216844143272, 'needin': 0.000968054211035818, 'christmas': 0.000968054211035818, 'shes': 0.001936108422071636, 'rich': 0.000968054211035818, 'bring': 0.001936108422071636, 'claim': 0.000968054211035818, 'ready': 0.000968054211035818, 'how': 0.000968054211035818, 'today': 0.001936108422071636, 'used': 0.003872216844143272, 'defensive': 0.000968054211035818, 'protect': 0.000968054211035818}"
