Word,Frequency
yo,"{'cherie': 0.058823529411764705, 'i': 0.058823529411764705, 'bitch': 0.11764705882352941, 'obama': 0.058823529411764705, 'nigga': 0.11764705882352941, 'it': 0.11764705882352941, 'yo': 0.058823529411764705, 'job': 0.058823529411764705, 'man': 0.058823529411764705, 'boys': 0.058823529411764705, 'sabía': 0.058823529411764705, 'estoy': 0.058823529411764705, 'cash': 0.058823529411764705, 'gotti': 0.058823529411764705}"
cherie,"{'we': 0.1111111111111111, 'i': 0.8888888888888888}"
we,"{'here': 0.008298755186721992, 'first': 0.008298755186721992, 'both': 0.016597510373443983, 'ever': 0.012448132780082987, 'can': 0.04979253112033195, 'used': 0.004149377593360996, 'started': 0.004149377593360996, 'got': 0.02074688796680498, 'was': 0.012448132780082987, 'just': 0.07468879668049792, 'jamaican': 0.004149377593360996, 'some': 0.004149377593360996, 'have': 0.02074688796680498, 'get': 0.008298755186721992, 'done': 0.004149377593360996, 'up': 0.004149377593360996, 'runnin': 0.004149377593360996, 'do': 0.08713692946058091, 'had': 0.004149377593360996, 'arrange': 0.004149377593360996, 'need': 0.004149377593360996, 'ready': 0.004149377593360996, 'congratulate': 0.004149377593360996, 'ridin': 0.004149377593360996, 'ship': 0.008298755186721992, 'on': 0.029045643153526972, 'dont': 0.02074688796680498, 'livin': 0.008298755186721992, 'let': 0.004149377593360996, 'stack': 0.004149377593360996, 'ball': 0.004149377593360996, 'tax': 0.004149377593360996, 'might': 0.004149377593360996, 'drink': 0.004149377593360996, 'black': 0.004149377593360996, 'fall': 0.02074688796680498, 'blowin': 0.012448132780082987, 'gon': 0.02074688796680498, 'about': 0.012448132780082987, 'doin': 0.004149377593360996, 'in': 0.012448132780082987, 'go': 0.012448132780082987, 'lust': 0.024896265560165973, 'love': 0.024896265560165973, 'drug': 0.024896265560165973, 'coppin': 0.024896265560165973, 'came': 0.008298755186721992, 'aint': 0.016597510373443983, 'were': 0.008298755186721992, 'been': 0.008298755186721992, 'play': 0.008298755186721992, 'trap': 0.04979253112033195, 'the': 0.012448132780082987, 'wrap': 0.004149377593360996, 'pop': 0.004149377593360996, 'take': 0.012448132780082987, 'flying': 0.004149377593360996, 'call': 0.016597510373443983, 'high': 0.008298755186721992, 'die': 0.016597510373443983, 'missing': 0.004149377593360996, 'exchanged': 0.004149377593360996, 'count': 0.016597510373443983, 'pull': 0.004149377593360996, 'fold': 0.004149377593360996, 'drill': 0.004149377593360996, 'ran': 0.008298755186721992, 'burning': 0.004149377593360996, 'bring': 0.004149377593360996, 'hope': 0.004149377593360996, 'winning': 0.004149377593360996, 'talking': 0.004149377593360996, 'know': 0.02074688796680498, 'coming': 0.004149377593360996, 'kickin': 0.004149377593360996, 'rented': 0.004149377593360996, 'squashed': 0.004149377593360996, 'set': 0.004149377593360996, 'carry': 0.004149377593360996, 'country': 0.004149377593360996, 'saw': 0.004149377593360996, 'playin': 0.004149377593360996, 'brought': 0.008298755186721992, 'roll': 0.004149377593360996, 'come': 0.004149377593360996, 'running': 0.004149377593360996, 'putting': 0.004149377593360996, 'turning': 0.004149377593360996, 'broke': 0.004149377593360996}"
here,"{'5': 0.015151515151515152, 'tonight': 0.24242424242424243, 'i': 0.13636363636363635, 'in': 0.045454545454545456, 'focused': 0.015151515151515152, 'wake': 0.015151515151515152, 'go': 0.015151515151515152, 'ballin': 0.015151515151515152, 'drawin': 0.015151515151515152, 'she': 0.015151515151515152, 'baby': 0.015151515151515152, 'think': 0.015151515151515152, 'yeah': 0.015151515151515152, 'thats': 0.06060606060606061, 'nigga': 0.045454545454545456, 'now': 0.045454545454545456, 'what': 0.015151515151515152, 'on': 0.015151515151515152, 'with': 0.07575757575757576, 'we': 0.015151515151515152, 'and': 0.015151515151515152, 'right': 0.015151515151515152, 'permanently': 0.015151515151515152, 'grindin': 0.06060606060606061, 'expensive': 0.015151515151515152, 'twenties': 0.015151515151515152, 'you': 0.015151515151515152}"
5,"{'oclock': 0.25, 'years': 0.5, 'but': 0.25}"
oclock,{'in': 1.0}
in,"{'the': 0.42790697674418604, 'here': 0.02558139534883721, 'my': 0.10930232558139535, 'these': 0.009302325581395349, 'this': 0.053488372093023255, 'your': 0.01627906976744186, 'magic': 0.002325581395348837, 'traffic': 0.004651162790697674, 'plastic': 0.004651162790697674, 'that': 0.030232558139534883, 'new': 0.0069767441860465115, 'threw': 0.002325581395348837, 'saint': 0.002325581395348837, 'front': 0.002325581395348837, 'class': 0.002325581395348837, 'maryland': 0.002325581395348837, 'va': 0.002325581395348837, 'emory': 0.002325581395348837, 'niggas': 0.002325581395348837, 'a': 0.03488372093023256, 'every': 0.002325581395348837, 'and': 0.004651162790697674, 'with': 0.002325581395348837, 'roll': 0.002325581395348837, 'stash': 0.002325581395348837, 'me': 0.002325581395348837, 'place': 0.004651162790697674, 'chains': 0.002325581395348837, 'tell': 0.002325581395348837, 'look': 0.002325581395348837, 'love': 0.002325581395348837, 'bitch': 0.002325581395348837, 'it': 0.0069767441860465115, 'jail': 0.018604651162790697, 'bales': 0.002325581395348837, 'florida': 0.002325581395348837, 'las': 0.002325581395348837, 'california': 0.002325581395348837, 'tennessee': 0.002325581395348837, 'china': 0.002325581395348837, 'im': 0.002325581395348837, 'coat': 0.004651162790697674, 'prison': 0.002325581395348837, 'hell': 0.002325581395348837, 'cages': 0.002325581395348837, 'cleaner': 0.002325581395348837, 'tonight': 0.002325581395348837, 'real': 0.002325581395348837, 'vegas': 0.002325581395348837, 'him': 0.013953488372093023, 'em': 0.01627906976744186, 'case': 0.0069767441860465115, 'town': 0.002325581395348837, 'pat': 0.002325581395348837, 'office': 0.002325581395348837, 'def': 0.002325581395348837, 'twenty': 0.002325581395348837, 'one': 0.013953488372093023, 'peace': 0.002325581395348837, 'his': 0.013953488372093023, 'if': 0.004651162790697674, 'two': 0.002325581395348837, 'ya': 0.002325581395348837, 'ityou': 0.002325581395348837, 'june': 0.002325581395348837, 'disguise': 0.002325581395348837, 'them': 0.011627906976744186, '20': 0.002325581395348837, 'her': 0.002325581395348837, 'tha': 0.0069767441860465115, 'la': 0.004651162790697674, 'dolby': 0.002325581395348837, 'clubs': 0.002325581395348837, 'you': 0.002325581395348837, 'their': 0.002325581395348837, 'how': 0.002325581395348837, 'some': 0.002325581395348837, 'over': 0.002325581395348837, 'jazzy': 0.002325581395348837, 'nigga': 0.002325581395348837, 'thug': 0.002325581395348837, 'maseratis': 0.002325581395348837, 'turn': 0.002325581395348837, 'they': 0.002325581395348837, 'falling': 0.002325581395348837, 'now': 0.002325581395348837, 'slomo': 0.002325581395348837}"
the,"{'morning': 0.00984102952308857, 'belvey': 0.006056018168054504, 'tooth': 0.006056018168054504, 'things': 0.002271006813020439, 'night': 0.003785011355034065, 'world': 0.02195306585919758, 'ladies': 0.001514004542013626, 'gcode': 0.002271006813020439, 'alarm': 0.001514004542013626, 'bomb': 0.001514004542013626, 'code': 0.001514004542013626, 'only': 0.003028009084027252, 'i': 0.001514004542013626, 'knot': 0.001514004542013626, 'task': 0.001514004542013626, 'cold': 0.001514004542013626, 'heaven': 0.001514004542013626, 'middle': 0.004542013626040878, 'whole': 0.021196063588190765, 'laser': 0.001514004542013626, 'kitchen': 0.006813020439061317, 'realest': 0.00757002271006813, 'floor': 0.005299015897047691, 'blow': 0.002271006813020439, 'fuck': 0.014383043149129448, 'day': 0.003785011355034065, 'table': 0.003785011355034065, 'benzo': 0.000757002271006813, 'parkin': 0.000757002271006813, 'hunnids': 0.001514004542013626, 'fifties': 0.001514004542013626, 'fives': 0.001514004542013626, 'mall': 0.009084027252081756, 'twenties': 0.001514004542013626, 'money': 0.008327024981074944, 'spot': 0.010598031794095382, 'family': 0.000757002271006813, 'block': 0.015897047691143074, 'drop': 0.001514004542013626, 'states': 0.000757002271006813, 'nets': 0.000757002271006813, 'sclass': 0.000757002271006813, 'operation': 0.000757002271006813, 'caravan': 0.000757002271006813, 'show': 0.003785011355034065, 'road': 0.003028009084027252, 'pa': 0.000757002271006813, 'wars': 0.000757002271006813, 'club': 0.03028009084027252, 'head': 0.016654049962149888, 'drugs': 0.003028009084027252, 'love': 0.003785011355034065, 'hood': 0.006813020439061317, '80s': 0.000757002271006813, 'nigga': 0.003785011355034065, 'situation': 0.000757002271006813, 'knob': 0.001514004542013626, 'time': 0.003028009084027252, 'crib': 0.000757002271006813, 'nerve': 0.000757002271006813, 'molly': 0.001514004542013626, 'type': 0.002271006813020439, 'dealership': 0.000757002271006813, 'super': 0.000757002271006813, 'fame': 0.004542013626040878, 'jesus': 0.001514004542013626, 'go': 0.001514004542013626, 'top': 0.011355034065102196, 'city': 0.004542013626040878, 'earth': 0.000757002271006813, 'front': 0.002271006813020439, 'line': 0.000757002271006813, 'hustler': 0.000757002271006813, 'more': 0.001514004542013626, 'hell': 0.002271006813020439, 'dumb': 0.000757002271006813, 'years': 0.000757002271006813, 'mornings': 0.000757002271006813, 'anthem': 0.000757002271006813, 'brave': 0.000757002271006813, 'american': 0.005299015897047691, 'real': 0.006813020439061317, 'rari': 0.000757002271006813, 'estate': 0.000757002271006813, 'bait': 0.001514004542013626, 'best': 0.004542013626040878, 'recipe': 0.000757002271006813, 'candles': 0.000757002271006813, 'cake': 0.000757002271006813, 'game': 0.0174110522331567, 'late': 0.001514004542013626, 'waist': 0.000757002271006813, 'tv': 0.001514004542013626, 'cd': 0.000757002271006813, 'bp': 0.000757002271006813, 'screen': 0.000757002271006813, 'thing': 0.001514004542013626, 'unbearable': 0.000757002271006813, 'sheriff': 0.000757002271006813, 'name': 0.006056018168054504, 'travelin': 0.001514004542013626, 'beat': 0.002271006813020439, 'remix': 0.000757002271006813, 'window': 0.000757002271006813, 'motherfuckin': 0.001514004542013626, 'choppas': 0.000757002271006813, 'back': 0.024224072672218017, 'competition': 0.000757002271006813, 'judge': 0.002271006813020439, 'homie': 0.000757002271006813, 'thug': 0.001514004542013626, 'grab': 0.000757002271006813, 'homies': 0.000757002271006813, 'automatic': 0.000757002271006813, 'vip': 0.000757002271006813, 'white': 0.00757002271006813, 'bottom': 0.006813020439061317, 'closet': 0.000757002271006813, 'magic': 0.000757002271006813, 'flashes': 0.000757002271006813, 'westside': 0.000757002271006813, 'bitch': 0.003028009084027252, 'rest': 0.006056018168054504, 'same': 0.01514004542013626, 'car': 0.003785011355034065, 'answers': 0.000757002271006813, 'school': 0.000757002271006813, 'business': 0.005299015897047691, 'way': 0.01514004542013626, 'scale': 0.004542013626040878, 'numbers': 0.000757002271006813, 'pimp': 0.001514004542013626, 'man': 0.002271006813020439, 'streets': 0.016654049962149888, '5000': 0.000757002271006813, 'thugs': 0.000757002271006813, 'first': 0.004542013626040878, 'flow': 0.002271006813020439, 'scrilla': 0.001514004542013626, 'truth': 0.006813020439061317, 'dope': 0.012112036336109008, 'gangstas': 0.005299015897047691, 'street': 0.012112036336109008, 'hard': 0.002271006813020439, 'products': 0.001514004542013626, 'work': 0.006056018168054504, 'latex': 0.001514004542013626, 'definition': 0.001514004542013626, 'closer': 0.001514004542013626, 'mariano': 0.001514004542013626, 'mariott': 0.001514004542013626, 'speedboat': 0.001514004542013626, 'gs': 0.001514004542013626, 'keys': 0.001514004542013626, 'corporate': 0.001514004542013626, 'doctor': 0.001514004542013626, 'timell': 0.001514004542013626, 'light': 0.002271006813020439, 'hate': 0.001514004542013626, 'hold': 0.000757002271006813, 'edge': 0.002271006813020439, 'flatscreen': 0.000757002271006813, 'fucks': 0.000757002271006813, '50': 0.000757002271006813, 'storm': 0.000757002271006813, 'boy': 0.002271006813020439, 'doves': 0.000757002271006813, 'caine': 0.000757002271006813, 'hand': 0.000757002271006813, 'grand': 0.000757002271006813, 'true': 0.000757002271006813, 'law': 0.000757002271006813, 'black': 0.000757002271006813, 'pot': 0.006056018168054504, 'bag': 0.003028009084027252, 'check': 0.002271006813020439, 'c': 0.000757002271006813, 'gmc': 0.000757002271006813, '265': 0.002271006813020439, 'long': 0.000757002271006813, 'room': 0.001514004542013626, 'bed': 0.004542013626040878, 'bread': 0.002271006813020439, 'house': 0.006813020439061317, 'chain': 0.003028009084027252, 'skills': 0.000757002271006813, 'bills': 0.000757002271006813, 'low': 0.000757002271006813, 'lot': 0.003028009084027252, 'chance': 0.000757002271006813, 'case': 0.000757002271006813, 'lights': 0.001514004542013626, 'police': 0.001514004542013626, 'pill': 0.000757002271006813, 'whip': 0.001514004542013626, 'pussy': 0.002271006813020439, 'niggas': 0.000757002271006813, 'hoes': 0.001514004542013626, 'titties': 0.000757002271006813, 'a': 0.001514004542013626, 'corner': 0.001514004542013626, 'bus': 0.000757002271006813, 'dick': 0.000757002271006813, 'fuckin': 0.000757002271006813, 'games': 0.001514004542013626, 'paper': 0.003028009084027252, 'haters': 0.003028009084027252, 'fakers': 0.003028009084027252, 'dark': 0.003785011355034065, 'jizzle': 0.000757002271006813, 'couch': 0.000757002271006813, 'swiss': 0.000757002271006813, 'irs': 0.000757002271006813, 'bill': 0.000757002271006813, 'weed': 0.000757002271006813, 'pink': 0.000757002271006813, 'moment': 0.001514004542013626, 'bar': 0.001514004542013626, 'hype': 0.000757002271006813, 'two': 0.001514004542013626, 'walls': 0.001514004542013626, 'rules': 0.001514004542013626, 'seats': 0.004542013626040878, 'most': 0.004542013626040878, 'windows': 0.001514004542013626, 'door': 0.000757002271006813, 'legion': 0.000757002271006813, 'moon': 0.000757002271006813, 'dj': 0.000757002271006813, 'flake': 0.000757002271006813, 'soda': 0.000757002271006813, 'pound': 0.003785011355034065, 'fifth': 0.004542013626040878, 'chevy': 0.003785011355034065, 'wrap': 0.001514004542013626, 'k9s': 0.000757002271006813, 'tires': 0.000757002271006813, 'wood': 0.000757002271006813, 'underground': 0.000757002271006813, 'connect': 0.000757002271006813, 'clientele': 0.000757002271006813, 'hoax': 0.000757002271006813, 'feds': 0.003028009084027252, 'deal': 0.002271006813020439, 'one': 0.004542013626040878, 'xxl': 0.000757002271006813, 'forbes': 0.000757002271006813, 'mansions': 0.000757002271006813, 'riches': 0.000757002271006813, 'jail': 0.000757002271006813, 'yams': 0.003028009084027252, 'projects': 0.001514004542013626, 'twelve': 0.000757002271006813, 'recession': 0.001514004542013626, 'eastside': 0.000757002271006813, 'northside': 0.000757002271006813, 'contracts': 0.000757002271006813, 'courtroom': 0.000757002271006813, 'map': 0.000757002271006813, 'charts': 0.000757002271006813, 'greatest': 0.000757002271006813, 'lord': 0.000757002271006813, 'clutching': 0.000757002271006813, 'lamb': 0.000757002271006813, 'phantom': 0.001514004542013626, 'backseat': 0.000757002271006813, 'dough': 0.000757002271006813, 'diamonds': 0.000757002271006813, 'strippers': 0.000757002271006813, 'wall': 0.000757002271006813, 'cars': 0.000757002271006813, 'frito': 0.000757002271006813, 'place': 0.000757002271006813, 'belt': 0.000757002271006813, '9': 0.000757002271006813, 'gloves': 0.000757002271006813, 'porsche': 0.001514004542013626, 'm': 0.000757002271006813, 'neighborhood': 0.001514004542013626, 'trap': 0.012869038607115822, 'prison': 0.000757002271006813, 'bricks': 0.000757002271006813, 'other': 0.000757002271006813, 'wheels': 0.000757002271006813, 'oneway': 0.000757002271006813, 'runway': 0.000757002271006813, 'year': 0.000757002271006813, 'hummer': 0.000757002271006813, 'birds': 0.001514004542013626, 'summer': 0.001514004542013626, 'federales': 0.000757002271006813, 'bullshit': 0.002271006813020439, 'peach': 0.000757002271006813, 'highway': 0.001514004542013626, 'coupe': 0.002271006813020439, 'shit': 0.003028009084027252, 'six': 0.000757002271006813, 'fed': 0.000757002271006813, 'grain': 0.000757002271006813, 'script': 0.000757002271006813, 'air': 0.006056018168054504, 'start': 0.000757002271006813, 'sky': 0.006813020439061317, 'cameras': 0.000757002271006813, 'glamor': 0.000757002271006813, 'mood': 0.000757002271006813, 'reverend': 0.000757002271006813, 'question': 0.000757002271006813, 'woop': 0.000757002271006813, 'red': 0.001514004542013626, 'old': 0.000757002271006813, 'mornin': 0.000757002271006813, 'third': 0.000757002271006813, 'folks': 0.000757002271006813, 'shop': 0.000757002271006813, 'frame': 0.000757002271006813, 'purp': 0.000757002271006813, 'bin': 0.000757002271006813, 'choppers': 0.003785011355034065, 'whopper': 0.000757002271006813, 'leaves': 0.000757002271006813, 'trees': 0.001514004542013626, 'kis': 0.000757002271006813, 'stove': 0.002271006813020439, 'crowd': 0.003028009084027252, 'motherfucking': 0.002271006813020439, 'four': 0.001514004542013626, 'heart': 0.000757002271006813, 'program': 0.000757002271006813, 'tape': 0.001514004542013626, 'ground': 0.000757002271006813, 'atl': 0.000757002271006813, 'carpenter': 0.000757002271006813, 'roof': 0.000757002271006813, 'coupes': 0.000757002271006813, 'conversation': 0.000757002271006813, 'brand': 0.000757002271006813, 'brains': 0.000757002271006813, 'sequel': 0.000757002271006813, 'people': 0.001514004542013626, 'author': 0.000757002271006813, 'book': 0.000757002271006813, 'do': 0.003028009084027252, 'trunk': 0.003785011355034065, 'freak': 0.000757002271006813, 'right': 0.002271006813020439, 'coop': 0.000757002271006813, 'bedroom': 0.000757002271006813, 'stick': 0.000757002271006813, 'deck': 0.000757002271006813, 'grassheyy': 0.000757002271006813, 'side': 0.003785011355034065, 'trenches': 0.001514004542013626, 'player': 0.000757002271006813, 'ones': 0.000757002271006813, 'tool': 0.001514004542013626, 'bitches': 0.000757002271006813, 'boss': 0.000757002271006813, 'absolute': 0.000757002271006813, 'crack': 0.000757002271006813, 'hearts': 0.000757002271006813, 'magazine': 0.000757002271006813, 'truckload': 0.000757002271006813, 'jacksons': 0.000757002271006813, 'hustlers': 0.002271006813020439, 'phones': 0.000757002271006813, '7': 0.000757002271006813, 'decatur': 0.000757002271006813, 'order': 0.000757002271006813, 'switch': 0.000757002271006813, 'hundred': 0.000757002271006813, 'size': 0.000757002271006813, 'rap': 0.001514004542013626, 'powder': 0.002271006813020439, 'next': 0.000757002271006813, 'voice': 0.000757002271006813, 'el': 0.000757002271006813, 'ghetto': 0.000757002271006813, 'guy': 0.001514004542013626, 'fallen': 0.000757002271006813, 'struggle': 0.000757002271006813, 'stop': 0.000757002271006813, 'humbug': 0.000757002271006813, 'dos': 0.000757002271006813, 'govment': 0.000757002271006813, 'dishwasher': 0.000757002271006813, 'bone': 0.000757002271006813, 'nine': 0.000757002271006813, 'source': 0.000757002271006813, 'set': 0.000757002271006813, 'zone': 0.003028009084027252, 'change': 0.002271006813020439, 'cross': 0.000757002271006813, 'double': 0.001514004542013626, 'stand': 0.000757002271006813, 'train': 0.000757002271006813, 'centerfold': 0.000757002271006813, 'resume': 0.000757002271006813, 'mirror': 0.000757002271006813, 'winter': 0.000757002271006813, '599': 0.000757002271006813, 'jacob': 0.000757002271006813, 'lobsters': 0.000757002271006813, 'sweets': 0.000757002271006813, 'kicks': 0.000757002271006813, 'cap': 0.000757002271006813, 'strap': 0.000757002271006813, 'stones': 0.000757002271006813, 'watch': 0.000757002271006813, 'paint': 0.000757002271006813, 'fos': 0.000757002271006813, 'grey': 0.000757002271006813, 'cranberry': 0.000757002271006813, 'squares': 0.002271006813020439, 'wait': 0.000757002271006813, 'stamps': 0.000757002271006813, 'good': 0.000757002271006813, 'bad': 0.000757002271006813, 'rag': 0.000757002271006813, 'chopper': 0.000757002271006813, 'background': 0.000757002271006813, 'magnum': 0.000757002271006813, 'ville': 0.000757002271006813, 'mactown': 0.000757002271006813, 'atown': 0.000757002271006813, 'ecstasy': 0.000757002271006813, 'shower': 0.000757002271006813, 'ten': 0.000757002271006813, 'matter': 0.000757002271006813, 'passenger': 0.001514004542013626, 'story': 0.001514004542013626, 'bail': 0.000757002271006813, 'realist': 0.000757002271006813, 'mountains': 0.001514004542013626, 'coke': 0.000757002271006813, 'motor': 0.000757002271006813, 'left': 0.000757002271006813, 'lermitage': 0.000757002271006813, 'the': 0.000757002271006813, 'mirage': 0.000757002271006813, 'mansion': 0.000757002271006813, 'new': 0.000757002271006813, 'drum': 0.000757002271006813, 'beef': 0.000757002271006813, 'lobby': 0.000757002271006813, 'wraith': 0.000757002271006813, 'stars': 0.001514004542013626, 'tears': 0.000757002271006813, 'topic': 0.000757002271006813, 'mac11': 0.000757002271006813, 'baking': 0.000757002271006813, 'chef': 0.000757002271006813, 'flip': 0.000757002271006813, 'chains': 0.001514004542013626, 'chop': 0.000757002271006813, 'ceilin': 0.000757002271006813, 'buildin': 0.001514004542013626, 'county': 0.000757002271006813, 'sauce': 0.000757002271006813, 'yellow': 0.000757002271006813, 'problem': 0.000757002271006813, 'toolie': 0.000757002271006813, 'doorway': 0.000757002271006813, 'gold': 0.000757002271006813, 'ho': 0.001514004542013626, 'skrilla': 0.000757002271006813, 'general': 0.000757002271006813, 'tank': 0.000757002271006813, 'past': 0.000757002271006813, 'telly': 0.000757002271006813, 'latest': 0.000757002271006813, 'serving': 0.000757002271006813, 'jackin': 0.000757002271006813, 'hating': 0.000757002271006813, 'selling': 0.000757002271006813, 'snowman': 0.001514004542013626, 'state': 0.001514004542013626, 'weight': 0.000757002271006813, 'ninteen': 0.000757002271006813, 'bank': 0.000757002271006813, 'clique': 0.000757002271006813, 'clouds': 0.000757002271006813, 'limit': 0.001514004542013626, 'bible': 0.000757002271006813, 'bags': 0.000757002271006813, 'cash': 0.001514004542013626, 'ups': 0.000757002271006813, 'downs': 0.000757002271006813, 'os': 0.000757002271006813, 'pounds': 0.000757002271006813, 'word': 0.001514004542013626, 'troops': 0.000757002271006813, 'rim': 0.000757002271006813, 'tims': 0.000757002271006813, 'getgo': 0.000757002271006813, 'max': 0.000757002271006813, 'sport': 0.000757002271006813, 'goon': 0.000757002271006813, 'star': 0.000757002271006813, 'booty': 0.000757002271006813, 'matrix': 0.000757002271006813, 'crew': 0.000757002271006813}"
morning,"{'might': 0.0625, 'get': 0.0625, 'and': 0.1875, 'like': 0.25, 'three': 0.0625, 'so': 0.0625, 'ima': 0.25, 'noon': 0.0625}"
might,"{'be': 0.12121212121212122, 'marrymarry': 0.09090909090909091, 'need': 0.030303030303030304, 'fall': 0.06060606060606061, 'mean': 0.06060606060606061, 'remember': 0.030303030303030304, 'just': 0.21212121212121213, 'as': 0.06060606060606061, 'get': 0.030303030303030304, 'stop': 0.030303030303030304, 'not': 0.030303030303030304, 'marry': 0.15151515151515152, 'stick': 0.030303030303030304, 'fly': 0.030303030303030304, 'can': 0.030303030303030304}"
