Word,Frequency
nobody,"{'knows': 0.17647058823529413, 'want': 0.058823529411764705, 'safe': 0.5882352941176471, 'i': 0.058823529411764705, 'yeah': 0.058823529411764705, 'man': 0.058823529411764705}"
knows,"{'what': 0.25, 'they': 0.08333333333333333, 'i': 0.08333333333333333, 'whats': 0.08333333333333333, 'til': 0.08333333333333333, 'if': 0.3333333333333333, 'who': 0.08333333333333333}"
what,"{'i': 0.1125, 'im': 0.06875, 'ive': 0.00625, 'come': 0.00625, 'to': 0.05, 'make': 0.0125, 'up': 0.09375, 'you': 0.09375, 'he': 0.05, 'oww': 0.075, 'it': 0.0375, 'what': 0.00625, 'is': 0.025, 'we': 0.1125, 'this': 0.00625, 'ayy': 0.01875, 'yeah': 0.00625, 'that': 0.0375, 'these': 0.0125, 'uh': 0.00625, 'really': 0.00625, 'she': 0.00625, 'they': 0.025, 'happened': 0.0125, 'where': 0.00625, 'in': 0.00625, 'thatll': 0.00625, 'playing': 0.00625, 'norths': 0.00625, 'thats': 0.00625, 'your': 0.00625, 'my': 0.00625, 'a': 0.00625, 'the': 0.025, 'its': 0.0125, 'made': 0.00625, 'sniff': 0.00625, 'okay': 0.00625}"
i,"{'go': 0.007518796992481203, 'chose': 0.00322234156820623, 'got': 0.09452201933404941, 'cant': 0.02040816326530612, 'show': 0.004296455424274973, 'gotta': 0.01611170784103115, 'wont': 0.004296455424274973, 'delayed': 0.0010741138560687433, 'dealt': 0.0010741138560687433, 'was': 0.04189044038668099, 'done': 0.01288936627282492, 'say': 0.00644468313641246, 'sold': 0.0053705692803437165, 'make': 0.008592910848549946, 'dont': 0.0322234156820623, 'spray': 0.0010741138560687433, 'know': 0.03007518796992481, 'aint': 0.03329752953813104, 'wouldve': 0.0010741138560687433, 'just': 0.018259935553168637, 'do': 0.01288936627282492, 'wish': 0.004296455424274973, 'smell': 0.0010741138560687433, 'be': 0.01611170784103115, 'would': 0.008592910848549946, 'said': 0.022556390977443608, 'tongue': 0.0010741138560687433, 'come': 0.0021482277121374865, 'look': 0.004296455424274973, 'only': 0.0010741138560687433, 'need': 0.01611170784103115, 'front': 0.0010741138560687433, 'double': 0.0021482277121374865, 'catch': 0.0010741138560687433, 'had': 0.01611170784103115, 'get': 0.036519871106337275, 'think': 0.017185821697099892, 'slide': 0.0010741138560687433, 'eat': 0.0010741138560687433, 'give': 0.004296455424274973, 'came': 0.010741138560687433, 'wake': 0.0021482277121374865, 'clap': 0.0010741138560687433, 'black': 0.0021482277121374865, 'smash': 0.0010741138560687433, 'pass': 0.0021482277121374865, 'told': 0.011815252416756176, 'paint': 0.0021482277121374865, 'can': 0.01288936627282492, 'hate': 0.0010741138560687433, 'broke': 0.0010741138560687433, 'bet': 0.0021482277121374865, 'have': 0.004296455424274973, 'soaked': 0.0010741138560687433, 'cover': 0.0010741138560687433, 'pop': 0.0021482277121374865, 'use': 0.0010741138560687433, 'see': 0.017185821697099892, 'want': 0.022556390977443608, 'yeeeaah': 0.0010741138560687433, 'hope': 0.0021482277121374865, 'die': 0.015037593984962405, 'lived': 0.0021482277121374865, 'land': 0.0010741138560687433, 'guess': 0.004296455424274973, 'pray': 0.0010741138560687433, 'owe': 0.0021482277121374865, 'will': 0.004296455424274973, 'scored': 0.0021482277121374865, 'jam': 0.0021482277121374865, 'could': 0.01288936627282492, 'keep': 0.00644468313641246, 'pay': 0.0021482277121374865, 'invest': 0.0010741138560687433, 'tell': 0.004296455424274973, 'proceed': 0.0010741138560687433, 'mean': 0.010741138560687433, 'must': 0.0010741138560687433, 'like': 0.00322234156820623, 'managed': 0.0010741138560687433, 'sleep': 0.0010741138560687433, 'live': 0.00322234156820623, 'man': 0.0010741138560687433, 'who': 0.00644468313641246, 'that': 0.00644468313641246, 'hold': 0.0010741138560687433, 'love': 0.010741138560687433, 'taste': 0.0010741138560687433, 'guarantee': 0.0010741138560687433, 'rock': 0.0010741138560687433, 'stay': 0.008592910848549946, 'put': 0.0053705692803437165, 'really': 0.00322234156820623, 'made': 0.0021482277121374865, 'did': 0.0053705692803437165, 'burry': 0.0010741138560687433, 'let': 0.004296455424274973, 'reload': 0.0010741138560687433, 'sit': 0.0010741138560687433, 'smile': 0.0010741138560687433, 'placed': 0.0010741138560687433, 'you': 0.0010741138560687433, 'lost': 0.0053705692803437165, 'might': 0.00322234156820623, 'watched': 0.0010741138560687433, 'never': 0.00644468313641246, 'hear': 0.004296455424274973, 'deep': 0.0010741138560687433, 'been': 0.007518796992481203, 'hookshot': 0.00322234156820623, 'pick': 0.0010741138560687433, 'choose': 0.0010741138560687433, 'pity': 0.0010741138560687433, 'take': 0.00322234156820623, 'still': 0.0053705692803437165, 'bought': 0.0010741138560687433, 'the': 0.01611170784103115, 'goons': 0.0021482277121374865, 'gettin': 0.004296455424274973, 'walk': 0.0053705692803437165, 'talk': 0.004296455424274973, 'clip': 0.0010741138560687433, 'flip': 0.0010741138560687433, 'doubt': 0.0010741138560687433, 'bust': 0.0010741138560687433, 'dare': 0.0010741138560687433, 'kill': 0.0021482277121374865, 'send': 0.0021482277121374865, 'feel': 0.008592910848549946, 'kinda': 0.0021482277121374865, 'herefore': 0.0010741138560687433, 'weave': 0.0010741138560687433, 'blow': 0.0010741138560687433, 'meant': 0.0010741138560687433, 'am': 0.01611170784103115, 'here': 0.0010741138560687433, 'definitely': 0.0010741138560687433, 'spit': 0.0021482277121374865, 'bang': 0.00322234156820623, 'pull': 0.0010741138560687433, 'wanna': 0.0021482277121374865, 'smelled': 0.0010741138560687433, 'ball': 0.0021482277121374865, 'should': 0.0010741138560687433, 'rattle': 0.0010741138560687433, 'bring': 0.0010741138560687433, 'explore': 0.0010741138560687433, 'g': 0.0010741138560687433, 'couldnt': 0.004296455424274973, 'how': 0.0010741138560687433, 'no': 0.0010741138560687433, 'smoke': 0.0053705692803437165, 'play': 0.0021482277121374865, 'remain': 0.0021482277121374865, 'is': 0.004296455424274973, 'died': 0.0010741138560687433, 'back': 0.0021482277121374865, 'rev': 0.0010741138560687433, 'pack': 0.0010741138560687433, 'run': 0.0021482277121374865, 'reply': 0.0010741138560687433, 'looked': 0.0010741138560687433, 'pulled': 0.0010741138560687433, 'call': 0.0021482277121374865, 'fronted': 0.0010741138560687433, 'brought': 0.0010741138560687433, 'drive': 0.0010741138560687433, 'fed': 0.0010741138560687433, 'roll': 0.0010741138560687433, 'laugh': 0.0010741138560687433, 'holla': 0.0010741138560687433, 'with': 0.0010741138560687433, 'hopped': 0.0010741138560687433, 'realize': 0.0010741138560687433, 'shoot': 0.0010741138560687433, 'thought': 0.0010741138560687433, 'hoped': 0.0010741138560687433, 'used': 0.0010741138560687433, 'move': 0.0010741138560687433, 'hide': 0.0010741138560687433, 'heat': 0.0021482277121374865, 'hit': 0.00322234156820623, 'wouldnt': 0.0021482277121374865, 'aim': 0.0010741138560687433, 'drowned': 0.0010741138560687433, 'hop': 0.0021482277121374865, 'stroke': 0.0021482277121374865, 'own': 0.0021482277121374865, 'shouldve': 0.0010741138560687433, 'treat': 0.0010741138560687433, 'lift': 0.0010741138560687433, 'slang': 0.0021482277121374865, 'drunk': 0.0010741138560687433, 'body': 0.0010741138560687433, 'cannot': 0.0010741138560687433, 'this': 0.0010741138560687433, 'wanted': 0.0021482277121374865, 'musta': 0.0010741138560687433, 'doing': 0.0010741138560687433, 'admit': 0.0010741138560687433, 'heard': 0.0010741138560687433, 'float': 0.0010741138560687433, 'bagged': 0.0010741138560687433, 'post': 0.0010741138560687433, 'always': 0.0010741138560687433, 'enforce': 0.0010741138560687433, 'gives': 0.0010741138560687433, 'collect': 0.0010741138560687433, 'left': 0.0010741138560687433, 'stepped': 0.0010741138560687433, 'franchised': 0.0010741138560687433, 'hand': 0.0010741138560687433, 'cash': 0.0010741138560687433, 'consider': 0.0010741138560687433, 'tried': 0.0010741138560687433}"
go,"{'through': 0.05263157894736842, 'all': 0.017543859649122806, 'hard': 0.017543859649122806, 'offbeat': 0.008771929824561403, 'off': 0.008771929824561403, 'dipset': 0.008771929824561403, 'its': 0.03508771929824561, 'go': 0.02631578947368421, 'drink': 0.017543859649122806, 'up': 0.008771929824561403, 'baby': 0.017543859649122806, 'damn': 0.017543859649122806, 'bring': 0.03508771929824561, 'if': 0.017543859649122806, 'so': 0.008771929824561403, 'yeah': 0.017543859649122806, 'i': 0.043859649122807015, 'there': 0.008771929824561403, 'set': 0.017543859649122806, 'aight': 0.017543859649122806, 'lets': 0.008771929824561403, 'lil': 0.008771929824561403, 'get': 0.06140350877192982, 'she': 0.017543859649122806, 'with': 0.008771929824561403, 'every': 0.008771929824561403, 'out': 0.017543859649122806, 'dip': 0.008771929824561403, 'the': 0.017543859649122806, 'to': 0.07894736842105263, 'gon': 0.008771929824561403, 'woo': 0.008771929824561403, 'buy': 0.008771929824561403, 'broke': 0.008771929824561403, 'ay': 0.008771929824561403, 'verse': 0.008771929824561403, 'time': 0.008771929824561403, 'im': 0.11403508771929824, 'half': 0.008771929824561403, 'that': 0.017543859649122806, 'stunting': 0.008771929824561403, 'head': 0.043859649122807015, 'when': 0.008771929824561403, 'postin': 0.008771929824561403, 'hit': 0.008771929824561403, 'mode': 0.008771929824561403, 'pick': 0.008771929824561403, 'ahead': 0.008771929824561403, 'and': 0.008771929824561403, 'bo': 0.008771929824561403, 'sit': 0.008771929824561403, 'we': 0.008771929824561403, 'rape': 0.008771929824561403, 'he': 0.008771929824561403}"
through,"{'if': 0.09375, 'they': 0.09375, 'you': 0.03125, 'its': 0.03125, 'like': 0.0625, 'the': 0.25, 'different': 0.03125, 'this': 0.15625, 'stroll': 0.03125, 'flag': 0.03125, 'hate': 0.03125, 'your': 0.03125, 'it': 0.03125, 'life': 0.03125, 'late': 0.03125, 'crew': 0.03125}"
if,"{'you': 0.3211009174311927, 'i': 0.29357798165137616, 'she': 0.01834862385321101, 'a': 0.03669724770642202, 'so': 0.027522935779816515, 'not': 0.03669724770642202, 'these': 0.009174311926605505, 'your': 0.009174311926605505, 'the': 0.009174311926605505, 'it': 0.009174311926605505, 'they': 0.03669724770642202, 'its': 0.009174311926605505, 'her': 0.009174311926605505, 'niggas': 0.009174311926605505, 'that': 0.009174311926605505, 'im': 0.11926605504587157, 'heaven': 0.009174311926605505, 'he': 0.027522935779816515}"
you,"{'can': 0.019400352733686066, 'got': 0.026455026455026454, 'love': 0.005291005291005291, 'think': 0.003527336860670194, 'only': 0.003527336860670194, 'they': 0.001763668430335097, 'up': 0.003527336860670194, 'down': 0.003527336860670194, 'owe': 0.003527336860670194, 'to': 0.012345679012345678, 'aint': 0.01763668430335097, 'when': 0.003527336860670194, 'giving': 0.001763668430335097, 'say': 0.005291005291005291, 'did': 0.001763668430335097, 'forgot': 0.001763668430335097, 'ho': 0.029982363315696647, 'pussies': 0.001763668430335097, 'want': 0.008818342151675485, 'jojo': 0.001763668430335097, 'hoe': 0.003527336860670194, 'gone': 0.007054673721340388, 'round': 0.001763668430335097, 'gotta': 0.010582010582010581, 'was': 0.014109347442680775, 'and': 0.008818342151675485, 'know': 0.07936507936507936, 'wanna': 0.005291005291005291, 'do': 0.012345679012345678, 'flyer': 0.001763668430335097, 'that': 0.001763668430335097, 'wont': 0.007054673721340388, 'need': 0.012345679012345678, 'jokers': 0.001763668430335097, 'get': 0.02292768959435626, 'on': 0.003527336860670194, 'with': 0.012345679012345678, 'gettin': 0.005291005291005291, 'already': 0.003527336860670194, 'you': 0.010582010582010581, 'awesome': 0.010582010582010581, 'satisfy': 0.001763668430335097, 'so': 0.005291005291005291, 'hmm': 0.001763668430335097, 'two': 0.001763668430335097, 'this': 0.001763668430335097, 'make': 0.005291005291005291, 'heard': 0.005291005291005291, 'feel': 0.003527336860670194, 'in': 0.007054673721340388, 'undressed': 0.001763668430335097, 'for': 0.001763668430335097, 'should': 0.014109347442680775, 'fall': 0.010582010582010581, 'drop': 0.007054673721340388, 'put': 0.005291005291005291, 'santana': 0.001763668430335097, 'witness': 0.001763668430335097, 'dame': 0.001763668430335097, 'wasnt': 0.001763668430335097, 'soul': 0.001763668430335097, 'ill': 0.001763668430335097, 'once': 0.001763668430335097, 'yeah': 0.001763668430335097, 'mommy': 0.001763668430335097, 'come': 0.003527336860670194, 'gon': 0.008818342151675485, 'too': 0.001763668430335097, 'will': 0.001763668430335097, 'dont': 0.014109347442680775, 'uhhuh': 0.001763668430335097, 'give': 0.003527336860670194, 'like': 0.008818342151675485, 'i': 0.019400352733686066, 'mrs': 0.001763668430335097, 'son': 0.003527336860670194, 'ever': 0.005291005291005291, 'everything': 0.001763668430335097, 'the': 0.012345679012345678, 'shouldnt': 0.001763668430335097, 'good': 0.003527336860670194, 'my': 0.007054673721340388, 'better': 0.005291005291005291, 'boxin': 0.001763668430335097, 'lace': 0.001763668430335097, 'lose': 0.001763668430335097, 'just': 0.012345679012345678, 'wit': 0.010582010582010581, 'always': 0.001763668430335097, 'off': 0.003527336860670194, 'niggas': 0.02292768959435626, 'fuck': 0.001763668430335097, 'nigga': 0.001763668430335097, 'a': 0.014109347442680775, 'bitchmade': 0.001763668430335097, 'then': 0.003527336860670194, 'killed': 0.001763668430335097, 'laced': 0.001763668430335097, 'stop': 0.001763668430335097, 'bein': 0.001763668430335097, 'poppin': 0.001763668430335097, 'go': 0.001763668430335097, 'dumb': 0.001763668430335097, 'try': 0.001763668430335097, 'winnie': 0.001763668430335097, 'cant': 0.01763668430335097, 'goons': 0.003527336860670194, 'see': 0.008818342151675485, 'chase': 0.001763668430335097, 'could': 0.007054673721340388, 'honey': 0.001763668430335097, 'bitch': 0.001763668430335097, 'air': 0.001763668430335097, 'sayin': 0.001763668430335097, 'motherfuckers': 0.001763668430335097, 'but': 0.001763668430335097, 'hear': 0.001763668430335097, 'shouldve': 0.001763668430335097, 'never': 0.003527336860670194, 'surprised': 0.001763668430335097, 'dudes': 0.005291005291005291, 'catch': 0.001763668430335097, 'looking': 0.003527336860670194, 'be': 0.003527336860670194, 'bite': 0.001763668430335097, 'over': 0.001763668430335097, 'getting': 0.001763668430335097, 'bump': 0.001763668430335097, 'dig': 0.001763668430335097, 'talk': 0.005291005291005291, 'rrrah': 0.001763668430335097, 'bang': 0.001763668430335097, 'lyin': 0.001763668430335097, 'fine': 0.001763668430335097, 'road': 0.001763668430335097, 'jet': 0.001763668430335097, 'dealing': 0.001763668430335097, 'who': 0.003527336860670194, 'chumps': 0.001763668430335097, 'goose': 0.001763668430335097, 'believe': 0.005291005291005291, 'theyll': 0.003527336860670194, 'must': 0.001763668430335097, 'fail': 0.007054673721340388, 'boys': 0.001763668430335097, 'hearin': 0.001763668430335097, 'going': 0.001763668430335097, 'lames': 0.001763668430335097, 'still': 0.001763668430335097, 'tryna': 0.001763668430335097, 'oughta': 0.012345679012345678, 'before': 0.001763668430335097, 'dipshits': 0.001763668430335097, 'how': 0.005291005291005291, 'might': 0.003527336860670194, 'been': 0.008818342151675485, 'at': 0.008818342151675485, 'not': 0.001763668430335097, 'sorry': 0.001763668430335097, 'pay': 0.003527336860670194, 'are': 0.001763668430335097, 'conceited': 0.001763668430335097, 'labels': 0.001763668430335097, 'pop': 0.001763668430335097, 'novice': 0.001763668430335097, 'she': 0.001763668430335097, 'fresh': 0.003527336860670194, 'rap': 0.001763668430335097, 'gonna': 0.001763668430335097, 'start': 0.001763668430335097, 'fuckers': 0.001763668430335097, 'told': 0.001763668430335097, 'man': 0.001763668430335097, 'fucking': 0.001763668430335097, 'take': 0.005291005291005291, 'face': 0.001763668430335097, 'skating': 0.001763668430335097, 'playing': 0.003527336860670194, 'paying': 0.001763668430335097, 'weigh': 0.001763668430335097, 'again': 0.001763668430335097, 'laying': 0.001763668430335097, 'patient': 0.001763668430335097, 'front': 0.001763668430335097, 'dead': 0.008818342151675485, 'fools': 0.008818342151675485, 'walk': 0.001763668430335097, 'ought': 0.001763668430335097, 'knahmsayin': 0.001763668430335097, 'what': 0.001763668430335097, 'little': 0.001763668430335097, 'shit': 0.003527336860670194, 'swear': 0.001763668430335097, 'thats': 0.001763668430335097, 'out': 0.001763668430335097, 'jealousy': 0.001763668430335097, 'he': 0.001763668430335097, 'known': 0.001763668430335097, 'plus': 0.001763668430335097, 'huh': 0.001763668430335097, 'felt': 0.001763668430335097, 'hate': 0.001763668430335097, 'cross': 0.001763668430335097, 'fuckin': 0.019400352733686066, 'there': 0.001763668430335097, 'square': 0.001763668430335097, 'talkin': 0.001763668430335097, 'all': 0.001763668430335097, 'finished': 0.001763668430335097, 'fucks': 0.001763668430335097, 'bout': 0.001763668430335097, 'follow': 0.001763668430335097}"
can,"{'put': 0.07692307692307693, 'hurt': 0.07692307692307693, 'taste': 0.02564102564102564, 'living': 0.02564102564102564, 'truly': 0.02564102564102564, 'have': 0.02564102564102564, 'see': 0.07692307692307693, 'smell': 0.05128205128205128, 'point': 0.02564102564102564, 'not': 0.07692307692307693, 'either': 0.02564102564102564, 'bet': 0.02564102564102564, 'pop': 0.02564102564102564, 'get': 0.07692307692307693, 'tell': 0.05128205128205128, 'show': 0.07692307692307693, 'pick': 0.02564102564102564, 'i': 0.02564102564102564, 'freeze': 0.02564102564102564, 'never': 0.02564102564102564, 'definitely': 0.02564102564102564, 'be': 0.02564102564102564, 'stop': 0.02564102564102564, 'hashtag': 0.02564102564102564, 'fit': 0.02564102564102564}"
put,"{'yourself': 0.08695652173913043, 'a': 0.13043478260869565, 'your': 0.06521739130434782, 'my': 0.15217391304347827, 'in': 0.06521739130434782, 'on': 0.10869565217391304, 'em': 0.08695652173913043, 'it': 0.043478260869565216, 'them': 0.043478260869565216, 'that': 0.043478260869565216, 'the': 0.043478260869565216, 'me': 0.021739130434782608, 'bleach': 0.021739130434782608, 'niggas': 0.021739130434782608, 'you': 0.021739130434782608, 'people': 0.021739130434782608, 'her': 0.021739130434782608}"
