Word,Frequency
hey,"{'ima': 0.4444444444444444, 'baby': 0.1111111111111111, 'bitch': 0.1111111111111111, 'whatchu': 0.1111111111111111, 'would': 0.1111111111111111, 'fuck': 0.1111111111111111}"
ima,"{'visit': 0.08, 'dance': 0.08, 'put': 0.04, 'spill': 0.04, 'smack': 0.04, 'fuck': 0.16, 'tell': 0.04, 'break': 0.04, 'bring': 0.04, 'make': 0.04, 'get': 0.2, 'play': 0.08, 'spoon': 0.04, 'let': 0.04, 'take': 0.04}"
visit,"{'the': 0.6666666666666666, 'you': 0.3333333333333333}"
the,"{'sky': 0.009036144578313253, 'clouds': 0.004518072289156626, 'neighbors': 0.0030120481927710845, 'band': 0.0015060240963855422, 'guitars': 0.0015060240963855422, 'club': 0.04216867469879518, 'hotel': 0.006024096385542169, 'new': 0.0030120481927710845, 'city': 0.0015060240963855422, 'hill': 0.0015060240963855422, 'loud': 0.0015060240963855422, 'streets': 0.006024096385542169, 'best': 0.010542168674698794, 'roof': 0.0030120481927710845, 'vip': 0.0030120481927710845, 'ones': 0.0015060240963855422, 'engine': 0.0015060240963855422, 'bank': 0.0030120481927710845, 'top': 0.015060240963855422, 'kod': 0.0015060240963855422, 'air': 0.007530120481927711, 'bad': 0.0015060240963855422, 'floor': 0.01957831325301205, 'way': 0.007530120481927711, 'dope': 0.007530120481927711, 'gs': 0.0015060240963855422, 'pussy': 0.006024096385542169, 'stockin': 0.0015060240963855422, 'rest': 0.0030120481927710845, 'dough': 0.007530120481927711, 'life': 0.0015060240963855422, 'goat': 0.0015060240963855422, 'game': 0.007530120481927711, '90s': 0.0030120481927710845, 'ho': 0.0015060240963855422, 'blow': 0.0015060240963855422, 'sparkles': 0.0015060240963855422, 'shits': 0.0015060240963855422, 'pole': 0.010542168674698794, 'internet': 0.0015060240963855422, 'haters': 0.0015060240963855422, 'comments': 0.0015060240963855422, 'case': 0.006024096385542169, 'tv': 0.0015060240963855422, 'gram': 0.0030120481927710845, 'police': 0.009036144578313253, 'five': 0.007530120481927711, 'weed': 0.006024096385542169, 'whole': 0.006024096385542169, 'phantom': 0.0015060240963855422, 'ocean': 0.0015060240963855422, 'stage': 0.0030120481927710845, 'crowd': 0.0015060240963855422, 'ground': 0.006024096385542169, 'gas': 0.004518072289156626, 'after': 0.0015060240963855422, 'couch': 0.0015060240963855422, 'cameras': 0.0030120481927710845, 'fuck': 0.016566265060240965, 'thousand': 0.0015060240963855422, 'grind': 0.0015060240963855422, 'rise': 0.0015060240963855422, 'rug': 0.0015060240963855422, 'wall': 0.004518072289156626, 'problems': 0.0015060240963855422, 'throne': 0.0015060240963855422, 'dorm': 0.0015060240963855422, 'dice': 0.0015060240963855422, 'end': 0.012048192771084338, 'night': 0.01355421686746988, 'clapper': 0.0015060240963855422, 'w': 0.0015060240963855422, 'bathtub': 0.0015060240963855422, 'juice': 0.0030120481927710845, 'trunk': 0.004518072289156626, 'most': 0.0015060240963855422, 'lesser': 0.0015060240963855422, '98': 0.0015060240963855422, 'fashion': 0.0015060240963855422, 'runway': 0.0015060240963855422, 'mic': 0.0015060240963855422, 'boss': 0.0030120481927710845, 'low': 0.006024096385542169, 'kingpin': 0.0015060240963855422, 'store': 0.0030120481927710845, 'flow': 0.0015060240963855422, 'things': 0.0015060240963855422, 'beat': 0.004518072289156626, 'word': 0.0015060240963855422, 'shredder': 0.0015060240963855422, 'orange': 0.0015060240963855422, 'nunchucks': 0.0015060240963855422, 'party': 0.0015060240963855422, 'man': 0.004518072289156626, 'hour': 0.0015060240963855422, 'fight': 0.0015060240963855422, 'strong': 0.0015060240963855422, 'people': 0.0015060240963855422, 'plan': 0.0015060240963855422, 'gutters': 0.0015060240963855422, 'bottom': 0.0015060240963855422, 'lean': 0.018072289156626505, 'front': 0.0030120481927710845, 'daily': 0.0015060240963855422, 'max': 0.0015060240963855422, 'dick': 0.0030120481927710845, 'same': 0.0015060240963855422, 'bitch': 0.004518072289156626, 'law': 0.0015060240963855422, 'shit': 0.012048192771084338, 'sides': 0.0015060240963855422, 'bag': 0.0030120481927710845, 'tip': 0.0015060240963855422, 'moves': 0.0015060240963855422, 'days': 0.0015060240963855422, 'kitchen': 0.0015060240963855422, 'trillest': 0.0015060240963855422, 'black': 0.0015060240963855422, 'realest': 0.0015060240963855422, 'classic': 0.0015060240963855422, '60s': 0.0015060240963855422, 'mud': 0.0015060240963855422, 'highest': 0.004518072289156626, 'lowrider': 0.0015060240963855422, 'corner': 0.0015060240963855422, 'ash': 0.0015060240963855422, 'women': 0.0015060240963855422, 'back': 0.01355421686746988, 'street': 0.0015060240963855422, 'rap': 0.0015060240963855422, 'bar': 0.006024096385542169, 'finest': 0.0015060240963855422, 'dark': 0.0015060240963855422, 'charts': 0.0015060240963855422, 'truth': 0.0015060240963855422, 'daytime': 0.0015060240963855422, 'chicken': 0.0015060240963855422, 'cost': 0.0030120481927710845, 'crime': 0.0015060240963855422, 'only': 0.0030120481927710845, 'south': 0.0030120481927710845, 'house': 0.0030120481927710845, 'drought': 0.0015060240963855422, 'd': 0.0015060240963855422, 'v612': 0.0015060240963855422, 'v': 0.0015060240963855422, 'twelve': 0.0015060240963855422, 'jail': 0.0015060240963855422, 'foreign': 0.0015060240963855422, 'tires': 0.0015060240963855422, 'start': 0.0015060240963855422, 'big': 0.0015060240963855422, 'skin': 0.0015060240963855422, 'code': 0.0015060240963855422, 'closet': 0.0015060240963855422, 'grave': 0.0030120481927710845, 'dawgs': 0.004518072289156626, 'cut': 0.004518072289156626, 'cabinet': 0.0015060240963855422, 'flight': 0.0015060240963855422, 'addicts': 0.0015060240963855422, '80s': 0.0015060240963855422, 'late': 0.0015060240963855422, 'benz': 0.0030120481927710845, 'bentley': 0.0015060240963855422, 'bread': 0.0030120481927710845, 'profits': 0.006024096385542169, 'parking': 0.0015060240963855422, 'world': 0.0030120481927710845, 'smokers': 0.0015060240963855422, 'three': 0.0015060240963855422, 'difference': 0.0015060240963855422, 'gothboi': 0.0015060240963855422, 'deep': 0.0015060240963855422, 'cabbage': 0.0015060240963855422, 'mango': 0.0015060240963855422, 'pillow': 0.0015060240963855422, 'time': 0.0015060240963855422, 'porsche': 0.0015060240963855422, 'sofa': 0.0015060240963855422, 'poker': 0.0015060240963855422, 'middle': 0.006024096385542169, 'hills': 0.0015060240963855422, 'strip': 0.0015060240963855422, 'killer': 0.0015060240963855422, 'short': 0.0015060240963855422, 'hell': 0.0015060240963855422, 'fast': 0.0015060240963855422, 'lose': 0.0015060240963855422, 'foam': 0.0015060240963855422, 'deuce': 0.0015060240963855422, 'road': 0.0015060240963855422, 'ring': 0.0015060240963855422, 'scene': 0.0015060240963855422, 'trippy': 0.0030120481927710845, 'hoes': 0.0015060240963855422, 'sack': 0.0030120481927710845, 'nina': 0.0015060240963855422, 'shirt': 0.0015060240963855422, 'ceilin': 0.0015060240963855422, 'parkin': 0.0015060240963855422, 'stands': 0.0015060240963855422, 'news': 0.0015060240963855422, 'number': 0.0015060240963855422, 'bong': 0.0030120481927710845, 'show': 0.004518072289156626, 'groupie': 0.0015060240963855422, 'bed': 0.0015060240963855422, 'business': 0.0015060240963855422, 'trigger': 0.0286144578313253, 'nigga': 0.03313253012048193, 'mall': 0.0015060240963855422, '9': 0.0015060240963855422, 'high': 0.0015060240963855422, 'bullets': 0.0015060240963855422, 'cash': 0.0015060240963855422, 'movies': 0.0015060240963855422, 'beast': 0.0015060240963855422, 'cemetery': 0.0015060240963855422, 'phone': 0.0015060240963855422, 'woods': 0.009036144578313253, 'animal': 0.004518072289156626, 'jet': 0.0015060240963855422, 'baddest': 0.0015060240963855422, 'lake': 0.0015060240963855422, 'sheets': 0.0030120481927710845, 'blunt': 0.01355421686746988, 'volcano': 0.0015060240963855422, 'hash': 0.0015060240963855422, 'lighter': 0.0015060240963855422, 'water': 0.0015060240963855422, 'mission': 0.0015060240963855422, 'white': 0.0030120481927710845, 'tongue': 0.0015060240963855422, 'projects': 0.0015060240963855422, 'thc': 0.0015060240963855422, 'crib': 0.0015060240963855422, '3rd': 0.0015060240963855422, 'paint': 0.0015060240963855422, 'day': 0.0030120481927710845, 'bay': 0.0015060240963855422, 'old': 0.0015060240963855422, 'medical': 0.0015060240963855422, 'left': 0.0015060240963855422, 'damn': 0.0015060240963855422, 'joint': 0.0030120481927710845, 'deal': 0.0015060240963855422, 'illest': 0.0015060240963855422, 'one': 0.0015060240963855422, 'rolls': 0.0015060240963855422, 'vape': 0.0015060240963855422, 'money': 0.006024096385542169, 'blunts': 0.0015060240963855422, 'breeze': 0.0015060240963855422, 'country': 0.0015060240963855422, 'car': 0.004518072289156626, 'hood': 0.0015060240963855422, 'double': 0.0030120481927710845, 'chores': 0.0015060240963855422, 'procedure': 0.0015060240963855422, 'town': 0.0015060240963855422, 'door': 0.0015060240963855422, 'head': 0.0015060240963855422, 'feds': 0.0015060240963855422, 'ps3': 0.0015060240963855422, 'motherfuckin': 0.0015060240963855422, 'bottle': 0.0015060240963855422, 'louis': 0.0015060240963855422, 'superbowl': 0.0015060240963855422, 'eyes': 0.0015060240963855422, 'plane': 0.0030120481927710845, 'hit': 0.0015060240963855422, 'planet': 0.0015060240963855422, 'rack': 0.0015060240963855422, 'chicks': 0.0015060240963855422, 'next': 0.0015060240963855422, 'burner': 0.0015060240963855422, 'nookie': 0.0015060240963855422, 'sun': 0.0030120481927710845, 'clip': 0.0015060240963855422, 'more': 0.0015060240963855422, 'harder': 0.0015060240963855422, 'watch': 0.0015060240963855422, 'math': 0.006024096385542169, 'choppa': 0.0015060240963855422, 'grass': 0.0030120481927710845, 'handle': 0.0015060240963855422, 'fan': 0.0015060240963855422, 'snakes': 0.0015060240963855422, 'leeches': 0.0015060240963855422, 'summer': 0.0015060240963855422, 'light': 0.0015060240963855422, 'zone': 0.0015060240963855422, 'whip': 0.0015060240963855422, 'backseat': 0.0015060240963855422, 'team': 0.0015060240963855422, 'green': 0.0015060240963855422, 'birds': 0.0015060240963855422, 'act': 0.0015060240963855422, 'pharmacy': 0.0015060240963855422, 'syrup': 0.0015060240963855422, 'check': 0.0015060240963855422, 'first': 0.0030120481927710845, 'third': 0.0015060240963855422, 'buildin': 0.0030120481927710845, 'lambo': 0.0015060240963855422, 'purple': 0.0030120481927710845, 'garage': 0.0015060240963855422, 'dealership': 0.0015060240963855422, 'rat': 0.0030120481927710845, 'chopper': 0.0015060240963855422, 'interstate': 0.0015060240963855422, 'gun': 0.0030120481927710845, 'mafia': 0.0015060240963855422, 'pistol': 0.0015060240963855422, 'drank': 0.004518072289156626, 'trap': 0.0015060240963855422, 'motherfucking': 0.0015060240963855422, 'fucking': 0.0015060240963855422, 'benches': 0.0015060240963855422, 'yellow': 0.0015060240963855422, 'simpsons': 0.0015060240963855422, 'stars': 0.0015060240963855422, 'sprite': 0.0015060240963855422, 'drugs': 0.006024096385542169, 'drug': 0.006024096385542169, 'munchies': 0.0015060240963855422, 'awards': 0.0015060240963855422, 'reason': 0.0015060240963855422, 'glass': 0.01355421686746988, 'whistle': 0.01355421686746988, 'dollars': 0.0015060240963855422, 'type': 0.0015060240963855422, 'ceiling': 0.0015060240963855422, 'chain': 0.0015060240963855422, 'fortune': 0.0015060240963855422, 'boardroom': 0.0015060240963855422, 'action': 0.0015060240963855422}"
sky,"{'today': 0.3333333333333333, 'is': 0.16666666666666666, 'two': 0.16666666666666666, 'g6': 0.16666666666666666, 'imma': 0.16666666666666666}"
today,"{'hey': 0.2, 'and': 0.2, 'im': 0.2, 'trippy': 0.1, 'til': 0.3}"
dance,"{'on': 0.02631578947368421, 'bandz': 0.5263157894736842, 'all': 0.18421052631578946, 'these': 0.17105263157894737, 'tunechi': 0.02631578947368421, 'she': 0.013157894736842105, 'i': 0.02631578947368421, 'and': 0.013157894736842105, 'buy': 0.013157894736842105}"
on,"{'the': 0.17350157728706625, 'everybody': 0.006309148264984227, 'me': 0.04100946372239748, 'im': 0.006309148264984227, 'keysh': 0.0031545741324921135, 'ya': 0.00946372239747634, 'one': 0.00946372239747634, 'my': 0.10094637223974763, 'trees': 0.0031545741324921135, 'trippy': 0.006309148264984227, 'a': 0.10725552050473186, 'that': 0.08201892744479496, 'her': 0.031545741324921134, 'deck': 0.00946372239747634, 'some': 0.028391167192429023, 'mane': 0.0031545741324921135, 'you': 0.04100946372239748, 'this': 0.01892744479495268, 'these': 0.006309148264984227, 'our': 0.006309148264984227, 'da': 0.0031545741324921135, 'tell': 0.0031545741324921135, 'sunday': 0.0031545741324921135, 'monday': 0.0031545741324921135, 'scott': 0.0031545741324921135, 'his': 0.006309148264984227, 'i': 0.006309148264984227, 'all': 0.0031545741324921135, 'top': 0.015772870662460567, 'ridin': 0.0031545741324921135, 'slippery': 0.0031545741324921135, 'baby': 0.0031545741324921135, 'stage': 0.006309148264984227, 'your': 0.025236593059936908, 'ice': 0.0031545741324921135, 'frost': 0.0031545741324921135, 'show': 0.0031545741324921135, 'instagram': 0.0031545741324921135, 'pounds': 0.006309148264984227, 'lean': 0.0031545741324921135, 'skunk': 0.0031545741324921135, 'two': 0.0031545741324921135, 'so': 0.006309148264984227, 'another': 0.00946372239747634, 'landing': 0.0031545741324921135, 'cloud': 0.0031545741324921135, 'us': 0.0031545741324921135, 'yo': 0.00946372239747634, 'him': 0.0031545741324921135, 'it': 0.00946372239747634, 'hennessy': 0.0031545741324921135, 'wax': 0.06309148264984227, 'them': 0.00946372239747634, 'pittsburgh': 0.0031545741324921135, 'ounces': 0.0031545741324921135, 'if': 0.0031545741324921135, 'just': 0.0031545741324921135, 'ms': 0.0031545741324921135, 'like': 0.0031545741324921135, 'and': 0.0031545741324921135, 'footballs': 0.0031545741324921135, 'their': 0.0031545741324921135, 'campus': 0.0031545741324921135, 'to': 0.006309148264984227, 'coke': 0.0031545741324921135, 'chill': 0.0031545741324921135, 'cost': 0.0031545741324921135, 'skype': 0.0031545741324921135, 'cups': 0.0031545741324921135, 'occasions': 0.0031545741324921135, 'other': 0.0031545741324921135, 'too': 0.0031545741324921135, 'dog': 0.0031545741324921135}"
clouds,"{'today': 0.6666666666666666, 'to': 0.3333333333333333}"
and,"{'make': 0.009328358208955223, 'all': 0.007462686567164179, 'if': 0.014925373134328358, 'just': 0.0018656716417910447, 'her': 0.007462686567164179, 'im': 0.1791044776119403, 'when': 0.0037313432835820895, 'she': 0.041044776119402986, 'they': 0.048507462686567165, 'then': 0.0037313432835820895, 'it': 0.011194029850746268, 'not': 0.0018656716417910447, 'freak': 0.0018656716417910447, 'down': 0.005597014925373134, 'aint': 0.0037313432835820895, 'a': 0.06343283582089553, 'your': 0.0037313432835820895, 'i': 0.0708955223880597, 'these': 0.0037313432835820895, 'paid': 0.0018656716417910447, 'pantin': 0.0018656716417910447, 'you': 0.04664179104477612, 'get': 0.005597014925373134, 'say': 0.0018656716417910447, 'smoke': 0.009328358208955223, 'double': 0.0018656716417910447, 'right': 0.007462686567164179, 'blow': 0.005597014925373134, 'that': 0.005597014925373134, 'reminisceim': 0.0018656716417910447, 'join': 0.0018656716417910447, 'fuck': 0.005597014925373134, 'violate': 0.0018656716417910447, 'theyre': 0.0018656716417910447, 'my': 0.014925373134328358, 'ill': 0.0018656716417910447, 'we': 0.027985074626865673, 'its': 0.0018656716417910447, 'sip': 0.0018656716417910447, 'spit': 0.0018656716417910447, 'cut': 0.0018656716417910447, 'running': 0.0018656716417910447, 'j': 0.0018656716417910447, 'buy': 0.016791044776119403, 'titties': 0.0018656716417910447, 'drink': 0.0037313432835820895, 'nails': 0.0018656716417910447, 'syrup': 0.0018656716417910447, 'no': 0.0018656716417910447, 'uncle': 0.0018656716417910447, 'thats': 0.007462686567164179, 'fold': 0.007462686567164179, 'swallowing': 0.0018656716417910447, 'eggs': 0.0018656716417910447, 'real': 0.0018656716417910447, 'theyll': 0.0018656716417910447, 'drown': 0.0018656716417910447, 'let': 0.005597014925373134, 'feed': 0.0018656716417910447, 'seed': 0.0018656716417910447, 'juicy': 0.0037313432835820895, 'trina': 0.0018656716417910447, 'be': 0.018656716417910446, 'some': 0.005597014925373134, 'rhyme': 0.0018656716417910447, 'downwards': 0.0018656716417910447, 'go': 0.0018656716417910447, 'smash': 0.0018656716417910447, 'higher': 0.018656716417910446, 'yellow': 0.009328358208955223, 'sippin': 0.0018656716417910447, 'promethazine': 0.0018656716417910447, 'kiss': 0.0018656716417910447, 'the': 0.016791044776119403, 'lean': 0.0018656716417910447, 'cough': 0.0018656716417910447, 'blast': 0.0018656716417910447, 'start': 0.0018656716417910447, 'try': 0.0018656716417910447, 'come': 0.0037313432835820895, 'ima': 0.0018656716417910447, 'wiz': 0.0037313432835820895, 'gown': 0.0018656716417910447, 'effect': 0.0018656716417910447, 'buckshots': 0.0018656716417910447, 'abel': 0.0018656716417910447, 'this': 0.005597014925373134, 'after': 0.005597014925373134, 'buried': 0.0018656716417910447, 'now': 0.0018656716417910447, 'panties': 0.0018656716417910447, 'feel': 0.0018656716417910447, 'me': 0.0018656716417910447, 'even': 0.0018656716417910447, 'youll': 0.0018656716417910447, 'put': 0.009328358208955223, 'change': 0.0018656716417910447, 'bitch': 0.0018656716417910447, 'hoes': 0.0018656716417910447, 'spend': 0.007462686567164179, 'hold': 0.0018656716417910447, 'he': 0.0018656716417910447, 'give': 0.0037313432835820895, 'clean': 0.0018656716417910447, 'counting': 0.005597014925373134, 'have': 0.0018656716417910447, 'goons': 0.0018656716417910447, 'spray': 0.0018656716417910447, 'drop': 0.0018656716417910447, 'parked': 0.0018656716417910447, 'chopped': 0.0018656716417910447, 'stuffed': 0.0018656716417910447, 'leather': 0.0018656716417910447, 'ferragamod': 0.0018656716417910447, 'shooters': 0.0018656716417910447, 'fly': 0.0018656716417910447, 'popping': 0.0018656716417910447, 'anything': 0.0018656716417910447, 'brunette': 0.0018656716417910447, 'friends': 0.0018656716417910447, 'honey': 0.0018656716417910447, 'so': 0.0018656716417910447, 'bitches': 0.0018656716417910447, 'open': 0.0018656716417910447, 'stuntin': 0.0018656716417910447, 'raised': 0.0018656716417910447, 'quoted': 0.0018656716417910447, 'shawty': 0.0018656716417910447, 'shaq': 0.0018656716417910447, 'oh': 0.011194029850746268, 'yall': 0.0018656716417910447, 'watch': 0.0037313432835820895, 'roll': 0.0018656716417910447, 'show': 0.0018656716417910447, 'mail': 0.0018656716417910447, 'kreayshawn': 0.0018656716417910447, 'taught': 0.0018656716417910447, 'misdemeanors': 0.0018656716417910447, 'quit': 0.0018656716417910447, 'tell': 0.0018656716417910447, 'find': 0.0018656716417910447, 'pass': 0.0018656716417910447, 'chong': 0.0018656716417910447, 'sweat': 0.0018656716417910447, 'one': 0.033582089552238806, 'take': 0.0018656716417910447, 'bought': 0.0018656716417910447}"
