Word,Frequency
well,"{'it': 0.22580645161290322, 'what': 0.03225806451612903, 'thats': 0.03225806451612903, 'yall': 0.03225806451612903, 'i': 0.0967741935483871, 'well': 0.06451612903225806, 'let': 0.03225806451612903, 'gather': 0.03225806451612903, 'yeezy': 0.03225806451612903, 'damn': 0.03225806451612903, 'you': 0.03225806451612903, 'id': 0.03225806451612903, 'do': 0.03225806451612903, 'have': 0.03225806451612903, 'fly': 0.03225806451612903, 'oh': 0.03225806451612903, 'stoop': 0.03225806451612903, 'buy': 0.03225806451612903, 'youre': 0.03225806451612903, 'hard': 0.03225806451612903, 'mama': 0.03225806451612903, 'if': 0.03225806451612903}"
it,"{'is': 0.04239401496259352, 'comes': 0.014962593516209476, 'to': 0.0199501246882793, 'thats': 0.00997506234413965, 'out': 0.012468827930174564, 'up': 0.03740648379052369, 'pronto': 0.0024937655860349127, 'still': 0.0024937655860349127, 'rain': 0.0024937655860349127, 'i': 0.059850374064837904, 'everybody': 0.014962593516209476, 'malibooyah': 0.0024937655860349127, 'all': 0.10972568578553615, 'hotter': 0.0024937655860349127, 'wine': 0.0024937655860349127, 'nicki': 0.0024937655860349127, 'yes': 0.014962593516209476, 'you': 0.022443890274314215, 'makes': 0.004987531172069825, 'drifted': 0.0024937655860349127, 'so': 0.014962593516209476, 'now': 0.007481296758104738, 'thanksgivin': 0.0024937655860349127, 'cest': 0.0024937655860349127, 'we': 0.004987531172069825, 'back': 0.004987531172069825, 'on': 0.03740648379052369, '300': 0.007481296758104738, 'and': 0.017456359102244388, 'stop': 0.0024937655860349127, 'starts': 0.004987531172069825, 'alright': 0.0024937655860349127, 'ichabod': 0.0024937655860349127, 'off': 0.017456359102244388, 'crazy': 0.00997506234413965, 'big': 0.0024937655860349127, 'cry': 0.0024937655860349127, 'raw': 0.0024937655860349127, 'aint': 0.00997506234413965, 'might': 0.0024937655860349127, 'do': 0.007481296758104738, 'better': 0.02493765586034913, 'screams': 0.0024937655860349127, 'was': 0.029925187032418952, 'equate': 0.0024937655860349127, 'she': 0.004987531172069825, 'into': 0.0024937655860349127, 'la': 0.0024937655860349127, 'my': 0.0024937655860349127, 'it': 0.0024937655860349127, 'took': 0.0024937655860349127, 'soon': 0.0024937655860349127, 'from': 0.0024937655860349127, 'wasnt': 0.004987531172069825, 'take': 0.00997506234413965, 'they': 0.007481296758104738, 'no': 0.004987531172069825, 'as': 0.0024937655860349127, 'easy': 0.0024937655860349127, 'slowly': 0.014962593516209476, 'jerome': 0.0024937655860349127, 'get': 0.0024937655860349127, 'remind': 0.0024937655860349127, 'play': 0.0024937655860349127, 'im': 0.004987531172069825, 'at': 0.0024937655860349127, 'steam': 0.0024937655860349127, 'matched': 0.0024937655860349127, 'real': 0.0024937655860349127, 'moving': 0.0024937655860349127, 'in': 0.004987531172069825, 'sound': 0.0024937655860349127, 'listen': 0.0024937655860349127, 'wouldnt': 0.0024937655860349127, 'though': 0.004987531172069825, 'what': 0.0024937655860349127, 'be': 0.004987531172069825, 'come': 0.007481296758104738, 'came': 0.0024937655860349127, 'if': 0.004987531172069825, 'bring': 0.0024937655860349127, 'when': 0.004987531172069825, 'with': 0.004987531172069825, 'way': 0.0024937655860349127, 'past': 0.0024937655860349127, 'like': 0.004987531172069825, 'stick': 0.0024937655860349127, 'poured': 0.0024937655860349127, 'rained': 0.0024937655860349127, 'just': 0.0024937655860349127, 'twista': 0.0024937655860349127, 'shouldve': 0.0024937655860349127, 'steppin': 0.0024937655860349127, 'well': 0.0024937655860349127, 'then': 0.0024937655860349127, 'til': 0.0024937655860349127, 'ill': 0.004987531172069825, 'too': 0.0024937655860349127, 'for': 0.004987531172069825, 'how': 0.0024937655860349127, 'dont': 0.0024937655860349127, 'the': 0.004987531172069825, 'make': 0.0024937655860349127, 'harder': 0.02743142144638404, 'faster': 0.022443890274314215, 'looked': 0.0024937655860349127, 'falls': 0.012468827930174564, 'seem': 0.0024937655860349127, 'again': 0.007481296758104738, 'oh': 0.012468827930174564, 'tbd': 0.0024937655860349127, 'bye': 0.0024937655860349127, 'but': 0.004987531172069825, 'feels': 0.004987531172069825, 'doesnt': 0.0024937655860349127, 'down': 0.004987531172069825, 'first': 0.0024937655860349127, 'two': 0.0024937655860349127, 'fade': 0.004987531172069825, 'your': 0.004987531172069825, 'roll': 0.0024937655860349127, 'ima': 0.0024937655860349127, 'hurt': 0.0024937655860349127, 'fuckin': 0.0024937655860349127, 'fuck': 0.0024937655860349127, 'bitch': 0.0024937655860349127, 'woah': 0.0024937655860349127, 'ive': 0.004987531172069825, 'fadin': 0.004987531172069825, 'through': 0.0024937655860349127, 'felt': 0.0024937655860349127, 'always': 0.0024937655860349127, 'breeze': 0.0024937655860349127, 'wrong': 0.0024937655860349127, 'right': 0.0024937655860349127, 'nother': 0.0024937655860349127, 'this': 0.007481296758104738, 'gasps': 0.0024937655860349127}"
is,"{'a': 0.14207650273224043, 'awhen': 0.0273224043715847, 'the': 0.07650273224043716, 'some': 0.01639344262295082, 'irrelevant': 0.00546448087431694, 'melting': 0.00546448087431694, 'movin': 0.00546448087431694, 'loiterin': 0.00546448087431694, 'foreign': 0.01092896174863388, 'rumbles': 0.00546448087431694, 'and': 0.00546448087431694, 'stayin': 0.00546448087431694, 'just': 0.01092896174863388, 'my': 0.03278688524590164, 'none': 0.00546448087431694, 'love': 0.00546448087431694, 'these': 0.01639344262295082, 'what': 0.01639344262295082, 'everything': 0.02185792349726776, 'for': 0.01092896174863388, 'worth': 0.00546448087431694, 'happenin': 0.00546448087431694, 'that': 0.02185792349726776, 'with': 0.00546448087431694, 'faceless': 0.00546448087431694, 'killing': 0.00546448087431694, 'extremely': 0.00546448087431694, 'in': 0.00546448087431694, 'stop': 0.00546448087431694, 'way': 0.00546448087431694, 'napoleon': 0.00546448087431694, 'mongolian': 0.00546448087431694, 'honestly': 0.00546448087431694, 'catching': 0.00546448087431694, 'like': 0.01092896174863388, 'i': 0.01639344262295082, 'baby': 0.00546448087431694, 'over': 0.00546448087431694, 'ruined': 0.00546448087431694, 'they': 0.01092896174863388, 'is': 0.00546448087431694, 'bigger': 0.00546448087431694, 'good': 0.00546448087431694, 'given': 0.00546448087431694, 'tested': 0.00546448087431694, 'hiphop': 0.00546448087431694, 'missing': 0.00546448087431694, 'more': 0.00546448087431694, 'at': 0.00546448087431694, 'so': 0.01092896174863388, 'looking': 0.00546448087431694, 'on': 0.00546448087431694, 'really': 0.01092896174863388, 'pure': 0.00546448087431694, 'god': 0.0273224043715847, 'worse': 0.00546448087431694, 'before': 0.00546448087431694, 'next': 0.00546448087431694, 'strokin': 0.00546448087431694, 'who': 0.00546448087431694, 'going': 0.00546448087431694, 'fuckin': 0.0546448087431694, 'ferrari': 0.00546448087431694, 'never': 0.02185792349726776, 'he': 0.00546448087431694, 'why': 0.01092896174863388, 'wearin': 0.01092896174863388, 'upon': 0.01092896174863388, 'savage': 0.01092896174863388, 'monsters': 0.01092896174863388, 'pimps': 0.01639344262295082, 'players': 0.01639344262295082, 'nuts': 0.00546448087431694, 'dead': 0.00546448087431694, 'speak': 0.01092896174863388, 'finished': 0.00546448087431694, 'waffle': 0.00546448087431694, 'im': 0.00546448087431694, 'fadin': 0.0273224043715847, 'windy': 0.00546448087431694, 'where': 0.00546448087431694, 'two': 0.00546448087431694, 'young': 0.00546448087431694, 'top': 0.00546448087431694, 'role': 0.00546448087431694}"
a,"{'weepin': 0.02119460500963391, 'moanin': 0.011560693641618497, 'gnashin': 0.02119460500963391, 'mournin': 0.009633911368015413, 'house': 0.0038535645472061657, 'payday': 0.0019267822736030828, 'vacay': 0.0019267822736030828, 'ak': 0.0019267822736030828, 'gun': 0.0019267822736030828, 'bandaid': 0.0019267822736030828, 'a1': 0.0019267822736030828, 'monster': 0.007707129094412331, 'motherfuckin': 0.017341040462427744, 'new': 0.02697495183044316, 'pharaoh': 0.0019267822736030828, 'sarcophagus': 0.0019267822736030828, 'swallowship': 0.0019267822736030828, 'present': 0.0019267822736030828, 'zombie': 0.0038535645472061657, 'block': 0.0019267822736030828, 'massacre': 0.0019267822736030828, 'bad': 0.011560693641618497, 'verse': 0.0019267822736030828, 'middle': 0.0038535645472061657, 'diet': 0.0019267822736030828, 'mild': 0.0019267822736030828, 'god': 0.04238921001926782, 'good': 0.007707129094412331, 'nigga': 0.038535645472061654, 'pillar': 0.0019267822736030828, 'real': 0.007707129094412331, 'thursday': 0.0038535645472061657, 'fight': 0.0019267822736030828, 'fresh': 0.0019267822736030828, 'thousand': 0.007707129094412331, 'bentley': 0.0019267822736030828, 'diamond': 0.0019267822736030828, 'dick': 0.0038535645472061657, 'swallower': 0.0038535645472061657, 'nap': 0.0019267822736030828, 'sötét': 0.0019267822736030828, 'little': 0.007707129094412331, 'baby': 0.011560693641618497, 'damn': 0.0019267822736030828, 'black': 0.005780346820809248, 'white': 0.0038535645472061657, 'menace': 0.005780346820809248, 'wolf': 0.0019267822736030828, 'king': 0.0019267822736030828, 'toast': 0.028901734104046242, 'plan': 0.01348747591522158, 'picture': 0.0038535645472061657, 'price': 0.0019267822736030828, 'romantic': 0.0019267822736030828, 'kerry': 0.0019267822736030828, 'stormy': 0.0019267822736030828, 'sample': 0.0019267822736030828, 'threesome': 0.0019267822736030828, 'blunt': 0.0038535645472061657, 'girl': 0.0019267822736030828, 'jet': 0.0019267822736030828, 'bam': 0.015414258188824663, 'nice': 0.0019267822736030828, 'moment': 0.005780346820809248, 'whole': 0.005780346820809248, 'pretty': 0.0019267822736030828, 'beautiful': 0.005780346820809248, 'very': 0.0038535645472061657, 'chance': 0.015414258188824663, 'star': 0.0038535645472061657, 'movie': 0.0038535645472061657, 'wrestler': 0.0019267822736030828, 'country': 0.0019267822736030828, 'nerd': 0.0019267822736030828, 'condom': 0.0019267822736030828, 'poet': 0.0019267822736030828, 'rookie': 0.0019267822736030828, 'backpack': 0.0019267822736030828, 'list': 0.0019267822736030828, 'bulletproof': 0.0019267822736030828, '38yearold': 0.0019267822736030828, 'bald': 0.0019267822736030828, 'deadbeat': 0.0019267822736030828, 'day': 0.0019267822736030828, 'week': 0.0019267822736030828, 'birthday': 0.0019267822736030828, 'hurry': 0.005780346820809248, 'friend': 0.0019267822736030828, 'question': 0.0019267822736030828, 'cousin': 0.0019267822736030828, 'heartache': 0.0019267822736030828, 'sandwich': 0.0019267822736030828, 'song': 0.0019267822736030828, 'triflin': 0.0019267822736030828, 'gold': 0.015414258188824663, 'beauty': 0.0019267822736030828, 'flock': 0.0019267822736030828, 'ass': 0.0038535645472061657, 'hyundai': 0.0019267822736030828, 'dude': 0.0019267822736030828, 'benz': 0.005780346820809248, 'starry': 0.0019267822736030828, 'sunday': 0.0019267822736030828, 'pack': 0.0019267822736030828, 'child': 0.0019267822736030828, 'stove': 0.009633911368015413, 'panda': 0.0019267822736030828, 'minute': 0.009633911368015413, 'tribe': 0.0038535645472061657, 'ho': 0.0038535645472061657, 'feeling': 0.0038535645472061657, 'dream': 0.0019267822736030828, 'necklace': 0.0019267822736030828, 'second': 0.0019267822736030828, 'problem': 0.005780346820809248, 'room': 0.0038535645472061657, 'tomb': 0.0019267822736030828, 'uh': 0.0019267822736030828, 'fistfight': 0.0019267822736030828, 'cage': 0.0019267822736030828, 'fake': 0.0019267822736030828, 'rico': 0.0019267822736030828, 'young': 0.005780346820809248, 'mothafuckin': 0.0019267822736030828, 'lightskinned': 0.0019267822736030828, 'month': 0.0038535645472061657, 'happy': 0.005780346820809248, 'euphemism': 0.0019267822736030828, 'field': 0.0019267822736030828, 'jumpshot': 0.0019267822736030828, 'track': 0.0019267822736030828, 'south': 0.0019267822736030828, 'fishstick': 0.0019267822736030828, 'school': 0.0019267822736030828, 'while': 0.0038535645472061657, 'crip': 0.0019267822736030828, 'fuckin': 0.005780346820809248, 'different': 0.007707129094412331, 'belt': 0.0019267822736030828, 'fuck': 0.005780346820809248, 'red': 0.0019267822736030828, 'louis': 0.0019267822736030828, 'hundred': 0.005780346820809248, 'soldier': 0.0038535645472061657, 'hangover': 0.0019267822736030828, 'loner': 0.0038535645472061657, 'chitown': 0.0019267822736030828, 'nas': 0.0019267822736030828, 'fat': 0.0019267822736030828, 'seance': 0.0019267822736030828, 'chrysler': 0.0019267822736030828, 'sin': 0.005780346820809248, 'lot': 0.015414258188824663, 'jumbotron': 0.0019267822736030828, 'seat': 0.0019267822736030828, 'word': 0.0038535645472061657, 'bone': 0.0019267822736030828, 'mind': 0.0019267822736030828, 'pep': 0.0019267822736030828, 'tear': 0.0038535645472061657, 'tall': 0.0038535645472061657, 'man': 0.0038535645472061657, 'few': 0.005780346820809248, 'frenchass': 0.0019267822736030828, 'close': 0.0019267822736030828, 'brother': 0.0019267822736030828, 'couple': 0.005780346820809248, 'billi': 0.0019267822736030828, 'dj': 0.0019267822736030828, 'million': 0.011560693641618497, 'jerk': 0.0019267822736030828, 'dime': 0.0019267822736030828, 'checkbook': 0.0019267822736030828, 'salary': 0.0019267822736030828, 'outofbody': 0.0019267822736030828, 'billionaire': 0.0019267822736030828, 'offthewall': 0.0019267822736030828, 'last': 0.0019267822736030828, 'piss': 0.0019267822736030828, 'long': 0.0019267822736030828, 'bathroom': 0.0019267822736030828, 'mogul': 0.0019267822736030828, 'hold': 0.0019267822736030828, 'certain': 0.0019267822736030828, 'lie': 0.0019267822736030828, 'neighborhood': 0.0019267822736030828, 'bootlegger': 0.0019267822736030828, 'badman': 0.007707129094412331, 'aerosol': 0.0019267822736030828, 'gon': 0.0019267822736030828, 'civil': 0.0019267822736030828, 'slight': 0.0019267822736030828, 'nightlight': 0.0019267822736030828, 'tron': 0.0019267822736030828, 'wheelie': 0.0019267822736030828, 'raplic': 0.0019267822736030828, 'purp': 0.0019267822736030828, 'hero': 0.0019267822736030828, 'villain': 0.0019267822736030828, 'half': 0.0019267822736030828, 'mil': 0.0019267822736030828, 'billion': 0.0019267822736030828, 'truce': 0.0019267822736030828, 'bird': 0.0019267822736030828, 'bakers': 0.0019267822736030828, 'bitch': 0.0038535645472061657, 'bracelet': 0.0019267822736030828, 'seven': 0.0019267822736030828, 'trojan': 0.0019267822736030828, 'klondike': 0.0019267822736030828, 'blonde': 0.0019267822736030828, 'fear': 0.0019267822736030828, 'favor': 0.0019267822736030828, 'carurr': 0.0019267822736030828, 'car': 0.0019267822736030828, 'shirt': 0.0019267822736030828, 'team': 0.0019267822736030828, 'coupe': 0.0019267822736030828, 'safe': 0.0019267822736030828, 'type': 0.0019267822736030828, 'watch': 0.0019267822736030828, 'notch': 0.0019267822736030828, '50': 0.0019267822736030828, 'shot': 0.0019267822736030828, 'superhero': 0.0038535645472061657, 'glass': 0.0019267822736030828, 'daughter': 0.0019267822736030828, 'common': 0.0019267822736030828, 'pin': 0.0019267822736030828, 'recent': 0.0019267822736030828, 'smoothie': 0.0019267822736030828, 'private': 0.0019267822736030828, 'hotel': 0.0019267822736030828, 'blowjobs': 0.0019267822736030828, 'stunna': 0.0019267822736030828, 'shoutout': 0.0019267822736030828, 'im': 0.0019267822736030828, 'marathon': 0.0019267822736030828, 'coachs': 0.0019267822736030828, 'christian': 0.0019267822736030828, 'boss': 0.0019267822736030828, 'six': 0.0019267822736030828, 'freak': 0.011560693641618497, 'nearly': 0.0019267822736030828, 'lifeordeath': 0.0019267822736030828, 'boost': 0.0019267822736030828, 'sane': 0.0019267822736030828, 'delta': 0.0019267822736030828, 'millionaire': 0.0019267822736030828, 'band': 0.0019267822736030828, 'deal': 0.0019267822736030828, 'eye': 0.0019267822736030828, 'lawyer': 0.0019267822736030828, 'angel': 0.0019267822736030828, 'grownass': 0.0019267822736030828, 'champion': 0.0019267822736030828, 'plate': 0.0019267822736030828, 'plane': 0.0019267822736030828, 'cloud': 0.0019267822736030828, 'woman': 0.007707129094412331, 'side': 0.0019267822736030828, 'choicethey': 0.0019267822736030828, 'wild': 0.0019267822736030828, 'gentle': 0.0019267822736030828, 'page': 0.0019267822736030828, 'call': 0.0019267822736030828, 'year': 0.0019267822736030828, 'flight': 0.0019267822736030828, 'trunk': 0.0019267822736030828, 'fool': 0.0019267822736030828}"
weepin,{'and': 1.0}
and,"{'a': 0.05907172995780591, 'niggas': 0.006329113924050633, 'raised': 0.002109704641350211, 'thats': 0.006329113924050633, 'who': 0.002109704641350211, 'it': 0.004219409282700422, 'high': 0.002109704641350211, 'she': 0.010548523206751054, 'i': 0.14135021097046413, 'my': 0.0189873417721519, 'im': 0.014767932489451477, 'get': 0.010548523206751054, 'the': 0.02531645569620253, 'said': 0.002109704641350211, 'malibu': 0.002109704641350211, 'pillage': 0.002109704641350211, 'children': 0.002109704641350211, 'bloodsuckers': 0.002109704641350211, 'fangs': 0.002109704641350211, 'if': 0.010548523206751054, 'ill': 0.008438818565400843, 'am': 0.002109704641350211, 'end': 0.004219409282700422, 'follow': 0.002109704641350211, 'spike': 0.002109704641350211, 'you': 0.05907172995780591, 'let': 0.002109704641350211, 'hey': 0.004219409282700422, 'its': 0.008438818565400843, 'your': 0.008438818565400843, 'grab': 0.002109704641350211, 'in': 0.002109704641350211, 'all': 0.004219409282700422, 'came': 0.008438818565400843, 'tell': 0.006329113924050633, 'report': 0.002109704641350211, 'long': 0.002109704641350211, 'breathe': 0.014767932489451477, 'live': 0.008438818565400843, 'learn': 0.004219409282700422, 'livin': 0.008438818565400843, 'theres': 0.008438818565400843, 'gentlemen': 0.004219409282700422, 'still': 0.004219409282700422, 'go': 0.002109704641350211, 'tasteless': 0.002109704641350211, 'leave': 0.002109704641350211, 'spend': 0.002109704641350211, 'make': 0.006329113924050633, 'taylor': 0.002109704641350211, 'we': 0.010548523206751054, 'felt': 0.002109704641350211, 'some': 0.008438818565400843, 'they': 0.03375527426160337, 'honesty': 0.002109704641350211, 'rice': 0.002109704641350211, 'lesbians': 0.002109704641350211, 'managers': 0.002109704641350211, 'iphone': 0.002109704641350211, 'say': 0.008438818565400843, 'act': 0.002109704641350211, 'capn': 0.002109704641350211, 'booty': 0.002109704641350211, 'yeah': 0.004219409282700422, '3': 0.002109704641350211, 'legendary': 0.002109704641350211, 'paid': 0.002109704641350211, 'slow': 0.002109704641350211, 'drivin': 0.002109704641350211, 'disrespectful': 0.002109704641350211, 'hold': 0.002109704641350211, 'as': 0.002109704641350211, 'beat': 0.006329113924050633, 'found': 0.008438818565400843, 'now': 0.010548523206751054, 'look': 0.004219409282700422, 'then': 0.023206751054852322, 'crib': 0.002109704641350211, 'drive': 0.002109704641350211, 'on': 0.0189873417721519, 'tryin': 0.002109704641350211, 'when': 0.02531645569620253, 'theyll': 0.002109704641350211, 'time': 0.002109704641350211, 'nothing': 0.010548523206751054, 'what': 0.008438818565400843, 'shit': 0.004219409282700422, 'fuck': 0.006329113924050633, 'even': 0.006329113924050633, 'forget': 0.004219409282700422, 'ooh': 0.002109704641350211, 'me': 0.004219409282700422, 'eventually': 0.002109704641350211, 'at': 0.004219409282700422, 'these': 0.002109704641350211, 'less': 0.002109704641350211, 'that': 0.004219409282700422, 'whats': 0.002109704641350211, 'kiss': 0.004219409282700422, 'o': 0.002109704641350211, 'benzes': 0.002109704641350211, 'one': 0.004219409282700422, 'kanye': 0.002109704641350211, 'lonely': 0.002109704641350211, 'bitch': 0.002109704641350211, 'corny': 0.002109704641350211, 'refresh': 0.002109704641350211, 'restart': 0.002109704641350211, 'rebuild': 0.002109704641350211, 'fire': 0.002109704641350211, 'woke': 0.002109704641350211, 'not': 0.004219409282700422, 'outta': 0.002109704641350211, 'put': 0.004219409282700422, 'heres': 0.002109704641350211, 'grime': 0.002109704641350211, 'filth': 0.002109704641350211, 'adidas': 0.002109704641350211, 'like': 0.002109704641350211, 'shift': 0.002109704641350211, 'smiled': 0.002109704641350211, 'see': 0.002109704641350211, 'confidence': 0.002109704641350211, 'gave': 0.002109704641350211, 'stood': 0.002109704641350211, 'looked': 0.002109704641350211, 'dismiss': 0.002109704641350211, 'harvesting': 0.002109704641350211, 'chokin': 0.002109704641350211, 'cant': 0.004219409282700422, 'attitude': 0.002109704641350211, 'ring': 0.002109704641350211, 'iiii': 0.002109704641350211, 'sour': 0.002109704641350211, 'grabbed': 0.002109704641350211, 'held': 0.002109704641350211, 'spent': 0.002109704641350211, 'also': 0.002109704641350211, 'be': 0.002109704641350211, 'ye': 0.002109704641350211, 'hammer': 0.002109704641350211, 'thirty': 0.002109704641350211, 'furs': 0.002109704641350211, 'take': 0.002109704641350211, 'shell': 0.002109704641350211, 'well': 0.006329113924050633, 'though': 0.002109704641350211, 'youre': 0.004219409282700422, 'next': 0.004219409282700422, 'do': 0.002109704641350211, 'pashas': 0.002109704641350211, 'diamond': 0.002109704641350211, 'for': 0.002109704641350211, 'love': 0.002109704641350211, 'id': 0.002109704641350211, 'lived': 0.002109704641350211, 'mike': 0.002109704641350211, 'martin': 0.002109704641350211, 'stick': 0.002109704641350211, 'hangin': 0.002109704641350211, 'wifey': 0.002109704641350211, 'cam': 0.002109704641350211, 'endin': 0.002109704641350211, 'after': 0.002109704641350211, 'ray': 0.002109704641350211, 'just': 0.002109704641350211, 'half': 0.002109704641350211, 'birds': 0.002109704641350211, 'he': 0.002109704641350211, 'from': 0.002109704641350211, 'drove': 0.002109704641350211, 'told': 0.002109704641350211, 'gold': 0.002109704641350211, 'guess': 0.002109704641350211, 'cold': 0.002109704641350211, 'talk': 0.006329113924050633, 'and': 0.002109704641350211, 'cars': 0.002109704641350211, 'try': 0.002109704641350211, 'restless': 0.002109704641350211, 'arrest': 0.002109704641350211, 'cases': 0.002109704641350211, 'bring': 0.002109704641350211}"
moanin,"{'and': 0.5, 'swerve': 0.5}"
gnashin,{'of': 1.0}
of,"{'teeth': 0.054187192118226604, 'stripe': 0.0049261083743842365, 'mayonnaise': 0.0049261083743842365, 'akon': 0.0049261083743842365, 'this': 0.019704433497536946, 'the': 0.21182266009852216, 'you': 0.019704433497536946, 'it': 0.009852216748768473, 'willy': 0.0049261083743842365, 'chucky': 0.0049261083743842365, 'your': 0.04926108374384237, 'familia': 0.0049261083743842365, 'mine': 0.0049261083743842365, 'salt': 0.0049261083743842365, 'lovin': 0.019704433497536946, 'our': 0.009852216748768473, 'them': 0.019704433497536946, 'my': 0.04926108374384237, 'a': 0.019704433497536946, 'that': 0.019704433497536946, 'usd': 0.0049261083743842365, 'obamas': 0.0049261083743842365, 'breast': 0.0049261083743842365, 'these': 0.014778325123152709, 'weak': 0.0049261083743842365, 'us': 0.024630541871921183, 'yall': 0.009852216748768473, 'his': 0.009852216748768473, 'fentanyl': 0.0049261083743842365, 'everything': 0.014778325123152709, 'lavish': 0.0049261083743842365, 'stuff': 0.0049261083743842365, 'bugatti': 0.0049261083743842365, 'what': 0.0049261083743842365, 'fumes': 0.0049261083743842365, 'nos': 0.0049261083743842365, 'hoes': 0.0049261083743842365, 'gold': 0.0049261083743842365, 'way': 0.0049261083743842365, 'ebay': 0.0049261083743842365, 'autumn': 0.0049261083743842365, 'ballin': 0.009852216748768473, 'mount': 0.0049261083743842365, 'nikes': 0.0049261083743842365, 'town': 0.009852216748768473, 'leona': 0.0049261083743842365, 'waiting': 0.009852216748768473, 'tour': 0.0049261083743842365, 'rhyme': 0.0049261083743842365, 'humor': 0.0049261083743842365, 'dior': 0.0049261083743842365, 'death': 0.0049261083743842365, 'god': 0.009852216748768473, 'cheating': 0.0049261083743842365, 'shit': 0.019704433497536946, 'timbuck2': 0.0049261083743842365, 'control': 0.009852216748768473, 'millions': 0.0049261083743842365, 'false': 0.0049261083743842365, 'touch': 0.0049261083743842365, 'footsteps': 0.009852216748768473, 'dick': 0.0049261083743842365, 'visual': 0.0049261083743842365, 'love': 0.0049261083743842365, 'pussy': 0.0049261083743842365, 'sex': 0.0049261083743842365, 'work': 0.0049261083743842365, 'greatness': 0.0049261083743842365, 'me': 0.019704433497536946, 'rain': 0.0049261083743842365, 'school': 0.0049261083743842365, 'new': 0.0049261083743842365, 'jail': 0.0049261083743842365, 'clothes': 0.0049261083743842365, 'all': 0.014778325123152709, 'high': 0.009852216748768473, 'leader': 0.0049261083743842365, 'silence': 0.0049261083743842365, 'too': 0.0049261083743842365, 'rules': 0.0049261083743842365, 'her': 0.009852216748768473, 'islam': 0.0049261083743842365, 'christmas': 0.0049261083743842365, 'some': 0.0049261083743842365, 'months': 0.0049261083743842365, 'coke': 0.0049261083743842365, 'welfare': 0.0049261083743842365}"
teeth,"{'it': 0.3076923076923077, 'swerve': 0.46153846153846156, 'in': 0.07692307692307693, 'gwan': 0.07692307692307693, 'and': 0.07692307692307693}"
