Word,Frequency
nobody,"{'pray': 0.029411764705882353, 'no': 0.08823529411764706, 'prayin': 0.47058823529411764, 'nobody': 0.058823529411764705, 'but': 0.029411764705882353, 'call': 0.029411764705882353, 'can': 0.029411764705882353, 'fucking': 0.029411764705882353, 'wanna': 0.058823529411764705, 'seen': 0.029411764705882353, 'gon': 0.058823529411764705, 'holding': 0.029411764705882353, 'cant': 0.058823529411764705}"
pray,"{'for': 0.45454545454545453, 'my': 0.18181818181818182, 'they': 0.045454545454545456, 'you': 0.045454545454545456, 'to': 0.045454545454545456, 'one': 0.045454545454545456, 'that': 0.09090909090909091, 'he': 0.045454545454545456, 'with': 0.045454545454545456}"
for,"{'me': 0.10397553516819572, 'the': 0.12538226299694188, 'if': 0.0061162079510703364, 'a': 0.03669724770642202, 'niggas': 0.0030581039755351682, 'failure': 0.0030581039755351682, 'imitation': 0.0030581039755351682, 'shade': 0.009174311926605505, 'my': 0.03669724770642202, 'another': 0.0061162079510703364, 'some': 0.0061162079510703364, 'you': 0.14067278287461774, 'love': 0.0030581039755351682, 'empathy': 0.0030581039755351682, 'real': 0.01529051987767584, 'when': 0.0061162079510703364, 'it': 0.012232415902140673, 'sherane': 0.0030581039755351682, 'mayor': 0.0030581039755351682, 'life': 0.009174311926605505, 'seventytwo': 0.012232415902140673, 'yall': 0.0030581039755351682, 'answers': 0.012232415902140673, 'help': 0.0030581039755351682, 'ass': 0.0030581039755351682, 'your': 0.024464831804281346, 'this': 0.027522935779816515, 'many': 0.0030581039755351682, 'ooooh': 0.012232415902140673, 'eternity': 0.0030581039755351682, 'granted': 0.0030581039755351682, 'all': 0.0061162079510703364, 'i': 0.0061162079510703364, 'him': 0.01529051987767584, 'saving': 0.009174311926605505, 'an': 0.0030581039755351682, 'compton': 0.0061162079510703364, 'free': 0.009174311926605505, 'die': 0.0030581039755351682, 'fire': 0.0030581039755351682, 'im': 0.0030581039755351682, 'two': 0.0061162079510703364, 'anybody': 0.0061162079510703364, 'thats': 0.0030581039755351682, 'us': 0.012232415902140673, 'resolutions': 0.0030581039755351682, 'our': 0.0061162079510703364, 'mistakes': 0.01834862385321101, 'everyone': 0.0030581039755351682, 'dead': 0.0030581039755351682, 'myself': 0.0030581039755351682, 'these': 0.0030581039755351682, 'for': 0.0030581039755351682, 'yo': 0.0030581039755351682, 'nigga': 0.0030581039755351682, 'dedication': 0.0030581039755351682, 'profit': 0.0030581039755351682, 'no': 0.0030581039755351682, 'bad': 0.0030581039755351682, 'anything': 0.0030581039755351682, 'like': 0.0030581039755351682, 'what': 0.0061162079510703364, 'his': 0.0061162079510703364, 'sure': 0.009174311926605505, 'something': 0.0030581039755351682, 'thought': 0.009174311926605505, 'hiiipower': 0.009174311926605505, 'too': 0.0061162079510703364, 'ten': 0.0030581039755351682, 'goods': 0.0030581039755351682, 'handouts': 0.0030581039755351682, 'analysts': 0.0030581039755351682, 'cover': 0.0030581039755351682, 'donald': 0.0030581039755351682, 'president': 0.0030581039755351682, 'performance': 0.0030581039755351682, 'appeals': 0.0030581039755351682, 'imposters': 0.0030581039755351682, 'em': 0.009174311926605505, 'women': 0.01529051987767584, 'that': 0.01529051987767584, 'lust': 0.0030581039755351682, 'ransom': 0.0030581039755351682, 'threetwothree': 0.0030581039755351682, 'battles': 0.0061162079510703364, 'confirmation': 0.0030581039755351682, 'missionary': 0.0030581039755351682, 'percentage': 0.0030581039755351682, 'days': 0.0030581039755351682, 'dear': 0.0030581039755351682, 'watching': 0.0030581039755351682, 'telling': 0.0061162079510703364, 'less': 0.0030581039755351682, 'somethin': 0.0030581039755351682, 'instagram': 0.0030581039755351682, 'cartoons': 0.0030581039755351682, 'about': 0.0030581039755351682, 'trouble': 0.0030581039755351682, 'pain': 0.0030581039755351682, 'change': 0.0030581039755351682, 'rap': 0.0030581039755351682, 'dolo': 0.0030581039755351682, 'survival': 0.0030581039755351682, 'sore': 0.0030581039755351682, 'them': 0.0030581039755351682}"
me,"{'it': 0.003115264797507788, 'way': 0.006230529595015576, 'do': 0.020249221183800622, 'somethin': 0.004672897196261682, 'ayy': 0.003115264797507788, 'down': 0.004672897196261682, 'every': 0.003115264797507788, 'l': 0.001557632398753894, 'teach': 0.001557632398753894, 'under': 0.003115264797507788, 'i': 0.06230529595015576, 'a': 0.03271028037383177, 'perceive': 0.001557632398753894, 'to': 0.037383177570093455, 'an': 0.001557632398753894, 'nigga': 0.012461059190031152, 'kendrick': 0.006230529595015576, 'then': 0.006230529595015576, 'where': 0.004672897196261682, 'pool': 0.001557632398753894, 'makin': 0.001557632398753894, 'nothin': 0.001557632398753894, 'when': 0.00778816199376947, 'and': 0.056074766355140186, 'is': 0.009345794392523364, 'what': 0.01557632398753894, 'gettin': 0.001557632398753894, 'underst': 0.001557632398753894, 'how': 0.00778816199376947, 'damn': 0.001557632398753894, 'thats': 0.004672897196261682, 'lord': 0.009345794392523364, 'things': 0.00778816199376947, 'its': 0.006230529595015576, 'your': 0.003115264797507788, 'just': 0.0264797507788162, 'on': 0.010903426791277258, 'say': 0.003115264797507788, 'in': 0.020249221183800622, 'crazy': 0.003115264797507788, 'or': 0.003115264797507788, 'uhhuh': 0.001557632398753894, 'another': 0.001557632398753894, 'if': 0.012461059190031152, 'keep': 0.009345794392523364, 'than': 0.004672897196261682, 'backstroke': 0.001557632398753894, 'so': 0.01557632398753894, 'im': 0.012461059190031152, 'am': 0.006230529595015576, 'oh': 0.001557632398753894, 'babe': 0.001557632398753894, 'uh': 0.001557632398753894, 'cum': 0.001557632398753894, 'we': 0.009345794392523364, 'for': 0.018691588785046728, 'tell': 0.009345794392523364, 'reaping': 0.001557632398753894, 'you': 0.017133956386292833, 'dont': 0.0264797507788162, 'like': 0.014018691588785047, 'black': 0.006230529595015576, 'inna': 0.003115264797507788, 'back': 0.010903426791277258, 'penitentiary': 0.001557632398753894, 'curse': 0.001557632398753894, 'til': 0.001557632398753894, 'with': 0.012461059190031152, 'as': 0.006230529595015576, 'of': 0.003115264797507788, 'kill': 0.001557632398753894, 'hypocrite': 0.001557632398753894, 'promise': 0.014018691588785047, 'never': 0.001557632398753894, 'forever': 0.00778816199376947, 'youll': 0.001557632398753894, 'right': 0.001557632398753894, 'sometimes': 0.001557632398753894, 'be': 0.001557632398753894, 'yall': 0.001557632398753894, 'out': 0.014018691588785047, 'heavy': 0.001557632398753894, 'huh': 0.001557632398753894, 'outside': 0.001557632398753894, 'no': 0.010903426791277258, 'who': 0.00778816199376947, 'but': 0.00778816199376947, 'motherfucker': 0.001557632398753894, 'promises': 0.001557632398753894, 'some': 0.010903426791277258, 'did': 0.001557632398753894, 'finish': 0.001557632398753894, 'take': 0.001557632398753894, 'she': 0.001557632398753894, 'adhd': 0.003115264797507788, 'falsed': 0.001557632398753894, 'magnified': 0.001557632398753894, 'all': 0.001557632398753894, 'worse': 0.001557632398753894, 'sleepin': 0.001557632398753894, 'over': 0.001557632398753894, 'flip': 0.001557632398753894, 'reflect': 0.001557632398753894, 'reveal': 0.001557632398753894, 'would': 0.003115264797507788, 'involve': 0.001557632398753894, 'god': 0.001557632398753894, 'ask': 0.006230529595015576, 'are': 0.001557632398753894, 'could': 0.001557632398753894, 'off': 0.003115264797507788, 'dead': 0.003115264797507788, 'my': 0.003115264797507788, 'resent': 0.001557632398753894, 'wanna': 0.009345794392523364, 'hiring': 0.001557632398753894, 'being': 0.001557632398753894, 'later': 0.001557632398753894, 'live': 0.001557632398753894, 'feel': 0.003115264797507788, 'that': 0.009345794392523364, 'yes': 0.001557632398753894, 'g': 0.001557632398753894, 'now': 0.006230529595015576, 'ill': 0.001557632398753894, 'vs': 0.003115264797507788, 'why': 0.001557632398753894, 'ekam': 0.001557632398753894, 'evig': 0.001557632398753894, 'tup': 0.001557632398753894, 'breathing': 0.006230529595015576, 'aim': 0.001557632398753894, 'jay': 0.001557632398753894, 'bout': 0.001557632398753894, 'recognize': 0.001557632398753894, 'malcolm': 0.001557632398753894, 'pray': 0.001557632398753894, 'the': 0.003115264797507788, 'lets': 0.001557632398753894, 'them': 0.001557632398753894, 'dumbo': 0.001557632398753894, 'indigenous': 0.001557632398753894, 'his': 0.001557632398753894, 'frustrated': 0.001557632398753894, 'lookin': 0.001557632398753894, 'here': 0.001557632398753894, 'tears': 0.001557632398753894, 'change': 0.001557632398753894, 'well': 0.001557632398753894, 'get': 0.004672897196261682, 'swallowed': 0.001557632398753894, 'please': 0.001557632398753894, 'they': 0.003115264797507788, 'these': 0.001557632398753894, 'continuously': 0.001557632398753894, 'retaliation': 0.001557632398753894, 'killed': 0.001557632398753894, 'abusing': 0.001557632398753894, 'about': 0.001557632398753894, 'aint': 0.01557632398753894, 'nobody': 0.003115264797507788, 'look': 0.001557632398753894, 'hennessy': 0.001557632398753894, 'mothafuck': 0.001557632398753894, 'seventeen': 0.001557632398753894, 'her': 0.001557632398753894, 'skeptical': 0.001557632398753894, 'from': 0.001557632398753894, 'through': 0.00778816199376947, 'cross': 0.001557632398753894, 'holler': 0.001557632398753894, 'put': 0.009345794392523364, 'diamonds': 0.001557632398753894, 'hoping': 0.001557632398753894, 'come': 0.001557632398753894, 'dummy': 0.001557632398753894, 'turn': 0.001557632398753894, 'giving': 0.001557632398753894, 'green': 0.001557632398753894, 'obnoxious': 0.001557632398753894, 'up': 0.001557632398753894, 'dormant': 0.001557632398753894, 'work': 0.003115264797507788, 'aimin': 0.001557632398753894, 'wont': 0.001557632398753894, 'ball': 0.003115264797507788, 'real': 0.001557632398753894, 'zoom': 0.001557632398753894, 'scholarship': 0.001557632398753894, 'shit': 0.001557632398753894, 'at': 0.001557632398753894, 'first': 0.004672897196261682, 'peace': 0.001557632398753894, 'feeling': 0.001557632398753894, 'jumpin': 0.001557632398753894, 'walkin': 0.001557632398753894, 'by': 0.001557632398753894, 'against': 0.001557632398753894, 'standing': 0.001557632398753894, 'wack': 0.001557632398753894, 'something': 0.003115264797507788, 'losing': 0.001557632398753894, 'want': 0.001557632398753894, 'speechless': 0.001557632398753894, 'swerving': 0.003115264797507788, 'lucy': 0.001557632398753894, 'talk': 0.001557632398753894, 'away': 0.001557632398753894, 'call': 0.001557632398753894}"
it,"{'been': 0.0041753653444676405, 'on': 0.020876826722338204, 'down': 0.008350730688935281, 'you': 0.054279749478079335, 'ayy': 0.006263048016701462, 'wont': 0.006263048016701462, 'was': 0.014613778705636743, 'got': 0.0041753653444676405, 'but': 0.014613778705636743, 'aint': 0.020876826722338204, 'to': 0.018789144050104383, 'and': 0.022964509394572025, 'for': 0.014613778705636743, 'feels': 0.0020876826722338203, 'up': 0.012526096033402923, 'pool': 0.012526096033402923, 'i': 0.07306889352818371, 'pour': 0.006263048016701462, 'aw': 0.0020876826722338203, 'all': 0.03549060542797495, 'do': 0.010438413361169102, 'is': 0.016701461377870562, 'rotate': 0.0020876826722338203, 'ya': 0.0041753653444676405, 'burn': 0.0020876826722338203, 'go': 0.006263048016701462, 'when': 0.025052192066805846, 'where': 0.0041753653444676405, 'leave': 0.0020876826722338203, 'hell': 0.0020876826722338203, 'take': 0.006263048016701462, 'be': 0.006263048016701462, 'with': 0.0041753653444676405, 'never': 0.0041753653444676405, 'did': 0.0041753653444676405, 'alive': 0.0020876826722338203, 'deprived': 0.0020876826722338203, 'say': 0.0020876826722338203, 'in': 0.03966597077244259, 'dont': 0.0020876826722338203, 'maybe': 0.0041753653444676405, 'uhhuh': 0.0020876826722338203, 'either': 0.0020876826722338203, 'called': 0.0020876826722338203, 'like': 0.0041753653444676405, 'out': 0.006263048016701462, 'past': 0.0041753653444676405, 'we': 0.008350730688935281, 'a': 0.014613778705636743, 'knock': 0.0020876826722338203, 'only': 0.0041753653444676405, 'hit': 0.0041753653444676405, 'look': 0.027139874739039668, 'make': 0.0020876826722338203, 'fast': 0.0020876826722338203, 'run': 0.0020876826722338203, 'every': 0.0020876826722338203, 'then': 0.0041753653444676405, 'heaven': 0.0020876826722338203, 'im': 0.006263048016701462, 'gets': 0.006263048016701462, 'rains': 0.0020876826722338203, 'wherever': 0.0020876826722338203, 'big': 0.010438413361169102, 'section80': 0.0020876826722338203, 'or': 0.0020876826722338203, 'can': 0.0041753653444676405, 'drown': 0.0020876826722338203, 'need': 0.006263048016701462, 'tired': 0.0020876826722338203, 'works': 0.0020876826722338203, 'at': 0.006263048016701462, 'now': 0.0020876826722338203, 'money': 0.0041753653444676405, 'fame': 0.0020876826722338203, 'weed': 0.0020876826722338203, 'drink': 0.0020876826722338203, 'comin': 0.0020876826722338203, 'love': 0.0020876826722338203, 'unconditional': 0.0020876826722338203, 'start': 0.0020876826722338203, 'end': 0.0020876826722338203, 'anybody': 0.0020876826722338203, 'til': 0.0020876826722338203, 'right': 0.0020876826722338203, 'shouldnt': 0.0020876826722338203, 'america': 0.0020876826722338203, 'wrong': 0.0020876826722338203, 'no': 0.0020876826722338203, 'from': 0.006263048016701462, 'comes': 0.0041753653444676405, 'straight': 0.0020876826722338203, 'woah': 0.008350730688935281, 'understood': 0.0020876826722338203, 'die': 0.0020876826722338203, 'worth': 0.0020876826722338203, 'moses': 0.0020876826722338203, 'huey': 0.0020876826722338203, 'martin': 0.0020876826722338203, 'jackie': 0.0020876826722338203, 'jesse': 0.0020876826722338203, 'another': 0.0020876826722338203, 'my': 0.0041753653444676405, 'goes': 0.0041753653444676405, 'says': 0.0020876826722338203, 'its': 0.008350730688935281, 'noticed': 0.0020876826722338203, 'the': 0.010438413361169102, 'motherfucker': 0.0020876826722338203, 'kendrick': 0.0020876826722338203, 'your': 0.0041753653444676405, 'everyone': 0.0020876826722338203, 'multiple': 0.0020876826722338203, 'later': 0.0020876826722338203, 'hotboxin': 0.0020876826722338203, 'rush': 0.0020876826722338203, 'thats': 0.0020876826722338203, 'that': 0.006263048016701462, 'he': 0.0041753653444676405, 'cadillac': 0.0020876826722338203, 'stuck': 0.0020876826722338203, 'twenty': 0.0020876826722338203, 'youd': 0.0020876826722338203, 'how': 0.0020876826722338203, 'bring': 0.0020876826722338203, 'off': 0.0020876826722338203, 'told': 0.0020876826722338203, 'contributin': 0.0020876826722338203, 'if': 0.008350730688935281, 'relentless': 0.0020876826722338203, 'woo': 0.0020876826722338203, 'played': 0.0020876826722338203, 'nigga': 0.0020876826722338203, 'one': 0.0020876826722338203, 'gotta': 0.0020876826722338203, 'cries': 0.006263048016701462, 'they': 0.0020876826722338203, 'spill': 0.0020876826722338203, 'feel': 0.0020876826722338203, 'fillin': 0.0020876826722338203, 'sound': 0.006263048016701462, 'breathe': 0.0020876826722338203, 'jason': 0.0020876826722338203, 'cost': 0.0020876826722338203, 'work': 0.0041753653444676405, 'compton': 0.0020876826722338203, 'count': 0.0041753653444676405, 'pay': 0.0020876826722338203, 'loose': 0.0020876826722338203, 'again': 0.0020876826722338203, 'bet': 0.0020876826722338203, 'baby': 0.0020876826722338203, 'everybody': 0.0020876826722338203, 'jt': 0.006263048016701462, 'asked': 0.0020876826722338203, 'everythings': 0.006263048016701462, 'harder': 0.0020876826722338203, 'so': 0.0041753653444676405, 'give': 0.0020876826722338203, 'wickedness': 0.0041753653444676405, 'weakness': 0.0020876826722338203, 'seems': 0.0020876826722338203, 'she': 0.0020876826722338203, 'what': 0.0020876826722338203, 'institutionalized': 0.0041753653444676405, 'back': 0.0041753653444676405, 'bitin': 0.0020876826722338203, 'remind': 0.0020876826722338203, 'blow': 0.016701461377870562, 'yeah': 0.012526096033402923, 'yyeah': 0.0041753653444676405, 'get': 0.0020876826722338203, 'salt': 0.0020876826722338203, 'safe': 0.0020876826722338203, 'before': 0.0020876826722338203, 'once': 0.0020876826722338203, 'wrapped': 0.0020876826722338203, 'isnt': 0.0020876826722338203, 'lovely': 0.0020876826722338203, 'brought': 0.0020876826722338203, 'well': 0.0020876826722338203, 'there': 0.0041753653444676405, 'man': 0.0020876826722338203, 'gangsta': 0.0020876826722338203, 'lucy': 0.0020876826722338203}"
been,"{'that': 0.014705882352941176, 'mixin': 0.014705882352941176, 'through': 0.029411764705882353, 'goin': 0.014705882352941176, 'hustlin': 0.04411764705882353, 'a': 0.029411764705882353, 'takin': 0.014705882352941176, 'wantin': 0.014705882352941176, 'hurt': 0.029411764705882353, 'down': 0.07352941176470588, 'feelin': 0.014705882352941176, 'in': 0.08823529411764706, 'stomped': 0.014705882352941176, 'ready': 0.014705882352941176, 'advised': 0.014705882352941176, 'dealing': 0.014705882352941176, 'using': 0.014705882352941176, 'hungry': 0.029411764705882353, 'havin': 0.014705882352941176, 'prayin': 0.014705882352941176, 'wrote': 0.014705882352941176, 'uh': 0.014705882352941176, 'met': 0.014705882352941176, 'speakin': 0.014705882352941176, 'devoted': 0.014705882352941176, 'determined': 0.014705882352941176, 'perfect': 0.014705882352941176, 'violent': 0.014705882352941176, 'campin': 0.014705882352941176, 'living': 0.014705882352941176, 'off': 0.014705882352941176, 'my': 0.014705882352941176, 'on': 0.029411764705882353, 'a1': 0.058823529411764705, 'gone': 0.014705882352941176, 'overrated': 0.014705882352941176, 'fakin': 0.014705882352941176, 'out': 0.014705882352941176, 'lusting': 0.014705882352941176, 'heightened': 0.014705882352941176, 'ecstatic': 0.014705882352941176, 'cursed': 0.014705882352941176, 'relentless': 0.014705882352941176, 'running': 0.014705882352941176, 'waitin': 0.029411764705882353, 'lookin': 0.029411764705882353, 'blessed': 0.014705882352941176}"
that,"{'day': 0.009153318077803204, 'pussy': 0.006864988558352402, 'nigga': 0.020594965675057208, 'he': 0.011441647597254004, 'aint': 0.011441647597254004, 'grey': 0.002288329519450801, 'evian': 0.002288329519450801, 'ted': 0.002288329519450801, 'weighin': 0.002288329519450801, 'was': 0.016018306636155607, 'free': 0.002288329519450801, 'noose': 0.002288329519450801, 'trolley': 0.002288329519450801, 'shit': 0.02517162471395881, 'you': 0.07551487414187644, 'made': 0.009153318077803204, 'rep': 0.002288329519450801, 'our': 0.002288329519450801, 'hold': 0.002288329519450801, 'arrive': 0.002288329519450801, 'bitch': 0.009153318077803204, 'got': 0.011441647597254004, 'pour': 0.004576659038901602, 'ima': 0.006864988558352402, 'youre': 0.011441647597254004, 'im': 0.02517162471395881, 'grow': 0.002288329519450801, 'sound': 0.004576659038901602, 'your': 0.002288329519450801, 'corrode': 0.002288329519450801, 'niggas': 0.004576659038901602, 'and': 0.002288329519450801, 'set': 0.002288329519450801, 'putthekidstobed': 0.002288329519450801, 'i': 0.05491990846681922, 'rot': 0.002288329519450801, 'engine': 0.002288329519450801, 'sucker': 0.002288329519450801, 'hip': 0.002288329519450801, 'verse': 0.002288329519450801, 'we': 0.020594965675057208, 'lane': 0.004576659038901602, 'new': 0.006864988558352402, 'louis': 0.002288329519450801, 'never': 0.004576659038901602, 'pain': 0.004576659038901602, 'drum': 0.002288329519450801, 'work': 0.002288329519450801, 'big': 0.004576659038901602, 'xrated': 0.002288329519450801, 'mean': 0.006864988558352402, 'it': 0.004576659038901602, 'my': 0.013729977116704805, 'long': 0.002288329519450801, 'she': 0.009153318077803204, 'a': 0.006864988558352402, 'little': 0.002288329519450801, 'atari': 0.002288329519450801, 'sundress': 0.002288329519450801, 'walk': 0.002288329519450801, 'thing': 0.002288329519450801, 'metaphor': 0.002288329519450801, 'interference': 0.002288329519450801, 'motherfucker': 0.002288329519450801, 'be': 0.004576659038901602, 'on': 0.004576659038901602, 'shoulder': 0.002288329519450801, 'maserati': 0.002288329519450801, 'churchs': 0.002288329519450801, 'ass': 0.006864988558352402, 'record': 0.002288329519450801, 'adina': 0.002288329519450801, 'turned': 0.013729977116704805, 'desert': 0.002288329519450801, 'wanna': 0.002288329519450801, 'live': 0.002288329519450801, 'stuck': 0.002288329519450801, 'same': 0.002288329519450801, 'forty': 0.002288329519450801, 'show': 0.002288329519450801, 'sorry': 0.002288329519450801, 'glass': 0.002288329519450801, 'can': 0.004576659038901602, 'probably': 0.002288329519450801, 'pulled': 0.002288329519450801, 'at': 0.004576659038901602, 'youll': 0.02288329519450801, 'water': 0.002288329519450801, 'what': 0.004576659038901602, 'is': 0.004576659038901602, 'means': 0.009153318077803204, 'jesus': 0.013729977116704805, 'kdot': 0.002288329519450801, 'the': 0.011441647597254004, 'bro': 0.002288329519450801, 'its': 0.006864988558352402, 'fuck': 0.002288329519450801, 'eight': 0.002288329519450801, '12': 0.006864988558352402, 'two': 0.006864988558352402, 'take': 0.002288329519450801, 'tab': 0.002288329519450801, 'bay': 0.002288329519450801, 'adhd': 0.002288329519450801, 'way': 0.002288329519450801, 'game': 0.002288329519450801, 'homework': 0.002288329519450801, 'pizza': 0.002288329519450801, 'tv': 0.002288329519450801, 'mothafucker': 0.004576659038901602, 'me': 0.004576659038901602, 'love': 0.004576659038901602, 'man': 0.002288329519450801, 'were': 0.002288329519450801, 'being': 0.004576659038901602, 'do': 0.004576659038901602, 'say': 0.006864988558352402, 'delivered': 0.002288329519450801, 'considered': 0.002288329519450801, 'didnt': 0.004576659038901602, 'now': 0.002288329519450801, 'works': 0.002288329519450801, 'stay': 0.002288329519450801, 'somebody': 0.002288329519450801, 'only': 0.002288329519450801, 'theres': 0.002288329519450801, 'conceived': 0.002288329519450801, 'pac': 0.002288329519450801, 'time': 0.002288329519450801, 'black': 0.002288329519450801, 'transcend': 0.002288329519450801, 'act': 0.004576659038901602, 'god': 0.002288329519450801, 'dropped': 0.002288329519450801, 'look': 0.004576659038901602, 'king': 0.002288329519450801, 'sick': 0.002288329519450801, 'fill': 0.004576659038901602, 'mothafucka': 0.002288329519450801, 'bad': 0.002288329519450801, 'nah': 0.002288329519450801, 'one': 0.004576659038901602, 'jeezy': 0.002288329519450801, '50': 0.002288329519450801, 'talked': 0.002288329519450801, 'hed': 0.002288329519450801, 'chicken': 0.002288329519450801, 'smell': 0.002288329519450801, 'like': 0.002288329519450801, 'would': 0.004576659038901602, 'slave': 0.002288329519450801, 'pedestal': 0.002288329519450801, 'clip': 0.002288329519450801, 'crack': 0.002288329519450801, 'ive': 0.002288329519450801, 'his': 0.002288329519450801, 'demanded': 0.002288329519450801, 'spoke': 0.002288329519450801, 'paper': 0.002288329519450801, 'commissary': 0.002288329519450801, 'sentence': 0.002288329519450801, 'cared': 0.002288329519450801, 'who': 0.002288329519450801, 'they': 0.002288329519450801, 'private': 0.002288329519450801, 'forms': 0.002288329519450801, 'haunts': 0.002288329519450801, 'put': 0.002288329519450801, 'still': 0.002288329519450801, 'how': 0.002288329519450801, 'dress': 0.002288329519450801, 'women': 0.006864988558352402, 'homegrown': 0.002288329519450801, 'ocean': 0.004576659038901602, 'sex': 0.002288329519450801, 'lil': 0.002288329519450801, 'kendrick': 0.002288329519450801, 'serious': 0.002288329519450801, 'nobody': 0.002288329519450801, 'girl': 0.006864988558352402, 'read': 0.002288329519450801, 'word': 0.002288329519450801, 'id': 0.002288329519450801, 'brazilian': 0.002288329519450801, 'genitals': 0.002288329519450801, 'come': 0.009153318077803204, 'pay': 0.002288329519450801, 'tell': 0.002288329519450801, 'pack': 0.002288329519450801, 'reason': 0.002288329519450801, 'dont': 0.006864988558352402, 'music': 0.002288329519450801, 'dark': 0.002288329519450801, 'line': 0.002288329519450801, 'used': 0.002288329519450801, 'watch': 0.002288329519450801, 'worth': 0.006864988558352402, 'iii': 0.006864988558352402, 'gave': 0.002288329519450801, 'lied': 0.002288329519450801, 'ill': 0.002288329519450801, 'ya': 0.002288329519450801, 'car': 0.002288329519450801, 'stray': 0.002288329519450801, 'acquire': 0.002288329519450801, 'tooken': 0.002288329519450801, 'folded': 0.002288329519450801, 'hes': 0.002288329519450801, 'sloppy': 0.006864988558352402, 'cracked': 0.002288329519450801, 'mastered': 0.002288329519450801, 'lines': 0.002288329519450801, 'resembled': 0.002288329519450801, 'crossed': 0.002288329519450801, 'doja': 0.006864988558352402, 'potion': 0.004576659038901602, 'lucy': 0.002288329519450801}"
day,"{'for': 0.043478260869565216, 'i': 0.10869565217391304, 'in': 0.021739130434782608, 'thisaway': 0.06521739130434782, 'ill': 0.021739130434782608, 'is': 0.043478260869565216, 'im': 0.021739130434782608, 'when': 0.021739130434782608, 'wont': 0.021739130434782608, 'my': 0.021739130434782608, 'that': 0.021739130434782608, 'youll': 0.06521739130434782, 'forward': 0.043478260869565216, 'the': 0.021739130434782608, 'at': 0.021739130434782608, 'shifts': 0.021739130434782608, 'its': 0.08695652173913043, 'alright': 0.021739130434782608, 'we': 0.043478260869565216, 'a': 0.021739130434782608, 'one': 0.08695652173913043, 'forth': 0.021739130434782608, 'mortal': 0.021739130434782608, 'now': 0.021739130434782608, 'and': 0.021739130434782608, 'ii': 0.06521739130434782}"
way,"{'yeah': 0.01639344262295082, 'too': 0.09836065573770492, 'it': 0.01639344262295082, 'sentence': 0.01639344262295082, 'killings': 0.01639344262295082, 'motherfucker': 0.01639344262295082, 'you': 0.01639344262295082, 'after': 0.01639344262295082, 'love': 0.06557377049180328, 'hit': 0.06557377049180328, 'be': 0.01639344262295082, 'imagine': 0.01639344262295082, 'bitch': 0.03278688524590164, 'belligerent': 0.01639344262295082, 'more': 0.01639344262295082, 'we': 0.06557377049180328, 'i': 0.03278688524590164, 'open': 0.01639344262295082, 'told': 0.01639344262295082, 'im': 0.04918032786885246, 'beeotch': 0.04918032786885246, 'since': 0.01639344262295082, 'niggas': 0.01639344262295082, 'to': 0.11475409836065574, 'before': 0.01639344262295082, 'this': 0.01639344262295082, 'hey': 0.01639344262295082, 'why': 0.01639344262295082, 'hell': 0.01639344262295082, 'or': 0.01639344262295082, 'then': 0.04918032786885246, 'like': 0.01639344262295082, 'trapped': 0.01639344262295082}"
yeah,"{'yeah': 0.09523809523809523, 'ayy': 0.011904761904761904, 'thats': 0.047619047619047616, 'trip': 0.011904761904761904, 'its': 0.023809523809523808, 'deal': 0.011904761904761904, 'blood': 0.011904761904761904, 'soldiers': 0.011904761904761904, 'bitch': 0.08333333333333333, 'fuck': 0.011904761904761904, 'only': 0.023809523809523808, 'i': 0.05952380952380952, 'they': 0.011904761904761904, 'know': 0.011904761904761904, '100k': 0.011904761904761904, 'none': 0.011904761904761904, 'the': 0.011904761904761904, 'years': 0.011904761904761904, 'you': 0.023809523809523808, 'all': 0.023809523809523808, 'uh': 0.03571428571428571, 'lookin': 0.011904761904761904, 'oh': 0.011904761904761904, 'mo': 0.011904761904761904, 'nigga': 0.023809523809523808, 'we': 0.03571428571428571, 'that': 0.023809523809523808, 'nothing': 0.011904761904761904, 'hoochie': 0.011904761904761904, 'puto': 0.011904761904761904, 'tell': 0.011904761904761904, 'everythin': 0.011904761904761904, 'my': 0.011904761904761904, 'im': 0.047619047619047616, 'blow': 0.09523809523809523, 'salt': 0.023809523809523808, 'this': 0.011904761904761904, 'young': 0.011904761904761904, 'come': 0.011904761904761904, 'aw': 0.011904761904761904, 'head': 0.011904761904761904, 'say': 0.011904761904761904, 'baby': 0.011904761904761904}"
