Word,Frequency
hello,"{'what': 0.2, 'to': 0.2, 'poo': 0.2, 'voice': 0.2, 'swear': 0.2}"
what,"{'the': 0.14925373134328357, 'i': 0.1044776119402985, 'you': 0.2537313432835821, 'it': 0.08955223880597014, 'im': 0.08955223880597014, 'matters': 0.007462686567164179, 'to': 0.03731343283582089, 'they': 0.007462686567164179, 'can': 0.007462686567164179, 'aint': 0.007462686567164179, 'we': 0.022388059701492536, 'life': 0.007462686567164179, 'done': 0.007462686567164179, 'post': 0.007462686567164179, 'up': 0.05223880597014925, 'this': 0.014925373134328358, 'made': 0.007462686567164179, 'he': 0.029850746268656716, 'in': 0.007462686567164179, 'product': 0.007462686567164179, 'else': 0.007462686567164179, 'dont': 0.007462686567164179, 'that': 0.007462686567164179, 'foolish': 0.007462686567164179, 'do': 0.022388059701492536, 'lil': 0.007462686567164179, 'happened': 0.022388059701492536}"
the,"{'deal': 0.00099601593625498, 'plug': 0.017928286852589643, 'load': 0.00796812749003984, 'bitches': 0.00796812749003984, 'dough': 0.008964143426294821, 'foreign': 0.00099601593625498, 'key': 0.00199203187250996, 'mirror': 0.0069721115537848604, 'way': 0.01593625498007968, 'oil': 0.00099601593625498, 'foreman': 0.00099601593625498, 'scale': 0.00298804780876494, 'rim': 0.00099601593625498, 'kids': 0.00099601593625498, 'city': 0.00199203187250996, 'wrist': 0.00199203187250996, 'carpet': 0.00199203187250996, 'water': 0.00298804780876494, 'above': 0.00099601593625498, 'et': 0.00099601593625498, 'feds': 0.00199203187250996, 'reverend': 0.00099601593625498, 'back': 0.013944223107569721, 'streets': 0.02091633466135458, 'front': 0.00298804780876494, 'top': 0.00298804780876494, 'car': 0.010956175298804782, 'world': 0.00597609561752988, 'tool': 0.00298804780876494, 'greatest': 0.00099601593625498, 'ceiling': 0.0049800796812749, 'radio': 0.00298804780876494, 'time': 0.012948207171314742, 'one': 0.01195219123505976, 'lies': 0.00199203187250996, 'flame': 0.00099601593625498, 'full': 0.00099601593625498, 'game': 0.010956175298804782, 'call': 0.00099601593625498, 'white': 0.00199203187250996, 'paper': 0.00099601593625498, 'shades': 0.00099601593625498, 'jensen': 0.00099601593625498, 'get': 0.00099601593625498, 'ones': 0.00099601593625498, 'dagger': 0.00099601593625498, 'crowd': 0.00199203187250996, 'booth': 0.00199203187250996, 'stars': 0.00298804780876494, 'awards': 0.00099601593625498, 'woman': 0.00099601593625498, 'moment': 0.00099601593625498, 'faith': 0.00099601593625498, 'gas': 0.00398406374501992, 'dash': 0.00398406374501992, 'right': 0.0069721115537848604, 'hustle': 0.00796812749003984, 'start': 0.00099601593625498, 'block': 0.00298804780876494, 'trenches': 0.00398406374501992, 'word': 0.00199203187250996, 'hell': 0.00298804780876494, 'hassle': 0.00099601593625498, 'sofa': 0.00298804780876494, 'phone': 0.012948207171314742, 'president': 0.00099601593625498, 'studio': 0.00099601593625498, 'grind': 0.00398406374501992, 'wall': 0.0049800796812749, 'bed': 0.01195219123505976, 'roof': 0.00298804780876494, 'bands': 0.00099601593625498, 'route': 0.00199203187250996, 'beat': 0.00199203187250996, 'drought': 0.00099601593625498, 'dog': 0.00099601593625498, 'only': 0.01593625498007968, 'safety': 0.00199203187250996, 'play': 0.00099601593625498, 'mall': 0.00398406374501992, 'bra': 0.00099601593625498, 'bishop': 0.00099601593625498, 'muscle': 0.00099601593625498, 'dirt': 0.00099601593625498, 'brig': 0.00099601593625498, 'trench': 0.00099601593625498, 'most': 0.00099601593625498, 'lyrics': 0.00099601593625498, 'laws': 0.00099601593625498, 'rent': 0.00199203187250996, 'boss': 0.00099601593625498, 'dick': 0.0069721115537848604, 'sky': 0.0049800796812749, 'bread': 0.00398406374501992, 'ride': 0.0049800796812749, 'night': 0.00796812749003984, 'heart': 0.00099601593625498, 'dlow': 0.00099601593625498, 'nigga': 0.00099601593625498, 'masquerades': 0.00099601593625498, 'pillow': 0.00298804780876494, 'light': 0.00099601593625498, 'spot': 0.00199203187250996, 'head': 0.00298804780876494, 'red': 0.00199203187250996, 'best': 0.00796812749003984, 'business': 0.00199203187250996, 'ice': 0.00597609561752988, 'eyes': 0.00298804780876494, 'fuck': 0.025896414342629483, 'two': 0.00099601593625498, 'ten': 0.00099601593625498, 'regular': 0.00099601593625498, 'brains': 0.00099601593625498, 'hood': 0.00199203187250996, 'can': 0.00099601593625498, 'floor': 0.00597609561752988, 'engine': 0.00099601593625498, 'truth': 0.0049800796812749, 'damsel': 0.00099601593625498, 'club': 0.00199203187250996, 'ho': 0.00099601593625498, 'hotel': 0.00099601593625498, 'trap': 0.0069721115537848604, 'bs': 0.00099601593625498, 'carbine': 0.00099601593625498, 'skies': 0.00099601593625498, 'bitch': 0.00597609561752988, 'shit': 0.00597609561752988, 'socket': 0.00099601593625498, 'first': 0.00199203187250996, 'tough': 0.00298804780876494, 'inside': 0.00398406374501992, 'suites': 0.00099601593625498, 'jet': 0.00099601593625498, 'engines': 0.00099601593625498, 'beach': 0.00099601593625498, 'islands': 0.00099601593625498, '6s': 0.00099601593625498, 'hinges': 0.00298804780876494, 'paul': 0.00099601593625498, 'tech': 0.00099601593625498, 'whip': 0.00298804780876494, 'stethoscope': 0.00099601593625498, 'bend': 0.00099601593625498, 'machine': 0.00099601593625498, 'nine': 0.00398406374501992, 'winter': 0.00099601593625498, 'wrong': 0.00298804780876494, 'dope': 0.00099601593625498, 'party': 0.00099601593625498, 'earth': 0.00099601593625498, 'whips': 0.00099601593625498, 'pulpit': 0.00099601593625498, 'fire': 0.00099601593625498, 'real': 0.00199203187250996, 'fact': 0.00199203187250996, 'same': 0.012948207171314742, 'mud': 0.017928286852589643, 'street': 0.00199203187250996, 'ruler': 0.00099601593625498, 'pot': 0.00099601593625498, 'epitome': 0.00099601593625498, 'window': 0.00199203187250996, 'dice': 0.00099601593625498, 'cars': 0.00099601593625498, 'line': 0.0049800796812749, 'drop': 0.00099601593625498, 'couch': 0.00099601593625498, 'garbage': 0.00099601593625498, 'bank': 0.00099601593625498, 'cocaine': 0.00099601593625498, 'half': 0.00099601593625498, 'grass': 0.00099601593625498, 'jag': 0.00099601593625498, 'ceilin': 0.00099601593625498, 'razor': 0.00099601593625498, 'bottom': 0.0049800796812749, 'air': 0.00199203187250996, 'tuck': 0.00099601593625498, 'lord': 0.00199203187250996, 'sunshine': 0.00099601593625498, 'clink': 0.00099601593625498, 'killers': 0.00099601593625498, 'staff': 0.00099601593625498, 'warden': 0.00099601593625498, 'dark': 0.0049800796812749, 'alley': 0.00199203187250996, 'tram': 0.00099601593625498, 'other': 0.00099601593625498, 'driveway': 0.00199203187250996, 'left': 0.00298804780876494, 'shower': 0.00398406374501992, 'gown': 0.00099601593625498, 'speakers': 0.00099601593625498, 'title': 0.00298804780876494, 'lights': 0.00199203187250996, 'pound': 0.00099601593625498, 'mouth': 0.00398406374501992, 'neighbors': 0.00298804780876494, 'ruger': 0.00099601593625498, 'slits': 0.00099601593625498, 'side': 0.0049800796812749, 'leaf': 0.00099601593625498, 'green': 0.00099601593625498, 'ring': 0.00099601593625498, 'south': 0.00199203187250996, 'murder': 0.00099601593625498, 'love': 0.00099601593625498, 'porsche': 0.00199203187250996, 'louis': 0.00099601593625498, 'surahs': 0.00099601593625498, 'chain': 0.00099601593625498, 'drum': 0.00099601593625498, 'flip': 0.00099601593625498, 'corner': 0.00398406374501992, 'sticks': 0.00099601593625498, 'biz': 0.00099601593625498, 'winners': 0.00099601593625498, 'bills': 0.00199203187250996, 'table': 0.0049800796812749, 'feel': 0.00099601593625498, 'drill': 0.00099601593625498, 'charge': 0.00099601593625498, 'look': 0.00099601593625498, 'lean': 0.00199203187250996, 'carload': 0.00099601593625498, 'boulevard': 0.00199203187250996, 'lowlow': 0.00099601593625498, 'gun': 0.00298804780876494, 'weight': 0.00099601593625498, 'chick': 0.00199203187250996, 'friends': 0.00199203187250996, 'syrup': 0.02390438247011952, 'pourin': 0.00199203187250996, 'pussy': 0.021912350597609563, 'rag': 0.00099601593625498, 'cameras': 0.00199203187250996, 'plant': 0.00099601593625498, 'burners': 0.00099601593625498, 'bushes': 0.00099601593625498, 'dial': 0.00099601593625498, 'huddle': 0.00099601593625498, 'kitchen': 0.00298804780876494, 'son': 0.00099601593625498, 'roco': 0.00099601593625498, 'gutter': 0.00199203187250996, 'jungle': 0.00199203187250996, 'reason': 0.00199203187250996, 'pain': 0.00298804780876494, 'rain': 0.00099601593625498, 'blizzard': 0.00099601593625498, 'neighborhood': 0.00099601593625498, 'southside': 0.00099601593625498, 'funeral': 0.00099601593625498, 'bible': 0.00099601593625498, 'problem': 0.00199203187250996, 'cell': 0.00099601593625498, 'pressure': 0.00099601593625498, 'covers': 0.00199203187250996, 'law': 0.00298804780876494, 'nightstand': 0.00199203187250996, 'eye': 0.00099601593625498, 'difference': 0.00199203187250996, 'feeling': 0.00099601593625498, 'twilight': 0.00099601593625498, 'curse': 0.00099601593625498, 'wisdom': 0.00099601593625498, 'will': 0.00099601593625498, 'universe': 0.00099601593625498, 'willendorf': 0.00099601593625498, 'action': 0.00099601593625498, 'persistence': 0.00099601593625498, 'ground': 0.00099601593625498, 'music': 0.00199203187250996, 'hatch': 0.00099601593625498, 'aggression': 0.00099601593625498, 'hatred': 0.00099601593625498, 'betrayal': 0.00199203187250996, 'fridge': 0.00099601593625498, 'code': 0.00099601593625498, 'song': 0.00099601593625498, 'witchcraft': 0.00099601593625498, 'suit': 0.00099601593625498, 'tongue': 0.00099601593625498, 'lake': 0.00099601593625498, 'jack': 0.00099601593625498, 'cage': 0.00099601593625498, 'toilet': 0.00199203187250996, 'sink': 0.00099601593625498, 'making': 0.00199203187250996, 'clique': 0.00199203187250996, 'bottle': 0.00298804780876494, 'tint': 0.00199203187250996, 'people': 0.00298804780876494, 'picture': 0.00099601593625498, 'season': 0.00099601593625498, 'summer': 0.00099601593625498, 'clip': 0.00099601593625498, 'ticket': 0.00099601593625498, 'check': 0.00099601593625498, 'concrete': 0.00099601593625498, 'average': 0.00099601593625498, 'videos': 0.00099601593625498, 'subject': 0.00099601593625498, 'motto': 0.00099601593625498, 'chest': 0.00099601593625498, 'track': 0.00298804780876494, 'crack': 0.00099601593625498, 'liquid': 0.00099601593625498, 'pistol': 0.00099601593625498, 'morning': 0.00199203187250996, 'strong': 0.00199203187250996, 'long': 0.00099601593625498, 'system': 0.00099601593625498, 'facts': 0.00099601593625498, 'niggas': 0.00199203187250996, 'judge': 0.00298804780876494, 'gat': 0.00199203187250996, 'pack': 0.0049800796812749, 'lap': 0.00099601593625498, 'pen': 0.00199203187250996, 'shelf': 0.00099601593625498, 'belt': 0.00099601593625498, 'keys': 0.00099601593625498, 'highway': 0.00099601593625498, 'death': 0.00199203187250996, 'ninth': 0.00099601593625498, 'narco': 0.00099601593625498, 'money': 0.0049800796812749, 'middle': 0.00199203187250996, 'climate': 0.00099601593625498, 'profit': 0.00099601593625498, 'mafia': 0.00099601593625498, 'juice': 0.00099601593625498, 'strip': 0.00099601593625498, 'park': 0.00099601593625498, 'you': 0.00099601593625498, 'gloves': 0.00099601593625498, 'kissin': 0.00099601593625498, 'matrix': 0.00099601593625498, 'flick': 0.00199203187250996, 'benz': 0.00099601593625498, 'scissors': 0.00099601593625498, 'state': 0.00099601593625498, 'fully': 0.00099601593625498, 'hoodie': 0.00099601593625498, 'fence': 0.00099601593625498, 'grigy': 0.00099601593625498, 'stink': 0.00099601593625498, 'trunk': 0.00199203187250996, 'ignition': 0.00099601593625498, 'airport': 0.00099601593625498, 'bathroom': 0.00298804780876494, 'rappers': 0.00099601593625498, 'guess': 0.00099601593625498, 'wallabees': 0.00099601593625498, 'rip': 0.00099601593625498, 'struggle': 0.00099601593625498, 'realest': 0.01195219123505976, 'greyhound': 0.00099601593625498, 'prime': 0.00099601593625498, 'misunderstandin': 0.00099601593625498, 'situation': 0.00099601593625498, 'weeknd': 0.00099601593625498, 'things': 0.00298804780876494, 'past': 0.00099601593625498, 'talking': 0.00099601593625498, 'luxury': 0.00199203187250996, 'sheets': 0.00099601593625498, 'theme': 0.00099601593625498, 'plan': 0.00099601593625498, 'wax': 0.00099601593625498, 'petal': 0.00099601593625498, 'metal': 0.00099601593625498, 'four': 0.00099601593625498, 'coke': 0.00099601593625498, 'hoe': 0.00099601593625498, 'luca': 0.00099601593625498, 'day': 0.00199203187250996, 'limbs': 0.00099601593625498, 'clouds': 0.00099601593625498, 'others': 0.00099601593625498, 'soda': 0.00099601593625498, 'angels': 0.0049800796812749, 'slum': 0.00099601593625498, 'industry': 0.00099601593625498, 'ass': 0.00099601593625498, 'face': 0.00099601593625498, 'road': 0.00099601593625498, 'coca': 0.00099601593625498, 'crucifix': 0.00099601593625498, 'payroll': 0.00099601593625498, 'package': 0.00099601593625498, 'jacket': 0.00099601593625498, 'foo': 0.00099601593625498, 'digi': 0.00099601593625498, 'dish': 0.00099601593625498, 'fungus': 0.00099601593625498, 'honda': 0.00099601593625498, 'odds': 0.00099601593625498, 'supreme': 0.00099601593625498, 'pale': 0.00099601593625498, 'reciprocal': 0.00099601593625498, 'raw': 0.00099601593625498, 'instagram': 0.00099601593625498, 'royal': 0.00099601593625498, 'signs': 0.00099601593625498, 'short': 0.00099601593625498, 'glory': 0.00099601593625498, 'conversation': 0.00099601593625498, 'reasons': 0.00099601593625498, 'faint': 0.00099601593625498, 'weather': 0.00099601593625498, 'paint': 0.00199203187250996, 'k': 0.00099601593625498, 'prize': 0.00099601593625498, 'lying': 0.00099601593625498, 'chance': 0.00099601593625498, 'alcohol': 0.00099601593625498, 'polices': 0.00099601593625498, 'gamell': 0.00099601593625498, 'broccoli': 0.00099601593625498, 'ls': 0.00099601593625498, 'smithn': 0.00099601593625498, 'multiple': 0.00099601593625498, 'port': 0.00099601593625498, 'kid': 0.00099601593625498, 'artificial': 0.00099601593625498, 'last': 0.00199203187250996, 'kay': 0.00099601593625498, 'margin': 0.00099601593625498, 'hawkin': 0.00099601593625498, 'arms': 0.00199203187250996, 'leaves': 0.00298804780876494, 'loneliest': 0.00199203187250996, 'room': 0.00099601593625498, 'notebook': 0.00099601593625498, 'stop': 0.00099601593625498, 'stash': 0.00099601593625498, 'bens': 0.00099601593625498, 'mail': 0.00099601593625498}"
deal,"{'bet': 0.5, 'with': 0.5}"
bet,"{'i': 0.09090909090909091, 'with': 0.09090909090909091, 'not': 0.09090909090909091, 'the': 0.09090909090909091, 'im': 0.09090909090909091, 'a': 0.2727272727272727, 'whoever': 0.09090909090909091, 'you': 0.09090909090909091, 'it': 0.09090909090909091}"
i,"{'got': 0.07398568019093078, 'need': 0.014319809069212411, 'just': 0.026252983293556086, 'dont': 0.09944311853619729, 'get': 0.024661893396976928, 'bought': 0.0031821797931583136, 'am': 0.007159904534606206, 'spend': 0.0007955449482895784, 'did': 0.003977724741447892, 'didnt': 0.005568814638027049, 'cop': 0.0015910898965791568, 'could': 0.007955449482895784, 'was': 0.050119331742243436, 'say': 0.031026252983293555, 'look': 0.0031821797931583136, 'been': 0.007955449482895784, 'wont': 0.00477326968973747, 'made': 0.003977724741447892, 'treat': 0.0007955449482895784, 'like': 0.005568814638027049, 'really': 0.014319809069212411, 'wear': 0.0015910898965791568, 'fuck': 0.003977724741447892, 'aint': 0.059665871121718374, 'do': 0.013524264120922832, 'channel': 0.0007955449482895784, 'medicated': 0.0007955449482895784, 'gazed': 0.0007955449482895784, 'cant': 0.031821797931583136, 'watch': 0.002386634844868735, 'love': 0.02386634844868735, 'meant': 0.0015910898965791568, 'used': 0.002386634844868735, 'swear': 0.005568814638027049, 'hate': 0.0007955449482895784, 'live': 0.00477326968973747, 'want': 0.007159904534606206, 'wanna': 0.005568814638027049, 'shoot': 0.0007955449482895784, 'go': 0.011933174224343675, 'tell': 0.003977724741447892, 'give': 0.0031821797931583136, 'done': 0.01988862370723946, 'totally': 0.002386634844868735, 'see': 0.010342084327764518, 'came': 0.005568814638027049, 'hear': 0.0007955449482895784, 'stroke': 0.0007955449482895784, 'already': 0.0007955449482895784, 'know': 0.02784407319013524, 'forgive': 0.0007955449482895784, 'went': 0.00954653937947494, 'lost': 0.005568814638027049, 'remember': 0.003977724741447892, 'achieve': 0.0007955449482895784, 'would': 0.007955449482895784, 'ball': 0.0007955449482895784, 'fell': 0.003977724741447892, 'had': 0.023070803500397773, 'put': 0.0031821797931583136, 'no': 0.0031821797931583136, 'killed': 0.003977724741447892, 'instead': 0.0007955449482895784, 'ask': 0.002386634844868735, 'most': 0.0007955449482895784, 'overcome': 0.0015910898965791568, 'desire': 0.0007955449482895784, 'gave': 0.0007955449482895784, 'spent': 0.0007955449482895784, 'spit': 0.0007955449482895784, 'wrong': 0.0007955449482895784, 'kill': 0.003977724741447892, 'decline': 0.0007955449482895784, 'press': 0.0007955449482895784, 'left': 0.0007955449482895784, 'can': 0.01909307875894988, 'prefer': 0.0031821797931583136, 'nibble': 0.0007955449482895784, 'use': 0.0007955449482895784, 'heard': 0.0007955449482895784, 'met': 0.0031821797931583136, 'grip': 0.0015910898965791568, 'caught': 0.0015910898965791568, 'ever': 0.0031821797931583136, 'feel': 0.017501988862370723, 'follow': 0.0007955449482895784, 'hope': 0.0031821797931583136, 'knew': 0.0015910898965791568, 'loved': 0.0007955449482895784, 'flew': 0.0007955449482895784, 'now': 0.0007955449482895784, 'not': 0.0007955449482895784, 'never': 0.007159904534606206, 'straight': 0.0007955449482895784, 'sleep': 0.0007955449482895784, 'listen': 0.0007955449482895784, 'leave': 0.0031821797931583136, 'prayed': 0.0007955449482895784, 'couldnt': 0.003977724741447892, 'act': 0.0015910898965791568, 'buy': 0.0007955449482895784, 'let': 0.002386634844868735, 'gotta': 0.002386634844868735, 'break': 0.00477326968973747, 'call': 0.002386634844868735, 'be': 0.013524264120922832, 'pray': 0.0007955449482895784, 'bless': 0.002386634844868735, 'glow': 0.0007955449482895784, 'speak': 0.0015910898965791568, 'travel': 0.0007955449482895784, 'thought': 0.003977724741447892, 'whip': 0.0015910898965791568, 'mention': 0.0007955449482895784, 'bow': 0.0015910898965791568, 'wouldve': 0.002386634844868735, 'hit': 0.002386634844868735, 'spread': 0.0007955449482895784, 'kept': 0.0007955449482895784, 'mean': 0.0015910898965791568, 'became': 0.0007955449482895784, 'pay': 0.0007955449482895784, 'took': 0.0015910898965791568, 'ride': 0.0007955449482895784, 'keep': 0.002386634844868735, 'owe': 0.0007955449482895784, 'think': 0.002386634844868735, 'kissed': 0.0015910898965791568, 'miss': 0.0007955449482895784, 'seen': 0.0007955449482895784, 'lick': 0.0007955449482895784, 'talk': 0.00477326968973747, 'contained': 0.0007955449482895784, 'have': 0.002386634844868735, 'suffer': 0.0007955449482895784, 'run': 0.00477326968973747, 'tripping': 0.0007955449482895784, 'beat': 0.0007955449482895784, 'tried': 0.0007955449482895784, 'thrive': 0.0007955449482895784, 'possess': 0.0007955449482895784, 'cried': 0.0007955449482895784, 'grew': 0.002386634844868735, 'bump': 0.0007955449482895784, 'hustle': 0.003977724741447892, 'make': 0.0015910898965791568, 'promise': 0.0015910898965791568, 'kiss': 0.0015910898965791568, 'told': 0.0031821797931583136, 'turn': 0.005568814638027049, 'your': 0.0007955449482895784, 'come': 0.0031821797931583136, 'dream': 0.00477326968973747, 'fight': 0.0007955449482895784, 'taught': 0.0007955449482895784, 'perform': 0.0007955449482895784, 'sip': 0.0015910898965791568, 'rap': 0.0015910898965791568, 'lived': 0.0015910898965791568, 'shit': 0.0007955449482895784, 'guess': 0.002386634844868735, 'drift': 0.0007955449482895784, 'even': 0.0007955449482895784, 'rub': 0.002386634844868735, 'felt': 0.0007955449482895784, 'graduated': 0.0007955449482895784, 'touch': 0.0007955449482895784, 'mostly': 0.0007955449482895784, 'hold': 0.002386634844868735, 'protect': 0.0007955449482895784, 'dive': 0.0007955449482895784, 'supply': 0.0007955449482895784, 'comforted': 0.0007955449482895784, 'cook': 0.0007955449482895784, 'grab': 0.0007955449482895784, 'might': 0.0015910898965791568, 'pick': 0.0031821797931583136, 'eat': 0.0007955449482895784, 'shine': 0.0007955449482895784, 'throw': 0.0015910898965791568, 'stated': 0.0007955449482895784, 'dip': 0.0007955449482895784, 'woke': 0.0015910898965791568, 'don': 0.0007955449482895784, 'pull': 0.002386634844868735, 'stay': 0.0007955449482895784, 'still': 0.002386634844868735, 'rode': 0.0007955449482895784, 'expect': 0.0007955449482895784, 'will': 0.0031821797931583136, 'tend': 0.0007955449482895784, 'seem': 0.0007955449482895784, 'arch': 0.0007955449482895784, 'skated': 0.0007955449482895784, 'believe': 0.0031821797931583136, 'wrinkle': 0.0007955449482895784, 'stand': 0.0015910898965791568, 'bout': 0.0007955449482895784, 'bat': 0.0007955449482895784, 'jump': 0.0007955449482895784, 'only': 0.002386634844868735, 'barely': 0.0007955449482895784, 'hang': 0.0007955449482895784, 'shot': 0.0007955449482895784, 'deliver': 0.0007955449482895784, 'knowitssomething': 0.0007955449482895784, 'started': 0.0007955449482895784, 'followed': 0.0007955449482895784, 'remain': 0.0007955449482895784, 'abruptly': 0.0007955449482895784, 'win': 0.0007955449482895784, 'own': 0.0007955449482895784, 'fear': 0.0007955449482895784, 'bet': 0.0007955449482895784, 'take': 0.0007955449482895784, 'wreck': 0.0007955449482895784, 'read': 0.0007955449482895784, 'couldve': 0.002386634844868735, 'wish': 0.0031821797931583136, 'drill': 0.0007955449482895784, 'to': 0.0015910898965791568, 'once': 0.0007955449482895784}"
got,"{'two': 0.08, 'clientele': 0.005, 'it': 0.095, 'to': 0.045, 'money': 0.015, 'circumcised': 0.005, 'something': 0.005, 'on': 0.005, 'a': 0.145, 'six': 0.05, 'in': 0.005, 'no': 0.02, 'my': 0.035, 'another': 0.005, 'him': 0.005, 'raw': 0.005, 'stripes': 0.005, 'with': 0.005, 'married': 0.005, 'them': 0.025, 'niggas': 0.005, 'off': 0.015, 'back': 0.005, 'inisotol': 0.005, 'strong': 0.005, 'pussy': 0.005, 'caught': 0.005, 'into': 0.005, 'all': 0.005, 'family': 0.005, 'an': 0.015, 'the': 0.06, 'some': 0.025, 'status': 0.005, 'louder': 0.005, 'somethin': 0.005, 'me': 0.01, 'her': 0.04, 'soft': 0.005, 'too': 0.005, 'round': 0.01, 'your': 0.01, '11': 0.005, 'pretty': 0.005, 'suspended': 0.005, 'this': 0.01, 'dodo': 0.005, 'more': 0.02, 'time': 0.005, 'em': 0.02, 'coke': 0.005, 'you': 0.02, 'plenty': 0.005, 'bodies': 0.005, 'one': 0.005, 'away': 0.005, 'enough': 0.01, 'fat': 0.005, 'what': 0.005, 'so': 0.01, 'i': 0.005, 'real': 0.005, 'his': 0.005, 'ass': 0.005, 'bad': 0.005, 'mad': 0.005}"
two,"{'phones': 0.45714285714285713, 'more': 0.22857142857142856, 'grand': 0.02857142857142857, 'or': 0.02857142857142857, 'seconds': 0.02857142857142857, 'mouths': 0.02857142857142857, 'lets': 0.02857142857142857, 'point': 0.02857142857142857, 'time': 0.02857142857142857, 'for': 0.02857142857142857, 'to': 0.02857142857142857, 'pistol': 0.02857142857142857, 'piece': 0.02857142857142857}"
phones,{'one': 1.0}
one,"{'for': 0.20512820512820512, 'of': 0.05128205128205128, 'day': 0.04487179487179487, 'understand': 0.019230769230769232, 'thing': 0.10897435897435898, 'that': 0.05128205128205128, 'take': 0.00641025641025641, 'threw': 0.00641025641025641, 'go': 0.00641025641025641, 'struggles': 0.01282051282051282, 'wwwwwinners': 0.00641025641025641, 'lay': 0.00641025641025641, 'bedroom': 0.00641025641025641, 'you': 0.05128205128205128, 'say': 0.02564102564102564, 'actors': 0.00641025641025641, 'aint': 0.00641025641025641, 'who': 0.00641025641025641, 'on': 0.019230769230769232, 'to': 0.05128205128205128, 'alright': 0.07692307692307693, 'love': 0.019230769230769232, 'after': 0.00641025641025641, 'deep': 0.01282051282051282, 'givin': 0.00641025641025641, 'this': 0.00641025641025641, 'nigga': 0.00641025641025641, 'under': 0.00641025641025641, 'else': 0.02564102564102564, 'in': 0.01282051282051282, 'time': 0.07692307692307693, 'way': 0.00641025641025641, 'text': 0.00641025641025641, 'two': 0.00641025641025641, 'another': 0.00641025641025641, 'possessing': 0.00641025641025641, 'nation': 0.00641025641025641, 'will': 0.00641025641025641}"
