Word,Frequency
oh,"{'this': 0.09090909090909091, 'baby': 0.09090909090909091, 'no': 0.2727272727272727, 'she': 0.18181818181818182, 'everybody': 0.09090909090909091, 'well': 0.09090909090909091, 'you': 0.09090909090909091, 'they': 0.09090909090909091}"
this,"{'the': 0.0425531914893617, 'cryin': 0.010638297872340425, 'shit': 0.17553191489361702, 'bullshit': 0.010638297872340425, 'up': 0.005319148936170213, 'bitch': 0.06914893617021277, 'a': 0.02127659574468085, 'motherfuckerup': 0.010638297872340425, 'what': 0.005319148936170213, 'for': 0.02127659574468085, 'was': 0.005319148936170213, 'still': 0.010638297872340425, 'revenue': 0.005319148936170213, 'money': 0.02127659574468085, 'paper': 0.005319148936170213, 'just': 0.026595744680851064, 'platinum': 0.005319148936170213, 'town': 0.005319148936170213, 'drip': 0.010638297872340425, 'cake': 0.005319148936170213, 'rollie': 0.005319148936170213, 'lifestyle': 0.010638297872340425, 'drank': 0.005319148936170213, 'you': 0.026595744680851064, 'pure': 0.026595744680851064, 'bag': 0.005319148936170213, 'year': 0.010638297872340425, 'too': 0.005319148936170213, 'number': 0.005319148936170213, 'coupe': 0.005319148936170213, 'cash': 0.005319148936170213, 'my': 0.005319148936170213, 'christmas': 0.005319148936170213, 'top': 0.005319148936170213, 'bail': 0.005319148936170213, 'song': 0.005319148936170213, 'hoe': 0.015957446808510637, 'is': 0.03723404255319149, 'aint': 0.015957446808510637, 'swag': 0.005319148936170213, 'fn': 0.005319148936170213, 'ho': 0.005319148936170213, 'house': 0.010638297872340425, 'penthouse': 0.005319148936170213, 'i': 0.03723404255319149, 'run': 0.005319148936170213, 'beat': 0.010638297872340425, 'cheddar': 0.005319148936170213, 'summer': 0.005319148936170213, 'food': 0.02127659574468085, 'guap': 0.005319148936170213, 'road': 0.005319148936170213, 'but': 0.005319148936170213, 'risk': 0.005319148936170213, 'position': 0.005319148936170213, 'together': 0.005319148936170213, 'rap': 0.010638297872340425, 'motherfucker': 0.010638297872340425, 'far': 0.015957446808510637, 'shitll': 0.005319148936170213, 'point': 0.005319148936170213, 'life': 0.005319148936170213, 'microphone': 0.005319148936170213, 'fame': 0.02127659574468085, 'trap': 0.005319148936170213, 'water': 0.005319148936170213, 'glock': 0.005319148936170213, 'guala': 0.005319148936170213, 'might': 0.005319148936170213, 'new': 0.010638297872340425, 'so': 0.005319148936170213, 'if': 0.005319148936170213, 'im': 0.010638297872340425, 'that': 0.015957446808510637, 'one': 0.005319148936170213, 'weight': 0.005319148936170213, 'pain': 0.005319148936170213}"
the,"{'one': 0.00674373795761079, 'old': 0.0038535645472061657, 'truth': 0.007707129094412331, 'unthinkable': 0.0019267822736030828, 'internet': 0.0019267822736030828, 'hell': 0.0019267822736030828, 'game': 0.009633911368015413, 'first': 0.0019267822736030828, 'latest': 0.0019267822736030828, 'whole': 0.010597302504816955, 'plug': 0.009633911368015413, 'bottom': 0.007707129094412331, 'four': 0.0019267822736030828, 'nine': 0.0009633911368015414, 'woes': 0.0009633911368015414, 'low': 0.005780346820809248, 'ball': 0.004816955684007707, 'paint': 0.0009633911368015414, 'fall': 0.0009633911368015414, 'shit': 0.002890173410404624, 'mattress': 0.0009633911368015414, 'attic': 0.0009633911368015414, 'sofa': 0.0009633911368015414, 'gang': 0.009633911368015413, 'fullest': 0.0009633911368015414, 'life': 0.0009633911368015414, 'city': 0.004816955684007707, 'bando': 0.0009633911368015414, 'lil': 0.0019267822736030828, 'stars': 0.005780346820809248, 'car': 0.005780346820809248, 'members': 0.0009633911368015414, 'charge': 0.0038535645472061657, 'world': 0.002890173410404624, 'dealership': 0.002890173410404624, 'double': 0.0019267822736030828, 'main': 0.0038535645472061657, 'same': 0.02119460500963391, 'death': 0.0019267822736030828, 'policell': 0.0009633911368015414, 'fuck': 0.007707129094412331, 'flames': 0.0009633911368015414, 'mind': 0.0009633911368015414, 'way': 0.024084778420038536, 'mirror': 0.0009633911368015414, 'signs': 0.0009633911368015414, 'blind': 0.0019267822736030828, 'phone': 0.0038535645472061657, 'morning': 0.008670520231213872, 'only': 0.005780346820809248, 'front': 0.0009633911368015414, 'storm': 0.0009633911368015414, 'sun': 0.00674373795761079, 'problem': 0.0009633911368015414, 'trend': 0.0009633911368015414, 'law': 0.0038535645472061657, 'people': 0.0019267822736030828, 'system': 0.0019267822736030828, 'chance': 0.0009633911368015414, 'stand': 0.0009633911368015414, 'air': 0.0009633911368015414, 'streets': 0.016377649325626204, 'power': 0.0009633911368015414, 'mail': 0.0009633911368015414, 'time': 0.0009633911368015414, 'reason': 0.0019267822736030828, 'biggest': 0.0019267822736030828, 'robbers': 0.0009633911368015414, 'youngins': 0.0009633911368015414, 'crib': 0.0009633911368015414, 'hand': 0.0009633911368015414, 'money': 0.023121387283236993, 'foreign': 0.002890173410404624, 'forest': 0.002890173410404624, 'lead': 0.0019267822736030828, 'new': 0.002890173410404624, 'top': 0.011560693641618497, 'big': 0.004816955684007707, 'comparisons': 0.0009633911368015414, 'baddest': 0.0019267822736030828, 'dope': 0.0009633911368015414, 'back': 0.00674373795761079, 'bands': 0.0009633911368015414, 'road': 0.01348747591522158, 'strippers': 0.0009633911368015414, 'west': 0.0038535645472061657, 'rubber': 0.0009633911368015414, 'crowd': 0.002890173410404624, 'partments': 0.0019267822736030828, 'chopstick': 0.0009633911368015414, 'gas': 0.009633911368015413, 'bank': 0.005780346820809248, 'moves': 0.0009633911368015414, 'news': 0.004816955684007707, 'street': 0.012524084778420038, 'heat': 0.0019267822736030828, 'beef': 0.0009633911368015414, 'bitch': 0.008670520231213872, 'rock': 0.0009633911368015414, 'rap': 0.0009633911368015414, 'block': 0.0038535645472061657, 'bigger': 0.0009633911368015414, 'range': 0.0009633911368015414, 'hood': 0.019267822736030827, 'town': 0.0009633911368015414, 'bay': 0.0009633911368015414, 'pack': 0.008670520231213872, 'stove': 0.0019267822736030828, 'club': 0.0009633911368015414, 'pole': 0.0009633911368015414, 'mo': 0.0009633911368015414, 'envelope': 0.0009633911368015414, 'pounds': 0.0009633911368015414, 'trenches': 0.0019267822736030828, 'clique': 0.0019267822736030828, 'dick': 0.0009633911368015414, 'real': 0.00674373795761079, 'can': 0.0019267822736030828, 'man': 0.0038535645472061657, 'ground': 0.0019267822736030828, 'van': 0.0009633911368015414, 'summer': 0.0019267822736030828, 'interstate': 0.0009633911368015414, 'opps': 0.008670520231213872, 'stick': 0.002890173410404624, 'vibes': 0.0009633911368015414, 'cut': 0.0019267822736030828, 'bag': 0.0019267822736030828, 'goyard': 0.0009633911368015414, 'crew': 0.0038535645472061657, 'wrong': 0.0009633911368015414, 'forecast': 0.004816955684007707, 'feds': 0.005780346820809248, 'ahks': 0.0009633911368015414, 'trap': 0.004816955684007707, 'porch': 0.0019267822736030828, 'wall': 0.002890173410404624, 'cell': 0.0019267822736030828, 'jeep': 0.0009633911368015414, 'vet': 0.0019267822736030828, 'rage': 0.0009633911368015414, 'cage': 0.0038535645472061657, 'pain': 0.0009633911368015414, 'wave': 0.004816955684007707, 'fifties': 0.0009633911368015414, 'hundreds': 0.0009633911368015414, 'dubs': 0.0009633911368015414, 'jects': 0.0009633911368015414, 'booth': 0.0019267822736030828, 'plan': 0.0009633911368015414, 'bros': 0.009633911368015413, 'fans': 0.002890173410404624, 'haters': 0.002890173410404624, 'table': 0.004816955684007707, 'crockpot': 0.0009633911368015414, 'drop': 0.004816955684007707, 'celly': 0.0009633911368015414, 'telly': 0.00674373795761079, 'vibe': 0.0038535645472061657, 'guns': 0.0009633911368015414, 'corner': 0.0009633911368015414, 'gutter': 0.0009633911368015414, 'budget': 0.002890173410404624, 'bricks': 0.0009633911368015414, 'backend': 0.0009633911368015414, 'drugs': 0.0019267822736030828, 'spot': 0.005780346820809248, 'sudden': 0.0019267822736030828, 'project': 0.0009633911368015414, 'laughing': 0.0009633911368015414, 'chart': 0.0009633911368015414, 'brodie': 0.002890173410404624, 'richest': 0.0019267822736030828, 'chosen': 0.0019267822736030828, 'fame': 0.002890173410404624, 'face': 0.002890173410404624, 'floor': 0.015414258188824663, 'start': 0.0038535645472061657, 'kid': 0.005780346820809248, 'coldest': 0.0009633911368015414, 'over': 0.0009633911368015414, 'ocean': 0.0009633911368015414, 'opp': 0.0019267822736030828, 'door': 0.008670520231213872, 'rolls': 0.0019267822736030828, 'type': 0.002890173410404624, 'rugers': 0.0009633911368015414, 'college': 0.0009633911368015414, 'trust': 0.0009633911368015414, 'beat': 0.0019267822736030828, 'mayor': 0.005780346820809248, 'pen': 0.0009633911368015414, 'track': 0.0019267822736030828, 'southside': 0.011560693641618497, 'd': 0.002890173410404624, 'neighborhood': 0.002890173410404624, 'rent': 0.0009633911368015414, 'gucci': 0.0019267822736030828, 'brain': 0.0009633911368015414, 'name': 0.0009633911368015414, 'frontrunner': 0.0009633911368015414, 'backends': 0.0009633911368015414, 'clear': 0.0009633911368015414, 'glizzy': 0.0019267822736030828, 'balcony': 0.0019267822736030828, 'homie': 0.0009633911368015414, 'baby': 0.0019267822736030828, 'pussy': 0.0019267822736030828, 'vette': 0.0009633911368015414, 'shower': 0.004816955684007707, 'rim': 0.0009633911368015414, 'gym': 0.0019267822736030828, 'lean': 0.0009633911368015414, 'perc': 0.0009633911368015414, 'counter': 0.0009633911368015414, 'kitchen': 0.0019267822736030828, 'rest': 0.004816955684007707, 'benz': 0.0009633911368015414, 'coupe': 0.0009633911368015414, 'phillipe': 0.0009633911368015414, 'store': 0.00674373795761079, 'roof': 0.0009633911368015414, 'wraith': 0.002890173410404624, 'cages': 0.0009633911368015414, 'projects': 0.002890173410404624, 'team': 0.0009633911368015414, 'cheese': 0.002890173410404624, 'cake': 0.0009633911368015414, 'dawgs': 0.0009633911368015414, 'drip': 0.0019267822736030828, 'woah': 0.0009633911368015414, 'swag': 0.0009633911368015414, 'trial': 0.0009633911368015414, 'migos': 0.0009633911368015414, 'mix': 0.0019267822736030828, 'knicks': 0.0009633911368015414, 'layup': 0.0009633911368015414, 'lawyer': 0.0009633911368015414, 'slums': 0.0009633911368015414, 'button': 0.0019267822736030828, 'doors': 0.002890173410404624, 'day': 0.0019267822736030828, 'maybach': 0.0009633911368015414, 'right': 0.0019267822736030828, 'harder': 0.0009633911368015414, 'doctor': 0.0009633911368015414, 'act': 0.0009633911368015414, 'six': 0.0009633911368015414, 'rain': 0.0009633911368015414, 'roaches': 0.0009633911368015414, 'jungle': 0.0019267822736030828, 'fastest': 0.0038535645472061657, 'weather': 0.0009633911368015414, 'ghetto': 0.0009633911368015414, 'casket': 0.0009633911368015414, 'tipoff': 0.0009633911368015414, 'clouds': 0.0038535645472061657, 'wind': 0.00674373795761079, 'difference': 0.0009633911368015414, 'sky': 0.0019267822736030828, 'route': 0.0009633911368015414, 'house': 0.0019267822736030828, 'field': 0.004816955684007707, 'deep': 0.0038535645472061657, 'shooter': 0.0009633911368015414, 'hitech': 0.0009633911368015414, 'best': 0.007707129094412331, 'windows': 0.0009633911368015414, 'hitters': 0.0009633911368015414, 'globe': 0.0019267822736030828, 'bullshit': 0.0009633911368015414, 'food': 0.0009633911368015414, 'sequel': 0.0009633911368015414, 'lottery': 0.0009633911368015414, 'captain': 0.0009633911368015414, 'white': 0.0009633911368015414, 'red': 0.0019267822736030828, 'chopper': 0.0009633911368015414, 'rearview': 0.0009633911368015414, 'cars': 0.014450867052023121, 'award': 0.002890173410404624, 'daytime': 0.0009633911368015414, 'pilot': 0.0009633911368015414, 'job': 0.0009633911368015414, 'nigga': 0.002890173410404624, 'stupid': 0.0009633911368015414, 'outside': 0.0009633911368015414, 'good': 0.0009633911368015414, 'ice': 0.0038535645472061657, 'narcs': 0.0009633911368015414, 'dots': 0.002890173410404624, 'scale': 0.002890173410404624, 'chair': 0.002890173410404624, 'kiosk': 0.0009633911368015414, 'creep': 0.0009633911368015414, 'whip': 0.0009633911368015414, 'chin': 0.0009633911368015414, 'hotel': 0.0009633911368015414, 'fast': 0.0009633911368015414, 'hustle': 0.0038535645472061657, 'grind': 0.0009633911368015414, 'lineup': 0.0009633911368015414, 'climate': 0.0009633911368015414, 'ring': 0.0009633911368015414, 'chain': 0.0009633911368015414, 'trunk': 0.0009633911368015414, 'finest': 0.0019267822736030828, 'issue': 0.0019267822736030828, 'laws': 0.0019267822736030828, 'middle': 0.007707129094412331, 'rear': 0.005780346820809248, 'lot': 0.00674373795761079, 'bach': 0.0009633911368015414, 'max': 0.0009633911368015414, 'cat': 0.0009633911368015414, 'homies': 0.0009633911368015414, 'ozone': 0.0009633911368015414, 'bench': 0.0009633911368015414, 'winter': 0.0009633911368015414, 'book': 0.0009633911368015414, 'nose': 0.0009633911368015414, 'yard': 0.0009633911368015414, 'messenger': 0.0009633911368015414, 'extra': 0.0038535645472061657, 'baking': 0.0009633911368015414, 'closet': 0.0009633911368015414, 'cash': 0.0009633911368015414, 'jeweler': 0.0009633911368015414, 'mula': 0.0009633911368015414, 'protocol': 0.0009633911368015414, 'country': 0.0009633911368015414, 'card': 0.0009633911368015414, 'waldorf': 0.0009633911368015414, 'party': 0.0009633911368015414, 'lakers': 0.0009633911368015414, 'neighbors': 0.0009633911368015414, 'paper': 0.0019267822736030828, 'business': 0.0019267822736030828, 'yo': 0.0009633911368015414, 'motor': 0.0009633911368015414, 'recipe': 0.0009633911368015414, 'clip': 0.0019267822736030828, 'smoke': 0.0009633911368015414, 'frog': 0.0009633911368015414, 'fake': 0.0009633911368015414, 'millions': 0.0009633911368015414, 'struggle': 0.002890173410404624, 'sack': 0.0009633911368015414, 'blame': 0.0009633911368015414, 'crime': 0.0009633911368015414, 'curveball': 0.0019267822736030828, 'nets': 0.0009633911368015414, 'drank': 0.0009633911368015414, 'devil': 0.0009633911368015414, 'reverend': 0.0009633911368015414, 'jewish': 0.0009633911368015414, 'water': 0.0019267822736030828, 'load': 0.002890173410404624, 'fouls': 0.0009633911368015414, 'roadblock': 0.0009633911368015414, 'hate': 0.005780346820809248, 'joint': 0.0009633911368015414, 'schedule': 0.0009633911368015414, 'pills': 0.0019267822736030828, 'jet': 0.0009633911368015414, 'lights': 0.005780346820809248, 'blitz': 0.002890173410404624, 'iron': 0.0009633911368015414, 'year': 0.0009633911368015414, 'fuckery': 0.0009633911368015414, 'safe': 0.0019267822736030828, 'weirdos': 0.0009633911368015414, 'weird': 0.0009633911368015414, 'drama': 0.0009633911368015414, 'pint': 0.002890173410404624, 'flight': 0.002890173410404624, 'plane': 0.0009633911368015414, 'firest': 0.0009633911368015414, 'codeine': 0.0009633911368015414, 'guys': 0.0009633911368015414, 'ratchet': 0.0009633911368015414, 'scrap': 0.0009633911368015414, 'influence': 0.0009633911368015414, 'vault': 0.0009633911368015414, 'alphabet': 0.0009633911368015414, 'most': 0.0009633911368015414, 'ls': 0.0009633911368015414, 'straps': 0.0009633911368015414, 'look': 0.0009633911368015414, 'grave': 0.0009633911368015414}"
one,"{'right': 0.0125, 'call': 0.025, 'held': 0.025, 'of': 0.2125, 'you': 0.05, 'too': 0.0125, 'thing': 0.075, 'time': 0.0375, 'day': 0.0125, 'more': 0.025, 'nigga': 0.0125, 'hoppin': 0.0125, 'woah': 0.025, 'ah': 0.0125, 'yeah': 0.025, 'from': 0.025, 'my': 0.025, 'im': 0.025, 'hundred': 0.0125, 'we': 0.0375, 'nah': 0.0125, 'spot': 0.0125, 'i': 0.025, 'but': 0.0125, 'lets': 0.0125, 'to': 0.0125, 'if': 0.05, 'up': 0.025, 'homeowe': 0.0125, 'punch': 0.0125, 'stood': 0.0125, 'out': 0.0125, 'gold': 0.0625, 'about': 0.0125, 'chance': 0.0125}"
right,"{'here': 0.19444444444444445, 'i': 0.027777777777777776, 'wrist': 0.05555555555555555, 'or': 0.027777777777777776, 'that': 0.027777777777777776, 'now': 0.08333333333333333, 'to': 0.027777777777777776, 'lets': 0.027777777777777776, 'until': 0.027777777777777776, 'come': 0.027777777777777776, 'and': 0.027777777777777776, 'there': 0.2777777777777778, 'through': 0.027777777777777776, 'one': 0.027777777777777776, 'behind': 0.027777777777777776, 'nigga': 0.027777777777777776, 'back': 0.05555555555555555}"
here,"{'wicked': 0.022727272727272728, 'the': 0.045454545454545456, 'is': 0.022727272727272728, 'we': 0.20454545454545456, 'god': 0.09090909090909091, 'to': 0.022727272727272728, 'doin': 0.022727272727272728, 'and': 0.022727272727272728, 'girl': 0.022727272727272728, 'go': 0.022727272727272728, 'my': 0.13636363636363635, 'thotiana': 0.022727272727272728, 'i': 0.11363636363636363, 'for': 0.18181818181818182, 'if': 0.022727272727272728, 'cause': 0.022727272727272728}"
wicked,"{'okay': 0.5, 'just': 0.5}"
okay,"{'yeah': 0.2, 'man': 0.2, 'cool': 0.2, 'so': 0.2, 'free': 0.2}"
yeah,"{'yeah': 0.12167300380228137, 'run': 0.011406844106463879, 'shoutout': 0.0076045627376425855, 'whats': 0.0038022813688212928, 'i': 0.13307984790874525, 'its': 0.0076045627376425855, 'young': 0.0038022813688212928, 'you': 0.011406844106463879, 'none': 0.011406844106463879, 'brand': 0.0038022813688212928, 'my': 0.011406844106463879, 'im': 0.09885931558935361, 'no': 0.015209125475285171, 'better': 0.0038022813688212928, 'thats': 0.11787072243346007, 'me': 0.0038022813688212928, 'we': 0.019011406844106463, 'she': 0.022813688212927757, 'but': 0.0076045627376425855, 'now': 0.0076045627376425855, 'made': 0.022813688212927757, 'from': 0.019011406844106463, 'new': 0.0038022813688212928, 'free': 0.0038022813688212928, 'toast': 0.0038022813688212928, 'the': 0.030418250950570342, 'skrrt': 0.0038022813688212928, 'fn': 0.0038022813688212928, 'carats': 0.0038022813688212928, 'turn': 0.0038022813688212928, 'on': 0.0076045627376425855, 'got': 0.0038022813688212928, 'skydweller': 0.0038022813688212928, 'know': 0.0076045627376425855, 'uhhuh': 0.0038022813688212928, 'lightspeed': 0.0038022813688212928, 'they': 0.030418250950570342, 'southside': 0.0038022813688212928, 'fiftyfive': 0.0038022813688212928, 'how': 0.0076045627376425855, 'droptop': 0.0038022813688212928, 'try': 0.0038022813688212928, 'cook': 0.0076045627376425855, 'what': 0.0076045627376425855, 'press': 0.0038022813688212928, 'ima': 0.011406844106463879, 'if': 0.0038022813688212928, 'stickyass': 0.0038022813688212928, 'big': 0.0038022813688212928, 'fuck': 0.019011406844106463, 'this': 0.0038022813688212928, 'and': 0.0076045627376425855, 'gave': 0.0038022813688212928, 'sometimes': 0.0038022813688212928, 'thinkin': 0.0038022813688212928, 'hitboy': 0.0038022813688212928, 'real': 0.0038022813688212928, 'so': 0.0038022813688212928, 'hop': 0.0038022813688212928, 'get': 0.0038022813688212928, 'baby': 0.0038022813688212928, 'count': 0.0038022813688212928, 'pray': 0.0038022813688212928, 'bitches': 0.0038022813688212928, 'keep': 0.0038022813688212928, 'bankrollgettinbiggernigga': 0.0038022813688212928, 'pardon': 0.0038022813688212928, 'it': 0.0038022813688212928, 'show': 0.0038022813688212928, 'cullinan': 0.0038022813688212928, 'all': 0.0038022813688212928, 'watch': 0.0076045627376425855, 'when': 0.0076045627376425855, 'g': 0.0038022813688212928, 'whatd': 0.0038022813688212928, 'pour': 0.011406844106463879, 'forty': 0.011406844106463879, 'servin': 0.0038022813688212928}"
run,"{'that': 0.03076923076923077, 'with': 0.06153846153846154, 'up': 0.046153846153846156, 'in': 0.03076923076923077, 'off': 0.046153846153846156, 'and': 0.03076923076923077, 'out': 0.046153846153846156, 'wunna': 0.015384615384615385, 'from': 0.015384615384615385, 'earl': 0.015384615384615385, 'atlanta': 0.1076923076923077, 'it': 0.3076923076923077, 'our': 0.015384615384615385, 'into': 0.015384615384615385, 'to': 0.03076923076923077, 'baby': 0.015384615384615385, 'if': 0.015384615384615385, 'mines': 0.015384615384615385, 'cant': 0.015384615384615385, 'through': 0.06153846153846154, 'the': 0.06153846153846154}"
