Word,Frequency
undeas,"{'lil': 0.5, 'ow': 0.5}"
lil,"{'ceaser': 0.0196078431372549, 'kim': 0.6666666666666666, 'cease': 0.0784313725490196, 'kims': 0.058823529411764705, 'nique': 0.0196078431372549, 'ceas': 0.0196078431372549, 'ceaseah': 0.0196078431372549, 'bitch': 0.0392156862745098, 'homies': 0.0196078431372549, 'homey': 0.0196078431372549, 'son': 0.0196078431372549, 'to': 0.0196078431372549}"
ceaser,{'queen': 1.0}
queen,"{'b': 0.2033898305084746, 'bee': 0.3898305084745763, 'bitch': 0.1016949152542373, 'and': 0.03389830508474576, 'comes': 0.01694915254237288, 'of': 0.06779661016949153, 'is': 0.05084745762711865, 'sista': 0.01694915254237288, 'come': 0.03389830508474576, 'ya': 0.01694915254237288, 'he': 0.01694915254237288, 'all': 0.01694915254237288, 'but': 0.01694915254237288, 'give': 0.01694915254237288}"
b,"{'thats': 0.058823529411764705, 'but': 0.5294117647058824, 'and': 0.058823529411764705, 'be': 0.058823529411764705, 'curvalicious': 0.058823529411764705, 'am': 0.058823529411764705, 'gun': 0.058823529411764705, 'masturbate': 0.058823529411764705, 'double': 0.058823529411764705}"
thats,"{'me': 0.038461538461538464, 'invalid': 0.01282051282051282, 'to': 0.01282051282051282, 'what': 0.07692307692307693, 'cool': 0.02564102564102564, 'how': 0.05128205128205128, 'when': 0.02564102564102564, 'why': 0.16666666666666666, 'right': 0.1794871794871795, 'in': 0.01282051282051282, 'my': 0.05128205128205128, 'frontin': 0.01282051282051282, 'enough': 0.01282051282051282, 'pretty': 0.01282051282051282, 'for': 0.01282051282051282, 'your': 0.01282051282051282, 'still': 0.01282051282051282, 'real': 0.01282051282051282, 'just': 0.02564102564102564, 'it': 0.02564102564102564, 'all': 0.02564102564102564, 'bad': 0.01282051282051282, 'the': 0.05128205128205128, 'torture': 0.01282051282051282, 'a': 0.038461538461538464, 'dope': 0.01282051282051282, 'cap': 0.01282051282051282, 'yvonne': 0.01282051282051282, 'red': 0.01282051282051282, 'out': 0.01282051282051282}"
me,"{'lil': 0.004662004662004662, 'i': 0.027972027972027972, 'on': 0.055944055944055944, 'no': 0.018648018648018648, 'not': 0.002331002331002331, 'hot': 0.002331002331002331, 'off': 0.006993006993006993, 'if': 0.02564102564102564, 'you': 0.018648018648018648, 'im': 0.011655011655011656, 'bout': 0.004662004662004662, 'cmon': 0.002331002331002331, 'so': 0.011655011655011656, 'miss': 0.009324009324009324, 'get': 0.018648018648018648, 'and': 0.07692307692307693, 'oh': 0.006993006993006993, 'ladies': 0.002331002331002331, 'my': 0.011655011655011656, 'cause': 0.018648018648018648, 'sicker': 0.002331002331002331, 'by': 0.006993006993006993, 'sayin': 0.002331002331002331, 'bet': 0.002331002331002331, 'wanna': 0.002331002331002331, 'mo': 0.002331002331002331, 'to': 0.018648018648018648, 'whats': 0.004662004662004662, 'killas': 0.011655011655011656, 'how': 0.027972027972027972, 'dont': 0.011655011655011656, 'before': 0.002331002331002331, 'at': 0.002331002331002331, 'fall': 0.011655011655011656, 'wetter': 0.002331002331002331, 'better': 0.002331002331002331, 'with': 0.006993006993006993, 'ten': 0.004662004662004662, 'should': 0.002331002331002331, 'say': 0.002331002331002331, 'gotta': 0.002331002331002331, 'night': 0.002331002331002331, 'from': 0.006993006993006993, 'bricks': 0.002331002331002331, 'after': 0.002331002331002331, 'in': 0.011655011655011656, 'out': 0.004662004662004662, 'now': 0.002331002331002331, 'he': 0.002331002331002331, 'is': 0.006993006993006993, 'downtown': 0.002331002331002331, 'alone': 0.002331002331002331, 'pissed': 0.002331002331002331, 'a': 0.009324009324009324, 'the': 0.027972027972027972, 'let': 0.002331002331002331, 'know': 0.002331002331002331, 'then': 0.011655011655011656, 'tonight': 0.011655011655011656, 'when': 0.006993006993006993, 'did': 0.002331002331002331, 'some': 0.004662004662004662, 'all': 0.006993006993006993, 'hear': 0.006993006993006993, 'show': 0.002331002331002331, 'sweety': 0.002331002331002331, 'grab': 0.002331002331002331, 'or': 0.004662004662004662, 'we': 0.006993006993006993, 'give': 0.004662004662004662, 'one': 0.004662004662004662, 'call': 0.004662004662004662, 'wake': 0.002331002331002331, 'nowadays': 0.002331002331002331, 'good': 0.002331002331002331, 'feel': 0.004662004662004662, 'propofol': 0.002331002331002331, 'sunshine': 0.002331002331002331, 'babe': 0.013986013986013986, 'cum': 0.004662004662004662, 'five': 0.002331002331002331, 'as': 0.004662004662004662, 'doing': 0.002331002331002331, 'too': 0.002331002331002331, 'clean': 0.002331002331002331, 'she': 0.004662004662004662, 'her': 0.002331002331002331, 'later': 0.002331002331002331, 'for': 0.009324009324009324, 'verse': 0.002331002331002331, 'notalot': 0.002331002331002331, 'stress': 0.002331002331002331, 'this': 0.002331002331002331, 'that': 0.04895104895104895, 'nigga': 0.002331002331002331, 'of': 0.002331002331002331, 'hold': 0.002331002331002331, 'rap': 0.002331002331002331, 'there': 0.006993006993006993, 'musics': 0.002331002331002331, 'love': 0.002331002331002331, 'style': 0.002331002331002331, 'was': 0.002331002331002331, 'thered': 0.002331002331002331, 'put': 0.002331002331002331, 'u': 0.002331002331002331, 'they': 0.002331002331002331, 'happy': 0.002331002331002331, 'disrespect': 0.002331002331002331, 'always': 0.002331002331002331, 'much': 0.002331002331002331, 'workin': 0.002331002331002331, 'uh': 0.004662004662004662, 'ask': 0.002331002331002331, 'forced': 0.002331002331002331, 'little': 0.002331002331002331, 'requests': 0.002331002331002331, 'big': 0.002331002331002331, 'where': 0.004662004662004662, 'daddy': 0.002331002331002331, 'its': 0.006993006993006993, 'blanco': 0.002331002331002331, 'hahahahahahaha': 0.002331002331002331, 'your': 0.002331002331002331, 'youre': 0.03263403263403263, 'heartbreaker': 0.02097902097902098, 'even': 0.002331002331002331, 'come': 0.002331002331002331, 'tell': 0.002331002331002331, 'down': 0.004662004662004662, 'different': 0.002331002331002331, 'funny': 0.002331002331002331, 'ive': 0.002331002331002331, 'like': 0.006993006993006993, 'every': 0.002331002331002331, 'xtassy': 0.002331002331002331, 'yeah': 0.013986013986013986, 'pray': 0.006993006993006993, 'but': 0.002331002331002331, 'just': 0.002331002331002331, 'pardon': 0.006993006993006993, 'because': 0.002331002331002331, 'bitch': 0.002331002331002331, 'does': 0.002331002331002331, 'whos': 0.002331002331002331, 'spit': 0.002331002331002331, 'while': 0.002331002331002331, 'laugh': 0.002331002331002331, 'what': 0.002331002331002331, 'asap': 0.002331002331002331, 'dawg': 0.002331002331002331, 'holla': 0.002331002331002331, 'sick': 0.002331002331002331}"
kim,"{'yo': 0.012658227848101266, 'the': 0.0759493670886076, 'and': 0.10126582278481013, 'umm': 0.012658227848101266, 'clone': 0.02531645569620253, 'wanna': 0.012658227848101266, 'more': 0.012658227848101266, 'actually': 0.012658227848101266, 'thought': 0.012658227848101266, 'i': 0.02531645569620253, 'is': 0.02531645569620253, 'heh': 0.012658227848101266, 'got': 0.0379746835443038, 'hats': 0.012658227848101266, 'every': 0.012658227848101266, 'lil': 0.012658227848101266, 'bring': 0.012658227848101266, 'you': 0.012658227848101266, 'poster': 0.012658227848101266, 'not': 0.02531645569620253, 'gon': 0.012658227848101266, 'pussy': 0.012658227848101266, 'surpass': 0.012658227848101266, 'aura': 0.012658227848101266, 'been': 0.012658227848101266, 'queen': 0.012658227848101266, 'can': 0.05063291139240506, 'what': 0.012658227848101266, 'in': 0.012658227848101266, 'lets': 0.02531645569620253, 'hold': 0.012658227848101266, 'come': 0.0759493670886076, 'name': 0.012658227848101266, 'for': 0.02531645569620253, 'make': 0.012658227848101266, 'theres': 0.012658227848101266, 'season': 0.012658227848101266, 'thats': 0.012658227848101266, 'if': 0.02531645569620253, 'bitch': 0.012658227848101266, 'let': 0.012658227848101266, 'put': 0.012658227848101266, 'hardcore': 0.012658227848101266, 'kim': 0.012658227848101266, 'yeah': 0.012658227848101266, 'reppin': 0.012658227848101266, 'to': 0.012658227848101266, 'bayeyada': 0.012658227848101266, 'cmon': 0.012658227848101266, 'squeezed': 0.012658227848101266}"
yo,"{'i': 0.10810810810810811, 'mans': 0.02702702702702703, 'profile': 0.02702702702702703, 'yo': 0.05405405405405406, 'come': 0.10810810810810811, 'its': 0.02702702702702703, 'keep': 0.02702702702702703, 'she': 0.02702702702702703, 'put': 0.02702702702702703, 'some': 0.02702702702702703, 'im': 0.05405405405405406, 'these': 0.02702702702702703, 'like': 0.02702702702702703, 'look': 0.02702702702702703, 'whats': 0.02702702702702703, 'wife': 0.02702702702702703, 'shoes': 0.02702702702702703, 'every': 0.02702702702702703, 'and': 0.02702702702702703, 'sexy': 0.10810810810810811, 'ass': 0.02702702702702703, 'thats': 0.02702702702702703, 'time': 0.05405405405405406, 'what': 0.02702702702702703, 'dawg': 0.02702702702702703}"
i,"{'be': 0.0219435736677116, 'rock': 0.006269592476489028, 'get': 0.030303030303030304, 'know': 0.05956112852664577, 'had': 0.009404388714733543, 'got': 0.08150470219435736, 'wanna': 0.018808777429467086, 'proceed': 0.0010449320794148381, 'cant': 0.013584117032392894, 'even': 0.0020898641588296763, 'love': 0.018808777429467086, 'hope': 0.0010449320794148381, 'told': 0.00522466039707419, 'first': 0.0010449320794148381, 'want': 0.011494252873563218, 'look': 0.0073145245559038665, 'mean': 0.006269592476489028, 'dont': 0.05329153605015674, 'put': 0.003134796238244514, 'still': 0.0020898641588296763, 'been': 0.008359456635318705, 'did': 0.0041797283176593526, 'was': 0.0219435736677116, 'seen': 0.0020898641588296763, 'remain': 0.0010449320794148381, 'drop': 0.003134796238244514, 'step': 0.0010449320794148381, 'whistle': 0.0010449320794148381, 'see': 0.029258098223615466, 'draw': 0.0010449320794148381, 'ride': 0.0041797283176593526, 'mothered': 0.0010449320794148381, 'should': 0.0020898641588296763, 'smell': 0.0010449320794148381, 'ball': 0.0020898641588296763, 'stack': 0.0010449320794148381, 'its': 0.0010449320794148381, 'apologize': 0.0010449320794148381, 'just': 0.01671891327063741, 'lost': 0.0010449320794148381, 'bet': 0.014629049111807733, 'dust': 0.0010449320794148381, 'am': 0.01044932079414838, 'write': 0.0010449320794148381, 'used': 0.014629049111807733, 'wet': 0.0010449320794148381, 'watch': 0.0010449320794148381, 'dismissed': 0.0010449320794148381, 'stay': 0.0041797283176593526, 'aint': 0.034482758620689655, 'kick': 0.0010449320794148381, 'can': 0.030303030303030304, 'like': 0.014629049111807733, 'gotta': 0.01044932079414838, 'throw': 0.0020898641588296763, 'roll': 0.003134796238244514, 'gets': 0.0010449320794148381, 'hold': 0.0020898641588296763, 'caught': 0.0010449320794148381, 'never': 0.00522466039707419, 'throws': 0.0020898641588296763, 'boom': 0.0010449320794148381, 'bent': 0.0010449320794148381, 'loved': 0.0010449320794148381, 'met': 0.003134796238244514, 'homicide': 0.0010449320794148381, 'killed': 0.0010449320794148381, 'didnt': 0.0041797283176593526, 'sucked': 0.0020898641588296763, 'took': 0.0020898641588296763, 'think': 0.01567398119122257, 'bust': 0.0010449320794148381, 'couldnt': 0.00522466039707419, 'wanted': 0.0010449320794148381, 'dug': 0.0020898641588296763, 'fucked': 0.0010449320794148381, 'jumped': 0.0010449320794148381, 'thought': 0.0010449320794148381, 'give': 0.0020898641588296763, 'cherish': 0.0010449320794148381, 'could': 0.008359456635318705, 'treat': 0.0020898641588296763, 'liked': 0.0010449320794148381, 'called': 0.0010449320794148381, 'hit': 0.0041797283176593526, 'have': 0.0041797283176593526, 'speed': 0.0010449320794148381, 'pop': 0.0010449320794148381, 'sex': 0.0010449320794148381, 'said': 0.0020898641588296763, 'might': 0.003134796238244514, 'peeled': 0.0010449320794148381, 'knew': 0.0041797283176593526, 'cum': 0.0010449320794148381, 'rep': 0.0020898641588296763, 'make': 0.00522466039707419, 'rely': 0.0020898641588296763, 'die': 0.00522466039707419, 'momma': 0.0010449320794148381, 'follow': 0.0010449320794148381, 'cracks': 0.0010449320794148381, 'come': 0.00522466039707419, 'brought': 0.0010449320794148381, 'doubt': 0.0010449320794148381, 'send': 0.0010449320794148381, 'feel': 0.01044932079414838, 'begin': 0.0010449320794148381, 'sip': 0.0010449320794148381, 'dream': 0.0010449320794148381, 'fuck': 0.009404388714733543, 'stacks': 0.0010449320794148381, 'woke': 0.00522466039707419, 'wake': 0.0010449320794148381, 'wouldnt': 0.0010449320794148381, 'if': 0.0010449320794148381, 'fall': 0.0010449320794148381, 'score': 0.0010449320794148381, 'ever': 0.0010449320794148381, 'trippin': 0.0010449320794148381, 'gave': 0.003134796238244514, 'missed': 0.0020898641588296763, 'waited': 0.0010449320794148381, 'practice': 0.0010449320794148381, 'do': 0.01044932079414838, 'heard': 0.024033437826541274, 'bought': 0.0010449320794148381, 'reminisce': 0.0010449320794148381, 'lied': 0.0010449320794148381, 'cried': 0.0010449320794148381, 'remember': 0.0010449320794148381, 'copped': 0.0010449320794148381, 'so': 0.0010449320794148381, 'shoulda': 0.0010449320794148381, 'need': 0.006269592476489028, 'made': 0.0010449320794148381, 'would': 0.003134796238244514, 'swear': 0.0020898641588296763, 'go': 0.0041797283176593526, 'jumps': 0.0010449320794148381, 'hear': 0.0041797283176593526, 'paid': 0.0010449320794148381, 'saw': 0.0020898641588296763, 'opened': 0.0010449320794148381, 'woulda': 0.0020898641588296763, 'picked': 0.0010449320794148381, 'guess': 0.0041797283176593526, 'choked': 0.0010449320794148381, 'dumped': 0.0010449320794148381, 'dedicate': 0.0010449320794148381, 'wouldve': 0.0010449320794148381, 'almost': 0.0020898641588296763, 'piss': 0.0010449320794148381, 'wore': 0.0010449320794148381, 'keep': 0.011494252873563218, 'does': 0.0010449320794148381, 'done': 0.003134796238244514, 'wish': 0.0010449320794148381, 'close': 0.0010449320794148381, 'buried': 0.0010449320794148381, 'fuckin': 0.0010449320794148381, 'rolled': 0.0010449320794148381, 'forget': 0.0010449320794148381, 'sit': 0.0010449320794148381, 'carried': 0.0010449320794148381, 'havent': 0.0010449320794148381, 'switched': 0.0010449320794148381, 'came': 0.014629049111807733, 'started': 0.0010449320794148381, 'humble': 0.0010449320794148381, 'bow': 0.0010449320794148381, 'pray': 0.024033437826541274, 'split': 0.0010449320794148381, 'cut': 0.0020898641588296763, 'bake': 0.0010449320794148381, 'wash': 0.0020898641588296763, 'tried': 0.003134796238244514, 'one': 0.0020898641588296763, 'dos': 0.0010449320794148381, 'blew': 0.0020898641588296763, 'showed': 0.0010449320794148381, 'lift': 0.0010449320794148381, 'sprinkle': 0.0010449320794148381, 'plain': 0.0010449320794148381, 'brings': 0.0010449320794148381, 'force': 0.0010449320794148381, 'stopped': 0.0010449320794148381, 'blacks': 0.0010449320794148381, 'run': 0.0020898641588296763, 'wont': 0.003134796238244514, 'let': 0.003134796238244514, 'call': 0.00522466039707419, 'found': 0.0020898641588296763, 'touch': 0.0010449320794148381, 'pull': 0.003134796238244514, 'body': 0.0010449320794148381, 'determine': 0.0010449320794148381, 'slay': 0.0010449320794148381, 'better': 0.0010449320794148381, 'sing': 0.0010449320794148381, 'helped': 0.0020898641588296763, 'burnt': 0.0010449320794148381, 'learned': 0.0010449320794148381, 'lay': 0.0010449320794148381, 'cocks': 0.0010449320794148381, 'grabbed': 0.0010449320794148381, 'move': 0.0010449320794148381, 'really': 0.0010449320794148381, 'wack': 0.0010449320794148381, 'hop': 0.0010449320794148381, 'only': 0.0020898641588296763, 'ain': 0.0010449320794148381, 'fought': 0.0010449320794148381, 'pay': 0.0010449320794148381, 'play': 0.0010449320794148381, 'sent': 0.0010449320794148381, 'help': 0.0020898641588296763, 'brooklyn': 0.0010449320794148381, 'catch': 0.0010449320794148381, 'snatch': 0.0010449320794148381, 'say': 0.0010449320794148381, 'locks': 0.0010449320794148381, 'bang': 0.0010449320794148381, 'knock': 0.0010449320794148381, 'spit': 0.0010449320794148381, 'finish': 0.0010449320794148381}"
