Word,Frequency
are,"{'you': 0.4878048780487805, 'dead': 0.24390243902439024, 'not': 0.04878048780487805, 'yall': 0.024390243902439025, 'lil': 0.024390243902439025, 'some': 0.04878048780487805, 'random': 0.024390243902439025, 'psycho': 0.04878048780487805, 'my': 0.04878048780487805}"
you,"{'alright': 0.0027063599458728013, 'cry': 0.0040595399188092015, 'shoulda': 0.0040595399188092015, 'ride': 0.0013531799729364006, 'leave': 0.0027063599458728013, 'wont': 0.0027063599458728013, 'fake': 0.0013531799729364006, 'is': 0.018944519621109608, 'stackin': 0.0013531799729364006, 'know': 0.13531799729364005, 'things': 0.008119079837618403, 'used': 0.0027063599458728013, 'strapped': 0.0027063599458728013, 'will': 0.005412719891745603, 'a': 0.028416779431664412, 'might': 0.010825439783491205, 'deal': 0.005412719891745603, 'i': 0.010825439783491205, 'stoppin': 0.0013531799729364006, 'like': 0.0027063599458728013, 'aint': 0.02165087956698241, 'sayin': 0.006765899864682003, 'if': 0.0027063599458728013, 'im': 0.0013531799729364006, 'cryin': 0.0013531799729364006, 'metro': 0.0013531799729364006, 'was': 0.023004059539918808, 'ayy': 0.028416779431664412, 'huh': 0.005412719891745603, 'just': 0.008119079837618403, 'yeah': 0.017591339648173207, 'its': 0.0027063599458728013, 'think': 0.010825439783491205, 'dismissed': 0.0013531799729364006, 'goin': 0.0013531799729364006, '8': 0.0013531799729364006, 'see': 0.04194857916102842, 'look': 0.0040595399188092015, 'cant': 0.029769959404600813, 'do': 0.036535859269282815, 'drivin': 0.0013531799729364006, 'wouldnt': 0.0013531799729364006, 'no': 0.0013531799729364006, 'youre': 0.0013531799729364006, 'and': 0.005412719891745603, 'an': 0.0013531799729364006, 'keep': 0.009472259810554804, 'still': 0.0040595399188092015, 'okay': 0.0013531799729364006, 'already': 0.0013531799729364006, 'toast': 0.0013531799729364006, 'start': 0.0027063599458728013, 'lied': 0.0013531799729364006, 'gon': 0.010825439783491205, 'thought': 0.017591339648173207, 'serious': 0.0040595399188092015, 'let': 0.0013531799729364006, 'are': 0.0013531799729364006, 'better': 0.005412719891745603, 'love': 0.0013531799729364006, 'trust': 0.0013531799729364006, 'shoot': 0.0013531799729364006, 'got': 0.02571041948579161, 'lil': 0.0013531799729364006, 'posed': 0.0013531799729364006, 'haters': 0.0027063599458728013, 'said': 0.005412719891745603, 'made': 0.0027063599458728013, 'make': 0.0027063599458728013, 'dont': 0.012178619756427604, 'you': 0.0013531799729364006, 'told': 0.0013531799729364006, 'be': 0.0013531799729364006, 'say': 0.0040595399188092015, 'disrespect': 0.0013531799729364006, 'hey': 0.0013531799729364006, 'bang': 0.0027063599458728013, 'beggin': 0.0013531799729364006, 'fucked': 0.005412719891745603, 'feel': 0.0013531799729364006, 'little': 0.0013531799729364006, 'gotta': 0.0013531799729364006, 'could': 0.0040595399188092015, 'can': 0.014884979702300407, 'need': 0.012178619756427604, 'lay': 0.0013531799729364006, 'on': 0.0027063599458728013, 'waitin': 0.0013531799729364006, 'talkin': 0.0027063599458728013, 'fall': 0.0013531799729364006, 'took': 0.009472259810554804, 'from': 0.02165087956698241, 'woah': 0.0027063599458728013, 'wet': 0.0013531799729364006, 'in': 0.0013531799729364006, 'swerve': 0.0013531799729364006, 'lie': 0.0013531799729364006, 'less': 0.0040595399188092015, 'how': 0.0013531799729364006, 'way': 0.0013531799729364006, 'bust': 0.0013531799729364006, 'shouldnt': 0.0013531799729364006, 'act': 0.0013531799729364006, 'tough': 0.0013531799729364006, 'tired': 0.0013531799729364006, 'should': 0.0027063599458728013, 'labor': 0.0013531799729364006, 'never': 0.0027063599458728013, 'rappers': 0.0013531799729364006, 'had': 0.0013531799729364006, 'first': 0.009472259810554804, 'walk': 0.005412719891745603, 'ugly': 0.0013531799729364006, 'mama': 0.0027063599458728013, 'fix': 0.0013531799729364006, 'get': 0.009472259810554804, 'want': 0.008119079837618403, 'doin': 0.0013531799729364006, 'back': 0.0027063599458728013, 'take': 0.0013531799729364006, 'not': 0.0040595399188092015, 'stay': 0.0013531799729364006, 'started': 0.0013531799729364006, 'that': 0.010825439783491205, 'pull': 0.0013531799729364006, 'snooze': 0.0027063599458728013, 'lose': 0.0027063599458728013, 'soft': 0.0013531799729364006, 'jamming': 0.0013531799729364006, 'fear': 0.0013531799729364006, 'wanna': 0.010825439783491205, 'live': 0.0013531799729364006, 'hung': 0.0013531799729364006, 'always': 0.012178619756427604, 'some': 0.005412719891745603, 'knew': 0.0013531799729364006, 'close': 0.0013531799729364006, 'niggas': 0.006765899864682003, 'cause': 0.0013531799729364006, 'wouldve': 0.0027063599458728013, 'man': 0.0013531799729364006, 'warned': 0.0013531799729364006, 'they': 0.0013531799729364006, 'looking': 0.0013531799729364006, 'ooh': 0.0013531799729364006, 'boys': 0.0013531799729364006, 'isnot': 0.0013531799729364006, 'cannot': 0.009472259810554804, 'did': 0.0027063599458728013, 'tell': 0.0027063599458728013, 'wasnt': 0.0013531799729364006, 'mine': 0.0013531799729364006, 'up': 0.0027063599458728013, 'really': 0.0013531799729364006, 'bout': 0.0027063599458728013, 'who': 0.0013531799729364006, 'hate': 0.0013531799729364006, 'feelings': 0.0013531799729364006, 'heard': 0.005412719891745603, 'drink': 0.0013531799729364006, 'steal': 0.0013531799729364006, 'to': 0.005412719891745603, 'slime': 0.0040595399188092015, 'with': 0.0027063599458728013, 'fuck': 0.0013531799729364006, 'ever': 0.0027063599458728013, 'have': 0.0027063599458728013, 'all': 0.0013531799729364006, 'buck': 0.0013531799729364006, 'survive': 0.0013531799729364006, 'lucky': 0.0027063599458728013, 'upcause': 0.0013531799729364006, 'trippin': 0.0013531799729364006, 'were': 0.005412719891745603, 'give': 0.0013531799729364006, 'went': 0.0013531799729364006, 'done': 0.0013531799729364006, 'the': 0.0027063599458728013, 'out': 0.0040595399188092015, 'gave': 0.0013531799729364006, 'my': 0.0013531799729364006, 'ap': 0.0013531799729364006, 'lookin': 0.0013531799729364006, 'so': 0.0027063599458728013, 'now': 0.0013531799729364006, 'again': 0.0040595399188092015, 'couldnt': 0.0013531799729364006, 'sucker': 0.0013531799729364006, 'didnt': 0.0013531799729364006, 'would': 0.0013531799729364006, 'sit': 0.0013531799729364006, 'why': 0.0013531799729364006, 'come': 0.0013531799729364006, 'came': 0.0027063599458728013, 'put': 0.0013531799729364006, 'lame': 0.0013531799729364006, 'boy': 0.0013531799729364006, 'baby': 0.0013531799729364006, 'nigga': 0.0013531799729364006}"
alright,"{'im': 0.21052631578947367, 'and': 0.05263157894736842, 'alright': 0.42105263157894735, 'you': 0.21052631578947367, 'iwake': 0.05263157894736842, 'rockstar': 0.05263157894736842}"
im,"{'alright': 0.0019646365422396855, 'quite': 0.0019646365422396855, 'barely': 0.0019646365422396855, 'insane': 0.0019646365422396855, 'committed': 0.0019646365422396855, 'not': 0.07269155206286837, 'all': 0.009823182711198428, 'laughing': 0.0019646365422396855, 'running': 0.0019646365422396855, 'ready': 0.003929273084479371, 'the': 0.10019646365422397, 'talkin': 0.0019646365422396855, 'up': 0.0019646365422396855, 'gay': 0.0019646365422396855, 'in': 0.0275049115913556, 'gon': 0.025540275049115914, 'wit': 0.0019646365422396855, 'just': 0.025540275049115914, 'really': 0.0019646365422396855, 'weird': 0.005893909626719057, 'rich': 0.003929273084479371, 'startin': 0.0019646365422396855, 'quitealrightdamn': 0.0019646365422396855, 'gettin': 0.007858546168958742, 'done': 0.007858546168958742, 'numb': 0.009823182711198428, 'walkin': 0.0019646365422396855, 'still': 0.0137524557956778, 'blowin': 0.0019646365422396855, 'lickin': 0.0019646365422396855, 'gonna': 0.007858546168958742, 'on': 0.07269155206286837, 'clearin': 0.005893909626719057, 'too': 0.003929273084479371, 'at': 0.0019646365422396855, 'runnin': 0.005893909626719057, 'hot': 0.015717092337917484, 'mcgrady': 0.0019646365422396855, 'trustin': 0.003929273084479371, 'no': 0.005893909626719057, 'ballin': 0.003929273084479371, 'tony': 0.0019646365422396855, 'sorry': 0.0275049115913556, 'from': 0.007858546168958742, 'comin': 0.007858546168958742, 'stoppin': 0.0019646365422396855, 'laughin': 0.0019646365422396855, 'working': 0.009823182711198428, 'also': 0.003929273084479371, '54': 0.0019646365422396855, '66': 0.0019646365422396855, 'goin': 0.0019646365422396855, 'so': 0.021611001964636542, 'tired': 0.0019646365422396855, 'a': 0.043222003929273084, 'higher': 0.005893909626719057, 'mike': 0.0019646365422396855, 'lane': 0.0019646365422396855, 'where': 0.0019646365422396855, 'one': 0.0019646365422396855, 'scorin': 0.0019646365422396855, 'bo': 0.0019646365422396855, 'with': 0.011787819253438114, 'winnin': 0.0019646365422396855, 'slimy': 0.0019646365422396855, 'emo': 0.0019646365422396855, 'single': 0.0019646365422396855, 'countinthe': 0.0019646365422396855, 'picky': 0.0019646365422396855, 'busy': 0.0019646365422396855, 'stevie': 0.0019646365422396855, 'countin': 0.005893909626719057, 'only': 0.003929273084479371, 'reefer': 0.0019646365422396855, 'basically': 0.007858546168958742, 'cooler': 0.003929273084479371, 'like': 0.003929273084479371, 'chico': 0.0019646365422396855, 'dro': 0.0019646365422396855, 'dusty': 0.0019646365422396855, 'better': 0.003929273084479371, 'eatin': 0.005893909626719057, 'grown': 0.0019646365422396855, 'daddys': 0.0019646365422396855, 'shootin': 0.0019646365422396855, 'turnt': 0.0019646365422396855, 'doin': 0.003929273084479371, 'workin': 0.0019646365422396855, 'spittin': 0.003929273084479371, 'simba': 0.0019646365422396855, 'tall': 0.003929273084479371, 'stackin': 0.0019646365422396855, 'liftin': 0.0019646365422396855, 'suited': 0.0019646365422396855, 'bored': 0.007858546168958742, 'aboard': 0.0019646365422396855, 'saying': 0.0019646365422396855, 'flooded': 0.0019646365422396855, 'tuddie': 0.007858546168958742, 'getting': 0.007858546168958742, 'lying': 0.0019646365422396855, 'two': 0.0019646365422396855, 'rockin': 0.0019646365422396855, 'cold': 0.005893909626719057, 'standing': 0.0019646365422396855, 'movin': 0.005893909626719057, 'drippin': 0.03143418467583497, 'swaggin': 0.0019646365422396855, 'finn': 0.0019646365422396855, 'cool': 0.0019646365422396855, 'good': 0.003929273084479371, 'fuckin': 0.0019646365422396855, 'way': 0.0019646365422396855, 'richer': 0.0019646365422396855, 'flexin': 0.025540275049115914, 'more': 0.003929273084479371, 'high': 0.005893909626719057, 'im': 0.0019646365422396855, 'out': 0.0019646365422396855, 'wifin': 0.0019646365422396855, 'psychic': 0.0019646365422396855, 'danny': 0.0019646365422396855, 'driving': 0.0019646365422396855, 'tryna': 0.003929273084479371, 'unlucky': 0.0019646365422396855, 'doing': 0.011787819253438114, 'finding': 0.0019646365422396855, 'off': 0.0019646365422396855, 'unfazed': 0.09037328094302555, 'coming': 0.003929273084479371, 'kinda': 0.0019646365422396855, 'woke': 0.0019646365422396855, 'honest': 0.0019646365422396855, 'right': 0.0019646365422396855, 'sure': 0.0019646365422396855}"
quite,{'alright': 1.0}
and,"{'my': 0.1, 'they': 0.02666666666666667, 'these': 0.0033333333333333335, 'yeah': 0.016666666666666666, 'tired': 0.013333333333333334, 'i': 0.2, 'she': 0.04666666666666667, 'your': 0.016666666666666666, 'make': 0.0033333333333333335, 'treat': 0.0033333333333333335, 'them': 0.006666666666666667, 'its': 0.03, 'he': 0.0033333333333333335, 'before': 0.0033333333333333335, 'vashtie': 0.0033333333333333335, 'fuck': 0.0033333333333333335, 'auntie': 0.0033333333333333335, 'her': 0.006666666666666667, 'have': 0.0033333333333333335, 'that': 0.04, 'keep': 0.0033333333333333335, 'you': 0.056666666666666664, 'go': 0.016666666666666666, 'ride': 0.0033333333333333335, 'if': 0.013333333333333334, 'we': 0.01, 'in': 0.0033333333333333335, 'some': 0.0033333333333333335, 'mee': 0.006666666666666667, 'get': 0.02, 'im': 0.03666666666666667, 'what': 0.006666666666666667, 'bloods': 0.0033333333333333335, 'a': 0.013333333333333334, 'matte': 0.0033333333333333335, 'got': 0.01, 'grab': 0.0033333333333333335, 'just': 0.013333333333333334, 'it': 0.013333333333333334, 'this': 0.006666666666666667, 'every': 0.0033333333333333335, 'j': 0.0033333333333333335, 'man': 0.0033333333333333335, 'dark': 0.0033333333333333335, 'grandmama': 0.006666666666666667, 'met': 0.0033333333333333335, 'honestly': 0.0033333333333333335, 'an': 0.006666666666666667, 'july': 0.0033333333333333335, 'take': 0.0033333333333333335, 'maybach': 0.0033333333333333335, 'do': 0.01, 'did': 0.006666666666666667, 'x': 0.0033333333333333335, 'no': 0.006666666666666667, 'todays': 0.0033333333333333335, 'said': 0.006666666666666667, 'then': 0.02, 'pop': 0.0033333333333333335, 'the': 0.06333333333333334, 'now': 0.0033333333333333335, 'over': 0.006666666666666667, 'not': 0.01, 'worth': 0.01, 'boujee': 0.0033333333333333335, 'mom': 0.0033333333333333335, 'swallow': 0.006666666666666667, 'swaggin': 0.01}"
my,"{'moneys': 0.001072961373390558, 'way': 0.004291845493562232, 'eyes': 0.00536480686695279, 'friends': 0.01072961373390558, 'brittany': 0.001072961373390558, 'bands': 0.006437768240343348, 'brain': 0.003218884120171674, 'cadence': 0.001072961373390558, 'universe': 0.001072961373390558, 'louboutins': 0.00536480686695279, 'bottoms': 0.00536480686695279, 'cheddar': 0.006437768240343348, 'bread': 0.003218884120171674, 'header': 0.006437768240343348, 'phone': 0.023605150214592276, 'mans': 0.002145922746781116, 'raf': 0.002145922746781116, 'wrist': 0.03540772532188841, 'style': 0.004291845493562232, 'saint': 0.002145922746781116, 'new': 0.01072961373390558, 'drip': 0.00536480686695279, 'dick': 0.02145922746781116, 'shooters': 0.001072961373390558, 'shooter': 0.003218884120171674, 'fix': 0.001072961373390558, 'money': 0.027896995708154508, 'boys': 0.017167381974248927, 'tentacles': 0.001072961373390558, 'chakra': 0.001072961373390558, 'head': 0.004291845493562232, 'chain': 0.00536480686695279, 'hoes': 0.002145922746781116, 'clone': 0.00536480686695279, 'own': 0.004291845493562232, 'nose': 0.004291845493562232, 'bank': 0.00536480686695279, 'name': 0.01072961373390558, 'shoes': 0.004291845493562232, 'cock': 0.002145922746781116, 'top': 0.012875536480686695, 'bitches': 0.003218884120171674, 'closet': 0.001072961373390558, 'swag': 0.003218884120171674, 'flow': 0.004291845493562232, 'safe': 0.003218884120171674, 'veins': 0.001072961373390558, 'neck': 0.018240343347639486, 'arms': 0.00536480686695279, 'mama': 0.003218884120171674, 'bitch': 0.011802575107296138, 'girl': 0.00536480686695279, 'haters': 0.009656652360515022, 'lil': 0.001072961373390558, 'teeth': 0.00536480686695279, 'niggas': 0.013948497854077254, 'glasses': 0.001072961373390558, 'feet': 0.00536480686695279, 'car': 0.00536480686695279, 'toes': 0.003218884120171674, 'diamonds': 0.027896995708154508, 'height': 0.001072961373390558, 'whip': 0.003218884120171674, 'stick': 0.004291845493562232, 'shit': 0.006437768240343348, 'face': 0.01072961373390558, 'moneysright': 0.001072961373390558, 'back': 0.002145922746781116, 'dead': 0.001072961373390558, 'life': 0.006437768240343348, 'thumb': 0.002145922746781116, 'watch': 0.006437768240343348, 'jeans': 0.009656652360515022, 'last': 0.001072961373390558, 'show': 0.008583690987124463, 'city': 0.011802575107296138, 'friend': 0.006437768240343348, 'choker': 0.001072961373390558, 'gun': 0.002145922746781116, 'coat': 0.002145922746781116, 'god': 0.008583690987124463, 'baby': 0.006437768240343348, 'ps': 0.006437768240343348, 'qs': 0.006437768240343348, 'doors': 0.0075107296137339056, 'checks': 0.004291845493562232, 'pocket': 0.006437768240343348, 'righteous': 0.001072961373390558, 'world': 0.002145922746781116, 'favor': 0.001072961373390558, 'triple': 0.002145922746781116, 'rollie': 0.034334763948497854, 'old': 0.001072961373390558, '40': 0.001072961373390558, 'shawty': 0.001072961373390558, 'target': 0.001072961373390558, 'chanel': 0.001072961373390558, 'brothers': 0.001072961373390558, 'belt': 0.002145922746781116, 'cold': 0.001072961373390558, 'song': 0.003218884120171674, 'ho': 0.002145922746781116, 'goals': 0.001072961373390558, 'side': 0.00536480686695279, 'little': 0.001072961373390558, 'hip': 0.002145922746781116, 'pants': 0.004291845493562232, 'tartar': 0.001072961373390558, 'whole': 0.002145922746781116, 'cake': 0.00536480686695279, 'waist': 0.002145922746781116, 'fronts': 0.0075107296137339056, 'zone': 0.001072961373390558, 'vlone': 0.001072961373390558, 'pockets': 0.0075107296137339056, 'cardi': 0.001072961373390558, 'compo': 0.001072961373390558, 'future': 0.001072961373390558, 'ex': 0.011802575107296138, 'iphone': 0.003218884120171674, 'shirt': 0.009656652360515022, 'percentage': 0.001072961373390558, 'white': 0.001072961373390558, 'girlfriend': 0.001072961373390558, 'thumbs': 0.001072961373390558, 'beanie': 0.001072961373390558, 'lady': 0.002145922746781116, 'van': 0.001072961373390558, 'birthday': 0.002145922746781116, 'crib': 0.001072961373390558, 'cougar': 0.001072961373390558, 'tutor': 0.001072961373390558, 'smiths': 0.001072961373390558, 'whips': 0.001072961373390558, 'stomach': 0.001072961373390558, 'fellow': 0.001072961373390558, 'hair': 0.001072961373390558, 'chest': 0.001072961373390558, 'cologne': 0.001072961373390558, 'coupe': 0.011802575107296138, 'jewels': 0.004291845493562232, 'squad': 0.001072961373390558, 'brother': 0.00536480686695279, 'ruger': 0.003218884120171674, 'tooth': 0.001072961373390558, 'block': 0.002145922746781116, 'dad': 0.004291845493562232, 'paws': 0.002145922746781116, 'real': 0.001072961373390558, 'ankle': 0.001072961373390558, 'team': 0.003218884120171674, 'main': 0.00536480686695279, 'louis': 0.001072961373390558, 'jacket': 0.002145922746781116, 'socks': 0.002145922746781116, 'undies': 0.002145922746781116, 'section': 0.001072961373390558, 'routine': 0.001072961373390558, 'brand': 0.001072961373390558, 'hand': 0.001072961373390558, 'dms': 0.001072961373390558, 'vision': 0.001072961373390558, 'ice': 0.00536480686695279, 'crumpet': 0.001072961373390558, 'skinnies': 0.001072961373390558, 'idontevenknowumwhathappened': 0.001072961373390558, 'happy': 0.001072961373390558, 'eye': 0.003218884120171674, 'blasphemy': 0.001072961373390558, 'business': 0.001072961373390558, 'metal': 0.001072961373390558, 'tank': 0.001072961373390558, 'insurgency': 0.001072961373390558, 'breath': 0.00536480686695279, 'toolie': 0.001072961373390558, 'what': 0.001072961373390558, 'polo': 0.001072961373390558, 'jeweler': 0.001072961373390558, 'dance': 0.001072961373390558, 'cloth': 0.001072961373390558, 'boysand': 0.001072961373390558, 'diddy': 0.003218884120171674, 'heart': 0.003218884120171674, 'bike': 0.001072961373390558, 'millions': 0.001072961373390558, 'lifes': 0.001072961373390558, 'hearts': 0.001072961373390558, 'line': 0.001072961373390558, 'momma': 0.001072961373390558, 'rents': 0.001072961373390558, 'patek': 0.003218884120171674, 'soul': 0.001072961373390558, 'young': 0.001072961373390558, 'cousin': 0.001072961373390558, 'time': 0.00536480686695279, 'mind': 0.003218884120171674, 'tshirt': 0.001072961373390558, 'clip': 0.002145922746781116, 'opps': 0.015021459227467811, 'price': 0.033261802575107295, 'boner': 0.001072961373390558, 'gfazos': 0.001072961373390558, 'highs': 0.001072961373390558, 'lows': 0.001072961373390558, 'looks': 0.001072961373390558, 'mom': 0.002145922746781116, 'pop': 0.001072961373390558, 'clock': 0.001072961373390558, 'enemies': 0.008583690987124463, 'pac': 0.001072961373390558, 'feelings': 0.002145922746781116, 'same': 0.001072961373390558, 'boots': 0.001072961373390558, 'boo': 0.001072961373390558, 'vest': 0.001072961373390558, 'chains': 0.001072961373390558, 'granola': 0.001072961373390558, 'dior': 0.001072961373390558, 'opponent': 0.002145922746781116, 'wrists': 0.001072961373390558, 'mouth': 0.003218884120171674, 'barbie': 0.001072961373390558, 'latest': 0.001072961373390558, 'hot': 0.001072961373390558, 'shows': 0.001072961373390558, 'outfit': 0.001072961373390558, 'pedal': 0.002145922746781116, 'door': 0.003218884120171674, 'flexin': 0.001072961373390558, 'fur': 0.001072961373390558, 'gosha': 0.001072961373390558, 'moment': 0.001072961373390558, 'stones': 0.001072961373390558, 'uzi': 0.003218884120171674, 'nine': 0.001072961373390558, 'gang': 0.001072961373390558, 'chrome': 0.001072961373390558, 'jewelry': 0.001072961373390558, '45': 0.001072961373390558, 'glock': 0.001072961373390558, 'words': 0.003218884120171674, 'existence': 0.003218884120171674, 'rims': 0.002145922746781116, 'bass': 0.001072961373390558, 'balmain': 0.001072961373390558, 'gosh': 0.001072961373390558, 'memory': 0.002145922746781116, 'only': 0.002145922746781116, 'sorrows': 0.001072961373390558, 'bodys': 0.003218884120171674, 'first': 0.006437768240343348, 'racks': 0.001072961373390558, 'bad': 0.001072961373390558, 'engine': 0.003218884120171674, 'skin': 0.003218884120171674, 'chin': 0.001072961373390558, 'shin': 0.001072961373390558, 'wraith': 0.009656652360515022, 'dads': 0.001072961373390558, 'comments': 0.001072961373390558, 'dog': 0.001072961373390558, 'dough': 0.004291845493562232, 'suit': 0.002145922746781116, 'problem': 0.002145922746781116, 'best': 0.003218884120171674, 'necklace': 0.003218884120171674, 'dash': 0.001072961373390558, 'rick': 0.001072961373390558, '32nd': 0.001072961373390558, 'weapon': 0.001072961373390558, 'drop': 0.001072961373390558}"
moneys,{'right': 1.0}
right,"{'8': 0.010309278350515464, 'that': 0.041237113402061855, 'shes': 0.041237113402061855, 'right': 0.041237113402061855, 'i': 0.041237113402061855, 'yeah': 0.041237113402061855, 'on': 0.1134020618556701, 'up': 0.041237113402061855, 'under': 0.020618556701030927, 'here': 0.05154639175257732, 'with': 0.05154639175257732, 'now': 0.041237113402061855, 'there': 0.030927835051546393, 'thats': 0.05154639175257732, 'she': 0.010309278350515464, 'into': 0.020618556701030927, 'ho': 0.010309278350515464, 'to': 0.08247422680412371, 'down': 0.020618556701030927, 'out': 0.041237113402061855, 'in': 0.061855670103092786, 'back': 0.030927835051546393, 'from': 0.010309278350515464, 'at': 0.020618556701030927, 'behind': 0.010309278350515464, 'thing': 0.010309278350515464, 'over': 0.010309278350515464, 'ooh': 0.010309278350515464, 'where': 0.030927835051546393}"
8,"{'yeah': 0.5, 'i': 0.5}"
