Word,Frequency
im,"{'on': 0.034552845528455285, 'arrestin': 0.0020325203252032522, 'getting': 0.006097560975609756, 'skatin': 0.0040650406504065045, 'the': 0.04878048780487805, 'that': 0.006097560975609756, 'not': 0.036585365853658534, 'associated': 0.0020325203252032522, 'a': 0.07723577235772358, 'up': 0.006097560975609756, 'all': 0.0040650406504065045, 'plannin': 0.0020325203252032522, 'emotional': 0.0020325203252032522, 'in': 0.04878048780487805, 'killin': 0.0020325203252032522, 'goin': 0.01016260162601626, 'right': 0.0040650406504065045, 'borderline': 0.0020325203252032522, 'out': 0.008130081300813009, 'bold': 0.0020325203252032522, 'shootin': 0.0020325203252032522, 'uptown': 0.0020325203252032522, 'talking': 0.008130081300813009, 'looking': 0.008130081300813009, 'with': 0.008130081300813009, 'lookin': 0.006097560975609756, 'starting': 0.0020325203252032522, 'spraying': 0.0020325203252032522, 'tunechi': 0.0020325203252032522, 'sellin': 0.0020325203252032522, 'killing': 0.0020325203252032522, 'weighin': 0.0020325203252032522, 'danglin': 0.0020325203252032522, 'ray': 0.0040650406504065045, 'get': 0.0020325203252032522, 'going': 0.0040650406504065045, 'ill': 0.008130081300813009, 'okay': 0.0020325203252032522, 'it': 0.0040650406504065045, 'rappin': 0.0020325203252032522, 'mike': 0.0020325203252032522, 'illy': 0.0020325203252032522, 'number': 0.0020325203252032522, 'hungry': 0.0020325203252032522, 'there': 0.0020325203252032522, 'an': 0.0020325203252032522, 'back': 0.012195121951219513, 'edward': 0.0020325203252032522, 'still': 0.016260162601626018, 'too': 0.006097560975609756, 'just': 0.012195121951219513, 'from': 0.008130081300813009, 'smoking': 0.008130081300813009, 'cursed': 0.0020325203252032522, 'gone': 0.018292682926829267, 'unstoppable': 0.0020325203252032522, 'fuckin': 0.006097560975609756, 'swimming': 0.0020325203252032522, 'redd': 0.0020325203252032522, 'santa': 0.0020325203252032522, 'tryin': 0.0040650406504065045, 'late': 0.0020325203252032522, 'sayin': 0.0020325203252032522, 'drownin': 0.0020325203252032522, 'doggin': 0.0020325203252032522, 'bargainin': 0.0020325203252032522, 'hotter': 0.008130081300813009, 'colder': 0.0020325203252032522, 'being': 0.0020325203252032522, 'far': 0.0020325203252032522, 'so': 0.014227642276422764, 'at': 0.008130081300813009, 'rollin': 0.0020325203252032522, 'west': 0.0020325203252032522, 'east': 0.0040650406504065045, 'eastside': 0.0040650406504065045, 'wired': 0.0040650406504065045, 'guilty': 0.0020325203252032522, 'tryna': 0.012195121951219513, 'ridin': 0.0020325203252032522, 'bent': 0.0020325203252032522, 'revived': 0.0020325203252032522, 'breakin': 0.0020325203252032522, 'raising': 0.0020325203252032522, 'breaking': 0.0020325203252032522, 'laughing': 0.0020325203252032522, 'here': 0.0020325203252032522, 'really': 0.0020325203252032522, 'pickin': 0.0020325203252032522, 'bout': 0.006097560975609756, 'dark': 0.0020325203252032522, 'disappearin': 0.0020325203252032522, 'spittin': 0.0020325203252032522, 'clinton': 0.0020325203252032522, 'gods': 0.0020325203252032522, 'inside': 0.0020325203252032522, 'awkward': 0.0040650406504065045, 'high': 0.0040650406504065045, 'wilder': 0.0020325203252032522, 'ruined': 0.0020325203252032522, 'cold': 0.0020325203252032522, 'warm': 0.0020325203252032522, 'armed': 0.0020325203252032522, 'sprayin': 0.0020325203252032522, 'higher': 0.0020325203252032522, 'wit': 0.0020325203252032522, 'grindin': 0.042682926829268296, 'krazy': 0.0020325203252032522, 'sweatin': 0.0020325203252032522, 'selling': 0.006097560975609756, 'like': 0.0020325203252032522, 'runnin': 0.0020325203252032522, 'running': 0.0020325203252032522, 'fucking': 0.008130081300813009, 'real': 0.0040650406504065045, 'pushin': 0.0020325203252032522, 'straight': 0.008130081300813009, 'through': 0.006097560975609756, 'single': 0.036585365853658534, 'over': 0.0020325203252032522, 'doing': 0.0020325203252032522, 'moving': 0.0020325203252032522, 'writing': 0.0020325203252032522, 'good': 0.028455284552845527, 'beneficial': 0.0020325203252032522, 'never': 0.0020325203252032522, 'buried': 0.0020325203252032522, 'much': 0.0020325203252032522, 'sorry': 0.008130081300813009, 'takin': 0.01016260162601626, 'thinkin': 0.0040650406504065045, 'sippin': 0.006097560975609756, 'prayin': 0.0020325203252032522, 'hall': 0.0020325203252032522, 'flyin': 0.0020325203252032522, 'major': 0.0020325203252032522, 'nastier': 0.0020325203252032522, 'trying': 0.006097560975609756, 'trin': 0.0020325203252032522, 'tired': 0.0020325203252032522, 'sipping': 0.014227642276422764, 'chilling': 0.0020325203252032522, 'loaded': 0.0020325203252032522, 'nasty': 0.0020325203252032522, 'under': 0.0020325203252032522, 'way': 0.0020325203252032522, 'bait': 0.0020325203252032522, 'drivin': 0.0020325203252032522, 'driving': 0.0020325203252032522, 'purple': 0.0040650406504065045, 'lying': 0.0020325203252032522, 'flying': 0.0020325203252032522, 'sexing': 0.0020325203252032522, 'by': 0.0020325203252032522, 'popping': 0.0020325203252032522, 'counting': 0.0020325203252032522, 'taking': 0.0020325203252032522, 'gon': 0.008130081300813009, 'laced': 0.0020325203252032522, 'fresh': 0.01016260162601626, 'dead': 0.0020325203252032522, 'hypothermic': 0.0020325203252032522, 'barbecuin': 0.0020325203252032522, 'walking': 0.0020325203252032522, 'familiar': 0.0020325203252032522, 'feeling': 0.0020325203252032522, 'hoeing': 0.0020325203252032522, 'your': 0.0020325203252032522, 'smelling': 0.0020325203252032522, 'putting': 0.006097560975609756, 'blind': 0.0020325203252032522, 'rolling': 0.0020325203252032522, 'talkin': 0.0040650406504065045, 'outta': 0.0020325203252032522, 'makin': 0.0020325203252032522, 'gettin': 0.0020325203252032522, 'raw': 0.0020325203252032522, 'healed': 0.0020325203252032522, 'kidd': 0.0020325203252032522, 'wanted': 0.0020325203252032522, '100': 0.0020325203252032522, 'sick': 0.0020325203252032522, 'ahead': 0.0020325203252032522, 'better': 0.0020325203252032522, 'me': 0.0040650406504065045, 'strapped': 0.012195121951219513, 'twisted': 0.0020325203252032522}"
on,"{'that': 0.05067567567567568, 'a': 0.0472972972972973, 'the': 0.22972972972972974, 'our': 0.006756756756756757, 'every': 0.010135135135135136, 'somebody': 0.0033783783783783786, 'fight': 0.0033783783783783786, 'one': 0.006756756756756757, 'her': 0.010135135135135136, 'vacation': 0.0033783783783783786, 'me': 0.0472972972972973, 'these': 0.016891891891891893, 'his': 0.006756756756756757, 'another': 0.0033783783783783786, 'your': 0.04391891891891892, 'aimin': 0.0033783783783783786, 'doin': 0.0033783783783783786, 'deadbolt': 0.0033783783783783786, 'but': 0.0033783783783783786, 'satisfied': 0.0033783783783783786, 'bodybuilder': 0.0033783783783783786, 'behalf': 0.006756756756756757, 'my': 0.16554054054054054, 'all': 0.006756756756756757, 'earth': 0.0033783783783783786, 'some': 0.010135135135135136, 'i': 0.006756756756756757, 'them': 0.010135135135135136, 'different': 0.0033783783783783786, 'its': 0.010135135135135136, 'automatic': 0.0033783783783783786, 'be': 0.0033783783783783786, 'this': 0.02364864864864865, 'mafucker': 0.0033783783783783786, 'everywhere': 0.0033783783783783786, 'dry': 0.0033783783783783786, 'plymouth': 0.0033783783783783786, 'auto': 0.0033783783783783786, 'both': 0.0033783783783783786, 'top': 0.006756756756756757, 'like': 0.0033783783783783786, 'true': 0.0033783783783783786, 'im': 0.010135135135135136, 'cologne': 0.0033783783783783786, 'cocaine': 0.0033783783783783786, 'to': 0.013513513513513514, 'girl': 0.013513513513513514, 'just': 0.0033783783783783786, 'put': 0.0033783783783783786, 'lock': 0.0033783783783783786, 'any': 0.0033783783783783786, 'day': 0.0033783783783783786, 'trees': 0.0033783783783783786, 'safe': 0.0033783783783783786, 'nothing': 0.02027027027027027, 'something': 0.02027027027027027, 'full': 0.0033783783783783786, 'em': 0.006756756756756757, 'in': 0.0033783783783783786, 'smellin': 0.0033783783783783786, 'their': 0.0033783783783783786, 'thats': 0.0033783783783783786, 'having': 0.0033783783783783786, 'marijuana': 0.0033783783783783786, 'mars': 0.0033783783783783786, 'nose': 0.0033783783783783786, 'lips': 0.0033783783783783786, 'track': 0.0033783783783783786, 'bitches': 0.006756756756756757, 'deck': 0.006756756756756757, 'necks': 0.0033783783783783786, 'arrival': 0.0033783783783783786, 'needles': 0.0033783783783783786, 'is': 0.010135135135135136, 'tonight': 0.0033783783783783786, 'en': 0.0033783783783783786, 'it': 0.010135135135135136}"
that,"{'good': 0.009478672985781991, 'fire': 0.002369668246445498, 'head': 0.002369668246445498, 'we': 0.011848341232227487, 'somebody': 0.002369668246445498, 'a1': 0.002369668246445498, 'filet': 0.002369668246445498, 'breakfast': 0.002369668246445498, 'get': 0.011848341232227487, 'could': 0.0071090047393364926, 'nigga': 0.04028436018957346, 'put': 0.004739336492890996, 'orchestrated': 0.002369668246445498, 'ass': 0.023696682464454975, 'aint': 0.0071090047393364926, 'mothafuck': 0.002369668246445498, 'mean': 0.002369668246445498, 'can': 0.002369668246445498, 'i': 0.052132701421800945, 'bitch': 0.04739336492890995, 'be': 0.0071090047393364926, 'you': 0.03317535545023697, 'she': 0.02132701421800948, 'its': 0.004739336492890996, 'know': 0.004739336492890996, 'it': 0.002369668246445498, 'shit': 0.07345971563981042, 'do': 0.004739336492890996, 'drank': 0.002369668246445498, 'he': 0.002369668246445498, 'the': 0.004739336492890996, 'pussy': 0.06635071090047394, 'paper': 0.002369668246445498, 'sentence': 0.002369668246445498, 'drama': 0.002369668246445498, 'youre': 0.004739336492890996, 'they': 0.011848341232227487, 'remain': 0.002369668246445498, 'here': 0.002369668246445498, 'bible': 0.002369668246445498, 'hosepipe': 0.002369668246445498, 'dick': 0.023696682464454975, 'mouth': 0.002369668246445498, 'cat': 0.002369668246445498, 'ho': 0.009478672985781991, 'life': 0.002369668246445498, 'wine': 0.002369668246445498, 'chchachachopper': 0.002369668246445498, 'bastard': 0.002369668246445498, 'who': 0.002369668246445498, 'said': 0.004739336492890996, 'flame': 0.002369668246445498, 'one': 0.002369668246445498, 'boy': 0.002369668246445498, 'true': 0.002369668246445498, 'swallow': 0.002369668246445498, 'done': 0.002369668246445498, 'forgot': 0.002369668246445498, 'woman': 0.004739336492890996, 'ive': 0.002369668246445498, 'cookie': 0.002369668246445498, 'hummingbird': 0.002369668246445498, 'ashton': 0.002369668246445498, 'why': 0.004739336492890996, 'slum': 0.002369668246445498, 'damn': 0.002369668246445498, 'president': 0.002369668246445498, 'is': 0.004739336492890996, 'smokey': 0.002369668246445498, 'jeep': 0.002369668246445498, 'means': 0.004739336492890996, 'donkey': 0.002369668246445498, 'camel': 0.004739336492890996, 'fuckin': 0.002369668246445498, 'pillow': 0.002369668246445498, 'motherfucker': 0.004739336492890996, 'paid': 0.002369668246445498, 'esther': 0.002369668246445498, 'banana': 0.002369668246445498, 'just': 0.004739336492890996, 'didnt': 0.011848341232227487, 'transform': 0.002369668246445498, 'hit': 0.002369668246445498, 'bottles': 0.014218009478672985, 'shawty': 0.011848341232227487, 'haha': 0.0071090047393364926, 'rapture': 0.002369668246445498, 'fudge': 0.002369668246445498, 'roof': 0.002369668246445498, 'late': 0.002369668246445498, 'sued': 0.002369668246445498, 'shoot': 0.002369668246445498, 'like': 0.002369668246445498, 'redandyellow': 0.002369668246445498, 'not': 0.002369668246445498, 'marcy': 0.002369668246445498, 'hahaha': 0.002369668246445498, 'shesheshe': 0.002369668246445498, 'ugh': 0.004739336492890996, 'mmhm': 0.002369668246445498, 'bass': 0.026066350710900472, 'patch': 0.002369668246445498, 'trukfit': 0.002369668246445498, 'voodoo': 0.002369668246445498, 'a': 0.002369668246445498, 'tussin': 0.002369668246445498, 'turn': 0.002369668246445498, 'knew': 0.002369668246445498, 'white': 0.004739336492890996, 'marcia': 0.002369668246445498, 'make': 0.002369668246445498, 'brigitte': 0.002369668246445498, 'scoob': 0.002369668246445498, 'pistol': 0.002369668246445498, 'bullshit': 0.009478672985781991, 'howmuchyouloveyourlady': 0.002369668246445498, 'im': 0.009478672985781991, 'told': 0.002369668246445498, 'owe': 0.0071090047393364926, 'taught': 0.002369668246445498, 'work': 0.002369668246445498, 'sorry': 0.009478672985781991, 'twat': 0.002369668246445498, 'tylenol': 0.002369668246445498, 'nut': 0.002369668246445498, 'miniskirt': 0.002369668246445498, 'bed': 0.002369668246445498, 'backstab': 0.002369668246445498, 'bout': 0.002369668246445498, 'give': 0.002369668246445498, 'guilt': 0.002369668246445498, 'tongue': 0.002369668246445498, 'big': 0.002369668246445498, 'yall': 0.002369668246445498, 'there': 0.002369668246445498, 'coupe': 0.002369668246445498, 'gas': 0.002369668246445498, 'beef': 0.002369668246445498, 'mr': 0.002369668246445498, 'pretty': 0.002369668246445498, 'dedication': 0.002369668246445498, 'itis': 0.002369668246445498, 'miley': 0.002369668246445498, 'my': 0.002369668246445498, 'sweet': 0.002369668246445498, 'if': 0.002369668246445498, 'love': 0.002369668246445498, 'two': 0.0071090047393364926, 'twoseat': 0.011848341232227487, 'weed': 0.002369668246445498, 'money': 0.004739336492890996, 'ratchet': 0.002369668246445498, 'leads': 0.018957345971563982, 'brain': 0.002369668246445498, 'goodgood': 0.002369668246445498, 'early': 0.002369668246445498, 'midnight': 0.002369668246445498, 'cold': 0.002369668246445498, 'warm': 0.002369668246445498, 'only': 0.002369668246445498, 'ayy': 0.002369668246445498, 'thang': 0.011848341232227487, 'body': 0.011848341232227487, 'ammo': 0.002369668246445498, 'ak': 0.002369668246445498, 'casket': 0.002369668246445498, 'motherfuckers': 0.002369668246445498, 'glock': 0.002369668246445498, 'chopper': 0.002369668246445498, 'corner': 0.002369668246445498, 'talk': 0.002369668246445498, 'same': 0.002369668246445498}"
good,"{'kush': 0.08695652173913043, 'bitches': 0.043478260869565216, 'girl': 0.021739130434782608, 'actress': 0.021739130434782608, 'enough': 0.08695652173913043, 'with': 0.021739130434782608, 'in': 0.021739130434782608, 'as': 0.043478260869565216, 'die': 0.021739130434782608, 'she': 0.021739130434782608, 'jump': 0.021739130434782608, 'flow': 0.021739130434782608, 'little': 0.021739130434782608, 'niggas': 0.021739130434782608, 'luck': 0.021739130434782608, 'im': 0.08695652173913043, 'everything': 0.06521739130434782, 'i': 0.043478260869565216, 'said': 0.043478260869565216, 'oh': 0.021739130434782608, 'ive': 0.021739130434782608, 'motherfucker': 0.021739130434782608, 'this': 0.021739130434782608, 'we': 0.021739130434782608, 'god': 0.021739130434782608, 'seats': 0.021739130434782608, 'speech': 0.021739130434782608, 'mmm': 0.021739130434782608, 'cause': 0.021739130434782608, 'no': 0.021739130434782608, 'aim': 0.021739130434782608}"
kush,"{'and': 0.5, 'in': 0.125, 'we': 0.125, 'forever': 0.125, 'im': 0.125}"
and,"{'alcohol': 0.0055248618784530384, 'these': 0.008287292817679558, 'get': 0.006906077348066298, 'all': 0.026243093922651933, 'she': 0.03591160220994475, 'fuck': 0.0027624309392265192, 'i': 0.12016574585635359, 'young': 0.0013812154696132596, 'mack': 0.0027624309392265192, 'ill': 0.006906077348066298, 'we': 0.022099447513812154, 'hers': 0.0013812154696132596, 'act': 0.0013812154696132596, 'noreaga': 0.0013812154696132596, 'see': 0.006906077348066298, 'yah': 0.0013812154696132596, 'drop': 0.0013812154696132596, 'mothafuck': 0.0013812154696132596, 'the': 0.034530386740331494, 'a': 0.031767955801104975, 'when': 0.027624309392265192, 'really': 0.0027624309392265192, 'they': 0.019337016574585635, 'sleep': 0.0013812154696132596, 'you': 0.031767955801104975, 'take': 0.0055248618784530384, 'meanwhile': 0.0013812154696132596, 'then': 0.020718232044198894, 'tell': 0.012430939226519336, 'dont': 0.009668508287292817, 'cough': 0.0013812154696132596, 'if': 0.019337016574585635, 'right': 0.0013812154696132596, 'he': 0.009668508287292817, 'now': 0.012430939226519336, 'im': 0.026243093922651933, 'my': 0.022099447513812154, 'death': 0.0027624309392265192, 'white': 0.0013812154696132596, 'let': 0.009668508287292817, 'cut': 0.0027624309392265192, 'tomorrow': 0.0013812154696132596, 'run': 0.0027624309392265192, 'youll': 0.0013812154696132596, 'fall': 0.006906077348066298, 'mirrors': 0.0013812154696132596, 'no': 0.0013812154696132596, 'stay': 0.0013812154696132596, 'thats': 0.008287292817679558, 'pussy': 0.0013812154696132596, 'have': 0.0027624309392265192, 'your': 0.009668508287292817, 'pop': 0.0027624309392265192, 'forgiveness': 0.0013812154696132596, 'today': 0.0013812154696132596, 'talk': 0.0013812154696132596, 'do': 0.008287292817679558, 'looked': 0.004143646408839779, 'told': 0.004143646408839779, 'go': 0.004143646408839779, 'deposit': 0.0013812154696132596, 'ima': 0.016574585635359115, 'took': 0.0013812154696132596, 'her': 0.0013812154696132596, 'leak': 0.0013812154696132596, 'it': 0.006906077348066298, '2pac': 0.0013812154696132596, 'id': 0.0013812154696132596, 'round': 0.0013812154696132596, 'conceit': 0.0013812154696132596, 'sometimes': 0.0027624309392265192, 'tunechi': 0.0027624309392265192, 'its': 0.006906077348066298, 'roll': 0.0013812154696132596, 'triple': 0.0013812154696132596, 'yea': 0.0013812154696132596, 'motherfuckers': 0.0013812154696132596, 'me': 0.0027624309392265192, 'freedom': 0.0013812154696132596, 'make': 0.0013812154696132596, 'some': 0.011049723756906077, 'uh': 0.0013812154696132596, 'choose': 0.0013812154696132596, 'smell': 0.0013812154696132596, 'aint': 0.0027624309392265192, 'gentlemen': 0.0013812154696132596, 'above': 0.0013812154696132596, 'that': 0.004143646408839779, 'ditchdiggers': 0.0013812154696132596, 'forth': 0.0027624309392265192, 'sore': 0.0013812154696132596, 'forever': 0.0013812154696132596, 'beyond': 0.0013812154696132596, 'leave': 0.004143646408839779, 'youre': 0.0013812154696132596, 'confidence': 0.0013812154696132596, 'bribed': 0.0013812154696132596, 'how': 0.0027624309392265192, 'frostbit': 0.0013812154696132596, 'scream': 0.0013812154696132596, 'scared': 0.0013812154696132596, 'pretty': 0.0013812154696132596, 'buttfucked': 0.0013812154696132596, 'roast': 0.0013812154696132596, 'olives': 0.0013812154696132596, 'ass': 0.0013812154696132596, 'nigga': 0.0013812154696132596, 'ak47': 0.0013812154696132596, 'cock': 0.0027624309392265192, 'hit': 0.0027624309392265192, 'keep': 0.0027624309392265192, 'looking': 0.0013812154696132596, 'dippin': 0.0013812154696132596, 'stripping': 0.0013812154696132596, 'kanye': 0.0013812154696132596, 'enjoy': 0.0013812154696132596, 'watch': 0.0055248618784530384, 'changed': 0.0027624309392265192, 'them': 0.0055248618784530384, 'most': 0.0027624309392265192, 'shit': 0.013812154696132596, 'inf': 0.0013812154696132596, 'even': 0.0013812154696132596, 'out': 0.0013812154696132596, 'dadadoe': 0.0013812154696132596, 'next': 0.0013812154696132596, 'mine': 0.0027624309392265192, 'prove': 0.0013812154696132596, 'before': 0.0013812154696132596, 'cars': 0.0013812154696132596, 'lil': 0.0013812154696132596, 'drippin': 0.0013812154696132596, 'niggas': 0.0013812154696132596, 'rolls': 0.0013812154696132596, 'cant': 0.0013812154696132596, 'die': 0.0027624309392265192, 'shes': 0.0013812154696132596, 'slide': 0.0027624309392265192, 'keepin': 0.0013812154696132596, 'blow': 0.0013812154696132596, 'kill': 0.0013812154696132596, 'who': 0.0027624309392265192, 'look': 0.0027624309392265192, 'be': 0.0027624309392265192, 'rules': 0.0013812154696132596, 'strong': 0.0013812154696132596, 'dale': 0.0013812154696132596, 'not': 0.0013812154696132596, 'socks': 0.0013812154696132596, 'shoes': 0.0013812154696132596, 'dada': 0.0013812154696132596, 'car': 0.0013812154696132596, 'whos': 0.0013812154696132596, 'lazy': 0.0013812154696132596, 'mucus': 0.0013812154696132596, 'theyll': 0.0013812154696132596, 'put': 0.008287292817679558, 'say': 0.0013812154696132596, 'whose': 0.0013812154696132596, 'got': 0.0013812154696132596, 'did': 0.0013812154696132596, 'yall': 0.0013812154696132596, 'over': 0.0013812154696132596, 'fucked': 0.0013812154696132596, 'burn': 0.0013812154696132596, 'forget': 0.0013812154696132596, 'two': 0.0013812154696132596, 'raise': 0.0013812154696132596, 'repeat': 0.0013812154696132596, 'found': 0.0013812154696132596, 'imma': 0.0027624309392265192, 'couldnt': 0.0013812154696132596, 'nukes': 0.0013812154696132596, 'this': 0.009668508287292817, 'sit': 0.0027624309392265192, 'abel': 0.0013812154696132596, 'walk': 0.0013812154696132596, 'thrash': 0.0013812154696132596, 'to': 0.0013812154696132596, 'gone': 0.0013812154696132596, 'hov': 0.0013812154696132596, 'gold': 0.0013812154696132596, 'eve': 0.0013812154696132596, 'expandin': 0.0013812154696132596, 'rest': 0.0013812154696132596, 'knock': 0.0013812154696132596, 'lion': 0.0013812154696132596, 'nae': 0.0013812154696132596, 'bae': 0.0013812154696132596, 'sweet': 0.0013812154696132596, 'swallow': 0.0013812154696132596, 'call': 0.0013812154696132596, 'bubba': 0.0013812154696132596, 'such': 0.0013812154696132596, 'hollering': 0.0013812154696132596, 'night': 0.0013812154696132596, 'bathing': 0.0013812154696132596, 'cold': 0.0013812154696132596, 'poppin': 0.0013812154696132596, 'left': 0.0013812154696132596, 'tboz': 0.0013812154696132596, 'life': 0.0027624309392265192, 'went': 0.0013812154696132596, 'thought': 0.0013812154696132596, 'pondered': 0.0013812154696132596, 'oh': 0.0013812154696132596, 'daddy': 0.0013812154696132596, 'shampoo': 0.0013812154696132596, 'lotion': 0.0013812154696132596, 'perfume': 0.0013812154696132596, 'candles': 0.0013812154696132596, 'shell': 0.0013812154696132596, 'at': 0.0013812154696132596, 'ive': 0.0013812154696132596, 'old': 0.0013812154696132596, 'smoke': 0.0013812154696132596, 'throw': 0.0027624309392265192, 'violets': 0.0013812154696132596, 'shawty': 0.0027624309392265192, 'ride': 0.0013812154696132596, 'eat': 0.0013812154696132596, 'stop': 0.0013812154696132596, 'powerful': 0.0013812154696132596, 'whoever': 0.0013812154696132596, 'splashed': 0.0013812154696132596, 'said': 0.0013812154696132596, 'argue': 0.0013812154696132596, 'science': 0.0013812154696132596, 'money': 0.0013812154696132596, 'controlling': 0.0013812154696132596, 'turnin': 0.0013812154696132596, 'cheerleaders': 0.0013812154696132596, 'yeah': 0.0013812154696132596, 'gabbana': 0.0013812154696132596, 'only': 0.0013812154696132596, 'truly': 0.0013812154696132596, 'after': 0.0013812154696132596, 'heels': 0.0013812154696132596, 'head': 0.0013812154696132596, 'snakes': 0.0013812154696132596, 'work': 0.0013812154696132596, 'remember': 0.0013812154696132596, 'however': 0.0013812154696132596, 'shoot': 0.0013812154696132596, 'mama': 0.0013812154696132596, 'sure': 0.0027624309392265192, 'theres': 0.0027624309392265192, 'embodyin': 0.0013812154696132596, 'walkups': 0.0013812154696132596}"
alcohol,"{'mike': 0.2, 'yeah': 0.4, 'tunech': 0.2, 'and': 0.2}"
mike,"{'will': 0.5, 'lowrey': 0.5}"
will,"{'madeit': 0.024390243902439025, 'yeah': 0.07317073170731707, 'she': 0.24390243902439024, 'ugh': 0.04878048780487805, 'do': 0.12195121951219512, 'maybe': 0.04878048780487805, 'uh': 0.024390243902439025, 'carter': 0.024390243902439025, 'i': 0.14634146341463414, 'never': 0.07317073170731707, 'you': 0.024390243902439025, 'break': 0.024390243902439025, 'tell': 0.024390243902439025, 'be': 0.024390243902439025, 'cut': 0.024390243902439025, 'then': 0.024390243902439025, 'confirm': 0.024390243902439025}"
madeit,{'i': 1.0}
