Word,Frequency
my,"{'chick': 0.08775137111517367, 'girls': 0.0018281535648994515, 'bestie': 0.0018281535648994515, 'shoe': 0.0018281535648994515, 'party': 0.007312614259597806, 'hair': 0.009140767824497258, 'time': 0.003656307129798903, 'count': 0.0018281535648994515, 'bitch': 0.0018281535648994515, 'lungs': 0.003656307129798903, 'hands': 0.003656307129798903, 'memories': 0.0018281535648994515, 'past': 0.0018281535648994515, 'enemies': 0.0018281535648994515, 'new': 0.0018281535648994515, 'chest': 0.0018281535648994515, 'high': 0.003656307129798903, 'heart': 0.005484460694698354, 'mind': 0.025594149908592323, 'cell': 0.0018281535648994515, 'condoms': 0.0018281535648994515, 'gangsta': 0.005484460694698354, 'handsome': 0.0018281535648994515, 'biz': 0.0018281535648994515, 'substitute': 0.0018281535648994515, 'way': 0.007312614259597806, 'dick': 0.003656307129798903, 'fuckin': 0.0018281535648994515, 'paper': 0.0018281535648994515, 'tour': 0.0018281535648994515, 'friend': 0.003656307129798903, 'eyes': 0.007312614259597806, 'soul': 0.005484460694698354, 'life': 0.018281535648994516, 'balance': 0.0018281535648994515, 'tombstone': 0.0018281535648994515, 'coat': 0.0018281535648994515, 'cadillac': 0.003656307129798903, '20inch': 0.0018281535648994515, 'long': 0.0018281535648994515, 'players': 0.007312614259597806, 'women': 0.009140767824497258, 'afro': 0.0018281535648994515, 'diamonds': 0.0018281535648994515, 'necklace': 0.0018281535648994515, 'drinks': 0.0018281535648994515, 'people': 0.0018281535648994515, 'ear': 0.007312614259597806, 'homies': 0.031078610603290677, 'waist': 0.0018281535648994515, 'jack': 0.0018281535648994515, 'roof': 0.0018281535648994515, 'cars': 0.005484460694698354, 'steering': 0.0018281535648994515, 'ride': 0.0018281535648994515, 'name': 0.012797074954296161, 'side': 0.0018281535648994515, 'folk': 0.0018281535648994515, 'trunk': 0.003656307129798903, 'car': 0.0018281535648994515, 'windshield': 0.0018281535648994515, 'nigga': 0.005484460694698354, 'charm': 0.003656307129798903, 'headphones': 0.003656307129798903, 'arm': 0.005484460694698354, 'cognac': 0.003656307129798903, 'fucking': 0.003656307129798903, 'twin': 0.007312614259597806, 'dues': 0.0018281535648994515, 'face': 0.08592321755027423, 'business': 0.021937842778793418, 'shit': 0.007312614259597806, 'kitty': 0.0018281535648994515, 'intentions': 0.0018281535648994515, 'cakes': 0.0018281535648994515, 'sex': 0.04570383912248629, 'little': 0.0018281535648994515, 'territory': 0.0018281535648994515, 'tongue': 0.005484460694698354, 'firecracker': 0.0018281535648994515, 'body': 0.018281535648994516, 'eye': 0.003656307129798903, 'video': 0.0018281535648994515, 'web': 0.0018281535648994515, 'experiences': 0.0018281535648994515, 'pimpins': 0.0018281535648994515, 'lap': 0.003656307129798903, 'names': 0.003656307129798903, 'filthy': 0.0018281535648994515, 'old': 0.0018281535648994515, 'fork': 0.0018281535648994515, 'lake': 0.0018281535648994515, 'trix': 0.0018281535648994515, 'chain': 0.003656307129798903, 'cash': 0.0018281535648994515, 'part': 0.0018281535648994515, 'refrigerators': 0.0018281535648994515, 'hydro': 0.0018281535648994515, 'stamp': 0.0018281535648994515, 'rims': 0.003656307129798903, 'albums': 0.0018281535648994515, 'foot': 0.0018281535648994515, 'jewelry': 0.0018281535648994515, 'earrings': 0.0018281535648994515, 'grace': 0.007312614259597806, 'faceto': 0.007312614259597806, 'd': 0.0018281535648994515, 'theme': 0.0018281535648994515, 'waste': 0.0018281535648994515, 'shooters': 0.0018281535648994515, 'witness': 0.0018281535648994515, 'dawg': 0.0018281535648994515, 'lips': 0.0018281535648994515, 'girl': 0.0018281535648994515, 'chicks': 0.005484460694698354, 'crew': 0.003656307129798903, 'louis': 0.0018281535648994515, 'clique': 0.0018281535648994515, 'buddies': 0.0018281535648994515, 'cap': 0.0018281535648994515, 'answer': 0.0018281535648994515, 'beamer': 0.0018281535648994515, 'collar': 0.003656307129798903, 'bank': 0.0018281535648994515, 'jeep': 0.0018281535648994515, 'hood': 0.003656307129798903, 'status': 0.0018281535648994515, 'feet': 0.003656307129798903, 'watch': 0.0018281535648994515, 'flows': 0.0018281535648994515, 'styles': 0.0018281535648994515, 'checklist': 0.0018281535648994515, 'whip': 0.009140767824497258, 'def': 0.0018281535648994515, 'security': 0.0018281535648994515, 'friends': 0.005484460694698354, 'fans': 0.009140767824497258, 'artists': 0.0018281535648994515, 'music': 0.007312614259597806, 'points': 0.0018281535648994515, 'radar': 0.007312614259597806, 'money': 0.0018281535648994515, 'right': 0.0018281535648994515, 'whole': 0.003656307129798903, 'left': 0.0018281535648994515, 'jet': 0.0018281535648994515, 'game': 0.0018281535648994515, 'god': 0.0018281535648994515, 'ashtray': 0.0018281535648994515, 'rhymes': 0.0018281535648994515, 'verses': 0.0018281535648994515, 'condolence': 0.0018281535648994515, 'art': 0.0018281535648994515, 'ass': 0.007312614259597806, 'father': 0.0018281535648994515, 'freedom': 0.0018281535648994515, 'hooooooood': 0.0018281535648994515, 'peak': 0.0018281535648994515, 'mission': 0.0018281535648994515, 'blueberries': 0.0018281535648994515, 'bagll': 0.0018281535648994515, 'hustle': 0.0018281535648994515, 'neighbors': 0.0018281535648994515, 'muddy': 0.0018281535648994515, 'hustlers': 0.0018281535648994515, 'brain': 0.0018281535648994515, 'gosh': 0.0018281535648994515, 'baby': 0.0018281535648994515, 'bottle': 0.0018281535648994515, 'section': 0.0018281535648994515, 'complexion': 0.0018281535648994515, 'gucci': 0.0018281535648994515, 'bread': 0.0018281535648994515, 'sloppy': 0.0018281535648994515, 'nerves': 0.0018281535648994515, '6th': 0.0018281535648994515, 'white': 0.0018281535648994515, 'hand': 0.0018281535648994515, 'shoulder': 0.0018281535648994515, 'pelle': 0.0018281535648994515, 'clothes': 0.0018281535648994515, 'belly': 0.0018281535648994515, 'mojo': 0.0018281535648994515, 'needs': 0.0018281535648994515, 'knees': 0.003656307129798903, 'fantasy': 0.0018281535648994515, 'clit': 0.003656307129798903, 'tits': 0.003656307129798903, 'rep': 0.0018281535648994515, 'rap': 0.0018281535648994515, 'coach': 0.0018281535648994515, 'fouryearold': 0.0018281535648994515, 'american': 0.0018281535648994515, 'pocket': 0.003656307129798903, 'visa': 0.0018281535648994515, 'expense': 0.0018281535648994515, 'power': 0.0018281535648994515, 'daughters': 0.0018281535648994515, 'ferrari': 0.0018281535648994515, 'down': 0.0018281535648994515, 'bitches': 0.0018281535648994515, 'first': 0.003656307129798903, 'daily': 0.0018281535648994515, 'moneys': 0.0018281535648994515, 'niggas': 0.010968921389396709, 'back': 0.003656307129798903, 'rocks': 0.0018281535648994515, 'socks': 0.0018281535648994515, 'voice': 0.0018281535648994515, 'clock': 0.0018281535648994515, 'claim': 0.0018281535648994515, 'flow': 0.0018281535648994515, 'pockets': 0.0018281535648994515, 'opponent': 0.0018281535648994515, 'ends': 0.0018281535648994515, 'folks': 0.003656307129798903, 'six': 0.0018281535648994515, 'kids': 0.0018281535648994515, 'ac': 0.0018281535648994515, 'fade': 0.0018281535648994515, 'buddha': 0.0018281535648994515, 'thang': 0.0018281535648994515, 'pillow': 0.0018281535648994515, 'family': 0.0018281535648994515, 'lil': 0.0018281535648994515, 'nasty': 0.0018281535648994515, 'house': 0.003656307129798903, 'vitals': 0.0018281535648994515, 'cup': 0.0018281535648994515, 'neck': 0.0018281535648994515, 'backyard': 0.0018281535648994515, 'bud': 0.0018281535648994515, 'luck': 0.0018281535648994515, 'pain': 0.0018281535648994515, 'stomach': 0.0018281535648994515, 'own': 0.0018281535648994515, 'georgia': 0.003656307129798903, 'land': 0.0018281535648994515, 'small': 0.0018281535648994515, 'plate': 0.007312614259597806, 'title': 0.007312614259597806, 'mobile': 0.0018281535648994515, 'daddy': 0.0018281535648994515, 'shirt': 0.0018281535648994515, 'tribe': 0.0018281535648994515, 'head': 0.0018281535648994515, 'biggest': 0.0018281535648994515, 'speech': 0.0018281535648994515, 'starting': 0.0018281535648994515, 'homie': 0.0018281535648994515, 'number': 0.0018281535648994515, 'loft': 0.0018281535648994515, 'jimmy': 0.0018281535648994515, 'pitstops': 0.0018281535648994515}"
chick,"{'bad': 0.46551724137931033, 'hood': 0.14655172413793102, 'do': 0.15517241379310345, 'wish': 0.14655172413793102, 'to': 0.008620689655172414, 'that': 0.017241379310344827, 'just': 0.008620689655172414, 'with': 0.008620689655172414, 'and': 0.008620689655172414, 'get': 0.008620689655172414, 'started': 0.008620689655172414, 'in': 0.017241379310344827}"
bad,"{'my': 0.21428571428571427, 'badderbadder': 0.45714285714285713, 'badder': 0.014285714285714285, 'tell': 0.02857142857142857, 'the': 0.014285714285714285, 'and': 0.02857142857142857, 'chef': 0.014285714285714285, 'dont': 0.014285714285714285, 'milk': 0.014285714285714285, 'day': 0.02857142857142857, 'about': 0.014285714285714285, 'bitches': 0.02857142857142857, 'mmmkay': 0.014285714285714285, 'they': 0.014285714285714285, 'temper': 0.014285714285714285, 'all': 0.014285714285714285, 'went': 0.014285714285714285, 'bitch': 0.014285714285714285, 'motherfucker': 0.014285714285714285, 'i': 0.014285714285714285, 'stuff': 0.014285714285714285}"
hood,"{'my': 0.4358974358974359, 'see': 0.20512820512820512, 'that': 0.05128205128205128, 'what': 0.02564102564102564, 'for': 0.02564102564102564, 'of': 0.02564102564102564, 'pussy': 0.02564102564102564, 'all': 0.02564102564102564, 'cocked': 0.02564102564102564, 'ayy': 0.02564102564102564, 'make': 0.02564102564102564, 'is': 0.02564102564102564, 'i': 0.02564102564102564, 'protect': 0.02564102564102564, 'worse': 0.02564102564102564}"
do,"{'stuff': 0.10404624277456648, 'it': 0.3815028901734104, 'i': 0.017341040462427744, 'you': 0.04046242774566474, 'the': 0.017341040462427744, 'young': 0.005780346820809248, 'but': 0.028901734104046242, 'me': 0.011560693641618497, 'what': 0.017341040462427744, 'blew': 0.005780346820809248, 'that': 0.028901734104046242, 'act': 0.09248554913294797, 'is': 0.011560693641618497, 'and': 0.005780346820809248, 'fly': 0.005780346820809248, 'to': 0.011560693641618497, 'not': 0.005780346820809248, 'away': 0.005780346820809248, 'damage': 0.005780346820809248, 'this': 0.017341040462427744, 'your': 0.017341040462427744, 'nigga': 0.011560693641618497, 'im': 0.005780346820809248, 'nothing': 0.005780346820809248, 'all': 0.011560693641618497, 'its': 0.005780346820809248, 'scrawny': 0.005780346820809248, 'a': 0.011560693641618497, 'for': 0.05202312138728324, 'shout': 0.005780346820809248, 'get': 0.005780346820809248, 'rap': 0.005780346820809248, 'every': 0.005780346820809248, 'shawty': 0.017341040462427744, 'please': 0.005780346820809248, 'dont': 0.005780346820809248}"
stuff,"{'that': 0.8181818181818182, 'cause': 0.045454545454545456, 'to': 0.045454545454545456, 'up': 0.045454545454545456, 'she': 0.045454545454545456}"
that,"{'your': 0.041304347826086954, 'i': 0.09130434782608696, 'dick': 0.002173913043478261, 'whambam': 0.002173913043478261, 'pop': 0.004347826086956522, 'and': 0.010869565217391304, 'a': 0.002173913043478261, 'ass': 0.006521739130434782, 'get': 0.03260869565217391, 'make': 0.004347826086956522, 'like': 0.004347826086956522, 'this': 0.002173913043478261, 'was': 0.002173913043478261, 'we': 0.013043478260869565, 'southern': 0.002173913043478261, 'fuckin': 0.002173913043478261, 'goddamn': 0.002173913043478261, 'truck': 0.002173913043478261, 'rental': 0.002173913043478261, 'no': 0.004347826086956522, 'bitch': 0.008695652173913044, 'im': 0.02391304347826087, 'ima': 0.002173913043478261, 'hell': 0.02391304347826087, 'theyll': 0.002173913043478261, 'yous': 0.017391304347826087, 'you': 0.02826086956521739, 'can': 0.010869565217391304, 'when': 0.034782608695652174, 'back': 0.017391304347826087, 'cheech': 0.002173913043478261, 'yeek': 0.008695652173913044, 'whooo': 0.002173913043478261, 'talk': 0.002173913043478261, 'walk': 0.002173913043478261, 'hey': 0.002173913043478261, 'ah': 0.002173913043478261, 'antifreeze': 0.002173913043478261, 'aint': 0.004347826086956522, 'forbes': 0.004347826086956522, 'smoke': 0.004347826086956522, 'nigga': 0.013043478260869565, 'thang': 0.043478260869565216, 'booty': 0.002173913043478261, 'many': 0.002173913043478261, 'good': 0.002173913043478261, 'jj': 0.002173913043478261, 'rollout': 0.02608695652173913, 'now': 0.004347826086956522, 'platinum': 0.002173913043478261, 'matchin': 0.002173913043478261, 'bag': 0.004347826086956522, 'man': 0.002173913043478261, 'car': 0.010869565217391304, 'bucked': 0.002173913043478261, 'room': 0.004347826086956522, 'are': 0.004347826086956522, 'lorenzokitted': 0.002173913043478261, 'what': 0.013043478260869565, 'case': 0.004347826086956522, 'mirror': 0.002173913043478261, 'french': 0.002173913043478261, 'very': 0.002173913043478261, 'donkey': 0.002173913043478261, 'monkey': 0.002173913043478261, 'girl': 0.004347826086956522, 'snapback': 0.002173913043478261, 'it': 0.006521739130434782, 'there': 0.002173913043478261, 'he': 0.004347826086956522, 'towel': 0.002173913043478261, 'youll': 0.002173913043478261, 'all': 0.002173913043478261, 'makes': 0.002173913043478261, 'they': 0.004347826086956522, 'stay': 0.002173913043478261, 'shit': 0.008695652173913044, 'yall': 0.002173913043478261, 'thinks': 0.002173913043478261, 'hard': 0.002173913043478261, 'toolie': 0.002173913043478261, 'for': 0.002173913043478261, 'hood': 0.004347826086956522, 'read': 0.002173913043478261, 'before': 0.002173913043478261, 'got': 0.008695652173913044, 'is': 0.006521739130434782, 'niggas': 0.002173913043478261, 'nina': 0.002173913043478261, 'aston': 0.002173913043478261, 'dont': 0.002173913043478261, '2pac': 0.002173913043478261, 'scrilla': 0.002173913043478261, 'x': 0.002173913043478261, 'pharrell': 0.002173913043478261, 'every': 0.002173913043478261, 'stomp': 0.002173913043478261, 'used': 0.002173913043478261, 'three': 0.002173913043478261, 'heart': 0.002173913043478261, 'on': 0.002173913043478261, 'sticky': 0.017391304347826087, 'blueberry': 0.017391304347826087, 'fire': 0.034782608695652174, 'gnac': 0.002173913043478261, 'stankin': 0.002173913043478261, 'liquor': 0.004347826086956522, 'simon': 0.002173913043478261, 'anypat': 0.002173913043478261, 'money': 0.004347826086956522, 'song': 0.002173913043478261, 'down': 0.002173913043478261, 'youre': 0.004347826086956522, 'number': 0.01956521739130435, 'ive': 0.002173913043478261, 'who': 0.004347826086956522, 'track': 0.002173913043478261, 'little': 0.002173913043478261, 'godby': 0.002173913043478261, 'rodeo': 0.004347826086956522, 'clikclak': 0.002173913043478261, '285': 0.002173913043478261, 'campbellton': 0.002173913043478261, 'ol': 0.002173913043478261, 'polepole': 0.002173913043478261, 'cris': 0.002173913043478261, 'business': 0.002173913043478261, '6': 0.002173913043478261, 'head': 0.002173913043478261, 'bed': 0.002173913043478261, 'led': 0.002173913043478261, 'game': 0.002173913043478261, 'show': 0.002173913043478261, 'pussy': 0.008695652173913044, 'doe': 0.002173913043478261, 'ho': 0.002173913043478261, 'couchie': 0.002173913043478261, 'people': 0.002173913043478261, 'timmy': 0.002173913043478261, 'break': 0.002173913043478261, 'couldnt': 0.002173913043478261, 'but': 0.002173913043478261, 'mama': 0.002173913043478261, 'llama': 0.002173913043478261, 'motel': 0.002173913043478261, 'dirtyass': 0.002173913043478261, 'convenience': 0.002173913043478261, 'cut': 0.017391304347826087, 'maybe': 0.002173913043478261, 'so': 0.002173913043478261, 'cccc': 0.006521739130434782, 'she': 0.002173913043478261, 'swallow': 0.002173913043478261, 'be': 0.002173913043478261, 'tells': 0.002173913043478261, 'dro': 0.002173913043478261, 'work': 0.004347826086956522, 'dough': 0.002173913043478261, 'tip': 0.002173913043478261, 'brick': 0.002173913043478261, 'heat': 0.002173913043478261, 'ga': 0.002173913043478261, 'carolina': 0.002173913043478261, 'custom': 0.008695652173913044, 'tyson': 0.002173913043478261, 'loud': 0.002173913043478261, 'straight': 0.002173913043478261, 'dress': 0.002173913043478261, 'freaky': 0.002173913043478261, 'bad': 0.002173913043478261, 'cloth': 0.002173913043478261, 'go': 0.002173913043478261, 'matter': 0.002173913043478261, 'cause': 0.002173913043478261, 'try': 0.002173913043478261, 'in': 0.002173913043478261, 'fancy': 0.002173913043478261}"
your,"{'chick': 0.04607046070460705, 'girl': 0.01084010840108401, 'teddy': 0.0027100271002710027, 'world': 0.0027100271002710027, 'body': 0.04336043360433604, 'face': 0.008130081300813009, 'heart': 0.005420054200542005, 'exes': 0.0027100271002710027, 'hormones': 0.0027100271002710027, 'drawers': 0.0027100271002710027, 'bones': 0.0027100271002710027, 'horoscope': 0.0027100271002710027, 'lights': 0.0027100271002710027, 'grill': 0.0027100271002710027, 'motherfuckin': 0.0027100271002710027, 'friends': 0.008130081300813009, 'ass': 0.008130081300813009, 'cup': 0.005420054200542005, 'lighter': 0.0027100271002710027, 'lighters': 0.024390243902439025, 'eyes': 0.013550135501355014, 'enemies': 0.0027100271002710027, 'pantyhose': 0.0027100271002710027, 'daddy': 0.0027100271002710027, 'flyass': 0.01084010840108401, 'opentoes': 0.01084010840108401, 'mouth': 0.02168021680216802, 'teeth': 0.0027100271002710027, 'tongue': 0.0027100271002710027, 'sleep': 0.0027100271002710027, 'big': 0.0027100271002710027, 'little': 0.0027100271002710027, 'dress': 0.0027100271002710027, 'breasts': 0.0027100271002710027, 'chest': 0.013550135501355014, 'life': 0.008130081300813009, 'system': 0.008130081300813009, 'feet': 0.0027100271002710027, 'brakes': 0.0027100271002710027, 'capes': 0.0027100271002710027, 'block': 0.0027100271002710027, 'spotlight': 0.0027100271002710027, 'vain': 0.0027100271002710027, 'crib': 0.0027100271002710027, 'shoes': 0.005420054200542005, 'drink': 0.0027100271002710027, 'car': 0.005420054200542005, 'job': 0.0027100271002710027, 'brand': 0.0027100271002710027, 'new': 0.0027100271002710027, 'wishes': 0.005420054200542005, 'chains': 0.005420054200542005, 'watches': 0.005420054200542005, 'ghost': 0.01084010840108401, 'phantoms': 0.005420054200542005, 'bitches': 0.01084010840108401, 'baby': 0.008130081300813009, 'crack': 0.005420054200542005, 'phantom': 0.005420054200542005, 'name': 0.01084010840108401, 'attention': 0.01084010840108401, 'spots': 0.0027100271002710027, 'motivation': 0.0027100271002710027, 'composure': 0.0027100271002710027, 'flaws': 0.0027100271002710027, 'weed': 0.0027100271002710027, 'back': 0.02710027100271003, 'wife': 0.0027100271002710027, 'girlfriend': 0.0027100271002710027, 'main': 0.0027100271002710027, 'housekeeper': 0.0027100271002710027, 'house': 0.005420054200542005, 'booty': 0.0027100271002710027, 'jeans': 0.0027100271002710027, 'pants': 0.008130081300813009, 'mamas': 0.0027100271002710027, 'lips': 0.016260162601626018, 'boss': 0.0027100271002710027, 'daddys': 0.0027100271002710027, 'panties': 0.0027100271002710027, 'cell': 0.0027100271002710027, 'ipod': 0.0027100271002710027, 'inhibitions': 0.0027100271002710027, 'inner': 0.0027100271002710027, 'soul': 0.01084010840108401, 'leg': 0.0027100271002710027, 'head': 0.03523035230352303, 'every': 0.0027100271002710027, 'fantasy': 0.02710027100271003, 'toes': 0.02710027100271003, 'traffc': 0.0027100271002710027, 'clothes': 0.0027100271002710027, 'manicured': 0.0027100271002710027, 'pedicured': 0.0027100271002710027, 'pinky': 0.0027100271002710027, 'hands': 0.013550135501355014, 'spinnin': 0.0027100271002710027, 'left': 0.0027100271002710027, 'right': 0.0027100271002710027, 'vodka': 0.0027100271002710027, 'parents': 0.0027100271002710027, 'record': 0.005420054200542005, 'glass': 0.0027100271002710027, 'backyard': 0.0027100271002710027, 'bosses': 0.01084010840108401, 'records': 0.0027100271002710027, 'ringtone': 0.0027100271002710027, 'camel': 0.0027100271002710027, 'sex': 0.0027100271002710027, 'phone': 0.0027100271002710027, 'kitkat': 0.0027100271002710027, 'career': 0.0027100271002710027, 'day': 0.0027100271002710027, 'chicks': 0.0027100271002710027, 'nigga': 0.0027100271002710027, 'diamond': 0.005420054200542005, 'koolaid': 0.0027100271002710027, 'plan': 0.005420054200542005, 'man': 0.005420054200542005, 'pops': 0.0027100271002710027, 'fans': 0.0027100271002710027, 'bitch': 0.008130081300813009, 'rap': 0.0027100271002710027, 'lines': 0.0027100271002710027, 'color': 0.0027100271002710027, 'veins': 0.0027100271002710027, 'money': 0.02710027100271003, 'nose': 0.01084010840108401, 'momma': 0.005420054200542005, 'behind': 0.0027100271002710027, 'bottom': 0.0027100271002710027, 'frame': 0.0027100271002710027, 'curves': 0.0027100271002710027, 'makeup': 0.0027100271002710027, 'last': 0.0027100271002710027, 'research': 0.0027100271002710027, 'lieutenants': 0.0027100271002710027, 'jacket': 0.0027100271002710027, 'bday': 0.0027100271002710027, 'memory': 0.0027100271002710027, 'flame': 0.0027100271002710027, 'security': 0.0027100271002710027, 'blouse': 0.0027100271002710027, 'couch': 0.0027100271002710027, 'ho': 0.013550135501355014, 'peace': 0.0027100271002710027, 'women': 0.005420054200542005, 'hand': 0.0027100271002710027, 'cards': 0.0027100271002710027, 'duty': 0.0027100271002710027, 'knees': 0.0027100271002710027, 'dick': 0.0027100271002710027, 'highness': 0.0027100271002710027, 'father': 0.0027100271002710027, 'stretches': 0.0027100271002710027, 'doin': 0.0027100271002710027, 'bath': 0.0027100271002710027, 'heartll': 0.0027100271002710027, 'garder': 0.0027100271002710027, 'pierced': 0.0027100271002710027, 'love': 0.013550135501355014, 'fires': 0.0027100271002710027, 'first': 0.0027100271002710027, 'bars': 0.0027100271002710027, 'shit': 0.0027100271002710027, 'stereo': 0.0027100271002710027, 'neighbors': 0.0027100271002710027, 'cheverolet': 0.0027100271002710027, 'prada': 0.0027100271002710027, 'fantasies': 0.0027100271002710027, 'condition': 0.0027100271002710027, 'protection': 0.0027100271002710027, 'touch': 0.0027100271002710027, 'top': 0.0027100271002710027, 'papas': 0.0027100271002710027, 'numberone': 0.0027100271002710027, 'skirts': 0.0027100271002710027, 'shirts': 0.0027100271002710027, 'ladys': 0.0027100271002710027, 'sack': 0.0027100271002710027, 'sun': 0.0027100271002710027, 'hearts': 0.0027100271002710027, 'favorite': 0.0027100271002710027, 'pearl': 0.0027100271002710027, 'girls': 0.0027100271002710027, 'fuck': 0.0027100271002710027, 'mind': 0.0027100271002710027}"
wish,"{'she': 0.8095238095238095, 'and': 0.047619047619047616, 'that': 0.047619047619047616, 'yall': 0.047619047619047616, 'i': 0.047619047619047616}"
she,"{'could': 0.1292517006802721, 'always': 0.006802721088435374, 'rides': 0.006802721088435374, 'handles': 0.006802721088435374, 'slides': 0.027210884353741496, 'gets': 0.006802721088435374, 'wants': 0.006802721088435374, 'whipped': 0.006802721088435374, 'love': 0.006802721088435374, 'never': 0.013605442176870748, 'tries': 0.006802721088435374, 'says': 0.02040816326530612, 'pops': 0.006802721088435374, 'thinks': 0.006802721088435374, 'lives': 0.006802721088435374, 'bout': 0.013605442176870748, 'can': 0.10204081632653061, 'really': 0.006802721088435374, 'got': 0.061224489795918366, 'be': 0.006802721088435374, 'told': 0.006802721088435374, 'make': 0.013605442176870748, 'get': 0.013605442176870748, 'stimulate': 0.006802721088435374, 'like': 0.02040816326530612, 'need': 0.02040816326530612, 'been': 0.02040816326530612, 'said': 0.12244897959183673, 'might': 0.006802721088435374, 'grind': 0.006802721088435374, 'aint': 0.02040816326530612, 'say': 0.006802721088435374, 'disobeyed': 0.006802721088435374, 'a': 0.04081632653061224, 'pushed': 0.006802721088435374, 'give': 0.006802721088435374, 'walks': 0.006802721088435374, 'makes': 0.006802721088435374, 'was': 0.027210884353741496, 'just': 0.013605442176870748, 'crazy': 0.006802721088435374, 'ridin': 0.006802721088435374, 'plays': 0.006802721088435374, 'needs': 0.02040816326530612, 'wanna': 0.006802721088435374, 'take': 0.006802721088435374, 'wana': 0.027210884353741496, 'come': 0.006802721088435374, 'turned': 0.006802721088435374, 'had': 0.006802721088435374, 'started': 0.006802721088435374, 'want': 0.006802721088435374, 'my': 0.006802721088435374, 'asked': 0.013605442176870748, 'called': 0.006802721088435374, 'flew': 0.006802721088435374, 'came': 0.006802721088435374, 'massaged': 0.006802721088435374}"
