Word,Frequency
were,"{'all': 0.025, 'gone': 0.025, 'fighting': 0.025, 'not': 0.1, 'no': 0.325, 'born': 0.025, 'probable': 0.025, 'going': 0.1, 'calling': 0.1, 'shelter': 0.025, 'so': 0.025, 'cleared': 0.025, 'built': 0.025, 'civil': 0.025, 'goin': 0.025, 'you': 0.1}"
all,"{'chemicals': 0.005263157894736842, 'over': 0.005263157894736842, 'watery': 0.005263157894736842, 'that': 0.05789473684210526, 'these': 0.010526315789473684, 'my': 0.07894736842105263, 'i': 0.04736842105263158, 'out': 0.005263157894736842, 'the': 0.08947368421052632, 'fall': 0.005263157894736842, 'in': 0.05789473684210526, 'gotta': 0.021052631578947368, 'one': 0.005263157894736842, 'your': 0.015789473684210527, 'you': 0.031578947368421054, 'of': 0.042105263157894736, 'kinds': 0.005263157894736842, 'heard': 0.005263157894736842, 'on': 0.06315789473684211, 'his': 0.010526315789473684, 'night': 0.042105263157894736, 'take': 0.005263157894736842, 'because': 0.005263157894736842, 'a': 0.005263157894736842, 'up': 0.010526315789473684, 'play': 0.005263157894736842, 'professions': 0.005263157894736842, 'as': 0.015789473684210527, 'quiet': 0.005263157894736842, 'god': 0.005263157894736842, 'universal': 0.005263157894736842, 'covered': 0.005263157894736842, 'becoming': 0.005263157894736842, 'got': 0.005263157894736842, 'this': 0.015789473684210527, 'alone': 0.005263157894736842, 'arid': 0.005263157894736842, 'black': 0.02631578947368421, 'day': 0.015789473684210527, 'falls': 0.005263157894736842, 'told': 0.005263157894736842, 'they': 0.010526315789473684, 'their': 0.010526315789473684, 'clear': 0.005263157894736842, 'here': 0.005263157894736842, 'yall': 0.005263157894736842, 'nigga': 0.005263157894736842, 'showers': 0.005263157894736842, 'ill': 0.005263157894736842, 'childish': 0.005263157894736842, 'brothers': 0.005263157894736842, 'naw': 0.005263157894736842, 'our': 0.010526315789473684, 'nervous': 0.005263157894736842, 'bones': 0.005263157894736842, 'for': 0.005263157894736842, 'wake': 0.005263157894736842, 'steak': 0.005263157894736842, 'mistakes': 0.005263157894736842, 'neatly': 0.005263157894736842, 'solved': 0.005263157894736842, 'always': 0.005263157894736842, 'without': 0.005263157894736842, 'just': 0.005263157894736842, 'dumb': 0.005263157894736842, 'directions': 0.005263157894736842, 'inside': 0.010526315789473684, 'earnest': 0.005263157894736842, 'saying': 0.005263157894736842, 'again': 0.005263157894736842, 'so': 0.005263157894736842, 'around': 0.010526315789473684, 'across': 0.005263157894736842, 'to': 0.005263157894736842, 'flow': 0.005263157894736842, 'city': 0.005263157894736842, 'cost': 0.005263157894736842, 'walk': 0.005263157894736842, 'coughs': 0.005263157894736842}"
chemicals,{'vitamins': 1.0}
vitamins,{'and': 1.0}
and,"{'minerals': 0.0012224938875305623, 'wrapped': 0.0012224938875305623, 'whats': 0.0012224938875305623, 'cherry': 0.0012224938875305623, 'other': 0.004889975550122249, 'ad': 0.0012224938875305623, 'undercover': 0.0012224938875305623, 'art': 0.0024449877750611247, 'tear': 0.0012224938875305623, 'looks': 0.0012224938875305623, 'clear': 0.0012224938875305623, 'smells': 0.0012224938875305623, 'deer': 0.0012224938875305623, 'when': 0.008557457212713936, 'not': 0.008557457212713936, 'hoarse': 0.0012224938875305623, 'treat': 0.003667481662591687, 'especially': 0.0012224938875305623, 'sweet': 0.0012224938875305623, 'a': 0.042787286063569685, 'fan': 0.0012224938875305623, 'the': 0.07946210268948656, 'activism': 0.0012224938875305623, 'goyle': 0.0012224938875305623, 'foiling': 0.0012224938875305623, 'watch': 0.003667481662591687, 'i': 0.05134474327628362, 'two': 0.0024449877750611247, 'lupe': 0.0012224938875305623, 'monsters': 0.0012224938875305623, 'catching': 0.0012224938875305623, 'carbon': 0.0012224938875305623, 'dropping': 0.0012224938875305623, 'brilliance': 0.0012224938875305623, 'wrong': 0.0012224938875305623, 'this': 0.007334963325183374, 'im': 0.01589242053789731, 'maybe': 0.0012224938875305623, 'savage': 0.0012224938875305623, 'baby': 0.0012224938875305623, 'because': 0.0012224938875305623, 'mental': 0.0012224938875305623, 'probably': 0.0012224938875305623, 'all': 0.007334963325183374, 'more': 0.004889975550122249, 'really': 0.0012224938875305623, 'he': 0.004889975550122249, 'she': 0.007334963325183374, 'smart': 0.0012224938875305623, 'prosperity': 0.0012224938875305623, 'blood': 0.0012224938875305623, 'they': 0.02078239608801956, 'we': 0.003667481662591687, 'parcel': 0.0012224938875305623, 'pray': 0.0024449877750611247, 'privilege': 0.0012224938875305623, 'up': 0.0012224938875305623, 'so': 0.01589242053789731, 'such': 0.0012224938875305623, 'that': 0.011002444987775062, 'these': 0.003667481662591687, 'you': 0.012224938875305624, 'wine': 0.0012224938875305623, 'swords': 0.0012224938875305623, 'pittood': 0.0012224938875305623, 'my': 0.02444987775061125, 'then': 0.01589242053789731, 'his': 0.0012224938875305623, 'virgins': 0.0012224938875305623, 'hopefully': 0.0012224938875305623, 'perfect': 0.0012224938875305623, 'put': 0.009779951100244499, 'boys': 0.0012224938875305623, 'never': 0.003667481662591687, 'get': 0.006112469437652812, 'too': 0.0024449877750611247, 'lavelle': 0.0012224938875305623, 'pyoom': 0.0012224938875305623, 'sets': 0.0012224938875305623, 'take': 0.004889975550122249, 'security': 0.0012224938875305623, 'one': 0.003667481662591687, 'mics': 0.0012224938875305623, 'see': 0.0024449877750611247, 'everybody': 0.003667481662591687, 'start': 0.0012224938875305623, 'if': 0.009779951100244499, 'hes': 0.0012224938875305623, 'juice': 0.0012224938875305623, 'thats': 0.011002444987775062, 'realize': 0.0012224938875305623, 'france': 0.0012224938875305623, 'give': 0.0012224938875305623, 'me': 0.0024449877750611247, 'boxes': 0.0012224938875305623, 'theyll': 0.0012224938875305623, 'closer': 0.0012224938875305623, 'ashkenazis': 0.0012224938875305623, 'b': 0.0012224938875305623, 'your': 0.006112469437652812, 'monitoring': 0.0012224938875305623, 'rate': 0.0024449877750611247, 'some': 0.007334963325183374, 'hate': 0.003667481662591687, 'make': 0.003667481662591687, 'stay': 0.0024449877750611247, 'wear': 0.0012224938875305623, 'release': 0.0012224938875305623, 'lets': 0.0012224938875305623, 'court': 0.0012224938875305623, 'answers': 0.0012224938875305623, 'no': 0.006112469437652812, 'throw': 0.008557457212713936, 'fifteenth': 0.0012224938875305623, 'illegally': 0.0012224938875305623, 'busted': 0.0012224938875305623, 'away': 0.003667481662591687, 'skate': 0.0024449877750611247, 'push': 0.003667481662591687, 'coast': 0.003667481662591687, 'varials': 0.0012224938875305623, 'twenty': 0.0012224938875305623, 'said': 0.007334963325183374, 'sb': 0.0012224938875305623, 'it': 0.013447432762836185, 'their': 0.0024449877750611247, 'at': 0.0024449877750611247, 'vicious': 0.0012224938875305623, 'shes': 0.004889975550122249, 'in': 0.003667481662591687, 'beyond': 0.0012224938875305623, 'excess': 0.0012224938875305623, 'rising': 0.0012224938875305623, 'filling': 0.0012224938875305623, 'skateboards': 0.0012224938875305623, 'jack': 0.0012224938875305623, 'featherweight': 0.0012224938875305623, 'ankhs': 0.0012224938875305623, 'its': 0.013447432762836185, 'little': 0.0024449877750611247, 'paths': 0.0012224938875305623, 'down': 0.0024449877750611247, 'theres': 0.0024449877750611247, 'hold': 0.0012224938875305623, 'can': 0.0012224938875305623, 'wheres': 0.0012224938875305623, 'now': 0.004889975550122249, 'dog': 0.0012224938875305623, 'hers': 0.0012224938875305623, 'sort': 0.0012224938875305623, 'glamorized': 0.0012224938875305623, 'feelings': 0.0012224938875305623, 'artistic': 0.0012224938875305623, 'listen': 0.0012224938875305623, 'thought': 0.0012224938875305623, 'osama': 0.0012224938875305623, 'obama': 0.0012224938875305623, 'them': 0.008557457212713936, 'overlogging': 0.0012224938875305623, 'hennessy': 0.0012224938875305623, 'hypnotiq': 0.0012224938875305623, 'easy': 0.0012224938875305623, 'place': 0.0012224938875305623, 'went': 0.0012224938875305623, 'got': 0.0012224938875305623, 'act': 0.0012224938875305623, 'aint': 0.0012224938875305623, 'liquor': 0.0012224938875305623, 'heres': 0.004889975550122249, 'please': 0.0012224938875305623, 'by': 0.0024449877750611247, 'recognize': 0.0012224938875305623, 'developed': 0.0012224938875305623, 'forgive': 0.003667481662591687, 'everythings': 0.0012224938875305623, 'ill': 0.0024449877750611247, 'everytings': 0.0012224938875305623, 'welltodo': 0.0012224938875305623, 'seek': 0.0012224938875305623, 'hang': 0.0012224938875305623, 'keep': 0.0012224938875305623, 'every': 0.003667481662591687, 'black': 0.0024449877750611247, 'shredder': 0.0012224938875305623, 'niggas': 0.004889975550122249, 'shatters': 0.0012224938875305623, 'as': 0.0024449877750611247, 'sermons': 0.0012224938875305623, 'gentlemen': 0.0012224938875305623, 'out': 0.0012224938875305623, 'loud': 0.0012224938875305623, 'be': 0.0024449877750611247, 'still': 0.0024449877750611247, 'tell': 0.006112469437652812, 'lu': 0.0012224938875305623, 'ben': 0.0012224938875305623, 'go': 0.0012224938875305623, 'killing': 0.0012224938875305623, 'stealing': 0.0012224938875305623, 'twoply': 0.0012224938875305623, 'robin': 0.0012224938875305623, 'over': 0.0012224938875305623, 'started': 0.0024449877750611247, 'step': 0.0012224938875305623, 'skiers': 0.0012224938875305623, 'grinding': 0.0012224938875305623, '2': 0.0012224938875305623, 'cup': 0.0012224938875305623, 'fall': 0.0012224938875305623, 'proceed': 0.0012224938875305623, 'american': 0.0012224938875305623, 'listens': 0.0012224938875305623, 'hear': 0.0024449877750611247, 'shades': 0.0012224938875305623, 'camouflage': 0.0012224938875305623, 'murder': 0.0012224938875305623, 'smoke': 0.0012224938875305623, 'y': 0.0012224938875305623, 'blue': 0.0012224938875305623, 'glorious': 0.0012224938875305623, 'let': 0.0024449877750611247, 'move': 0.0012224938875305623, 'better': 0.007334963325183374, 'dont': 0.0024449877750611247, 'things': 0.0012224938875305623, 'ting': 0.0012224938875305623, 'somebody': 0.0012224938875305623, 'try': 0.0012224938875305623, 'drug': 0.0012224938875305623, 'new': 0.0012224938875305623, 'others': 0.0024449877750611247, 'tone': 0.0012224938875305623, 'convert': 0.0012224938875305623, 'came': 0.0012224938875305623, 'la': 0.0012224938875305623, 'elizabeth': 0.0012224938875305623, 'betas': 0.0012224938875305623, 'minors': 0.0012224938875305623, 'majors': 0.0012224938875305623, 'forgave': 0.0012224938875305623, 'slavers': 0.0012224938875305623, 'maps': 0.004889975550122249, 'poured': 0.0012224938875305623, 'hollow': 0.0012224938875305623, 'almost': 0.0012224938875305623, 'climbed': 0.0012224938875305623, 'looked': 0.0012224938875305623, 'gettin': 0.0012224938875305623, 'robbed': 0.0012224938875305623, 'missing': 0.0012224938875305623, 'wipe': 0.0012224938875305623, 'sleep': 0.0012224938875305623, 'everything': 0.0024449877750611247, 'umm': 0.0012224938875305623, 'harley': 0.0012224938875305623, 'le': 0.0012224938875305623, 'playgirls': 0.0012224938875305623, 'on': 0.0024449877750611247, 'hug': 0.003667481662591687, 'thou': 0.0012224938875305623, 'wave': 0.0012224938875305623, 'made': 0.0024449877750611247, 'passion': 0.0012224938875305623, 'what': 0.0024449877750611247, 'bountiful': 0.0012224938875305623, 'plentiful': 0.0012224938875305623, 'resource': 0.0012224938875305623, 'how': 0.0012224938875305623, 'stuck': 0.0012224938875305623, 'for': 0.0012224938875305623, 'means': 0.0012224938875305623, 'helps': 0.0012224938875305623, 'expand': 0.0012224938875305623, 'elitists': 0.0012224938875305623, 'flaws': 0.0012224938875305623, 'needs': 0.0024449877750611247, 'disagreement': 0.0012224938875305623, 'most': 0.0012224938875305623, 'justice': 0.0012224938875305623, 'goin': 0.0012224938875305623, 'who': 0.0024449877750611247, 'was': 0.0012224938875305623, 'with': 0.0012224938875305623, 'ima': 0.0012224938875305623, 'spit': 0.003667481662591687, 'sell': 0.0012224938875305623, 'ditched': 0.0012224938875305623, 'breathin': 0.0012224938875305623, 'pulled': 0.0012224938875305623, 'roll': 0.0012224938875305623, 'shit': 0.0012224938875305623, 'do': 0.0024449877750611247, 'check': 0.0012224938875305623, 'yours': 0.0012224938875305623, 'walls': 0.0012224938875305623, 'false': 0.0012224938875305623, 'of': 0.0012224938875305623, 'just': 0.0012224938875305623, 'morgan': 0.0012224938875305623, 'to': 0.0012224938875305623, 'ooh': 0.0012224938875305623, 'whatever': 0.0012224938875305623, 'poohs': 0.0012224938875305623, 'jews': 0.0012224938875305623, 'imaginary': 0.0012224938875305623, 'keeping': 0.0012224938875305623, 'like': 0.0012224938875305623, 'barnyard': 0.0012224938875305623, 'piglets': 0.0012224938875305623, 'cerebellum': 0.0012224938875305623, 'spirals': 0.0012224938875305623, 'todays': 0.0012224938875305623, 'beasts': 0.0012224938875305623, 'rather': 0.0012224938875305623, 'fromage': 0.0012224938875305623, 'driven': 0.0012224938875305623, 'grandmasters': 0.0012224938875305623, 'god': 0.0012224938875305623, 'dangers': 0.007334963325183374, 'seal': 0.0012224938875305623, 'want': 0.0012224938875305623, 'broadcasted': 0.0012224938875305623, 'plant': 0.0012224938875305623, 'short': 0.0012224938875305623, 'maharishi': 0.0012224938875305623, 'dita': 0.0012224938875305623, 'guilty': 0.0012224938875305623, 'moleskine': 0.0012224938875305623, 'green': 0.0012224938875305623, 'japanese': 0.0012224938875305623, 'htm': 0.0012224938875305623, 'ryu': 0.0012224938875305623, 'an': 0.0012224938875305623, 'cusses': 0.0024449877750611247, 'her': 0.0024449877750611247, 'dreaming': 0.0012224938875305623, 'youll': 0.0012224938875305623, 'ketamine': 0.0012224938875305623, 'forth': 0.0012224938875305623, 'ive': 0.0012224938875305623, 'apartments': 0.0012224938875305623, 'electricity': 0.0012224938875305623, 'hope': 0.0012224938875305623, 'gold': 0.0012224938875305623, 'from': 0.0012224938875305623, 'feed': 0.0012224938875305623, 'youre': 0.003667481662591687, 'words': 0.0012224938875305623, 'sebastian': 0.0012224938875305623, 'kept': 0.0012224938875305623, 'stick': 0.003667481662591687, 'tubas': 0.0012224938875305623, 'imma': 0.0012224938875305623, 'treasure': 0.0012224938875305623, 'grammar': 0.0012224938875305623, 'fast': 0.0012224938875305623, 'bowlin': 0.0012224938875305623, 'hungry': 0.0012224938875305623, 'awing': 0.0012224938875305623, 'lines': 0.0012224938875305623, '15th': 0.0012224938875305623, 'well': 0.0012224938875305623, 'leavin': 0.0024449877750611247, 'another': 0.0012224938875305623, 'permanently': 0.0012224938875305623, 'abandoned': 0.0012224938875305623, 'second': 0.0012224938875305623, 'readin': 0.0012224938875305623, 'where': 0.0012224938875305623, 'confidence': 0.0012224938875305623, 'clips': 0.0012224938875305623, 'respirating': 0.0012224938875305623, 'aluminum': 0.0012224938875305623, 'bricks': 0.0012224938875305623}"
minerals,{'vicodin': 1.0}
vicodin,{'with': 1.0}
with,"{'inner': 0.0034482758620689655, 'a': 0.16896551724137931, 'the': 0.15862068965517243, 'large': 0.0034482758620689655, 'apparitions': 0.0034482758620689655, 'boy': 0.0034482758620689655, 'flavorful': 0.0034482758620689655, 'two': 0.0034482758620689655, 'all': 0.017241379310344827, 'extra': 0.0034482758620689655, 'steel': 0.0034482758620689655, 'his': 0.02413793103448276, 'no': 0.05517241379310345, 'him': 0.0034482758620689655, 'your': 0.05517241379310345, 'cocaine': 0.0034482758620689655, 'its': 0.0034482758620689655, 'words': 0.013793103448275862, 'budget': 0.0034482758620689655, 'me': 0.03103448275862069, 'million': 0.0034482758620689655, 'diet': 0.0034482758620689655, 'apes': 0.0034482758620689655, 'that': 0.020689655172413793, 'one': 0.0034482758620689655, 'her': 0.006896551724137931, 'it': 0.006896551724137931, 'time': 0.0034482758620689655, 'endorsements': 0.0034482758620689655, 'clothes': 0.0034482758620689655, 'both': 0.0034482758620689655, 'these': 0.006896551724137931, 'each': 0.006896551724137931, 'stairs': 0.0034482758620689655, 'which': 0.0034482758620689655, 'personal': 0.0034482758620689655, 'you': 0.006896551724137931, 'montblancs': 0.0034482758620689655, 'this': 0.010344827586206896, 'leaking': 0.0034482758620689655, 'pots': 0.0034482758620689655, 'compositions': 0.0034482758620689655, 'my': 0.08275862068965517, 'every': 0.0034482758620689655, 'work': 0.0034482758620689655, 'laughs': 0.0034482758620689655, 'glad': 0.0034482758620689655, 'an': 0.013793103448275862, 'shit': 0.0034482758620689655, 'they': 0.0034482758620689655, 'hell': 0.0034482758620689655, 'long': 0.0034482758620689655, 'record': 0.0034482758620689655, 'collapsible': 0.0034482758620689655, '150': 0.0034482758620689655, 'binoculars': 0.0034482758620689655, 'deniro': 0.0034482758620689655, 'whats': 0.0034482758620689655, 'ether': 0.0034482758620689655, 'shine': 0.0034482758620689655, 'dollars': 0.0034482758620689655, 'diseffect': 0.0034482758620689655, 'weapons': 0.0034482758620689655, 'blind': 0.0034482758620689655, 'gold': 0.0034482758620689655, 'us': 0.027586206896551724, 'something': 0.0034482758620689655, 'acres': 0.0034482758620689655, 'americans': 0.0034482758620689655, 'he': 0.0034482758620689655, 'put': 0.0034482758620689655, 'sorrow': 0.0034482758620689655, 'black': 0.0034482758620689655, 'land': 0.0034482758620689655, 'treasure': 0.0034482758620689655, 'liberty': 0.0034482758620689655, 'overwhelming': 0.0034482758620689655, 'baboons': 0.0034482758620689655, 'japanese': 0.0034482758620689655, 'them': 0.006896551724137931, 'such': 0.0034482758620689655, 'settling': 0.0034482758620689655, 'professors': 0.0034482758620689655, 'let': 0.0034482758620689655, 'liquor': 0.0034482758620689655, 'grace': 0.0034482758620689655, 'warriors': 0.0034482758620689655, 'wits': 0.0034482758620689655, 'forests': 0.0034482758620689655, 'wicks': 0.0034482758620689655, 'more': 0.0034482758620689655, 'nobody': 0.0034482758620689655, 'some': 0.0034482758620689655, 'third': 0.0034482758620689655, 'thirty': 0.0034482758620689655, 'vision': 0.0034482758620689655, 'merely': 0.0034482758620689655, 'irene': 0.0034482758620689655, 'lupemperor': 0.0034482758620689655, 'twelve': 0.0034482758620689655}"
inner,"{'tubes': 0.3333333333333333, 'fears': 0.3333333333333333, 'demon': 0.3333333333333333}"
tubes,{'wrapped': 1.0}
