Word,Frequency
mic,"{'check': 0.027777777777777776, 'like': 0.1111111111111111, 'is': 0.08333333333333333, 'get': 0.027777777777777776, 'hold': 0.027777777777777776, 'he': 0.05555555555555555, 'rain': 0.027777777777777776, 'only': 0.027777777777777776, 'the': 0.16666666666666666, 'and': 0.05555555555555555, 'with': 0.027777777777777776, 'growing': 0.05555555555555555, 'why': 0.05555555555555555, 'i': 0.027777777777777776, 'myself': 0.027777777777777776, 'feel': 0.027777777777777776, 'more': 0.027777777777777776, 'stand': 0.05555555555555555, 'do': 0.027777777777777776, 'a': 0.027777777777777776, 'full': 0.027777777777777776}"
check,"{'when': 0.07142857142857142, 'then': 0.07142857142857142, 'the': 0.14285714285714285, 'as': 0.07142857142857142, 'them': 0.07142857142857142, 'super': 0.07142857142857142, 'sends': 0.07142857142857142, 'off': 0.07142857142857142, 'it': 0.07142857142857142, 'day': 0.07142857142857142, 'your': 0.07142857142857142, 'left': 0.07142857142857142, 'his': 0.07142857142857142}"
when,"{'i': 0.16666666666666666, 'its': 0.029411764705882353, 'beef': 0.00980392156862745, 'the': 0.049019607843137254, 'properly': 0.00980392156862745, 'he': 0.13725490196078433, 'they': 0.058823529411764705, 'things': 0.00980392156862745, 'it': 0.06862745098039216, 'she': 0.029411764705882353, 'shes': 0.00980392156862745, 'you': 0.09803921568627451, 'hes': 0.0196078431372549, 'his': 0.00980392156862745, 'ernest': 0.00980392156862745, 'ribs': 0.00980392156862745, 'giving': 0.00980392156862745, 'im': 0.00980392156862745, 'them': 0.00980392156862745, 'love': 0.00980392156862745, 'youre': 0.00980392156862745, 'last': 0.00980392156862745, 'clown': 0.00980392156862745, 'some': 0.029411764705882353, 'die': 0.00980392156862745, 'gunn': 0.00980392156862745, 'a': 0.0196078431372549, 'bad': 0.00980392156862745, 'we': 0.0392156862745098, 'terminator': 0.00980392156862745, 'slovenly': 0.00980392156862745, 'hyper': 0.00980392156862745, 'in': 0.00980392156862745, 'niggas': 0.00980392156862745, 'theres': 0.00980392156862745, 'this': 0.00980392156862745, 'brothers': 0.0196078431372549}"
i,"{'was': 0.040106951871657755, 'knew': 0.0106951871657754, 'swear': 0.008021390374331552, 'used': 0.0053475935828877, 'wrote': 0.008021390374331552, 'say': 0.0106951871657754, 'hold': 0.0106951871657754, 'took': 0.0053475935828877, 'turned': 0.00267379679144385, 'havent': 0.00267379679144385, 'gonna': 0.00267379679144385, 'got': 0.0427807486631016, 'hear': 0.026737967914438502, 'went': 0.0053475935828877, 'choose': 0.0053475935828877, 'do': 0.013368983957219251, 'have': 0.013368983957219251, 'suggest': 0.008021390374331552, 'discuss': 0.00267379679144385, 'ride': 0.00267379679144385, 'stayed': 0.00267379679144385, 'followed': 0.00267379679144385, 'get': 0.0213903743315508, 'crush': 0.00267379679144385, 'hope': 0.008021390374331552, 'doom': 0.00267379679144385, 'tell': 0.0053475935828877, 'am': 0.016042780748663103, 'must': 0.0053475935828877, 'i': 0.00267379679144385, 'you': 0.00267379679144385, 'wish': 0.00267379679144385, 'should': 0.0053475935828877, 'found': 0.00267379679144385, 'try': 0.0053475935828877, 'check': 0.00267379679144385, 'first': 0.008021390374331552, 'let': 0.008021390374331552, 'know': 0.02406417112299465, 'move': 0.00267379679144385, 'done': 0.0053475935828877, 'told': 0.01871657754010695, 'need': 0.0213903743315508, 'wonder': 0.008021390374331552, 'doubt': 0.00267379679144385, 'call': 0.008021390374331552, 'treat': 0.00267379679144385, 'just': 0.0106951871657754, 'always': 0.008021390374331552, 'would': 0.00267379679144385, 'sell': 0.008021390374331552, 'give': 0.0053475935828877, 'hit': 0.0106951871657754, 'killed': 0.0053475935828877, 'dont': 0.0427807486631016, 'strive': 0.0053475935828877, 'stumble': 0.00267379679144385, 'take': 0.008021390374331552, 'coulda': 0.00267379679144385, 'can': 0.013368983957219251, 'penned': 0.00267379679144385, 'use': 0.00267379679144385, 'feel': 0.00267379679144385, 'make': 0.008021390374331552, 'detest': 0.00267379679144385, 'thought': 0.0106951871657754, 'guess': 0.00267379679144385, 'oughta': 0.00267379679144385, 'start': 0.00267379679144385, 'direct': 0.00267379679144385, 'learned': 0.00267379679144385, 'had': 0.0106951871657754, 'keep': 0.008021390374331552, 'reminisce': 0.00267379679144385, 'dedicate': 0.00267379679144385, 'resort': 0.00267379679144385, 'gain': 0.00267379679144385, 'wont': 0.0053475935828877, 'saw': 0.0053475935828877, 'owe': 0.00267379679144385, 'split': 0.00267379679144385, 'stopped': 0.00267379679144385, 'prefer': 0.00267379679144385, 'gotta': 0.00267379679144385, 'mean': 0.00267379679144385, 'kinda': 0.00267379679144385, 'nominate': 0.00267379679144385, 'fear': 0.00267379679144385, 'reup': 0.00267379679144385, 'bring': 0.0053475935828877, 'be': 0.008021390374331552, 'crack': 0.00267379679144385, 'go': 0.00267379679144385, 'licked': 0.00267379679144385, 'pronounce': 0.00267379679144385, 'like': 0.00267379679144385, 'could': 0.0053475935828877, 'didnt': 0.00267379679144385, 'aint': 0.013368983957219251, 'despise': 0.0053475935828877, 'persist': 0.00267379679144385, 'couldnt': 0.00267379679144385, 'shoulda': 0.00267379679144385, 'bet': 0.00267379679144385, 'persevere': 0.00267379679144385, 'washed': 0.00267379679144385, 'rise': 0.00267379679144385, 'accept': 0.00267379679144385, 'remember': 0.0053475935828877, 'figure': 0.00267379679144385, 'been': 0.00267379679144385, 'pull': 0.0053475935828877, 'flipped': 0.00267379679144385, 'called': 0.00267379679144385, 'sold': 0.00267379679144385, 'wanna': 0.0106951871657754, 'only': 0.00267379679144385, 'win': 0.00267379679144385, 'see': 0.008021390374331552, 'live': 0.0053475935828877, 'seek': 0.00267379679144385, 'heard': 0.00267379679144385, 'said': 0.008021390374331552, 'will': 0.0106951871657754, 'crashed': 0.00267379679144385, 'really': 0.0053475935828877, 'triple': 0.00267379679144385, 'chopped': 0.00267379679144385, 'chew': 0.00267379679144385, 'ask': 0.00267379679144385, 'rock': 0.0053475935828877, 'rip': 0.0053475935828877, 'enter': 0.00267379679144385, 'copped': 0.00267379679144385, 'dip': 0.00267379679144385, 'leave': 0.008021390374331552, 'played': 0.0053475935828877, 'pulled': 0.00267379679144385, 'met': 0.0053475935828877, 'spoked': 0.00267379679144385, 'woulda': 0.00267379679144385, 'never': 0.00267379679144385, 'find': 0.00267379679144385, 'think': 0.0053475935828877, 'play': 0.008021390374331552, 'gave': 0.00267379679144385, 'held': 0.00267379679144385, 'slaughter': 0.00267379679144385, 'own': 0.00267379679144385, 'came': 0.00267379679144385, 'creep': 0.00267379679144385, 'tripped': 0.00267379679144385, 'cant': 0.0053475935828877, 'lost': 0.00267379679144385, 'brag': 0.00267379679144385, 'want': 0.0053475935828877, 'calmly': 0.00267379679144385, 'may': 0.0053475935828877, 'drop': 0.0053475935828877, 'steal': 0.0053475935828877, 'mix': 0.00267379679144385, 'come': 0.00267379679144385, 'warn': 0.00267379679144385, 'were': 0.00267379679144385, 'shall': 0.00267379679144385, 'touch': 0.00267379679144385, 'wear': 0.00267379679144385, 'rearranged': 0.00267379679144385, 'stay': 0.00267379679144385, 'fight': 0.00267379679144385, 'doze': 0.00267379679144385, 'die': 0.00267379679144385, 'kill': 0.00267379679144385, 'love': 0.00267379679144385, 'pray': 0.0053475935828877, 'suffer': 0.00267379679144385, 'might': 0.00267379679144385}"
was,"{'led': 0.017543859649122806, 'uncouth': 0.008771929824561403, 'thin': 0.008771929824561403, 'the': 0.07017543859649122, 'a': 0.05263157894736842, 'gone': 0.008771929824561403, 'too': 0.008771929824561403, 'whooping': 0.008771929824561403, 'bitter': 0.008771929824561403, 'always': 0.008771929824561403, 'your': 0.008771929824561403, 'pure': 0.017543859649122806, 'over': 0.017543859649122806, 'four': 0.008771929824561403, 'born': 0.008771929824561403, 'merely': 0.008771929824561403, 'separate': 0.008771929824561403, 'truth': 0.008771929824561403, 'ugly': 0.008771929824561403, 'strictly': 0.008771929824561403, 'never': 0.008771929824561403, 'depicted': 0.008771929824561403, 'touchin': 0.008771929824561403, 'to': 0.008771929824561403, 'very': 0.008771929824561403, 'broker': 0.008771929824561403, 'like': 0.02631578947368421, 'having': 0.008771929824561403, 'missin': 0.017543859649122806, 'love': 0.008771929824561403, 'me': 0.008771929824561403, 'not': 0.017543859649122806, 'telling': 0.008771929824561403, 'an': 0.03508771929824561, 'probably': 0.008771929824561403, 'threequarters': 0.008771929824561403, 'converted': 0.008771929824561403, 'twisted': 0.008771929824561403, 'this': 0.008771929824561403, 'nuts': 0.008771929824561403, 'tore': 0.008771929824561403, 'stupid': 0.008771929824561403, 'aired': 0.008771929824561403, 'teared': 0.008771929824561403, 'tortured': 0.008771929824561403, 'little': 0.008771929824561403, 'jet': 0.008771929824561403, 'strange': 0.008771929824561403, 'three': 0.008771929824561403, 'made': 0.008771929824561403, 'music': 0.008771929824561403, 'modern': 0.008771929824561403, 'woofin': 0.008771929824561403, 'still': 0.008771929824561403, 'more': 0.008771929824561403, 'missing': 0.008771929824561403, 'played': 0.008771929824561403, 'sayin': 0.008771929824561403, 'darkskinned': 0.008771929824561403, 'brownskinned': 0.008771929824561403, 'chromed': 0.008771929824561403, 'in': 0.008771929824561403, 'thirteen': 0.008771929824561403, 'just': 0.008771929824561403, 'knocked': 0.008771929824561403, 'worried': 0.008771929824561403, 'turned': 0.017543859649122806, 'overdue': 0.008771929824561403, 'meant': 0.008771929824561403, 'you': 0.008771929824561403, 'comp': 0.008771929824561403, 'shackled': 0.008771929824561403, 'on': 0.008771929824561403, 'mapped': 0.008771929824561403, 'rhymin': 0.008771929824561403, 'left': 0.017543859649122806, 'biting': 0.017543859649122806, 'loud': 0.008771929824561403, 'enough': 0.008771929824561403, 'goin': 0.008771929824561403, 'sent': 0.008771929824561403, 'limbnumbing': 0.008771929824561403, 'far': 0.008771929824561403, 'burned': 0.008771929824561403, 'learned': 0.008771929824561403, 'chosen': 0.008771929824561403, 'back': 0.008771929824561403, 'hatched': 0.008771929824561403, 'burnt': 0.008771929824561403}"
led,{'to': 1.0}
to,"{'you': 0.02071563088512241, 'cop': 0.003766478342749529, 'go': 0.015065913370998116, 'destroy': 0.003766478342749529, 'the': 0.12429378531073447, 'take': 0.0018832391713747645, 'fall': 0.0018832391713747645, 'save': 0.0018832391713747645, 'cognac': 0.0018832391713747645, 'say': 0.01694915254237288, 'be': 0.03954802259887006, 'please': 0.0018832391713747645, 'drop': 0.0018832391713747645, 'your': 0.015065913370998116, 'get': 0.03954802259887006, 'give': 0.007532956685499058, 'turn': 0.005649717514124294, 'getting': 0.0018832391713747645, 'high': 0.0018832391713747645, 'squeeze': 0.0018832391713747645, 'cover': 0.0018832391713747645, 'eat': 0.005649717514124294, 'kill': 0.0018832391713747645, 'move': 0.0018832391713747645, 'all': 0.007532956685499058, 'him': 0.003766478342749529, 'this': 0.0018832391713747645, 'limper': 0.0018832391713747645, 'stop': 0.009416195856873822, 'see': 0.018832391713747645, 'these': 0.0018832391713747645, 'wide': 0.0018832391713747645, 'die': 0.005649717514124294, 'skeet': 0.0018832391713747645, 'two': 0.0018832391713747645, 'slide': 0.0018832391713747645, 'do': 0.013182674199623353, 'war': 0.0018832391713747645, 'tell': 0.009416195856873822, 'them': 0.0018832391713747645, 'put': 0.005649717514124294, 'let': 0.007532956685499058, 'act': 0.0018832391713747645, 'socialize': 0.0018832391713747645, 'bolster': 0.0018832391713747645, 'shoot': 0.0018832391713747645, 'cut': 0.0018832391713747645, 'sparkin': 0.0018832391713747645, 'plot': 0.0018832391713747645, 'bubble': 0.0018832391713747645, 'end': 0.0018832391713747645, 'have': 0.0018832391713747645, 'pretend': 0.0018832391713747645, 'battle': 0.003766478342749529, 'pursue': 0.0018832391713747645, 'myself': 0.003766478342749529, 'duke': 0.003766478342749529, 'cool': 0.0018832391713747645, 'keep': 0.007532956685499058, 'bust': 0.003766478342749529, 'horsemeat': 0.0018832391713747645, 'hold': 0.005649717514124294, 'a': 0.02071563088512241, 'make': 0.013182674199623353, 'meet': 0.003766478342749529, 'bag': 0.0018832391713747645, 'allstar': 0.0018832391713747645, 'ball': 0.0018832391713747645, 'return': 0.0018832391713747645, 'new': 0.0018832391713747645, 'run': 0.0018832391713747645, 'repeat': 0.0018832391713747645, 'burst': 0.0018832391713747645, 'remember': 0.011299435028248588, 'toe': 0.0018832391713747645, 'heaven': 0.0018832391713747645, 'earn': 0.0018832391713747645, 'pay': 0.005649717514124294, 'www': 0.0018832391713747645, 'throw': 0.0018832391713747645, 'god': 0.003766478342749529, 'fry': 0.0018832391713747645, 'kick': 0.0018832391713747645, 'rush': 0.0018832391713747645, 'think': 0.005649717514124294, 'flip': 0.003766478342749529, 'know': 0.007532956685499058, 'change': 0.0018832391713747645, 'translate': 0.0018832391713747645, 'hit': 0.003766478342749529, 'spare': 0.0018832391713747645, 'sales': 0.0018832391713747645, 'camp': 0.0018832391713747645, 'burn': 0.0018832391713747645, 'walk': 0.003766478342749529, 'try': 0.0018832391713747645, 'heat': 0.0018832391713747645, 'old': 0.0018832391713747645, 'sit': 0.0018832391713747645, 'sleep': 0.003766478342749529, 'sugar': 0.0018832391713747645, 'forge': 0.0018832391713747645, 'become': 0.0018832391713747645, 'fit': 0.0018832391713747645, 'my': 0.015065913370998116, 'blast': 0.0018832391713747645, 'his': 0.007532956685499058, 'prove': 0.0018832391713747645, 'come': 0.003766478342749529, 'face': 0.0018832391713747645, 'copping': 0.0018832391713747645, 'plan': 0.0018832391713747645, 'acquire': 0.0018832391713747645, 'feed': 0.0018832391713747645, 'cali': 0.0018832391713747645, 'squeeza': 0.0018832391713747645, 'snuffleupagus': 0.0018832391713747645, 'finesse': 0.0018832391713747645, 'yoke': 0.0018832391713747645, 'subroc': 0.0018832391713747645, 'trickery': 0.0018832391713747645, 'drink': 0.003766478342749529, 'who': 0.0018832391713747645, 'start': 0.0018832391713747645, 'follow': 0.0018832391713747645, 'speak': 0.003766478342749529, 'freaks': 0.0018832391713747645, 'an': 0.0018832391713747645, 'gain': 0.0018832391713747645, 'smoke': 0.0018832391713747645, 'neck': 0.0018832391713747645, 'yall': 0.0018832391713747645, 'slice': 0.0018832391713747645, 'hurt': 0.0018832391713747645, 'bigemup': 0.0018832391713747645, 'malicious': 0.0018832391713747645, 'state': 0.0018832391713747645, 'fell': 0.0018832391713747645, 'hate': 0.003766478342749529, 'formaldehyde': 0.0018832391713747645, 'flail': 0.0018832391713747645, 'dollars': 0.0018832391713747645, 'each': 0.0018832391713747645, 'affect': 0.0018832391713747645, 'marry': 0.0018832391713747645, 'our': 0.0018832391713747645, 'forget': 0.005649717514124294, 'wife': 0.005649717514124294, 'pull': 0.003766478342749529, 'elope': 0.0018832391713747645, 'whisperin': 0.0018832391713747645, 'hell': 0.0018832391713747645, 'flee': 0.003766478342749529, 'currency': 0.0018832391713747645, 'sabotage': 0.0018832391713747645, 'any': 0.0018832391713747645, 'rumble': 0.003766478342749529, 'floss': 0.0018832391713747645, 'what': 0.0018832391713747645, 'break': 0.0018832391713747645, 'no': 0.0018832391713747645, 'fuck': 0.0018832391713747645, 'tussle': 0.0018832391713747645, 'when': 0.0018832391713747645, 'nimrod': 0.0018832391713747645, 'round': 0.0018832391713747645, 'protect': 0.0018832391713747645, 'plead': 0.0018832391713747645, 'melle': 0.0018832391713747645, 'sizzlin': 0.0018832391713747645, 'chunks': 0.0018832391713747645, 'meant': 0.0018832391713747645, 'use': 0.005649717514124294, 'things': 0.0018832391713747645, 'appreciate': 0.0018832391713747645, 'find': 0.003766478342749529, 'broke': 0.0018832391713747645, 'next': 0.0018832391713747645, 'dickriders': 0.0018832391713747645, 'pure': 0.0018832391713747645, 'preach': 0.0018832391713747645, 'talk': 0.0018832391713747645, 'join': 0.0018832391713747645, 'increase': 0.0018832391713747645, 'thank': 0.0018832391713747645, 'skin': 0.0018832391713747645, 'fillet': 0.0018832391713747645, 'inadvertently': 0.0018832391713747645, 'rock': 0.005649717514124294, 'stopto': 0.0018832391713747645, 'write': 0.003766478342749529, 'catastrophe': 0.0018832391713747645, 'sanity': 0.0018832391713747645, 'triple': 0.0018832391713747645, 'pick': 0.0018832391713747645, 'fund': 0.0018832391713747645, 'rule': 0.0018832391713747645, 'fool': 0.0018832391713747645, 'those': 0.003766478342749529, 'waste': 0.0018832391713747645, 'and': 0.0018832391713747645, 'riddle': 0.0018832391713747645, 'lose': 0.0018832391713747645, 'first': 0.0018832391713747645, 'big': 0.0018832391713747645, 'whip': 0.003766478342749529, 'call': 0.003766478342749529, 'help': 0.0018832391713747645, 'fold': 0.0018832391713747645, 'lend': 0.0018832391713747645, 'figure': 0.0018832391713747645, 'breath': 0.0018832391713747645, 'rag': 0.0018832391713747645, 'emcees': 0.0018832391713747645, 'reload': 0.0018832391713747645, 'deak': 0.0018832391713747645, 'body': 0.0018832391713747645, 'exhale': 0.003766478342749529, 'roost': 0.0018832391713747645, 'bet': 0.0018832391713747645, 'hart': 0.0018832391713747645, 'club': 0.0018832391713747645, 'veggie': 0.0018832391713747645, 'me': 0.003766478342749529, 'watch': 0.003766478342749529, 'hats': 0.0018832391713747645, 'gats': 0.0018832391713747645, 'friendly': 0.0018832391713747645, 'himself': 0.0018832391713747645, 'charter': 0.0018832391713747645, 'touch': 0.0018832391713747645, 'jet': 0.0018832391713747645, 'packing': 0.0018832391713747645, 'push': 0.0018832391713747645, 'spark': 0.0018832391713747645, 'escape': 0.0018832391713747645, 'they': 0.003766478342749529, 'stew': 0.0018832391713747645, 'rap': 0.0018832391713747645, 'win': 0.003766478342749529, 'slobodan': 0.003766478342749529, 'play': 0.003766478342749529, 'spin': 0.0018832391713747645, 'zero': 0.003766478342749529, 'ya': 0.0018832391713747645, 'fdc': 0.0018832391713747645, 'ensure': 0.0018832391713747645, 'conquer': 0.0018832391713747645, 'yell': 0.0018832391713747645, 'explosive': 0.0018832391713747645, 'settle': 0.0018832391713747645, 'roll': 0.0018832391713747645, 'count': 0.0018832391713747645, 'fight': 0.0018832391713747645, 'attack': 0.0018832391713747645, 'deviate': 0.0018832391713747645, 'conform': 0.0018832391713747645, 'really': 0.0018832391713747645, 'conceal': 0.0018832391713747645, 'cope': 0.0018832391713747645, 'inhale': 0.0018832391713747645, 'shine': 0.0018832391713747645, 'dios': 0.0018832391713747645, 'rattle': 0.0018832391713747645, 'bring': 0.0018832391713747645, 'reach': 0.0018832391713747645, 'rest': 0.0018832391713747645, 'match': 0.0018832391713747645, 'flows': 0.0018832391713747645, 'chop': 0.0018832391713747645}"
you,"{'i': 0.011730205278592375, 'were': 0.005865102639296188, 'mc': 0.005865102639296188, 'silly': 0.002932551319648094, 'dont': 0.02346041055718475, 'for': 0.005865102639296188, 'what': 0.005865102639296188, 'know': 0.06451612903225806, 'some': 0.002932551319648094, 'up': 0.005865102639296188, 'thats': 0.002932551319648094, 'guys': 0.002932551319648094, 'will': 0.01466275659824047, 'thank': 0.002932551319648094, 'would': 0.005865102639296188, 'like': 0.008797653958944282, 'talk': 0.002932551319648094, 'change': 0.002932551319648094, 'fry': 0.002932551319648094, 'whos': 0.002932551319648094, 'telling': 0.005865102639296188, 'see': 0.020527859237536656, 'woulda': 0.002932551319648094, 'expect': 0.002932551319648094, 'miss': 0.002932551319648094, 'listen': 0.002932551319648094, 'get': 0.02346041055718475, 'doing': 0.008797653958944282, 'and': 0.011730205278592375, 'brought': 0.002932551319648094, 'wont': 0.005865102639296188, 'keep': 0.005865102639296188, 'with': 0.01466275659824047, 'must': 0.005865102639296188, 'have': 0.008797653958944282, 'little': 0.002932551319648094, 'overgrown': 0.002932551319648094, 'call': 0.005865102639296188, 'when': 0.005865102639296188, 'could': 0.03225806451612903, 'paid': 0.002932551319648094, 'through': 0.002932551319648094, 'guysll': 0.002932551319648094, 'he': 0.002932551319648094, 'need': 0.011730205278592375, 'under': 0.002932551319648094, 'met': 0.002932551319648094, 'feel': 0.005865102639296188, 'ordered': 0.002932551319648094, 'can': 0.017595307917888565, 'to': 0.005865102639296188, 'mean': 0.005865102639296188, 'just': 0.005865102639296188, 'got': 0.03225806451612903, 'gots': 0.002932551319648094, 'still': 0.002932551319648094, 'chase': 0.002932551319648094, 'want': 0.017595307917888565, 'find': 0.005865102639296188, 'the': 0.008797653958944282, 'posed': 0.002932551319648094, 'thought': 0.005865102639296188, 'we': 0.002932551319648094, 'ha': 0.002932551319648094, 'listening': 0.002932551319648094, 'either': 0.002932551319648094, 'be': 0.005865102639296188, 'dig': 0.002932551319648094, 'hand': 0.002932551319648094, 'spell': 0.002932551319648094, 'out': 0.005865102639296188, 'went': 0.002932551319648094, 'you': 0.002932551319648094, 'cant': 0.005865102639296188, 'do': 0.005865102639296188, 'back': 0.002932551319648094, 'say': 0.008797653958944282, 'never': 0.005865102639296188, 'couldnt': 0.005865102639296188, 'taste': 0.002932551319648094, 'press': 0.002932551319648094, 'now': 0.005865102639296188, 'wanna': 0.005865102639296188, 'might': 0.005865102639296188, 'are': 0.011730205278592375, 'learned': 0.002932551319648094, 'voice': 0.002932551319648094, 'in': 0.005865102639296188, 'all': 0.008797653958944282, 'banned': 0.002932551319648094, 'break': 0.002932551319648094, 'haul': 0.005865102639296188, 'told': 0.011730205278592375, 'ever': 0.002932551319648094, 'come': 0.005865102639296188, 'goin': 0.002932551319648094, 'not': 0.005865102639296188, 'listenin': 0.002932551319648094, 'college': 0.002932551319648094, 'didnt': 0.002932551319648094, 'doom': 0.008797653958944282, 'die': 0.002932551319648094, 'look': 0.002932551319648094, 'callin': 0.002932551319648094, 'coming': 0.002932551319648094, 'frequently': 0.002932551319648094, 'may': 0.008797653958944282, 'ought': 0.002932551319648094, 'catch': 0.002932551319648094, 'heard': 0.011730205278592375, 'used': 0.002932551319648094, 'had': 0.002932551319648094, 'super': 0.002932551319648094, 'learn': 0.005865102639296188, 'trying': 0.002932551319648094, 'wit': 0.002932551319648094, 'bout': 0.002932551319648094, 'brand': 0.005865102639296188, 'already': 0.002932551319648094, 'understand': 0.002932551319648094, 'deadly': 0.002932551319648094, 'ready': 0.002932551319648094, 'who': 0.008797653958944282, 'staring': 0.002932551319648094, 'right': 0.002932551319648094, 'walked': 0.002932551319648094, 'bring': 0.002932551319648094, 'forever': 0.002932551319648094, 'broke': 0.005865102639296188, 'jeepers': 0.002932551319648094, 'was': 0.005865102639296188, 'on': 0.008797653958944282, 'nice': 0.002932551319648094, 'a': 0.002932551319648094, 'poisoned': 0.002932551319648094, 'deathdefying': 0.002932551319648094, 'glad': 0.002932551319648094, 'mf': 0.002932551319648094, 'late': 0.002932551319648094, 'set': 0.002932551319648094, 'think': 0.008797653958944282, 'entangled': 0.002932551319648094, 'fronted': 0.002932551319648094, 'my': 0.005865102639296188, 'said': 0.002932551319648094, 'shot': 0.002932551319648094, 'fucking': 0.002932551319648094, 'gon': 0.011730205278592375, 'too': 0.002932551319648094, 'stranger': 0.002932551319648094, 'how': 0.005865102639296188, 'snore': 0.002932551319648094, 'born': 0.002932551319648094, 'spent': 0.002932551319648094, 'risked': 0.002932551319648094, 'going': 0.002932551319648094, 'while': 0.002932551319648094, 'other': 0.002932551319648094, 'dos': 0.005865102639296188, 'ugh': 0.002932551319648094, 'arent': 0.002932551319648094, 'well': 0.002932551319648094, 'that': 0.002932551319648094, 'gotta': 0.005865102639296188, 'cooked': 0.002932551319648094, 'talkin': 0.002932551319648094, 'tell': 0.002932551319648094, 'believe': 0.002932551319648094, 'go': 0.005865102639296188, 'boo': 0.002932551319648094, 'oh': 0.002932551319648094, 'played': 0.002932551319648094, 'manage': 0.002932551319648094, 'fuck': 0.002932551319648094, 'wait': 0.002932551319648094, 'comprehend': 0.002932551319648094, 'walk': 0.002932551319648094, 'use': 0.002932551319648094, 'throw': 0.002932551319648094}"
knew,"{'you': 0.25, 'her': 0.125, 'it': 0.375, 'mad': 0.125, 'our': 0.125}"
were,"{'the': 0.14285714285714285, 'deaf': 0.07142857142857142, 'up': 0.07142857142857142, 'lucky': 0.07142857142857142, 'forced': 0.07142857142857142, 'slaughter': 0.07142857142857142, 'stuck': 0.14285714285714285, 'just': 0.07142857142857142, 'by': 0.07142857142857142, 'british': 0.07142857142857142, 'gonna': 0.07142857142857142, 'expecting': 0.07142857142857142}"
