Word,Frequency
aint,"{'this': 0.004464285714285714, 'talkin': 0.004464285714285714, 'about': 0.004464285714285714, 'good': 0.008928571428571428, 'no': 0.05357142857142857, 'girl': 0.008928571428571428, 'nothin': 0.017857142857142856, 'never': 0.07142857142857142, 'boy': 0.004464285714285714, 'grow': 0.008928571428571428, 'a': 0.04017857142857143, 'livin': 0.004464285714285714, 'got': 0.05357142857142857, 'really': 0.008928571428571428, 'write': 0.008928571428571428, 'what': 0.004464285714285714, 'get': 0.022321428571428572, 'forget': 0.004464285714285714, 'lyin': 0.004464285714285714, 'hood': 0.004464285714285714, 'shit': 0.017857142857142856, 'controllin': 0.013392857142857142, 'where': 0.013392857142857142, 'true': 0.013392857142857142, 'busy': 0.004464285714285714, 'one': 0.004464285714285714, 'near': 0.004464285714285714, 'perfect': 0.017857142857142856, 'even': 0.03571428571428571, 'trippin': 0.004464285714285714, 'used': 0.004464285714285714, 'with': 0.017857142857142856, 'riding': 0.004464285714285714, 'cced': 0.004464285714285714, 'going': 0.004464285714285714, 'blow': 0.004464285714285714, 'learn': 0.008928571428571428, 'broke': 0.004464285714285714, 'seen': 0.03571428571428571, 'do': 0.013392857142857142, 'sniffing': 0.004464285714285714, 'doing': 0.004464285714285714, 'feelin': 0.004464285714285714, 'real': 0.008928571428571428, 'see': 0.022321428571428572, 'doin': 0.004464285714285714, 'takin': 0.004464285714285714, 'fuckin': 0.026785714285714284, 'in': 0.008928571428571428, 'searching': 0.004464285714285714, 'right': 0.004464285714285714, 'fight': 0.004464285714285714, 'ready': 0.008928571428571428, 'trust': 0.004464285714285714, 'blood': 0.004464285714285714, 'crippin': 0.004464285714285714, 'touch': 0.004464285714285714, 'lookin': 0.004464285714285714, 'just': 0.004464285714285714, 'better': 0.004464285714285714, 'take': 0.004464285714285714, 'flyer': 0.004464285714285714, 'swingin': 0.004464285714285714, 'need': 0.004464285714285714, 'from': 0.004464285714285714, 'dc': 0.008928571428571428, 'nobody': 0.013392857142857142, 'swimming': 0.004464285714285714, 'here': 0.004464285714285714, 'listen': 0.004464285714285714, 'graduate': 0.004464285714285714, 'talk': 0.004464285714285714, 'talking': 0.008928571428571428, 'mad': 0.004464285714285714, 'have': 0.022321428571428572, 'trip': 0.008928571428571428, 'sip': 0.004464285714285714, 'hit': 0.004464285714285714, 'want': 0.004464285714285714, 'mean': 0.004464285714285714, 'sleep': 0.004464285714285714, 'cheap': 0.004464285714285714, 'rich': 0.004464285714285714, 'big': 0.004464285714285714, 'know': 0.004464285714285714, 'loyal': 0.008928571428571428, 'for': 0.004464285714285714, 'it': 0.004464285714285714, 'tryna': 0.004464285714285714, 'give': 0.008928571428571428, 'fucking': 0.004464285714285714, 'gotta': 0.004464285714285714, 'nothing': 0.004464285714285714, 'playin': 0.008928571428571428, 'scared': 0.004464285714285714, 'slipping': 0.004464285714285714, 'bitch': 0.004464285714285714, 'layin': 0.004464285714285714, 'lend': 0.004464285714285714, 'had': 0.004464285714285714, 'selling': 0.004464285714285714, 'lettin': 0.004464285714285714, 'fuck': 0.004464285714285714, 'work': 0.004464285714285714, 'leave': 0.004464285714285714, 'complaining': 0.004464285714285714, 'calling': 0.004464285714285714, 'send': 0.004464285714285714, 'poppin': 0.004464285714285714, 'touring': 0.004464285714285714, 'wanna': 0.004464285714285714}"
this,"{'what': 0.012711864406779662, 'to': 0.012711864406779662, 'so': 0.00423728813559322, 'and': 0.00423728813559322, 'twodoor': 0.00423728813559322, 'money': 0.0635593220338983, 'all': 0.00423728813559322, 'kitty': 0.00423728813559322, 'bitch': 0.0635593220338983, 'still': 0.00423728813559322, 'please': 0.00423728813559322, 'anyway': 0.00423728813559322, 'beat': 0.00847457627118644, 'shit': 0.1652542372881356, 'aint': 0.025423728813559324, 'meanwhile': 0.00423728813559322, 'industry': 0.00423728813559322, 'is': 0.05084745762711865, 'that': 0.012711864406779662, 'ice': 0.01694915254237288, 'oh': 0.00423728813559322, 'rap': 0.00423728813559322, 'new': 0.00847457627118644, 'rich': 0.00423728813559322, 'we': 0.00423728813559322, 'day': 0.012711864406779662, 'improv': 0.00423728813559322, 'i': 0.01694915254237288, 'feelin': 0.00423728813559322, 'huh': 0.00423728813559322, 'its': 0.00423728813559322, 'paper': 0.0211864406779661, 'you': 0.00847457627118644, 'morning': 0.00423728813559322, 'for': 0.00423728813559322, 'im': 0.00423728813559322, 'but': 0.00423728813559322, 'city': 0.00423728813559322, 'my': 0.00423728813559322, 'shitoh': 0.01694915254237288, '458': 0.00423728813559322, 'way': 0.012711864406779662, 'wrong': 0.00423728813559322, 'your': 0.00847457627118644, 'the': 0.00847457627118644, 'scholarship': 0.00423728813559322, 'real': 0.00423728813559322, 'no': 0.00423728813559322, 'lifestyle': 0.00423728813559322, 'far': 0.00847457627118644, 'gunfire': 0.00423728813559322, 'white': 0.00423728813559322, 'lil': 0.012711864406779662, 'pain': 0.0211864406779661, 'stressin': 0.00423728813559322, 'flame': 0.01694915254237288, 'rain': 0.01694915254237288, 'macelevy': 0.00423728813559322, 'rose': 0.00423728813559322, 'lean': 0.00423728813559322, 'could': 0.00423728813559322, 'jewelry': 0.00423728813559322, 'dirty': 0.00423728813559322, 'actavis': 0.00423728813559322, 'cheddar': 0.00423728813559322, 'whip': 0.00423728813559322, 'motherfucking': 0.00423728813559322, 'son': 0.00423728813559322, 'fame': 0.00423728813559322, 'power': 0.00423728813559322, 'soccer': 0.00423728813559322, 'freak': 0.00423728813559322, 'time': 0.012711864406779662, 'maybach': 0.00847457627118644, 'purple': 0.00423728813559322, 'sauce': 0.00423728813559322, 'face': 0.00423728813559322, 'house': 0.06779661016949153, 'ganja': 0.00423728813559322, 'back': 0.00423728813559322, 'muthafuckin': 0.00423728813559322, 'nigga': 0.00847457627118644, 'young': 0.00423728813559322, 'moment': 0.00423728813559322, 'a': 0.00423728813559322, 'jungle': 0.00423728813559322, 'fucking': 0.00423728813559322, 'through': 0.00423728813559322, 'wheel': 0.00423728813559322, 'bentleys': 0.00423728813559322, 'gon': 0.00423728813559322, 'verse': 0.00423728813559322, 'hiphop': 0.00423728813559322, 'life': 0.00423728813559322}"
what,"{'theyve': 0.008695652173913044, 'we': 0.10434782608695652, 'you': 0.17391304347826086, 'i': 0.1391304347826087, 'up': 0.034782608695652174, 'the': 0.08695652173913043, 'they': 0.06956521739130435, 'got': 0.008695652173913044, 'that': 0.017391304347826087, 'to': 0.034782608695652174, 'free': 0.008695652173913044, 'its': 0.043478260869565216, 'youre': 0.008695652173913044, 'bo': 0.008695652173913044, 'my': 0.008695652173913044, 'im': 0.034782608695652174, 'a': 0.017391304347826087, 'strip': 0.008695652173913044, 'your': 0.02608695652173913, 'ferg': 0.008695652173913044, 'now': 0.008695652173913044, 'she': 0.017391304347826087, 'is': 0.008695652173913044, 'niggas': 0.008695652173913044, 'and': 0.008695652173913044, 'he': 0.008695652173913044, 'this': 0.017391304347826087, 'dreamchasers': 0.008695652173913044, 'it': 0.008695652173913044, 'them': 0.02608695652173913, 'makes': 0.008695652173913044, 'these': 0.017391304347826087}"
theyve,{'been': 1.0}
been,"{'waitin': 0.023809523809523808, 'counted': 0.023809523809523808, 'up': 0.047619047619047616, 'had': 0.023809523809523808, 'in': 0.07142857142857142, 'a': 0.047619047619047616, 'on': 0.11904761904761904, 'to': 0.023809523809523808, 'iced': 0.023809523809523808, 'disrespected': 0.023809523809523808, 'gettin': 0.023809523809523808, 'no': 0.023809523809523808, 'through': 0.07142857142857142, 'sayin': 0.023809523809523808, 'peeping': 0.023809523809523808, 'watching': 0.023809523809523808, 'sitting': 0.023809523809523808, 'getting': 0.07142857142857142, 'years': 0.023809523809523808, 'at': 0.023809523809523808, 'knew': 0.023809523809523808, 'waiting': 0.047619047619047616, 'sweet': 0.023809523809523808, 'cuffin': 0.023809523809523808, 'ballin': 0.023809523809523808, 'tryna': 0.07142857142857142, 'hard': 0.023809523809523808}"
waitin,"{'for': 0.5, 'on': 0.5}"
for,"{'you': 0.12690355329949238, 'times': 0.005076142131979695, 'a': 0.08121827411167512, 'my': 0.07614213197969544, '40': 0.005076142131979695, 'love': 0.015228426395939087, 'that': 0.04568527918781726, 'this': 0.04060913705583756, 'way': 0.005076142131979695, 'me': 0.04060913705583756, 'the': 0.12690355329949238, 'her': 0.01015228426395939, 'real': 0.025380710659898477, 'christmas': 0.005076142131979695, 'every': 0.005076142131979695, 'spitting': 0.005076142131979695, 'all': 0.05583756345177665, 'niggas': 0.01015228426395939, 'carin': 0.005076142131979695, 'im': 0.005076142131979695, 'now': 0.005076142131979695, 'it': 0.025380710659898477, 'poppin': 0.005076142131979695, 'millions': 0.005076142131979695, 'free': 0.005076142131979695, 'no': 0.005076142131979695, 'thats': 0.015228426395939087, 'twitter': 0.005076142131979695, 'vine': 0.005076142131979695, 'chanel': 0.005076142131979695, 'his': 0.015228426395939087, 'sale': 0.01015228426395939, 'em': 0.01015228426395939, 'us': 0.015228426395939087, 'your': 0.015228426395939087, 'like': 0.005076142131979695, 'thirty': 0.005076142131979695, 'got': 0.005076142131979695, 'probation': 0.005076142131979695, 'life': 0.02030456852791878, 'these': 0.01015228426395939, 'them': 0.030456852791878174, 'asphalt': 0.005076142131979695, 'kathy': 0.005076142131979695, 'seven': 0.005076142131979695, 'some': 0.015228426395939087, 'bad': 0.005076142131979695, 'different': 0.005076142131979695, 'giving': 0.005076142131979695, 'war': 0.015228426395939087, 'time': 0.005076142131979695, 'him': 0.005076142131979695, 'chilling': 0.005076142131979695}"
you,"{'ready': 0.005644402634054563, 'want': 0.01317027281279398, 'gotta': 0.00940733772342427, 'aint': 0.03951081843838194, 'talkin': 0.007525870178739417, 'fuck': 0.02634054562558796, 'diss': 0.0009407337723424271, 'touchdown': 0.0009407337723424271, 'think': 0.005644402634054563, 'drunk': 0.0028222013170272815, 'had': 0.005644402634054563, 'here': 0.0028222013170272815, 'is': 0.0028222013170272815, 'somebodys': 0.0028222013170272815, 'right': 0.0037629350893697085, 'she': 0.0018814675446848542, 'now': 0.0028222013170272815, 'lookin': 0.0009407337723424271, 'might': 0.0018814675446848542, 'with': 0.004703668861712135, 'from': 0.0028222013170272815, 'the': 0.005644402634054563, 'got': 0.01317027281279398, 'gon': 0.004703668861712135, 'yo': 0.0009407337723424271, 'know': 0.06679209783631232, 'shit': 0.0018814675446848542, 'you': 0.011288805268109126, 'mans': 0.0009407337723424271, 'make': 0.0037629350893697085, 'thought': 0.0028222013170272815, 'would': 0.00658513640639699, 'that': 0.0018814675446848542, 'fourth': 0.0009407337723424271, 'hear': 0.0028222013170272815, 'say': 0.008466603951081843, 'was': 0.031044214487300093, 'asked': 0.0018814675446848542, 'how': 0.0037629350893697085, 'really': 0.007525870178739417, 'fall': 0.0028222013170272815, 'to': 0.008466603951081843, 'last': 0.0028222013170272815, 'anyway': 0.0009407337723424271, 'fuckin': 0.0028222013170272815, 'rich': 0.0018814675446848542, 'see': 0.011288805268109126, 'wrote': 0.0009407337723424271, 'a': 0.023518344308560677, 'cause': 0.005644402634054563, 'never': 0.004703668861712135, 'buttercup': 0.0009407337723424271, 'fucking': 0.0009407337723424271, 'changed': 0.0009407337723424271, 'studied': 0.0009407337723424271, 'claim': 0.0009407337723424271, 'king': 0.0009407337723424271, 'bitch': 0.0018814675446848542, 'missed': 0.0009407337723424271, 'went': 0.0009407337723424271, 'miss': 0.0018814675446848542, 'understand': 0.0037629350893697085, 'wanna': 0.004703668861712135, 'fucked': 0.0018814675446848542, 'shoulda': 0.0009407337723424271, 'feel': 0.012229539040451553, 'let': 0.0028222013170272815, 'in': 0.01317027281279398, 'guys': 0.0009407337723424271, 'niggas': 0.01599247412982126, 'need': 0.01317027281279398, 'spend': 0.0009407337723424271, 'do': 0.0037629350893697085, '24': 0.0009407337723424271, 'have': 0.007525870178739417, 'claiming': 0.0009407337723424271, 'nigga': 0.01317027281279398, 'feeling': 0.0009407337723424271, 'through': 0.0028222013170272815, 'stay': 0.0028222013170272815, 'mitch': 0.0009407337723424271, 'hold': 0.0018814675446848542, 'paid': 0.0009407337723424271, 'bring': 0.0037629350893697085, 'can': 0.01599247412982126, 'run': 0.0018814675446848542, 'leverage': 0.0009407337723424271, 'when': 0.005644402634054563, 'bought': 0.0018814675446848542, 'discarded': 0.0009407337723424271, 'came': 0.0018814675446848542, 'dumb': 0.0009407337723424271, 'for': 0.004703668861712135, 'lay': 0.0009407337723424271, 'cant': 0.008466603951081843, 'going': 0.0037629350893697085, 'taking': 0.0037629350893697085, 'give': 0.0037629350893697085, 'there': 0.004703668861712135, 'said': 0.005644402634054563, 'they': 0.0009407337723424271, 'uh': 0.0009407337723424271, 'ride': 0.0028222013170272815, 'curved': 0.0009407337723424271, 'slide': 0.0009407337723424271, 'over': 0.0018814675446848542, 'depressed': 0.0009407337723424271, 'rockin': 0.0009407337723424271, 'be': 0.00658513640639699, 'we': 0.00658513640639699, 'ayy': 0.0009407337723424271, 'bad': 0.0018814675446848542, 'being': 0.0018814675446848542, 'deserve': 0.0028222013170272815, 'so': 0.0037629350893697085, 'sound': 0.0009407337723424271, 'win': 0.0009407337723424271, 'dont': 0.007525870178739417, 'superman': 0.0009407337723424271, 'catch': 0.0018814675446848542, 'mad': 0.0037629350893697085, 'motherfuckers': 0.0018814675446848542, 'off': 0.0028222013170272815, 'keep': 0.005644402634054563, 'rappers': 0.0009407337723424271, 'wake': 0.0009407337723424271, 'collect': 0.0009407337723424271, 'could': 0.004703668861712135, 'thorough': 0.0009407337723424271, 'robbers': 0.0009407337723424271, 'did': 0.0028222013170272815, 'pussy': 0.0009407337723424271, 'son': 0.0009407337723424271, 'get': 0.007525870178739417, 'pop': 0.0009407337723424271, 'hatin': 0.0028222013170272815, 'i': 0.014111006585136407, 'surfing': 0.0009407337723424271, 'this': 0.0009407337723424271, 'broke': 0.0009407337723424271, 'preserve': 0.0009407337723424271, 'flirt': 0.0009407337723424271, 'damn': 0.0009407337723424271, 'find': 0.0009407337723424271, 'fourstroke': 0.0009407337723424271, 'all': 0.0028222013170272815, 'out': 0.0037629350893697085, 'claimin': 0.0009407337723424271, 'hov': 0.0009407337723424271, 'state': 0.0009407337723424271, 'body': 0.0009407337723424271, 'told': 0.0028222013170272815, 'on': 0.00940733772342427, 'triple': 0.0009407337723424271, 'are': 0.0009407337723424271, 'short': 0.0009407337723424271, 'wish': 0.0018814675446848542, 'saved': 0.0009407337723424271, 'cross': 0.0009407337723424271, 'murdered': 0.0009407337723424271, 'playing': 0.0009407337723424271, 'touch': 0.0009407337723424271, 'heard': 0.0037629350893697085, 'caught': 0.0009407337723424271, 'assed': 0.0009407337723424271, 'wear': 0.0009407337723424271, 'only': 0.0009407337723424271, 'better': 0.005644402634054563, 'pray': 0.0018814675446848542, 'and': 0.01881467544684854, 'send': 0.0009407337723424271, 'foul': 0.0009407337723424271, 'still': 0.0028222013170272815, 'eating': 0.0009407337723424271, 'watch': 0.0009407337723424271, 'lil': 0.0009407337723424271, 'hop': 0.0009407337723424271, 'should': 0.0028222013170272815, 'probably': 0.0009407337723424271, 'looking': 0.0009407337723424271, 'doing': 0.0028222013170272815, 'offendin': 0.0018814675446848542, 'slipping': 0.0009407337723424271, 'where': 0.0009407337723424271, 'at': 0.0009407337723424271, 'offending': 0.0009407337723424271, 'saying': 0.0009407337723424271, 'even': 0.0018814675446848542, 'ripped': 0.0037629350893697085, 'left': 0.0018814675446848542, 'made': 0.0028222013170272815, 'just': 0.00940733772342427, 'listen': 0.0009407337723424271, 'walk': 0.0018814675446848542, 'throw': 0.0009407337723424271, 'its': 0.0018814675446848542, 'night': 0.0028222013170272815, 'forever': 0.0009407337723424271, 'pressed': 0.0009407337723424271, 'hit': 0.0028222013170272815, 'like': 0.007525870178739417, 'fell': 0.0009407337723424271, 'up': 0.0037629350893697085, 'baby': 0.0028222013170272815, 'thirsty': 0.0009407337723424271, 'sick': 0.0009407337723424271, 'ho': 0.0028222013170272815, 'lord': 0.0009407337723424271, 'knew': 0.0018814675446848542, 'facts': 0.0018814675446848542, 'some': 0.0018814675446848542, 'back': 0.0018814675446848542, 'worthless': 0.0018814675446848542, 'feelin': 0.0009407337723424271, 'tapped': 0.0009407337723424271, 'wrong': 0.0009407337723424271, 'couldve': 0.0009407337723424271, 'your': 0.0009407337723424271, 'doin': 0.004703668861712135, 'wont': 0.0009407337723424271, 'murk': 0.0009407337723424271, 'dead': 0.0018814675446848542, 'gone': 0.0037629350893697085, 'thats': 0.005644402634054563, 'it': 0.0037629350893697085, 'good': 0.005644402634054563, 'bustin': 0.0037629350893697085, 'rambo': 0.0037629350893697085, '2pac': 0.0009407337723424271, 'love': 0.0018814675446848542, 'rihanna': 0.0009407337723424271, 'put': 0.0018814675446848542, 'but': 0.0018814675446848542, 'used': 0.0028222013170272815, 'wasnt': 0.0009407337723424271, 'scarred': 0.0009407337723424271, 'if': 0.0009407337723424271, 'momma': 0.0009407337723424271, 'sleeping': 0.0009407337723424271, 'acting': 0.0009407337723424271, 'done': 0.0018814675446848542, 'ask': 0.0009407337723424271, 'sure': 0.0037629350893697085, 'looked': 0.0009407337723424271, 'diggin': 0.0009407337723424271, 'hating': 0.0009407337723424271, 'ballin': 0.0028222013170272815, 'prolly': 0.0028222013170272815, 'thinkin': 0.0009407337723424271, 'cannot': 0.0009407337723424271, 'wouldve': 0.0009407337723424271, 'scrape': 0.0009407337723424271, 'insomniac': 0.0009407337723424271, 'wearing': 0.0009407337723424271, 'nah': 0.0009407337723424271, 'gettin': 0.0009407337723424271, 'fire': 0.0009407337723424271, 'bastards': 0.0009407337723424271, 'young': 0.0009407337723424271, 'ever': 0.0009407337723424271, 'woah': 0.0028222013170272815, 'kiss': 0.0009407337723424271, 'well': 0.0037629350893697085, 'crazy': 0.0009407337723424271, 'stretched': 0.0009407337723424271, 'found': 0.0009407337723424271, 'seen': 0.0009407337723424271, 'my': 0.0018814675446848542, 'coming': 0.0009407337723424271, 'mine': 0.0009407337723424271, 'shine': 0.0009407337723424271, 'take': 0.0009407337723424271, 'try': 0.0009407337723424271, 'hollywood': 0.0009407337723424271, 'something': 0.0009407337723424271, 'comin': 0.0009407337723424271, 'sayin': 0.0009407337723424271, 'lettin': 0.0009407337723424271, 'returned': 0.0009407337723424271, 'wouldnt': 0.0018814675446848542, 'wanted': 0.0018814675446848542, 'somethin': 0.0009407337723424271, 'bro': 0.0009407337723424271, 'dig': 0.0009407337723424271, 'go': 0.0009407337723424271, 'turn': 0.0009407337723424271, 'wrap': 0.0028222013170272815, 'whatever': 0.0028222013170272815, 'smart': 0.0009407337723424271, 'leave': 0.0009407337723424271, 'please': 0.0009407337723424271, 'open': 0.0009407337723424271, 'fine': 0.0009407337723424271, 'down': 0.0037629350893697085, 'not': 0.0018814675446848542, 'free': 0.0009407337723424271, 'bled': 0.0009407337723424271, 'he': 0.0009407337723424271, 'believe': 0.0009407337723424271, 'kneel': 0.0009407337723424271, 'de': 0.0009407337723424271, 'what': 0.0028222013170272815, 'dance': 0.0009407337723424271, 'fraud': 0.0009407337723424271, 'hate': 0.0009407337723424271, 'lost': 0.0009407337723424271, 'soft': 0.0009407337723424271, 'disrespect': 0.0009407337723424271, 'dissin': 0.0009407337723424271, 'lying': 0.0018814675446848542, 'couldnt': 0.0009407337723424271, 'life': 0.0009407337723424271, 'imma': 0.0009407337723424271, 'one': 0.0009407337723424271, 'add': 0.0009407337723424271, 'nursery': 0.0009407337723424271, 'melo': 0.0009407337723424271, 'bit': 0.0009407337723424271, 'purpledickie': 0.0009407337723424271, 'shouldve': 0.0009407337723424271, 'survived': 0.0009407337723424271, 'scuba': 0.0009407337723424271, 'jumping': 0.0009407337723424271, 'must': 0.0009407337723424271, 'locked': 0.0009407337723424271, 'living': 0.0009407337723424271, 'oh': 0.0009407337723424271, 'next': 0.0009407337723424271, 'two': 0.0009407337723424271}"
ready,"{'uh': 0.058823529411764705, 'yeah': 0.058823529411764705, 'you': 0.058823529411764705, 'i': 0.058823529411764705, 'really': 0.11764705882352941, 'im': 0.058823529411764705, 'like': 0.058823529411764705, 'switching': 0.058823529411764705, 'niggas': 0.058823529411764705, 'let': 0.058823529411764705, 'for': 0.058823529411764705, 'were': 0.058823529411764705, 'allstar': 0.058823529411764705, 'or': 0.058823529411764705, 'cause': 0.058823529411764705, 'to': 0.058823529411764705}"
uh,"{'uh': 0.03333333333333333, 'i': 0.1, 'put': 0.06666666666666667, 'ive': 0.03333333333333333, 'see': 0.06666666666666667, 'locked': 0.03333333333333333, 'twofifty': 0.03333333333333333, 'when': 0.03333333333333333, 'roc': 0.03333333333333333, 'cause': 0.03333333333333333, 'it': 0.03333333333333333, 'you': 0.03333333333333333, 'im': 0.03333333333333333, 'lord': 0.03333333333333333, 'niggas': 0.06666666666666667, 'gettin': 0.03333333333333333, 'yeah': 0.06666666666666667, 'pull': 0.03333333333333333, 'make': 0.03333333333333333, 'cold': 0.03333333333333333, 'checkin': 0.03333333333333333, 'follow': 0.03333333333333333, 'my': 0.03333333333333333, 'target': 0.03333333333333333}"
