Word,Frequency
dj,"{'please': 0.16666666666666666, 'bring': 0.08333333333333333, 'turn': 0.08333333333333333, 'come': 0.08333333333333333, 'put': 0.08333333333333333, 'how': 0.08333333333333333, 'on': 0.08333333333333333, 'wont': 0.08333333333333333, 'is': 0.08333333333333333, 'can': 0.08333333333333333, 'fuckin': 0.08333333333333333}"
please,"{'pick': 0.16666666666666666, 'let': 0.08333333333333333, 'me': 0.08333333333333333, 'dont': 0.16666666666666666, 'pussy': 0.08333333333333333, 'refrain': 0.16666666666666666, 'like': 0.08333333333333333, 'do': 0.16666666666666666}"
pick,"{'up': 0.6666666666666666, 'a': 0.3333333333333333}"
up,"{'your': 0.013953488372093023, 'lets': 0.009302325581395349, 'close': 0.009302325581395349, 'cause': 0.004651162790697674, 'in': 0.08837209302325581, 'clothes': 0.004651162790697674, 'on': 0.03255813953488372, 'missy': 0.004651162790697674, 'fools': 0.004651162790697674, 'i': 0.08372093023255814, 'yeah': 0.013953488372093023, 'watch': 0.004651162790697674, 'the': 0.05116279069767442, 'with': 0.004651162790697674, 'bring': 0.004651162790697674, 'dj': 0.004651162790697674, 'girl': 0.018604651162790697, 'now': 0.009302325581395349, 'all': 0.013953488372093023, 'baby': 0.004651162790697674, 'then': 0.013953488372093023, 'put': 0.004651162790697674, 'what': 0.009302325581395349, 'everyone': 0.009302325581395349, 'motherfuckers': 0.013953488372093023, 'bodies': 0.004651162790697674, 'when': 0.004651162790697674, 'my': 0.037209302325581395, 'braveheart': 0.004651162790697674, 'wit': 0.013953488372093023, 'profits': 0.004651162790697674, 'any': 0.004651162790697674, 'im': 0.013953488372093023, 'and': 0.04186046511627907, 'shut': 0.004651162790697674, 'we': 0.009302325581395349, 'to': 0.013953488372093023, '615': 0.004651162790697674, 'spend': 0.004651162790697674, 'while': 0.023255813953488372, 'off': 0.009302325581395349, 'her': 0.004651162790697674, 'if': 0.009302325581395349, 'like': 0.027906976744186046, 'back': 0.023255813953488372, 'so': 0.013953488372093023, 'at': 0.009302325581395349, 'remix': 0.004651162790697674, 'pilots': 0.004651162790697674, 'march': 0.004651162790697674, 'from': 0.004651162790697674, 'sho': 0.004651162790697674, 'for': 0.004651162790697674, 'before': 0.009302325581395349, 'flip': 0.004651162790697674, 'clubs': 0.004651162790697674, 'do': 0.004651162790697674, 'stop': 0.004651162790697674, 'got': 0.004651162790697674, 'gotta': 0.004651162790697674, 'studio': 0.004651162790697674, 'wake': 0.06976744186046512, 'huh': 0.009302325581395349, 'yall': 0.004651162790697674, 'keep': 0.004651162790697674, 'dont': 0.004651162790697674, 'just': 0.004651162790697674, 'see': 0.009302325581395349, 'easy': 0.004651162790697674, 'star': 0.004651162790697674, 'get': 0.004651162790697674, 'someone': 0.004651162790697674, 'show': 0.004651162790697674, 'almost': 0.004651162790697674, 'yes': 0.009302325581395349, 'this': 0.004651162790697674, 'its': 0.004651162790697674, 'funky': 0.04186046511627907, 'cmon': 0.004651162790697674, 'giddy': 0.004651162790697674}"
your,"{'phone': 0.006230529595015576, 'numbers': 0.006230529595015576, 'girl': 0.012461059190031152, 'sofa': 0.006230529595015576, 'nails': 0.006230529595015576, 'hair': 0.006230529595015576, 'braids': 0.006230529595015576, 'mouth': 0.021806853582554516, 'eyes': 0.012461059190031152, 'ass': 0.021806853582554516, 'thing': 0.003115264797507788, 'tongue': 0.012461059190031152, 'picture': 0.003115264797507788, 'bars': 0.003115264797507788, 'freak': 0.21806853582554517, 'face': 0.012461059190031152, 'mind': 0.009345794392523364, 'lights': 0.003115264797507788, 'backs': 0.009345794392523364, 'hands': 0.040498442367601244, 'back': 0.024922118380062305, 'arms': 0.012461059190031152, 'chance': 0.012461059190031152, 'clock': 0.003115264797507788, 'oil': 0.003115264797507788, 'head': 0.009345794392523364, 'day': 0.006230529595015576, 'man': 0.018691588785046728, 'rectum': 0.006230529595015576, 'pum': 0.006230529595015576, 'clothes': 0.01557632398753894, 'breath': 0.006230529595015576, 'choice': 0.006230529595015576, 'mamas': 0.003115264797507788, 'benz': 0.003115264797507788, 'navigator': 0.003115264797507788, 'shit': 0.003115264797507788, 'area': 0.003115264797507788, 'name': 0.009345794392523364, 'car': 0.009345794392523364, 'date': 0.006230529595015576, 'part': 0.003115264797507788, 'gang': 0.003115264797507788, 'world': 0.003115264797507788, 'team': 0.003115264797507788, 'girlfriend': 0.003115264797507788, 'house': 0.003115264797507788, 'socks': 0.006230529595015576, 'nigga': 0.003115264797507788, 'notebook': 0.003115264797507788, 'words': 0.003115264797507788, 'fucking': 0.003115264797507788, 'chest': 0.006230529595015576, 'independent': 0.003115264797507788, 'hubby': 0.003115264797507788, 'ring': 0.003115264797507788, 'body': 0.01557632398753894, 'clique': 0.003115264797507788, 'lips': 0.003115264797507788, 'thang': 0.003115264797507788, 'review': 0.003115264797507788, 'ratings': 0.003115264797507788, 'games': 0.006230529595015576, 'chick': 0.009345794392523364, 'boy': 0.003115264797507788, 'boys': 0.003115264797507788, 'favorite': 0.003115264797507788, 'mark': 0.018691588785046728, 'toes': 0.003115264797507788, 'bottom': 0.003115264797507788, 'bullhorn': 0.003115264797507788, 'score': 0.003115264797507788, 'groove': 0.003115264797507788, 'victorias': 0.003115264797507788, 'fredericks': 0.003115264797507788, 'underwear': 0.003115264797507788, 'llac': 0.003115264797507788, 'two': 0.003115264797507788, 'spaghetti': 0.003115264797507788, 'time': 0.018691588785046728, 'friend': 0.003115264797507788, 'flat': 0.003115264797507788, 'talkin': 0.003115264797507788, 'covers': 0.003115264797507788, 'lexus': 0.003115264797507788, 'flight': 0.003115264797507788, 'seats': 0.006230529595015576, 'plane': 0.003115264797507788, 'gold': 0.009345794392523364, 'shoes': 0.006230529595015576, 'lifetime': 0.012461059190031152, 'tail': 0.003115264797507788, 'shades': 0.003115264797507788, 'crazy': 0.003115264797507788, 'spine': 0.003115264797507788, 'shine': 0.003115264797507788, 'guns': 0.003115264797507788, 'drinks': 0.003115264797507788, 'bank': 0.003115264797507788, 'hood': 0.009345794392523364, 'money': 0.003115264797507788, 'jeans': 0.003115264797507788, 'laces': 0.012461059190031152, 'ep': 0.003115264797507788, 'wheaties': 0.003115264797507788, 'chain': 0.003115264797507788, 'butt': 0.003115264797507788, 'stuff': 0.006230529595015576, 'moms': 0.003115264797507788, 'brother': 0.003115264797507788, 'momma': 0.003115264797507788, '22': 0.003115264797507788, 'way': 0.006230529595015576, 'radio': 0.003115264797507788, 'style': 0.003115264797507788, 'styles': 0.003115264797507788, 'teeth': 0.003115264797507788, 'kenwoods': 0.003115264797507788, 'attitude': 0.003115264797507788, 'life': 0.003115264797507788, 'next': 0.003115264797507788, 'monthly': 0.003115264797507788, 'magic': 0.006230529595015576, 'stick': 0.028037383177570093, 'stereo': 0.003115264797507788, 'crew': 0.003115264797507788, 'partners': 0.003115264797507788, 'get': 0.003115264797507788, 'aight': 0.003115264797507788, 'getget': 0.003115264797507788}"
phone,"{'im': 0.1111111111111111, 'ya': 0.1111111111111111, 'three': 0.05555555555555555, 'tellin': 0.05555555555555555, 'uh': 0.1111111111111111, 'ill': 0.2222222222222222, 'its': 0.16666666666666666, 'number': 0.05555555555555555, 'ringing': 0.05555555555555555, 'hundred': 0.05555555555555555}"
im,"{'on': 0.01607717041800643, 'not': 0.03215434083601286, 'so': 0.03536977491961415, 'a': 0.05144694533762058, 'optimus': 0.003215434083601286, 'like': 0.00964630225080386, 'the': 0.01607717041800643, 'lastin': 0.003215434083601286, 'done': 0.00964630225080386, 'sticking': 0.003215434083601286, 'driving': 0.00964630225080386, 'glad': 0.003215434083601286, 'styling': 0.003215434083601286, 'gripping': 0.003215434083601286, 'better': 0.2057877813504823, 'hot': 0.006430868167202572, 'pretty': 0.006430868167202572, 'just': 0.02572347266881029, 'from': 0.003215434083601286, '3000': 0.003215434083601286, 'andré': 0.003215434083601286, 'kanye': 0.003215434083601286, 'too': 0.01607717041800643, 'super': 0.012861736334405145, 'tired': 0.003215434083601286, 'big': 0.003215434083601286, 'an': 0.006430868167202572, 'looking': 0.006430868167202572, 'off': 0.003215434083601286, 'whats': 0.006430868167202572, 'under': 0.006430868167202572, 'live': 0.006430868167202572, 'switching': 0.003215434083601286, 'impressed': 0.006430868167202572, 'gon': 0.04180064308681672, 'honest': 0.003215434083601286, 'saying': 0.006430868167202572, 'nasty': 0.003215434083601286, 'at': 0.006430868167202572, 'telling': 0.003215434083601286, 'selling': 0.003215434083601286, 'your': 0.003215434083601286, 'out': 0.006430868167202572, 'that': 0.003215434083601286, 'bringing': 0.003215434083601286, 'homicidal': 0.003215434083601286, 'trying': 0.006430868167202572, 'tryna': 0.003215434083601286, 'roberto': 0.003215434083601286, 'about': 0.006430868167202572, 'freaky': 0.003215434083601286, 'in': 0.028938906752411574, 'takin': 0.003215434083601286, 'top': 0.003215434083601286, 'throwin': 0.003215434083601286, 'fit': 0.003215434083601286, 'lookin': 0.003215434083601286, 'bout': 0.00964630225080386, 'thinkin': 0.01607717041800643, 'backed': 0.003215434083601286, 'killin': 0.012861736334405145, 'gettin': 0.003215434083601286, 'shinin': 0.003215434083601286, 'gone': 0.01607717041800643, 'heaven': 0.003215434083601286, 'really': 0.00964630225080386, 'll': 0.003215434083601286, 'doin': 0.006430868167202572, 'sober': 0.003215434083601286, 'to': 0.003215434083601286, 'yo': 0.012861736334405145, 'enough': 0.003215434083601286, 'ruling': 0.003215434083601286, 'leaving': 0.003215434083601286, 'hen': 0.003215434083601286, 'muhammad': 0.003215434083601286, 'creative': 0.003215434083601286, 'wanna': 0.003215434083601286, 'straight': 0.003215434083601286, 'dangerous': 0.003215434083601286, 'all': 0.003215434083601286, 'tight': 0.003215434083601286, 'finna': 0.006430868167202572, 'taking': 0.003215434083601286, 'faking': 0.003215434083601286, 'needin': 0.003215434083601286, 'stewardess': 0.006430868167202572, 'passenger': 0.006430868167202572, 'stayin': 0.003215434083601286, 'gonna': 0.003215434083601286, 'cause': 0.003215434083601286, 'with': 0.003215434083601286, 'only': 0.003215434083601286, 'goin': 0.003215434083601286, 'sayin': 0.012861736334405145, 'namin': 0.003215434083601286, 'pissin': 0.003215434083601286, 'stupid': 0.003215434083601286, 'buying': 0.003215434083601286, 'look': 0.003215434083601286, 'tryin': 0.006430868167202572, 'old': 0.003215434083601286, 'one': 0.003215434083601286, 'liz': 0.003215434083601286, 'comin': 0.003215434083601286, 'drivin': 0.003215434083601286, 'losin': 0.003215434083601286, 'lovin': 0.003215434083601286, 'bumpin': 0.003215434083601286, 'buggin': 0.003215434083601286, 'fuckin': 0.003215434083601286, 'nice': 0.003215434083601286, 'bad': 0.003215434083601286, 'sure': 0.01607717041800643, 'drunk': 0.003215434083601286, 'hard': 0.003215434083601286, 'hangin': 0.00964630225080386, 'chillin': 0.003215434083601286, 'spendin': 0.003215434083601286, 'dope': 0.003215434083601286, 'pumping': 0.003215434083601286}"
on,"{'the': 0.152, 'is': 0.005333333333333333, 'ya': 0.018666666666666668, 'your': 0.04, 'my': 0.048, 'so': 0.0026666666666666666, 'you': 0.013333333333333334, 'occasion': 0.0026666666666666666, 'they': 0.005333333333333333, 'this': 0.008, 'top': 0.010666666666666666, 'get': 0.02666666666666667, 'go': 0.15466666666666667, 'whos': 0.005333333333333333, 'quiet': 0.0026666666666666666, 'ichi': 0.0026666666666666666, 'him': 0.005333333333333333, 'dosiedo': 0.0026666666666666666, 'hills': 0.0026666666666666666, 'acapella': 0.0026666666666666666, 'steppin': 0.0026666666666666666, 'fire': 0.02666666666666667, 'heavy': 0.005333333333333333, 'pass': 0.018666666666666668, 'before': 0.005333333333333333, 'stage': 0.008, 'word': 0.0026666666666666666, 'a': 0.02666666666666667, 'that': 0.005333333333333333, 'crutches': 0.0026666666666666666, 'some': 0.008, 'earth': 0.0026666666666666666, 'down': 0.04533333333333334, 'hahaha': 0.0026666666666666666, 'up': 0.013333333333333334, 'wax': 0.0026666666666666666, 'me': 0.06133333333333333, 'cash': 0.0026666666666666666, 'mygamegame': 0.0026666666666666666, 'it': 0.008, 'bouncing': 0.0026666666666666666, 'oh': 0.0026666666666666666, 'now': 0.0026666666666666666, 'one': 0.0026666666666666666, 'hundred': 0.0026666666666666666, 'them': 0.0026666666666666666, 'recline': 0.0026666666666666666, 'dj': 0.0026666666666666666, 'its': 0.010666666666666666, 'pussy': 0.0026666666666666666, 'records': 0.0026666666666666666, 'ill': 0.016, 'leaving': 0.0026666666666666666, 'don': 0.0026666666666666666, 'make': 0.0026666666666666666, 'ah': 0.06666666666666667, 'and': 0.050666666666666665, 'out': 0.0026666666666666666, 'ten': 0.0026666666666666666, 'em': 0.0026666666666666666, 'away': 0.0026666666666666666, 'yeah': 0.0026666666666666666, 'if': 0.0026666666666666666, 'tv': 0.0026666666666666666, 'sight': 0.0026666666666666666, 'keep': 0.008, 'aint': 0.0026666666666666666, 'do': 0.0026666666666666666, 'rrr': 0.008, 'gget': 0.008, 'remix': 0.0026666666666666666, 'nenenelly': 0.0026666666666666666}"
the,"{'request': 0.0023923444976076554, 'pussy': 0.004784688995215311, 'bed': 0.007177033492822967, 'kinda': 0.0023923444976076554, 'belvedere': 0.0011961722488038277, 'way': 0.05861244019138756, 'lights': 0.0035885167464114833, 'game': 0.004784688995215311, 'best': 0.01076555023923445, 'drummer': 0.0023923444976076554, 'street': 0.004784688995215311, 'zipper': 0.0011961722488038277, 'glove': 0.0011961722488038277, 'same': 0.01555023923444976, 'dance': 0.004784688995215311, 'shit': 0.01076555023923445, 'yard': 0.0011961722488038277, 'matrix': 0.0011961722488038277, 'hood': 0.0011961722488038277, 'donk': 0.0011961722488038277, 'floor': 0.014354066985645933, 'beats': 0.004784688995215311, 'hole': 0.0011961722488038277, 'yak': 0.0011961722488038277, 'trunk': 0.0011961722488038277, 'bump': 0.0011961722488038277, 'business': 0.0011961722488038277, 'basement': 0.0011961722488038277, 'bars': 0.0011961722488038277, 'almighty': 0.0011961722488038277, 'car': 0.0023923444976076554, 'jokes': 0.0011961722488038277, 'back': 0.01076555023923445, 'boys': 0.0023923444976076554, 'stars': 0.0011961722488038277, 'hottest': 0.0011961722488038277, 'radio': 0.0023923444976076554, 'bitch': 0.0035885167464114833, 'piece': 0.0011961722488038277, 'va': 0.0011961722488038277, 'la': 0.0011961722488038277, 'prowl': 0.0011961722488038277, 'club': 0.017942583732057416, 'time': 0.008373205741626795, 'name': 0.0023923444976076554, 'block': 0.007177033492822967, 'phone': 0.0035885167464114833, 'swamp': 0.0011961722488038277, 'world': 0.0035885167464114833, 'microphone': 0.0023923444976076554, 'booth': 0.0011961722488038277, 'kitchen': 0.0011961722488038277, 'grind': 0.0011961722488038277, 'core': 0.0011961722488038277, 'rotten': 0.0011961722488038277, 'after': 0.0011961722488038277, 'bottom': 0.01076555023923445, 'bando': 0.0035885167464114833, 'poom': 0.0023923444976076554, 'beat': 0.011961722488038277, 'benz': 0.009569377990430622, 'track': 0.005980861244019139, 'rain': 0.03708133971291866, 'dlow': 0.0011961722488038277, 'keys': 0.0011961722488038277, 'jeep': 0.0011961722488038277, 'beach': 0.0011961722488038277, 'armorall': 0.0011961722488038277, 'stain': 0.0011961722488038277, 'wind': 0.0023923444976076554, 'house': 0.008373205741626795, 'wall': 0.017942583732057416, 'air': 0.01076555023923445, 'music': 0.005980861244019139, 'flo': 0.0023923444976076554, 'roof': 0.0011961722488038277, 'waist': 0.0023923444976076554, 'left': 0.004784688995215311, 'right': 0.0035885167464114833, 'front': 0.007177033492822967, 'maintenance': 0.0011961722488038277, 'sex': 0.0023923444976076554, 'sound': 0.0023923444976076554, 'flow': 0.004784688995215311, 'window': 0.0023923444976076554, 'streets': 0.008373205741626795, 'dutch': 0.01076555023923445, 'bomb': 0.0023923444976076554, 'energizer': 0.0023923444976076554, 'white': 0.0011961722488038277, 'charge': 0.0011961722488038277, 'sun': 0.0023923444976076554, 'spot': 0.0023923444976076554, 'lincoln': 0.005980861244019139, 'bentleys': 0.005980861244019139, 'rolls': 0.0035885167464114833, 'xk8': 0.0023923444976076554, 'job': 0.0011961722488038277, 'body': 0.0011961722488038277, 'middle': 0.0023923444976076554, 'night': 0.0035885167464114833, 'sheets': 0.0011961722488038277, 'one': 0.007177033492822967, 'realer': 0.0011961722488038277, 'deal': 0.0035885167464114833, 'heat': 0.0011961722488038277, 'dumbness': 0.0011961722488038277, 'nasty': 0.0011961722488038277, 'baddest': 0.0023923444976076554, 'century': 0.0011961722488038277, '600': 0.0011961722488038277, 'repercussion': 0.0011961722488038277, 'consequence': 0.0011961722488038277, 'chi': 0.0011961722488038277, 'ruckus': 0.0011961722488038277, 'coldest': 0.0011961722488038277, 'brat': 0.0023923444976076554, 'motherfuckin': 0.0011961722488038277, 'brattattat': 0.0011961722488038277, 'door': 0.007177033492822967, 'nose': 0.0011961722488038277, 'stalker': 0.0011961722488038277, 'airport': 0.0011961722488038277, 'crap': 0.0011961722488038277, 'face': 0.0011961722488038277, 'planet': 0.0011961722488038277, 'ill': 0.009569377990430622, 'freaks': 0.004784688995215311, 'toilet': 0.0011961722488038277, 'paper': 0.0011961722488038277, 'oakwood': 0.0011961722488038277, 'studio': 0.0011961722488038277, 'neighbors': 0.0023923444976076554, 'bullet': 0.0011961722488038277, 'exit': 0.0011961722488038277, 'mouth': 0.0011961722488038277, 'couch': 0.0011961722488038277, '93rd': 0.0011961722488038277, 'ground': 0.0023923444976076554, 'oxygen': 0.0011961722488038277, 'east': 0.0011961722488038277, 'crossfire': 0.0011961722488038277, 'police': 0.0011961722488038277, 'line': 0.0011961722488038277, 'mess': 0.0011961722488038277, 'crowd': 0.0035885167464114833, 'gats': 0.0011961722488038277, 'sounds': 0.0023923444976076554, 'ways': 0.0011961722488038277, 'round': 0.0011961722488038277, 'other': 0.004784688995215311, 'dick': 0.0011961722488038277, 'mi': 0.0023923444976076554, 'sky': 0.0035885167464114833, 'whips': 0.0011961722488038277, 'place': 0.005980861244019139, 'clock': 0.0011961722488038277, 'bar': 0.013157894736842105, 'mic': 0.0023923444976076554, 'real': 0.0011961722488038277, 'steel': 0.0011961722488038277, 'crib': 0.0011961722488038277, 'ass': 0.0023923444976076554, 'coupe': 0.0011961722488038277, 'magic': 0.0011961722488038277, 'sink': 0.0011961722488038277, 'shower': 0.0011961722488038277, 'tub': 0.0011961722488038277, 'map': 0.0011961722488038277, 'whip': 0.0011961722488038277, 'verses': 0.0011961722488038277, 'coat': 0.0011961722488038277, 'purses': 0.0011961722488038277, 'whole': 0.0035885167464114833, 'moon': 0.0011961722488038277, 'cold': 0.0023923444976076554, 'story': 0.0023923444976076554, 'strawberries': 0.0011961722488038277, 'box': 0.0011961722488038277, 'cream': 0.0011961722488038277, 'crop': 0.0011961722488038277, 'kittykit': 0.0011961722488038277, 'tv': 0.0011961722488038277, 'churrs': 0.0011961722488038277, 'curb': 0.0011961722488038277, 'jam': 0.0011961722488038277, 'pep': 0.0023923444976076554, 'gogo': 0.0011961722488038277, 'point': 0.0011961722488038277, 'superbowl': 0.0011961722488038277, 'field': 0.0011961722488038277, 'ball': 0.0011961722488038277, 'band': 0.0011961722488038277, 'stands': 0.0011961722488038277, 'bands': 0.0011961722488038277, 'schoolyard': 0.0011961722488038277, 'football': 0.0011961722488038277, 'clappers': 0.0035885167464114833, 'baby': 0.0011961722488038277, 'waldorf': 0.0011961722488038277, 'g': 0.0023923444976076554, 'dungeon': 0.0011961722488038277, '4': 0.0011961722488038277, 'leather': 0.0011961722488038277, 'summertime': 0.0011961722488038277, 'weather': 0.0011961722488038277, 'bank': 0.0011961722488038277, 'pressure': 0.0011961722488038277, 'midas': 0.0011961722488038277, 'pilot': 0.0023923444976076554, 'profit': 0.0011961722488038277, 'first': 0.0011961722488038277, 'fuck': 0.0011961722488038277, 'dj': 0.0023923444976076554, 'replay': 0.0011961722488038277, 'president': 0.0011961722488038277, 'hotel': 0.0011961722488038277, 'bird': 0.0011961722488038277, 'freak': 0.0023923444976076554, 'backrub': 0.0011961722488038277, 'bush': 0.0011961722488038277, 'party': 0.01674641148325359, 'hard': 0.0011961722488038277, 'clutch': 0.0011961722488038277, 'do': 0.0011961722488038277, 'love': 0.005980861244019139, 'remedy': 0.0011961722488038277, 'mushy': 0.0011961722488038277, 'booty': 0.0011961722488038277, 'ceiling': 0.0011961722488038277, 'ladies': 0.0011961722488038277, 'guys': 0.0023923444976076554, 'rug': 0.0011961722488038277, 'men': 0.0011961722488038277, 'parties': 0.0011961722488038277, 'dark': 0.0011961722488038277, 'girl': 0.0023923444976076554, 'kitty': 0.0011961722488038277, 'bro': 0.0011961722488038277, 'kids': 0.0011961722488038277, 'dude': 0.0011961722488038277, 'mack': 0.0035885167464114833, 'water': 0.0011961722488038277, 'lot': 0.0011961722488038277, 'hair': 0.0023923444976076554, 'muhfuckin': 0.0023923444976076554, 'black': 0.0011961722488038277, 'hill': 0.0011961722488038277, 'fullest': 0.0011961722488038277, 'village': 0.0011961722488038277, 'martin': 0.0011961722488038277, 'beef': 0.0035885167464114833, 'crossfader': 0.0011961722488038277, 'ear': 0.0011961722488038277, 'rectum': 0.0011961722488038277, 'cops': 0.0011961722488038277, 'sidewalk': 0.0011961722488038277, 'pictures': 0.0011961722488038277, 'pen': 0.0011961722488038277, 'up': 0.0011961722488038277, 'heater': 0.0011961722488038277, 'meter': 0.0011961722488038277, 'busta': 0.0011961722488038277, 'table': 0.0011961722488038277, 'hell': 0.005980861244019139, 'neck': 0.0011961722488038277, 'leader': 0.0011961722488038277, 'funk': 0.0023923444976076554, 'lexus': 0.0011961722488038277, 'jaguars': 0.0023923444976076554, 'fly': 0.0023923444976076554, 'sunroof': 0.0011961722488038277, 'song': 0.0035885167464114833, 'djs': 0.0011961722488038277, 'weatherman': 0.0011961722488038277, 'plane': 0.0023923444976076554, 'turbulence': 0.004784688995215311, 'gate': 0.0023923444976076554, 'friendly': 0.0011961722488038277, 'day': 0.007177033492822967, 'cheddar': 0.0011961722488038277, 'things': 0.0011961722488038277, 'platinum': 0.0011961722488038277, 'perfect': 0.005980861244019139, 'low': 0.0011961722488038277, 'road': 0.0023923444976076554, 'blackhand': 0.0011961722488038277, 'early': 0.0011961722488038277, 'q': 0.0011961722488038277, 'b': 0.0011961722488038277, 'double': 0.0011961722488038277, 'lox': 0.0011961722488038277, 'huhhh': 0.0011961722488038277, 'hee': 0.009569377990430622, 'i': 0.0035885167464114833, 'haaa': 0.004784688995215311, 'ha': 0.0011961722488038277, 'shot': 0.0011961722488038277, 'haaaa': 0.0023923444976076554, 'haa': 0.0023923444976076554, 'year': 0.0023923444976076554, 'butters': 0.0011961722488038277, 'gutter': 0.0011961722488038277, 'new': 0.0011961722488038277, 'summer': 0.0011961722488038277, 'prep': 0.004784688995215311, 'dayyyyyyyy': 0.004784688995215311, 'dre': 0.0011961722488038277, 'suge': 0.0011961722488038277, 'city': 0.0011961722488038277, 'national': 0.0011961722488038277, 'kangol': 0.0011961722488038277, 'yes': 0.0023923444976076554, 'mornin': 0.0011961722488038277, 'rap': 0.0011961722488038277, 'illest': 0.0023923444976076554, 'partys': 0.0023923444976076554, 'musics': 0.0011961722488038277, 'vibe': 0.0011961722488038277, 'man': 0.0011961722488038277, 'needle': 0.0023923444976076554, 'side': 0.0011961722488038277, 'lakers': 0.0011961722488038277, 'motherfucking': 0.0011961722488038277, 'chrome': 0.0011961722488038277, 'wheels': 0.0011961722488038277, 'rise': 0.0011961722488038277, 'boombastic': 0.0011961722488038277, 'bottle': 0.0011961722488038277, 'immaculate': 0.0011961722488038277, 'cut': 0.0011961722488038277, 'most': 0.0011961722488038277, 'shades': 0.0011961722488038277, 'information': 0.0011961722488038277, 'where': 0.0011961722488038277, 'flowers': 0.0011961722488038277, 'florist': 0.0011961722488038277, 'voice': 0.0011961722488038277, 'reasons': 0.0011961722488038277, 'healin': 0.0011961722488038277, 'creator': 0.0011961722488038277, 'clouds': 0.0011961722488038277, 'last': 0.0011961722488038277, 'power': 0.0011961722488038277, 'dough': 0.0011961722488038277, 'girls': 0.0011961722488038277, 'boot': 0.0011961722488038277, 'volume': 0.019138755980861243, 'contrary': 0.0023923444976076554, 'life': 0.0011961722488038277, 'words': 0.0011961722488038277, 'ride': 0.0011961722488038277, 'avenue': 0.0011961722488038277, 'pain': 0.0011961722488038277, 'brain': 0.0011961722488038277, 'type': 0.0011961722488038277, 'kind': 0.0011961722488038277, 'reason': 0.0011961722488038277, 'raw': 0.0011961722488038277, 'menu': 0.0011961722488038277, 'stash': 0.0011961722488038277, 'boogie': 0.0011961722488038277, 'mister': 0.0011961722488038277, 'cushion': 0.0011961722488038277, 'days': 0.0011961722488038277, 'shade': 0.0011961722488038277, 'more': 0.0023923444976076554, 'only': 0.008373205741626795, 'wrong': 0.0011961722488038277, 'ss': 0.0011961722488038277, 'big': 0.0011961722488038277, 'bay': 0.0011961722488038277, 'witness': 0.0011961722488038277, 'top': 0.0011961722488038277, 'breeze': 0.0011961722488038277, 'laugh': 0.0011961722488038277, 'woman': 0.0011961722488038277}"
request,{'line': 1.0}
