Word,Frequency
yet,"{'our': 0.5, 'my': 0.5}"
our,"{'best': 0.023255813953488372, 'freedom': 0.023255813953488372, 'way': 0.06976744186046512, 'rhythm': 0.023255813953488372, 'soul': 0.023255813953488372, 'deepest': 0.023255813953488372, 'help': 0.023255813953488372, 'problem': 0.023255813953488372, 'own': 0.046511627906976744, 'new': 0.023255813953488372, 'direction': 0.046511627906976744, 'name': 0.046511627906976744, 'language': 0.023255813953488372, 'religion': 0.023255813953488372, 'culture': 0.023255813953488372, 'god': 0.023255813953488372, 'minds': 0.11627906976744186, 'children': 0.023255813953488372, 'status': 0.023255813953488372, 'lower': 0.023255813953488372, 'goal': 0.023255813953488372, 'stories': 0.023255813953488372, 'property': 0.023255813953488372, 'fight': 0.023255813953488372, 'rights': 0.023255813953488372, 'kings': 0.023255813953488372, 'history': 0.023255813953488372, 'women': 0.023255813953488372, 'sisters': 0.023255813953488372, 'woman': 0.023255813953488372, 'rounds': 0.023255813953488372, 'return': 0.023255813953488372, 'gold': 0.023255813953488372, 'ass': 0.023255813953488372}"
best,"{'trained': 0.08333333333333333, 'educated': 0.08333333333333333, 'equipped': 0.08333333333333333, 'prepared': 0.08333333333333333, 'crier': 0.08333333333333333, 'to': 0.25, 'so': 0.08333333333333333, 'and': 0.08333333333333333, 'on': 0.08333333333333333, 'excel': 0.08333333333333333}"
trained,"{'best': 0.5, 'by': 0.5}"
educated,"{'best': 0.5, 'mind': 0.5}"
equipped,{'best': 1.0}
prepared,{'troops': 1.0}
troops,"{'refuse': 0.3333333333333333, 'i': 0.3333333333333333, 'cold': 0.3333333333333333}"
refuse,{'to': 1.0}
to,"{'fight': 0.03333333333333333, 'say': 0.011666666666666667, 'give': 0.011666666666666667, 'bounce': 0.0016666666666666668, 'fill': 0.0033333333333333335, 'pump': 0.008333333333333333, 'make': 0.016666666666666666, 'revolutionize': 0.0016666666666666668, 'business': 0.0016666666666666668, 'most': 0.0033333333333333335, 'me': 0.023333333333333334, 'the': 0.16, 'do': 0.016666666666666666, 'teach': 0.0033333333333333335, 'all': 0.011666666666666667, 'run': 0.0016666666666666668, 'have': 0.0033333333333333335, 'blow': 0.005, 'them': 0.005, 'ya': 0.0016666666666666668, 'you': 0.015, 'xerox': 0.0016666666666666668, 'get': 0.04666666666666667, 'reach': 0.0033333333333333335, 'herb': 0.0016666666666666668, 'my': 0.02, 'armageddon': 0.0033333333333333335, 'be': 0.041666666666666664, 'see': 0.005, 'understand': 0.0033333333333333335, 'la': 0.0033333333333333335, 'save': 0.0016666666666666668, 'tell': 0.016666666666666666, 'bring': 0.006666666666666667, 'hate': 0.0016666666666666668, 'live': 0.0033333333333333335, 'leave': 0.005, 'keep': 0.008333333333333333, 'listen': 0.005, 'what': 0.006666666666666667, 'demonstrate': 0.005, 'wait': 0.006666666666666667, 'side': 0.0033333333333333335, 'exit': 0.0033333333333333335, 'turn': 0.0033333333333333335, 'coast': 0.0033333333333333335, 'plead': 0.0033333333333333335, 'sign': 0.0033333333333333335, 'check': 0.0033333333333333335, 'handle': 0.0016666666666666668, 'lose': 0.01, 'push': 0.0016666666666666668, 'black': 0.0033333333333333335, 'mic': 0.0033333333333333335, 'blaze': 0.0016666666666666668, 'avoid': 0.0033333333333333335, 'here': 0.0016666666666666668, 'way': 0.0016666666666666668, 'whoever': 0.0016666666666666668, 'blind': 0.0016666666666666668, 'just': 0.0016666666666666668, 'speak': 0.0016666666666666668, 'decide': 0.0016666666666666668, 'yes': 0.0016666666666666668, 'hear': 0.005, 'panther': 0.0033333333333333335, 'slow': 0.0016666666666666668, 'scatter': 0.0016666666666666668, 'learn': 0.0016666666666666668, 'raise': 0.0016666666666666668, 'em': 0.005, 'criticize': 0.0016666666666666668, 'realize': 0.0016666666666666668, '10': 0.0016666666666666668, 'those': 0.005, 'know': 0.005, 'instigate': 0.0016666666666666668, 'cut': 0.0033333333333333335, 'put': 0.005, 'call': 0.0033333333333333335, 'go': 0.01, 'break': 0.0016666666666666668, 'bang': 0.0016666666666666668, 'cmon': 0.0016666666666666668, 'jump': 0.0016666666666666668, 'corporate': 0.0016666666666666668, 'your': 0.005, 'let': 0.006666666666666667, 'beware': 0.0016666666666666668, 'begin': 0.0016666666666666668, 'steal': 0.006666666666666667, 'grab': 0.0016666666666666668, 'wreck': 0.0016666666666666668, 'pay': 0.005, 'read': 0.0033333333333333335, 'posse': 0.0016666666666666668, 'shut': 0.0016666666666666668, 'no': 0.0016666666666666668, 'express': 0.0016666666666666668, 'report': 0.0016666666666666668, 'thank': 0.0016666666666666668, 'our': 0.0016666666666666668, 'spare': 0.0033333333333333335, 'fetch': 0.0016666666666666668, 'dissect': 0.0016666666666666668, 'their': 0.0016666666666666668, 'a': 0.013333333333333334, 'mack': 0.0016666666666666668, 'terrorize': 0.0016666666666666668, 'nobody': 0.0016666666666666668, 'survive': 0.0016666666666666668, 'god': 0.0016666666666666668, 'stay': 0.0033333333333333335, 'signify': 0.0016666666666666668, 'love': 0.0016666666666666668, 'move': 0.0033333333333333335, 'mother': 0.0016666666666666668, 'look': 0.0016666666666666668, 'play': 0.005, 'earn': 0.0016666666666666668, 'battle': 0.0016666666666666668, 'chuck': 0.0016666666666666668, 'back': 0.005, 'match': 0.0016666666666666668, 'sell': 0.005, 'bone': 0.0016666666666666668, 'rock': 0.0033333333333333335, 'day': 0.005, 'sleep': 0.0016666666666666668, 'jam': 0.0033333333333333335, 'find': 0.0033333333333333335, 'head': 0.0016666666666666668, 'destroy': 0.0033333333333333335, 'arizona': 0.01, 'trouble': 0.0016666666666666668, 'honor': 0.0016666666666666668, 'clock': 0.0016666666666666668, 'describe': 0.0016666666666666668, 'approach': 0.0016666666666666668, 'channel': 0.0016666666666666668, 'zero': 0.0016666666666666668, 'watch': 0.0016666666666666668, 'calm': 0.0016666666666666668, 'come': 0.005, 'pull': 0.0016666666666666668, 'kick': 0.005, 'brother': 0.0033333333333333335, 'debate': 0.0016666666666666668, 'die': 0.0033333333333333335, 'til': 0.0016666666666666668, 'help': 0.0033333333333333335, 'wrong': 0.0016666666666666668, 'become': 0.0016666666666666668, 'change': 0.0016666666666666668, 'bust': 0.0016666666666666668, 'condition': 0.0016666666666666668, 'work': 0.006666666666666667, 'this': 0.006666666666666667, 'fear': 0.0016666666666666668, 'never': 0.0033333333333333335, 'show': 0.0016666666666666668, 'hold': 0.0016666666666666668, 'dust': 0.0016666666666666668, 'talk': 0.0016666666666666668, 'shoot': 0.0016666666666666668, 'chase': 0.0016666666666666668, 'hell': 0.0016666666666666668, 'spill': 0.0016666666666666668, 'thrill': 0.0016666666666666668, 'lyric': 0.0016666666666666668, 'line': 0.0016666666666666668, 'compete': 0.0016666666666666668, 'dinner': 0.0016666666666666668, 'front': 0.0016666666666666668, 'cross': 0.0016666666666666668, 'search': 0.0016666666666666668, 'cali': 0.0016666666666666668, 'wendys': 0.0016666666666666668, 'try': 0.0016666666666666668, 'redirect': 0.0016666666666666668, 'kill': 0.0033333333333333335, 'north': 0.0016666666666666668, 'admit': 0.0016666666666666668, 'wall': 0.0016666666666666668, 'throw': 0.0016666666666666668, 'marcus': 0.0016666666666666668, 'adam': 0.0016666666666666668, 'stephen': 0.0016666666666666668, 'rosa': 0.0016666666666666668, 'martin': 0.0016666666666666668, 'malcolm': 0.0016666666666666668, 'nelson': 0.0016666666666666668, 'winnie': 0.0016666666666666668, 'welcome': 0.0016666666666666668, 'take': 0.0016666666666666668, 'they': 0.0016666666666666668, 'diss': 0.0016666666666666668, 'protect': 0.0016666666666666668, 'heed': 0.0016666666666666668, 'us': 0.0016666666666666668, 'prevent': 0.0016666666666666668, 'roll': 0.0016666666666666668, 'impress': 0.0016666666666666668, 'flow': 0.0016666666666666668, 'east': 0.0016666666666666668, 'america': 0.0016666666666666668, 'redd': 0.0016666666666666668, 'act': 0.0016666666666666668, 'use': 0.0016666666666666668, 'unite': 0.0016666666666666668, 'fool': 0.0016666666666666668, 'these': 0.0033333333333333335, 'africa': 0.0016666666666666668, 'uh': 0.0016666666666666668, 'pen': 0.0016666666666666668, 'man': 0.0016666666666666668, 'bangbiggetybang': 0.0016666666666666668, 'somethin': 0.0016666666666666668, 'twist': 0.0016666666666666668, 'where': 0.0016666666666666668, 'start': 0.0016666666666666668, 'par': 0.0016666666666666668, 'peek': 0.0016666666666666668, 'toe': 0.0016666666666666668, 'body': 0.0016666666666666668, 'grandma': 0.0016666666666666668, 'shake': 0.0016666666666666668, 'lie': 0.0016666666666666668, 'prove': 0.0016666666666666668, 'cause': 0.0016666666666666668, 'pause': 0.0016666666666666668, 'spend': 0.0016666666666666668, 'stick': 0.0016666666666666668}"
