Word,Frequency
uh,"{'unity': 0.13636363636363635, 'you': 0.18181818181818182, 'and': 0.045454545454545456, 'me': 0.045454545454545456, 'gimme': 0.045454545454545456, 'set': 0.13636363636363635, 'yeah': 0.045454545454545456, 'we': 0.045454545454545456, 'huh': 0.09090909090909091, 'uh': 0.045454545454545456, 'for': 0.045454545454545456, 'just': 0.09090909090909091, 'if': 0.045454545454545456}"
unity,"{'unity': 0.2777777777777778, 'thats': 0.25, 'love': 0.25, 'you': 0.027777777777777776, 'uh': 0.08333333333333333, 'here': 0.08333333333333333, 'gotta': 0.027777777777777776}"
thats,"{'a': 0.16666666666666666, 'why': 0.08333333333333333, 'about': 0.016666666666666666, 'not': 0.03333333333333333, 'what': 0.1, 'right': 0.05, 'when': 0.05, 'unsuitable': 0.016666666666666666, 'just': 0.06666666666666667, 'the': 0.06666666666666667, 'how': 0.08333333333333333, 'so': 0.016666666666666666, 'my': 0.016666666666666666, 'exactly': 0.016666666666666666, 'on': 0.016666666666666666, 'chosen': 0.016666666666666666, 'bond': 0.016666666666666666, 'where': 0.05, 'me': 0.05, 'whats': 0.016666666666666666, 'for': 0.016666666666666666, 'givin': 0.016666666666666666, 'wicked': 0.016666666666666666}"
a,"{'unity': 0.014827018121911038, 'black': 0.019769357495881382, 'bitch': 0.023064250411861616, 'ho': 0.013179571663920923, 'brother': 0.006589785831960461, 'girl': 0.006589785831960461, 'sister': 0.009884678747940691, 'dame': 0.0016474464579901153, 'man': 0.006589785831960461, 'rag': 0.0032948929159802307, 'gangsta': 0.0032948929159802307, 'fool': 0.004942339373970346, 'minute': 0.0016474464579901153, 'nerd': 0.0016474464579901153, 'wannabe': 0.0016474464579901153, 'hocheck': 0.0016474464579901153, 'nineties': 0.0032948929159802307, 'light': 0.006589785831960461, 'cry': 0.006589785831960461, 'voice': 0.0032948929159802307, 'road': 0.009884678747940691, 'dream': 0.009884678747940691, 'struggle': 0.008237232289950576, 'promise': 0.008237232289950576, 'sin': 0.0032948929159802307, 'woman': 0.014827018121911038, 'yes': 0.0032948929159802307, 'lyrical': 0.0032948929159802307, 'mess': 0.004942339373970346, 'little': 0.02800658978583196, 'female': 0.006589785831960461, 'perfect': 0.0032948929159802307, 'job': 0.0032948929159802307, 'ladie': 0.0032948929159802307, 'difference': 0.0032948929159802307, 'footnote': 0.0032948929159802307, 'growing': 0.0016474464579901153, 'meal': 0.0016474464579901153, 'piece': 0.0032948929159802307, 'look': 0.0032948929159802307, 'mansize': 0.0016474464579901153, 'pinch': 0.0016474464579901153, 'dash': 0.0032948929159802307, 'oven': 0.0016474464579901153, 'twig': 0.0016474464579901153, 'lot': 0.011532125205930808, 'beautiful': 0.006589785831960461, 'kid': 0.0032948929159802307, 'm3s': 0.0016474464579901153, 'threat': 0.0016474464579901153, 'woo': 0.0016474464579901153, 'cop': 0.0016474464579901153, 'clip': 0.0016474464579901153, 'dt': 0.0016474464579901153, 'tape': 0.0016474464579901153, 'bean': 0.0016474464579901153, 'final': 0.0016474464579901153, 'girls': 0.0032948929159802307, 'stray': 0.0016474464579901153, 'hood': 0.0016474464579901153, 'real': 0.0032948929159802307, 'brain': 0.0032948929159802307, 'special': 0.0032948929159802307, 'couple': 0.0016474464579901153, 'warnin': 0.0016474464579901153, 'bid': 0.0032948929159802307, 'new': 0.008237232289950576, 'cheater': 0.0016474464579901153, 'trip': 0.004942339373970346, 'sista': 0.008237232289950576, 'fair': 0.0016474464579901153, 'pimp': 0.0032948929159802307, 'diva': 0.004942339373970346, 'good': 0.008237232289950576, 'dick': 0.0016474464579901153, 'higher': 0.004942339373970346, 'charge': 0.0016474464579901153, 'premature': 0.0016474464579901153, 'quickie': 0.0016474464579901153, 'party': 0.006589785831960461, 'club': 0.0032948929159802307, 'can': 0.0032948929159802307, 'queen': 0.013179571663920923, 'lady': 0.0016474464579901153, 'guy': 0.0032948929159802307, 'turn': 0.0032948929159802307, 'friend': 0.004942339373970346, 'lover': 0.0032948929159802307, 'while': 0.0016474464579901153, 'smile': 0.0016474464579901153, 'few': 0.004942339373970346, 'shout': 0.0016474464579901153, 'shoutout': 0.0016474464579901153, 'mission': 0.0032948929159802307, 'crew': 0.0016474464579901153, 'full': 0.0016474464579901153, 'prefix': 0.0016474464579901153, 'bdpproduced': 0.0016474464579901153, 'flavor': 0.004942339373970346, 'concept': 0.0016474464579901153, 'message': 0.0016474464579901153, 'better': 0.0016474464579901153, 'decent': 0.0016474464579901153, 'sucker': 0.004942339373970346, 'way': 0.006589785831960461, 'shame': 0.0016474464579901153, 'quarter': 0.0016474464579901153, 'video': 0.0016474464579901153, 'homeless': 0.0016474464579901153, 'doom': 0.0016474464579901153, 'fate': 0.0016474464579901153, 'place': 0.0032948929159802307, 'down': 0.0016474464579901153, 'talent': 0.0032948929159802307, 'reel': 0.0016474464579901153, 'flock': 0.0016474464579901153, 'hair': 0.0016474464579901153, 'head': 0.0016474464579901153, 'thought': 0.0016474464579901153, 'rhyme': 0.004942339373970346, 'bug': 0.0016474464579901153, 'the': 0.0016474464579901153, 'h': 0.011532125205930808, 'hip': 0.0016474464579901153, 'magnum': 0.0016474464579901153, 'wise': 0.0016474464579901153, 'qtip': 0.0016474464579901153, 'yolk': 0.0016474464579901153, 't': 0.009884678747940691, 'pain': 0.0016474464579901153, 'certain': 0.0016474464579901153, 'scene': 0.0016474464579901153, 'cold': 0.0032948929159802307, 'fracture': 0.0016474464579901153, 'heart': 0.0016474464579901153, 'd': 0.0016474464579901153, 'l': 0.0016474464579901153, 'fiend': 0.0032948929159802307, 'brotha': 0.0016474464579901153, 'quest': 0.0016474464579901153, 'puerto': 0.0016474464579901153, 'roll': 0.0032948929159802307, 'number': 0.0016474464579901153, 'chick': 0.0032948929159802307, 'crazy': 0.0016474464579901153, 'vet': 0.0016474464579901153, 'part': 0.006589785831960461, 'joyful': 0.004942339373970346, 'fat': 0.0016474464579901153, 'blunt': 0.0016474464579901153, 'puff': 0.0016474464579901153, 'tech': 0.0016474464579901153, 'sex': 0.0016474464579901153, 'chump': 0.0016474464579901153, 'champ': 0.0016474464579901153, 'clamp': 0.0016474464579901153, 'zamp': 0.0016474464579901153, 'nigga': 0.0032948929159802307, 'body': 0.0016474464579901153, 'bluff': 0.0016474464579901153, 'gwan': 0.0016474464579901153, 'wee': 0.0016474464579901153, 'hypocrite': 0.0016474464579901153, 'grip': 0.004942339373970346, 'condom': 0.0032948929159802307, 'slim': 0.0016474464579901153, 'peck': 0.0016474464579901153, 'bare': 0.0016474464579901153, 'mitten': 0.0016474464579901153, 'thang': 0.004942339373970346, 'groove': 0.0032948929159802307, 'strapped': 0.0016474464579901153, 'glimpse': 0.0016474464579901153, 'fact': 0.0016474464579901153, 'hand': 0.0016474464579901153, 'battle': 0.0016474464579901153, 'beat': 0.006589785831960461, 'dj': 0.0032948929159802307, 'stage': 0.0016474464579901153, 'moment': 0.0016474464579901153, 'shake': 0.0016474464579901153, 'question': 0.0016474464579901153, 'weekend': 0.008237232289950576, 'case': 0.006589785831960461, 'week': 0.009884678747940691, 'end': 0.006589785831960461, 'love': 0.0032948929159802307, 'to': 0.0032948929159802307, 'small': 0.0016474464579901153, 'second': 0.0032948929159802307, 'nasty': 0.0016474464579901153, 'witch': 0.0016474464579901153, 'switch': 0.0016474464579901153, 'saint': 0.0032948929159802307, 'potion': 0.0016474464579901153, 'kiss': 0.0016474464579901153, 'mergirl': 0.0016474464579901153, 'fee': 0.0016474464579901153, 'word': 0.004942339373970346, 'note': 0.0016474464579901153, 'whisper': 0.0016474464579901153, 'bore': 0.0016474464579901153, 'very': 0.0032948929159802307, 'bridge': 0.0016474464579901153, 'gulp': 0.0016474464579901153, 'breath': 0.0016474464579901153, 'hard': 0.0032948929159802307, 'house': 0.0032948929159802307, 'dance': 0.0016474464579901153, 'hijack': 0.0016474464579901153, 'civilized': 0.0016474464579901153, 'padlock': 0.0016474464579901153, 'cut': 0.0016474464579901153, 'step': 0.0016474464579901153, 'kept': 0.0016474464579901153, 'nottyhead': 0.0016474464579901153, 'waving': 0.0016474464579901153, 'peace': 0.0016474464579901153, 'kite': 0.0016474464579901153, 'tweet': 0.0016474464579901153, 'knack': 0.0016474464579901153, 'fly': 0.0016474464579901153, 'family': 0.0016474464579901153, 'scandal': 0.0016474464579901153, 'pro': 0.0032948929159802307, 'pen': 0.0016474464579901153, 'test': 0.0032948929159802307, 'cigarette': 0.0016474464579901153, 'sad': 0.0016474464579901153, 'tank': 0.0016474464579901153, 'gigawatt': 0.0016474464579901153, 'vision': 0.0016474464579901153, 'native': 0.0016474464579901153, 'child': 0.004942339373970346, 'lie': 0.0016474464579901153, 'touch': 0.0016474464579901153, 'rough': 0.0016474464579901153, 'buttercup': 0.0016474464579901153, 'lesson': 0.0016474464579901153, 'resolution': 0.0016474464579901153, 'theory': 0.0016474464579901153, 'venus': 0.0016474464579901153, 'luger': 0.0016474464579901153, 'glock': 0.0016474464579901153, 'tribe': 0.0016474464579901153, 'vibe': 0.0016474464579901153, 'clinic': 0.0016474464579901153, 'dingy': 0.0016474464579901153, 'shirt': 0.0016474464579901153, 'dread': 0.0016474464579901153, 'rasta': 0.0016474464579901153, 'piddly': 0.0016474464579901153, 'cool': 0.013179571663920923, 'pattern': 0.0016474464579901153, 'greeting': 0.0016474464579901153, 'bird': 0.0016474464579901153, 'mic': 0.0016474464579901153, 'concoction': 0.0016474464579901153, 'hold': 0.0016474464579901153, 'death': 0.0016474464579901153, 'short': 0.0016474464579901153, 'fantasy': 0.0016474464579901153, 'teacher': 0.0016474464579901153, 'preacher': 0.0016474464579901153, 'pounding': 0.004942339373970346, 'king': 0.004942339373970346, 'choke': 0.0016474464579901153, 'cast': 0.0016474464579901153, 'fire': 0.0016474464579901153, 'knickknack': 0.0016474464579901153, 'big': 0.0016474464579901153, 'speaker': 0.0016474464579901153, 'sneaker': 0.0016474464579901153, 'peek': 0.0016474464579901153, 'tight': 0.0016474464579901153, 'strong': 0.0016474464579901153, 'blur': 0.0016474464579901153, 'ring': 0.0016474464579901153, 'limit': 0.0016474464579901153, 'line': 0.0016474464579901153, 'showdown': 0.0016474464579901153, '45': 0.0016474464579901153, 'funky': 0.0016474464579901153, 'call': 0.0016474464579901153, 'conscience': 0.0016474464579901153, 'huddle': 0.0016474464579901153, 'double': 0.0032948929159802307, 'liar': 0.0016474464579901153, 'twist': 0.0016474464579901153, 'plate': 0.0016474464579901153, 'twentyfour': 0.0016474464579901153, 'condo': 0.0016474464579901153, 'room': 0.0016474464579901153, 'ride': 0.0016474464579901153, 'passion': 0.0016474464579901153, 'shot': 0.0032948929159802307, 'feminine': 0.0032948929159802307, 'nation': 0.0016474464579901153, 'crossfire': 0.0016474464579901153, 'liquid': 0.0016474464579901153, 'likkle': 0.0016474464579901153, 'grapefruit': 0.0016474464579901153, 'peach': 0.0016474464579901153, 'pear': 0.0016474464579901153, 'plum': 0.0016474464579901153, 'honey': 0.0016474464579901153, 'run': 0.0016474464579901153, 'chance': 0.0016474464579901153, 'mother': 0.0016474464579901153, 'walk': 0.0032948929159802307, 'winter': 0.0016474464579901153, 'winters': 0.008237232289950576, 'churchyes': 0.0016474464579901153, 'flow': 0.0016474464579901153, 'catholic': 0.0016474464579901153, 'reg': 0.0016474464579901153, 'fifth': 0.0032948929159802307, 'puma': 0.0016474464579901153, 'papsmear': 0.0016474464579901153, 'bee': 0.0032948929159802307, 'g': 0.0016474464579901153, 'mighty': 0.006589785831960461, 'mixture': 0.0016474464579901153, 'sample': 0.0016474464579901153, 'compound': 0.0016474464579901153, 'juliet': 0.0016474464579901153, 'commercial': 0.0016474464579901153, 'ton': 0.0016474464579901153, 'clue': 0.0016474464579901153, 'legend': 0.0016474464579901153, 'pool': 0.0016474464579901153, 'sofa': 0.0016474464579901153, 'usual': 0.0016474464579901153, 'pot': 0.0016474464579901153, 'true': 0.0016474464579901153, 'world': 0.0016474464579901153}"
love,"{'a': 0.10101010101010101, 'i': 0.020202020202020204, 'you': 0.050505050505050504, 'grab': 0.020202020202020204, 'and': 0.020202020202020204, 'with': 0.030303030303030304, 'them': 0.010101010101010102, 'me': 0.1111111111111111, 'the': 0.050505050505050504, 'by': 0.020202020202020204, 'love': 0.010101010101010102, 'coolin': 0.010101010101010102, 'overflowin': 0.010101010101010102, 'to': 0.030303030303030304, 'we': 0.050505050505050504, 'in': 0.020202020202020204, 'what': 0.010101010101010102, 'her': 0.010101010101010102, 'tony': 0.010101010101010102, 'caught': 0.020202020202020204, 'weekend': 0.030303030303030304, 'just': 0.04040404040404041, 'if': 0.030303030303030304, 'seems': 0.010101010101010102, 'when': 0.020202020202020204, 'life': 0.010101010101010102, 'gonna': 0.020202020202020204, 'maybe': 0.010101010101010102, 'is': 0.010101010101010102, 'dat': 0.010101010101010102, 'cause': 0.020202020202020204, 'thee': 0.030303030303030304, 'dream': 0.020202020202020204, 'another': 0.020202020202020204, 'for': 0.020202020202020204, 'without': 0.010101010101010102, 'ya': 0.010101010101010102, 'all': 0.010101010101010102, 'my': 0.010101010101010102, 'thang': 0.010101010101010102, 'of': 0.010101010101010102, 'positivity': 0.010101010101010102, 'true': 0.010101010101010102}"
black,"{'man': 0.1111111111111111, 'woman': 0.13333333333333333, 'as': 0.044444444444444446, 'its': 0.022222222222222223, 'hand': 0.28888888888888886, 'reign': 0.022222222222222223, 'i': 0.022222222222222223, 'and': 0.044444444444444446, 'whats': 0.022222222222222223, 'bleep': 0.022222222222222223, 'nose': 0.022222222222222223, 'sphnix': 0.022222222222222223, 'was': 0.022222222222222223, 'women': 0.022222222222222223, 'queen': 0.022222222222222223, 'but': 0.022222222222222223, 'beat': 0.022222222222222223, 'influ': 0.022222222222222223, 'black': 0.022222222222222223, 'country': 0.022222222222222223, 'on': 0.022222222222222223, 'crime': 0.022222222222222223}"
man,"{'from': 0.3157894736842105, 'i': 0.05263157894736842, 'dont': 0.05263157894736842, 'or': 0.10526315789473684, 'who': 0.05263157894736842, 'but': 0.10526315789473684, 'all': 0.05263157894736842, 'of': 0.05263157894736842, '1': 0.05263157894736842, 'with': 0.05263157894736842, 'has': 0.05263157894736842, 'is': 0.05263157894736842}"
from,"{'infinity': 0.013333333333333334, 'uh': 0.013333333333333334, 'yeah': 0.05333333333333334, 'you': 0.06666666666666667, 'a': 0.10666666666666667, 'deep': 0.02666666666666667, 'here': 0.04, 'the': 0.22666666666666666, 'around': 0.013333333333333334, 'high': 0.013333333333333334, 'toastin': 0.013333333333333334, 'brunettes': 0.013333333333333334, 'halstead': 0.013333333333333334, 'krs': 0.013333333333333334, 'ill': 0.013333333333333334, 'this': 0.02666666666666667, 'wickwick': 0.013333333333333334, 'our': 0.013333333333333334, 'your': 0.013333333333333334, 'al': 0.013333333333333334, 'wrath': 0.013333333333333334, 'cool': 0.013333333333333334, 'so': 0.013333333333333334, 'newark': 0.013333333333333334, 'round': 0.02666666666666667, 'god': 0.013333333333333334, 'yall': 0.013333333333333334, 'goody': 0.013333333333333334, 'someone': 0.02666666666666667, 'heaven': 0.013333333333333334, 'ya': 0.04, 'i': 0.013333333333333334, 'beginning': 0.013333333333333334, 'bahamas': 0.013333333333333334, 'me': 0.013333333333333334, 'self': 0.013333333333333334, 'other': 0.013333333333333334}"
infinity,"{'to': 0.47368421052631576, 'who': 0.05263157894736842, 'you': 0.42105263157894735, 'picture': 0.05263157894736842}"
to,"{'infinity': 0.013024602026049204, 'another': 0.001447178002894356, 'go': 0.0361794500723589, 'this': 0.011577424023154847, 'those': 0.002894356005788712, 'break': 0.004341534008683068, 'see': 0.010130246020260492, 'let': 0.013024602026049204, 'the': 0.11577424023154848, 'ya': 0.004341534008683068, 'pull': 0.001447178002894356, 'your': 0.00723589001447178, 'wear': 0.001447178002894356, 'my': 0.020260492040520984, 'pay': 0.005788712011577424, 'win': 0.008683068017366137, 'lift': 0.002894356005788712, 'tomorrow': 0.002894356005788712, 'sit': 0.002894356005788712, 'be': 0.053545586107091175, 'rhyme': 0.002894356005788712, 'a': 0.023154848046309694, 'make': 0.020260492040520984, 'get': 0.0361794500723589, 'do': 0.024602026049204053, 'rehearse': 0.002894356005788712, 'send': 0.004341534008683068, 'enable': 0.002894356005788712, 'aid': 0.002894356005788712, 'slay': 0.002894356005788712, 'mention': 0.002894356005788712, 'bring': 0.00723589001447178, 'sing': 0.004341534008683068, 'throw': 0.001447178002894356, 'mama': 0.004341534008683068, 'you': 0.017366136034732273, 'give': 0.002894356005788712, 'when': 0.001447178002894356, '275': 0.001447178002894356, '155': 0.001447178002894356, 'stay': 0.01447178002894356, 'play': 0.008683068017366137, 'chill': 0.002894356005788712, 'steakntake': 0.001447178002894356, 'put': 0.010130246020260492, 'look': 0.002894356005788712, 'me': 0.08104196816208394, 'testify': 0.001447178002894356, 'blame': 0.011577424023154847, 'finish': 0.001447178002894356, 'know': 0.00723589001447178, 'protect': 0.001447178002894356, 'kill': 0.001447178002894356, 'leave': 0.004341534008683068, 'catch': 0.002894356005788712, 'drop': 0.001447178002894356, 'their': 0.001447178002894356, 'rap': 0.001447178002894356, 'these': 0.001447178002894356, 'keep': 0.008683068017366137, 'try': 0.004341534008683068, 'rest': 0.001447178002894356, 'cover': 0.002894356005788712, 'shut': 0.001447178002894356, 'face': 0.002894356005788712, 'mix': 0.001447178002894356, 'say': 0.008683068017366137, 'em': 0.030390738060781478, 'every': 0.001447178002894356, 'red': 0.001447178002894356, 'rock': 0.001447178002894356, 'drink': 0.001447178002894356, 'playing': 0.001447178002894356, 'here': 0.008683068017366137, 'set': 0.002894356005788712, 'much': 0.001447178002894356, 'disgrace': 0.001447178002894356, 'welcome': 0.002894356005788712, 'hear': 0.002894356005788712, 'teach': 0.001447178002894356, 'an': 0.001447178002894356, 'take': 0.013024602026049204, 'work': 0.001447178002894356, 'latin': 0.001447178002894356, 'show': 0.002894356005788712, 'it': 0.005788712011577424, 'steal': 0.001447178002894356, 'flex': 0.001447178002894356, 'run': 0.013024602026049204, 'compete': 0.001447178002894356, 'write': 0.002894356005788712, 'have': 0.004341534008683068, 'feel': 0.004341534008683068, 'turn': 0.005788712011577424, 'gladness': 0.001447178002894356, 'understand': 0.002894356005788712, 'bite': 0.001447178002894356, 'fuss': 0.001447178002894356, 'them': 0.001447178002894356, 'live': 0.001447178002894356, 'yourself': 0.001447178002894356, 'wack': 0.002894356005788712, 'breathe': 0.001447178002894356, 'dis': 0.001447178002894356, 'slip': 0.001447178002894356, 'sprout': 0.001447178002894356, 'match': 0.001447178002894356, 'crush': 0.001447178002894356, 'wanna': 0.001447178002894356, 'speak': 0.001447178002894356, 'call': 0.001447178002894356, 'find': 0.004341534008683068, 'masterin': 0.001447178002894356, 'all': 0.004341534008683068, 'hold': 0.001447178002894356, 'god': 0.001447178002894356, 'kick': 0.001447178002894356, 'waste': 0.001447178002894356, 'then': 0.001447178002894356, 'like': 0.001447178002894356, 'love': 0.001447178002894356, 'that': 0.002894356005788712, 'mess': 0.001447178002894356, 'clap': 0.001447178002894356, 'dance': 0.004341534008683068, 'he': 0.002894356005788712, 'blow': 0.001447178002894356, 'cry': 0.001447178002894356, 'present': 0.001447178002894356, 'nourish': 0.001447178002894356, 'deliver': 0.001447178002894356, 'rake': 0.001447178002894356, 'spin': 0.001447178002894356, 'cross': 0.001447178002894356, 'lyrics': 0.001447178002894356, 'partay': 0.001447178002894356, 'move': 0.001447178002894356, 'douse': 0.001447178002894356, 'come': 0.001447178002894356, 'diss': 0.004341534008683068, 'just': 0.001447178002894356, 'prove': 0.001447178002894356, 'freak': 0.001447178002894356, 'introduce': 0.001447178002894356, 'salary': 0.001447178002894356, 'brushin': 0.001447178002894356, 'easy': 0.001447178002894356, 'spanish': 0.001447178002894356, 'mexico': 0.001447178002894356, 'watch': 0.001447178002894356, 'create': 0.002894356005788712, 'mold': 0.002894356005788712, 'learn': 0.001447178002894356, 'her': 0.001447178002894356, 'ride': 0.001447178002894356, 'listen': 0.001447178002894356, 'each': 0.001447178002894356, 'dissect': 0.001447178002894356, 'protest': 0.001447178002894356, 'seek': 0.001447178002894356, 'position': 0.001447178002894356, 'rule': 0.001447178002894356, 'front': 0.001447178002894356, 'i': 0.001447178002894356, 'tell': 0.001447178002894356, 'curse': 0.002894356005788712, 'fight': 0.001447178002894356, 'grow': 0.001447178002894356, 'ever': 0.004341534008683068, 'stressin': 0.001447178002894356, 'relieve': 0.001447178002894356, 'punch': 0.001447178002894356, 'pick': 0.001447178002894356, 'queen': 0.001447178002894356, 'lay': 0.001447178002894356, 'par': 0.001447178002894356, 'consider': 0.001447178002894356, 'band': 0.001447178002894356, 'end': 0.001447178002894356, 'africa': 0.001447178002894356, 'whitney': 0.001447178002894356, 'gin': 0.001447178002894356, 'mommies': 0.001447178002894356, 'mug': 0.001447178002894356, 'everyone': 0.001447178002894356, 'talk': 0.002894356005788712, 'impress': 0.001447178002894356, 'deal': 0.001447178002894356, 'treat': 0.001447178002894356, 'music': 0.001447178002894356, 'jersey': 0.001447178002894356, 'order': 0.001447178002894356, 'fall': 0.001447178002894356, 'pray': 0.001447178002894356, 'switch': 0.001447178002894356, 'being': 0.001447178002894356, 'havin': 0.001447178002894356, 'build': 0.001447178002894356, 'wreck': 0.001447178002894356, 'peace': 0.001447178002894356, 'step': 0.001447178002894356, 'reproduce': 0.001447178002894356, 'prevail': 0.001447178002894356, 'wonderland': 0.001447178002894356, 'check': 0.001447178002894356, '45': 0.001447178002894356, 'other': 0.001447178002894356, 'jazz': 0.001447178002894356, 'help': 0.001447178002894356, 'piss': 0.001447178002894356, 'think': 0.001447178002894356, 'west': 0.001447178002894356, 'us': 0.001447178002894356, 'fake': 0.001447178002894356, 'even': 0.001447178002894356}"
