Word,Frequency
black,"{'beatles': 0.4, 'beatle': 0.3, 'man': 0.1, 'all': 0.1, 'card': 0.1}"
beatles,"{'in': 0.75, 'got': 0.25}"
in,"{'the': 0.36656891495601174, 'with': 0.008797653958944282, 'their': 0.011730205278592375, 'through': 0.002932551319648094, 'your': 0.05278592375366569, 'vain': 0.002932551319648094, 'my': 0.09970674486803519, 'ya': 0.01466275659824047, 'wonderland': 0.01466275659824047, 'froze': 0.002932551319648094, 'she': 0.002932551319648094, 'aod': 0.002932551319648094, 'work': 0.002932551319648094, 'no': 0.002932551319648094, 'action': 0.002932551319648094, 'here': 0.04105571847507331, 'this': 0.03225806451612903, 'love': 0.04398826979472141, 'our': 0.002932551319648094, 'too': 0.002932551319648094, 'deep': 0.002932551319648094, 'a': 0.05865102639296188, 'back': 0.002932551319648094, 'that': 0.020527859237536656, 'by': 0.017595307917888565, 'it': 0.008797653958944282, 'throwin': 0.002932551319648094, 'i': 0.002932551319648094, 'slowmo': 0.002932551319648094, 'first': 0.005865102639296188, 'fendi': 0.002932551319648094, 'london': 0.005865102639296188, 'money': 0.002932551319648094, 'four': 0.002932551319648094, 'them': 0.005865102639296188, 'and': 0.002932551319648094, 'every': 0.011730205278592375, 'teams': 0.002932551319648094, 'some': 0.002932551319648094, 'line': 0.002932551319648094, 'wonderlandblowing': 0.002932551319648094, '93': 0.002932551319648094, 'encino': 0.002932551319648094, 'beast': 0.002932551319648094, 'mind': 0.002932551319648094, 'la': 0.017595307917888565, 'cali': 0.002932551319648094, 'hollywood': 0.002932551319648094, 'thats': 0.002932551319648094, 'you': 0.002932551319648094, 'these': 0.005865102639296188, '2003': 0.002932551319648094, 'front': 0.002932551319648094, 'charge': 0.002932551319648094, 'other': 0.002932551319648094, 'interscope': 0.002932551319648094, 'new': 0.005865102639296188, 'they': 0.005865102639296188, 'lennox': 0.002932551319648094, 'her': 0.005865102639296188, 'lv': 0.002932551319648094, 'any': 0.002932551319648094, 'mandalay': 0.002932551319648094, 'do': 0.002932551319648094, 'france': 0.002932551319648094, 'on': 0.002932551319648094, 'pajamas': 0.002932551319648094, 'of': 0.002932551319648094, 'vegas': 0.002932551319648094, 'cancun': 0.002932551319648094}"
the,"{'city': 0.00831792975970425, 'moneys': 0.0027726432532347504, 'cash': 0.012014787430683918, 'air': 0.011090573012939002, 'dj': 0.006469500924214418, 'needle': 0.005545286506469501, 'world': 0.01756007393715342, 'regal': 0.0009242144177449168, 'club': 0.012014787430683918, 'table': 0.0027726432532347504, 'babes': 0.0009242144177449168, 'side': 0.006469500924214418, 'floor': 0.009242144177449169, 'money': 0.018484288354898338, 'gringos': 0.0009242144177449168, '80s': 0.0009242144177449168, 'mike': 0.0009242144177449168, 'only': 0.0027726432532347504, 'ice': 0.0036968576709796672, 'price': 0.0036968576709796672, 'top': 0.010166358595194085, 'porsche': 0.0009242144177449168, 'mix': 0.0009242144177449168, 'movies': 0.0009242144177449168, 'camera': 0.0027726432532347504, 'whip': 0.0009242144177449168, 'kush': 0.0018484288354898336, 'dice': 0.0009242144177449168, 'same': 0.010166358595194085, 'chain': 0.0027726432532347504, 'gorilla': 0.0009242144177449168, 'village': 0.0009242144177449168, 'haters': 0.0036968576709796672, 'juice': 0.0018484288354898336, 'troops': 0.0009242144177449168, 'red': 0.0009242144177449168, 'hang': 0.0009242144177449168, 'loud': 0.0018484288354898336, 'whole': 0.00831792975970425, 'grave': 0.0027726432532347504, 'bottom': 0.005545286506469501, 'mansion': 0.0018484288354898336, 'spot': 0.0036968576709796672, 'lamb': 0.015711645101663587, 'powerglide': 0.0046210720887245845, 'pole': 0.03789279112754159, 'cool': 0.0009242144177449168, 'hots': 0.0018484288354898336, 'answer': 0.0009242144177449168, 'prerolls': 0.0009242144177449168, 'steez': 0.0009242144177449168, 'extra': 0.0009242144177449168, 'rental': 0.0018484288354898336, 'sparklers': 0.0009242144177449168, 'girls': 0.0036968576709796672, 'bottles': 0.0018484288354898336, 'free': 0.0009242144177449168, 'bed': 0.0009242144177449168, 'gram': 0.0018484288354898336, 'jam': 0.0018484288354898336, 'lens': 0.0009242144177449168, 'game': 0.0018484288354898336, 'more': 0.0036968576709796672, 'faster': 0.0036968576709796672, 'night': 0.0036968576709796672, 'atm': 0.0009242144177449168, 'nights': 0.0009242144177449168, 'vip': 0.0018484288354898336, 'end': 0.0009242144177449168, 'dick': 0.0036968576709796672, 'digits': 0.0009242144177449168, 'kitchen': 0.0009242144177449168, 'coupe': 0.0073937153419593345, 'truth': 0.0027726432532347504, 'door': 0.0018484288354898336, 'beach': 0.0009242144177449168, 'backseat': 0.0009242144177449168, 'big': 0.0018484288354898336, 'buzz': 0.0009242144177449168, 'bottle': 0.0027726432532347504, 'fuckin': 0.0166358595194085, 'reason': 0.0027726432532347504, 'liquor': 0.0036968576709796672, 'diamonds': 0.0018484288354898336, 'drop': 0.0009242144177449168, 'line': 0.0027726432532347504, 'open': 0.0009242144177449168, 'dank': 0.0009242144177449168, 'hell': 0.0027726432532347504, 'blue': 0.0018484288354898336, 'front': 0.0027726432532347504, 'bible': 0.0009242144177449168, 'public': 0.0009242144177449168, 'issue': 0.0009242144177449168, 'house': 0.0027726432532347504, 'swipe': 0.0009242144177449168, 'strippers': 0.0009242144177449168, 'highlight': 0.005545286506469501, 'lumber': 0.0009242144177449168, 'dumbest': 0.0009242144177449168, 'button': 0.0009242144177449168, 'ceilin': 0.0009242144177449168, 'latest': 0.0009242144177449168, 'pegasus': 0.0073937153419593345, 'necklace': 0.005545286506469501, 'change': 0.005545286506469501, 'flame': 0.0009242144177449168, 'party': 0.019408502772643253, 'ups': 0.0009242144177449168, 'downs': 0.0009242144177449168, 'moment': 0.0018484288354898336, 'cake': 0.0027726432532347504, 'ap': 0.0009242144177449168, 'rollie': 0.0009242144177449168, 'strong': 0.0009242144177449168, 'sideline': 0.0009242144177449168, 'incline': 0.0009242144177449168, 'plan': 0.0009242144177449168, 'maserati': 0.0009242144177449168, 'underground': 0.0009242144177449168, 'style': 0.0009242144177449168, 'double': 0.0027726432532347504, 'beat': 0.0036968576709796672, 'ho': 0.0018484288354898336, 'checklist': 0.0009242144177449168, 'lam': 0.0009242144177449168, 'real': 0.012939001848428836, 'xan': 0.005545286506469501, 'lights': 0.0027726432532347504, 'gym': 0.0009242144177449168, 'bitches': 0.0009242144177449168, 'watch': 0.0009242144177449168, 'simpsons': 0.0009242144177449168, 'paper': 0.011090573012939002, 'shit': 0.009242144177449169, 'cam': 0.0009242144177449168, 'dirt': 0.0009242144177449168, 'earth': 0.0009242144177449168, 'ladies': 0.0009242144177449168, 'cloud': 0.0009242144177449168, 'crib': 0.0073937153419593345, 'trend': 0.0009242144177449168, 'mud': 0.0009242144177449168, 'store': 0.005545286506469501, 'hills': 0.0073937153419593345, 'bad': 0.005545286506469501, 'flyer': 0.0009242144177449168, 'gas': 0.0018484288354898336, 'engine': 0.0009242144177449168, 'mall': 0.0036968576709796672, 'dojo': 0.0009242144177449168, 'squad': 0.0009242144177449168, 'plot': 0.0009242144177449168, 'script': 0.0009242144177449168, 'swag': 0.053604436229205174, 'lot': 0.0009242144177449168, 'sauce': 0.0018484288354898336, 'fuck': 0.005545286506469501, 'label': 0.0009242144177449168, 'key': 0.0009242144177449168, 'ave': 0.0009242144177449168, 'chase': 0.0009242144177449168, 'flyest': 0.0009242144177449168, 'place': 0.0018484288354898336, 'liquid': 0.0009242144177449168, 'wind': 0.0009242144177449168, 'tip': 0.0018484288354898336, 'no': 0.0009242144177449168, 'you': 0.0009242144177449168, 'knicks': 0.0009242144177449168, 'dr': 0.0009242144177449168, 'clinic': 0.0009242144177449168, 'old': 0.0018484288354898336, 'new': 0.0018484288354898336, 'roof': 0.038817005545286505, 'border': 0.0018484288354898336, 'plane': 0.0018484288354898336, 'blueprint': 0.0009242144177449168, 'heel': 0.0009242144177449168, 'wheels': 0.0009242144177449168, 'truck': 0.0009242144177449168, 'hiccups': 0.0009242144177449168, 'shoe': 0.0009242144177449168, 'dead': 0.0009242144177449168, 'p': 0.0009242144177449168, 'hits': 0.0009242144177449168, 'ssip': 0.0009242144177449168, 'paint': 0.0009242144177449168, 'mvp': 0.0009242144177449168, 'bus': 0.0009242144177449168, 'bank': 0.0018484288354898336, 'enzo': 0.0009242144177449168, 'radio': 0.0009242144177449168, 'homies': 0.0009242144177449168, 'volume': 0.011090573012939002, 'music': 0.005545286506469501, 'bar': 0.0009242144177449168, 'ace': 0.0036968576709796672, 'gold': 0.0009242144177449168, 'good': 0.0009242144177449168, 'sack': 0.0009242144177449168, 'hennessy': 0.0027726432532347504, 'mornin': 0.0009242144177449168, 'am': 0.0009242144177449168, 'lobby': 0.0027726432532347504, 'counter': 0.0027726432532347504, 'way': 0.0036968576709796672, 'lean': 0.0018484288354898336, 'green': 0.0018484288354898336, 'cork': 0.0018484288354898336, 'ass': 0.0009242144177449168, 'booze': 0.0027726432532347504, 'rover': 0.0009242144177449168, 'girl': 0.0027726432532347504, 'back': 0.0036968576709796672, 'river': 0.0009242144177449168, 'blunt': 0.0018484288354898336, 'mack': 0.0009242144177449168, 'ciroc': 0.0027726432532347504, 'henny': 0.0027726432532347504, 'building': 0.0027726432532347504, 'remy': 0.0027726432532347504, 'nerve': 0.0009242144177449168, 'beeeaanns': 0.0009242144177449168, 'set': 0.0036968576709796672, 'vodka': 0.0009242144177449168, 'life': 0.0009242144177449168, 'freeway': 0.0009242144177449168, 'styrofoam': 0.0009242144177449168, 'purp': 0.0009242144177449168, 'sand': 0.0018484288354898336, 'con': 0.0009242144177449168, 'time': 0.0027726432532347504, 'path': 0.0009242144177449168, 'stash': 0.0009242144177449168, 'clout': 0.0009242144177449168, 'pizzeria': 0.0009242144177449168, 'grass': 0.0018484288354898336, 'divas': 0.0009242144177449168, 'sremms': 0.0009242144177449168, 'conman': 0.0009242144177449168, 'center': 0.0009242144177449168, 'loose': 0.0009242144177449168, 'list': 0.0018484288354898336, 'buildin': 0.0009242144177449168, 'lifestyle': 0.0009242144177449168, 'quavo': 0.0009242144177449168, 'planet': 0.0009242144177449168, 'bra': 0.0009242144177449168, 'niggas': 0.0009242144177449168, 'mouth': 0.0009242144177449168, 'topic': 0.0018484288354898336, 'conversation': 0.0009242144177449168, 'waiter': 0.0009242144177449168, 'propane': 0.0009242144177449168, 'gasoline': 0.0009242144177449168, 'lottery': 0.0018484288354898336, 'waitress': 0.0009242144177449168, 'cup': 0.0027726432532347504, 'very': 0.0027726432532347504, 'mood': 0.0009242144177449168, 'goddamn': 0.0009242144177449168, 'one': 0.0046210720887245845, 'word': 0.0018484288354898336, '100s': 0.0027726432532347504, 'strip': 0.005545286506469501, 'a': 0.0027726432532347504, 'sip': 0.0009242144177449168, 'edge': 0.0009242144177449168, 'young': 0.0009242144177449168, 'hate': 0.0009242144177449168, 'bullshit': 0.0018484288354898336, 'broke': 0.0009242144177449168, 'motherfuckin': 0.0009242144177449168, 'addy': 0.0009242144177449168, 'road': 0.0027726432532347504, 'greatest': 0.0009242144177449168, 'state': 0.0009242144177449168, 'african': 0.0009242144177449168, 'macarena': 0.0009242144177449168, 'mirror': 0.0018484288354898336, 'audi': 0.0009242144177449168, 'kamikaze': 0.0009242144177449168, 'clouds': 0.0009242144177449168, 'rari': 0.0027726432532347504, 'bitch': 0.0009242144177449168, 'guap': 0.0018484288354898336, 'freaks': 0.0009242144177449168, 'south': 0.0009242144177449168, 'pot': 0.0009242144177449168, 'splits': 0.0009242144177449168, 'fourth': 0.0009242144177449168, 'crap': 0.0009242144177449168, 'morning': 0.0018484288354898336, 'panties': 0.0009242144177449168, 'cameras': 0.0009242144177449168, 'law': 0.0009242144177449168, 'dab': 0.0018484288354898336, 'klondike': 0.0009242144177449168, 'nile': 0.0009242144177449168, 'drank': 0.0009242144177449168, 'booty': 0.0009242144177449168, 'benjamins': 0.0009242144177449168, 'lingo': 0.0009242144177449168, 'alliance': 0.0009242144177449168, 'work': 0.0009242144177449168, 'nigga': 0.0009242144177449168, 'paddy': 0.0009242144177449168, 'net': 0.0009242144177449168, 'prize': 0.0009242144177449168, 'perfect': 0.0009242144177449168, 'doors': 0.0036968576709796672, 'ones': 0.0009242144177449168, 'cab': 0.0018484288354898336, 'stage': 0.0009242144177449168, 'bass': 0.0009242144177449168, 'band': 0.0009242144177449168, 'stars': 0.0046210720887245845, 'energy': 0.0009242144177449168, 'bang': 0.0009242144177449168, 'charts': 0.0009242144177449168, 'utmost': 0.0009242144177449168, 'scene': 0.0046210720887245845, 'check': 0.005545286506469501, 'juvies': 0.0009242144177449168, 'holes': 0.0009242144177449168, 'action': 0.0009242144177449168, 'european': 0.0009242144177449168, 'boss': 0.0009242144177449168, 'wrong': 0.0009242144177449168, 'beats': 0.0009242144177449168, 'muthafuckin': 0.0009242144177449168, 'broom': 0.0009242144177449168, 'pope': 0.0009242144177449168, 'head': 0.0046210720887245845, 'gs': 0.0009242144177449168, 'ball': 0.0009242144177449168, 'models': 0.0009242144177449168, 'fiji': 0.0009242144177449168, 'ville': 0.0009242144177449168, 'stats': 0.0009242144177449168, 'devil': 0.0009242144177449168, 'hublots': 0.0009242144177449168, 'section': 0.0009242144177449168, 'quick': 0.0009242144177449168, 'clip': 0.0009242144177449168, 'rim': 0.0009242144177449168, 'trunk': 0.0009242144177449168, 'water': 0.0009242144177449168, 'hood': 0.0009242144177449168, 'recipe': 0.0009242144177449168, 'bean': 0.0009242144177449168, 'spring': 0.0009242144177449168, 'ruby': 0.0018484288354898336, 'after': 0.0018484288354898336, 'ambulance': 0.0009242144177449168, 'shows': 0.0009242144177449168, 'boy': 0.0018484288354898336, 'groom': 0.0009242144177449168, 'name': 0.0018484288354898336, 'brand': 0.0009242144177449168, 'most': 0.0009242144177449168, 'room': 0.0027726432532347504, 'currency': 0.0009242144177449168, 'baddest': 0.0009242144177449168, 'mic': 0.0018484288354898336, 'family': 0.0009242144177449168, 'parking': 0.0009242144177449168, 'studio': 0.0009242144177449168, 'dough': 0.0018484288354898336, 'flow': 0.0018484288354898336, 'xans': 0.0009242144177449168, 'zoo': 0.0009242144177449168, 'crowd': 0.0009242144177449168, 'dome': 0.0009242144177449168, 'booth': 0.0009242144177449168, 'lv': 0.0009242144177449168, 'scratch': 0.0009242144177449168, 'culture': 0.0018484288354898336, 'track': 0.0036968576709796672, 'roboroof': 0.0018484288354898336, 'stoop': 0.0018484288354898336, 'group': 0.0009242144177449168, 'loot': 0.0009242144177449168, 'love': 0.0018484288354898336, 'racks': 0.0018484288354898336, 'block': 0.0009242144177449168, 'hustles': 0.0009242144177449168, 'streets': 0.0009242144177449168, 'trap': 0.0009242144177449168, 'ranger': 0.0009242144177449168, 'range': 0.0009242144177449168, 'best': 0.0009242144177449168, 'ay': 0.0009242144177449168, 'tunes': 0.0018484288354898336, 'hottest': 0.0009242144177449168, '1s': 0.0009242144177449168, 'atmosphere': 0.0009242144177449168, 'deal': 0.0009242144177449168, 'dirty': 0.0009242144177449168, 'foreign': 0.0027726432532347504, 'patti': 0.0009242144177449168, 'bands': 0.0018484288354898336, 'rain': 0.0009242144177449168, 'rhythm': 0.0018484288354898336, 'code': 0.010166358595194085, 'islands': 0.0009242144177449168, 'bentley': 0.0009242144177449168, 'job': 0.0009242144177449168, 'boys': 0.0009242144177449168, 'platter': 0.0009242144177449168, 'dishes': 0.0009242144177449168, 'molly': 0.0009242144177449168, 'storm': 0.0009242144177449168, 'norms': 0.0009242144177449168, 'score': 0.0009242144177449168, '4th': 0.0009242144177449168, 'j': 0.0009242144177449168, 'lettuce': 0.0009242144177449168, 'crew': 0.0009242144177449168, 'runes': 0.0009242144177449168}"
city,"{'be': 0.23076923076923078, 'it': 0.07692307692307693, 'dont': 0.15384615384615385, 'splash': 0.07692307692307693, 'whats': 0.23076923076923078, 'its': 0.07692307692307693, 'yeah': 0.07692307692307693, 'every': 0.07692307692307693}"
be,"{'back': 0.030927835051546393, 'made': 0.010309278350515464, 'kim': 0.010309278350515464, 'honest': 0.010309278350515464, 'a': 0.10309278350515463, 'dressin': 0.010309278350515464, 'us': 0.13402061855670103, 'the': 0.12371134020618557, 'kickin': 0.020618556701030927, 'tamed': 0.010309278350515464, 'drinkin': 0.020618556701030927, 'tellin': 0.010309278350515464, 'something': 0.020618556701030927, 'you': 0.010309278350515464, 'quiet': 0.020618556701030927, 'dimes': 0.010309278350515464, 'yours': 0.010309278350515464, 'intimidating': 0.020618556701030927, 'my': 0.010309278350515464, 'ya': 0.010309278350515464, 'unseen': 0.030927835051546393, 'led': 0.010309278350515464, 'nice': 0.010309278350515464, 'playin': 0.16494845360824742, 'boring': 0.010309278350515464, 'against': 0.010309278350515464, 'like': 0.010309278350515464, 'bitin': 0.010309278350515464, 'focused': 0.010309278350515464, 'leanin': 0.010309278350515464, 'up': 0.020618556701030927, 'throwin': 0.010309278350515464, 'goin': 0.010309278350515464, 'your': 0.010309278350515464, 'on': 0.010309278350515464, 'freaky': 0.010309278350515464, 'right': 0.010309278350515464, 'dropping': 0.010309278350515464, 'actin': 0.010309278350515464, 'broke': 0.010309278350515464}"
back,"{'immediately': 0.05454545454545454, 'nigga': 0.01818181818181818, 'seat': 0.01818181818181818, 'like': 0.01818181818181818, 'to': 0.10909090909090909, 'we': 0.01818181818181818, 'then': 0.09090909090909091, 'here': 0.01818181818181818, 'up': 0.01818181818181818, 'from': 0.01818181818181818, 'stretched': 0.01818181818181818, 'make': 0.03636363636363636, 'of': 0.03636363636363636, 'in': 0.05454545454545454, 'end': 0.01818181818181818, 'and': 0.01818181818181818, 'shawty': 0.01818181818181818, 'for': 0.12727272727272726, 'had': 0.01818181818181818, 'with': 0.01818181818181818, 'hey': 0.01818181818181818, 'fuck': 0.01818181818181818, 'look': 0.05454545454545454, 'than': 0.01818181818181818, 'while': 0.01818181818181818, 'uh': 0.01818181818181818, 'when': 0.05454545454545454, 'now': 0.05454545454545454}"
immediately,{'to': 1.0}
to,"{'confiscate': 0.009202453987730062, 'be': 0.027607361963190184, 'explain': 0.003067484662576687, 'see': 0.04294478527607362, 'the': 0.12269938650306748, 'a': 0.015337423312883436, 'keep': 0.009202453987730062, 'life': 0.006134969325153374, 'get': 0.024539877300613498, 'swang': 0.027607361963190184, 'say': 0.018404907975460124, 'school': 0.003067484662576687, 'flood': 0.003067484662576687, 'let': 0.006134969325153374, 'showowboat': 0.003067484662576687, 'college': 0.009202453987730062, 'me': 0.06134969325153374, 'do': 0.006134969325153374, 'come': 0.006134969325153374, 'empty': 0.003067484662576687, 'you': 0.03680981595092025, 'what': 0.009202453987730062, 'crank': 0.003067484662576687, 'suntrust': 0.003067484662576687, 'love': 0.003067484662576687, 'cuff': 0.003067484662576687, 'somethin': 0.003067484662576687, 'function': 0.003067484662576687, 'toe': 0.006134969325153374, 'it': 0.009202453987730062, 'judge': 0.003067484662576687, 'stay': 0.009202453987730062, 'shame': 0.012269938650306749, 'spell': 0.006134969325153374, 'face': 0.006134969325153374, 'pipe': 0.003067484662576687, 'go': 0.018404907975460124, 'swim': 0.003067484662576687, 'link': 0.003067484662576687, 'start': 0.015337423312883436, 'work': 0.003067484662576687, 'put': 0.009202453987730062, 'her': 0.009202453987730062, 'that': 0.003067484662576687, 'have': 0.04294478527607362, 'eat': 0.012269938650306749, 'walk': 0.024539877300613498, 'tell': 0.02147239263803681, 'look': 0.006134969325153374, 'ashes': 0.003067484662576687, 'ask': 0.003067484662576687, 'throw': 0.003067484662576687, 'brag': 0.003067484662576687, 'brad': 0.003067484662576687, 'rap': 0.003067484662576687, 'lie': 0.009202453987730062, 'forget': 0.012269938650306749, 'if': 0.009202453987730062, 'roll': 0.003067484662576687, 'leave': 0.003067484662576687, 'nobody': 0.003067484662576687, 'pop': 0.003067484662576687, 'know': 0.003067484662576687, 'crash': 0.003067484662576687, 'cheat': 0.003067484662576687, 'we': 0.006134969325153374, 'spazz': 0.006134969325153374, 'spark': 0.009202453987730062, 'pour': 0.012269938650306749, 'your': 0.009202453987730062, 'hit': 0.003067484662576687, 'show': 0.012269938650306749, 'ballin': 0.006134969325153374, 'swipe': 0.003067484662576687, 'find': 0.006134969325153374, 'cry': 0.003067484662576687, 'sip': 0.003067484662576687, 'hangovers': 0.003067484662576687, 'my': 0.018404907975460124, 'snag': 0.003067484662576687, 'continent': 0.003067484662576687, 'skeet': 0.003067484662576687, 'stop': 0.006134969325153374, 'chill': 0.003067484662576687, 'bust': 0.003067484662576687, 'side': 0.006134969325153374, 'god': 0.02147239263803681, 'fuckin': 0.009202453987730062, 'another': 0.003067484662576687, 'prove': 0.003067484662576687, 'spit': 0.003067484662576687, 'sremmfest': 0.003067484662576687, 'boast': 0.003067484662576687, 'spend': 0.006134969325153374, 'make': 0.006134969325153374, 'hollywood': 0.006134969325153374, 'drop': 0.003067484662576687, 'raise': 0.009202453987730062, 'quit': 0.003067484662576687, 'kill': 0.003067484662576687, 'pick': 0.006134969325153374, 'hold': 0.003067484662576687, 'talk': 0.003067484662576687, 'try': 0.003067484662576687, 'settle': 0.003067484662576687}"
confiscate,{'the': 1.0}
