Word,Frequency
mic,"{'check': 0.10526315789473684, 'take': 0.05263157894736842, 'and': 0.2631578947368421, 'thorough': 0.05263157894736842, 'then': 0.05263157894736842, 'imma': 0.05263157894736842, 'device': 0.05263157894736842, 'checka': 0.05263157894736842, 'honey': 0.05263157894736842, 'i': 0.10526315789473684, 'cords': 0.05263157894736842, 'like': 0.05263157894736842, 'cylcicyst': 0.05263157894736842}"
check,"{'i': 0.08, 'the': 0.09333333333333334, 'it': 0.48, 'dont': 0.013333333333333334, 'my': 0.04, 'one': 0.013333333333333334, 'out': 0.013333333333333334, 'this': 0.13333333333333333, 'your': 0.02666666666666667, 'how': 0.013333333333333334, 'us': 0.013333333333333334, 'stub': 0.013333333333333334, 'amazing': 0.013333333333333334, 'looked': 0.013333333333333334, 'is': 0.013333333333333334, 'ummm': 0.013333333333333334, 'me': 0.013333333333333334}"
i,"{'can': 0.029880478087649404, 'walk': 0.013944223107569721, 'never': 0.0069721115537848604, 'wanna': 0.0069721115537848604, 'roughen': 0.00099601593625498, 'dont': 0.025896414342629483, 'get': 0.03884462151394422, 'kick': 0.01195219123505976, 'write': 0.00199203187250996, 'keep': 0.012948207171314742, 'do': 0.008964143426294821, 'expand': 0.00099601593625498, 'puff': 0.00398406374501992, 'break': 0.00199203187250996, 'need': 0.008964143426294821, 'like': 0.01593625498007968, 'feel': 0.00298804780876494, 'hit': 0.00597609561752988, 'bust': 0.00099601593625498, 'got': 0.06573705179282868, 'know': 0.00796812749003984, 'cant': 0.02390438247011952, 'hate': 0.00199203187250996, 'gotta': 0.00796812749003984, 'sell': 0.00298804780876494, 'think': 0.00796812749003984, 'demand': 0.00099601593625498, 'ride': 0.00298804780876494, 'had': 0.008964143426294821, 'stick': 0.00099601593625498, 'grab': 0.00298804780876494, 'give': 0.008964143426294821, 'just': 0.017928286852589643, 'leave': 0.0049800796812749, 'blow': 0.00298804780876494, 'turn': 0.00298804780876494, 'might': 0.0049800796812749, 'roll': 0.00597609561752988, 'smoke': 0.017928286852589643, 'swing': 0.00398406374501992, 'rock': 0.0099601593625498, 'was': 0.025896414342629483, 'used': 0.00199203187250996, 'terminate': 0.00199203187250996, 'said': 0.03286852589641434, 'catch': 0.00099601593625498, 'set': 0.00398406374501992, 'handle': 0.00099601593625498, 'cause': 0.00398406374501992, 'drop': 0.00398406374501992, 'be': 0.01693227091633466, 'bailed': 0.00099601593625498, 'forget': 0.00099601593625498, 'take': 0.0069721115537848604, 'heard': 0.00099601593625498, 'stay': 0.00398406374501992, 'bag': 0.00099601593625498, 'crack': 0.00199203187250996, 'originated': 0.00099601593625498, 'love': 0.00597609561752988, 'tote': 0.00099601593625498, 'spit': 0.00199203187250996, 'oh': 0.00099601593625498, 'still': 0.00298804780876494, 'aint': 0.01693227091633466, 'speak': 0.00199203187250996, 'hide': 0.00099601593625498, 'light': 0.00398406374501992, 'call': 0.00199203187250996, 'wonder': 0.00099601593625498, 'gat': 0.00099601593625498, 'crush': 0.00398406374501992, 'did': 0.00099601593625498, 'want': 0.00796812749003984, 'pack': 0.0049800796812749, 'come': 0.008964143426294821, 'have': 0.00298804780876494, 'pour': 0.00099601593625498, 'kill': 0.00298804780876494, 'smother': 0.00099601593625498, 'keeps': 0.00099601593625498, 'cop': 0.00099601593625498, 'clap': 0.00099601593625498, 'see': 0.00199203187250996, 'make': 0.012948207171314742, 'ace': 0.00099601593625498, 'smoked': 0.00099601593625498, 'lit': 0.00199203187250996, 'started': 0.0049800796812749, 'specialize': 0.00099601593625498, 'would': 0.00298804780876494, 'dunno': 0.00099601593625498, 'paid': 0.00099601593625498, 'bet': 0.00298804780876494, 'am': 0.010956175298804782, 'execute': 0.00199203187250996, 'pull': 0.00398406374501992, 'been': 0.00298804780876494, 'beez': 0.00099601593625498, 'swim': 0.00099601593625498, 'dedicate': 0.00099601593625498, 'load': 0.00099601593625498, 'slaughter': 0.00099601593625498, 'float': 0.00099601593625498, 'fuck': 0.00298804780876494, 'port': 0.00099601593625498, 'went': 0.00199203187250996, 'should': 0.00298804780876494, 'gave': 0.00099601593625498, 'peel': 0.00099601593625498, 'disco': 0.00099601593625498, 'tuck': 0.00099601593625498, 'bumped': 0.00099601593625498, 'raise': 0.00099601593625498, 'start': 0.00099601593625498, 'eat': 0.00099601593625498, 'ate': 0.00099601593625498, 'even': 0.00298804780876494, 'walked': 0.00099601593625498, 'couldnt': 0.00099601593625498, 'read': 0.00099601593625498, 'turned': 0.00199203187250996, 'burnt': 0.00099601593625498, 'smacked': 0.00099601593625498, 'hear': 0.00099601593625498, 'snatched': 0.00199203187250996, 'tear': 0.00298804780876494, 'dj': 0.00199203187250996, 'carry': 0.00298804780876494, 'scoop': 0.00298804780876494, 'roast': 0.00298804780876494, 'havent': 0.00597609561752988, 'sample': 0.00099601593625498, 'rip': 0.00398406374501992, 'cut': 0.00398406374501992, 'die': 0.00199203187250996, 'tisk': 0.00199203187250996, 'cough': 0.00199203187250996, 'freak': 0.00398406374501992, 'macaframalama': 0.00298804780876494, 'explode': 0.00199203187250996, 'create': 0.00099601593625498, 'control': 0.00099601593625498, 'part': 0.00099601593625498, 'beat': 0.00199203187250996, 'move': 0.00298804780876494, 'snuck': 0.00099601593625498, 'drove': 0.00099601593625498, 'drive': 0.0049800796812749, 'vacate': 0.00099601593625498, 'fit': 0.00099601593625498, 'belong': 0.00099601593625498, 'im': 0.00099601593625498, 'blind': 0.00099601593625498, 'blew': 0.00099601593625498, 'bring': 0.00298804780876494, 'spray': 0.00099601593625498, 'flexed': 0.00099601593625498, 'could': 0.00298804780876494, 'made': 0.00298804780876494, 'didnt': 0.0049800796812749, 'dazed': 0.00099601593625498, 'freaked': 0.00298804780876494, 'pimp': 0.00099601593625498, 'truncate': 0.00099601593625498, 'smack': 0.02091633466135458, 'tell': 0.00199203187250996, 'borrow': 0.00298804780876494, 'wear': 0.00298804780876494, 'throw': 0.00199203187250996, 'pay': 0.00099601593625498, 'slap': 0.00099601593625498, 'dk': 0.00099601593625498, 'push': 0.00099601593625498, 'go': 0.00298804780876494, 'fucked': 0.00199203187250996, 'usually': 0.00099601593625498, 'shines': 0.00099601593625498, 'rolls': 0.00099601593625498, 'mack': 0.00099601593625498, 'oughta': 0.00199203187250996, 'g': 0.00099601593625498, 'wouldnt': 0.00298804780876494, 'died': 0.00099601593625498, 'flip': 0.00199203187250996, 'claim': 0.00099601593625498, 'sleep': 0.00099601593625498, 'dive': 0.00099601593625498, 'let': 0.00298804780876494, 'whoop': 0.00099601593625498, 'wrecked': 0.00099601593625498, 'saw': 0.00298804780876494, 'pumped': 0.00099601593625498, 'swipe': 0.00099601593625498, 'hold': 0.00298804780876494, 'clock': 0.00099601593625498, 'cram': 0.00099601593625498, 'wave': 0.00099601593625498, 'mic': 0.00099601593625498, 'check': 0.00099601593625498, 'dip': 0.00099601593625498, 'always': 0.00199203187250996, 'wreawow': 0.00099601593625498, 'blaze': 0.00099601593625498, 'represent': 0.00298804780876494, 'thought': 0.00398406374501992, 'quit': 0.00099601593625498, 'already': 0.00099601593625498, 'remember': 0.00099601593625498, 'run': 0.00199203187250996, 'snap': 0.00099601593625498, 'swear': 0.00199203187250996, 'use': 0.00199203187250996, 'live': 0.00199203187250996, 'took': 0.00398406374501992, 'threw': 0.00199203187250996, 'lived': 0.00099601593625498, 'opened': 0.00099601593625498, 'broke': 0.00099601593625498, 'left': 0.00199203187250996, 'pulled': 0.00099601593625498, 'cleaned': 0.00099601593625498, 'dream': 0.00099601593625498, 'suggest': 0.00099601593625498, 'cracks': 0.00099601593625498, 'shit': 0.00099601593625498, 'deliver': 0.00099601593625498, 'say': 0.00199203187250996, 'dominate': 0.00099601593625498, 'rule': 0.00099601593625498, 'replied': 0.00099601593625498, 'tictac': 0.00099601593625498, 'sparkle': 0.00099601593625498, 'stab': 0.00099601593625498, 'dog': 0.00099601593625498, 'look': 0.00099601593625498, 'black': 0.00099601593625498, 'bug': 0.00099601593625498, 'pump': 0.00199203187250996, 'put': 0.00099601593625498, 'decide': 0.00099601593625498, 'split': 0.00099601593625498, 'devour': 0.00099601593625498, 'extend': 0.00099601593625498, 'betcha': 0.00099601593625498, 'known': 0.00099601593625498, 'hang': 0.00099601593625498, 'spotted': 0.00099601593625498, 'jetted': 0.00099601593625498, 'dipped': 0.00199203187250996, 'thank': 0.00099601593625498, 'cracked': 0.00099601593625498, 'felt': 0.00099601593625498, 'choose': 0.00099601593625498, 'farting': 0.00099601593625498, 'snack': 0.00099601593625498, 'guzzle': 0.00099601593625498, 'squad': 0.00099601593625498, 'fell': 0.00099601593625498, 'stepped': 0.00099601593625498, 'kicked': 0.00099601593625498, 'ended': 0.00099601593625498, 'asked': 0.00099601593625498, 'mix': 0.00099601593625498, 'forgot': 0.00099601593625498, 'believe': 0.00099601593625498, 'wants': 0.00199203187250996, 'body': 0.00099601593625498, 'unloaded': 0.00099601593625498, 'pop': 0.00099601593625498, 'slip': 0.00099601593625498, 'brutally': 0.00099601593625498, 'rob': 0.00099601593625498, 'xd': 0.00199203187250996, 'remain': 0.00099601593625498, 'guess': 0.00099601593625498, 'box': 0.00099601593625498, 'step': 0.00099601593625498, 'lock': 0.00099601593625498, 'missed': 0.00099601593625498, 'fixed': 0.00099601593625498, 'piss': 0.00099601593625498, 'shagged': 0.00099601593625498, 'gouge': 0.00099601593625498, 'open': 0.00099601593625498, 'brag': 0.00099601593625498, 'plant': 0.00099601593625498, 'react': 0.00099601593625498, 'change': 0.00099601593625498, 'lost': 0.00099601593625498, 'hope': 0.00199203187250996, 'fidget': 0.00099601593625498, 'dictate': 0.00099601593625498, 'orbits': 0.00099601593625498, 'gotcha': 0.00099601593625498, 'sag': 0.00099601593625498, 'spend': 0.00099601593625498, 'ran': 0.00099601593625498, 'showed': 0.00099601593625498, 'told': 0.00099601593625498, 'send': 0.00099601593625498, 'bite': 0.00099601593625498, 'phoned': 0.00099601593625498, 'laughed': 0.00099601593625498, 'laugh': 0.00099601593625498, 'burn': 0.00099601593625498, 'macframalama': 0.00099601593625498, 'hustle': 0.00099601593625498, 'form': 0.00099601593625498, 'hook': 0.00099601593625498, 'preach': 0.00099601593625498, 'flew': 0.00099601593625498, 'skywalk': 0.00099601593625498, 'cock': 0.00099601593625498, 'wasnt': 0.00099601593625498, 'dust': 0.00099601593625498, 'text': 0.00099601593625498, 'mean': 0.00099601593625498, 'act': 0.00099601593625498, 'barely': 0.00099601593625498, 'passed': 0.00099601593625498, 'test': 0.00099601593625498}"
can,"{'get': 0.06521739130434782, 'slam': 0.021739130434782608, 'do': 0.021739130434782608, 'be': 0.021739130434782608, 'spinach': 0.010869565217391304, 'kiss': 0.010869565217391304, 'i': 0.1956521739130435, 'now': 0.010869565217391304, 'take': 0.010869565217391304, 'chew': 0.010869565217391304, 'feel': 0.10869565217391304, 'you': 0.14130434782608695, 'dance': 0.010869565217391304, 'wax': 0.021739130434782608, 'quote': 0.010869565217391304, 'sell': 0.010869565217391304, 'break': 0.010869565217391304, 'fuck': 0.010869565217391304, 'chill': 0.010869565217391304, 'have': 0.010869565217391304, 'suck': 0.010869565217391304, 'die': 0.010869565217391304, 'bet': 0.010869565217391304, 'bring': 0.010869565217391304, 'claim': 0.010869565217391304, 'hear': 0.010869565217391304, 'wrap': 0.010869565217391304, 'cut': 0.010869565217391304, 'fly': 0.010869565217391304, 'call': 0.010869565217391304, 'see': 0.021739130434782608, 'frenchkiss': 0.010869565217391304, 'jam': 0.010869565217391304, 'leap': 0.010869565217391304, 'eat': 0.010869565217391304, 'either': 0.021739130434782608, 'make': 0.021739130434782608, 'freak': 0.010869565217391304, 'front': 0.010869565217391304, 'any': 0.010869565217391304, 'dig': 0.010869565217391304, 'count': 0.010869565217391304}"
get,"{'smooth': 0.0030864197530864196, 'the': 0.06172839506172839, 'with': 0.012345679012345678, 'cool': 0.0030864197530864196, 'down': 0.040123456790123455, 'on': 0.05555555555555555, 'sex': 0.0030864197530864196, 'wreck': 0.006172839506172839, 'vexed': 0.0030864197530864196, 'back': 0.009259259259259259, 'it': 0.09567901234567901, 'pistolwhipped': 0.0030864197530864196, 'too': 0.0030864197530864196, 'sued': 0.0030864197530864196, 'drunk': 0.009259259259259259, 'rude': 0.006172839506172839, 'shot': 0.006172839506172839, 'scared': 0.0030864197530864196, 'home': 0.0030864197530864196, 'you': 0.021604938271604937, 'out': 0.006172839506172839, 'wit': 0.006172839506172839, 'blackened': 0.0030864197530864196, 'weed': 0.0030864197530864196, 'busy': 0.021604938271604937, 'him': 0.006172839506172839, 'higher': 0.006172839506172839, 'fly': 0.009259259259259259, 'high': 0.012345679012345678, 'ready': 0.0030864197530864196, 'action': 0.0030864197530864196, 'dumb': 0.006172839506172839, 'mad': 0.006172839506172839, 'my': 0.012345679012345678, 'this': 0.012345679012345678, 'a': 0.021604938271604937, 'fucked': 0.015432098765432098, 'ill': 0.0030864197530864196, 'lost': 0.0030864197530864196, 'grill': 0.0030864197530864196, 'naughty': 0.012345679012345678, 'dressed': 0.0030864197530864196, 'caught': 0.0030864197530864196, 'hit': 0.006172839506172839, 'yo': 0.0030864197530864196, 'done': 0.0030864197530864196, 'ghost': 0.0030864197530864196, 'your': 0.05246913580246913, 'biz': 0.009259259259259259, 'backed': 0.006172839506172839, 'freaky': 0.006172839506172839, 'props': 0.006172839506172839, 'in': 0.012345679012345678, 'dirty': 0.14506172839506173, 'bluhh': 0.0030864197530864196, 'new': 0.0030864197530864196, 'more': 0.0030864197530864196, 'his': 0.006172839506172839, 'me': 0.018518518518518517, 'outta': 0.0030864197530864196, 'none': 0.0030864197530864196, 'some': 0.012345679012345678, 'cocky': 0.0030864197530864196, 'em': 0.006172839506172839, 'diced': 0.0030864197530864196, 'money': 0.0030864197530864196, 'ends': 0.0030864197530864196, 'off': 0.0030864197530864196, 'smokedout': 0.0030864197530864196, 'funk': 0.0030864197530864196, 'hurt': 0.0030864197530864196, 'then': 0.0030864197530864196, 'hot': 0.0030864197530864196, 'around': 0.0030864197530864196, 'that': 0.006172839506172839, 'jacked': 0.0030864197530864196, 'speed': 0.0030864197530864196, 'served': 0.0030864197530864196, 'dj': 0.0030864197530864196, 'funky': 0.012345679012345678, 'all': 0.0030864197530864196, 'up': 0.006172839506172839, 'laughed': 0.0030864197530864196, 'there': 0.0030864197530864196, 'over': 0.0030864197530864196, 'dropkicked': 0.0030864197530864196, 'naked': 0.0030864197530864196, 'funked': 0.009259259259259259, 'ya': 0.0030864197530864196, 'scraped': 0.0030864197530864196, 'raw': 0.0030864197530864196, 'for': 0.0030864197530864196, 'swift': 0.0030864197530864196, 'as': 0.0030864197530864196, 'to': 0.009259259259259259, 'wicked': 0.0030864197530864196, 'fatter': 0.0030864197530864196, 'dissed': 0.012345679012345678, 'brain': 0.0030864197530864196, 'robbed': 0.0030864197530864196, 'snuffed': 0.0030864197530864196}"
smooth,"{'to': 0.125, 'shit': 0.375, 'like': 0.125, 'as': 0.25, 'operator': 0.125}"
to,"{'any': 0.005703422053231939, 'be': 0.013307984790874524, 'show': 0.009505703422053232, 'do': 0.013307984790874524, 'like': 0.0019011406844106464, 'have': 0.0019011406844106464, 'what': 0.005703422053231939, 'your': 0.02091254752851711, 'pick': 0.0019011406844106464, 'see': 0.0038022813688212928, 'get': 0.10076045627376426, 'the': 0.16920152091254753, 'some': 0.0019011406844106464, 'tell': 0.0076045627376425855, 'cartman': 0.0019011406844106464, 'me': 0.02091254752851711, 'write': 0.0019011406844106464, 'teach': 0.0019011406844106464, 'sing': 0.0019011406844106464, 'christina': 0.0019011406844106464, 'lay': 0.0019011406844106464, 'this': 0.015209125475285171, 'breathe': 0.0019011406844106464, 'piss': 0.0038022813688212928, 'you': 0.022813688212927757, '16th': 0.0019011406844106464, 'puff': 0.0019011406844106464, 'all': 0.028517110266159697, 'split': 0.0019011406844106464, 'jams': 0.0019011406844106464, 'dan': 0.0019011406844106464, 'my': 0.039923954372623575, 'arkansas': 0.0019011406844106464, 'ten': 0.0038022813688212928, 'utah': 0.0019011406844106464, 'fuck': 0.0038022813688212928, 'open': 0.0019011406844106464, 'overlook': 0.0019011406844106464, 'degrees': 0.0019011406844106464, 'drink': 0.0019011406844106464, 'chase': 0.0019011406844106464, 'rumble': 0.0019011406844106464, 'a': 0.0076045627376425855, 'rock': 0.0019011406844106464, 'step': 0.0038022813688212928, 'collapse': 0.0019011406844106464, 'roll': 0.013307984790874524, 'knock': 0.0038022813688212928, 'start': 0.005703422053231939, 'crawl': 0.0019011406844106464, 'make': 0.03802281368821293, 'rob': 0.0038022813688212928, 'guzzle': 0.0019011406844106464, 'tip': 0.0019011406844106464, 'pete': 0.0038022813688212928, 'other': 0.0019011406844106464, 'repeat': 0.0019011406844106464, 'say': 0.005703422053231939, 'redd': 0.0019011406844106464, 'pack': 0.0019011406844106464, 'kill': 0.005703422053231939, 'relieve': 0.0019011406844106464, 'parachute': 0.0019011406844106464, 'roy': 0.0019011406844106464, 'tap': 0.0019011406844106464, 'blast': 0.0038022813688212928, 'attic': 0.0019011406844106464, 'mics': 0.0019011406844106464, 'give': 0.0076045627376425855, 'economy': 0.0019011406844106464, 'him': 0.0019011406844106464, 'diabetics': 0.0019011406844106464, 'ban': 0.0019011406844106464, 'buy': 0.0038022813688212928, 'no': 0.0019011406844106464, 'pay': 0.0019011406844106464, 'snuff': 0.0038022813688212928, 'smurfette': 0.0038022813688212928, 'that': 0.0076045627376425855, 'yoda': 0.0019011406844106464, 'e': 0.0038022813688212928, 'herb': 0.0076045627376425855, 'put': 0.005703422053231939, 'take': 0.015209125475285171, 'throw': 0.0019011406844106464, 'dip': 0.0019011406844106464, 'let': 0.0019011406844106464, 'party': 0.0019011406844106464, 'wild': 0.0019011406844106464, 'ride': 0.0019011406844106464, 'stick': 0.0019011406844106464, 'jump': 0.0019011406844106464, 'hear': 0.0019011406844106464, 'another': 0.0019011406844106464, 'york': 0.0019011406844106464, 'jamelle': 0.0019011406844106464, 'smoke': 0.0038022813688212928, 'manslaughter': 0.0019011406844106464, 'part': 0.0019011406844106464, 'hell': 0.0076045627376425855, 'ugly': 0.0019011406844106464, 'stab': 0.0019011406844106464, 'cut': 0.005703422053231939, 'smack': 0.0019011406844106464, 'verify': 0.0019011406844106464, 'greg': 0.0019011406844106464, 'blow': 0.0038022813688212928, 'splittin': 0.0019011406844106464, 'bat': 0.0019011406844106464, 'spar': 0.0019011406844106464, 'come': 0.0019011406844106464, 'chandon': 0.0019011406844106464, 'blame': 0.0019011406844106464, 'difficulty': 0.0019011406844106464, 'illtown': 0.0019011406844106464, 'qtip': 0.0019011406844106464, 'ya': 0.005703422053231939, 'unjam': 0.0019011406844106464, 'niggas': 0.0019011406844106464, 'california': 0.0019011406844106464, 'ocho': 0.0019011406844106464, 'stop': 0.0038022813688212928, 'quilly': 0.0019011406844106464, 'rewind': 0.0019011406844106464, 'find': 0.0038022813688212928, 'five': 0.0019011406844106464, 'jerz': 0.0038022813688212928, 'break': 0.0019011406844106464, 'beat': 0.0019011406844106464, 'fall': 0.0019011406844106464, 'zoom': 0.0019011406844106464, 'cool': 0.0019011406844106464, 'zero': 0.0019011406844106464, 'listen': 0.0019011406844106464, 'dub': 0.0038022813688212928, 'par': 0.0019011406844106464, 'keep': 0.0019011406844106464, 'canada': 0.0019011406844106464, 'cop': 0.0019011406844106464, 'day': 0.0019011406844106464, 'wreak': 0.0019011406844106464, 'jesus': 0.0019011406844106464, 'enter': 0.0019011406844106464, 'where': 0.0019011406844106464, 'experience': 0.0019011406844106464, 'kick': 0.0019011406844106464, 'mars': 0.0019011406844106464, 'real': 0.0019011406844106464, 'cope': 0.0019011406844106464, 'kingdom': 0.0019011406844106464, 'stay': 0.0019011406844106464, 'save': 0.0019011406844106464, 'repay': 0.0019011406844106464, 'mix': 0.0019011406844106464, 'hit': 0.0019011406844106464, 'dive': 0.0019011406844106464, 'go': 0.0019011406844106464, 'talk': 0.0019011406844106464, 'bare': 0.0019011406844106464, 'reds': 0.0019011406844106464, 'follow': 0.0019011406844106464, 'george': 0.0019011406844106464, 'mack': 0.0019011406844106464, 'fly': 0.0038022813688212928, 'conquer': 0.0019011406844106464, 'handle': 0.0019011406844106464, 'myself': 0.0038022813688212928, 'pop': 0.0019011406844106464, 'spit': 0.0019011406844106464, 'send': 0.0019011406844106464, 'unemployment': 0.0019011406844106464, 'new': 0.0019011406844106464, 'technical': 0.0019011406844106464, 'm': 0.0019011406844106464, 'rhyme': 0.0019011406844106464, 'hungry': 0.0019011406844106464, 'hungriest': 0.0019011406844106464, 'mouth': 0.0019011406844106464, 'earn': 0.0019011406844106464, 'nations': 0.0019011406844106464, 'set': 0.0019011406844106464, 'which': 0.0019011406844106464, 'im': 0.0019011406844106464, 'fiftyfifth': 0.0019011406844106464, 'montclair': 0.0038022813688212928, 'synonyms': 0.0019011406844106464, 'stat': 0.0019011406844106464, 'red': 0.0019011406844106464, 'ets': 0.0019011406844106464, 'hook': 0.0019011406844106464, 'prince': 0.0019011406844106464, 'live': 0.0019011406844106464, 'smoking': 0.0019011406844106464, 'them': 0.0038022813688212928, 'proof': 0.0019011406844106464, 'snitch': 0.0019011406844106464, 'trick': 0.0019011406844106464, 'death': 0.0019011406844106464, 'douche': 0.0019011406844106464, 'matter': 0.0019011406844106464, 'mother': 0.0038022813688212928, 'check': 0.0019011406844106464, 'still': 0.0019011406844106464, 'battle': 0.0019011406844106464, 'restore': 0.0019011406844106464, 'x': 0.0019011406844106464, 'pacman': 0.0019011406844106464, 'gettin': 0.0019011406844106464}"
any,"{'groove': 0.045454545454545456, 'comp': 0.045454545454545456, 'nigga': 0.09090909090909091, 'mc': 0.18181818181818182, 'local': 0.045454545454545456, 'borough': 0.045454545454545456, 'hood': 0.09090909090909091, 'track': 0.045454545454545456, 'more': 0.045454545454545456, 'contender': 0.045454545454545456, 'dude': 0.045454545454545456, 'type': 0.045454545454545456, 'season': 0.045454545454545456, 'bitch': 0.09090909090909091, 'tape': 0.045454545454545456, 'ho': 0.045454545454545456}"
groove,"{'relax': 0.3333333333333333, 'back': 0.3333333333333333, 'to': 0.3333333333333333}"
relax,"{'the': 0.16666666666666666, 'and': 0.16666666666666666, 'let': 0.3333333333333333, 'your': 0.16666666666666666, 'im': 0.16666666666666666}"
