Word,Frequency
hey,"{'yeah': 0.0625, 'ow': 0.03125, 'ooh': 0.03125, 'standing': 0.03125, 'im': 0.0625, 'thats': 0.03125, 'what': 0.03125, 'whoa': 0.09375, 'pep': 0.0625, 'uhhuh': 0.03125, 'uh': 0.03125, 'yo': 0.0625, 'ladies': 0.03125, 'you': 0.03125, 'baby': 0.03125, 'dont': 0.03125, 'were': 0.03125, 'salty': 0.03125, 'yeahmy': 0.03125, 'hey': 0.03125, 'all': 0.03125, 'why': 0.03125, 'queen': 0.03125, 'backstabbers': 0.03125, 'never': 0.03125, 'i': 0.03125}"
yeah,"{'i': 0.06140350877192982, 'whats': 0.02631578947368421, 'dont': 0.017543859649122806, 'hit': 0.008771929824561403, 'big': 0.008771929824561403, 'you': 0.05263157894736842, 'alright': 0.008771929824561403, 'talk': 0.008771929824561403, 'whatta': 0.008771929824561403, 'the': 0.02631578947368421, 'fry': 0.008771929824561403, 'never': 0.008771929824561403, 'youre': 0.017543859649122806, 'right': 0.017543859649122806, 'all': 0.02631578947368421, 'we': 0.043859649122807015, 'oh': 0.10526315789473684, 'yeah': 0.06140350877192982, 'and': 0.03508771929824561, 'my': 0.008771929824561403, 'your': 0.008771929824561403, 'chorus': 0.008771929824561403, 'hey': 0.008771929824561403, 'yo': 0.008771929824561403, 'express': 0.008771929824561403, 'im': 0.017543859649122806, 'so': 0.017543859649122806, 'a': 0.008771929824561403, 'huh': 0.017543859649122806, 'go': 0.008771929824561403, 'st': 0.008771929824561403, 'double': 0.008771929824561403, 'word': 0.008771929824561403, 'check': 0.008771929824561403, 'well': 0.008771929824561403, 'bitch': 0.008771929824561403, 'little': 0.008771929824561403, 'poppa': 0.008771929824561403, 'sexy': 0.008771929824561403, 'cant': 0.008771929824561403, 'baby': 0.017543859649122806, 'move': 0.008771929824561403, 'babe': 0.008771929824561403, 'give': 0.008771929824561403, 'just': 0.008771929824561403, 'no': 0.008771929824561403, 'thats': 0.008771929824561403, 'gimme': 0.008771929824561403, 'work': 0.008771929824561403, 'now': 0.02631578947368421, 'because': 0.008771929824561403, 'can': 0.008771929824561403, 'what': 0.008771929824561403, 'back': 0.008771929824561403, 'north': 0.008771929824561403, 'oooo': 0.017543859649122806, 'everybody': 0.008771929824561403, 'probably': 0.008771929824561403, 'man': 0.017543859649122806, 'when': 0.008771929824561403, 'scream': 0.008771929824561403, 'playin': 0.008771929824561403}"
i,"{'wanna': 0.0468384074941452, 'go': 0.00819672131147541, 'looked': 0.00117096018735363, 'couldnt': 0.00117096018735363, 'swear': 0.00585480093676815, 'stared': 0.00117096018735363, 'asked': 0.00117096018735363, 'want': 0.01756440281030445, 'dipped': 0.00117096018735363, 'flipped': 0.00117096018735363, 'chilled': 0.00117096018735363, 'get': 0.00936768149882904, 'like': 0.03395784543325527, 'spend': 0.00117096018735363, 'love': 0.01522248243559719, 'hit': 0.00351288056206089, 'said': 0.01756440281030445, 'wish': 0.00117096018735363, 'dont': 0.05737704918032787, 'doubt': 0.00117096018735363, 'mean': 0.01873536299765808, 'wont': 0.01873536299765808, 'never': 0.01053864168618267, 'know': 0.05269320843091335, 'give': 0.00936768149882904, 'finally': 0.00468384074941452, 'think': 0.01639344262295082, 'see': 0.01405152224824356, 'call': 0.00468384074941452, 'need': 0.02107728337236534, 'break': 0.00234192037470726, 'do': 0.02576112412177986, 'cant': 0.02576112412177986, 'used': 0.00234192037470726, 'popped': 0.00234192037470726, 'treat': 0.00234192037470726, 'to': 0.00234192037470726, 'turn': 0.00351288056206089, 'make': 0.00936768149882904, 'took': 0.00234192037470726, 'refuse': 0.00234192037470726, 'aint': 0.01522248243559719, 'remember': 0.00234192037470726, 'smack': 0.00117096018735363, 'am': 0.040983606557377046, 'feel': 0.02107728337236534, 'have': 0.01405152224824356, 'throw': 0.00234192037470726, 'win': 0.00117096018735363, 'can': 0.01990632318501171, 'was': 0.01990632318501171, 'really': 0.00585480093676815, 'ever': 0.00234192037470726, 'got': 0.04566744730679157, 'suck': 0.00117096018735363, 'say': 0.00936768149882904, 'will': 0.00468384074941452, 'look': 0.00234192037470726, 'could': 0.00702576112412178, 'take': 0.00351288056206089, 'just': 0.0117096018735363, 'rule': 0.00117096018735363, 'work': 0.00117096018735363, 'celebrate': 0.00117096018735363, 'gets': 0.00234192037470726, 'im': 0.00117096018735363, 'heard': 0.00936768149882904, 'suggest': 0.00468384074941452, 'came': 0.00468384074941452, 'may': 0.00585480093676815, 'must': 0.00351288056206089, 'appreciate': 0.00234192037470726, 'wouldnt': 0.00468384074941452, 'gotta': 0.00351288056206089, 'spent': 0.00234192037470726, 'didnt': 0.00468384074941452, 'guy': 0.00234192037470726, 'shake': 0.00234192037470726, 'wear': 0.00702576112412178, 'right': 0.00117096018735363, 'knew': 0.0117096018735363, 'dissed': 0.00117096018735363, 'walked': 0.00117096018735363, 'cannot': 0.00234192037470726, 'express': 0.00117096018735363, 'dare': 0.00117096018735363, 'would': 0.00117096018735363, 'me': 0.00117096018735363, 'thought': 0.01405152224824356, 'slay': 0.00117096018735363, 'paid': 0.00117096018735363, 'lying': 0.00117096018735363, 'started': 0.00234192037470726, 'wrote': 0.00117096018735363, 'believe': 0.00936768149882904, 'be': 0.00234192037470726, 'meet': 0.00117096018735363, 'had': 0.00468384074941452, 'gonna': 0.00234192037470726, 'called': 0.00234192037470726, 'went': 0.00351288056206089, 'guess': 0.00234192037470726, 'meant': 0.00585480093676815, 'did': 0.00351288056206089, 'hate': 0.00819672131147541, 'release': 0.00117096018735363, 'keep': 0.00234192037470726, 'wrecks': 0.00117096018735363, 'wonder': 0.00234192037470726, 'live': 0.00468384074941452, 'hohop': 0.00117096018735363, 'stay': 0.00234192037470726, 'pass': 0.00117096018735363, 'movess': 0.00117096018735363, 'put': 0.00117096018735363, 'snatch': 0.00117096018735363, 'hear': 0.00351288056206089, 'tell': 0.00468384074941452, 'wind': 0.00117096018735363, 'faint': 0.00117096018735363, 'prays': 0.00117096018735363, 'admire': 0.00117096018735363, 'praise': 0.00117096018735363, 'perceive': 0.00117096018735363, 'saw': 0.00117096018735363, 'kept': 0.00234192037470726, 'command': 0.00117096018735363, 'pull': 0.00234192037470726, 'relieve': 0.00117096018735363, 'tried': 0.00351288056206089, 'decided': 0.00234192037470726, 'play': 0.00351288056206089, 'rock': 0.00117096018735363, 'bring': 0.00117096018735363, 'chill': 0.00117096018735363, 'we': 0.00117096018735363, 'touch': 0.00117096018735363, 'kick': 0.00117096018735363, 'ought': 0.00117096018735363, 'grip': 0.00117096018735363, 'seen': 0.00234192037470726, 'expected': 0.00117096018735363, 'lost': 0.00234192037470726, 'felt': 0.00234192037470726, 'pour': 0.00117096018735363, 'finish': 0.00117096018735363, 'stand': 0.00117096018735363, 'enjoy': 0.00117096018735363, 'drop': 0.00234192037470726, 'count': 0.00234192037470726, 'lay': 0.00117096018735363, 'does': 0.00117096018735363, 'parlay': 0.00117096018735363, 'come': 0.00117096018735363, 'lent': 0.00117096018735363, 'pay': 0.00117096018735363, 'gave': 0.00234192037470726, 'figure': 0.00117096018735363, 'bounce': 0.00117096018735363, 'shed': 0.00117096018735363, 'made': 0.00117096018735363, 'produced': 0.00117096018735363, 'cut': 0.00234192037470726, 'yell': 0.00117096018735363, 'proved': 0.00117096018735363, 'keeps': 0.00234192037470726, 'so': 0.00117096018735363, 'dance': 0.00117096018735363, 'use': 0.00117096018735363, 'always': 0.00117096018735363, 'desire': 0.00585480093676815, 'bet': 0.00117096018735363, 'better': 0.00117096018735363, 'stress': 0.00117096018735363, 'leave': 0.00351288056206089, 'left': 0.00117096018735363, 'understood': 0.00117096018735363, 'held': 0.00117096018735363, 'wasnt': 0.00117096018735363, 'needed': 0.00117096018735363, 'i': 0.00117096018735363, 'should': 0.00117096018735363, 'dial': 0.00117096018735363, 'bought': 0.00117096018735363, 'messed': 0.00117096018735363, 'resort': 0.00117096018735363, 'sound': 0.00117096018735363, 'witness': 0.00234192037470726}"
wanna,"{'shoop': 0.05785123966942149, 'do': 0.17355371900826447, 'thank': 0.008264462809917356, 'know': 0.024793388429752067, 'have': 0.049586776859504134, 'baby': 0.008264462809917356, 'like': 0.008264462809917356, 'scream': 0.01652892561983471, 'get': 0.04132231404958678, 'hit': 0.008264462809917356, 'take': 0.0743801652892562, 'be': 0.11570247933884298, 'seem': 0.008264462809917356, 'see': 0.04132231404958678, 'come': 0.008264462809917356, 'wear': 0.008264462809917356, 'step': 0.024793388429752067, 'talk': 0.049586776859504134, 'play': 0.04132231404958678, 'stroke': 0.008264462809917356, 'push': 0.008264462809917356, 'make': 0.008264462809917356, 'freak': 0.008264462809917356, 'fill': 0.008264462809917356, 'test': 0.008264462809917356, 'lose': 0.008264462809917356, 'squeeze': 0.008264462809917356, 'tease': 0.008264462809917356, 'go': 0.008264462809917356, 'romance': 0.008264462809917356, 'run': 0.008264462809917356, 'flowuh': 0.008264462809917356, 'flip': 0.008264462809917356, 'rock': 0.008264462809917356, 'i': 0.008264462809917356, 'feel': 0.008264462809917356, 'clean': 0.008264462809917356, 'picture': 0.008264462809917356, 'hang': 0.008264462809917356, 'bootie': 0.008264462809917356, 'duel': 0.008264462809917356, 'try': 0.008264462809917356, 'kiss': 0.008264462809917356, 'accept': 0.008264462809917356, 'chill': 0.008264462809917356, 'stick': 0.008264462809917356, 'keep': 0.008264462809917356}"
shoop,"{'baby': 0.075, 'shoop': 0.25, 'badoop': 0.6, 'to': 0.025, 'adoobie': 0.025, 'hey': 0.025}"
baby,"{'ooh': 0.005780346820809248, 'no': 0.028901734104046242, 'that': 0.005780346820809248, 'take': 0.005780346820809248, 'ayyhey': 0.005780346820809248, 'shoop': 0.005780346820809248, 'ah': 0.017341040462427744, 'baby': 0.08670520231213873, 'oooh': 0.011560693641618497, 'get': 0.005780346820809248, 'salt': 0.011560693641618497, 'bababy': 0.005780346820809248, 'push': 0.005780346820809248, 'lets': 0.046242774566473986, 'sing': 0.005780346820809248, 'whatta': 0.011560693641618497, 'rub': 0.017341040462427744, 'with': 0.005780346820809248, 'im': 0.005780346820809248, 'thats': 0.011560693641618497, 'all': 0.005780346820809248, 'work': 0.05202312138728324, 'do': 0.005780346820809248, 'let': 0.028901734104046242, 'yes': 0.011560693641618497, 'owww': 0.011560693641618497, 'its': 0.017341040462427744, 'just': 0.005780346820809248, 'come': 0.023121387283236993, 'tramp': 0.005780346820809248, 'chorus': 0.005780346820809248, 'we': 0.005780346820809248, 'please': 0.005780346820809248, 'tear': 0.005780346820809248, 'gitty': 0.05202312138728324, 'dont': 0.05202312138728324, 'imah': 0.005780346820809248, 'give': 0.011560693641618497, 'you': 0.05202312138728324, 'never': 0.005780346820809248, 'love': 0.017341040462427744, 'sexy': 0.023121387283236993, 'now': 0.09826589595375723, 'how': 0.005780346820809248, 'wont': 0.005780346820809248, 'go': 0.023121387283236993, 'carriage': 0.005780346820809248, 'open': 0.028901734104046242, 'start': 0.005780346820809248, 'listen': 0.005780346820809248, 'ha': 0.005780346820809248, 'twist': 0.005780346820809248, 'ow': 0.005780346820809248, 'shake': 0.023121387283236993, 'shshshshshake': 0.005780346820809248, 'why': 0.005780346820809248, 'artist': 0.005780346820809248, 'so': 0.005780346820809248, 'i': 0.005780346820809248, 'hes': 0.005780346820809248, 'my': 0.005780346820809248, 'and': 0.005780346820809248, 'man': 0.011560693641618497, 'what': 0.005780346820809248}"
ooh,"{'how': 0.0625, 'ooh': 0.125, 'take': 0.0625, 'i': 0.4375, 'and': 0.0625, 'say': 0.1875, 'salt': 0.0625}"
how,"{'you': 0.1323529411764706, 'does': 0.014705882352941176, 'to': 0.22058823529411764, 'it': 0.08823529411764706, 'many': 0.07352941176470588, 'i': 0.04411764705882353, 'salt': 0.029411764705882353, 'my': 0.029411764705882353, 'youre': 0.014705882352941176, 'its': 0.014705882352941176, 'much': 0.029411764705882353, 'people': 0.014705882352941176, 'we': 0.1323529411764706, 'the': 0.014705882352941176, 'can': 0.029411764705882353, 'do': 0.014705882352941176, 'ya': 0.014705882352941176, 'come': 0.014705882352941176, 'pep': 0.014705882352941176, 'sweet': 0.014705882352941176, 'could': 0.014705882352941176, 'that': 0.014705882352941176, 'else': 0.014705882352941176}"
you,"{'doing': 0.0020222446916076846, 'you': 0.007077856420626896, 'the': 0.004044489383215369, 'do': 0.016177957532861477, 'would': 0.011122345803842264, 'make': 0.008088978766430738, 'know': 0.07280080889787664, 'back': 0.0020222446916076846, 'get': 0.011122345803842264, 'work': 0.0020222446916076846, 'skiptomylou': 0.0010111223458038423, 'were': 0.007077856420626896, 'getcha': 0.0010111223458038423, 'in': 0.003033367037411527, 'give': 0.0020222446916076846, 'sounding': 0.0010111223458038423, 'so': 0.014155712841253791, 'wanna': 0.04044489383215369, 'fly': 0.0010111223458038423, 'to': 0.01820020222446916, 'come': 0.005055611729019211, 'hear': 0.003033367037411527, 'really': 0.016177957532861477, 'got': 0.054600606673407485, 'and': 0.025278058645096056, 'its': 0.0010111223458038423, 'even': 0.0020222446916076846, 'say': 0.015166835187057633, 'gotta': 0.025278058645096056, 'shouldnt': 0.003033367037411527, 'one': 0.004044489383215369, 'think': 0.012133468149646108, 'are': 0.007077856420626896, 'could': 0.005055611729019211, 'can': 0.022244691607684528, 'understand': 0.004044489383215369, 'just': 0.011122345803842264, 'dont': 0.025278058645096056, 'better': 0.016177957532861477, 'want': 0.011122345803842264, 'or': 0.0020222446916076846, 'have': 0.003033367037411527, 'ho': 0.0010111223458038423, 'mess': 0.0010111223458038423, 'man': 0.0010111223458038423, 'see': 0.014155712841253791, 'your': 0.0010111223458038423, 'like': 0.014155712841253791, 'that': 0.0010111223458038423, 'tried': 0.0020222446916076846, 'wished': 0.0010111223458038423, 'now': 0.0010111223458038423, 'aint': 0.012133468149646108, 'look': 0.008088978766430738, 'for': 0.004044489383215369, 'wont': 0.004044489383215369, 'this': 0.0010111223458038423, 'go': 0.008088978766430738, 'agree': 0.0010111223458038423, 'forget': 0.0010111223458038423, 'call': 0.0020222446916076846, 'ever': 0.004044489383215369, 'hang': 0.004044489383215369, 'feel': 0.004044489383215369, 'will': 0.005055611729019211, 'believe': 0.00910010111223458, 'said': 0.003033367037411527, 'never': 0.003033367037411527, 'some': 0.003033367037411527, 'tell': 0.006066734074823054, 'tolerated': 0.0010111223458038423, 'if': 0.0020222446916076846, 'hate': 0.0020222446916076846, 'put': 0.004044489383215369, 'wait': 0.0020222446916076846, 'teasin': 0.0010111223458038423, 'on': 0.006066734074823054, 'straight': 0.0020222446916076846, 'shake': 0.0020222446916076846, 'how': 0.010111223458038422, 'who': 0.007077856420626896, 'later': 0.0020222446916076846, 'down': 0.0020222446916076846, 'wid': 0.0010111223458038423, 'must': 0.0020222446916076846, 'diss': 0.0020222446916076846, 'reply': 0.0010111223458038423, 'answer': 0.0010111223458038423, 'goin': 0.0020222446916076846, 'it': 0.0010111223458038423, 'doin': 0.0010111223458038423, 'sick': 0.0010111223458038423, 'only': 0.0010111223458038423, 'babe': 0.005055611729019211, 'up': 0.0020222446916076846, 'livin': 0.0020222446916076846, 'express': 0.0010111223458038423, 'cant': 0.011122345803842264, 'ready': 0.01314459049544995, 'there': 0.0010111223458038423, 'toleratered': 0.0010111223458038423, 'mean': 0.0020222446916076846, 'been': 0.003033367037411527, 'understood': 0.0010111223458038423, 'babble': 0.0010111223458038423, 'wish': 0.0010111223458038423, 'be': 0.005055611729019211, 'serious': 0.0010111223458038423, 'comb': 0.0010111223458038423, 'wear': 0.0020222446916076846, 'my': 0.004044489383215369, 'mister': 0.0010111223458038423, 'dissed': 0.0010111223458038423, 'hurt': 0.0010111223458038423, 'girl': 0.0010111223458038423, 'try': 0.003033367037411527, 'might': 0.007077856420626896, 'couldnt': 0.0010111223458038423, 'rolled': 0.0010111223458038423, 'was': 0.005055611729019211, 'stuck': 0.0010111223458038423, 'thought': 0.0010111223458038423, 'runnin': 0.0010111223458038423, 'should': 0.004044489383215369, 'talking': 0.014155712841253791, 'called': 0.0020222446916076846, 'than': 0.005055611729019211, 'mario': 0.003033367037411527, 'talkin': 0.0020222446916076846, 'cathy': 0.0010111223458038423, 'with': 0.003033367037411527, 'loved': 0.0020222446916076846, 'i': 0.007077856420626896, 'but': 0.0020222446916076846, 'caught': 0.0020222446916076846, 'bounce': 0.0010111223458038423, 'drench': 0.0010111223458038423, 'till': 0.0010111223458038423, 'pass': 0.0010111223458038423, 'still': 0.0020222446916076846, 'break': 0.0020222446916076846, 'actin': 0.0010111223458038423, 'grown': 0.0010111223458038423, 'home': 0.0010111223458038423, 'settle': 0.0010111223458038423, 'shouldent': 0.0010111223458038423, 'poppin': 0.0010111223458038423, 'jump': 0.0010111223458038423, 'fiending': 0.0010111223458038423, 'burn': 0.0010111223458038423, 'off': 0.003033367037411527, 'sweat': 0.0010111223458038423, 'locked': 0.0010111223458038423, 'readysexy': 0.0010111223458038423, 'caress': 0.0020222446916076846, 'whisper': 0.0010111223458038423, 'breathin': 0.0010111223458038423, 'rub': 0.0010111223458038423, 'talk': 0.00910010111223458, 'wonder': 0.0010111223458038423, 'reign': 0.0010111223458038423, 'take': 0.0010111223458038423, 'right': 0.0020222446916076846, 'left': 0.0010111223458038423, 'turn': 0.0020222446916076846, 'freakin': 0.0010111223458038423, 'im': 0.0020222446916076846, 'showed': 0.006066734074823054, 'chose': 0.0010111223458038423, 'did': 0.0020222446916076846, 'flirted': 0.0010111223458038423, 'ohhh': 0.0020222446916076846, 'live': 0.0010111223458038423, 'dummy': 0.0010111223458038423, 'fall': 0.0010111223458038423, 'taught': 0.0010111223458038423, 'love': 0.0010111223458038423, 'spawn': 0.0010111223458038423, 'betrayed': 0.0010111223458038423, 'made': 0.0010111223458038423, 'gave': 0.0010111223458038423, 'groove': 0.0010111223458038423, 'deep': 0.0020222446916076846, 'well': 0.0020222446916076846, 'why': 0.0020222446916076846, 'throw': 0.0010111223458038423, 'may': 0.0020222446916076846, 'party': 0.0010111223458038423, 'all': 0.0010111223458038423, 'didnt': 0.005055611729019211, 'punk': 0.0010111223458038423, 'told': 0.0010111223458038423, 'blew': 0.0010111223458038423, 'messed': 0.0010111223458038423, 'took': 0.0010111223458038423, 'play': 0.0010111223458038423, 'dirty': 0.0010111223458038423, 'start': 0.0020222446916076846, 'every': 0.0010111223458038423, 'here': 0.0010111223458038423, 'standin': 0.0020222446916076846, 'lettin': 0.0010111223458038423, 'around': 0.0010111223458038423, 'realize': 0.0010111223458038423, 'gonna': 0.0020222446916076846, 'miss': 0.0010111223458038423, 'forgot': 0.0010111223458038423, 'used': 0.003033367037411527, 'pump': 0.0010111223458038423, 'suffer': 0.0010111223458038423, 'came': 0.0010111223458038423, 'probably': 0.0010111223458038423, 'laugh': 0.0010111223458038423, 'where': 0.0010111223458038423, 'hold': 0.0010111223458038423, 'wouldnt': 0.0010111223458038423, 'gets': 0.0010111223458038423, 'hype': 0.0010111223458038423, 'lost': 0.0020222446916076846, 'let': 0.0010111223458038423, 'done': 0.0010111223458038423, 'chorus': 0.0020222446916076846, 'need': 0.005055611729019211, 'stupid': 0.0010111223458038423, 'cuz': 0.004044489383215369, 'mam': 0.0010111223458038423, 'prove': 0.0010111223458038423, 'through': 0.0010111223458038423, 'wrong': 0.0020222446916076846, 'at': 0.007077856420626896, 'fool': 0.0010111223458038423, 'fiendin': 0.0010111223458038423, 'cutting': 0.0010111223458038423, 'word': 0.0010111223458038423, 'people': 0.0010111223458038423, 'ask': 0.0010111223458038423, 'please': 0.0010111223458038423, 'somma': 0.0010111223458038423, 'swear': 0.0010111223458038423, 'spinderellas': 0.0010111223458038423, 'react': 0.0010111223458038423, 'gots': 0.0010111223458038423, 'feed': 0.0010111223458038423, 'givin': 0.0010111223458038423, 'pulled': 0.0010111223458038423, 'reap': 0.0010111223458038423, 'sow': 0.0010111223458038423, 'started': 0.0010111223458038423, 'whats': 0.0010111223458038423, 'happy': 0.0010111223458038423, 'what': 0.004044489383215369, 'feeling': 0.0010111223458038423, 'oh': 0.0010111223458038423, 'bout': 0.0010111223458038423, 'rats': 0.0010111223458038423, 'tellin': 0.0010111223458038423, 'watch': 0.003033367037411527, 'bumbumbitty': 0.0010111223458038423, 'as': 0.0020222446916076846, 'stole': 0.0010111223458038423, 'yes': 0.0010111223458038423, 'gon': 0.0010111223458038423, 'smile': 0.0010111223458038423, 'from': 0.0010111223458038423, 'no': 0.0010111223458038423, 'comin': 0.0010111223458038423, 'faced': 0.0010111223458038423, 'bite': 0.0010111223458038423, 'played': 0.0010111223458038423}"
doing,"{'baby': 0.2, 'ah': 0.4, 'it': 0.2, 'on': 0.2}"
