Word,Frequency
yeah,"{'yeah': 0.027472527472527472, 'oh': 0.005494505494505495, 'im': 0.06593406593406594, 'its': 0.016483516483516484, 'you': 0.038461538461538464, 'uh': 0.02197802197802198, 'bitch': 0.005494505494505495, 'if': 0.005494505494505495, 'okay': 0.005494505494505495, 'all': 0.02197802197802198, 'on': 0.01098901098901099, 'soulo': 0.005494505494505495, 'this': 0.005494505494505495, 'four': 0.005494505494505495, 'fucking': 0.005494505494505495, 'that': 0.016483516483516484, 'q': 0.005494505494505495, 'thats': 0.038461538461538464, 'drug': 0.01098901098901099, 'nigga': 0.17032967032967034, 'five': 0.005494505494505495, 'put': 0.005494505494505495, 'fuck': 0.016483516483516484, 'pow': 0.005494505494505495, 'i': 0.21978021978021978, 'lookin': 0.005494505494505495, 'ayy': 0.005494505494505495, 'bellin': 0.005494505494505495, 'we': 0.016483516483516484, 'county': 0.005494505494505495, 'puttin': 0.005494505494505495, 'shoulda': 0.005494505494505495, 'howd': 0.005494505494505495, 'eat': 0.005494505494505495, 'understanding': 0.01098901098901099, 'girl': 0.005494505494505495, 'baby': 0.005494505494505495, 'get': 0.005494505494505495, 'die': 0.005494505494505495, 'holding': 0.005494505494505495, 'toprack': 0.005494505494505495, 'rims': 0.005494505494505495, 'nights': 0.005494505494505495, 'walk': 0.005494505494505495, 'going': 0.005494505494505495, 'money': 0.01098901098901099, 'ar': 0.005494505494505495, 'richard': 0.005494505494505495, 'cripping': 0.005494505494505495, 'who': 0.005494505494505495, 'cause': 0.005494505494505495, 'kudos': 0.005494505494505495, 'suture': 0.005494505494505495, 'kunta': 0.005494505494505495, 'schoolboy': 0.005494505494505495, 'panties': 0.005494505494505495, 'figg': 0.027472527472527472, 'ball': 0.01098901098901099, 'watch': 0.005494505494505495, 'p': 0.005494505494505495, 'sauce': 0.005494505494505495, 'so': 0.01098901098901099}"
oh,"{'oh': 0.34615384615384615, 'yo': 0.019230769230769232, 'luxury': 0.07692307692307693, 'collard': 0.07692307692307693, 'down': 0.15384615384615385, 'lord': 0.057692307692307696, 'yeah': 0.09615384615384616, 'my': 0.019230769230769232, 'either': 0.019230769230769232, 'hey': 0.019230769230769232, 'you': 0.019230769230769232, 'buddy': 0.019230769230769232, 'soon': 0.019230769230769232, 'ill': 0.019230769230769232, 'dont': 0.019230769230769232, 'i': 0.019230769230769232}"
yo,"{'yo': 0.05555555555555555, 'oh': 0.05555555555555555, 'favorite': 0.05555555555555555, 'i': 0.05555555555555555, 'my': 0.05555555555555555, 'we': 0.05555555555555555, 'yeah': 0.05555555555555555, 'the': 0.1111111111111111, 'blank': 0.05555555555555555, 'ugh': 0.1111111111111111, 'flacko': 0.05555555555555555, 'put': 0.05555555555555555, 'im': 0.05555555555555555, 'they': 0.1111111111111111, 'ass': 0.05555555555555555}"
luxury,"{'chidichingching': 0.8, 'day': 0.2}"
chidichingching,{'could': 1.0}
could,"{'buy': 0.12195121951219512, 'fuck': 0.17073170731707318, 'have': 0.024390243902439025, 'round': 0.024390243902439025, 'be': 0.24390243902439024, 'pitch': 0.024390243902439025, 'tell': 0.04878048780487805, 'die': 0.024390243902439025, 'stop': 0.024390243902439025, 'they': 0.024390243902439025, 'put': 0.024390243902439025, 'ever': 0.024390243902439025, 'get': 0.024390243902439025, 'bloom': 0.024390243902439025, 'take': 0.04878048780487805, 'grip': 0.024390243902439025, 'make': 0.024390243902439025, 'never': 0.07317073170731707}"
buy,"{'anything': 0.4166666666666667, 'this': 0.25, 'a': 0.08333333333333333, 'no': 0.08333333333333333, 'all': 0.08333333333333333, 'that': 0.08333333333333333}"
anything,"{'cop': 0.36363636363636365, 'you': 0.09090909090909091, 'off': 0.09090909090909091, 'that': 0.2727272727272727, 'for': 0.09090909090909091, 'good': 0.09090909090909091}"
cop,"{'that': 0.3157894736842105, 'this': 0.21052631578947367, 'it': 0.05263157894736842, 'a': 0.10526315789473684, 'them': 0.05263157894736842, 'the': 0.05263157894736842, 'every': 0.05263157894736842, 'is': 0.05263157894736842, 'say': 0.05263157894736842, 'raid': 0.05263157894736842}"
that,"{'oh': 0.014285714285714285, 'shit': 0.025, 'tank': 0.0017857142857142857, 'be': 0.0035714285714285713, 'on': 0.0017857142857142857, 'i': 0.02857142857142857, 'pussy': 0.07142857142857142, 'ass': 0.030357142857142857, 'door': 0.0017857142857142857, 'your': 0.005357142857142857, 'im': 0.014285714285714285, 'hands': 0.01607142857142857, 'mothafucka': 0.0017857142857142857, 'he': 0.0017857142857142857, 'after': 0.0017857142857142857, 'id': 0.0017857142857142857, 'happens': 0.0017857142857142857, 'relate': 0.0017857142857142857, 'was': 0.0017857142857142857, 'neglect': 0.0017857142857142857, 'you': 0.014285714285714285, 'dont': 0.0017857142857142857, 'we': 0.010714285714285714, 'this': 0.0017857142857142857, 'bitch': 0.023214285714285715, 'part': 0.1, 'ugly': 0.0035714285714285713, 'plate': 0.0017857142857142857, 'stand': 0.0017857142857142857, 'nigga': 0.025, 'goes': 0.0017857142857142857, 'wild': 0.0017857142857142857, 'fuck': 0.0035714285714285713, 'and': 0.0017857142857142857, 'hearse': 0.0017857142857142857, 'new': 0.0035714285714285713, 'take': 0.0017857142857142857, 'slide': 0.0017857142857142857, 'footage': 0.0017857142857142857, 'night': 0.0017857142857142857, 'my': 0.007142857142857143, 'drop': 0.0017857142857142857, 'crack': 0.0035714285714285713, 'oxy': 0.005357142857142857, 'right': 0.0017857142857142857, 'from': 0.0035714285714285713, 'they': 0.044642857142857144, 'fix': 0.0017857142857142857, 'boat': 0.0035714285714285713, 'four': 0.0017857142857142857, 'donk': 0.0017857142857142857, 'make': 0.008928571428571428, 'q': 0.0017857142857142857, 'car': 0.0017857142857142857, 'wont': 0.0017857142857142857, 'steel': 0.0035714285714285713, 'curl': 0.0017857142857142857, 'punani': 0.0017857142857142857, 'truth': 0.0017857142857142857, 'filthy': 0.0017857142857142857, 'must': 0.0017857142857142857, 'gangsta': 0.005357142857142857, 'nine': 0.0035714285714285713, 'lick': 0.0035714285714285713, 'yola': 0.0035714285714285713, 'corner': 0.0017857142857142857, 'ho': 0.007142857142857143, 'she': 0.0035714285714285713, 'the': 0.010714285714285714, 'sell': 0.0017857142857142857, 'street': 0.0017857142857142857, 'aryan': 0.0017857142857142857, 'what': 0.0017857142857142857, 'life': 0.007142857142857143, 'kitty': 0.0017857142857142857, 'deepthroat': 0.0017857142857142857, 'tde': 0.0035714285714285713, 'price': 0.0017857142857142857, 'to': 0.007142857142857143, 'yayyay': 0.11428571428571428, 'stop': 0.0017857142857142857, 'work': 0.0035714285714285713, 'kilo': 0.0017857142857142857, 'papi': 0.0017857142857142857, 'heron': 0.0017857142857142857, 'coffin': 0.0017857142857142857, 'chin': 0.0017857142857142857, 'kill': 0.005357142857142857, 'dope': 0.007142857142857143, 'wheel': 0.005357142857142857, 'tryna': 0.0017857142857142857, 'store': 0.0017857142857142857, 'coke': 0.0017857142857142857, 'ghost': 0.0017857142857142857, 'white': 0.007142857142857143, 'groovy': 0.0017857142857142857, 'enz': 0.0017857142857142857, 'crip': 0.007142857142857143, 'gang': 0.0017857142857142857, 'snitch': 0.0017857142857142857, 'grave': 0.0017857142857142857, 'thumb': 0.0017857142857142857, 'me': 0.0017857142857142857, 'good': 0.0017857142857142857, 'some': 0.0035714285714285713, 'page': 0.0017857142857142857, 'back': 0.0017857142857142857, 'motherfucker': 0.0017857142857142857, 'crips': 0.0035714285714285713, 'revolver': 0.0017857142857142857, 'fucked': 0.0017857142857142857, 'can': 0.005357142857142857, 'needs': 0.007142857142857143, 'mean': 0.0035714285714285713, 'tape': 0.0017857142857142857, 'case': 0.010714285714285714, 'bus': 0.0017857142857142857, 'mansion': 0.0035714285714285713, 'million': 0.0017857142857142857, 'time': 0.0017857142857142857, 'hashtag': 0.0017857142857142857, 'bullshit': 0.0017857142857142857, 'where': 0.0017857142857142857, 'too': 0.0017857142857142857, 'benz': 0.0017857142857142857, 'tell': 0.0017857142857142857, 'wake': 0.0017857142857142857, 'ill': 0.0035714285714285713, 'bass': 0.0017857142857142857, '808': 0.0017857142857142857, 'syrup': 0.0017857142857142857, 'asap': 0.0017857142857142857, 'bbc': 0.0017857142857142857, 'haterade': 0.0017857142857142857, 'paper': 0.0017857142857142857, 'out': 0.0017857142857142857, 'body': 0.0017857142857142857, 'base': 0.0017857142857142857, 'shoot': 0.0017857142857142857, 'pledge': 0.0017857142857142857, 'day': 0.0017857142857142857, 'ride': 0.0017857142857142857, 'hunnid': 0.0017857142857142857, 'window': 0.0035714285714285713, 'simple': 0.007142857142857143, 'mouse': 0.0017857142857142857, 'table': 0.0017857142857142857, 'chip': 0.0017857142857142857, 'pistol': 0.0017857142857142857, '45': 0.0017857142857142857, 'coochie': 0.0017857142857142857, 'see': 0.0017857142857142857, 'means': 0.0017857142857142857, 'got': 0.0017857142857142857, 'hoover': 0.0017857142857142857, 'heffa': 0.0017857142857142857, 'one': 0.0017857142857142857, 'grown': 0.0017857142857142857, 'flossing': 0.0017857142857142857, 'lets': 0.0017857142857142857, 'matter': 0.0017857142857142857, 'in': 0.0017857142857142857, 'funky': 0.0017857142857142857, 'real': 0.0017857142857142857, 'go': 0.0017857142857142857, 'bitchll': 0.0017857142857142857, 'sound': 0.0017857142857142857, 'water': 0.04107142857142857, 'h2o': 0.005357142857142857, 'blue': 0.0017857142857142857, 'rapping': 0.0017857142857142857, 'a': 0.0017857142857142857, 'candle': 0.0017857142857142857, 'close': 0.0017857142857142857, 'dress': 0.0017857142857142857, 'stuff': 0.0017857142857142857, '80': 0.0017857142857142857, 'rental': 0.0017857142857142857, 'drive': 0.0017857142857142857}"
collard,{'greens': 1.0}
greens,{'three': 1.0}
three,"{'degrees': 0.23529411764705882, 'her': 0.058823529411764705, 'to': 0.058823529411764705, 'js': 0.058823529411764705, 'hours': 0.058823529411764705, 'learned': 0.058823529411764705, 'different': 0.058823529411764705, 'car': 0.058823529411764705, 'mil': 0.058823529411764705, 'hut': 0.23529411764705882, 'one': 0.058823529411764705}"
degrees,"{'low': 0.36363636363636365, 'antifreeze': 0.5454545454545454, 'i': 0.09090909090909091}"
low,"{'make': 0.26666666666666666, 'amigos': 0.06666666666666667, 'got': 0.13333333333333333, 'crack': 0.06666666666666667, 'our': 0.13333333333333333, 'lala': 0.13333333333333333, 'but': 0.06666666666666667, 'yeah': 0.06666666666666667, 'as': 0.06666666666666667}"
make,"{'it': 0.25333333333333335, 'a': 0.16, 'mills': 0.013333333333333334, 'that': 0.02666666666666667, 'em': 0.013333333333333334, 'sure': 0.02666666666666667, 'you': 0.08, 'the': 0.08, 'me': 0.06666666666666667, 'bread': 0.013333333333333334, 'money': 0.013333333333333334, 'over': 0.013333333333333334, 'deposits': 0.04, 'to': 0.04, 'too': 0.04, 'ends': 0.013333333333333334, 'time': 0.013333333333333334, 'am': 0.013333333333333334, 'plans': 0.013333333333333334, 'noise': 0.013333333333333334, 'pain': 0.013333333333333334, 'him': 0.013333333333333334, 'an': 0.013333333333333334, 'my': 0.013333333333333334}"
it,"{'hot': 0.010416666666666666, 'break': 0.0026041666666666665, 'hothot': 0.0026041666666666665, 'cop': 0.0026041666666666665, 'eyes': 0.0026041666666666665, 'blastblast': 0.0026041666666666665, 'numb': 0.0026041666666666665, 'baby': 0.0026041666666666665, 'nights': 0.0026041666666666665, 'down': 0.026041666666666668, 'your': 0.0026041666666666665, 'still': 0.0026041666666666665, 'up': 0.033854166666666664, 'out': 0.026041666666666668, 'to': 0.046875, 'was': 0.0234375, 'this': 0.010416666666666666, 'she': 0.0026041666666666665, 'straight': 0.005208333333333333, 'pikachu': 0.0026041666666666665, 'do': 0.020833333333333332, 'crush': 0.005208333333333333, 'off': 0.013020833333333334, 'strictly': 0.0026041666666666665, 'fours': 0.0026041666666666665, 'at': 0.005208333333333333, 'keep': 0.0026041666666666665, 'could': 0.013020833333333334, 'whether': 0.0026041666666666665, 'then': 0.010416666666666666, 'bruh': 0.0026041666666666665, 'safe': 0.0026041666666666665, 'get': 0.057291666666666664, 'aint': 0.020833333333333332, 'for': 0.0390625, 'nigga': 0.010416666666666666, 'like': 0.013020833333333334, 'me': 0.0026041666666666665, 'hundred': 0.0026041666666666665, 'got': 0.0026041666666666665, 'if': 0.018229166666666668, 'its': 0.0078125, 'all': 0.010416666666666666, 'you': 0.0026041666666666665, 'free': 0.0026041666666666665, 'in': 0.026041666666666668, 'mastered': 0.0026041666666666665, 'i': 0.010416666666666666, 'cause': 0.0026041666666666665, 'take': 0.0026041666666666665, 'crack': 0.0026041666666666665, 'cross': 0.0026041666666666665, 'twisted': 0.0026041666666666665, 'wont': 0.005208333333333333, 'when': 0.0026041666666666665, 'came': 0.010416666666666666, 'is': 0.005208333333333333, 'dip': 0.0026041666666666665, 'one': 0.0026041666666666665, 'fuck': 0.0026041666666666665, 'back': 0.010416666666666666, 'be': 0.010416666666666666, 'jam': 0.0026041666666666665, 'bitch': 0.005208333333333333, 'woo': 0.005208333333333333, 'filled': 0.0026041666666666665, 'yeah': 0.026041666666666668, 'rain': 0.0026041666666666665, 'home': 0.0026041666666666665, 'glide': 0.0026041666666666665, 'g': 0.005208333333333333, 'what': 0.0026041666666666665, 'ugh': 0.005208333333333333, 'north': 0.0026041666666666665, 'feel': 0.010416666666666666, 'the': 0.013020833333333334, 'moms': 0.0026041666666666665, 'can': 0.005208333333333333, 'and': 0.0026041666666666665, 'right': 0.010416666666666666, 'ive': 0.0026041666666666665, 'wanna': 0.0026041666666666665, 'gotta': 0.0026041666666666665, 'greedy': 0.0026041666666666665, 'go': 0.0026041666666666665, 'grow': 0.0026041666666666665, 'onion': 0.0026041666666666665, 'looking': 0.0026041666666666665, 'started': 0.005208333333333333, 'happened': 0.0026041666666666665, 'brackin': 0.0026041666666666665, 'we': 0.041666666666666664, 'turn': 0.005208333333333333, 'struck': 0.005208333333333333, 'huh': 0.0026041666666666665, 'lead': 0.0026041666666666665, 'but': 0.0026041666666666665, 'first': 0.0026041666666666665, 'on': 0.013020833333333334, 'with': 0.0026041666666666665, 'til': 0.018229166666666668, '21': 0.0026041666666666665, 'before': 0.0026041666666666665, 'swallowed': 0.0026041666666666665, 'heaven': 0.0026041666666666665, 'dont': 0.0026041666666666665, 'knock': 0.010416666666666666, 'wasnt': 0.0026041666666666665, 'real': 0.005208333333333333, 'niggas': 0.005208333333333333, 'just': 0.0026041666666666665, 'ho': 0.0026041666666666665, 'even': 0.0026041666666666665, 'again': 0.0078125, 'perfect': 0.0026041666666666665, 'gettin': 0.0026041666666666665, 'that': 0.0078125, 'how': 0.0026041666666666665, 'bad': 0.0026041666666666665, 'a': 0.0026041666666666665, 'figg': 0.020833333333333332, 'away': 0.015625, 'stain': 0.03125, 'pump': 0.0026041666666666665, 'my': 0.0026041666666666665, 'will': 0.0026041666666666665, 'twirl': 0.005208333333333333, 'around': 0.0026041666666666665, 'sold': 0.0026041666666666665, 'poppin': 0.0026041666666666665, 'make': 0.0026041666666666665, 'feels': 0.0026041666666666665, 'from': 0.0026041666666666665, 'big': 0.0026041666666666665}"
hot,"{'for': 0.25, 'if': 0.0625, 'smoke': 0.0625, 'wheels': 0.0625, 'degrees': 0.375, 'you': 0.0625, 'and': 0.125}"
for,"{'me': 0.25572519083969464, 'the': 0.22137404580152673, 'breaking': 0.003816793893129771, 'a': 0.08396946564885496, 'load': 0.003816793893129771, 'to': 0.003816793893129771, 'your': 0.019083969465648856, 'ya': 0.011450381679389313, 'they': 0.007633587786259542, 'my': 0.04198473282442748, 'somethin': 0.003816793893129771, 'nothin': 0.003816793893129771, 'real': 0.015267175572519083, 'it': 0.007633587786259542, 'this': 0.06870229007633588, 'miles': 0.003816793893129771, '10': 0.003816793893129771, 'time': 0.003816793893129771, 'i': 0.007633587786259542, 'sure': 0.011450381679389313, 'niggas': 0.003816793893129771, 'today': 0.003816793893129771, 'yours': 0.015267175572519083, '20': 0.003816793893129771, '40': 0.003816793893129771, 'about': 0.003816793893129771, 'seattle': 0.003816793893129771, '30': 0.003816793893129771, 'chips': 0.026717557251908396, 'that': 0.003816793893129771, 'cops': 0.003816793893129771, 'life': 0.003816793893129771, 'doing': 0.003816793893129771, 'forgiveness': 0.003816793893129771, 'thrill': 0.003816793893129771, 'you': 0.030534351145038167, 'hire': 0.003816793893129771, 'hours': 0.007633587786259542, 'spice': 0.003816793893129771, 'kid': 0.003816793893129771, 'trying': 0.003816793893129771, 'these': 0.003816793893129771, 'knocking': 0.003816793893129771, 'later': 0.003816793893129771, 'just': 0.003816793893129771, 'yourself': 0.007633587786259542, 'all': 0.003816793893129771, 'two': 0.007633587786259542, 'grams': 0.003816793893129771, 'lifers': 0.003816793893129771, '2': 0.003816793893129771, 'nombre': 0.003816793893129771, 'sleeping': 0.003816793893129771, 'came': 0.003816793893129771, 'see': 0.003816793893129771, 'got': 0.003816793893129771, 'every': 0.003816793893129771, 'house': 0.003816793893129771}"
