Word,Frequency
theres,"{'gon': 0.125, 'no': 0.375, 'one': 0.0625, 'a': 0.375, 'another': 0.0625}"
gon,"{'be': 0.16, 'see': 0.08, 'make': 0.08, 'last': 0.04, 'do': 0.04, 'revenge': 0.04, 'remember': 0.04, 'gun': 0.04, 'wet': 0.04, 'think': 0.08, 'realize': 0.04, 'change': 0.04, 'loose': 0.04, 'need': 0.04, 'have': 0.04, 'never': 0.04, 'bite': 0.04, 'show': 0.04, 'take': 0.04}"
be,"{'some': 0.017142857142857144, 'able': 0.011428571428571429, 'closecaptioned': 0.011428571428571429, 'played': 0.011428571428571429, 'worried': 0.011428571428571429, 'hot': 0.011428571428571429, 'smothered': 0.011428571428571429, 'the': 0.05142857142857143, 'til': 0.005714285714285714, 'at': 0.011428571428571429, 'headed': 0.005714285714285714, 'by': 0.005714285714285714, 'tripping': 0.005714285714285714, 'no': 0.02857142857142857, 'stopped': 0.022857142857142857, 'saying': 0.005714285714285714, 'used': 0.02857142857142857, 'there': 0.005714285714285714, 'making': 0.005714285714285714, 'all': 0.005714285714285714, 'missing': 0.005714285714285714, 'one': 0.011428571428571429, 'cured': 0.005714285714285714, 'deleted': 0.005714285714285714, 'eaten': 0.005714285714285714, 'careful': 0.005714285714285714, 'standing': 0.011428571428571429, 'my': 0.11428571428571428, 'seen': 0.005714285714285714, 'a': 0.07428571428571429, 'ashamed': 0.005714285714285714, 'your': 0.05142857142857143, 'surprised': 0.011428571428571429, 'proud': 0.005714285714285714, 'sentenced': 0.005714285714285714, 'right': 0.005714285714285714, 'damned': 0.005714285714285714, 'responsible': 0.005714285714285714, 'runnin': 0.005714285714285714, 'men': 0.005714285714285714, 'but': 0.011428571428571429, 'stop': 0.011428571428571429, 'dumping': 0.005714285714285714, 'bout': 0.011428571428571429, 'on': 0.011428571428571429, 'phoney': 0.005714285714285714, 'carried': 0.005714285714285714, 'like': 0.005714285714285714, 'illegal': 0.005714285714285714, 'addin': 0.005714285714285714, 'new': 0.005714285714285714, 'doggin': 0.005714285714285714, 'hogging': 0.005714285714285714, 'mobbing': 0.005714285714285714, '100100': 0.005714285714285714, 'inseparable': 0.005714285714285714, 'honest': 0.005714285714285714, 'redramatized': 0.005714285714285714, 'it': 0.017142857142857144, 'told': 0.005714285714285714, 'so': 0.011428571428571429, 'pushin': 0.005714285714285714, 'murdered': 0.005714285714285714, 'and': 0.011428571428571429, 'rich': 0.005714285714285714, 'i': 0.005714285714285714, 'its': 0.005714285714285714, 'out': 0.011428571428571429, 'human': 0.005714285714285714, 'movin': 0.005714285714285714, 'punk': 0.005714285714285714, 'dumpin': 0.005714285714285714, 'passive': 0.005714285714285714, 'said': 0.005714285714285714, 'killed': 0.005714285714285714, 'old': 0.005714285714285714, 'scarface': 0.005714285714285714, 'testing': 0.005714285714285714, 'made': 0.011428571428571429, 'shot': 0.005714285714285714, 'free': 0.005714285714285714, 'confused': 0.005714285714285714, 'exposed': 0.005714285714285714, 'deceiving': 0.005714285714285714, 'life': 0.005714285714285714, 'leaving': 0.005714285714285714, 'bound': 0.005714285714285714, 'leery': 0.005714285714285714, 'rain': 0.005714285714285714, 'pain': 0.005714285714285714, 'dressing': 0.005714285714285714, 'an': 0.005714285714285714, 'thinking': 0.005714285714285714, 'hard': 0.005714285714285714, 'bygone': 0.005714285714285714}"
some,"{'stuff': 0.034482758620689655, 'see': 0.034482758620689655, 'shoes': 0.017241379310344827, 'nam': 0.017241379310344827, 'dust': 0.017241379310344827, 'guy': 0.017241379310344827, 'of': 0.05172413793103448, 'cold': 0.017241379310344827, 'dollars': 0.017241379310344827, 'new': 0.017241379310344827, 'fiends': 0.017241379310344827, 'other': 0.017241379310344827, 'niggas': 0.06896551724137931, 'company': 0.017241379310344827, 'bullets': 0.034482758620689655, 'quick': 0.017241379310344827, 'motherfuckers': 0.017241379310344827, 'shit': 0.05172413793103448, 'game': 0.017241379310344827, 'ass': 0.017241379310344827, 'love': 0.034482758620689655, 'skills': 0.017241379310344827, 'street': 0.017241379310344827, 'nigga': 0.017241379310344827, 'nonsense': 0.017241379310344827, 'help': 0.017241379310344827, 'muthafuckin': 0.13793103448275862, 'but': 0.017241379310344827, 'laughs': 0.017241379310344827, 'still': 0.017241379310344827, 'you': 0.017241379310344827, 'life': 0.017241379310344827, 'crumbs': 0.017241379310344827, 'kis': 0.017241379310344827, 'dope': 0.017241379310344827, 'now': 0.017241379310344827, 'i': 0.017241379310344827, 'plastic': 0.017241379310344827, 'cry': 0.017241379310344827, 'people': 0.017241379310344827}"
stuff,"{'you': 0.6666666666666666, 'and': 0.3333333333333333}"
you,"{'gon': 0.008298755186721992, 'see': 0.04149377593360996, 'gotta': 0.015214384508990318, 'believe': 0.0027662517289073307, 'can': 0.07468879668049792, 'still': 0.005532503457814661, 'smile': 0.030428769017980636, 'lookin': 0.0027662517289073307, 'black': 0.004149377593360996, 'aint': 0.02627939142461964, 'through': 0.004149377593360996, 'ever': 0.0027662517289073307, 'journey': 0.0013831258644536654, 'safe': 0.0013831258644536654, 'as': 0.0013831258644536654, 'pass': 0.0013831258644536654, 'headed': 0.0013831258644536654, 'need': 0.0027662517289073307, 'turn': 0.0013831258644536654, 'know': 0.030428769017980636, 'think': 0.008298755186721992, 'do': 0.005532503457814661, 'the': 0.0013831258644536654, 'swell': 0.0013831258644536654, 'gasket': 0.0013831258644536654, 'dont': 0.019363762102351315, 'gonna': 0.004149377593360996, 'get': 0.019363762102351315, 'talkin': 0.0013831258644536654, 'fool': 0.0027662517289073307, 'stay': 0.004149377593360996, 'took': 0.0027662517289073307, 'used': 0.004149377593360996, 'breathin': 0.0013831258644536654, 'kinda': 0.0013831258644536654, 'hold': 0.0013831258644536654, 'keep': 0.0013831258644536654, 'fight': 0.0013831258644536654, 'outta': 0.0027662517289073307, 'start': 0.0013831258644536654, 'standing': 0.0013831258644536654, 'never': 0.006915629322268326, 'ready': 0.0013831258644536654, 'either': 0.0027662517289073307, 'slanging': 0.0013831258644536654, 'had': 0.004149377593360996, 'stayed': 0.0013831258644536654, 'made': 0.004149377593360996, 'a': 0.012448132780082987, 'left': 0.0013831258644536654, 'came': 0.0027662517289073307, 'prolly': 0.0013831258644536654, 'wake': 0.0027662517289073307, 'going': 0.0027662517289073307, 'owe': 0.0013831258644536654, 'to': 0.008298755186721992, 'wants': 0.0013831258644536654, 'slipped': 0.0013831258644536654, 'sleep': 0.004149377593360996, 'sho': 0.0013831258644536654, 'got': 0.017980636237897647, 'at': 0.0027662517289073307, 'and': 0.011065006915629323, 'stain': 0.0013831258644536654, 'with': 0.0013831258644536654, 'outside': 0.0013831258644536654, 'die': 0.0027662517289073307, 'motherfuckers': 0.011065006915629323, 'put': 0.004149377593360996, 'fucking': 0.008298755186721992, 'one': 0.009681881051175657, 'trying': 0.0027662517289073307, 'criticize': 0.0013831258644536654, 'best': 0.0013831258644536654, 'vomit': 0.0013831258644536654, 'feel': 0.0027662517289073307, 'punk': 0.0013831258644536654, 'dissing': 0.0013831258644536654, 'couldnt': 0.004149377593360996, 'must': 0.006915629322268326, 'hoes': 0.006915629322268326, 'mine': 0.0013831258644536654, 'fuck': 0.004149377593360996, 'said': 0.0013831258644536654, 'killing': 0.0013831258644536654, 'let': 0.004149377593360996, 'so': 0.0027662517289073307, 'getting': 0.0027662517289073307, 'its': 0.0027662517289073307, 'help': 0.0027662517289073307, 'hate': 0.0013831258644536654, 'i': 0.011065006915629323, 'sit': 0.0013831258644536654, 'probably': 0.0027662517289073307, 'only': 0.005532503457814661, 'come': 0.005532503457814661, 'riding': 0.0013831258644536654, 'saying': 0.0013831258644536654, 'home': 0.0013831258644536654, 'could': 0.006915629322268326, 'show': 0.004149377593360996, 'loved': 0.0027662517289073307, 'grace': 0.0013831258644536654, 'make': 0.004149377593360996, 'expect': 0.0013831258644536654, 'believed': 0.0013831258644536654, 'willing': 0.0013831258644536654, 'find': 0.0013831258644536654, 'mean': 0.0013831258644536654, 'back': 0.004149377593360996, 'cant': 0.02627939142461964, 'imagine': 0.0013831258644536654, 'on': 0.0013831258644536654, 'all': 0.0013831258644536654, 'wanna': 0.006915629322268326, 'because': 0.0013831258644536654, 'been': 0.0013831258644536654, 'handle': 0.0013831258644536654, 'thought': 0.004149377593360996, 'consider': 0.0013831258644536654, 'should': 0.004149377593360996, 'wont': 0.008298755186721992, 'remember': 0.0013831258644536654, 'is': 0.0013831258644536654, 'have': 0.0027662517289073307, 'you': 0.006915629322268326, 'call': 0.0013831258644536654, 'drawing': 0.0013831258644536654, 'catch': 0.004149377593360996, 'boys': 0.0027662517289073307, 'in': 0.0027662517289073307, 'check': 0.0013831258644536654, 'take': 0.0013831258644536654, 'did': 0.006915629322268326, 'dead': 0.0013831258644536654, 'straight': 0.0013831258644536654, 'give': 0.0027662517289073307, 'forgiveness': 0.0013831258644536654, 'up': 0.0027662517289073307, 'outwhat': 0.0013831258644536654, 'badbut': 0.0013831258644536654, 'not': 0.0013831258644536654, 'sad': 0.0027662517289073307, 'blame': 0.0013831258644536654, 'sanecall': 0.0013831258644536654, 'maryjanedo': 0.0013831258644536654, 'my': 0.0013831258644536654, 'hang': 0.0013831258644536654, 'everything': 0.0013831258644536654, 'selling': 0.0013831258644536654, 'dirty': 0.0027662517289073307, 'was': 0.017980636237897647, 'more': 0.0013831258644536654, 'hey': 0.0027662517289073307, 'niggas': 0.017980636237897647, 'stand': 0.0027662517289073307, 'gain': 0.0013831258644536654, 'bitches': 0.0027662517289073307, 'they': 0.0013831258644536654, 'where': 0.0013831258644536654, 'hear': 0.019363762102351315, 'gots': 0.0013831258644536654, 'touch': 0.004149377593360996, 'mind': 0.0013831258644536654, 'havent': 0.0013831258644536654, 'deaden': 0.0013831258644536654, 'pulled': 0.0013831258644536654, 'off': 0.0027662517289073307, 'rolling': 0.0027662517289073307, 'out': 0.006915629322268326, 'bitch': 0.0013831258644536654, 'motherfucker': 0.0013831258644536654, 'hoping': 0.004149377593360996, 'staying': 0.0013831258644536654, 'downin': 0.0013831258644536654, 'chose': 0.0013831258644536654, 'barely': 0.0013831258644536654, 'drink': 0.0013831258644536654, 'this': 0.0013831258644536654, 'addicted': 0.0013831258644536654, 'gave': 0.0013831258644536654, 'ok': 0.0013831258644536654, 'disobey': 0.0013831258644536654, 'pay': 0.0013831258644536654, 'acting': 0.004149377593360996, 'want': 0.006915629322268326, 'answer': 0.0013831258644536654, 'change': 0.0013831258644536654, 'we': 0.0013831258644536654, 'set': 0.0013831258644536654, 'that': 0.0027662517289073307, 'done': 0.005532503457814661, 'talk': 0.0013831258644536654, 'might': 0.0013831258644536654, 'may': 0.0013831258644536654, 'from': 0.0013831258644536654, 'expecting': 0.0013831258644536654, 'trap': 0.0013831258644536654, 'are': 0.0013831258644536654, 'nigga': 0.0013831258644536654, 'funky': 0.0013831258644536654, 'for': 0.0027662517289073307, 'nah': 0.0013831258644536654, 'hoesll': 0.0013831258644536654, 'slippin': 0.0013831258644536654, 'audi': 0.0013831258644536654, 'mentality': 0.0013831258644536654, 'told': 0.0013831258644536654, 'hustled': 0.0013831258644536654, 'shoulda': 0.004149377593360996, 'again': 0.0013831258644536654, 'follow': 0.0013831258644536654, 'go': 0.0013831258644536654, 'rose': 0.0013831258644536654, 'parted': 0.0013831258644536654, 'but': 0.0013831258644536654, 'explain': 0.0013831258644536654, 'now': 0.0013831258644536654, 'step': 0.0013831258644536654, 'better': 0.0027662517289073307, 'rarely': 0.0013831258644536654, 'spittin': 0.0013831258644536654, 'fin': 0.0013831258644536654, 'sellin': 0.0013831258644536654, 'respect': 0.0013831258644536654, 'disrespect': 0.0013831258644536654, 'ass': 0.0013831258644536654, 'what': 0.0013831258644536654, 'cut': 0.0013831258644536654, 'lil': 0.0027662517289073307, 'saw': 0.0013831258644536654, '25': 0.0013831258644536654, 'promised': 0.0013831258644536654, 'gettin': 0.0013831258644536654, 'run': 0.0013831258644536654, 'woulda': 0.0013831258644536654, 'claim': 0.0013831258644536654, 'real': 0.0013831258644536654, 'im': 0.0013831258644536654, 'crackrs': 0.0013831258644536654, 'just': 0.0013831258644536654, 'especially': 0.0013831258644536654, 'look': 0.0027662517289073307, 'leak': 0.0013831258644536654, 'time': 0.0013831258644536654, 'seemed': 0.0013831258644536654, 'crazy': 0.0013831258644536654, 'say': 0.0027662517289073307, 'if': 0.0013831258644536654, 'win': 0.0013831258644536654, 'lose': 0.0013831258644536654, 'bad': 0.0013831258644536654, 'sentenced': 0.0013831258644536654, 'fighting': 0.0013831258644536654, 'fucked': 0.0027662517289073307, 'like': 0.0013831258644536654, '35': 0.0013831258644536654, 'down': 0.0027662517289073307, 'livin': 0.0013831258644536654, 'cruel': 0.0013831258644536654, 'tried': 0.0013831258644536654, 'snoozed': 0.0013831258644536654, 'bout': 0.0013831258644536654, 'thats': 0.0013831258644536654, 'guessed': 0.0013831258644536654, 'first': 0.0013831258644536654, 'stepped': 0.0013831258644536654, 'hustle': 0.0013831258644536654, 'eat': 0.0013831258644536654, 'gamble': 0.0013831258644536654, 'lame': 0.0013831258644536654, 'cross': 0.0013831258644536654, 'shoot': 0.0013831258644536654, 'would': 0.0013831258644536654, 'figure': 0.0013831258644536654, 'youngstas': 0.0013831258644536654, 'finally': 0.0013831258644536654, 'hand': 0.0013831258644536654, 'tryin': 0.0013831258644536654, 'always': 0.0013831258644536654, 'her': 0.0013831258644536654, 'ask': 0.0013831258644536654}"
see,"{'thats': 0.021739130434782608, 'through': 0.021739130434782608, 'me': 0.13043478260869565, 'a': 0.036231884057971016, 'the': 0.10144927536231885, 'yourself': 0.007246376811594203, 'where': 0.007246376811594203, 'how': 0.007246376811594203, 'your': 0.036231884057971016, 'on': 0.007246376811594203, 'it': 0.057971014492753624, 'her': 0.021739130434782608, 'what': 0.028985507246376812, 'i': 0.07971014492753623, 'you': 0.028985507246376812, 'my': 0.057971014492753624, 'em': 0.007246376811594203, 'just': 0.007246376811594203, 'his': 0.007246376811594203, 'him': 0.007246376811594203, 'that': 0.036231884057971016, 'ceos': 0.007246376811594203, 'squirts': 0.007246376811594203, 'another': 0.021739130434782608, 'huh': 0.007246376811594203, 'in': 0.007246376811594203, 'if': 0.014492753623188406, 'its': 0.007246376811594203, 'who': 0.007246376811594203, 'im': 0.014492753623188406, 'dad': 0.007246376811594203, 'c': 0.007246376811594203, '21': 0.007246376811594203, 'some': 0.06521739130434782, 'now': 0.014492753623188406, 'utp': 0.007246376811594203, 'or': 0.007246376811594203, 'niggas': 0.007246376811594203, 'do': 0.007246376811594203, 'when': 0.007246376811594203, 'and': 0.007246376811594203, 'can': 0.007246376811594203, 'then': 0.007246376811594203, 'peace': 0.007246376811594203, 'saw': 0.007246376811594203, 'was': 0.007246376811594203, 'this': 0.007246376811594203}"
thats,"{'gon': 0.017857142857142856, 'right': 0.017857142857142856, 'why': 0.08928571428571429, 'on': 0.008928571428571428, 'how': 0.0625, 'me': 0.008928571428571428, 'left': 0.03571428571428571, 'my': 0.03571428571428571, 'hard': 0.008928571428571428, 'the': 0.14285714285714285, 'what': 0.11607142857142858, 'just': 0.008928571428571428, 'it': 0.017857142857142856, 'your': 0.03571428571428571, 'a': 0.07142857142857142, 'about': 0.017857142857142856, 'doin': 0.008928571428571428, 'in': 0.008928571428571428, 'inshallah': 0.008928571428571428, 'sick': 0.008928571428571428, 'leaving': 0.008928571428571428, 'killing': 0.008928571428571428, '3': 0.008928571428571428, 'been': 0.008928571428571428, 'stuck': 0.008928571428571428, 'really': 0.008928571428571428, 'some': 0.008928571428571428, 'insane': 0.017857142857142856, 'that': 0.017857142857142856, 'widely': 0.008928571428571428, 'life': 0.008928571428571428, 'true': 0.008928571428571428, 'dead': 0.008928571428571428, 'constantly': 0.008928571428571428, 'equal': 0.008928571428571428, 'enough': 0.008928571428571428, 'when': 0.07142857142857142, 'fucked': 0.008928571428571428, 'one': 0.008928571428571428, 'where': 0.008928571428571428, 'cool': 0.008928571428571428}"
make,"{'it': 0.24324324324324326, 'the': 0.08108108108108109, 'me': 0.14864864864864866, 'a': 0.14864864864864866, 'for': 0.013513513513513514, 'you': 0.05405405405405406, 'your': 0.013513513513513514, 'somebody': 0.013513513513513514, 'cause': 0.013513513513513514, 'some': 0.013513513513513514, 'that': 0.013513513513513514, 'him': 0.02702702702702703, 'our': 0.013513513513513514, 'them': 0.02702702702702703, 'sho': 0.013513513513513514, 'us': 0.02702702702702703, 'these': 0.013513513513513514, 'arrangements': 0.013513513513513514, 'though': 0.013513513513513514, 'up': 0.04054054054054054, 'my': 0.013513513513513514, 'sure': 0.013513513513513514, 'important': 0.013513513513513514, 'america': 0.013513513513513514}"
it,"{'hard': 0.007518796992481203, 'change': 0.005012531328320802, 'big': 0.005012531328320802, 'and': 0.02756892230576441, 'leads': 0.002506265664160401, 'down': 0.012531328320802004, 'ugh': 0.002506265664160401, 'back': 0.010025062656641603, 'niggas': 0.002506265664160401, 'straight': 0.002506265664160401, 'came': 0.007518796992481203, 'all': 0.03007518796992481, 'yallyall': 0.002506265664160401, 'here': 0.002506265664160401, 'once': 0.002506265664160401, 'at': 0.007518796992481203, 'still': 0.005012531328320802, 'one': 0.007518796992481203, 'aint': 0.06766917293233082, 'easy': 0.002506265664160401, 'last': 0.002506265664160401, 'for': 0.010025062656641603, 'in': 0.017543859649122806, 'be': 0.010025062656641603, 'go': 0.007518796992481203, 'though': 0.002506265664160401, 'til': 0.002506265664160401, 'but': 0.020050125313283207, 'up': 0.022556390977443608, 'free': 0.002506265664160401, 'was': 0.03508771929824561, 'on': 0.03258145363408521, 'around': 0.002506265664160401, 'it': 0.005012531328320802, 'cause': 0.010025062656641603, 'comes': 0.002506265664160401, 'so': 0.012531328320802004, 'feel': 0.002506265664160401, 'now': 0.012531328320802004, 'like': 0.007518796992481203, 'with': 0.010025062656641603, 'seems': 0.020050125313283207, 'replied': 0.002506265664160401, 'then': 0.002506265664160401, 'made': 0.005012531328320802, 'they': 0.005012531328320802, 'sucking': 0.002506265664160401, 'i': 0.03258145363408521, 'cool': 0.007518796992481203, 'hugged': 0.002506265664160401, 'right': 0.005012531328320802, 'curable': 0.005012531328320802, 'youll': 0.002506265664160401, 'when': 0.015037593984962405, 'is': 0.010025062656641603, 'this': 0.012531328320802004, 'how': 0.005012531328320802, 'she': 0.002506265664160401, 'went': 0.002506265664160401, 'had': 0.002506265664160401, 'lowpro': 0.002506265664160401, 'its': 0.002506265664160401, 'run': 0.002506265664160401, 'put': 0.002506265664160401, 'fiendsll': 0.002506265664160401, 'fred': 0.002506265664160401, 'kinda': 0.002506265664160401, 'opened': 0.002506265664160401, 'lifelike': 0.002506265664160401, 'to': 0.012531328320802004, 'quick': 0.005012531328320802, 'feels': 0.005012531328320802, 'real': 0.010025062656641603, 'out': 0.015037593984962405, 'loves': 0.005012531328320802, 'bout': 0.005012531328320802, 'long': 0.005012531328320802, 'plain': 0.002506265664160401, 'makes': 0.002506265664160401, 'take': 0.002506265664160401, 'goin': 0.002506265664160401, 'raised': 0.002506265664160401, 'a': 0.005012531328320802, 'we': 0.005012531328320802, 'dont': 0.005012531328320802, 'fuck': 0.002506265664160401, 'home': 0.012531328320802004, 'together': 0.002506265664160401, 'inside': 0.005012531328320802, 'cant': 0.002506265664160401, 'you': 0.015037593984962405, 'movin': 0.03007518796992481, 'were': 0.007518796992481203, 'pulled': 0.002506265664160401, 'got': 0.005012531328320802, 'just': 0.010025062656641603, 'dope': 0.002506265664160401, 'rap': 0.002506265664160401, 'street': 0.002506265664160401, 'several': 0.002506265664160401, 'fucked': 0.002506265664160401, 'took': 0.005012531328320802, 'im': 0.007518796992481203, 'that': 0.005012531328320802, 'hot': 0.002506265664160401, 'no': 0.005012531328320802, 'finally': 0.002506265664160401, 'by': 0.005012531328320802, 'going': 0.002506265664160401, 'where': 0.002506265664160401, 'man': 0.002506265664160401, 'come': 0.002506265664160401, 'changes': 0.002506265664160401, 'motherfuckers': 0.002506265664160401, 'playin': 0.002506265664160401, 'every': 0.007518796992481203, 'could': 0.002506265664160401, 'slide': 0.002506265664160401, 'hops': 0.002506265664160401, 'rip': 0.002506265664160401, 'the': 0.015037593984962405, 'mildmannered': 0.002506265664160401, 'done': 0.002506265664160401, 'as': 0.002506265664160401, 'wouldnt': 0.002506265664160401, 'happens': 0.005012531328320802, 'way': 0.002506265664160401, 'nothin': 0.002506265664160401, 'might': 0.002506265664160401, 'gave': 0.002506265664160401, 'blame': 0.002506265664160401, 'sold': 0.002506265664160401, 'nickels': 0.002506265664160401, 'really': 0.002506265664160401, 'better': 0.012531328320802004, 'sounds': 0.002506265664160401, 'reminds': 0.002506265664160401, 'off': 0.007518796992481203, 'die': 0.002506265664160401, 'see': 0.002506265664160401, 'away': 0.002506265664160401, 'used': 0.005012531328320802, 'from': 0.002506265664160401, 'would': 0.002506265664160401, 'nilla': 0.002506265664160401, 'my': 0.002506265664160401, 'gets': 0.002506265664160401, 'happened': 0.002506265664160401, 'again': 0.002506265664160401, 'why': 0.002506265664160401, 'hit': 0.002506265664160401, 'high': 0.002506265664160401, 'apart': 0.002506265664160401, 'hurt': 0.002506265664160401, 'started': 0.002506265664160401, 'said': 0.002506265664160401, 'your': 0.002506265664160401}"
