Word,Frequency
ugh,"{'hahaha': 0.5, 'couldnt': 0.5}"
hahaha,"{'im': 0.5, 'and': 0.5}"
im,"{'serious': 0.0029585798816568047, 'just': 0.029585798816568046, 'fucked': 0.005917159763313609, 'still': 0.01775147928994083, 'raising': 0.0029585798816568047, 'out': 0.008875739644970414, 'pourin': 0.011834319526627219, 'a': 0.03254437869822485, 'on': 0.026627218934911243, 'only': 0.0029585798816568047, 'feeling': 0.011834319526627219, 'through': 0.0029585798816568047, 'kurupt': 0.0029585798816568047, 'too': 0.014792899408284023, 'all': 0.014792899408284023, 'struggling': 0.0029585798816568047, 'snoop': 0.014792899408284023, 'gonna': 0.029585798816568046, 'shaking': 0.0029585798816568047, 'screaming': 0.0029585798816568047, 'fresh': 0.008875739644970414, 'rolling': 0.005917159763313609, 'greedy': 0.0029585798816568047, 'true': 0.0029585798816568047, '19': 0.0029585798816568047, 'loco': 0.0029585798816568047, 'from': 0.01775147928994083, 'mobbin': 0.0029585798816568047, 'tired': 0.0029585798816568047, 'sittin': 0.0029585798816568047, 'always': 0.0029585798816568047, 'choosin': 0.0029585798816568047, 'groomed': 0.0029585798816568047, 'thinkin': 0.0029585798816568047, 'bout': 0.0029585798816568047, 'finna': 0.0029585798816568047, 'servin': 0.005917159763313609, 'somewhat': 0.0029585798816568047, 'not': 0.05325443786982249, 'kickin': 0.005917159763313609, 'in': 0.047337278106508875, 'like': 0.023668639053254437, 'saying': 0.011834319526627219, 'hearing': 0.0029585798816568047, 'back': 0.008875739644970414, 'the': 0.03550295857988166, 'coming': 0.008875739644970414, 'for': 0.0029585798816568047, 'dumpin': 0.0029585798816568047, 'unique': 0.0029585798816568047, 'dishin': 0.0029585798816568047, 'upsettin': 0.0029585798816568047, 'runnin': 0.0029585798816568047, 'head': 0.0029585798816568047, 'goin': 0.0029585798816568047, 'tryin': 0.005917159763313609, 'talking': 0.01775147928994083, 'with': 0.008875739644970414, 'at': 0.005917159763313609, 'internationally': 0.0029585798816568047, 'movin': 0.0029585798816568047, 'down': 0.05917159763313609, 'riding': 0.0029585798816568047, 'busting': 0.0029585798816568047, 'headed': 0.0029585798816568047, 'fly': 0.0029585798816568047, 'high': 0.0029585798816568047, 'crazy': 0.0029585798816568047, 'hittin': 0.0029585798816568047, 'climbin': 0.0029585798816568047, 'rollin': 0.005917159763313609, 'getting': 0.0029585798816568047, 'so': 0.005917159763313609, 'eating': 0.0029585798816568047, 'wise': 0.0029585798816568047, 'sipping': 0.0029585798816568047, 'chopping': 0.0029585798816568047, 'hella': 0.0029585798816568047, 'nothing': 0.0029585798816568047, 'happy': 0.0029585798816568047, 'learning': 0.0029585798816568047, 'reachin': 0.0029585798816568047, 'more': 0.0029585798816568047, 'spreading': 0.0029585798816568047, 'here': 0.0029585798816568047, 'sippin': 0.0029585798816568047, 'catchy': 0.0029585798816568047, 'that': 0.020710059171597635, 'about': 0.005917159763313609, 'def': 0.0029585798816568047, 'sayin': 0.0029585798816568047, 'trying': 0.0029585798816568047, 'living': 0.0029585798816568047, 'connected': 0.0029585798816568047, 'strong': 0.0029585798816568047, 'nothin': 0.005917159763313609, 'leanin': 0.005917159763313609, 'ridin': 0.005917159763313609, 'livin': 0.011834319526627219, 'one': 0.0029585798816568047, 'shakin': 0.0029585798816568047, 'fuckin': 0.0029585798816568047, 'satisfied': 0.0029585798816568047, 'strapped': 0.0029585798816568047, 'hopeless': 0.0029585798816568047, 'slipping': 0.0029585798816568047, 'fishing': 0.0029585798816568047, 'caught': 0.0029585798816568047, 'tryna': 0.0029585798816568047, 'oh': 0.0029585798816568047, 'cappin': 0.0029585798816568047, 'tearin': 0.005917159763313609, 'mass': 0.0029585798816568047, 'raw': 0.0029585798816568047, 'rugged': 0.0029585798816568047, 'puttin': 0.0029585798816568047, 'stranded': 0.0029585798816568047, 'callin': 0.0029585798816568047, 'dr': 0.0029585798816568047, 'stuck': 0.0029585798816568047, 'gon': 0.005917159763313609, 'your': 0.05621301775147929, 'doing': 0.005917159763313609, 'making': 0.0029585798816568047, 'doin': 0.0029585798816568047, 'gone': 0.0029585798816568047, 'worldwide': 0.0029585798816568047, 'puffin': 0.005917159763313609, 'havin': 0.008875739644970414, 'shining': 0.008875739644970414, 'faded': 0.0029585798816568047, '17': 0.0029585798816568047, 'drippin': 0.0029585798816568047, 'chillin': 0.0029585798816568047, 'diggin': 0.0029585798816568047, 'dope': 0.0029585798816568047, 'chilling': 0.0029585798816568047, 'ready': 0.0029585798816568047, 'almond': 0.0029585798816568047, 'comin': 0.0029585798816568047}"
serious,{'nigga': 1.0}
nigga,"{'one': 0.01015228426395939, 'get': 0.030456852791878174, 'study': 0.005076142131979695, 'with': 0.04060913705583756, 'stop': 0.005076142131979695, 'named': 0.005076142131979695, 'on': 0.01015228426395939, 'mr': 0.005076142131979695, 'nigga': 0.005076142131979695, 'roll': 0.005076142131979695, 'gun': 0.005076142131979695, 'man': 0.01015228426395939, 'yeah': 0.025380710659898477, 'whats': 0.005076142131979695, 'yous': 0.005076142131979695, 'said': 0.005076142131979695, 'slick': 0.005076142131979695, '20s': 0.005076142131979695, 'run': 0.030456852791878174, 'blaow': 0.06091370558375635, 'duck': 0.030456852791878174, 'that': 0.02030456852791878, 'really': 0.005076142131979695, 'straight': 0.005076142131979695, 'the': 0.015228426395939087, 'like': 0.03553299492385787, 'dr': 0.005076142131979695, 'who': 0.025380710659898477, 'home': 0.005076142131979695, 'wed': 0.005076142131979695, 'behind': 0.005076142131979695, 'im': 0.01015228426395939, 'please': 0.01015228426395939, 'you': 0.06598984771573604, 'and': 0.015228426395939087, 'haha': 0.005076142131979695, 'dont': 0.025380710659898477, 'anyfuckingtime': 0.005076142131979695, 'anyfuckingwhere': 0.005076142131979695, 'out': 0.01015228426395939, 'just': 0.01015228426395939, 'bloody': 0.005076142131979695, 'snoop': 0.01015228426395939, 'this': 0.005076142131979695, 'trippin': 0.005076142131979695, 'if': 0.01015228426395939, 'in': 0.01015228426395939, 'but': 0.005076142131979695, 'put': 0.005076142131979695, 'better': 0.01015228426395939, 'slip': 0.01015228426395939, 'when': 0.005076142131979695, 'look': 0.005076142131979695, 'living': 0.005076142131979695, 'say': 0.005076142131979695, 'dre': 0.005076142131979695, 'hustlin': 0.005076142131979695, 'sndoubleop': 0.005076142131979695, 'i': 0.015228426395939087, 'grind': 0.01015228426395939, 'talkin': 0.005076142131979695, 'go': 0.005076142131979695, 'detoxing': 0.005076142131979695, 'had': 0.005076142131979695, 'slap': 0.005076142131979695, 'doggy': 0.04060913705583756, 'pump': 0.005076142131979695, 'known': 0.005076142131979695, 'it': 0.005076142131979695, 'set': 0.005076142131979695, 'money': 0.005076142131979695, 'wanna': 0.005076142131979695, 'see': 0.005076142131979695, 'thats': 0.015228426395939087, 'back': 0.005076142131979695, 'from': 0.005076142131979695, 'drop': 0.005076142131979695, 'about': 0.005076142131979695, 'we': 0.030456852791878174, 'welcome': 0.005076142131979695, 'radio': 0.005076142131979695, 'make': 0.005076142131979695, 'colder': 0.005076142131979695, 'know': 0.005076142131979695, 'kid': 0.005076142131979695, 'conyo': 0.005076142131979695, 'its': 0.005076142131979695, 'sue': 0.005076142131979695, 'rightis': 0.005076142131979695, 'understand': 0.005076142131979695, 'is': 0.005076142131979695, 'well': 0.005076142131979695, 'shot': 0.005076142131979695, 'eat': 0.005076142131979695, 'rack': 0.005076142131979695, 'fuck': 0.01015228426395939, 'up': 0.005076142131979695}"
one,"{'of': 0.1323529411764706, 'yep': 0.014705882352941176, 'goes': 0.014705882352941176, 'trickass': 0.014705882352941176, 'for': 0.014705882352941176, 'eight': 0.014705882352941176, 'less': 0.014705882352941176, 'foot': 0.014705882352941176, 'im': 0.014705882352941176, 'umm': 0.014705882352941176, 'but': 0.014705882352941176, 'two': 0.058823529411764705, 'i': 0.029411764705882353, 'its': 0.014705882352941176, 'gun': 0.029411764705882353, 'to': 0.04411764705882353, 'where': 0.014705882352941176, 'motherfucker': 0.014705882352941176, 'pan': 0.014705882352941176, 'night': 0.014705882352941176, 'imagine': 0.014705882352941176, 'god': 0.014705882352941176, 'however': 0.014705882352941176, 'thing': 0.014705882352941176, 'rude': 0.029411764705882353, 'up': 0.014705882352941176, 'is': 0.029411764705882353, 'the': 0.014705882352941176, 'one': 0.014705882352941176, 'time': 0.014705882352941176, 'bloodin': 0.014705882352941176, 'crippin': 0.014705882352941176, 'cause': 0.029411764705882353, 'working': 0.014705882352941176, 'next': 0.014705882352941176, 'hundred': 0.014705882352941176, 'fans': 0.014705882352941176, 'smoke': 0.058823529411764705, 'when': 0.029411764705882353, 'and': 0.04411764705882353, 'else': 0.014705882352941176, 'way': 0.014705882352941176, 'candy': 0.014705882352941176, 'baller': 0.014705882352941176}"
of,"{'yall': 0.027624309392265192, 'hard': 0.0055248618784530384, 'rubbers': 0.0055248618784530384, 'shit': 0.016574585635359115, 'the': 0.19889502762430938, 'these': 0.027624309392265192, 'tanqueray': 0.0055248618784530384, 'some': 0.0055248618784530384, 'it': 0.016574585635359115, 'compton': 0.0055248618784530384, 'fine': 0.0055248618784530384, 'hoes': 0.011049723756906077, 'me': 0.022099447513812154, 'fact': 0.0055248618784530384, 'him': 0.0055248618784530384, 'so': 0.0055248618784530384, 'them': 0.027624309392265192, 'olay': 0.0055248618784530384, 'you': 0.016574585635359115, 'rocks': 0.0055248618784530384, 'em': 0.027624309392265192, 'guys': 0.016574585635359115, 'his': 0.016574585635359115, 'hearin': 0.0055248618784530384, 'that': 0.055248618784530384, 'this': 0.027624309392265192, 'noodles': 0.0055248618784530384, 'daz': 0.0055248618784530384, 'patron': 0.0055248618784530384, 'silence': 0.011049723756906077, 'life': 0.0055248618784530384, 'a': 0.027624309392265192, 'dog': 0.0055248618784530384, 'your': 0.016574585635359115, 'smoke': 0.0055248618784530384, 'dirt': 0.0055248618784530384, 'paranoia': 0.0055248618784530384, 'hell': 0.0055248618784530384, 'minolta': 0.0055248618784530384, 'misfits': 0.0055248618784530384, 'lipstick': 0.0055248618784530384, 'our': 0.0055248618784530384, 'my': 0.049723756906077346, 'god': 0.011049723756906077, 'allah': 0.0055248618784530384, 'land': 0.0055248618784530384, 'baseball': 0.0055248618784530384, 'smell': 0.0055248618784530384, 'women': 0.0055248618784530384, 'clout': 0.0055248618784530384, 'recess': 0.0055248618784530384, 'zig': 0.0055248618784530384, 'sight': 0.0055248618784530384, 'those': 0.011049723756906077, 'fella': 0.0055248618784530384, 'crenshaw': 0.0055248618784530384, 'real': 0.0055248618784530384, 'what': 0.0055248618784530384, 'gangsta': 0.0055248618784530384, 'beef': 0.0055248618784530384, 'tookie': 0.0055248618784530384, 'seconds': 0.0055248618784530384, 'which': 0.0055248618784530384, 'dro': 0.0055248618784530384, 'fool': 0.0055248618784530384, 'seagrams': 0.0055248618784530384, 'pain': 0.0055248618784530384, 'fillin': 0.0055248618784530384, 'dealin': 0.0055248618784530384, 'stealin': 0.0055248618784530384, 'killin': 0.0055248618784530384, 'dawn': 0.0055248618784530384, 'sam': 0.0055248618784530384, 'bud': 0.0055248618784530384, 'death': 0.0055248618784530384, 'pies': 0.0055248618784530384, 'space': 0.0055248618784530384, 'toys': 0.0055248618784530384, 'respect': 0.0055248618784530384, 'better': 0.0055248618784530384, 'christmas': 0.016574585635359115, 'henndawg': 0.0055248618784530384, 'everything': 0.0055248618784530384, 'i': 0.0055248618784530384}"
yall,"{'niggas': 0.16129032258064516, 'knew': 0.03225806451612903, 'come': 0.03225806451612903, 'know': 0.03225806451612903, 'pay': 0.03225806451612903, 'in': 0.03225806451612903, 'been': 0.03225806451612903, 'move': 0.03225806451612903, 'to': 0.03225806451612903, 'tonight': 0.03225806451612903, 'its': 0.03225806451612903, 'go': 0.03225806451612903, 'call': 0.03225806451612903, 'say': 0.03225806451612903, 'i': 0.06451612903225806, 'other': 0.03225806451612903, 'yiggy': 0.03225806451612903, 'stay': 0.03225806451612903, 'with': 0.03225806451612903, 'roll': 0.0967741935483871, 'and': 0.03225806451612903, 'drown': 0.03225806451612903, 'aint': 0.03225806451612903, 'really': 0.03225806451612903}"
niggas,"{'got': 0.015463917525773196, 'fill': 0.005154639175257732, 'do': 0.005154639175257732, 'cant': 0.015463917525773196, 'from': 0.005154639175257732, 'cause': 0.12886597938144329, 'stare': 0.005154639175257732, 'getting': 0.005154639175257732, 'whore': 0.005154639175257732, 'runnin': 0.010309278350515464, 'say': 0.005154639175257732, 'proceed': 0.005154639175257732, 'in': 0.030927835051546393, 'with': 0.02577319587628866, 'when': 0.005154639175257732, 'down': 0.005154639175257732, 'try': 0.005154639175257732, 'be': 0.010309278350515464, 'know': 0.020618556701030927, 'tearin': 0.005154639175257732, 'is': 0.02577319587628866, 'better': 0.005154639175257732, 'up': 0.005154639175257732, 'fuck': 0.1134020618556701, 'i': 0.05154639175257732, 'what': 0.05154639175257732, 'niggas': 0.020618556701030927, 'bitch': 0.005154639175257732, 'put': 0.005154639175257732, 'might': 0.005154639175257732, 'did': 0.005154639175257732, 'snoop': 0.005154639175257732, 'out': 0.010309278350515464, 'thatll': 0.005154639175257732, 'them': 0.005154639175257732, 'yeah': 0.005154639175257732, 'look': 0.005154639175257732, 'wanna': 0.010309278350515464, 'six': 0.005154639175257732, 'anybody': 0.005154639175257732, 'on': 0.005154639175257732, 'through': 0.005154639175257732, 'ride': 0.005154639175257732, 'like': 0.010309278350515464, 'all': 0.010309278350515464, 'think': 0.005154639175257732, 'doing': 0.005154639175257732, 'who': 0.010309278350515464, 'grow': 0.005154639175257732, 'trapped': 0.005154639175257732, 'could': 0.005154639175257732, 'just': 0.010309278350515464, 'been': 0.005154639175257732, 'at': 0.005154639175257732, 'never': 0.005154639175257732, 'kill': 0.005154639175257732, 'they': 0.005154639175257732, 'talkin': 0.005154639175257732, 'dont': 0.030927835051546393, 'gotta': 0.010309278350515464, 'see': 0.010309278350515464, 'sweat': 0.005154639175257732, 'jock': 0.005154639175257732, 'off': 0.005154639175257732, 'shouldve': 0.005154639175257732, 'a': 0.015463917525773196, 'trippin': 0.005154639175257732, 'always': 0.005154639175257732, 'and': 0.061855670103092786, 'wave': 0.020618556701030927, 'get': 0.005154639175257732, 'locked': 0.005154639175257732, 'to': 0.005154639175257732, 'keep': 0.005154639175257732, 'went': 0.005154639175257732, 'that': 0.005154639175257732, 'man': 0.005154639175257732}"
got,"{'some': 0.01775147928994083, 'bitches': 0.005917159763313609, 'a': 0.1301775147928994, 'me': 0.011834319526627219, 'they': 0.005917159763313609, 'to': 0.047337278106508875, 'the': 0.15976331360946747, 'it': 0.07692307692307693, 'five': 0.005917159763313609, 'now': 0.005917159763313609, 'my': 0.029585798816568046, 'his': 0.01775147928994083, 'themselves': 0.005917159763313609, 'somethin': 0.011834319526627219, 'our': 0.005917159763313609, 'nothing': 0.005917159763313609, 'her': 0.04142011834319527, 'mr': 0.005917159763313609, 'more': 0.011834319526627219, 'we': 0.005917159763313609, 'cameras': 0.005917159763313609, 'but': 0.005917159763313609, 'i': 0.011834319526627219, 'this': 0.005917159763313609, 'together': 0.005917159763313609, 'about': 0.005917159763313609, 'and': 0.005917159763313609, 'dues': 0.005917159763313609, 'love': 0.005917159763313609, 'em': 0.25443786982248523, 'into': 0.005917159763313609, 'caught': 0.005917159763313609, 'no': 0.005917159763313609, 'rottweiler': 0.005917159763313609, 'that': 0.011834319526627219, 'money': 0.005917159763313609, 'its': 0.005917159763313609, 'shows': 0.005917159763313609, 'everybody': 0.005917159763313609, 'us': 0.005917159763313609, 'you': 0.005917159763313609, 'food': 0.005917159763313609}"
