Word,Frequency
we,"{'got': 0.04672897196261682, 'in': 0.018691588785046728, 'dont': 0.028037383177570093, 'used': 0.004672897196261682, 'wanted': 0.004672897196261682, 'go': 0.02336448598130841, 'kicked': 0.004672897196261682, 'could': 0.009345794392523364, 'end': 0.009345794392523364, 'mighty': 0.004672897196261682, 'youre': 0.004672897196261682, 'gon': 0.014018691588785047, 'all': 0.014018691588785047, 'did': 0.004672897196261682, 'aint': 0.056074766355140186, 'try': 0.004672897196261682, 'can': 0.06074766355140187, 'cappin': 0.004672897196261682, 'be': 0.02336448598130841, 'just': 0.028037383177570093, 'menagin': 0.004672897196261682, 'kick': 0.014018691588785047, 'walk': 0.009345794392523364, 'ball': 0.004672897196261682, 'saw': 0.004672897196261682, 'will': 0.056074766355140186, 'not': 0.004672897196261682, 'want': 0.009345794392523364, 'roll': 0.009345794392523364, 'rollin': 0.004672897196261682, 'leave': 0.004672897196261682, 'sell': 0.004672897196261682, 'were': 0.056074766355140186, 'turn': 0.004672897196261682, 'say': 0.009345794392523364, 'on': 0.018691588785046728, 'retarded': 0.004672897196261682, 'send': 0.004672897196261682, 'pour': 0.004672897196261682, 'sandwiches': 0.004672897196261682, 'way': 0.004672897196261682, 'getting': 0.02336448598130841, 'start': 0.004672897196261682, 'preaching': 0.004672897196261682, 'get': 0.014018691588785047, 'makin': 0.004672897196261682, 'ballin': 0.004672897196261682, 'gettin': 0.004672897196261682, 'talk': 0.004672897196261682, 'grand': 0.004672897196261682, 'front': 0.004672897196261682, 'do': 0.08411214953271028, 'appreciate': 0.004672897196261682, 'lucky': 0.004672897196261682, 'know': 0.009345794392523364, 'need': 0.004672897196261682, 'drinking': 0.004672897196261682, 'finally': 0.004672897196261682, 'survived': 0.004672897196261682, 'popping': 0.004672897196261682, 'conversing': 0.004672897196261682, 'hear': 0.004672897196261682, 'probably': 0.004672897196261682, 'throw': 0.018691588785046728, 'hate': 0.004672897196261682, 'down': 0.004672897196261682, 'are': 0.004672897196261682, 'gone': 0.004672897196261682, 'tote': 0.004672897196261682, 'spend': 0.004672897196261682, 'should': 0.009345794392523364, 'shoot': 0.004672897196261682, 'switch': 0.004672897196261682, 'miss': 0.004672897196261682, 'talkin': 0.004672897196261682, 'missing': 0.004672897196261682, 'meet': 0.004672897196261682, 'pretend': 0.004672897196261682, 'met': 0.004672897196261682, 'parked': 0.004672897196261682, 'split': 0.004672897196261682, 'seen': 0.004672897196261682, 'die': 0.004672897196261682, 'live': 0.009345794392523364, 'wanna': 0.004672897196261682, 'pray': 0.004672897196261682, 'fast': 0.004672897196261682, 'sick': 0.004672897196261682, 'wont': 0.009345794392523364, 'always': 0.004672897196261682, 'leaving': 0.004672897196261682, 'been': 0.004672897196261682, 'was': 0.004672897196261682, 'riding': 0.004672897196261682}"
got,"{'london': 0.0121580547112462, 'a': 0.1884498480243161, 'thugs': 0.00303951367781155, 'parvo': 0.00303951367781155, 'close': 0.00303951367781155, 'signed': 0.00303951367781155, 'paternity': 0.00303951367781155, 'numbers': 0.00303951367781155, 'the': 0.0547112462006079, 'ooooptions': 0.00303951367781155, 'that': 0.0060790273556231, 'to': 0.0486322188449848, 'it': 0.0486322188449848, 'no': 0.015197568389057751, 'yknowmsayin': 0.00303951367781155, 'start': 0.00303951367781155, 'lets': 0.00303951367781155, 'love': 0.00303951367781155, 'everybody': 0.00303951367781155, 'my': 0.06990881458966565, 'enough': 0.00303951367781155, 'me': 0.0243161094224924, 'rubberband': 0.00303951367781155, 'your': 0.060790273556231005, 'another': 0.00303951367781155, 'em': 0.00911854103343465, 'kis': 0.0121580547112462, 'you': 0.00303951367781155, 'these': 0.00303951367781155, 'got': 0.00303951367781155, 'ayy': 0.00303951367781155, 'bitches': 0.00303951367781155, 'lil': 0.0060790273556231, '100': 0.0364741641337386, 'racks': 0.00303951367781155, 'more': 0.0060790273556231, 'departed': 0.00303951367781155, 'is': 0.0060790273556231, 'money': 0.0060790273556231, 'artillery': 0.00303951367781155, 'this': 0.00911854103343465, 'on': 0.00303951367781155, 'bizzerk': 0.00303951367781155, 'treat': 0.00303951367781155, 'freed': 0.00303951367781155, 'rich': 0.00303951367781155, 'some': 0.015197568389057751, 'packedhouse': 0.00303951367781155, 'head': 0.00303951367781155, 'halves': 0.00303951367781155, 'rolex': 0.00303951367781155, 'benzes': 0.00303951367781155, 'twentyone': 0.00303951367781155, 'big': 0.0060790273556231, 'shit': 0.0121580547112462, 'actavis': 0.00303951367781155, 'heroin': 0.00303951367781155, 'blocks': 0.00303951367781155, 'six': 0.00303951367781155, 'i': 0.1458966565349544, 'at': 0.0060790273556231, 'one': 0.0060790273556231, 'here': 0.00303951367781155, 'older': 0.00303951367781155, 'god': 0.00303951367781155, 'crystal': 0.00303951367781155, 'erybody': 0.00303951367781155, 'glaucoma': 0.00303951367781155, 'id': 0.00303951367781155, 'smoked': 0.00303951367781155, 'mills': 0.00303951367781155, 'yo': 0.00303951367781155, 'like': 0.00303951367781155, 'arrested': 0.00303951367781155, 'four': 0.00911854103343465, 'so': 0.00303951367781155, 'nigga': 0.00303951367781155, 'prices': 0.00303951367781155, '500': 0.00303951367781155, 'of': 0.00303951367781155, 'killed': 0.00303951367781155, 'thrown': 0.00303951367781155, 'dethroned': 0.00303951367781155, 'life': 0.00303951367781155}"
london,{'on': 1.0}
on,"{'da': 0.0045871559633027525, 'a': 0.05963302752293578, 'these': 0.0389908256880734, 'your': 0.027522935779816515, 'the': 0.1926605504587156, 'it': 0.016055045871559634, 'my': 0.09403669724770643, 'top': 0.011467889908256881, 'you': 0.011467889908256881, 'them': 0.04128440366972477, 'iggy': 0.0022935779816513763, 'me': 0.0389908256880734, 'im': 0.006880733944954129, 'another': 0.0022935779816513763, 'while': 0.0022935779816513763, 'dawg': 0.0022935779816513763, 'labor': 0.0022935779816513763, 'gettin': 0.0022935779816513763, 'climbin': 0.0022935779816513763, 'shinin': 0.0022935779816513763, 'they': 0.0045871559633027525, 'half': 0.0022935779816513763, 'her': 0.020642201834862386, 'some': 0.01834862385321101, 'this': 0.02981651376146789, 'deck': 0.013761467889908258, 'ice': 0.009174311926605505, 'with': 0.0022935779816513763, 'lean': 0.006880733944954129, 'boy': 0.0022935779816513763, 'switch': 0.0022935779816513763, 'loco': 0.0022935779816513763, 'margharita': 0.0022935779816513763, 'turn': 0.0045871559633027525, 'so': 0.0022935779816513763, 'tunechi': 0.0022935779816513763, 'that': 0.045871559633027525, 'dro': 0.0022935779816513763, 'yo': 0.020642201834862386, 'records': 0.0022935779816513763, 'shawty': 0.0022935779816513763, 'his': 0.0045871559633027525, 'patrol': 0.0022935779816513763, 'pimpin': 0.0022935779816513763, 'know': 0.0022935779816513763, 'call': 0.0022935779816513763, 'we': 0.0022935779816513763, 'simpson': 0.0022935779816513763, 'nigga': 0.0022935779816513763, 'ac': 0.0022935779816513763, 'gas': 0.0022935779816513763, 'is': 0.0022935779816513763, 'fire': 0.0045871559633027525, 'two': 0.0022935779816513763, 'bring': 0.0022935779816513763, 'and': 0.0022935779816513763, 'man': 0.0022935779816513763, 'benji': 0.0022935779816513763, 'their': 0.006880733944954129, 'twitter': 0.0022935779816513763, 'diamonds': 0.0022935779816513763, 'its': 0.0022935779816513763, 'i': 0.006880733944954129, 'keri': 0.0022935779816513763, 'visit': 0.0022935779816513763, 'us': 0.0045871559633027525, 'money': 0.0022935779816513763, 'nwa': 0.0022935779816513763, '20': 0.0022935779816513763, 'talking': 0.0022935779816513763, 'chrome': 0.0045871559633027525, 'trial': 0.0022935779816513763, 'folk': 0.0022935779816513763, 'government': 0.0022935779816513763, 'flossin': 0.0022935779816513763, 'to': 0.0022935779816513763, 'dark': 0.0022935779816513763, 'smoking': 0.0022935779816513763, 'all': 0.0022935779816513763, 'shorty': 0.0022935779816513763, 'hundred': 0.0022935779816513763, 'him': 0.0022935779816513763, 'pistolwhipped': 0.0022935779816513763, 'dope': 0.013761467889908258, 'lock': 0.0022935779816513763, 'everything': 0.0022935779816513763, 'bankrolls': 0.0022935779816513763, 'bended': 0.0045871559633027525, 'nothin': 0.006880733944954129, 'every': 0.0022935779816513763, 'tape': 0.0022935779816513763, 'where': 0.0045871559633027525, 'security': 0.0022935779816513763, 'not': 0.0022935779816513763, 'purple': 0.01834862385321101, 'she': 0.0022935779816513763, 'bumpin': 0.0022935779816513763, 'one': 0.0022935779816513763, 'look': 0.0045871559633027525, 'clubs': 0.0022935779816513763, 'em': 0.0045871559633027525, 'hot': 0.0022935779816513763, 'vacation': 0.0022935779816513763, 'heron': 0.0022935779816513763, 'our': 0.0045871559633027525, 'respect': 0.0022935779816513763, 'in': 0.0022935779816513763, 'sight': 0.009174311926605505, 'point': 0.0022935779816513763, 'qream': 0.0022935779816513763, 'swole': 0.0022935779816513763, 'like': 0.0022935779816513763, '26s': 0.0022935779816513763, 'pirellis': 0.0022935779816513763, 'tuck': 0.0022935779816513763}"
da,"{'track': 0.1, 'yeeaaah': 0.1, 'hood': 0.1, 'king': 0.1, 'air': 0.6}"
track,"{'woah': 0.07692307692307693, 'aint': 0.07692307692307693, 'peanut': 0.07692307692307693, 'mil': 0.3076923076923077, 'on': 0.23076923076923078, 'take': 0.07692307692307693, 'still': 0.07692307692307693, 'with': 0.07692307692307693}"
woah,"{'yeah': 0.5, 'her': 0.5}"
yeah,"{'man': 0.007194244604316547, 'dont': 0.014388489208633094, 'this': 0.014388489208633094, 'your': 0.007194244604316547, 'bad': 0.02877697841726619, 'im': 0.04316546762589928, 'life': 0.007194244604316547, 'i': 0.12949640287769784, 'yeah': 0.19424460431654678, 'stacks': 0.007194244604316547, 'late': 0.02877697841726619, 'anytime': 0.007194244604316547, 'shawty': 0.007194244604316547, 'tip': 0.007194244604316547, 'ayy': 0.014388489208633094, 'to': 0.007194244604316547, 'no': 0.06474820143884892, 'they': 0.007194244604316547, 'and': 0.007194244604316547, 'we': 0.02158273381294964, 'now': 0.014388489208633094, 'let': 0.007194244604316547, 'okay': 0.007194244604316547, 'bro': 0.007194244604316547, 'right': 0.007194244604316547, 'fuck': 0.007194244604316547, 'yo': 0.007194244604316547, 'mucho': 0.007194244604316547, 'ay': 0.007194244604316547, 'keep': 0.02877697841726619, 'shorty': 0.02877697841726619, 'say': 0.02877697841726619, 'just': 0.007194244604316547, 'for': 0.007194244604316547, 'you': 0.02877697841726619, 'all': 0.007194244604316547, 'dope': 0.007194244604316547, 'from': 0.007194244604316547, 'bankrolls': 0.007194244604316547, 'oh': 0.007194244604316547, 'well': 0.007194244604316547, 'but': 0.02877697841726619, 'its': 0.007194244604316547, 'he': 0.007194244604316547, 'still': 0.007194244604316547, 'boy': 0.014388489208633094, 'live': 0.007194244604316547, 'bring': 0.007194244604316547, 'kill': 0.007194244604316547, 'black': 0.007194244604316547, 'is': 0.02158273381294964, 'theres': 0.007194244604316547, 'crème': 0.007194244604316547}"
man,"{'tip': 0.007407407407407408, 'i': 0.1037037037037037, 'wouldve': 0.007407407407407408, 'not': 0.007407407407407408, 'on': 0.007407407407407408, 'like': 0.022222222222222223, 'all': 0.007407407407407408, 'we': 0.014814814814814815, 'what': 0.022222222222222223, 'in': 0.022222222222222223, 'these': 0.007407407407407408, 'wild': 0.05185185185185185, 'always': 0.05185185185185185, 'worth': 0.05185185185185185, 'rubberband': 0.007407407407407408, '7time': 0.007407407407407408, 'im': 0.02962962962962963, 'ay': 0.037037037037037035, 'call': 0.007407407407407408, 'stayed': 0.007407407407407408, 'some': 0.007407407407407408, 'got': 0.007407407407407408, 'dig': 0.007407407407407408, 'grand': 0.007407407407407408, 'more': 0.007407407407407408, 'but': 0.02962962962962963, 'my': 0.014814814814814815, 'went': 0.007407407407407408, 'still': 0.007407407407407408, 'for': 0.007407407407407408, 'never': 0.007407407407407408, 'bi': 0.007407407407407408, 'well': 0.007407407407407408, 'probation': 0.007407407407407408, 'cant': 0.007407407407407408, 'fuck': 0.007407407407407408, 'whatd': 0.007407407407407408, 'shit': 0.014814814814814815, 'caught': 0.007407407407407408, 'and': 0.007407407407407408, 'theyre': 0.007407407407407408, 'yeah': 0.014814814814814815, 'dont': 0.007407407407407408, 'this': 0.014814814814814815, 'truth': 0.007407407407407408, 'if': 0.014814814814814815, 'cmon': 0.007407407407407408, 'life': 0.007407407407407408, 'you': 0.02962962962962963, 'them': 0.022222222222222223, 'listen': 0.007407407407407408, 'after': 0.007407407407407408, 'real': 0.007407407407407408, 'drop': 0.037037037037037035, 'black': 0.014814814814814815, 'running': 0.007407407407407408, 'when': 0.007407407407407408, 'wanna': 0.007407407407407408, 'there': 0.007407407407407408, 'of': 0.007407407407407408, 'with': 0.007407407407407408, 'yall': 0.007407407407407408, 'prepared': 0.007407407407407408, 'id': 0.007407407407407408, 'lee': 0.007407407407407408, 'really': 0.007407407407407408, 'haha': 0.007407407407407408, 'lotta': 0.007407407407407408, 'drown': 0.007407407407407408, 'only': 0.007407407407407408, 'burdens': 0.007407407407407408, 'somebody': 0.007407407407407408}"
tip,"{'in': 0.03571428571428571, 'woo': 0.03571428571428571, 'here': 0.03571428571428571, 'say': 0.03571428571428571, 'all': 0.03571428571428571, 'and': 0.07142857142857142, 'if': 0.03571428571428571, 'i': 0.03571428571428571, 'ball': 0.03571428571428571, 'is': 0.03571428571428571, 'livin': 0.03571428571428571, 'tell': 0.03571428571428571, 'comin': 0.03571428571428571, 'thats': 0.03571428571428571, 'pimpin': 0.03571428571428571, 'broke': 0.03571428571428571, 'soon': 0.03571428571428571, 'go': 0.03571428571428571, 'broad': 0.03571428571428571, 'song': 0.03571428571428571, 'home': 0.03571428571428571, 'you': 0.07142857142857142, 'lemme': 0.03571428571428571, 'it': 0.07142857142857142, 'get': 0.03571428571428571}"
