Word,Frequency
sen,{'kalk': 1.0}
kalk,{'bir': 1.0}
bir,"{'minik': 0.5, 'de': 0.5}"
minik,{'mikrofonunu': 1.0}
mikrofonunu,{'getir': 1.0}
getir,{'bak': 1.0}
bak,{'jak': 1.0}
jak,{'burada': 1.0}
burada,{'diktafonuna': 1.0}
diktafonuna,{'tak': 1.0}
tak,{'kağıt': 1.0}
kağıt,{'kalem': 1.0}
kalem,{'bir': 1.0}
de,"{'ilham': 0.2, 'vil': 0.2, 'vildeste': 0.2, 'kalder': 0.2, 'la': 0.2}"
ilham,{'alınacak': 1.0}
alınacak,{'tam': 1.0}
tam,{'gaz': 1.0}
gaz,{'choppers': 1.0}
choppers,"{'havada': 0.022727272727272728, 'if': 0.022727272727272728, 'cant': 0.09090909090909091, 'and': 0.045454545454545456, 'comin': 0.022727272727272728, 'sometimes': 0.06818181818181818, 'wait': 0.022727272727272728, 'im': 0.022727272727272728, 'you': 0.045454545454545456, 'invade': 0.022727272727272728, 'yerm': 0.18181818181818182, 'sang': 0.09090909090909091, 'finna': 0.022727272727272728, 'freakin': 0.022727272727272728, 'lyrically': 0.022727272727272728, 'when': 0.022727272727272728, 'come': 0.045454545454545456, 'choppers': 0.022727272727272728, 'we': 0.022727272727272728, 'hey': 0.022727272727272728, 'buck': 0.022727272727272728, 'i': 0.06818181818181818, 'ayohayohayohayoh': 0.045454545454545456}"
havada,{'düşman': 1.0}
düşman,{'avına': 1.0}
avına,{'çıkalım': 1.0}
çıkalım,{'akalım': 1.0}
akalım,{'haydi': 1.0}
haydi,{'bu': 1.0}
bu,{'battleı': 1.0}
battleı,{'kazanalım': 1.0}
kazanalım,{'we': 1.0}
