Word,Frequency
astro,{'yeah': 1.0}
yeah,"{'sun': 0.001440922190201729, 'i': 0.069164265129683, 'yeah': 0.2665706051873199, 'goin': 0.001440922190201729, 'jump': 0.002881844380403458, 'this': 0.01440922190201729, 'astro': 0.001440922190201729, 'tay': 0.001440922190201729, 'now': 0.001440922190201729, 'like': 0.004322766570605188, 'right': 0.002881844380403458, 'what': 0.007204610951008645, 'niggas': 0.001440922190201729, 'baguettes': 0.001440922190201729, 'checks': 0.001440922190201729, 'thats': 0.011527377521613832, 'lost': 0.001440922190201729, 'im': 0.023054755043227664, 'shes': 0.001440922190201729, 'passed': 0.001440922190201729, 'he': 0.001440922190201729, 'its': 0.012968299711815562, 'skrrt': 0.002881844380403458, 'shawty': 0.001440922190201729, 'oh': 0.027377521613832854, 'bout': 0.001440922190201729, 'check': 0.001440922190201729, 'pass': 0.002881844380403458, 'baby': 0.001440922190201729, '730': 0.001440922190201729, 'oohoooh': 0.001440922190201729, 'you': 0.02881844380403458, 'when': 0.011527377521613832, '713': 0.001440922190201729, 'we': 0.025936599423631124, 'saucin': 0.001440922190201729, 'they': 0.007204610951008645, 'cause': 0.001440922190201729, 'feelin': 0.001440922190201729, 'icy': 0.002881844380403458, 'mms': 0.001440922190201729, 'all': 0.004322766570605188, 'never': 0.001440922190201729, 'run': 0.001440922190201729, 'fly': 0.001440922190201729, 'in': 0.008645533141210375, 'roll': 0.002881844380403458, 'if': 0.002881844380403458, 'for': 0.002881844380403458, 'she': 0.005763688760806916, 'wont': 0.002881844380403458, 'case': 0.002881844380403458, 'my': 0.008645533141210375, 'turn': 0.001440922190201729, 'dawg': 0.001440922190201729, 'poppin': 0.001440922190201729, 'party': 0.001440922190201729, 'dont': 0.001440922190201729, 'ooh': 0.005763688760806916, 'anything': 0.001440922190201729, 'at': 0.001440922190201729, 'ima': 0.007204610951008645, 'flashes': 0.001440922190201729, 'help': 0.001440922190201729, 'bite': 0.001440922190201729, 'strike': 0.001440922190201729, 'snipe': 0.001440922190201729, 'bitch': 0.004322766570605188, 'white': 0.001440922190201729, 'crazy': 0.001440922190201729, 'tryna': 0.001440922190201729, 'heard': 0.001440922190201729, 'sippin': 0.002881844380403458, 'then': 0.004322766570605188, 'rollin': 0.001440922190201729, 'are': 0.001440922190201729, 'got': 0.002881844380403458, 'hop': 0.001440922190201729, 'twotone': 0.001440922190201729, 'swang': 0.001440922190201729, 'popop': 0.001440922190201729, 'get': 0.001440922190201729, 'to': 0.004322766570605188, 'mmm': 0.001440922190201729, 'find': 0.001440922190201729, 'god': 0.001440922190201729, 'hit': 0.001440922190201729, 'mhm': 0.002881844380403458, 'play': 0.001440922190201729, 'pull': 0.002881844380403458, 'sip': 0.001440922190201729, 'ah': 0.004322766570605188, 'sleep': 0.001440922190201729, 'hmmhmm': 0.001440922190201729, 'fuck': 0.001440922190201729, 'the': 0.010086455331412104, 'heartbreak': 0.001440922190201729, 'grippin': 0.001440922190201729, 'whippin': 0.001440922190201729, 'uh': 0.002881844380403458, 'finally': 0.001440922190201729, 'lookin': 0.001440922190201729, 'ive': 0.002881844380403458, 'press': 0.001440922190201729, 'that': 0.004322766570605188, 'told': 0.001440922190201729, 'only': 0.005763688760806916, 'tens': 0.001440922190201729, 'free': 0.001440922190201729, 'real': 0.001440922190201729, 'controllin': 0.001440922190201729, 'took': 0.001440922190201729, 'nah': 0.001440922190201729, 'bend': 0.002881844380403458, 'want': 0.002881844380403458, 'under': 0.001440922190201729, 'girl': 0.001440922190201729, '2': 0.001440922190201729, 'no': 0.002881844380403458, 'call': 0.005763688760806916, 'xray': 0.001440922190201729, 'ehhey': 0.001440922190201729, 'la': 0.002881844380403458, 'keep': 0.001440922190201729, 'parked': 0.001440922190201729, 'yah': 0.004322766570605188, 'need': 0.001440922190201729, 'mixing': 0.001440922190201729, 'trying': 0.001440922190201729, 'put': 0.002881844380403458, 'better': 0.001440922190201729, 'boy': 0.004322766570605188, 'ufc': 0.001440922190201729, 'whoaoooa': 0.001440922190201729, 'makin': 0.001440922190201729, 'would': 0.001440922190201729, 'way': 0.002881844380403458, 'look': 0.004322766570605188, 'patek': 0.001440922190201729, 'gettin': 0.002881844380403458, 'alright': 0.002881844380403458, 'really': 0.001440922190201729, 'cash': 0.001440922190201729, 'mans': 0.001440922190201729, 'yeahyeah': 0.001440922190201729, 'mmmhmm': 0.001440922190201729, 'cacti': 0.001440922190201729, 'yup': 0.001440922190201729, 'yep': 0.001440922190201729, 'scuse': 0.001440922190201729, 'theres': 0.001440922190201729, 'shoot': 0.002881844380403458, 'on': 0.002881844380403458, 'spend': 0.004322766570605188, 'coordinate': 0.004322766570605188, 'highway': 0.001440922190201729, 'everythin': 0.001440922190201729, 'make': 0.001440922190201729, 'straight': 0.002881844380403458, 'aint': 0.005763688760806916, 'outchea': 0.001440922190201729, 'youve': 0.002881844380403458, 'crib': 0.001440922190201729, 'spendin': 0.001440922190201729, 'handin': 0.001440922190201729, 'pop': 0.001440922190201729, 'had': 0.001440922190201729, 'seein': 0.001440922190201729, 'nobody': 0.001440922190201729, 'just': 0.001440922190201729, 'elevator': 0.001440922190201729, 'louder': 0.001440922190201729, 'seem': 0.001440922190201729, 'seems': 0.002881844380403458, 'back': 0.002881844380403458, 'sit': 0.001440922190201729, 'angels': 0.001440922190201729, 'wildin': 0.001440922190201729, 'hands': 0.001440922190201729, 'practice': 0.001440922190201729, 'feels': 0.002881844380403458, 'ya': 0.001440922190201729, 'been': 0.001440922190201729, 'work': 0.008645533141210375, 'but': 0.004322766570605188, 'dog': 0.004322766570605188, 'after': 0.002881844380403458, 'ho': 0.001440922190201729, 'and': 0.002881844380403458, 'down': 0.001440922190201729, 'overdrive': 0.001440922190201729, 'wanna': 0.001440922190201729, 'scoping': 0.001440922190201729, 'fore': 0.001440922190201729, 'underrated': 0.001440922190201729, 'hangin': 0.002881844380403458, 'three': 0.001440922190201729, 'first': 0.001440922190201729, 'thought': 0.001440922190201729, 'let': 0.001440922190201729, 'despite': 0.001440922190201729, 'okay': 0.001440922190201729, 'me': 0.001440922190201729, 'was': 0.001440922190201729, 'know': 0.004322766570605188, 'one': 0.004322766570605188, 'pewpewpew': 0.001440922190201729, 'love': 0.001440922190201729, 'big': 0.001440922190201729, 'order': 0.005763688760806916, '12': 0.001440922190201729, 'whos': 0.002881844380403458, 'made': 0.001440922190201729, 'woah': 0.001440922190201729, 'rastas': 0.001440922190201729, 'automatic': 0.001440922190201729, 'always': 0.001440922190201729, 'where': 0.001440922190201729, 'push': 0.001440922190201729, 'balance': 0.001440922190201729, 'do': 0.001440922190201729, 'while': 0.001440922190201729, 'ay': 0.001440922190201729, 'balas': 0.001440922190201729, 'broom': 0.001440922190201729, 'can': 0.001440922190201729, 'rara': 0.012968299711815562, 'smokin': 0.001440922190201729, 'damn': 0.002881844380403458, 'ayy': 0.001440922190201729, 'midnight': 0.001440922190201729, 'grip': 0.004322766570605188, 'lightskin': 0.001440922190201729, 'lit': 0.001440922190201729}"
sun,"{'is': 0.3333333333333333, 'you': 0.6666666666666666}"
is,"{'down': 0.009433962264150943, 'he': 0.009433962264150943, 'a': 0.09433962264150944, 'all': 0.25471698113207547, 'if': 0.009433962264150943, 'astronomical': 0.009433962264150943, 'improbable': 0.009433962264150943, 'in': 0.018867924528301886, 'the': 0.05660377358490566, 'it': 0.02830188679245283, 'don': 0.018867924528301886, 'new': 0.009433962264150943, 'scared': 0.009433962264150943, 'an': 0.04716981132075472, 'tity': 0.009433962264150943, 'ya': 0.009433962264150943, 'now': 0.009433962264150943, 'so': 0.018867924528301886, 'making': 0.009433962264150943, 'spokes': 0.009433962264150943, 'at': 0.009433962264150943, 'believing': 0.009433962264150943, 'gated': 0.009433962264150943, 'freezing': 0.009433962264150943, 'just': 0.018867924528301886, 'still': 0.07547169811320754, 'babyface': 0.009433962264150943, 'its': 0.009433962264150943, 'yours': 0.07547169811320754, 'play': 0.009433962264150943, 'helpin': 0.009433962264150943, 'halfrinsed': 0.009433962264150943, 'i': 0.009433962264150943, 'for': 0.018867924528301886, 'where': 0.009433962264150943, 'dark': 0.009433962264150943, 'this': 0.009433962264150943, 'bitches': 0.009433962264150943, 'yeah': 0.009433962264150943, 'static': 0.009433962264150943, 'only': 0.009433962264150943}"
down,"{'freezin': 0.014925373134328358, 'the': 0.08955223880597014, 'to': 0.04477611940298507, 'when': 0.04477611940298507, 'on': 0.05970149253731343, 'where': 0.014925373134328358, 'bad': 0.029850746268656716, 'that': 0.014925373134328358, 'them': 0.014925373134328358, 'now': 0.014925373134328358, 'i': 0.014925373134328358, 'for': 0.014925373134328358, 'and': 0.04477611940298507, 'your': 0.04477611940298507, 'shits': 0.014925373134328358, 'bae': 0.029850746268656716, 'with': 0.19402985074626866, 'out': 0.014925373134328358, 'oh': 0.014925373134328358, 'in': 0.029850746268656716, 'it': 0.014925373134328358, 'our': 0.014925373134328358, 'im': 0.04477611940298507, 'yeah': 0.05970149253731343, 'she': 0.029850746268656716, 'animated': 0.014925373134328358, 'get': 0.014925373134328358, 'since': 0.014925373134328358, 'ride': 0.014925373134328358, 'fool': 0.014925373134328358}"
freezin,{'cold': 1.0}
cold,"{'thats': 0.1111111111111111, 'now': 0.1111111111111111, 'too': 0.2222222222222222, 'see': 0.2222222222222222, 'it': 0.1111111111111111, 'yeah': 0.1111111111111111, 'ice': 0.1111111111111111}"
thats,"{'how': 0.036585365853658534, 'just': 0.04878048780487805, 'nike': 0.012195121951219513, 'what': 0.024390243902439025, 'boss': 0.012195121951219513, 'a': 0.04878048780487805, 'more': 0.04878048780487805, 'tryna': 0.012195121951219513, 'the': 0.06097560975609756, 'watchin': 0.012195121951219513, 'not': 0.036585365853658534, 'keepin': 0.012195121951219513, 'peelin': 0.012195121951219513, 'my': 0.36585365853658536, 'so': 0.036585365853658534, 'right': 0.036585365853658534, 'that': 0.012195121951219513, 'all': 0.06097560975609756, 'weird': 0.024390243902439025, 'for': 0.024390243902439025, 'deep': 0.012195121951219513, 'phenomenal': 0.012195121951219513, 'why': 0.024390243902439025, 'far': 0.012195121951219513}"
how,"{'we': 0.07142857142857142, 'it': 0.047619047619047616, 'i': 0.2619047619047619, 'to': 0.09523809523809523, 'he': 0.023809523809523808, 'hard': 0.023809523809523808, 'the': 0.023809523809523808, 'did': 0.023809523809523808, 'they': 0.047619047619047616, 'you': 0.19047619047619047, 'things': 0.023809523809523808, 'pain': 0.023809523809523808, 'im': 0.023809523809523808, 'would': 0.023809523809523808, 'many': 0.023809523809523808, 'much': 0.047619047619047616, 'could': 0.023809523809523808}"
we,"{'already': 0.004651162790697674, 'pull': 0.004651162790697674, 'made': 0.009302325581395349, 'all': 0.03255813953488372, 'goin': 0.009302325581395349, 'aint': 0.04186046511627907, 'like': 0.013953488372093023, 'back': 0.004651162790697674, 'at': 0.009302325581395349, 'gon': 0.08837209302325581, 'from': 0.004651162790697674, 'depart': 0.004651162790697674, 'been': 0.05116279069767442, 'make': 0.009302325581395349, 'cant': 0.018604651162790697, 'was': 0.013953488372093023, 'know': 0.027906976744186046, 'can': 0.018604651162790697, 'dyin': 0.004651162790697674, 'propellin': 0.004651162790697674, 'brought': 0.004651162790697674, 'projected': 0.004651162790697674, 'cut': 0.004651162790697674, 'both': 0.03255813953488372, 'shut': 0.004651162790697674, 'bout': 0.009302325581395349, 'in': 0.03255813953488372, 'sleep': 0.004651162790697674, 'play': 0.027906976744186046, 'sil': 0.013953488372093023, 'shootin': 0.004651162790697674, 'up': 0.009302325581395349, 'were': 0.013953488372093023, 'never': 0.004651162790697674, 'walkin': 0.004651162790697674, 'got': 0.013953488372093023, 'just': 0.018604651162790697, 'ride': 0.004651162790697674, 'knew': 0.004651162790697674, 'burn': 0.004651162790697674, 'press': 0.004651162790697674, 'launchin': 0.004651162790697674, 'runnin': 0.004651162790697674, 'keep': 0.004651162790697674, 'came': 0.009302325581395349, 'did': 0.009302325581395349, 'said': 0.004651162790697674, 'spoke': 0.004651162790697674, 'put': 0.004651162790697674, 'went': 0.009302325581395349, 'flee': 0.004651162790697674, 'have': 0.004651162790697674, 'siamese': 0.004651162790697674, 'open': 0.004651162790697674, 'dont': 0.018604651162790697, 'drop': 0.009302325581395349, 'always': 0.009302325581395349, 'take': 0.018604651162790697, 'do': 0.018604651162790697, 'gotta': 0.004651162790697674, 'off': 0.004651162790697674, 'on': 0.009302325581395349, 'find': 0.009302325581395349, 'designed': 0.004651162790697674, 'go': 0.009302325581395349, 'might': 0.009302325581395349, 'show': 0.004651162790697674, 'twist': 0.013953488372093023, 'get': 0.018604651162790697, 'took': 0.004651162790697674, 'stuntin': 0.004651162790697674, 'bring': 0.004651162790697674, 'want': 0.04186046511627907, 'come': 0.004651162790697674, 'so': 0.05116279069767442, 'fall': 0.004651162790697674, 'used': 0.004651162790697674, 'grew': 0.004651162790697674, 'too': 0.013953488372093023, 'killin': 0.004651162790697674, 'datin': 0.004651162790697674, 'poppin': 0.004651162790697674, 'crème': 0.004651162790697674}"
already,"{'know': 0.6666666666666666, 'a': 0.16666666666666666, 'yeah': 0.16666666666666666}"
know,"{'winters': 0.0049261083743842365, 'he': 0.009852216748768473, 'nothin': 0.0049261083743842365, 'the': 0.06403940886699508, 'i': 0.13793103448275862, 'this': 0.009852216748768473, 'oh': 0.0049261083743842365, 'how': 0.024630541871921183, 'what': 0.06896551724137931, 'im': 0.034482758620689655, 'ooh': 0.019704433497536946, 'hollywood': 0.014778325123152709, 'yeah': 0.014778325123152709, 'you': 0.07389162561576355, 'my': 0.029556650246305417, 'cuzzo': 0.0049261083743842365, 'we': 0.019704433497536946, 'youre': 0.009852216748768473, 'whenever': 0.014778325123152709, 'me': 0.019704433497536946, 'where': 0.009852216748768473, 'onlyonlyonly': 0.10837438423645321, 'only': 0.029556650246305417, 'sundays': 0.014778325123152709, 'up': 0.0049261083743842365, 'were': 0.0049261083743842365, 'smoke': 0.0049261083743842365, 'lil': 0.009852216748768473, 'hood': 0.0049261083743842365, 'yeahhh': 0.0049261083743842365, '2': 0.0049261083743842365, 'trill': 0.0049261083743842365, 'real': 0.0049261083743842365, 'definitely': 0.009852216748768473, 'aint': 0.0049261083743842365, 'say': 0.009852216748768473, 'ha': 0.0049261083743842365, 'who': 0.0049261083743842365, 'they': 0.009852216748768473, 'that': 0.034482758620689655, 'its': 0.0049261083743842365, 'why': 0.0049261083743842365, 'on': 0.0049261083743842365, 'cause': 0.0049261083743842365, 'wash': 0.0049261083743842365, 'a': 0.014778325123152709, 'southside': 0.0049261083743842365, 'dont': 0.009852216748768473, 'so': 0.0049261083743842365, 'id': 0.0049261083743842365, 'whistling': 0.0049261083743842365, 'she': 0.0049261083743842365, 'it': 0.014778325123152709, 'since': 0.0049261083743842365, 'no': 0.0049261083743842365, 'thats': 0.0049261083743842365, 'whats': 0.0049261083743842365, 'your': 0.0049261083743842365, 'nobody': 0.0049261083743842365, 'our': 0.0049261083743842365}"
winters,{'here': 1.0}
here,"{'my': 0.0625, 'with': 0.03125, 'lets': 0.125, 'ah': 0.03125, 'live': 0.03125, 'dont': 0.03125, 'to': 0.0625, 'is': 0.03125, 'now': 0.03125, 'onlyonlyonly': 0.03125, 'past': 0.03125, 'i': 0.03125, 'some': 0.03125, 'everytime': 0.03125, 'and': 0.03125, 'feel': 0.03125, 'you': 0.03125, 'so': 0.03125, 'in': 0.03125, 'for': 0.03125, 'nights': 0.0625, 'bandits': 0.03125, 'no': 0.03125, 'when': 0.03125, 'baby': 0.03125, 'on': 0.03125}"
my,"{'dawg': 0.001976284584980237, 'old': 0.003952569169960474, 'jeweler': 0.003952569169960474, 'exes': 0.001976284584980237, 'eses': 0.001976284584980237, 'hands': 0.005928853754940711, 'ice': 0.003952569169960474, 'respect': 0.001976284584980237, 'shot': 0.001976284584980237, 'god': 0.007905138339920948, 'daughter': 0.003952569169960474, 'mind': 0.04940711462450593, 'squad': 0.001976284584980237, 'like': 0.001976284584980237, 'i': 0.003952569169960474, 'line': 0.003952569169960474, 'mama': 0.029644268774703556, 'love': 0.001976284584980237, 'best': 0.005928853754940711, 'braids': 0.001976284584980237, 'oh': 0.05928853754940711, 'we': 0.001976284584980237, 'fumes': 0.003952569169960474, 'eyes': 0.009881422924901186, 'room': 0.01383399209486166, 'beard': 0.003952569169960474, 'heart': 0.005928853754940711, 'side': 0.01383399209486166, 'block': 0.003952569169960474, 'real': 0.001976284584980237, 'life': 0.007905138339920948, 'nigga': 0.017786561264822136, 'stages': 0.001976284584980237, 'angles': 0.001976284584980237, 'niggas': 0.03162055335968379, 'ages': 0.001976284584980237, 'clothes': 0.003952569169960474, 'bros': 0.001976284584980237, 'soda': 0.003952569169960474, 'accountant': 0.001976284584980237, 'knees': 0.003952569169960474, 'past': 0.001976284584980237, 'city': 0.007905138339920948, 'baby': 0.009881422924901186, 'dick': 0.003952569169960474, 'ways': 0.001976284584980237, 'problems': 0.001976284584980237, 'spirit': 0.001976284584980237, 'neck': 0.017786561264822136, 'pants': 0.003952569169960474, 'chest': 0.003952569169960474, 'gucci': 0.001976284584980237, 'bag': 0.003952569169960474, 'soul': 0.005928853754940711, 'louis': 0.001976284584980237, 'whole': 0.003952569169960474, 'bed': 0.01383399209486166, 'town': 0.007905138339920948, 'trunk': 0.005928853754940711, 'you': 0.001976284584980237, 'chop': 0.001976284584980237, 'jumper': 0.001976284584980237, 'granny': 0.001976284584980237, 'daddy': 0.001976284584980237, 'auntie': 0.001976284584980237, 'good': 0.001976284584980237, 'chips': 0.001976284584980237, 'moms': 0.001976284584980237, 'talent': 0.001976284584980237, 'palace': 0.001976284584980237, 'cactus': 0.001976284584980237, 'tea': 0.001976284584980237, 'journey': 0.001976284584980237, 'sins': 0.003952569169960474, 'own': 0.015810276679841896, 'ends': 0.001976284584980237, 'sons': 0.001976284584980237, 'back': 0.003952569169960474, 'bitch': 0.007905138339920948, 'lil': 0.001976284584980237, 'hallways': 0.001976284584980237, 'countant': 0.001976284584980237, 'wrist': 0.003952569169960474, 'bathtub': 0.001976284584980237, 'children': 0.001976284584980237, 'favorite': 0.005928853754940711, 'alias': 0.001976284584980237, 'radius': 0.001976284584980237, 'front': 0.001976284584980237, 'swimming': 0.001976284584980237, 'name': 0.003952569169960474, 'streams': 0.005928853754940711, 'feet': 0.007905138339920948, 'coco': 0.001976284584980237, 'girl': 0.001976284584980237, 'grandma': 0.001976284584980237, 'homie': 0.001976284584980237, 'inner': 0.001976284584980237, 'demons': 0.001976284584980237, 'face': 0.005928853754940711, 'cash': 0.003952569169960474, 'breath': 0.003952569169960474, 'desk': 0.005928853754940711, 'rio': 0.001976284584980237, 'rollie': 0.007905138339920948, 'bezel': 0.001976284584980237, 'level': 0.001976284584980237, 'sweater': 0.001976284584980237, 'summer': 0.001976284584980237, 'shit': 0.005928853754940711, 'minefield': 0.001976284584980237, 'main': 0.003952569169960474, 'wifey': 0.001976284584980237, 'bezos': 0.001976284584980237, 'phone': 0.009881422924901186, 'mamacita': 0.023715415019762844, 'my': 0.001976284584980237, 'thats': 0.011857707509881422, 'motherfuckin': 0.001976284584980237, 'little': 0.001976284584980237, 'bad': 0.001976284584980237, 'music': 0.001976284584980237, 'neighbors': 0.001976284584980237, 'white': 0.005928853754940711, 'nikes': 0.003952569169960474, 'cup': 0.003952569169960474, 'slime': 0.001976284584980237, 'checks': 0.001976284584980237, 'maya': 0.001976284584980237, 'rockstar': 0.021739130434782608, 'ideas': 0.001976284584980237, 'time': 0.005928853754940711, 'fist': 0.001976284584980237, 'phases': 0.003952569169960474, 'dogs': 0.003952569169960474, 'will': 0.001976284584980237, 'conscious': 0.011857707509881422, 'trap': 0.015810276679841896, 'buddy': 0.007905138339920948, 'latest': 0.003952569169960474, 'bitches': 0.005928853754940711, 'jewelry': 0.001976284584980237, 'peace': 0.001976284584980237, 'gs': 0.001976284584980237, 'what': 0.007905138339920948, 'yeah': 0.003952569169960474, 'throat': 0.001976284584980237, 'why': 0.001976284584980237, 'liver': 0.001976284584980237, 'album': 0.001976284584980237, 'moves': 0.001976284584980237, 'show': 0.001976284584980237, 'kids': 0.001976284584980237, 'chains': 0.003952569169960474, 'way': 0.003952569169960474, 'bangs': 0.001976284584980237, 'tshirt': 0.001976284584980237, 'bae': 0.001976284584980237, 'fantasy': 0.007905138339920948, 'ex': 0.001976284584980237, 'ambitions': 0.003952569169960474, 'caucus': 0.001976284584980237, 'place': 0.003952569169960474, 'blessings': 0.003952569169960474, 'juice': 0.001976284584980237, 'troops': 0.001976284584980237, 'chain': 0.001976284584980237, 'jewels': 0.001976284584980237, 'syrup': 0.001976284584980237, 'absence': 0.001976284584980237, 'window': 0.011857707509881422, 'ive': 0.009881422924901186, 'ohohoh': 0.001976284584980237, 'aunty': 0.001976284584980237, 'ooh': 0.001976284584980237, 'woo': 0.001976284584980237, 'im': 0.005928853754940711, 'la': 0.001976284584980237, 'got': 0.001976284584980237, 'momma': 0.001976284584980237, 'now': 0.001976284584980237, 'uh': 0.005928853754940711, 'long': 0.001976284584980237, 'ohohohooh': 0.001976284584980237, 'first': 0.001976284584980237, 'partner': 0.001976284584980237, 'dues': 0.001976284584980237, 'diamonds': 0.005928853754940711, 'lean': 0.001976284584980237, 'dollars': 0.001976284584980237, 'commas': 0.001976284584980237, 'digits': 0.001976284584980237, 'dealer': 0.001976284584980237, 'bottles': 0.001976284584980237, 'chronic': 0.001976284584980237, 'brother': 0.001976284584980237, 'aura': 0.001976284584980237, 'blocka': 0.001976284584980237, 'home': 0.001976284584980237, 'dresser': 0.001976284584980237, 'lambo': 0.005928853754940711, 'crib': 0.005928853754940711, 'cool': 0.005928853754940711, 'mattress': 0.003952569169960474, 'cars': 0.001976284584980237, 'razr': 0.001976284584980237, 'foot': 0.001976284584980237, 'check': 0.001976284584980237, 'ho': 0.001976284584980237, 'fanta': 0.001976284584980237, 'phantom': 0.001976284584980237, 'gun': 0.003952569169960474, 'lungs': 0.001976284584980237, 'closet': 0.001976284584980237, 'rara': 0.001976284584980237, 'visa': 0.001976284584980237, 'scription': 0.001976284584980237, 'attention': 0.001976284584980237, 'intentions': 0.001976284584980237}"
dawg,"{'would': 0.25, 'dawg': 0.25, 'round': 0.25, 'i': 0.25}"
would,"{'probably': 0.07142857142857142, 'you': 0.2857142857142857, 'do': 0.07142857142857142, 'show': 0.07142857142857142, 'it': 0.07142857142857142, 'be': 0.21428571428571427, 'rather': 0.07142857142857142, 'shoot': 0.07142857142857142, 'go': 0.07142857142857142}"
probably,"{'do': 0.25, 'save': 0.25, 'know': 0.25, 'wanna': 0.25}"
do,"{'it': 0.15476190476190477, 'no': 0.047619047619047616, 'some': 0.03571428571428571, 'if': 0.03571428571428571, 'do': 0.07142857142857142, 'doo': 0.023809523809523808, 'to': 0.011904761904761904, 'damn': 0.011904761904761904, 'not': 0.03571428571428571, 'i': 0.03571428571428571, 'the': 0.15476190476190477, 'time': 0.011904761904761904, 'shit': 0.011904761904761904, 'when': 0.011904761904761904, 'whatever': 0.011904761904761904, 'somethin': 0.011904761904761904, 'that': 0.07142857142857142, 'you': 0.047619047619047616, 'chrome': 0.011904761904761904, 'lines': 0.011904761904761904, 'playgrounds': 0.011904761904761904, 'is': 0.07142857142857142, 'around': 0.011904761904761904, 'had': 0.03571428571428571, 'a': 0.011904761904761904, 'pull': 0.011904761904761904, 'okay': 0.011904761904761904, 'hustle': 0.011904761904761904}"
