Word,Frequency
uh,"{'wolf': 0.2, 'golf': 0.1, 'yeah': 0.03333333333333333, 'call': 0.1, 'who': 0.03333333333333333, 'woo': 0.03333333333333333, 'instead': 0.03333333333333333, 'its': 0.03333333333333333, 'so': 0.03333333333333333, 'i': 0.03333333333333333, 'runnin': 0.03333333333333333, 'heaven': 0.03333333333333333, 'fuck': 0.06666666666666667, 'addicts': 0.03333333333333333, 'huh': 0.03333333333333333, 'no': 0.03333333333333333, 'tick': 0.03333333333333333, 'uh': 0.03333333333333333, 'somethin': 0.03333333333333333, 'with': 0.03333333333333333}"
wolf,"{'haley': 0.1282051282051282, 'tyler': 0.01282051282051282, 'ace': 0.01282051282051282, 'that': 0.01282051282051282, 'fucking': 0.01282051282051282, 'gang': 0.7435897435897436, 'then': 0.01282051282051282, 'or': 0.01282051282051282, 'wolf': 0.02564102564102564, 'to': 0.01282051282051282, 'nobody': 0.01282051282051282}"
haley,"{'golf': 0.36363636363636365, 'uh': 0.2727272727272727, 'robbin': 0.09090909090909091, 'in': 0.09090909090909091, 'and': 0.09090909090909091, 'got': 0.09090909090909091}"
golf,"{'wang': 0.8285714285714286, 'fuckin': 0.014285714285714285, 'bitch': 0.014285714285714285, 'boys': 0.02857142857142857, 'wangpart': 0.014285714285714285, 'wangin': 0.02857142857142857, 'be': 0.014285714285714285, 'radio': 0.014285714285714285, 'shit': 0.014285714285714285, 'top': 0.014285714285714285, 'so': 0.014285714285714285}"
wang,"{'yeah': 0.05714285714285714, 'uh': 0.04285714285714286, 'jesus': 0.014285714285714285, 'fuck': 0.4142857142857143, 'so': 0.014285714285714285, 'wait': 0.014285714285714285, 'cut': 0.014285714285714285, 'prints': 0.014285714285714285, 'golf': 0.014285714285714285, 'no': 0.014285714285714285, 'niggas': 0.02857142857142857, 'nigga': 0.14285714285714285, 'your': 0.014285714285714285, 'sticker': 0.014285714285714285, 'up': 0.014285714285714285, 'flog': 0.014285714285714285, 'summer': 0.014285714285714285, 'hooligans': 0.014285714285714285, 'its': 0.02857142857142857, 'wolf': 0.02857142857142857, 'kill': 0.014285714285714285, 'mob': 0.014285714285714285, 'roscoes': 0.014285714285714285, 'like': 0.014285714285714285, 'do': 0.014285714285714285}"
yeah,"{'im': 0.0273972602739726, 'and': 0.00684931506849315, 'goddamn': 0.00684931506849315, 'they': 0.02054794520547945, 'for': 0.00684931506849315, 'riding': 0.00684931506849315, 'bih': 0.00684931506849315, 'like': 0.0136986301369863, 'woah': 0.00684931506849315, 'oh': 0.0136986301369863, 'i': 0.1506849315068493, 'its': 0.03424657534246575, 'id': 0.00684931506849315, 'thats': 0.0136986301369863, 'girl': 0.00684931506849315, 'the': 0.00684931506849315, 'yo': 0.02054794520547945, 'teeth': 0.00684931506849315, 'let': 0.00684931506849315, 'yeah': 0.10273972602739725, 'my': 0.0136986301369863, 'golf': 0.00684931506849315, 'buddy': 0.00684931506849315, 'up': 0.00684931506849315, 'sorry': 0.00684931506849315, 'this': 0.00684931506849315, 'bob': 0.00684931506849315, 'ima': 0.00684931506849315, 'middle': 0.00684931506849315, 'four': 0.00684931506849315, 'them': 0.00684931506849315, 'yall': 0.00684931506849315, 'you': 0.03424657534246575, 'wolf': 0.00684931506849315, 'so': 0.00684931506849315, 'these': 0.0136986301369863, 'ringy': 0.00684931506849315, 'no': 0.00684931506849315, 'when': 0.02054794520547945, 'if': 0.00684931506849315, 'whatever': 0.00684931506849315, 'but': 0.0136986301369863, 'what': 0.00684931506849315, 'hes': 0.00684931506849315, 'got': 0.00684931506849315, 'ho': 0.03424657534246575, 'um': 0.00684931506849315, 'haha': 0.00684931506849315, 'that': 0.02054794520547945, 'lets': 0.0136986301369863, 'new': 0.00684931506849315, 'bitch': 0.00684931506849315, 'take': 0.0136986301369863, 'stop': 0.00684931506849315, 'ayo': 0.00684931506849315, 'slick': 0.00684931506849315, 'run': 0.0136986301369863, 'ohh': 0.00684931506849315, 'give': 0.00684931506849315, 'we': 0.00684931506849315, 'look': 0.00684931506849315, 'sumo': 0.00684931506849315, 'simple': 0.00684931506849315, 'how': 0.00684931506849315, 'tick': 0.00684931506849315, 'right': 0.00684931506849315, 'are': 0.00684931506849315, 'ah': 0.00684931506849315, 'nothing': 0.00684931506849315, 'she': 0.0136986301369863, 'nigga': 0.02054794520547945, 'xan': 0.00684931506849315, 'grabbed': 0.00684931506849315, 'here': 0.00684931506849315, 'whats': 0.00684931506849315, 'alright': 0.00684931506849315}"
im,"{'a': 0.046153846153846156, 'not': 0.05934065934065934, 'mockin': 0.002197802197802198, 'wastin': 0.002197802197802198, 'clockin': 0.002197802197802198, 'an': 0.006593406593406593, 'in': 0.02857142857142857, 'stabbin': 0.002197802197802198, 'wolf': 0.006593406593406593, 'with': 0.006593406593406593, 'for': 0.002197802197802198, 'sick': 0.008791208791208791, 'bout': 0.013186813186813187, 'bad': 0.015384615384615385, 'grievin': 0.002197802197802198, 'passiveaggressive': 0.002197802197802198, 'passive': 0.002197802197802198, 'sorry': 0.041758241758241756, 'guessin': 0.002197802197802198, 'writing': 0.002197802197802198, 'right': 0.006593406593406593, 'runnin': 0.002197802197802198, 'tryna': 0.008791208791208791, 'currently': 0.002197802197802198, 'so': 0.017582417582417582, 'gone': 0.006593406593406593, 'the': 0.02857142857142857, 'gon': 0.002197802197802198, 'like': 0.006593406593406593, 'playin': 0.002197802197802198, 'really': 0.004395604395604396, 'annoyed': 0.002197802197802198, 'broke': 0.002197802197802198, 'going': 0.013186813186813187, 'pissing': 0.002197802197802198, 'tripping': 0.002197802197802198, 'saying': 0.004395604395604396, 'thrashing': 0.002197802197802198, 'hocking': 0.002197802197802198, 'up': 0.002197802197802198, 'harder': 0.002197802197802198, 'evil': 0.002197802197802198, 'getting': 0.015384615384615385, 'taking': 0.002197802197802198, 'close': 0.002197802197802198, 'seeing': 0.002197802197802198, 'just': 0.024175824175824177, 'on': 0.017582417582417582, 'great': 0.002197802197802198, 'back': 0.002197802197802198, 'rosa': 0.002197802197802198, 'badder': 0.002197802197802198, 'about': 0.002197802197802198, 'dr': 0.002197802197802198, 'guessing': 0.004395604395604396, 'satans': 0.002197802197802198, 'feeling': 0.002197802197802198, 'tall': 0.002197802197802198, 'fortunately': 0.002197802197802198, 'silly': 0.002197802197802198, 'doing': 0.004395604395604396, 'evaluating': 0.002197802197802198, 'fucking': 0.07032967032967033, 'kissing': 0.002197802197802198, 'sitting': 0.004395604395604396, 'suicidal': 0.002197802197802198, 'tyler': 0.004395604395604396, 'awesome': 0.002197802197802198, 'snorting': 0.002197802197802198, 'speechless': 0.002197802197802198, 'out': 0.002197802197802198, 'watching': 0.002197802197802198, 'focused': 0.002197802197802198, 'nutty': 0.002197802197802198, 'picnic': 0.002197802197802198, 'short': 0.002197802197802198, 'peanut': 0.002197802197802198, 'sicky': 0.002197802197802198, 'raising': 0.002197802197802198, 'at': 0.002197802197802198, 'headin': 0.002197802197802198, 'crazy': 0.002197802197802198, 'successful': 0.002197802197802198, 'watchin': 0.002197802197802198, 'starin': 0.002197802197802198, 'goin': 0.002197802197802198, 'mr': 0.002197802197802198, 'prayin': 0.002197802197802198, '27': 0.002197802197802198, 'still': 0.013186813186813187, 'thinking': 0.004395604395604396, 'showing': 0.002197802197802198, 'pouring': 0.004395604395604396, 'always': 0.004395604395604396, 'off': 0.002197802197802198, 'your': 0.017582417582417582, 'too': 0.008791208791208791, 'fine': 0.006593406593406593, 'scarred': 0.002197802197802198, 'golf': 0.004395604395604396, '21': 0.002197802197802198, 'loading': 0.002197802197802198, 'here': 0.004395604395604396, 'bustin': 0.002197802197802198, 'sposed': 0.002197802197802198, 'wood': 0.002197802197802198, 'gonna': 0.006593406593406593, 'fucked': 0.002197802197802198, 'pretty': 0.002197802197802198, 'living': 0.002197802197802198, 'playing': 0.002197802197802198, 'clearly': 0.002197802197802198, 'serious': 0.002197802197802198, 'over': 0.002197802197802198, 'bored': 0.002197802197802198, 'staring': 0.002197802197802198, 'brushin': 0.002197802197802198, 'stuck': 0.008791208791208791, 'stoked': 0.002197802197802198, 'changing': 0.002197802197802198, 'facing': 0.002197802197802198, 'fuckin': 0.002197802197802198, 'often': 0.002197802197802198, 'animal': 0.002197802197802198, 'drunk': 0.004395604395604396, 'shooting': 0.002197802197802198, 'ill': 0.002197802197802198, 'inhaling': 0.002197802197802198, 'lifted': 0.002197802197802198, 'surrounded': 0.002197802197802198, 'talking': 0.002197802197802198, 'straight': 0.002197802197802198, 'bitter': 0.002197802197802198, 'gay': 0.002197802197802198, 'grouchy': 0.002197802197802198, 'grateful': 0.002197802197802198, 'lonely': 0.002197802197802198, 'ridin': 0.008791208791208791, 'got': 0.002197802197802198, 'tyin': 0.002197802197802198, 'motherfucking': 0.017582417582417582, 'trying': 0.017582417582417582, 'sharing': 0.002197802197802198, 'ashing': 0.002197802197802198, 'jealous': 0.002197802197802198, 'throwing': 0.002197802197802198, 'master': 0.002197802197802198, 'shoving': 0.002197802197802198, 'feeding': 0.002197802197802198, 'regal': 0.002197802197802198, 'willy': 0.002197802197802198, 'cold': 0.002197802197802198, 'stabbing': 0.002197802197802198, 'igor': 0.002197802197802198, 'tearing': 0.004395604395604396, 'hot': 0.002197802197802198, 'heat': 0.002197802197802198, 'alive': 0.002197802197802198, 'one': 0.002197802197802198, 'hustling': 0.002197802197802198, 'only': 0.002197802197802198, 'leanin': 0.004395604395604396, 'winning': 0.002197802197802198, 'winnin': 0.002197802197802198, 'big': 0.002197802197802198, 'quarter': 0.002197802197802198, '91': 0.002197802197802198, 'losing': 0.002197802197802198, 'caught': 0.002197802197802198, 'thirsty': 0.002197802197802198, 'either': 0.002197802197802198, 'lil': 0.002197802197802198, 'that': 0.002197802197802198, 'forgetting': 0.002197802197802198, 'never': 0.004395604395604396, 'okie': 0.002197802197802198, 'tnt': 0.002197802197802198, 'finished': 0.002197802197802198, 'considered': 0.002197802197802198, 'drivin': 0.002197802197802198, 'wondering': 0.002197802197802198, 'floating': 0.004395604395604396, 'holding': 0.002197802197802198, 'insecure': 0.002197802197802198, 'surprised': 0.004395604395604396, 'her': 0.01098901098901099, 'ugly': 0.002197802197802198, 'ace': 0.002197802197802198, 'parentless': 0.002197802197802198, 'emo': 0.002197802197802198, 'sobered': 0.002197802197802198, 'as': 0.002197802197802198, '65': 0.002197802197802198, 'shock': 0.002197802197802198, 'barney': 0.002197802197802198, 'shrooming': 0.002197802197802198, 'poking': 0.002197802197802198, 'amused': 0.002197802197802198, 'some': 0.002197802197802198, 'samuel': 0.002197802197802198, 'grabbing': 0.002197802197802198, 'growing': 0.002197802197802198, 'hardly': 0.002197802197802198, 'speedin': 0.002197802197802198, 'helen': 0.002197802197802198, 'opening': 0.002197802197802198, 'making': 0.004395604395604396, 'digging': 0.004395604395604396, 'seventeen': 0.002197802197802198, 'hiding': 0.002197802197802198}"
a,"{'fuckin': 0.007763975155279503, 'motherfuckin': 0.003105590062111801, 'team': 0.003105590062111801, 'couple': 0.05124223602484472, 'pitchfork': 0.0015527950310559005, 'cock': 0.0015527950310559005, 'fuck': 0.03881987577639751, 'kiss': 0.007763975155279503, 'piece': 0.003105590062111801, 'day': 0.003105590062111801, 'hundred': 0.004658385093167702, 'song': 0.007763975155279503, 'bitch': 0.009316770186335404, 'fucking': 0.034161490683229816, 'badass': 0.0015527950310559005, 'dweeb': 0.0015527950310559005, 'black': 0.004658385093167702, 'sword': 0.0015527950310559005, 'real': 0.003105590062111801, 'nut': 0.0015527950310559005, 'pistol': 0.0015527950310559005, 'down': 0.0015527950310559005, 'punk': 0.0015527950310559005, 'front': 0.0015527950310559005, 'pretty': 0.0015527950310559005, 'date': 0.003105590062111801, 'goddamn': 0.006211180124223602, 'closet': 0.0015527950310559005, 'coffin': 0.0015527950310559005, 'striped': 0.0015527950310559005, 'broken': 0.0015527950310559005, 'nigga': 0.024844720496894408, 'bick': 0.0015527950310559005, 'wrist': 0.0015527950310559005, 'niggas': 0.0015527950310559005, 'planet': 0.0015527950310559005, 'beyoncé': 0.0015527950310559005, 'soldout': 0.0015527950310559005, 'keeper': 0.0015527950310559005, 'tesla': 0.0015527950310559005, 'shadow': 0.0015527950310559005, 'vasectomy': 0.0015527950310559005, 'pet': 0.004658385093167702, 'goldfish': 0.0015527950310559005, 'dog': 0.0015527950310559005, 'ball': 0.003105590062111801, 'motherfucking': 0.003105590062111801, 'lot': 0.027950310559006212, 'bottle': 0.0015527950310559005, 'little': 0.020186335403726708, 'racist': 0.003105590062111801, 'new': 0.021739130434782608, 'year': 0.003105590062111801, 'god': 0.006211180124223602, 'minute': 0.006211180124223602, 'kid': 0.006211180124223602, 'gay': 0.0015527950310559005, 'savage': 0.0015527950310559005, 'dying': 0.0015527950310559005, 'world': 0.003105590062111801, 'sweater': 0.0015527950310559005, 'talent': 0.0015527950310559005, 'shell': 0.0015527950310559005, 'diss': 0.0015527950310559005, 'violent': 0.0015527950310559005, 'carnival': 0.0015527950310559005, 'shrink': 0.0015527950310559005, 'link': 0.0015527950310559005, 'therapist': 0.0015527950310559005, 'pair': 0.0015527950310559005, 'shit': 0.003105590062111801, 'building': 0.0015527950310559005, 'can': 0.006211180124223602, 'bimmer': 0.003105590062111801, 'butch': 0.0015527950310559005, 'woodchuck': 0.003105590062111801, 'co': 0.0015527950310559005, 'lightbulb': 0.0015527950310559005, 'dick': 0.004658385093167702, 'crucifix': 0.0015527950310559005, 'rich': 0.0015527950310559005, 'fap': 0.0015527950310559005, 'single': 0.0015527950310559005, 'gang': 0.0015527950310559005, 'tampon': 0.0015527950310559005, 'jansport': 0.0015527950310559005, 'wrangler': 0.0015527950310559005, 'brother': 0.0015527950310559005, 'sister': 0.0015527950310559005, 'gold': 0.0015527950310559005, 'salad': 0.0015527950310559005, 'toss': 0.0015527950310559005, 'tear': 0.0015527950310559005, 'grammy': 0.0015527950310559005, 'deal': 0.0015527950310559005, 'color': 0.0015527950310559005, 'hobby': 0.0015527950310559005, 'rapper': 0.003105590062111801, 'rapist': 0.0015527950310559005, 'rhyming': 0.0015527950310559005, 'chris': 0.0015527950310559005, 'whore': 0.0015527950310559005, 'dead': 0.0015527950310559005, 'pregnant': 0.0015527950310559005, 'threesome': 0.0015527950310559005, 'genie': 0.0015527950310559005, 'leaf': 0.0015527950310559005, 'teacup': 0.0015527950310559005, 'beach': 0.0015527950310559005, 'sneaker': 0.0015527950310559005, 'canteen': 0.0015527950310559005, 'bunch': 0.009316770186335404, 'barber': 0.0015527950310559005, 'parkinsons': 0.0015527950310559005, 'portable': 0.0015527950310559005, 'box': 0.004658385093167702, 'door': 0.0015527950310559005, 'window': 0.003105590062111801, 'photo': 0.003105590062111801, 'magic': 0.0015527950310559005, 'seven': 0.0015527950310559005, 'side': 0.0015527950310559005, 'joke': 0.0015527950310559005, 'plan': 0.0015527950310559005, 'hawk': 0.0015527950310559005, 'high': 0.0015527950310559005, 'sandwich': 0.0015527950310559005, 'faggot': 0.004658385093167702, 'hickey': 0.0015527950310559005, 'hiv': 0.0015527950310559005, 'demon': 0.0015527950310559005, 'terrorist': 0.0015527950310559005, 'country': 0.0015527950310559005, 'parent': 0.0015527950310559005, 'nigger': 0.0015527950310559005, 'promise': 0.0015527950310559005, 'plate': 0.0015527950310559005, 'million': 0.0015527950310559005, 'fat': 0.003105590062111801, 'bite': 0.0015527950310559005, 'fullblown': 0.0015527950310559005, 'autobahn': 0.0015527950310559005, 'drink': 0.003105590062111801, 'big': 0.003105590062111801, 'trampoline': 0.0015527950310559005, 'auction': 0.0015527950310559005, 'broad': 0.003105590062111801, 'dream': 0.007763975155279503, 'full': 0.0015527950310559005, 'divine': 0.0015527950310559005, 'tramp': 0.0015527950310559005, 'scrimmage': 0.0015527950310559005, 'liar': 0.0015527950310559005, 'crush': 0.003105590062111801, 'sixyear': 0.0015527950310559005, 'ten': 0.0015527950310559005, 'void': 0.0015527950310559005, 'tree': 0.003105590062111801, 'belt': 0.0015527950310559005, 'goose': 0.0015527950310559005, 'nest': 0.0015527950310559005, 'scary': 0.0015527950310559005, 'while': 0.003105590062111801, 'struggle': 0.0015527950310559005, 'distraction': 0.0015527950310559005, 'glimpse': 0.0015527950310559005, 'choice': 0.0015527950310559005, 'permit': 0.0015527950310559005, 'bridge': 0.0015527950310559005, 'fence': 0.0015527950310559005, 'lease': 0.0015527950310559005, 'dj': 0.003105590062111801, 'lotta': 0.0015527950310559005, 'blunt': 0.004658385093167702, 'straight': 0.0015527950310559005, 'party': 0.0015527950310559005, 'ferris': 0.0015527950310559005, 'retard': 0.0015527950310559005, 'goat': 0.0015527950310559005, 'trash': 0.0015527950310559005, 'game': 0.003105590062111801, '19': 0.0015527950310559005, 'whole': 0.003105590062111801, 'very': 0.0015527950310559005, 'wine': 0.0015527950310559005, 'mindset': 0.0015527950310559005, 'triple': 0.0015527950310559005, 'devil': 0.0015527950310559005, 'critics': 0.0015527950310559005, 'pissing': 0.0015527950310559005, 'great': 0.0015527950310559005, 'bad': 0.004658385093167702, 'good': 0.0015527950310559005, 'teenager': 0.0015527950310559005, 'cute': 0.0015527950310559005, 'cereal': 0.0015527950310559005, 'mere': 0.020186335403726708, 'boy': 0.012422360248447204, 'gun': 0.013975155279503106, 'cab': 0.0015527950310559005, '10': 0.0015527950310559005, 'rose': 0.003105590062111801, 'youth': 0.0015527950310559005, 'phase': 0.0015527950310559005, 'crucial': 0.0015527950310559005, 'beautiful': 0.0015527950310559005, 'case': 0.0015527950310559005, 'sperm': 0.0015527950310559005, 'show': 0.0015527950310559005, 'selfish': 0.0015527950310559005, 'island': 0.0015527950310559005, 'churchs': 0.0015527950310559005, 'fag': 0.004658385093167702, 'waitress': 0.0015527950310559005, 'tip': 0.0015527950310559005, 'human': 0.003105590062111801, 'few': 0.0015527950310559005, 'wolf': 0.0015527950310559005, 'eighth': 0.0015527950310559005, 'dipstick': 0.0015527950310559005, 'pic': 0.0015527950310559005, 'fake': 0.0015527950310559005, 'riot': 0.0015527950310559005, '25': 0.0015527950310559005, 'pogo': 0.0015527950310559005, 'popped': 0.0015527950310559005, 'heat': 0.0015527950310559005, 'beat': 0.0015527950310559005, 'kick': 0.0015527950310559005, 'glass': 0.0015527950310559005, 'basement': 0.0015527950310559005, 'fan': 0.0015527950310559005, 'job': 0.0015527950310559005, 'hey': 0.0015527950310559005, 'tshirt': 0.0015527950310559005, 'hug': 0.0015527950310559005, 'to': 0.0015527950310559005, 'breathe': 0.0015527950310559005, 'thon': 0.0015527950310559005, 'on': 0.0015527950310559005, 'first': 0.0015527950310559005, 'string': 0.004658385093167702, 'glad': 0.0015527950310559005, 'shoestring': 0.0015527950310559005, 'chance': 0.006211180124223602, 'stick': 0.0015527950310559005, 'lame': 0.0015527950310559005, 'seatbelt': 0.0015527950310559005, 'drop': 0.0015527950310559005, 'blog': 0.0015527950310559005, 'rebel': 0.0015527950310559005, 'dahm': 0.0015527950310559005, 'leprechaun': 0.0015527950310559005, 'midget': 0.0015527950310559005, 'mask': 0.0015527950310559005, 'j': 0.0015527950310559005, 'chainsaw': 0.0015527950310559005, 'hydrant': 0.0015527950310559005, 'minor': 0.0015527950310559005, 'pandemic': 0.0015527950310559005, 'clit': 0.0015527950310559005, 'landlord': 0.0015527950310559005, 'baby': 0.0015527950310559005, 'bit': 0.0015527950310559005, 'pedestrian': 0.0015527950310559005, 'snicker': 0.0015527950310559005, 'vanilli': 0.0015527950310559005, 'stab': 0.0015527950310559005, 'classic': 0.0015527950310559005, 'hummer': 0.0015527950310559005, 'slumber': 0.0015527950310559005, 'figure': 0.0015527950310559005, 'potato': 0.0015527950310559005, 'gentleman': 0.0015527950310559005, 'spot': 0.003105590062111801, 'motherfucker': 0.0015527950310559005, 'way': 0.004658385093167702, 'person': 0.0015527950310559005, 'different': 0.003105590062111801, 'voicemail': 0.0015527950310559005, 'message': 0.0015527950310559005, 'low': 0.0015527950310559005, 'buck': 0.0015527950310559005, 'fool': 0.0015527950310559005, 'ton': 0.0015527950310559005, 'lil': 0.003105590062111801, 'flag': 0.0015527950310559005, 'blade': 0.0015527950310559005, 'fade': 0.0015527950310559005, 'bum': 0.0015527950310559005, 'pool': 0.004658385093167702, 'watch': 0.003105590062111801, 'seminar': 0.003105590062111801, 'clock': 0.003105590062111801, 'water': 0.003105590062111801, 'kleenex': 0.0015527950310559005, 'white': 0.0015527950310559005, 'house': 0.0015527950310559005, 'pickle': 0.0015527950310559005, '100': 0.0015527950310559005, 'fact': 0.0015527950310559005, 'chessboard': 0.0015527950310559005, 'skywalker': 0.0015527950310559005, 'clean': 0.0015527950310559005, 'young': 0.0015527950310559005, '12page': 0.0015527950310559005, 'blast': 0.0015527950310559005, 'swedish': 0.0015527950310559005, 'happy': 0.0015527950310559005, 'mean': 0.0015527950310559005, 'lez': 0.0015527950310559005, 'bag': 0.0015527950310559005, 'roach': 0.0015527950310559005, 'question': 0.0015527950310559005, 'chain': 0.0015527950310559005, 'slave': 0.0015527950310559005, 'mansion': 0.003105590062111801, 'goner': 0.0015527950310559005, 'daughter': 0.0015527950310559005, 'mother': 0.0015527950310559005, 'roof': 0.003105590062111801, 'coupe': 0.0015527950310559005, 'cheeseburger': 0.0015527950310559005, 'chop': 0.0015527950310559005, 'doctor': 0.0015527950310559005, 'nice': 0.003105590062111801, 'reality': 0.003105590062111801, 'ziploc': 0.003105590062111801, 'bowling': 0.0015527950310559005, 'fuckohh': 0.0015527950310559005, 'flood': 0.0015527950310559005, 'vision': 0.0015527950310559005, 'cover': 0.0015527950310559005, 'v10': 0.0015527950310559005, 'vacant': 0.0015527950310559005, 'musical': 0.0015527950310559005, 'stormer': 0.0015527950310559005, 'trooper': 0.0015527950310559005, 'koopa': 0.0015527950310559005, 'hunchback': 0.0015527950310559005, 'porsche': 0.0015527950310559005, 'todo': 0.0015527950310559005, 'neck': 0.0015527950310559005, 'wiser': 0.0015527950310559005, 'movie': 0.0015527950310559005, 'prop': 0.0015527950310559005, 'better': 0.0015527950310559005, 'shitty': 0.0015527950310559005, 'family': 0.0015527950310559005, 'fiery': 0.0015527950310559005, 'backpack': 0.0015527950310559005, 'name': 0.0015527950310559005, 'pirate': 0.0015527950310559005, 'piss': 0.0015527950310559005, 'stall': 0.0015527950310559005, 'relation': 0.0015527950310559005, 'cup': 0.0015527950310559005, 'jealous': 0.0015527950310559005, 'rope': 0.0015527950310559005, 'ruckus': 0.003105590062111801, 'fire': 0.0015527950310559005, 'fly': 0.0015527950310559005, 'pothole': 0.003105590062111801, 'sheep': 0.003105590062111801, 'lone': 0.0015527950310559005, 'peep': 0.0015527950310559005, 'chromosome': 0.0015527950310559005, 'deadly': 0.0015527950310559005, 'church': 0.0015527950310559005, 'tour': 0.0015527950310559005, 'rubber': 0.0015527950310559005}"
fuckin,"{'walkin': 0.0196078431372549, 'triceratops': 0.0196078431372549, 'awesome': 0.0196078431372549, 'wang': 0.0196078431372549, 'hotline': 0.0196078431372549, 'shrink': 0.0196078431372549, 'workin': 0.0196078431372549, 'broad': 0.0196078431372549, 'airplane': 0.0196078431372549, 'leaves': 0.0196078431372549, 'weave': 0.0196078431372549, 'knife': 0.0196078431372549, 'hole': 0.0196078431372549, 'face': 0.0196078431372549, 'business': 0.0196078431372549, 'with': 0.0784313725490196, 'lonely': 0.0196078431372549, 'phony': 0.0196078431372549, 'playing': 0.0196078431372549, 'up': 0.0392156862745098, 'album': 0.0196078431372549, 'cow': 0.0196078431372549, 'horses': 0.0196078431372549, 'thought': 0.0196078431372549, 'losers': 0.0196078431372549, 'ponies': 0.0196078431372549, 'young': 0.0784313725490196, 'hurts': 0.0392156862745098, 'bitch': 0.0196078431372549, 'room': 0.0196078431372549, 'blowing': 0.0196078431372549, 'mind': 0.0196078431372549, 'matter': 0.0196078431372549, 'nuts': 0.0196078431372549, 'feelings': 0.0196078431372549, 'chocolate': 0.0196078431372549, 'me': 0.0196078431372549, 'stop': 0.0196078431372549, 'goober': 0.0196078431372549, 'weak': 0.0196078431372549, 'stupid': 0.0196078431372549, 'pissed': 0.0196078431372549, 'dirty': 0.0196078431372549}"
walkin,"{'paradox': 0.5, 'with': 0.5}"
