Word,Frequency
bitch,"{'you': 0.07272727272727272, 'when': 0.01818181818181818, 'pretty': 0.01818181818181818, 'im': 0.01818181818181818, 'look': 0.03636363636363636, 'and': 0.03636363636363636, 'down': 0.2909090909090909, 'mack': 0.10909090909090909, 'we': 0.10909090909090909, 'go': 0.01818181818181818, 'lil': 0.01818181818181818, 'hard': 0.05454545454545454, 'avantgarde': 0.05454545454545454, 'dont': 0.01818181818181818, 'bourgeois': 0.01818181818181818, 'nigga': 0.01818181818181818, 'that': 0.01818181818181818, 'bed': 0.01818181818181818, 'believe': 0.01818181818181818, 'in': 0.01818181818181818, 'if': 0.01818181818181818}"
you,"{'thirsty': 0.0018248175182481751, 'baby': 0.0036496350364963502, 'aint': 0.025547445255474453, 'murdered': 0.0018248175182481751, 'hide': 0.0018248175182481751, 'a': 0.02737226277372263, 'is': 0.0036496350364963502, 'murder': 0.0018248175182481751, 'loaded': 0.0018248175182481751, 'ill': 0.010948905109489052, 'can': 0.012773722627737226, 'want': 0.012773722627737226, 'i': 0.043795620437956206, 'wont': 0.0036496350364963502, 'hatin': 0.0018248175182481751, 'gotta': 0.0036496350364963502, 'well': 0.0018248175182481751, 'in': 0.014598540145985401, 'what': 0.0036496350364963502, 'pretend': 0.0018248175182481751, 'out': 0.0036496350364963502, 'are': 0.0036496350364963502, 'think': 0.0036496350364963502, 'trippin': 0.0018248175182481751, 'dont': 0.02737226277372263, 'know': 0.08029197080291971, 'like': 0.009124087591240875, 'wanna': 0.010948905109489052, 'should': 0.012773722627737226, 'fallin': 0.0018248175182481751, 'to': 0.005474452554744526, 'wetter': 0.0018248175182481751, 'understand': 0.0018248175182481751, 'killed': 0.0018248175182481751, 'im': 0.0018248175182481751, 'up': 0.010948905109489052, 'down': 0.010948905109489052, 'right': 0.010948905109489052, 'was': 0.0036496350364963502, 'head': 0.0018248175182481751, 'the': 0.0018248175182481751, 'better': 0.023722627737226276, 'conversin': 0.0018248175182481751, 'get': 0.041970802919708027, 'say': 0.014598540145985401, 'see': 0.012773722627737226, 'dawg': 0.0018248175182481751, 'touched': 0.0018248175182481751, 'so': 0.009124087591240875, 'need': 0.03467153284671533, 'back': 0.0036496350364963502, 'lie': 0.0018248175182481751, 'die': 0.0018248175182481751, 'feel': 0.010948905109489052, 'that': 0.005474452554744526, 'would': 0.010948905109489052, 'care': 0.0036496350364963502, 'be': 0.005474452554744526, 'lemons': 0.0018248175182481751, 'turned': 0.0018248175182481751, 'headed': 0.0018248175182481751, 'boys': 0.0018248175182481751, 'got': 0.016423357664233577, 'you': 0.0072992700729927005, 'talk': 0.0018248175182481751, 'take': 0.0036496350364963502, 'closer': 0.0018248175182481751, 'love': 0.0072992700729927005, 'losin': 0.0036496350364963502, 'follow': 0.0018248175182481751, 'starin': 0.0018248175182481751, 'at': 0.0036496350364963502, 'hit': 0.005474452554744526, 'from': 0.0072992700729927005, 'not': 0.0036496350364963502, 'here': 0.0036496350364963502, 'hidden': 0.0018248175182481751, 'dream': 0.0018248175182481751, 'drinking': 0.0018248175182481751, 'tore': 0.0018248175182481751, 'touch': 0.0018248175182481751, 'stay': 0.0036496350364963502, 'pop': 0.0018248175182481751, 'function': 0.0018248175182481751, 'cry': 0.0018248175182481751, 'thinking': 0.0018248175182481751, 'hiding': 0.0018248175182481751, 'crazy': 0.0018248175182481751, 'ready': 0.0036496350364963502, 'if': 0.0018248175182481751, 'lemme': 0.0018248175182481751, 'feeling': 0.0072992700729927005, 'wasnt': 0.0018248175182481751, 'walk': 0.0018248175182481751, 'looking': 0.0072992700729927005, 'tryna': 0.0018248175182481751, 'do': 0.005474452554744526, 'gon': 0.012773722627737226, 'consider': 0.0018248175182481751, 'swimmin': 0.0018248175182481751, 'sinkin': 0.0018248175182481751, 'win': 0.0018248175182481751, 'leavin': 0.0018248175182481751, 'had': 0.0036496350364963502, 'just': 0.0036496350364963502, 'cant': 0.0036496350364963502, 'everybody': 0.0018248175182481751, 'pass': 0.0018248175182481751, 'mean': 0.0018248175182481751, 'have': 0.0018248175182481751, 'give': 0.0018248175182481751, 'sometimes': 0.0018248175182481751, 'sick': 0.0018248175182481751, 'acting': 0.0018248175182481751, 'paid': 0.0018248175182481751, 'pray': 0.0018248175182481751, 'drive': 0.014598540145985401, 'doing': 0.0036496350364963502, 'ride': 0.0018248175182481751, 'when': 0.0018248175182481751, 'now': 0.0018248175182481751, 'part': 0.0018248175182481751, 'nigga': 0.0018248175182481751, 'under': 0.0018248175182481751, 'flippin': 0.0018248175182481751, 'bang': 0.0036496350364963502, 'missing': 0.0018248175182481751, 'proud': 0.0018248175182481751, 'come': 0.0018248175182481751, 'hop': 0.0018248175182481751, 'alonecar': 0.0018248175182481751, 'alone': 0.0036496350364963502, 'blow': 0.0018248175182481751, 'before': 0.0018248175182481751, 'with': 0.0036496350364963502, 'yet': 0.0018248175182481751, 'how': 0.0018248175182481751, 'came': 0.0036496350364963502, 'dance': 0.0072992700729927005, 'groove': 0.0036496350364963502, 'too': 0.0018248175182481751, 'fiend': 0.01824817518248175, 'some': 0.0018248175182481751, 'getting': 0.0018248175182481751, 'knew': 0.0018248175182481751, 'these': 0.0018248175182481751, 'long': 0.0018248175182481751, 'everything': 0.0018248175182481751, 'nowadays': 0.0018248175182481751, 'mostly': 0.0018248175182481751, 'doubt': 0.0018248175182481751, 'ask': 0.009124087591240875, 'fall': 0.0036496350364963502, 'applaud': 0.0018248175182481751, 'still': 0.0018248175182481751, 'my': 0.0036496350364963502, 'high': 0.0036496350364963502, 'motherfucking': 0.0018248175182481751, 'richer': 0.0018248175182481751, 'screaming': 0.0018248175182481751, 'make': 0.0018248175182481751, 'never': 0.005474452554744526, 'find': 0.0018248175182481751, 'dig': 0.0018248175182481751, 'fuckin': 0.0018248175182481751, 'going': 0.0018248175182481751, 'abandon': 0.0018248175182481751, 'rich': 0.0018248175182481751, 'black': 0.0018248175182481751, 'real': 0.0018248175182481751, 'dreamed': 0.0036496350364963502, 'bought': 0.0018248175182481751, 'sleep': 0.0018248175182481751, 'none': 0.0018248175182481751, 'really': 0.0018248175182481751, 'quick': 0.0018248175182481751, 'popped': 0.0018248175182481751, 'fix': 0.0018248175182481751, 'put': 0.0018248175182481751, 'ever': 0.0018248175182481751, 'quote': 0.0018248175182481751, 'speaking': 0.0018248175182481751, 'bold': 0.0018248175182481751, 'wouldnt': 0.0018248175182481751, 'where': 0.0036496350364963502, 'heard': 0.0018248175182481751, 'talkin': 0.0018248175182481751, 'might': 0.0072992700729927005, 'owe': 0.0018248175182481751, 'on': 0.0018248175182481751, 'tried': 0.005474452554744526, 'swore': 0.005474452554744526, 'shot': 0.0018248175182481751, 'thought': 0.0018248175182481751, 'bout': 0.0018248175182481751, 'notice': 0.0018248175182481751, 'could': 0.0018248175182481751, 'stupid': 0.0018248175182481751, 'start': 0.0018248175182481751, 'go': 0.0018248175182481751, 'survive': 0.0036496350364963502, 'sayin': 0.0018248175182481751, 'saying': 0.0018248175182481751, 'lackin': 0.0018248175182481751}"
thirsty,{'please': 1.0}
please,"{'grab': 0.1111111111111111, 'hey': 0.2222222222222222, 'set': 0.1111111111111111, 'go': 0.1111111111111111, 'dont': 0.3333333333333333, 'do': 0.1111111111111111}"
grab,"{'a': 0.5, 'chalk': 0.5}"
a,"{'sprite': 0.0022988505747126436, 'nigga': 0.09425287356321839, 'gangsta': 0.009195402298850575, 'creole': 0.0022988505747126436, 'dollar': 0.006896551724137931, 'change': 0.004597701149425287, 'problem': 0.004597701149425287, 'louis': 0.0022988505747126436, 'clap': 0.0022988505747126436, 'visit': 0.0022988505747126436, 'mac': 0.0022988505747126436, 'long': 0.006896551724137931, 'picture': 0.004597701149425287, 'war': 0.0022988505747126436, 'bucket': 0.006896551724137931, 'crab': 0.0022988505747126436, 'fast': 0.0022988505747126436, 'full': 0.0022988505747126436, 'reason': 0.0022988505747126436, 'real': 0.004597701149425287, 'norf': 0.0022988505747126436, 'young': 0.011494252873563218, 'straight': 0.004597701149425287, 'rich': 0.004597701149425287, 'couple': 0.009195402298850575, 'new': 0.004597701149425287, 'benz': 0.004597701149425287, 'check': 0.004597701149425287, 'better': 0.006896551724137931, 'bitches': 0.0022988505747126436, 'youth': 0.0022988505747126436, 'side': 0.0022988505747126436, 'felon': 0.004597701149425287, 'sin': 0.0022988505747126436, 'deep': 0.0022988505747126436, 'dick': 0.009195402298850575, 'christian': 0.0022988505747126436, 'fro': 0.0022988505747126436, 'prophet': 0.0022988505747126436, 'motherfucker': 0.011494252873563218, 'man': 0.011494252873563218, 'shooter': 0.0022988505747126436, 'tip': 0.0022988505747126436, 'god': 0.0022988505747126436, 'kid': 0.016091954022988506, 'ceiling': 0.0022988505747126436, 'different': 0.004597701149425287, 'fan': 0.004597701149425287, 'game': 0.0022988505747126436, 'hundred': 0.006896551724137931, 'little': 0.013793103448275862, 'milliondollar': 0.0022988505747126436, 'feature': 0.004597701149425287, 'star': 0.006896551724137931, 'keeper': 0.0022988505747126436, 'pop': 0.0022988505747126436, 'wavves': 0.0022988505747126436, 'fool': 0.0022988505747126436, 'flock': 0.0022988505747126436, 'fuck': 0.011494252873563218, 'rubber': 0.004597701149425287, 'bitch': 0.06666666666666667, 'pill': 0.004597701149425287, 'feel': 0.0022988505747126436, 'halfsixteen': 0.0022988505747126436, 'deuce': 0.0022988505747126436, 'part': 0.004597701149425287, 'tan': 0.0022988505747126436, 'way': 0.0022988505747126436, 'stage': 0.0022988505747126436, 'stronger': 0.009195402298850575, 'soda': 0.0022988505747126436, 'breather': 0.0022988505747126436, 'thang': 0.0022988505747126436, 'g': 0.01839080459770115, 'tree': 0.0022988505747126436, 'dream': 0.006896551724137931, 'wise': 0.0022988505747126436, 'black': 0.006896551724137931, 'platinum': 0.0022988505747126436, 'chain': 0.006896551724137931, 'lot': 0.016091954022988506, 'sports': 0.0022988505747126436, 'seed': 0.0022988505747126436, 'dog': 0.0022988505747126436, 'heart': 0.0022988505747126436, 'bag': 0.0022988505747126436, 'cross': 0.0022988505747126436, 'show': 0.011494252873563218, 'dvd': 0.0022988505747126436, 'seat': 0.004597701149425287, 'ride': 0.004597701149425287, 'drop': 0.0022988505747126436, 'pretty': 0.0022988505747126436, 'girl': 0.0022988505747126436, 'text': 0.0022988505747126436, 'plane': 0.006896551724137931, 'buzz': 0.0022988505747126436, 'marketin': 0.0022988505747126436, 'dummy': 0.0022988505747126436, 'coma': 0.0022988505747126436, 'brawl': 0.0022988505747126436, 'lie': 0.0022988505747126436, 'price': 0.0022988505747126436, 'load': 0.0022988505747126436, 'toke': 0.0022988505747126436, 'fortress': 0.0022988505747126436, 'blink': 0.0022988505747126436, 'head': 0.0022988505747126436, 'nice': 0.004597701149425287, 'favor': 0.004597701149425287, 'businessmen': 0.0022988505747126436, '44': 0.0022988505747126436, 'grown': 0.004597701149425287, 'la': 0.0022988505747126436, 'shrink': 0.0022988505747126436, 'hit': 0.0022988505747126436, 'schizo': 0.0022988505747126436, 'lick': 0.0022988505747126436, 'b': 0.0022988505747126436, 'selfdestructive': 0.0022988505747126436, 'brokeass': 0.0022988505747126436, 'vivrant': 0.0022988505747126436, 'virgin': 0.0022988505747126436, 'good': 0.006896551724137931, 'drug': 0.0022988505747126436, 'snitch': 0.0022988505747126436, 'hacer': 0.0022988505747126436, 'mí': 0.0022988505747126436, 'tratarme': 0.0022988505747126436, 'tad': 0.0022988505747126436, 'case': 0.009195402298850575, 'spot': 0.0022988505747126436, 'swine': 0.0022988505747126436, 'fifty': 0.0022988505747126436, 'chair': 0.0022988505747126436, 'warrant': 0.0022988505747126436, 'warning': 0.0022988505747126436, 'whole': 0.0022988505747126436, 'troop': 0.0022988505747126436, 'mental': 0.004597701149425287, 'party': 0.0022988505747126436, 'difference': 0.004597701149425287, 'love': 0.0022988505747126436, 'damn': 0.0022988505747126436, 'father': 0.0022988505747126436, 'baby': 0.004597701149425287, 'player': 0.0022988505747126436, 'no': 0.0022988505747126436, 'verse': 0.0022988505747126436, 'ho': 0.006896551724137931, 'youngun': 0.0022988505747126436, 'class': 0.0022988505747126436, 'lotta': 0.0022988505747126436, 'island': 0.0022988505747126436, 'chance': 0.011494252873563218, 'dozen': 0.0022988505747126436, 'plot': 0.0022988505747126436, 'bottle': 0.0022988505747126436, 'broke': 0.004597701149425287, 'play': 0.004597701149425287, 'rendezvous': 0.0022988505747126436, 'genius': 0.0022988505747126436, 'pistol': 0.0022988505747126436, 'pleasure': 0.0022988505747126436, 'motor': 0.0022988505747126436, 'soldier': 0.0022988505747126436, 'week': 0.0022988505747126436, 'raise': 0.0022988505747126436, 'clip': 0.0022988505747126436, 'shooting': 0.0022988505747126436, 'choice': 0.0022988505747126436, 'backbone': 0.0022988505747126436, 'face': 0.0022988505747126436, 'name': 0.0022988505747126436, 'call': 0.004597701149425287, 'jeep': 0.0022988505747126436, 'gun': 0.009195402298850575, 'quarterki': 0.004597701149425287, 'kilo': 0.0022988505747126436, 'yams': 0.0022988505747126436, 'jansport': 0.0022988505747126436, 'person': 0.006896551724137931, 'set': 0.0022988505747126436, 'house': 0.0022988505747126436, 'maniac': 0.0022988505747126436, 'path': 0.0022988505747126436, 'fade': 0.004597701149425287, 'pawn': 0.0022988505747126436, 'plan': 0.0022988505747126436, 'tec': 0.0022988505747126436, 'life': 0.0022988505747126436, 'relay': 0.013793103448275862, 'fed': 0.006896551724137931, 'do': 0.0022988505747126436, 'taste': 0.0022988505747126436, 'ba': 0.0022988505747126436, 'gta': 0.0022988505747126436, 'keep': 0.0022988505747126436, 'second': 0.0022988505747126436, 'happy': 0.0022988505747126436, 'loc': 0.0022988505747126436, 'vibrant': 0.0022988505747126436, 'tarnished': 0.0022988505747126436, 'hand': 0.0022988505747126436, 'trigger': 0.0022988505747126436, 'book': 0.0022988505747126436, 'tre': 0.0022988505747126436, 'question': 0.0022988505747126436, 'murder': 0.004597701149425287, 'street': 0.009195402298850575, 'muthafuckin': 0.013793103448275862, 'box': 0.0022988505747126436, 'body': 0.0022988505747126436, 'motherfucking': 0.0022988505747126436, 'day': 0.0022988505747126436, 'major': 0.0022988505747126436, 'rainy': 0.0022988505747126436, 'pass': 0.0022988505747126436, 'plug': 0.0022988505747126436, 'ny': 0.0022988505747126436, 'glock': 0.0022988505747126436, 'grudge': 0.0022988505747126436, 'punk': 0.0022988505747126436, 'drought': 0.0022988505747126436, 'pig': 0.0022988505747126436, 'nuisance': 0.0022988505747126436, '357': 0.0022988505747126436, 'mess': 0.0022988505747126436, 'drill': 0.0022988505747126436}"
sprite,{'my': 1.0}
my,"{'crips': 0.0024390243902439024, 'yankee': 0.0024390243902439024, 'mama': 0.026829268292682926, 'business': 0.004878048780487805, 'gun': 0.00975609756097561, 'niggas': 0.007317073170731708, 'brothers': 0.02195121951219512, 'keeper': 0.01951219512195122, 'mamacita': 0.01951219512195122, 'bimmer': 0.0024390243902439024, 'own': 0.014634146341463415, 'nigga': 0.004878048780487805, 'burner': 0.0024390243902439024, 'feature': 0.0024390243902439024, 'baggage': 0.0024390243902439024, 'past': 0.0024390243902439024, 'bands': 0.0024390243902439024, 'hand': 0.012195121951219513, 'bread': 0.0024390243902439024, 'head': 0.00975609756097561, 'name': 0.012195121951219513, 'next': 0.0024390243902439024, 'last': 0.007317073170731708, 'life': 0.03902439024390244, 'momma': 0.02195121951219512, 'homies': 0.012195121951219513, 'little': 0.004878048780487805, 'future': 0.004878048780487805, 'complexion': 0.0024390243902439024, 'homie': 0.0024390243902439024, 'bronem': 0.0024390243902439024, 'dark': 0.0024390243902439024, 'pockets': 0.007317073170731708, '44': 0.0024390243902439024, 'bitch': 0.01951219512195122, 'shoulders': 0.004878048780487805, 'pain': 0.012195121951219513, 'conscience': 0.0024390243902439024, 'body': 0.0024390243902439024, 'teachers': 0.004878048780487805, 'feelings': 0.004878048780487805, 'moments': 0.0024390243902439024, 'darker': 0.0024390243902439024, 'drop': 0.014634146341463415, 'eyes': 0.014634146341463415, 'front': 0.0024390243902439024, 'daddys': 0.0024390243902439024, 'mommas': 0.0024390243902439024, 'mind': 0.02195121951219512, 'daddy': 0.02195121951219512, 'hands': 0.0024390243902439024, 'window': 0.0024390243902439024, 'kin': 0.0024390243902439024, 'dome': 0.0024390243902439024, 'vida': 0.0024390243902439024, 'black': 0.004878048780487805, 'locs': 0.0024390243902439024, 'lungs': 0.0024390243902439024, 'anger': 0.0024390243902439024, 'glock': 0.012195121951219513, 'brains': 0.0024390243902439024, 'uchies': 0.0024390243902439024, 'phone': 0.0024390243902439024, 'seed': 0.0024390243902439024, 'side': 0.0024390243902439024, 'peace': 0.004878048780487805, 'brain': 0.007317073170731708, 'dick': 0.03414634146341464, 'art': 0.014634146341463415, 'car': 0.014634146341463415, 'crib': 0.014634146341463415, 'blessings': 0.0024390243902439024, 'label': 0.004878048780487805, 'nike': 0.0024390243902439024, 'cocacola': 0.0024390243902439024, 'frame': 0.004878048780487805, 'wave': 0.004878048780487805, 'lover': 0.01951219512195122, 'lady': 0.01951219512195122, 'babymother': 0.0024390243902439024, 'emotions': 0.0024390243902439024, 'weapon': 0.004878048780487805, 'brethren': 0.0024390243902439024, 'prey': 0.0024390243902439024, 'sight': 0.0024390243902439024, 'day': 0.004878048780487805, 'knees': 0.004878048780487805, 'strength': 0.0024390243902439024, 'feet': 0.0024390243902439024, 'pigment': 0.0024390243902439024, 'privilege': 0.0024390243902439024, 'motive': 0.0024390243902439024, 'soul': 0.007317073170731708, 'back': 0.00975609756097561, 'friends': 0.0024390243902439024, 'home': 0.00975609756097561, 'wounds': 0.0024390243902439024, 'slick': 0.0024390243902439024, 'swagger': 0.0024390243902439024, 'system': 0.0024390243902439024, 'door': 0.007317073170731708, 'pastor': 0.0024390243902439024, 'master': 0.0024390243902439024, 'sleeve': 0.0024390243902439024, 'weed': 0.0024390243902439024, 'songs': 0.0024390243902439024, 'boy': 0.0024390243902439024, 'exboyfriend': 0.0024390243902439024, 'windowsill': 0.0024390243902439024, 'biggest': 0.0024390243902439024, 'room': 0.004878048780487805, 'dogs': 0.0024390243902439024, 'blackness': 0.0024390243902439024, 'fist': 0.0024390243902439024, 'naughty': 0.0024390243902439024, 'dough': 0.004878048780487805, 'gang': 0.0024390243902439024, 'location': 0.004878048780487805, 'demonstration': 0.004878048780487805, 'lonely': 0.0024390243902439024, 'mouth': 0.0024390243902439024, 'fuckin': 0.0024390243902439024, 'style': 0.0024390243902439024, 'dinner': 0.0024390243902439024, 'partners': 0.0024390243902439024, 'partna': 0.0024390243902439024, 'chest': 0.0024390243902439024, 'pops': 0.0024390243902439024, 'way': 0.0024390243902439024, 'brother': 0.004878048780487805, 'bag': 0.0024390243902439024, 'early': 0.0024390243902439024, 'worldly': 0.0024390243902439024, 'face': 0.007317073170731708, 'cash': 0.0024390243902439024, 'bayside': 0.0024390243902439024, 'moves': 0.0024390243902439024, 'flight': 0.0024390243902439024, 'lips': 0.0024390243902439024, 'screen': 0.024390243902439025, 'og': 0.0024390243902439024, 'dad': 0.0024390243902439024, 'father': 0.007317073170731708, 'g': 0.0024390243902439024, 'girls': 0.0024390243902439024, 'main': 0.0024390243902439024, 'modern': 0.0024390243902439024, 'vma': 0.0024390243902439024, 'grammy': 0.0024390243902439024, 'girlfriend': 0.0024390243902439024, 'benz': 0.0024390243902439024, 'ghetto': 0.0024390243902439024, 'penis': 0.0024390243902439024, 'bro': 0.0024390243902439024, 'granny': 0.004878048780487805, 'ru': 0.0024390243902439024, 'neighbors': 0.0024390243902439024, 'castle': 0.0024390243902439024, 'seat': 0.0024390243902439024, 'skin': 0.0024390243902439024, 'world': 0.004878048780487805, 'girl': 0.004878048780487805, 'dawg': 0.0024390243902439024, 'tweets': 0.0024390243902439024, 'karma': 0.0024390243902439024, 'piece': 0.0024390243902439024, 'homeboys': 0.004878048780487805, 'stature': 0.0024390243902439024, 'grandfather': 0.004878048780487805, 'folks': 0.0024390243902439024, 'time': 0.0024390243902439024, 'younger': 0.0024390243902439024, 'knuckles': 0.0024390243902439024, 'dearly': 0.004878048780487805, 'pocket': 0.0024390243902439024, 'mom': 0.0024390243902439024, 'hood': 0.004878048780487805, 'grandmama': 0.0024390243902439024, 'cousin': 0.0024390243902439024, 'bitches': 0.0024390243902439024, 'dishes': 0.0024390243902439024, 'player': 0.0024390243902439024, 'jordan': 0.0024390243902439024, '40': 0.0024390243902439024, 'temper': 0.0024390243902439024, 'enemies': 0.0024390243902439024, 'grandma': 0.0024390243902439024, 'payment': 0.0024390243902439024, 'forty': 0.0024390243902439024, 'uncle': 0.0024390243902439024, 'best': 0.0024390243902439024}"
crips,"{'lurking': 0.2, 'shit': 0.2, 'crips': 0.2, 'i': 0.2, 'you': 0.2}"
lurking,"{'dont': 0.5, 'the': 0.5}"
