Word,Frequency
ricky,"{'racks': 0.25, 'but': 0.75}"
racks,"{'i': 0.019230769230769232, 'inside': 0.019230769230769232, 'ima': 0.019230769230769232, 'money': 0.019230769230769232, '20': 0.019230769230769232, 'big': 0.019230769230769232, 'hey': 0.038461538461538464, 'baby': 0.057692307692307696, 'skrrt': 0.019230769230769232, 'you': 0.038461538461538464, 'in': 0.09615384615384616, 'are': 0.019230769230769232, 'on': 0.11538461538461539, 'daddy': 0.019230769230769232, 'for': 0.019230769230769232, 'just': 0.019230769230769232, 'and': 0.07692307692307693, 'racks': 0.019230769230769232, 'almost': 0.019230769230769232, 'go': 0.019230769230769232, 'think': 0.019230769230769232, 'by': 0.057692307692307696, 'keep': 0.07692307692307693, 'better': 0.019230769230769232, 'but': 0.019230769230769232, 'brand': 0.019230769230769232, 'hm': 0.019230769230769232, 'like': 0.019230769230769232, 'cash': 0.019230769230769232, 'to': 0.038461538461538464}"
i,"{'see': 0.009322560596643879, 'got': 0.10814170292106899, 'want': 0.028589185829707892, 'cant': 0.019888129272840272, 'spent': 0.001243008079552517, 'done': 0.022995649471721565, 'can': 0.032318210068365445, 'knew': 0.008079552517091361, 'aint': 0.02113113735239279, 'left': 0.002486016159105034, 'killed': 0.001243008079552517, 'walked': 0.0006215040397762585, 'observe': 0.0006215040397762585, 'knowi': 0.0006215040397762585, 'never': 0.0037290242386575512, 'put': 0.028589185829707892, 'run': 0.003107520198881293, 'supply': 0.0006215040397762585, 'could': 0.009322560596643879, 'crash': 0.0006215040397762585, 'i': 0.001243008079552517, 'decided': 0.0006215040397762585, 'might': 0.02175264139216905, 'get': 0.011808576755748913, 'oh': 0.0006215040397762585, 'been': 0.005593536357986327, 'call': 0.0074580484773151025, 'need': 0.018645121193287758, 'talk': 0.001243008079552517, 'promise': 0.008079552517091361, 'wont': 0.006836544437538844, 'whip': 0.004972032318210068, 'pull': 0.011808576755748913, 'play': 0.0006215040397762585, 'am': 0.006215040397762586, 'kept': 0.0018645121193287756, 'dont': 0.045369794903666875, 'swear': 0.014916096954630205, 'make': 0.024860161591050343, 'go': 0.00435052827843381, 'swag': 0.0006215040397762585, 'spoiled': 0.0006215040397762585, 'met': 0.003107520198881293, 'know': 0.027967681789931635, 'dig': 0.0037290242386575512, 'eat': 0.001243008079552517, 'kick': 0.001243008079552517, 'just': 0.041640770665009326, 'over': 0.0006215040397762585, 'made': 0.004972032318210068, 'fuck': 0.009944064636420136, 'live': 0.0018645121193287756, 'say': 0.0018645121193287756, 'was': 0.03418272218769422, 'tell': 0.0006215040397762585, 'feel': 0.015537600994406464, 'walk': 0.0006215040397762585, 'love': 0.0074580484773151025, 'control': 0.0006215040397762585, 'took': 0.004972032318210068, 'pass': 0.002486016159105034, 'gotta': 0.009944064636420136, 'also': 0.0006215040397762585, 'suck': 0.003107520198881293, 'beat': 0.001243008079552517, 'came': 0.005593536357986327, 'fronted': 0.0006215040397762585, 'learned': 0.0006215040397762585, 'broke': 0.002486016159105034, 'keep': 0.006215040397762586, 'created': 0.002486016159105034, 'told': 0.015537600994406464, 'hopped': 0.00435052827843381, 'shoot': 0.0018645121193287756, 'had': 0.018023617153511497, 'show': 0.002486016159105034, 'sit': 0.0018645121193287756, 'wait': 0.001243008079552517, 'move': 0.0006215040397762585, 'wake': 0.0006215040397762585, 'do': 0.013673088875077687, 'take': 0.008079552517091361, 'like': 0.005593536357986327, 'give': 0.0006215040397762585, 'drop': 0.0006215040397762585, 'look': 0.0037290242386575512, 'be': 0.006836544437538844, 'chico': 0.0006215040397762585, 'bought': 0.00435052827843381, 'built': 0.0006215040397762585, 'paid': 0.001243008079552517, 'let': 0.003107520198881293, 'hop': 0.0006215040397762585, 'crank': 0.0006215040397762585, 'snort': 0.0006215040397762585, 'ever': 0.001243008079552517, 'found': 0.002486016159105034, 'picked': 0.002486016159105034, 'pimp': 0.0018645121193287756, 'wanna': 0.00870105655686762, 'kill': 0.0006215040397762585, 'think': 0.008079552517091361, 'cannot': 0.0006215040397762585, 'own': 0.0006215040397762585, 'dress': 0.0006215040397762585, 'act': 0.0006215040397762585, 'buy': 0.0006215040397762585, 'passed': 0.0006215040397762585, 'shave': 0.0006215040397762585, 'don': 0.0006215040397762585, 'pop': 0.006215040397762586, 'count': 0.0037290242386575512, 'turn': 0.0037290242386575512, 'roll': 0.002486016159105034, 'crack': 0.0006215040397762585, 'heard': 0.0018645121193287756, 'pay': 0.001243008079552517, 'became': 0.001243008079552517, 'jumped': 0.001243008079552517, 'smoke': 0.0018645121193287756, 'grab': 0.001243008079552517, 'cop': 0.002486016159105034, 'wear': 0.001243008079552517, 'cook': 0.0006215040397762585, 'drink': 0.0018645121193287756, 'brought': 0.0006215040397762585, 'dropped': 0.001243008079552517, 'did': 0.0037290242386575512, 'jump': 0.001243008079552517, 'box': 0.0006215040397762585, 'bleed': 0.0018645121193287756, 'come': 0.001243008079552517, 'pour': 0.002486016159105034, 'reminisce': 0.0018645121193287756, 'tied': 0.0018645121193287756, 'would': 0.003107520198881293, 'only': 0.003107520198881293, 'caught': 0.001243008079552517, 'have': 0.001243008079552517, 'tip': 0.0006215040397762585, 'sip': 0.001243008079552517, 'dip': 0.0006215040397762585, 'drip': 0.0018645121193287756, 'all': 0.0006215040397762585, 'bring': 0.0006215040397762585, 'fill': 0.0006215040397762585, 'wouldnt': 0.0018645121193287756, 'sleep': 0.0006215040397762585, 'sell': 0.001243008079552517, 'spend': 0.005593536357986327, 'send': 0.0006215040397762585, 'switched': 0.0006215040397762585, 'said': 0.00435052827843381, 'copped': 0.001243008079552517, 'ran': 0.0006215040397762585, 'will': 0.0018645121193287756, 'aim': 0.00435052827843381, 'hope': 0.001243008079552517, 'pizza': 0.0006215040397762585, 'poke': 0.0006215040397762585, 'went': 0.004972032318210068, 'stick': 0.0006215040397762585, 'throw': 0.001243008079552517, 'wan': 0.003107520198881293, 'couldnt': 0.0006215040397762585, 'huh': 0.0006215040397762585, 'catch': 0.001243008079552517, 'thank': 0.001243008079552517, 'drown': 0.001243008079552517, 'gave': 0.0006215040397762585, 'leave': 0.0018645121193287756, 'knock': 0.0006215040397762585, 'threw': 0.0006215040397762585, 'trapped': 0.0006215040397762585, 'thought': 0.0006215040397762585, 'remember': 0.0037290242386575512, 'lick': 0.002486016159105034, 'bite': 0.002486016159105034, 'turned': 0.003107520198881293, 'gonna': 0.0006215040397762585, 'switch': 0.0006215040397762585, 'regret': 0.001243008079552517, 'smoked': 0.0006215040397762585, 'shouldve': 0.0006215040397762585, 'fucked': 0.0018645121193287756, 'train': 0.001243008079552517, 'fell': 0.0006215040397762585, 'slimed': 0.0006215040397762585, 'pulled': 0.001243008079552517, 'die': 0.0006215040397762585, 'gained': 0.0006215040397762585, 'wet': 0.0006215040397762585, 'ride': 0.001243008079552517, 'tapped': 0.0006215040397762585, 'motherfucking': 0.0006215040397762585, 'ayy': 0.0006215040397762585, 'wish': 0.0018645121193287756, 'sure': 0.0006215040397762585, 'try': 0.0006215040397762585, 'wonder': 0.0006215040397762585, 'tried': 0.0006215040397762585, 'start': 0.001243008079552517, 'duck': 0.0006215040397762585, 'poppop': 0.0006215040397762585, 'cutcut': 0.0006215040397762585, 'cash': 0.0006215040397762585, 'nail': 0.0006215040397762585, 'film': 0.0006215040397762585, 'invest': 0.0006215040397762585, 'lost': 0.0006215040397762585, 'used': 0.0018645121193287756, 'started': 0.001243008079552517, 'miss': 0.0006215040397762585, 'escaped': 0.0018645121193287756, 'cake': 0.0006215040397762585, 'poured': 0.0006215040397762585, 'mustve': 0.001243008079552517, 'pray': 0.001243008079552517, 'spray': 0.0006215040397762585, 'groove': 0.0006215040397762585, 'crap': 0.0018645121193287756, 'stacked': 0.0006215040397762585, 'woowoowoo': 0.001243008079552517, 'flood': 0.0006215040397762585, 'called': 0.0006215040397762585, 'woke': 0.0006215040397762585, 'designed': 0.0006215040397762585, 'piss': 0.0006215040397762585, 'quit': 0.001243008079552517, 'buck': 0.0006215040397762585, 'doubled': 0.0006215040397762585, 'trucker': 0.0006215040397762585, 'bake': 0.0006215040397762585, 'barely': 0.0006215040397762585, 'enter': 0.0006215040397762585, 'hang': 0.0006215040397762585, 'crushed': 0.0006215040397762585, 'should': 0.001243008079552517, 'stay': 0.0006215040397762585}"
see,"{'you': 0.12962962962962962, 'him': 0.018518518518518517, 'the': 0.07407407407407407, 'that': 0.05555555555555555, 'it': 0.07407407407407407, 'everybody': 0.018518518518518517, 'a': 0.037037037037037035, 'me': 0.16666666666666666, 'her': 0.037037037037037035, 'birdy': 0.018518518518518517, 'i': 0.037037037037037035, 'them': 0.018518518518518517, 'these': 0.018518518518518517, 'em': 0.037037037037037035, 'your': 0.018518518518518517, 'all': 0.1111111111111111, 'yeah': 0.05555555555555555, 'baby': 0.05555555555555555, 'emergency': 0.018518518518518517}"
you,"{'thugger': 0.0010438413361169101, 'your': 0.0010438413361169101, 'killed': 0.0020876826722338203, 'ever': 0.009394572025052192, 'how': 0.009394572025052192, 'see': 0.010438413361169102, 'better': 0.010438413361169102, 'good': 0.003131524008350731, 'find': 0.003131524008350731, 'just': 0.014613778705636743, '61': 0.003131524008350731, 'get': 0.019832985386221295, 'could': 0.003131524008350731, 'come': 0.0020876826722338203, 'done': 0.0010438413361169101, 'curve': 0.0010438413361169101, 'in': 0.007306889352818371, 'when': 0.0020876826722338203, 'wont': 0.003131524008350731, 'can': 0.03653444676409186, 'dont': 0.024008350730688934, 'owe': 0.003131524008350731, 'walk': 0.003131524008350731, 'if': 0.005219206680584551, 'zip': 0.003131524008350731, 'know': 0.10960334029227557, 'mad': 0.0010438413361169101, 'keep': 0.0020876826722338203, 'try': 0.0020876826722338203, 'hop': 0.003131524008350731, 'not': 0.013569937369519834, 'so': 0.005219206680584551, 'are': 0.003131524008350731, 'boo': 0.0020876826722338203, 'cant': 0.013569937369519834, 'dig': 0.09812108559498957, 'stones': 0.0010438413361169101, 'one': 0.0010438413361169101, 'want': 0.018789144050104383, 'a': 0.016701461377870562, 'scared': 0.0010438413361169101, 'aint': 0.013569937369519834, 'were': 0.0010438413361169101, 'i': 0.011482254697286013, 'beat': 0.0020876826722338203, 'need': 0.016701461377870562, 'that': 0.0041753653444676405, 'proud': 0.0010438413361169101, 'bags': 0.0010438413361169101, 'all': 0.0010438413361169101, 'the': 0.0041753653444676405, 'thought': 0.0010438413361169101, 'five': 0.0010438413361169101, 'patrick': 0.0010438413361169101, 'pump': 0.0010438413361169101, 'say': 0.005219206680584551, 'gotta': 0.030271398747390398, 'saucin': 0.0020876826722338203, 'treat': 0.003131524008350731, 'went': 0.0010438413361169101, 'some': 0.0020876826722338203, 'queen': 0.0010438413361169101, 'die': 0.006263048016701462, 'grind': 0.0010438413361169101, 'bae': 0.0010438413361169101, 'hey': 0.003131524008350731, 'oh': 0.0020876826722338203, 'her': 0.0010438413361169101, 'should': 0.008350730688935281, 'and': 0.007306889352818371, 'sayin': 0.0010438413361169101, 'doin': 0.0010438413361169101, 'look': 0.0020876826722338203, 'old': 0.0010438413361169101, 'be': 0.005219206680584551, 'gettin': 0.0010438413361169101, 'payin': 0.0010438413361169101, 'pay': 0.005219206680584551, 'we': 0.0010438413361169101, 'ive': 0.0010438413361169101, 'ayy': 0.0020876826722338203, 'yeah': 0.006263048016701462, 'understand': 0.005219206680584551, 'mean': 0.0020876826722338203, 'smokin': 0.0010438413361169101, 'worth': 0.003131524008350731, 'ride': 0.008350730688935281, 'cry': 0.003131524008350731, 'wanna': 0.007306889352818371, 'to': 0.015657620041753653, 'my': 0.008350730688935281, 'im': 0.005219206680584551, 'play': 0.0010438413361169101, 'baby': 0.006263048016701462, 'goddamn': 0.0010438413361169101, 'bitches': 0.0010438413361169101, 'ridin': 0.0020876826722338203, 'little': 0.0020876826722338203, 'make': 0.007306889352818371, 'fly': 0.0020876826722338203, 'honestly': 0.0010438413361169101, 'niggas': 0.003131524008350731, 'think': 0.003131524008350731, 'whos': 0.0020876826722338203, 'too': 0.006263048016701462, 'act': 0.0010438413361169101, 'remember': 0.0010438413361169101, 'gon': 0.014613778705636743, 'lookin': 0.0020876826722338203, 'its': 0.0010438413361169101, 'love': 0.003131524008350731, 'girl': 0.0041753653444676405, 'still': 0.0010438413361169101, 'woo': 0.0010438413361169101, 'got': 0.010438413361169102, 'catch': 0.0010438413361169101, 'pussy': 0.003131524008350731, 'meanwhile': 0.0020876826722338203, 'nigga': 0.003131524008350731, 'do': 0.006263048016701462, 'stand': 0.0020876826722338203, 'turn': 0.0020876826722338203, 'without': 0.0010438413361169101, 'like': 0.008350730688935281, 'send': 0.0010438413361169101, 'late': 0.0010438413361169101, 'for': 0.0041753653444676405, 'what': 0.0010438413361169101, 'ooh': 0.0010438413361169101, 'put': 0.0020876826722338203, 'lets': 0.0010438413361169101, 'with': 0.0041753653444676405, 'head': 0.0010438413361169101, 'bad': 0.0041753653444676405, 'ratted': 0.0010438413361169101, 'bet': 0.0010438413361169101, 'jog': 0.0010438413361169101, 'bastards': 0.0020876826722338203, 'panic': 0.003131524008350731, 'take': 0.0010438413361169101, 'yawn': 0.0010438413361169101, 'feelin': 0.0010438413361169101, 'fallin': 0.0010438413361169101, 'havin': 0.0010438413361169101, 'cruising': 0.0010438413361169101, 'rock': 0.0010438413361169101, 'looking': 0.0010438413361169101, 'caption': 0.0010438413361169101, 'had': 0.0020876826722338203, 'said': 0.04175365344467641, 'was': 0.0020876826722338203, 'saw': 0.0010438413361169101, 'right': 0.0041753653444676405, 'you': 0.005219206680584551, 'excited': 0.0010438413361169101, 'up': 0.0010438413361169101, 'popped': 0.0010438413361169101, 'needed': 0.0010438413361169101, 'mine': 0.0010438413361169101, 'lil': 0.0020876826722338203, 'might': 0.0010438413361169101, 'wetwet': 0.0041753653444676405, 'ay': 0.0010438413361169101, 'stuck': 0.0010438413361169101, 'tryna': 0.0020876826722338203, 'operate': 0.0010438413361169101, 'never': 0.0010438413361169101, 'tell': 0.0041753653444676405, 'ask': 0.0010438413361169101, 'wan': 0.0010438413361169101, 'let': 0.0010438413361169101, 'did': 0.0010438413361169101, 'lay': 0.0010438413361169101, 'fool': 0.0010438413361169101, 'crossed': 0.0010438413361169101, 'yea': 0.0020876826722338203, 'skrt': 0.0010438413361169101, 'but': 0.0010438413361169101, 'down': 0.0020876826722338203, 'didnt': 0.0010438413361169101, 'posed': 0.0010438413361169101, 'rollin': 0.0010438413361169101, 'glossin': 0.0010438413361169101, 'latest': 0.0010438413361169101, 'forever': 0.0010438413361169101, 'cancel': 0.0041753653444676405, 'would': 0.003131524008350731, 'pull': 0.0010438413361169101, 'cash': 0.0010438413361169101, 'go': 0.0010438413361169101, 'snake': 0.0010438413361169101, 'hunnid': 0.0010438413361169101, 'cause': 0.0010438413361169101, 'ima': 0.0010438413361169101, 'she': 0.0010438413361169101, 'runnin': 0.0010438413361169101, 'found': 0.005219206680584551, 'leave': 0.006263048016701462, 'forgot': 0.0010438413361169101, 'write': 0.0010438413361169101, 'win': 0.0010438413361169101, 'always': 0.0010438413361169101, 'gonna': 0.0020876826722338203, 'going': 0.0010438413361169101, 'buck': 0.0010438413361169101, 'shit': 0.0010438413361169101, 'bitch': 0.0010438413361169101, 'fools': 0.0020876826722338203, 'cameltoe': 0.0020876826722338203, 'thinkin': 0.0010438413361169101, 'start': 0.0010438413361169101, 'suckin': 0.0010438413361169101, 'defeat': 0.0010438413361169101, 'til': 0.0020876826722338203, 'couldnt': 0.0010438413361169101, 'own': 0.003131524008350731, 'rich': 0.0010438413361169101, 'heard': 0.0010438413361169101, 'buy': 0.0010438413361169101}"
thugger,"{'ysl': 0.04838709677419355, 'jackson': 0.016129032258064516, 'i': 0.03225806451612903, 'yeah': 0.06451612903225806, 'fan': 0.016129032258064516, 'thugger': 0.1935483870967742, 'you': 0.016129032258064516, 'wit': 0.016129032258064516, 'stoner': 0.016129032258064516, 'dont': 0.016129032258064516, 'will': 0.016129032258064516, 'tip': 0.016129032258064516, 'baby': 0.06451612903225806, 'and': 0.04838709677419355, 'bunkin': 0.016129032258064516, 'the': 0.016129032258064516, 'said': 0.016129032258064516, 'sittin': 0.016129032258064516, 'still': 0.016129032258064516, 'slime': 0.016129032258064516, 'be': 0.016129032258064516, 'juug': 0.016129032258064516, 'sippin': 0.016129032258064516, 'rrrrr': 0.016129032258064516, 'girls': 0.03225806451612903, 'we': 0.016129032258064516, 'im': 0.04838709677419355, 'got': 0.016129032258064516, 'man': 0.016129032258064516, 'pull': 0.016129032258064516, 'young': 0.016129032258064516, 'ayy': 0.016129032258064516, 'nigga': 0.016129032258064516, 'he': 0.016129032258064516, 'get': 0.016129032258064516, 'london': 0.016129032258064516, 'these': 0.016129032258064516}"
ysl,"{'for': 0.08695652173913043, 'just': 0.13043478260869565, 'venom': 0.043478260869565216, 'runway': 0.043478260869565216, '808': 0.043478260869565216, 'you': 0.043478260869565216, 'that': 0.043478260869565216, 'slatt': 0.043478260869565216, 'hardbody': 0.043478260869565216, 'on': 0.043478260869565216, 'we': 0.043478260869565216, 'my': 0.043478260869565216, 'ymcmb': 0.043478260869565216, 'rich': 0.043478260869565216, 'the': 0.043478260869565216, 'only': 0.043478260869565216, 'blatt': 0.043478260869565216, 'aint': 0.043478260869565216, 'thugger': 0.043478260869565216, 'scream': 0.043478260869565216}"
for,"{'life': 0.010582010582010581, 'the': 0.12698412698412698, 'it': 0.010582010582010581, 'me': 0.10052910052910052, 'show': 0.005291005291005291, 'nine': 0.015873015873015872, 'a': 0.164021164021164, 'nothin': 0.021164021164021163, 'her': 0.031746031746031744, 'my': 0.08465608465608465, 'lawyer': 0.005291005291005291, 'one': 0.015873015873015872, 'forgiveness': 0.010582010582010581, 'those': 0.005291005291005291, 'some': 0.010582010582010581, 'them': 0.005291005291005291, 'all': 0.010582010582010581, 'sure': 0.042328042328042326, 'your': 0.05291005291005291, 'us': 0.010582010582010581, 'you': 0.07407407407407407, 'birdies': 0.005291005291005291, 'niggas': 0.005291005291005291, 'ampheties': 0.005291005291005291, 'real': 0.047619047619047616, 'what': 0.005291005291005291, 'i': 0.005291005291005291, 'war': 0.015873015873015872, 'half': 0.005291005291005291, 'granted': 0.010582010582010581, 'skrrt': 0.005291005291005291, 'swear': 0.005291005291005291, 'none': 0.005291005291005291, 'yall': 0.005291005291005291, 'grandmama': 0.005291005291005291, 'no': 0.005291005291005291, 'that': 0.005291005291005291, 'days': 0.005291005291005291, 'actin': 0.005291005291005291, 'everything': 0.005291005291005291, 'gibberish': 0.005291005291005291, 'these': 0.005291005291005291, 'free': 0.015873015873015872}"
life,"{'bitch': 0.02857142857142857, 'ysl': 0.02857142857142857, 'i': 0.08571428571428572, 'skoob': 0.08571428571428572, 'after': 0.02857142857142857, 'we': 0.05714285714285714, 'but': 0.08571428571428572, 'when': 0.08571428571428572, 'im': 0.02857142857142857, 'is': 0.05714285714285714, 'eightyhundred': 0.02857142857142857, 'and': 0.05714285714285714, 'just': 0.02857142857142857, 'boy': 0.02857142857142857, 'a': 0.02857142857142857, 'on': 0.02857142857142857, 'like': 0.14285714285714285, 'would': 0.02857142857142857, 'bro': 0.02857142857142857, 'or': 0.02857142857142857}"
bitch,"{'yeah': 0.03167420814479638, 'missus': 0.013574660633484163, 'rollin': 0.013574660633484163, 'im': 0.08144796380090498, 'down': 0.00904977375565611, 'eat': 0.00904977375565611, 'i': 0.13574660633484162, 'in': 0.02262443438914027, 'you': 0.07239819004524888, 'still': 0.004524886877828055, 'from': 0.004524886877828055, 'ima': 0.013574660633484163, 'mm': 0.004524886877828055, 'and': 0.03167420814479638, 'she': 0.01809954751131222, 'like': 0.004524886877828055, 'good': 0.013574660633484163, 'just': 0.013574660633484163, 'wont': 0.004524886877828055, 'is': 0.02262443438914027, 'got': 0.01809954751131222, 'came': 0.004524886877828055, 'but': 0.00904977375565611, 'by': 0.013574660633484163, 'bout': 0.004524886877828055, 'who': 0.004524886877828055, 'wanna': 0.027149321266968326, 'riding': 0.004524886877828055, 'let': 0.004524886877828055, 'up': 0.027149321266968326, 'ninth': 0.004524886877828055, 'we': 0.02262443438914027, 'stall': 0.004524886877828055, 'to': 0.004524886877828055, 'white': 0.004524886877828055, 'a': 0.03619909502262444, 'likes': 0.004524886877828055, 'stop': 0.004524886877828055, 'ride': 0.004524886877828055, 'slammin': 0.004524886877828055, 'on': 0.00904977375565611, 'aint': 0.004524886877828055, 'so': 0.004524886877828055, 'ballin': 0.004524886877828055, 'drip': 0.00904977375565611, 'the': 0.004524886877828055, 'ooh': 0.004524886877828055, 'wit': 0.004524886877828055, 'this': 0.004524886877828055, 'go': 0.004524886877828055, 'get': 0.004524886877828055, 'trying': 0.004524886877828055, 'out': 0.004524886877828055, 'that': 0.00904977375565611, 'clean': 0.004524886877828055, 'they': 0.004524886877828055, 'trash': 0.004524886877828055, 'gon': 0.004524886877828055, 'with': 0.013574660633484163, 'fuck': 0.004524886877828055, 'swag': 0.004524886877828055, 'breathe': 0.004524886877828055, 'ask': 0.004524886877828055, 'right': 0.004524886877828055, 'its': 0.004524886877828055, 'bad': 0.00904977375565611, 'bands': 0.004524886877828055, 'had': 0.013574660633484163, 'cause': 0.03167420814479638, 'show': 0.004524886877828055, 'no': 0.004524886877828055, 'growin': 0.004524886877828055, 'wheezy': 0.004524886877828055, 'what': 0.004524886877828055, 'have': 0.004524886877828055, 'potential': 0.004524886877828055, 'bitch': 0.004524886877828055, 'never': 0.004524886877828055, 'big': 0.004524886877828055, 'my': 0.004524886877828055, 'woo': 0.004524886877828055, 'hoo': 0.004524886877828055, 'suck': 0.004524886877828055, 'these': 0.004524886877828055}"
