Artists,Actual,Pictures
YoungThug,Young Thug,/artistsPictures/YoungThug_resized_cropped.png
MasterP,Master P,/artistsPictures/MasterP_resized_cropped.png
CypressHill,Cypress Hill,/artistsPictures/CypressHill_resized_cropped.png
Common,Common,/artistsPictures/Common_resized_cropped.png
RickRoss,Rick Ross,/artistsPictures/RickRoss_resized_cropped.png
MCLyte,MC Lyte,/artistsPictures/MCLyte_resized_cropped.png
WizKhalifa,Wiz Khalifa,/artistsPictures/WizKhalifa_resized_cropped.png
KanyeWest,Kanye West,/artistsPictures/KanyeWest_resized_cropped.png
EricB.Rakim,Eric B. Rakim,/artistsPictures/EricB.Rakim_resized_cropped.png
LilWayne,Lil Wayne,/artistsPictures/LilWayne_resized_cropped.png
Drake,Drake,/artistsPictures/Drake_resized_cropped.png
50Cent,50 Cent,/artistsPictures/50Cent_resized_cropped.png
Migos,Migos,/artistsPictures/Migos_resized_cropped.png
LLCoolJ,LL Cool J,/artistsPictures/LLCoolJ_resized_cropped.png
Raekwon,Raekwon,/artistsPictures/Raekwon_resized_cropped.png
Logic,Logic,/artistsPictures/Logic_resized_cropped.png
KRSOne,KRS-One,/artistsPictures/KRSOne_resized_cropped.png
MFDOOM,MF DOOM,/artistsPictures/MFDOOM_resized_cropped.png
JuicyJ,Juicy J,/artistsPictures/JuicyJ_resized_cropped.png
SnoopDogg,Snoop Dogg,/artistsPictures/SnoopDogg_resized_cropped.png
MethodMan,Method Man,/artistsPictures/MethodMan_resized_cropped.png
cupcakKe,Cupcakke,/artistsPictures/cupcakKe_resized_cropped.png
QueenLatifah,Queen Latifah,/artistsPictures/QueenLatifah_resized_cropped.png
MacMiller,Mac Miller,/artistsPictures/MacMiller_resized_cropped.png
ABoogiewitdaHoodie,A Boogie wit a Hoodie,/artistsPictures/ABoogiewitdaHoodie_resized_cropped.png
TalibKweli,Talib Kweli,/artistsPictures/TalibKweli_resized_cropped.png
RunDMC,Run DMC,/artistsPictures/RunDMC_resized_cropped.png
AAPFerg,A$AP Ferg,/artistsPictures/AAPFerg_resized_cropped.png
LilUziVert,Lil Uzi Vert,/artistsPictures/LilUziVert_resized_cropped.png
RZA,RZA,/artistsPictures/RZA_resized_cropped.png
BigSean,Big Sean,/artistsPictures/BigSean_resized_cropped.png
BoneThugsNHarmony,Bone Thugs N Harmony,/artistsPictures/BoneThugsNHarmony_resized_cropped.png
BigDaddyKane,Big Daddy Kane,/artistsPictures/BigDaddyKane_resized_cropped.png
BizMarkie,Biz Markie,/artistsPictures/BizMarkie_resized_cropped.png
CardiB,Cardi B,/artistsPictures/CardiB_resized_cropped.png
Twista,Twista,/artistsPictures/Twista_resized_cropped.png
LupeFiasco,Lupe Fiasco,/artistsPictures/LupeFiasco_resized_cropped.png
Eminem,Eminem,/artistsPictures/Eminem_resized_cropped.png
TylerTheCreator,Tyler The Creator,/artistsPictures/TylerTheCreator_resized_cropped.png
ScHoolboyQ,Schoolboy Q,/artistsPictures/ScHoolboyQ_resized_cropped.png
JoeyBada,Joey Bada$$,/artistsPictures/JoeyBada_resized_cropped.png
KevinGates,Kevin Gates,/artistsPictures/KevinGates_resized_cropped.png
SouljaBoy,Soulja Boy,/artistsPictures/SouljaBoy_resized_cropped.png
Royceda59,Royceda59,/artistsPictures/Royceda59_resized_cropped.png
IceT,Ice T,/artistsPictures/IceT_resized_cropped.png
J.Cole,J. Cole,/artistsPictures/J.Cole_resized_cropped.png
Jeezy,Jeezy,/artistsPictures/Jeezy_resized_cropped.png
FatJoe,Fat Joe,/artistsPictures/FatJoe_resized_cropped.png
PublicEnemy,Public Enemy,/artistsPictures/PublicEnemy_resized_cropped.png
SaltNPepa,Salt N Pepa,/artistsPictures/SaltNPepa_resized_cropped.png
UGK,UGK,/artistsPictures/UGK_resized_cropped.png
LilKim,Lil Kim,/artistsPictures/LilKim_resized_cropped.png
KendrickLamar,Kendrick Lamar,/artistsPictures/KendrickLamar_resized_cropped.png
E40,E40,/artistsPictures/E40_resized_cropped.png
BustaRhymes,Busta Rhymes,/artistsPictures/BustaRhymes_resized_cropped.png
ActionBronson,Action Bronson,/artistsPictures/ActionBronson_resized_cropped.png
MobbDeep,Mobb Deep,/artistsPictures/MobbDeep_resized_cropped.png
Redman,Redman,/artistsPictures/Redman_resized_cropped.png
NickiMinaj,Nicki Minaj,/artistsPictures/NickiMinaj_resized_cropped.png
MissyElliott,Missy Elliott,/artistsPictures/MissyElliott_resized_cropped.png
JAYZ,Jay Z,/artistsPictures/JAYZ_resized_cropped.png
Gunna,Gunna,/artistsPictures/Gunna_resized_cropped.png
TravisScott,Travis Scott,/artistsPictures/TravisScott_resized_cropped.png
RaeSremmurd,Rae Sremmurd,/artistsPictures/RaeSremmurd_resized_cropped.png
MosDef,Mos Def,/artistsPictures/MosDef_resized_cropped.png
AAPRocky,A$AP Rocky,/artistsPictures/AAPRocky_resized_cropped.png
VinceStaples,Vince Staples,/artistsPictures/VinceStaples_resized_cropped.png
Camron,Camron,/artistsPictures/Camron_resized_cropped.png
Russ,Russ,/artistsPictures/Russ_resized_cropped.png
Wale,Wale,/artistsPictures/Wale_resized_cropped.png
Jadakiss,Jadakiss,/artistsPictures/Jadakiss_resized_cropped.png
ATribeCalledQuest,A Tribe Called Quest,/artistsPictures/ATribeCalledQuest_resized_cropped.png
KodakBlack,Kodak Black,/artistsPictures/KodakBlack_resized_cropped.png
21Savage,21 Savage,/artistsPictures/21Savage_resized_cropped.png
JuelzSantana,Juelz Santana,/artistsPictures/JuelzSantana_resized_cropped.png
TechN9ne,Tech N9ne,/artistsPictures/TechN9ne_resized_cropped.png
Ludacris,Ludacris,/artistsPictures/Ludacris_resized_cropped.png
GZA,GZA,/artistsPictures/GZA_resized_cropped.png
2Pac,2Pac,/artistsPictures/2Pac_resized_cropped.png
ChildishGambino,Childish Gambino,/artistsPictures/ChildishGambino_resized_cropped.png
LilBaby,Lil Baby,/artistsPictures/LilBaby_resized_cropped.png
OutKast,OutKast,/artistsPictures/OutKast_resized_cropped.png
Nas,Nas,/artistsPictures/Nas_resized_cropped.png
Scarface,Scarface,/artistsPictures/Scarface_resized_cropped.png
IceCube,Ice Cube,/artistsPictures/IceCube_resized_cropped.png
Nelly,Nelly,/artistsPictures/Nelly_resized_cropped.png
JoeBudden,Joe Budden,/artistsPictures/JoeBudden_resized_cropped.png
GucciMane,Gucci Mane,/artistsPictures/GucciMane_resized_cropped.png
DMX,DMX,/artistsPictures/DMX_resized_cropped.png
KidCudi,Kid Cudi,/artistsPictures/KidCudi_resized_cropped.png
Diddy,Diddy,/artistsPictures/Diddy_resized_cropped.png
BeastieBoys,Beastie Boys,/artistsPictures/BeastieBoys_resized_cropped.png
DeLaSoul,De La Soul,/artistsPictures/DeLaSoul_resized_cropped.png
GhostfaceKillah,Ghostface Killah,/artistsPictures/GhostfaceKillah_resized_cropped.png
GangStarr,Gang Starr,/artistsPictures/GangStarr_resized_cropped.png
MeekMill,Meek Mill,/artistsPictures/MeekMill_resized_cropped.png
2Chainz,2 Chainz,/artistsPictures/2Chainz_resized_cropped.png
Future,Future,/artistsPictures/Future_resized_cropped.png
T.I.,T.I.,/artistsPictures/T.I._resized_cropped.png
PushaT,Pusha T,/artistsPictures/PushaT_resized_cropped.png
