Artists,Word1,Word2,Word3
YoungThug,i,the,a
MasterP,the,i,you
CypressHill,the,you,a
Common,the,i,you
RickRoss,the,i,a
MCLyte,the,you,i
WizKhalifa,i,the,you
KanyeWest,i,the,you
EricB.Rakim,the,i,to
LilWayne,i,the,you
Drake,i,the,you
50Cent,i,you,the
Migos,the,i,a
LLCoolJ,the,you,i
Raekwon,the,you,and
Logic,i,the,it
KRSOne,the,you,i
MFDOOM,the,a,to
JuicyJ,a,im,i
SnoopDogg,the,you,i
MethodMan,the,you,i
cupcakKe,the,i,a
QueenLatifah,the,i,you
MacMiller,i,the,you
ABoogiewitdaHoodie,i,you,yeah
TalibKweli,the,you,to
RunDMC,the,and,i
AAPFerg,the,a,i
LilUziVert,i,yeah,my
RZA,the,you,a
BigSean,i,the,you
BoneThugsNHarmony,the,and,i
BigDaddyKane,the,i,and
BizMarkie,the,i,and
CardiB,i,a,the
Twista,the,you,i
LupeFiasco,the,and,a
Eminem,the,i,you
TylerTheCreator,i,the,you
ScHoolboyQ,the,i,that
JoeyBada,the,i,and
KevinGates,i,the,you
SouljaBoy,i,me,the
Royceda59,the,i,a
IceT,the,a,i
J.Cole,i,you,the
Jeezy,i,the,you
FatJoe,the,i,you
PublicEnemy,the,a,to
SaltNPepa,you,the,i
UGK,the,i,you
LilKim,the,you,i
KendrickLamar,the,i,you
E40,the,i,a
BustaRhymes,the,you,it
ActionBronson,the,i,a
MobbDeep,the,you,to
Redman,the,i,a
NickiMinaj,i,you,the
MissyElliott,you,i,the
JAYZ,the,you,to
Gunna,i,the,a
TravisScott,the,i,yeah
RaeSremmurd,the,i,a
MosDef,the,and,to
AAPRocky,the,i,a
VinceStaples,the,i,you
Camron,the,i,you
Russ,i,you,the
Wale,i,you,to
Jadakiss,the,you,i
ATribeCalledQuest,the,you,to
KodakBlack,i,you,the
21Savage,i,a,the
JuelzSantana,the,i,you
TechN9ne,the,i,a
Ludacris,the,i,you
GZA,the,to,and
2Pac,the,you,i
ChildishGambino,the,you,i
LilBaby,i,the,my
OutKast,the,you,and
Nas,the,i,you
Scarface,the,i,and
IceCube,the,you,a
Nelly,i,you,the
JoeBudden,i,the,you
GucciMane,the,i,a
DMX,the,i,you
KidCudi,i,the,my
Diddy,i,the,you
BeastieBoys,the,i,and
DeLaSoul,the,i,a
GhostfaceKillah,the,i,you
GangStarr,the,you,i
MeekMill,i,the,a
2Chainz,i,the,a
Future,i,a,you
T.I.,i,you,the
PushaT,the,you,i
