Words,Count
thats,3991
my,22917
best,668
friend,365
big,1494
booty,229
bitch,4504
from,3953
whats,1183
next,597
is,9062
im,17316
gon,2011
off,2936
lil,1006
nigga,6854
come,3058
catch,530
me,19884
and,27321
go,5110
livin,502
everything,798
still,1962
on,16655
bad,1344
rollin,266
wit,613
she,5330
smile,194
cause,4455
hundred,557
thousand,242
dollars,188
inside,488
shit,5271
yeah,12387
oh,3180
woah,610
you,37521
good,1640
the,57636
as,2380
cash,620
get,9905
a,32345
like,13871
talkin,618
when,5826
with,11517
could,1458
hit,1838
your,10622
never,3053
mine,586
in,18455
they,8088
slide,203
huh,1017
no,7440
this,8193
not,3148
dog,412
ride,1029
to,25636
everybody,832
sing,283
how,3109
up,12736
out,6598
face,917
say,3126
i,48455
aint,6531
done,1029
ever,931
heard,704
left,701
of,10922
rappers,316
dead,535
verse,251
just,6581
did,1050
two,1219
every,1310
word,775
ill,1827
beat,751
killed,234
some,3466
niggas,5564
away,868
it,22927
then,3053
told,975
that,16108
gotta,2055
wait,534
for,9335
know,8297
high,1093
ballin,256
pussy,983
all,8600
ayy,1480
fuck,5066
put,2304
somethin,472
man,3992
talk,1120
can,4532
make,3879
walk,721
woo,1209
down,3881
south,191
little,1170
water,388
run,1295
his,1801
lets,1330
ima,1401
bread,189
got,10045
uhhuh,463
took,706
uh,2551
so,7308
see,3794
pain,447
light,464
eyes,633
ooh,1301
at,4011
eat,471
didnt,523
mama,680
tell,2457
something,531
fire,423
stop,1375
drop,884
roll,753
ive,770
been,2144
road,225
em,3667
time,2964
back,4054
act,405
want,2930
start,686
we,10290
leave,930
them,3102
money,3236
hey,1685
full,503
town,320
wont,1147
play,1004
side,719
hoes,1027
will,1318
might,929
fly,650
dont,8886
whole,950
day,1495
bout,1614
three,511
white,669
bitches,1555
its,7237
call,1521
lookin,632
baby,2788
way,2548
track,211
check,1096
da,336
first,701
power,301
if,4881
he,3529
nose,216
boy,1578
now,5682
around,1388
diamonds,486
fuckin,1148
ya,2642
dig,240
thing,885
about,2168
crack,417
before,852
without,474
swag,250
pack,221
met,219
racks,262
skrrt,490
show,1003
yellow,190
yah,215
better,1575
look,1857
or,2424
else,246
killin,190
fact,235
theres,677
blood,284
what,7243
swear,378
god,1435
feelin,357
her,4186
ice,563
cream,203
rich,594
real,2038
gonna,1123
head,1264
ridin,326
round,630
these,2825
mad,559
kick,424
keep,2294
cant,3259
poppin,314
need,2266
where,1775
try,864
through,1659
any,372
pop,806
fast,413
than,1525
true,409
shoot,455
nine,244
do,5527
pull,883
hop,261
be,8100
fresh,351
are,1810
here,2312
cool,456
yes,654
give,2092
damn,1127
whoa,315
point,211
lost,408
over,1308
loud,203
made,1136
dick,928
front,491
clean,248
block,498
who,2366
always,856
soon,217
count,272
nah,620
him,1549
anything,281
outta,291
live,945
by,1705
shine,249
watch,1114
take,2553
care,408
help,332
send,266
nothin,789
one,3798
both,220
gucci,256
gettin,1011
coupe,233
shoes,213
kids,437
were,871
was,4713
bang,476
gang,772
deal,274
six,204
music,463
bit,247
motherfuckin,403
ohh,198
hell,743
feel,1833
ha,576
hear,758
song,348
city,516
wrist,349
boss,287
case,246
turn,925
into,790
stand,406
line,421
hurt,261
feet,297
weed,442
lean,256
club,527
looking,436
love,3597
drugs,274
suck,344
but,7246
think,1755
gone,754
fool,308
control,200
ho,998
wet,382
life,1971
okay,745
save,188
mother,188
pass,452
kiss,260
hot,753
dope,689
new,1739
car,545
outside,187
smoke,784
double,244
myself,476
had,1913
door,381
sick,283
young,924
ones,294
drip,279
cut,467
bag,546
sky,264
ass,1941
sit,291
whip,339
break,657
top,826
floor,436
ah,732
wanna,3192
dawg,290
lit,217
move,719
since,460
la,590
straight,948
more,2047
til,920
death,274
years,290
super,182
well,1067
lot,831
hand,481
grab,227
part,205
same,862
makin,325
would,861
thought,584
said,2058
understand,401
home,746
let,2895
after,451
five,309
am,909
taking,195
pump,209
many,741
cars,245
buy,347
fat,331
being,249
even,1446
sound,444
stick,312
there,1313
gun,575
green,229
have,2155
paper,340
getting,722
ran,214
night,1115
deep,397
right,3100
yet,214
hard,1093
gold,413
neck,302
tryna,966
us,1605
an,1278
youre,2042
few,188
sayin,466
yours,331
comin,579
street,479
rock,882
black,1324
pick,360
went,566
ready,636
higher,282
room,353
bought,422
girls,581
crazy,741
number,277
rocks,209
goin,735
lose,341
why,1987
die,803
somebody,415
born,291
red,414
drive,240
tip,199
going,656
gas,187
only,1436
sleep,329
rockin,191
lie,344
end,432
body,774
story,203
motherfucker,480
too,1800
flow,511
ask,497
bone,439
son,522
